2#tos#t1#t1078062/#  -1.147 0.738  -1.242 0.512  -0.821 0.512  -0.399 0.512  0.022 0.512  0.431 0.568  0.796 0.625  1.007 0.581  0.621 0.413  0.234 0.244  -0.152 0.076  -0.539 -0.093  -0.925 -0.261  -1.260 -0.448  -0.893 -0.503  -0.472 -0.503  -0.050 -0.503  0.363 -0.473  0.759 -0.390  1.164 -0.315  1.138 -0.127  0.804 0.131  0.471 0.389  0.137 0.646  -0.197 0.904  -0.531 1.161  -0.753 1.074  -0.640 0.765  -0.640 0.344  -0.596 -0.071  -0.584 -0.490  -0.527 -0.903  -0.527 -1.325  -0.349 -1.599  -0.238 -1.192  -0.128 -0.785  -0.017 -0.378  0.094 0.028  0.205 0.435  0.316 0.842  0.427 1.249  0.375 1.326  0.375 0.904  0.375 0.483  0.452 0.075  0.488 -0.338  0.600 -0.713  0.657 -1.125  0.657 -1.547  0.657 -1.969
2#tos#t1#t1078062/c  0.935 0.587  0.930 0.463  0.810 0.423  0.752 0.468  0.752 0.595  0.678 0.648  0.630 0.726  0.553 0.785  0.464 0.875  0.369 0.953  0.243 0.953  0.116 0.953  -0.010 0.953  -0.137 0.953  -0.263 0.953  -0.385 0.933  -0.468 0.858  -0.507 0.770  -0.633 0.770  -0.651 0.661  -0.764 0.648  -0.773 0.530  -0.773 0.403  -0.863 0.314  -0.895 0.201  -0.895 0.074  -0.895 -0.052  -0.895 -0.179  -0.857 -0.267  -0.763 -0.309  -0.732 -0.431  -0.681 -0.543  -0.591 -0.632  -0.533 -0.723  -0.420 -0.779  -0.302 -0.816  -0.179 -0.843  -0.056 -0.873  0.020 -0.928  0.136 -0.938  0.256 -0.965  0.375 -0.999  0.501 -0.999  0.628 -0.999  0.754 -0.999  0.861 -0.951  0.935 -0.891  0.987 -0.816  1.057 -0.760  1.179 -0.755
2#tos#t1#t1078062/e  -0.409 0.267  -0.583 0.224  -0.691 0.128  -0.512 0.127  -0.333 0.127  -0.153 0.127  0.026 0.127  0.206 0.127  0.385 0.127  0.564 0.127  0.666 0.217  0.824 0.267  0.998 0.273  0.998 0.453  0.857 0.492  0.805 0.619  0.713 0.763  0.586 0.889  0.412 0.900  0.232 0.900  0.053 0.900  -0.123 0.922  -0.295 0.971  -0.474 0.971  -0.620 0.937  -0.761 0.898  -0.811 0.730  -0.965 0.689  -0.972 0.517  -0.972 0.338  -0.972 0.158  -0.906 -0.006  -0.902 -0.184  -0.833 -0.295  -0.727 -0.397  -0.662 -0.564  -0.609 -0.729  -0.482 -0.856  -0.303 -0.858  -0.198 -0.932  -0.085 -0.999  0.065 -1.069  0.245 -1.069  0.424 -1.069  0.604 -1.069  0.783 -1.069  0.963 -1.069  1.142 -1.068  1.312 -1.011  1.490 -0.999
2#tos#t1#t1078062/g  0.713 0.686  0.592 0.772  0.568 0.974  0.407 1.049  0.266 1.173  0.089 1.231  -0.118 1.231  -0.325 1.231  -0.531 1.220  -0.716 1.134  -0.852 1.049  -0.922 0.911  -0.922 0.704  -0.793 0.625  -0.707 0.504  -0.499 0.504  -0.292 0.504  -0.085 0.504  0.115 0.538  0.253 0.637  0.371 0.686  0.349 0.500  0.349 0.292  0.349 0.085  0.349 -0.123  0.349 -0.330  0.298 -0.516  0.289 -0.720  0.289 -0.927  0.286 -1.134  0.121 -1.238  -0.044 -1.311  -0.213 -1.373  -0.409 -1.419  -0.613 -1.434  -0.680 -1.293  -0.680 -1.085  -0.619 -0.938  -0.476 -0.828  -0.438 -0.659  -0.317 -0.572  -0.170 -0.465  0.037 -0.465  0.123 -0.344  0.331 -0.344  0.536 -0.338  0.721 -0.283  0.903 -0.223  1.111 -0.223  1.258 -0.162
2#tos#t1#t1078062/j  0.174 1.605  0.075 1.605  -0.023 1.605  0.037 1.605  0.066 1.535  0.109 1.454  0.140 1.363  0.164 1.267  0.188 1.172  0.212 1.076  0.235 0.981  0.259 0.885  0.283 0.790  0.307 0.694  0.331 0.598  0.257 0.579  0.174 0.564  0.174 0.466  0.174 0.367  0.228 0.323  0.228 0.224  0.228 0.126  0.228 0.027  0.228 -0.071  0.228 -0.170  0.228 -0.268  0.282 -0.345  0.282 -0.443  0.282 -0.542  0.282 -0.640  0.282 -0.739  0.228 -0.783  0.174 -0.828  0.174 -0.926  0.120 -0.971  0.091 -1.041  -0.007 -1.041  -0.099 -1.069  -0.191 -1.095  -0.290 -1.095  -0.388 -1.095  -0.487 -1.095  -0.582 -1.092  -0.582 -0.993  -0.609 -0.906  -0.679 -0.836  -0.744 -0.796  -0.763 -0.717  -0.852 -0.707  -0.852 -0.609
2#tos#t1#t1078062/k  -0.730 1.479  -0.944 1.460  -0.869 1.257  -0.801 1.039  -0.801 0.806  -0.801 0.572  -0.801 0.339  -0.801 0.105  -0.785 -0.125  -0.681 -0.334  -0.659 -0.562  -0.659 -0.796  -0.659 -1.029  -0.640 -1.214  -0.484 -1.040  -0.327 -0.866  -0.171 -0.693  -0.015 -0.519  0.141 -0.346  0.298 -0.172  0.454 0.002  0.610 0.175  0.766 0.349  0.923 0.523  1.079 0.696  1.235 0.870  1.127 0.869  1.000 0.747  0.775 0.694  0.629 0.551  0.396 0.551  0.198 0.515  0.072 0.408  -0.161 0.406  -0.356 0.277  -0.569 0.194  -0.730 0.121  -0.781 -0.020  -0.619 -0.092  -0.474 -0.205  -0.324 -0.306  -0.105 -0.369  0.094 -0.487  0.313 -0.520  0.508 -0.615  0.692 -0.735  0.819 -0.882  0.998 -0.963  1.208 -1.020  1.412 -1.092
2#tos#t1#t1078062/n  -0.314 1.414  -0.466 1.337  -0.545 1.245  -0.545 1.075  -0.545 0.905  -0.545 0.735  -0.545 0.565  -0.545 0.395  -0.545 0.225  -0.545 0.055  -0.545 -0.116  -0.622 -0.254  -0.622 -0.424  -0.622 -0.594  -0.622 -0.764  -0.622 -0.934  -0.622 -1.104  -0.545 -1.059  -0.545 -0.889  -0.545 -0.719  -0.545 -0.549  -0.545 -0.379  -0.468 -0.240  -0.468 -0.070  -0.468 0.100  -0.458 0.263  -0.314 0.345  -0.237 0.438  -0.184 0.595  -0.120 0.720  -0.027 0.797  0.066 0.874  0.236 0.874  0.302 0.770  0.409 0.690  0.456 0.539  0.570 0.451  0.708 0.370  0.796 0.226  0.889 0.086  0.918 -0.077  0.918 -0.247  0.995 -0.385  0.995 -0.555  0.995 -0.725  1.043 -0.888  1.074 -1.053  1.149 -1.191  1.150 -1.361  1.226 -1.513
2#tos#t1#t1078062/q  0.638 0.850  0.467 0.804  0.324 0.828  0.179 0.889  0.042 0.976  -0.149 0.976  -0.340 0.976  -0.530 0.976  -0.658 0.913  -0.841 0.860  -0.900 0.710  -1.060 0.642  -1.123 0.514  -1.186 0.386  -1.186 0.195  -1.186 0.005  -1.186 -0.186  -1.123 -0.314  -1.030 -0.437  -0.909 -0.534  -0.726 -0.582  -0.537 -0.597  -0.346 -0.597  -0.156 -0.597  0.026 -0.557  0.207 -0.525  0.376 -0.471  0.504 -0.408  0.588 -0.290  0.608 -0.100  0.628 0.090  0.648 0.279  0.668 0.469  0.688 0.659  0.639 0.787  0.450 0.786  0.450 0.596  0.450 0.405  0.450 0.214  0.450 0.023  0.450 -0.168  0.450 -0.358  0.520 -0.506  0.575 -0.662  0.575 -0.853  0.575 -1.044  0.636 -1.220  0.638 -1.410  0.638 -1.601  0.638 -1.792
2#tos#t1#t1078062/s  0.819 0.913  0.745 0.823  0.624 0.799  0.624 0.942  0.517 0.977  0.374 0.977  0.361 1.107  0.218 1.107  0.075 1.107  -0.068 1.107  -0.211 1.107  -0.347 1.100  -0.423 1.004  -0.559 0.977  -0.671 0.946  -0.716 0.848  -0.736 0.725  -0.736 0.582  -0.676 0.464  -0.606 0.350  -0.549 0.265  -0.406 0.265  -0.269 0.251  -0.168 0.150  -0.031 0.135  0.091 0.086  0.211 0.030  0.317 -0.059  0.451 -0.080  0.506 -0.200  0.562 -0.318  0.624 -0.399  0.689 -0.477  0.689 -0.620  0.689 -0.763  0.624 -0.879  0.560 -0.957  0.465 -1.061  0.336 -1.095  0.253 -1.191  0.131 -1.225  -0.012 -1.225  -0.155 -1.225  -0.298 -1.225  -0.438 -1.212  -0.542 -1.133  -0.582 -1.031  -0.725 -1.031  -0.766 -0.906  -0.865 -0.836
2#tos#t1#t1078062/u  -0.716 1.197  -0.778 1.074  -0.893 1.038  -0.955 0.962  -0.955 0.825  -0.955 0.687  -1.019 0.576  -1.035 0.445  -1.077 0.317  -1.114 0.189  -1.114 0.051  -1.114 -0.086  -1.114 -0.224  -1.114 -0.362  -1.068 -0.488  -0.972 -0.555  -0.914 -0.635  -0.776 -0.635  -0.639 -0.635  -0.501 -0.635  -0.364 -0.635  -0.226 -0.635  -0.096 -0.603  0.030 -0.555  0.142 -0.493  0.272 -0.475  0.360 -0.394  0.398 -0.265  0.507 -0.236  0.585 -0.154  0.629 -0.024  0.715 0.080  0.777 0.203  0.863 0.308  0.876 0.441  0.876 0.578  0.876 0.716  0.876 0.744  0.876 0.607  0.876 0.469  0.876 0.332  0.876 0.194  0.876 0.057  0.876 -0.081  0.876 -0.219  0.876 -0.356  0.876 -0.494  0.930 -0.609  0.956 -0.736  0.956 -0.873
2#tos#t1#t1078062/v  -1.109 0.815  -1.213 0.780  -1.317 0.745  -1.373 0.676  -1.322 0.588  -1.285 0.494  -1.207 0.462  -1.102 0.453  -1.042 0.362  -0.981 0.270  -0.917 0.182  -0.838 0.107  -0.740 0.058  -0.668 -0.008  -0.668 -0.118  -0.603 -0.187  -0.505 -0.236  -0.397 -0.242  -0.316 -0.271  -0.316 -0.380  -0.284 -0.482  -0.235 -0.580  -0.137 -0.600  -0.088 -0.698  -0.024 -0.771  0.036 -0.820  0.107 -0.859  0.207 -0.817  0.300 -0.765  0.319 -0.664  0.400 -0.594  0.510 -0.594  0.564 -0.540  0.564 -0.430  0.573 -0.326  0.671 -0.277  0.755 -0.214  0.804 -0.116  0.829 -0.012  0.862 0.090  0.911 0.188  0.960 0.286  1.015 0.374  1.093 0.406  1.093 0.516  1.093 0.625  1.181 0.647  1.202 0.748  1.280 0.825  1.357 0.903
2#tos#t1#t1078062/y  -0.653 0.827  -0.812 0.774  -0.976 0.753  -0.907 0.753  -0.814 0.678  -0.799 0.523  -0.720 0.377  -0.572 0.299  -0.472 0.167  -0.357 0.082  -0.216 0.017  -0.097 -0.101  0.054 -0.142  0.222 -0.142  0.242 -0.290  0.348 -0.162  0.454 -0.033  0.561 0.097  0.667 0.226  0.774 0.356  0.881 0.485  0.987 0.615  1.094 0.744  1.201 0.874  1.256 0.957  1.116 0.864  1.062 0.725  0.987 0.632  0.922 0.529  0.759 0.521  0.682 0.373  0.542 0.306  0.424 0.224  0.349 0.074  0.231 -0.008  0.138 -0.148  0.093 -0.302  -0.012 -0.365  -0.153 -0.409  -0.241 -0.549  -0.359 -0.668  -0.495 -0.760  -0.653 -0.813  -0.706 -0.973  -0.828 -1.036  -0.876 -1.156  -0.929 -1.295  -1.069 -1.388  -1.156 -1.483  -1.175 -1.632
