2#app#app25#app2545/p  0.046 0.475  -0.119 0.455  -0.119 0.270  -0.119 0.085  -0.175 -0.076  -0.305 -0.207  -0.436 -0.337  -0.448 -0.517  -0.464 -0.695  -0.595 -0.826  -0.772 -0.844  -0.792 -1.009  -0.943 -1.042  -0.943 -1.227  -0.943 -1.412  -0.943 -1.411  -0.830 -1.339  -0.778 -1.206  -0.670 -1.066  -0.509 -1.009  -0.448 -0.885  -0.347 -0.742  -0.284 -0.584  -0.202 -0.433  -0.119 -0.283  -0.119 -0.098  -0.119 0.086  0.007 0.145  0.046 0.291  0.046 0.476  0.067 0.640  0.211 0.680  0.272 0.804  0.376 0.885  0.376 1.069  0.496 1.134  0.541 1.274  0.700 1.299  0.720 1.134  0.905 1.134  1.035 1.080  1.035 0.895  1.035 0.710  1.035 0.525  0.901 0.475  0.870 0.321  0.697 0.310  0.520 0.290  0.390 0.159  0.211 0.145
2#val#yannis70/p  -0.431 0.736  -0.403 0.531  -0.371 0.327  -0.338 0.123  -0.304 -0.081  -0.279 -0.286  -0.255 -0.492  -0.230 -0.697  -0.202 -0.902  -0.175 -1.107  -0.160 -1.313  -0.146 -1.519  -0.197 -1.712  -0.260 -1.517  -0.314 -1.317  -0.369 -1.118  -0.423 -0.918  -0.477 -0.719  -0.532 -0.519  -0.586 -0.320  -0.641 -0.120  -0.695 0.079  -0.750 0.278  -0.804 0.478  -0.858 0.677  -0.872 0.851  -0.669 0.889  -0.464 0.917  -0.258 0.929  -0.051 0.927  0.155 0.925  0.360 0.905  0.563 0.866  0.766 0.827  0.961 0.757  1.155 0.687  1.342 0.600  1.495 0.478  1.515 0.285  1.388 0.143  1.194 0.072  0.993 0.020  0.790 -0.009  0.583 -0.017  0.377 -0.024  0.170 -0.022  -0.036 -0.003  -0.233 0.055  -0.425 0.130  -0.601 0.238
2#val#yannis70/p  -0.336 0.499  -0.297 0.296  -0.259 0.094  -0.208 -0.106  -0.149 -0.303  -0.089 -0.500  -0.015 -0.692  0.059 -0.885  0.092 -1.088  0.122 -1.292  0.136 -1.497  0.087 -1.630  -0.011 -1.449  -0.112 -1.269  -0.214 -1.090  -0.315 -0.910  -0.416 -0.731  -0.517 -0.552  -0.619 -0.372  -0.720 -0.193  -0.821 -0.013  -0.922 0.166  -1.024 0.346  -1.125 0.525  -1.204 0.699  -1.017 0.783  -0.817 0.831  -0.615 0.867  -0.409 0.879  -0.203 0.888  0.003 0.887  0.208 0.873  0.414 0.859  0.618 0.837  0.817 0.783  1.013 0.721  1.204 0.644  1.381 0.543  1.492 0.388  1.415 0.211  1.243 0.113  1.047 0.048  0.846 0.003  0.641 0.015  0.436 0.033  0.231 0.052  0.028 0.091  -0.174 0.129  -0.370 0.191  -0.556 0.278
2#val#yannis70/p  -0.552 0.588  -0.540 0.396  -0.523 0.205  -0.498 0.014  -0.470 -0.176  -0.437 -0.365  -0.404 -0.554  -0.364 -0.742  -0.323 -0.930  -0.286 -1.118  -0.250 -1.307  -0.217 -1.495  -0.232 -1.649  -0.287 -1.465  -0.335 -1.279  -0.382 -1.093  -0.430 -0.907  -0.478 -0.721  -0.526 -0.535  -0.574 -0.349  -0.621 -0.163  -0.669 0.023  -0.717 0.209  -0.765 0.395  -0.813 0.581  -0.773 0.736  -0.611 0.840  -0.441 0.925  -0.253 0.960  -0.061 0.947  0.131 0.933  0.321 0.912  0.507 0.866  0.689 0.804  0.871 0.743  1.049 0.671  1.226 0.596  1.402 0.519  1.557 0.408  1.495 0.261  1.315 0.197  1.128 0.157  0.937 0.139  0.745 0.121  0.554 0.112  0.362 0.105  0.170 0.113  -0.022 0.117  -0.214 0.119  -0.387 0.141
2#val#yannis70/p  -0.564 0.888  -0.504 0.699  -0.471 0.504  -0.442 0.308  -0.403 0.114  -0.364 -0.080  -0.332 -0.276  -0.300 -0.471  -0.279 -0.668  -0.264 -0.866  -0.249 -1.063  -0.212 -1.258  -0.174 -1.452  -0.136 -1.647  -0.124 -1.820  -0.150 -1.626  -0.186 -1.431  -0.222 -1.236  -0.258 -1.041  -0.293 -0.846  -0.329 -0.651  -0.365 -0.456  -0.400 -0.261  -0.436 -0.066  -0.472 0.128  -0.507 0.323  -0.543 0.518  -0.579 0.713  -0.615 0.908  -0.458 0.979  -0.264 1.018  -0.069 1.042  0.129 1.032  0.326 1.015  0.521 0.976  0.715 0.936  0.908 0.895  1.090 0.815  1.251 0.707  1.329 0.531  1.269 0.346  1.148 0.202  0.958 0.148  0.762 0.114  0.565 0.108  0.368 0.119  0.173 0.155  -0.013 0.220  -0.182 0.322  -0.350 0.427
2#val#yannis70/p  -0.752 0.734  -0.603 0.596  -0.535 0.403  -0.521 0.201  -0.518 -0.003  -0.522 -0.207  -0.518 -0.411  -0.502 -0.614  -0.474 -0.815  -0.432 -1.015  -0.389 -1.214  -0.312 -1.402  -0.231 -1.553  -0.291 -1.358  -0.343 -1.161  -0.395 -0.964  -0.448 -0.767  -0.500 -0.570  -0.553 -0.373  -0.605 -0.176  -0.658 0.021  -0.710 0.218  -0.763 0.415  -0.815 0.612  -0.711 0.739  -0.519 0.808  -0.333 0.890  -0.138 0.948  0.060 0.998  0.259 1.032  0.461 1.007  0.648 0.942  0.814 0.823  0.979 0.703  1.143 0.583  1.305 0.458  1.463 0.330  1.597 0.176  1.554 0.003  1.363 -0.067  1.162 -0.091  0.958 -0.103  0.754 -0.114  0.551 -0.113  0.347 -0.107  0.143 -0.102  -0.061 -0.097  -0.265 -0.090  -0.468 -0.082  -0.672 -0.072
2#val#yannis70/p  -0.708 0.752  -0.638 0.564  -0.569 0.376  -0.499 0.188  -0.430 0.000  -0.365 -0.190  -0.316 -0.384  -0.267 -0.578  -0.185 -0.761  -0.098 -0.942  -0.043 -1.132  -0.015 -1.331  0.012 -1.529  0.027 -1.729  0.020 -1.726  -0.013 -1.528  -0.046 -1.330  -0.080 -1.133  -0.113 -0.935  -0.146 -0.737  -0.179 -0.539  -0.212 -0.341  -0.245 -0.144  -0.278 0.054  -0.311 0.252  -0.344 0.450  -0.377 0.648  -0.410 0.845  -0.443 1.043  -0.471 1.237  -0.271 1.259  -0.072 1.281  0.128 1.295  0.328 1.301  0.521 1.263  0.707 1.189  0.887 1.105  1.023 0.958  1.060 0.762  1.025 0.568  0.939 0.388  0.834 0.218  0.708 0.062  0.547 -0.057  0.384 -0.174  0.188 -0.208  -0.009 -0.233  -0.204 -0.188  -0.400 -0.142  -0.585 -0.069
2#val#yannis70/p  -0.765 0.861  -0.709 0.661  -0.653 0.460  -0.597 0.259  -0.541 0.059  -0.485 -0.142  -0.433 -0.344  -0.385 -0.546  -0.299 -0.735  -0.210 -0.924  -0.150 -1.122  -0.133 -1.328  -0.182 -1.496  -0.227 -1.294  -0.281 -1.093  -0.334 -0.892  -0.388 -0.690  -0.442 -0.489  -0.495 -0.288  -0.549 -0.087  -0.602 0.115  -0.656 0.316  -0.710 0.517  -0.763 0.718  -0.817 0.920  -0.649 1.006  -0.446 1.044  -0.238 1.062  -0.030 1.060  0.178 1.048  0.386 1.037  0.593 1.025  0.794 0.974  0.991 0.907  1.139 0.764  1.228 0.582  1.277 0.380  1.296 0.172  1.284 -0.034  1.251 -0.240  1.168 -0.423  0.990 -0.526  0.783 -0.546  0.575 -0.531  0.369 -0.506  0.164 -0.467  -0.040 -0.428  -0.234 -0.354  -0.424 -0.268  -0.599 -0.155
2#val#yannis70/p  -0.828 0.876  -0.769 0.691  -0.711 0.505  -0.653 0.320  -0.589 0.137  -0.512 -0.042  -0.435 -0.220  -0.358 -0.399  -0.281 -0.577  -0.216 -0.760  -0.161 -0.946  -0.083 -1.124  -0.021 -1.306  0.004 -1.499  -0.045 -1.579  -0.101 -1.393  -0.154 -1.206  -0.207 -1.019  -0.260 -0.832  -0.313 -0.646  -0.366 -0.459  -0.419 -0.272  -0.472 -0.085  -0.525 0.102  -0.578 0.289  -0.631 0.476  -0.684 0.663  -0.737 0.850  -0.787 1.035  -0.593 1.038  -0.399 1.042  -0.205 1.044  -0.011 1.026  0.183 1.008  0.376 0.989  0.560 0.927  0.744 0.865  0.909 0.766  1.064 0.650  1.220 0.533  1.311 0.371  1.334 0.187  1.254 0.011  1.135 -0.142  0.973 -0.240  0.793 -0.312  0.603 -0.334  0.408 -0.336  0.214 -0.338  0.020 -0.333
2#val#yannis70/p  -0.707 0.790  -0.650 0.584  -0.593 0.377  -0.536 0.171  -0.458 -0.028  -0.372 -0.224  -0.286 -0.420  -0.212 -0.621  -0.148 -0.825  -0.063 -1.018  0.073 -1.184  0.208 -1.350  0.312 -1.532  0.276 -1.669  0.156 -1.493  0.066 -1.298  -0.022 -1.103  -0.111 -0.908  -0.200 -0.714  -0.288 -0.519  -0.377 -0.324  -0.466 -0.129  -0.555 0.066  -0.643 0.261  -0.732 0.456  -0.821 0.651  -0.909 0.846  -0.938 1.010  -0.728 1.054  -0.514 1.063  -0.300 1.068  -0.087 1.058  0.127 1.039  0.339 1.013  0.549 0.969  0.755 0.914  0.947 0.820  1.102 0.682  1.227 0.508  1.301 0.311  1.287 0.106  1.163 -0.065  0.963 -0.128  0.751 -0.150  0.537 -0.154  0.328 -0.107  0.119 -0.059  -0.087 -0.002  -0.291 0.063  -0.489 0.144
2#val#yannis70/p  -0.906 1.119  -0.827 0.949  -0.749 0.779  -0.675 0.607  -0.604 0.434  -0.533 0.261  -0.488 0.079  -0.447 -0.104  -0.406 -0.286  -0.372 -0.470  -0.345 -0.656  -0.324 -0.841  -0.332 -1.028  -0.340 -1.215  -0.348 -1.402  -0.373 -1.587  -0.457 -1.750  -0.418 -1.598  -0.365 -1.419  -0.312 -1.239  -0.259 -1.060  -0.206 -0.880  -0.153 -0.700  -0.100 -0.521  -0.047 -0.341  0.006 -0.162  0.059 0.018  0.112 0.197  0.165 0.377  0.218 0.557  0.271 0.736  0.324 0.916  0.381 1.089  0.566 1.056  0.750 1.024  0.935 0.991  1.109 0.923  1.282 0.853  1.306 0.702  1.148 0.603  0.989 0.504  0.814 0.437  0.639 0.371  0.456 0.332  0.272 0.294  0.088 0.260  -0.097 0.235  -0.283 0.210  -0.469 0.185  -0.654 0.161
2#val#yannis70/p  -0.560 0.346  -0.525 0.163  -0.490 -0.020  -0.456 -0.203  -0.418 -0.385  -0.379 -0.567  -0.337 -0.748  -0.288 -0.927  -0.239 -1.107  -0.198 -1.288  -0.159 -1.470  -0.126 -1.653  -0.150 -1.716  -0.175 -1.531  -0.200 -1.347  -0.225 -1.163  -0.250 -0.978  -0.275 -0.794  -0.300 -0.610  -0.325 -0.425  -0.350 -0.241  -0.375 -0.057  -0.400 0.128  -0.425 0.312  -0.450 0.497  -0.475 0.681  -0.500 0.865  -0.525 1.050  -0.472 1.161  -0.286 1.150  -0.100 1.139  0.085 1.128  0.268 1.100  0.449 1.055  0.625 0.995  0.801 0.936  0.978 0.876  1.154 0.816  1.281 0.699  1.268 0.526  1.139 0.405  0.980 0.310  0.808 0.237  0.635 0.171  0.453 0.133  0.271 0.095  0.086 0.071  -0.098 0.050  -0.284 0.054  -0.467 0.081
2#val#yannis70/p  -0.468 0.289  -0.372 0.121  -0.273 -0.045  -0.166 -0.206  -0.060 -0.367  0.047 -0.529  0.149 -0.693  0.247 -0.859  0.338 -1.029  0.378 -1.218  0.418 -1.407  0.385 -1.597  0.309 -1.640  0.210 -1.475  0.111 -1.309  0.012 -1.143  -0.087 -0.977  -0.186 -0.811  -0.285 -0.645  -0.384 -0.479  -0.483 -0.313  -0.582 -0.147  -0.682 0.019  -0.781 0.185  -0.880 0.351  -0.979 0.517  -1.078 0.683  -1.017 0.856  -0.849 0.952  -0.677 1.037  -0.488 1.078  -0.299 1.119  -0.109 1.124  0.083 1.100  0.275 1.076  0.467 1.051  0.658 1.027  0.813 0.916  0.964 0.794  1.082 0.643  1.158 0.467  1.089 0.291  0.918 0.211  0.731 0.161  0.540 0.141  0.347 0.132  0.153 0.130  -0.040 0.128  -0.233 0.132  -0.425 0.154
2#val#yannis70/p  -0.655 0.528  -0.575 0.349  -0.496 0.170  -0.418 -0.010  -0.339 -0.189  -0.264 -0.370  -0.189 -0.551  -0.129 -0.736  -0.095 -0.929  -0.061 -1.121  -0.027 -1.314  -0.006 -1.509  0.005 -1.704  -0.030 -1.770  -0.068 -1.578  -0.105 -1.385  -0.143 -1.193  -0.180 -1.001  -0.218 -0.809  -0.255 -0.617  -0.293 -0.425  -0.330 -0.233  -0.368 -0.041  -0.405 0.152  -0.443 0.344  -0.480 0.536  -0.518 0.728  -0.555 0.920  -0.593 1.112  -0.569 1.250  -0.373 1.237  -0.178 1.223  0.017 1.210  0.212 1.197  0.383 1.102  0.552 1.003  0.716 0.897  0.874 0.782  1.030 0.664  1.187 0.547  1.238 0.389  1.114 0.239  0.932 0.166  0.740 0.132  0.546 0.105  0.352 0.084  0.156 0.081  -0.040 0.078  -0.231 0.113  -0.424 0.147
2#val#yannis70/p  -0.908 0.601  -0.839 0.450  -0.769 0.300  -0.703 0.149  -0.641 -0.005  -0.579 -0.158  -0.516 -0.311  -0.448 -0.462  -0.378 -0.612  -0.308 -0.762  -0.260 -0.920  -0.215 -1.079  -0.171 -1.238  -0.128 -1.398  -0.113 -1.555  -0.212 -1.682  -0.250 -1.604  -0.233 -1.439  -0.217 -1.275  -0.200 -1.110  -0.183 -0.946  -0.166 -0.781  -0.149 -0.616  -0.133 -0.452  -0.116 -0.287  -0.099 -0.123  -0.082 0.042  -0.065 0.207  -0.048 0.371  -0.032 0.536  -0.015 0.700  0.002 0.865  0.019 1.030  0.036 1.194  0.082 1.318  0.244 1.284  0.406 1.249  0.568 1.215  0.712 1.136  0.854 1.050  0.948 0.919  1.016 0.770  1.017 0.608  0.939 0.466  0.800 0.385  0.637 0.373  0.471 0.377  0.306 0.391  0.142 0.406  -0.023 0.420
2#val#yannis70/p  -0.754 1.064  -0.722 0.890  -0.689 0.717  -0.657 0.544  -0.625 0.370  -0.584 0.198  -0.542 0.027  -0.503 -0.145  -0.470 -0.318  -0.438 -0.492  -0.407 -0.665  -0.381 -0.840  -0.356 -1.015  -0.335 -1.190  -0.321 -1.366  -0.307 -1.541  -0.267 -1.712  -0.220 -1.705  -0.173 -1.535  -0.127 -1.365  -0.080 -1.195  -0.033 -1.025  0.014 -0.854  0.060 -0.684  0.107 -0.514  0.154 -0.344  0.200 -0.174  0.247 -0.004  0.294 0.166  0.341 0.336  0.387 0.507  0.434 0.677  0.481 0.847  0.527 1.017  0.574 1.187  0.621 1.357  0.745 1.322  0.892 1.225  0.899 1.058  0.852 0.890  0.789 0.725  0.676 0.592  0.553 0.465  0.398 0.386  0.229 0.343  0.053 0.324  -0.123 0.327  -0.298 0.340  -0.471 0.374  -0.645 0.408
2#val#yannis70/p  -0.625 1.060  -0.595 0.871  -0.564 0.681  -0.534 0.491  -0.505 0.302  -0.475 0.112  -0.449 -0.078  -0.424 -0.269  -0.401 -0.459  -0.380 -0.650  -0.373 -0.842  -0.378 -1.034  -0.388 -1.225  -0.413 -1.415  -0.455 -1.602  -0.490 -1.676  -0.480 -1.485  -0.471 -1.293  -0.461 -1.101  -0.451 -0.909  -0.441 -0.718  -0.432 -0.526  -0.422 -0.334  -0.412 -0.142  -0.402 0.049  -0.393 0.241  -0.383 0.433  -0.373 0.625  -0.364 0.817  -0.244 0.911  -0.055 0.946  0.134 0.960  0.323 0.927  0.512 0.893  0.701 0.859  0.886 0.812  1.064 0.738  1.233 0.648  1.403 0.558  1.479 0.410  1.391 0.269  1.217 0.194  1.029 0.154  0.840 0.123  0.649 0.114  0.457 0.105  0.265 0.096  0.073 0.100  -0.118 0.110  -0.307 0.148
1c#app#app37#app3799/p  -0.263 0.965  -0.263 0.778  -0.263 0.592  -0.263 0.405  -0.263 0.218  -0.263 0.031  -0.250 -0.152  -0.177 -0.319  -0.260 -0.486  -0.182 -0.653  -0.172 -0.838  -0.172 -1.024  -0.172 -1.211  -0.172 -1.398  -0.172 -1.584  -0.172 -1.771  -0.165 -1.758  -0.089 -1.607  -0.113 -1.422  -0.136 -1.237  -0.159 -1.051  -0.182 -0.866  -0.205 -0.681  -0.228 -0.496  -0.252 -0.310  -0.275 -0.125  -0.298 0.060  -0.321 0.246  -0.344 0.431  -0.354 0.617  -0.275 0.771  -0.172 0.862  -0.135 1.039  -0.034 1.194  0.098 1.326  0.246 1.420  0.374 1.478  0.528 1.511  0.647 1.390  0.647 1.203  0.647 1.017  0.647 0.830  0.647 0.643  0.583 0.472  0.556 0.291  0.465 0.142  0.395 -0.015  0.374 -0.193  0.260 -0.333  0.101 -0.400
1c#app#app12#app1212/p  -0.587 0.868  -0.587 0.684  -0.587 0.500  -0.587 0.316  -0.558 0.144  -0.448 0.006  -0.448 -0.178  -0.448 -0.362  -0.448 -0.545  -0.400 -0.710  -0.309 -0.856  -0.309 -1.039  -0.244 -1.208  -0.170 -1.374  -0.126 -1.540  -0.031 -1.684  -0.031 -1.680  -0.031 -1.496  -0.031 -1.312  -0.031 -1.129  -0.165 -1.079  -0.170 -0.900  -0.170 -0.716  -0.170 -0.532  -0.170 -0.349  -0.170 -0.165  -0.258 -0.017  -0.309 0.145  -0.309 0.329  -0.309 0.513  -0.309 0.697  -0.170 0.742  -0.170 0.925  -0.170 1.109  -0.031 1.154  0.023 1.285  0.206 1.285  0.348 1.184  0.516 1.146  0.649 1.022  0.804 0.984  0.851 0.820  0.998 0.729  1.082 0.629  0.979 0.487  0.943 0.319  0.770 0.295  0.606 0.212  0.431 0.172  0.247 0.172
1c#app#app12#app1212/p  -0.387 0.694  -0.387 0.494  -0.387 0.294  -0.264 0.145  -0.245 -0.047  -0.182 -0.221  -0.104 -0.388  -0.099 -0.586  0.038 -0.729  0.038 -0.929  0.093 -1.116  0.180 -1.296  0.180 -1.496  0.180 -1.695  0.306 -1.843  0.322 -1.680  0.255 -1.508  0.180 -1.339  0.172 -1.142  0.038 -0.998  0.038 -0.798  -0.051 -0.635  -0.104 -0.457  -0.186 -0.276  -0.245 -0.090  -0.334 0.073  -0.387 0.251  -0.516 0.397  -0.529 0.592  -0.627 0.694  -0.671 0.850  -0.671 1.050  -0.540 1.119  -0.482 1.261  -0.313 1.335  -0.141 1.403  0.053 1.388  0.200 1.261  0.322 1.182  0.458 1.119  0.501 0.940  0.605 0.783  0.716 0.694  0.747 0.525  0.662 0.410  0.604 0.268  0.425 0.178  0.322 0.042  0.179 -0.016  0.038 -0.157
2#app#app31#app3175/p  0.137 0.854  0.137 0.703  0.137 0.553  0.137 0.403  0.137 0.252  0.116 0.105  0.069 -0.038  0.039 -0.183  0.039 -0.334  0.039 -0.484  0.039 -0.634  0.008 -0.778  -0.059 -0.912  -0.059 -1.062  -0.062 -1.212  -0.129 -1.347  -0.158 -1.490  -0.186 -1.629  -0.256 -1.646  -0.354 -1.594  -0.354 -1.444  -0.354 -1.293  -0.354 -1.143  -0.354 -0.992  -0.354 -0.842  -0.354 -0.692  -0.329 -0.545  -0.282 -0.402  -0.256 -0.256  -0.256 -0.106  -0.256 0.045  -0.247 0.193  -0.199 0.336  -0.149 0.478  -0.082 0.612  -0.028 0.752  0.020 0.895  0.039 1.042  0.103 1.178  0.137 1.320  0.226 1.434  0.332 1.540  0.467 1.505  0.530 1.380  0.530 1.230  0.530 1.080  0.513 0.936  0.431 0.819  0.345 0.756  0.235 0.657
2#app#app31#app3175/p  0.255 -0.107  0.255 0.138  0.405 0.232  0.405 0.476  0.405 0.721  0.255 0.815  0.255 0.832  0.255 0.587  0.148 0.387  0.104 0.161  0.104 -0.084  0.104 -0.328  0.031 -0.555  -0.046 -0.781  -0.046 -1.025  -0.125 -1.237  -0.196 -1.452  -0.196 -1.696  -0.196 -1.941  -0.196 -1.935  -0.196 -1.691  -0.311 -1.494  -0.346 -1.264  -0.346 -1.020  -0.497 -0.838  -0.497 -0.593  -0.497 -0.349  -0.497 -0.105  -0.497 0.140  -0.469 0.372  -0.346 0.566  -0.336 0.806  -0.196 0.992  -0.096 1.195  -0.025 1.406  0.193 1.516  0.430 1.546  0.640 1.462  0.705 1.245  0.705 1.001  0.572 0.812  0.456 0.597  0.405 0.365  0.247 0.186  0.104 0.001  -0.032 -0.107  -0.214 -0.257  -0.346 -0.144  -0.346 0.100  -0.346 0.344
1c#apb#apb32#app3243/p  -0.314 0.884  -0.346 0.707  -0.355 0.528  -0.349 0.348  -0.331 0.169  -0.314 -0.010  -0.314 -0.190  -0.314 -0.370  -0.301 -0.549  -0.284 -0.729  -0.272 -0.908  -0.272 -1.088  -0.272 -1.268  -0.272 -1.448  -0.272 -1.628  -0.283 -1.670  -0.326 -1.496  -0.386 -1.326  -0.440 -1.155  -0.461 -0.977  -0.482 -0.798  -0.501 -0.619  -0.513 -0.439  -0.525 -0.260  -0.537 -0.080  -0.510 0.096  -0.465 0.270  -0.420 0.444  -0.375 0.619  -0.300 0.779  -0.198 0.928  -0.097 1.076  0.029 1.200  0.180 1.297  0.348 1.338  0.528 1.338  0.682 1.252  0.789 1.115  0.870 0.954  0.920 0.782  0.963 0.607  0.998 0.431  1.022 0.253  1.005 0.075  0.922 -0.068  0.766 -0.151  0.587 -0.164  0.424 -0.113  0.270 -0.020  0.099 0.037
1c#app#app13#app1359/p  -0.178 1.106  -0.215 0.951  -0.332 0.878  -0.332 0.688  -0.332 0.497  -0.332 0.306  -0.332 0.115  -0.332 -0.075  -0.332 -0.266  -0.318 -0.451  -0.183 -0.586  -0.178 -0.775  -0.178 -0.965  -0.178 -1.156  -0.178 -1.347  -0.178 -1.538  -0.178 -1.728  -0.197 -1.732  -0.234 -1.545  -0.272 -1.358  -0.309 -1.171  -0.346 -0.984  -0.384 -0.797  -0.421 -0.610  -0.459 -0.423  -0.496 -0.236  -0.533 -0.049  -0.571 0.138  -0.608 0.325  -0.641 0.513  -0.580 0.643  -0.418 0.712  -0.283 0.847  -0.136 0.951  0.047 0.987  0.217 1.072  0.400 1.106  0.591 1.106  0.726 0.972  0.901 0.944  0.945 0.797  1.056 0.717  1.056 0.526  1.056 0.336  1.056 0.145  0.984 0.026  0.793 0.026  0.602 0.026  0.465 0.154  0.284 0.180
1c#apb#apb35#app3514/p  0.669 0.927  0.607 1.056  0.470 0.921  0.356 0.764  0.245 0.605  0.135 0.445  0.026 0.285  -0.082 0.124  -0.183 -0.042  -0.285 -0.207  -0.389 -0.370  -0.500 -0.530  -0.611 -0.689  -0.728 -0.844  -0.846 -0.998  -0.972 -1.144  -1.102 -1.289  -1.240 -1.423  -1.312 -1.417  -1.187 -1.269  -1.063 -1.120  -0.938 -0.972  -0.813 -0.823  -0.688 -0.675  -0.563 -0.526  -0.438 -0.378  -0.313 -0.229  -0.188 -0.081  -0.064 0.068  0.061 0.216  0.135 0.334  0.200 0.411  0.368 0.506  0.531 0.612  0.698 0.711  0.866 0.808  1.039 0.893  1.224 0.951  1.289 0.843  1.195 0.674  1.077 0.521  0.940 0.384  0.798 0.252  0.631 0.157  0.449 0.092  0.259 0.077  0.072 0.124  -0.031 0.268  0.019 0.448  0.178 0.544
1c#app#app08#app0858/p  -0.801 1.043  -0.699 0.975  -0.688 0.806  -0.634 0.645  -0.561 0.496  -0.460 0.361  -0.392 0.207  -0.392 0.037  -0.369 -0.128  -0.293 -0.280  -0.289 -0.450  -0.278 -0.617  -0.202 -0.769  -0.187 -0.936  -0.187 -1.106  -0.157 -1.269  -0.085 -1.422  -0.085 -1.593  -0.085 -1.763  -0.085 -1.711  -0.085 -1.541  -0.085 -1.371  -0.085 -1.201  -0.085 -1.031  -0.077 -0.861  -0.043 -0.694  -0.010 -0.527  0.018 -0.360  0.018 -0.190  0.038 -0.023  0.091 0.139  0.120 0.304  0.120 0.474  0.125 0.643  0.201 0.796  0.222 0.961  0.222 1.131  0.325 1.259  0.381 1.406  0.532 1.452  0.632 1.382  0.632 1.212  0.632 1.041  0.632 0.871  0.607 0.711  0.529 0.573  0.439 0.441  0.391 0.290  0.270 0.170  0.222 0.020
1c#app#app08#app0858/p  -0.332 1.122  -0.332 0.940  -0.332 0.758  -0.332 0.576  -0.332 0.395  -0.332 0.213  -0.332 0.031  -0.332 -0.151  -0.332 -0.333  -0.315 -0.511  -0.234 -0.673  -0.232 -0.855  -0.232 -1.037  -0.232 -1.219  -0.232 -1.400  -0.157 -1.551  -0.133 -1.723  -0.133 -1.845  -0.133 -1.663  -0.133 -1.482  -0.133 -1.300  -0.133 -1.118  -0.133 -0.936  -0.133 -0.754  -0.133 -0.572  -0.133 -0.390  -0.133 -0.209  -0.133 -0.027  -0.133 0.155  -0.133 0.337  -0.133 0.519  -0.133 0.701  -0.133 0.883  -0.133 1.064  -0.045 1.210  0.084 1.338  0.231 1.422  0.400 1.389  0.528 1.260  0.667 1.194  0.744 1.045  0.767 0.872  0.767 0.690  0.767 0.508  0.670 0.423  0.567 0.286  0.453 0.210  0.307 0.123  0.141 0.060  -0.033 0.023
3#app#app07#app0718/p  0.403 0.921  0.403 0.728  0.303 0.577  0.242 0.398  0.156 0.225  0.052 0.066  -0.053 -0.093  -0.140 -0.266  -0.241 -0.428  -0.377 -0.564  -0.473 -0.730  -0.591 -0.879  -0.682 -1.049  -0.735 -1.224  -0.805 -1.388  -0.805 -1.581  -0.786 -1.623  -0.740 -1.436  -0.693 -1.248  -0.646 -1.061  -0.599 -0.874  -0.552 -0.687  -0.506 -0.500  -0.459 -0.312  -0.412 -0.125  -0.365 0.062  -0.318 0.249  -0.272 0.436  -0.225 0.624  -0.134 0.786  0.003 0.921  0.168 0.988  0.242 1.142  0.412 1.232  0.567 1.324  0.760 1.324  0.907 1.277  1.005 1.125  1.007 0.933  1.007 0.740  0.930 0.565  0.879 0.390  0.766 0.236  0.665 0.075  0.528 -0.062  0.387 -0.187  0.226 -0.264  0.043 -0.287  -0.150 -0.287  -0.302 -0.187
2#tos#t1#t1017065/p  -0.207 1.173  -0.342 1.102  -0.419 0.973  -0.419 0.767  -0.348 0.632  -0.348 0.426  -0.348 0.220  -0.348 0.014  -0.348 -0.192  -0.348 -0.397  -0.348 -0.603  -0.348 -0.809  -0.370 -1.012  -0.419 -1.210  -0.419 -1.415  -0.419 -1.621  -0.419 -1.827  -0.400 -1.703  -0.377 -1.498  -0.354 -1.293  -0.331 -1.089  -0.307 -0.884  -0.284 -0.680  -0.261 -0.475  -0.238 -0.271  -0.214 -0.066  -0.191 0.139  -0.168 0.343  -0.145 0.548  -0.121 0.752  -0.098 0.957  -0.075 1.161  0.058 1.243  0.264 1.243  0.447 1.208  0.588 1.102  0.765 1.031  0.900 0.961  0.995 0.796  1.057 0.616  0.995 0.484  0.995 0.278  0.846 0.175  0.692 0.071  0.548 -0.029  0.413 -0.100  0.291 -0.236  0.159 -0.312  -0.018 -0.383  -0.207 -0.312
2#apa#apa14#app1477/p  -0.232 0.835  -0.232 0.660  -0.232 0.485  -0.232 0.310  -0.232 0.135  -0.232 -0.040  -0.190 -0.208  -0.134 -0.374  -0.079 -0.540  -0.049 -0.710  -0.049 -0.885  -0.049 -1.060  -0.049 -1.235  -0.049 -1.410  -0.049 -1.585  -0.049 -1.760  -0.049 -1.884  -0.049 -1.709  -0.049 -1.534  -0.049 -1.359  -0.049 -1.184  -0.049 -1.009  -0.049 -0.834  -0.049 -0.659  -0.049 -0.484  -0.049 -0.309  -0.049 -0.134  -0.049 0.041  -0.049 0.216  -0.049 0.391  -0.049 0.566  -0.089 0.731  -0.167 0.888  -0.232 1.047  -0.217 1.216  -0.093 1.340  0.063 1.384  0.238 1.384  0.413 1.384  0.562 1.321  0.682 1.196  0.682 1.021  0.606 0.864  0.527 0.708  0.393 0.616  0.227 0.561  0.061 0.506  -0.102 0.443  -0.259 0.364  -0.415 0.286
