3#apa#apa13#app1334/<  1.113 1.052  1.221 1.052  1.194 1.052  1.085 1.052  0.977 1.052  0.896 0.984  0.819 0.907  0.713 0.903  0.604 0.903  0.495 0.903  0.387 0.903  0.305 0.839  0.228 0.762  0.123 0.754  0.031 0.714  -0.046 0.637  -0.078 0.542  -0.101 0.456  -0.209 0.456  -0.291 0.392  -0.368 0.315  -0.473 0.308  -0.525 0.250  -0.541 0.159  -0.650 0.159  -0.673 0.074  -0.718 0.010  -0.822 0.005  -0.822 -0.103  -0.822 -0.212  -0.822 -0.320  -0.822 -0.429  -0.722 -0.437  -0.673 -0.497  -0.659 -0.600  -0.583 -0.676  -0.498 -0.734  -0.389 -0.734  -0.309 -0.801  -0.232 -0.878  -0.126 -0.883  -0.035 -0.926  0.042 -1.003  0.119 -1.080  0.195 -1.157  0.294 -1.181  0.402 -1.181  0.511 -1.181  0.590 -1.253  0.666 -1.330
2#syn#syn0#fwu/<  0.649 1.304  0.567 1.240  0.486 1.176  0.405 1.112  0.320 1.052  0.235 0.994  0.148 0.938  0.060 0.884  -0.028 0.829  -0.117 0.777  -0.207 0.726  -0.296 0.674  -0.384 0.619  -0.471 0.563  -0.557 0.506  -0.643 0.449  -0.729 0.391  -0.815 0.333  -0.898 0.273  -0.979 0.208  -1.061 0.145  -1.141 0.079  -1.062 0.025  -0.977 -0.034  -0.890 -0.090  -0.802 -0.144  -0.714 -0.198  -0.625 -0.251  -0.536 -0.302  -0.444 -0.351  -0.353 -0.399  -0.260 -0.445  -0.166 -0.487  -0.071 -0.528  0.024 -0.569  0.121 -0.605  0.218 -0.642  0.315 -0.678  0.414 -0.706  0.514 -0.734  0.613 -0.762  0.715 -0.779  0.817 -0.794  0.920 -0.809  1.023 -0.817  1.126 -0.825  1.229 -0.831  1.332 -0.834  1.436 -0.838  1.539 -0.843
2#syn#syn0#fwu/<  0.691 1.427  0.637 1.336  0.569 1.253  0.500 1.172  0.424 1.097  0.340 1.030  0.257 0.963  0.174 0.895  0.089 0.831  0.002 0.769  -0.088 0.711  -0.178 0.653  -0.268 0.596  -0.358 0.538  -0.448 0.480  -0.538 0.422  -0.628 0.364  -0.717 0.305  -0.806 0.246  -0.895 0.187  -0.984 0.127  -1.070 0.063  -1.156 -0.000  -1.074 -0.028  -0.978 -0.074  -0.889 -0.133  -0.801 -0.193  -0.712 -0.253  -0.623 -0.313  -0.533 -0.371  -0.440 -0.423  -0.347 -0.475  -0.253 -0.526  -0.159 -0.578  -0.063 -0.624  0.036 -0.666  0.137 -0.700  0.238 -0.735  0.340 -0.769  0.441 -0.801  0.547 -0.818  0.653 -0.834  0.759 -0.841  0.866 -0.845  0.970 -0.822  1.074 -0.794  1.173 -0.755  1.272 -0.713  1.371 -0.674  1.451 -0.706
2#app#app13#app1315/<  0.431 1.314  0.431 1.210  0.431 1.183  0.431 1.287  0.354 1.314  0.262 1.302  0.262 1.199  0.227 1.110  0.154 1.036  0.075 0.976  -0.029 0.976  -0.076 0.919  -0.076 0.816  -0.171 0.807  -0.244 0.777  -0.244 0.673  -0.313 0.638  -0.413 0.635  -0.413 0.531  -0.443 0.440  -0.516 0.367  -0.582 0.290  -0.582 0.187  -0.582 0.083  -0.582 -0.020  -0.582 -0.124  -0.582 -0.228  -0.582 -0.331  -0.582 -0.435  -0.582 -0.539  -0.484 -0.544  -0.413 -0.577  -0.413 -0.681  -0.342 -0.713  -0.240 -0.717  -0.167 -0.791  -0.093 -0.864  0.003 -0.882  0.106 -0.882  0.210 -0.882  0.299 -0.918  0.372 -0.991  0.451 -1.051  0.555 -1.051  0.658 -1.051  0.762 -1.051  0.837 -1.119  0.911 -1.192  1.003 -1.219  1.107 -1.219
2#app#app13#app1315/<  0.871 1.345  0.753 1.345  0.674 1.307  0.674 1.190  0.674 1.073  0.674 0.955  0.560 0.952  0.443 0.952  0.326 0.952  0.281 0.879  0.281 0.762  0.170 0.756  0.085 0.724  0.085 0.607  0.015 0.559  -0.102 0.559  -0.188 0.483  -0.271 0.400  -0.373 0.363  -0.490 0.363  -0.577 0.290  -0.660 0.207  -0.760 0.166  -0.878 0.166  -0.898 0.069  -0.898 -0.048  -0.898 -0.165  -0.898 -0.283  -0.898 -0.400  -0.898 -0.517  -0.887 -0.630  -0.804 -0.713  -0.722 -0.796  -0.613 -0.816  -0.495 -0.816  -0.378 -0.816  -0.261 -0.816  -0.144 -0.816  -0.026 -0.816  0.091 -0.816  0.208 -0.816  0.326 -0.816  0.443 -0.816  0.560 -0.816  0.677 -0.816  0.795 -0.816  0.912 -0.816  1.029 -0.816  1.146 -0.816  1.264 -0.816
2#apa#apa15#app1528/<  1.030 1.205  1.030 1.302  0.949 1.319  0.862 1.283  0.781 1.229  0.699 1.175  0.618 1.121  0.543 1.060  0.474 0.991  0.405 0.922  0.334 0.854  0.256 0.796  0.178 0.737  0.100 0.679  0.022 0.620  -0.056 0.562  -0.134 0.503  -0.212 0.445  -0.290 0.386  -0.368 0.327  -0.446 0.269  -0.524 0.210  -0.598 0.147  -0.667 0.078  -0.736 0.009  -0.805 -0.060  -0.874 -0.129  -0.909 -0.212  -0.877 -0.278  -0.781 -0.285  -0.694 -0.328  -0.607 -0.372  -0.523 -0.421  -0.442 -0.475  -0.360 -0.530  -0.279 -0.584  -0.193 -0.620  -0.100 -0.631  -0.031 -0.700  0.038 -0.769  0.107 -0.838  0.176 -0.907  0.238 -0.981  0.268 -1.073  0.299 -1.166  0.330 -1.259  0.395 -1.304  0.459 -1.337  0.459 -1.435  0.459 -1.532
2#apa#apa15#app1528/<  0.976 1.133  0.976 1.232  0.976 1.249  0.976 1.150  0.904 1.096  0.815 1.052  0.727 1.008  0.636 0.976  0.537 0.976  0.438 0.976  0.342 0.969  0.272 0.899  0.202 0.829  0.132 0.759  0.062 0.690  -0.007 0.620  -0.077 0.550  -0.147 0.480  -0.217 0.410  -0.287 0.340  -0.357 0.270  -0.427 0.201  -0.497 0.131  -0.566 0.061  -0.636 -0.009  -0.706 -0.079  -0.787 -0.123  -0.886 -0.123  -0.907 -0.200  -0.887 -0.279  -0.788 -0.279  -0.707 -0.322  -0.637 -0.392  -0.567 -0.462  -0.497 -0.532  -0.425 -0.599  -0.337 -0.643  -0.248 -0.687  -0.160 -0.731  -0.082 -0.790  -0.012 -0.860  0.058 -0.930  0.127 -1.000  0.197 -1.070  0.267 -1.139  0.337 -1.209  0.407 -1.279  0.477 -1.349  0.506 -1.436  0.506 -1.535
2#apa#apa15#app1528/<  0.803 1.330  0.803 1.427  0.784 1.477  0.715 1.409  0.647 1.340  0.578 1.272  0.510 1.203  0.442 1.135  0.373 1.067  0.305 0.998  0.236 0.930  0.168 0.861  0.100 0.793  0.031 0.725  -0.035 0.655  -0.089 0.574  -0.143 0.494  -0.196 0.413  -0.250 0.333  -0.304 0.252  -0.357 0.172  -0.425 0.102  -0.493 0.034  -0.561 -0.034  -0.630 -0.103  -0.693 -0.173  -0.693 -0.270  -0.718 -0.357  -0.786 -0.425  -0.854 -0.493  -0.770 -0.498  -0.679 -0.513  -0.611 -0.581  -0.542 -0.649  -0.452 -0.665  -0.355 -0.666  -0.263 -0.697  -0.172 -0.728  -0.080 -0.758  0.012 -0.789  0.104 -0.819  0.188 -0.864  0.269 -0.918  0.349 -0.972  0.430 -1.025  0.510 -1.079  0.591 -1.133  0.666 -1.193  0.734 -1.261  0.803 -1.330
2#apa#apa00#app0052/<  0.703 1.447  0.703 1.330  0.590 1.326  0.582 1.217  0.477 1.206  0.462 1.104  0.364 1.085  0.341 0.991  0.341 0.874  0.280 0.782  0.188 0.723  0.099 0.694  0.082 0.584  -0.001 0.502  -0.109 0.481  -0.202 0.422  -0.293 0.360  -0.402 0.342  -0.485 0.259  -0.594 0.239  -0.711 0.239  -0.746 0.158  -0.824 0.119  -0.941 0.119  -1.037 0.069  -1.092 -0.002  -0.979 -0.011  -0.896 -0.094  -0.791 -0.123  -0.695 -0.174  -0.612 -0.256  -0.530 -0.339  -0.447 -0.422  -0.364 -0.505  -0.282 -0.587  -0.172 -0.606  -0.055 -0.606  0.037 -0.665  0.125 -0.740  0.230 -0.792  0.335 -0.844  0.419 -0.925  0.518 -0.968  0.635 -0.968  0.737 -1.002  0.820 -1.085  0.903 -1.168  1.002 -1.210  1.104 -1.248  1.186 -1.331
1d#pri#pri0#000/<  0.653 1.480  0.588 1.399  0.513 1.324  0.443 1.245  0.372 1.167  0.297 1.092  0.222 1.018  0.147 0.943  0.071 0.870  -0.010 0.802  -0.091 0.733  -0.169 0.662  -0.247 0.591  -0.325 0.520  -0.406 0.451  -0.486 0.383  -0.567 0.315  -0.649 0.247  -0.730 0.180  -0.813 0.114  -0.894 0.047  -0.975 -0.022  -1.056 -0.090  -1.105 -0.181  -1.071 -0.276  -0.985 -0.335  -0.887 -0.371  -0.784 -0.397  -0.683 -0.427  -0.582 -0.458  -0.479 -0.481  -0.375 -0.502  -0.270 -0.517  -0.165 -0.529  -0.060 -0.541  0.044 -0.557  0.148 -0.575  0.253 -0.592  0.357 -0.611  0.461 -0.629  0.565 -0.647  0.669 -0.666  0.773 -0.685  0.876 -0.711  0.978 -0.736  1.081 -0.762  1.183 -0.788  1.286 -0.812  1.390 -0.833  1.494 -0.853
1d#ibm#ibm0#r0007/<  0.334 1.707  0.334 1.612  0.330 1.517  0.287 1.431  0.245 1.345  0.202 1.259  0.159 1.173  0.116 1.088  0.073 1.002  0.030 0.916  -0.013 0.830  -0.069 0.754  -0.137 0.687  -0.205 0.619  -0.273 0.551  -0.341 0.483  -0.408 0.415  -0.476 0.348  -0.544 0.280  -0.601 0.204  -0.644 0.118  -0.686 0.032  -0.729 -0.053  -0.765 -0.141  -0.765 -0.237  -0.765 -0.333  -0.765 -0.429  -0.730 -0.490  -0.634 -0.490  -0.543 -0.510  -0.457 -0.552  -0.371 -0.595  -0.286 -0.638  -0.198 -0.673  -0.102 -0.673  -0.006 -0.673  0.090 -0.673  0.182 -0.689  0.268 -0.732  0.353 -0.775  0.439 -0.817  0.526 -0.857  0.622 -0.857  0.718 -0.857  0.814 -0.857  0.907 -0.868  0.993 -0.911  1.078 -0.954  1.164 -0.997  1.250 -1.040
1d#ibm#ibm0#r0007/<  0.334 1.707  0.334 1.612  0.330 1.517  0.287 1.431  0.245 1.345  0.202 1.259  0.159 1.173  0.116 1.088  0.073 1.002  0.030 0.916  -0.013 0.830  -0.069 0.754  -0.137 0.687  -0.205 0.619  -0.273 0.551  -0.341 0.483  -0.408 0.415  -0.476 0.348  -0.544 0.280  -0.601 0.204  -0.644 0.118  -0.686 0.032  -0.729 -0.053  -0.765 -0.141  -0.765 -0.237  -0.765 -0.333  -0.765 -0.429  -0.730 -0.490  -0.634 -0.490  -0.543 -0.510  -0.457 -0.552  -0.371 -0.595  -0.286 -0.638  -0.198 -0.673  -0.102 -0.673  -0.006 -0.673  0.090 -0.673  0.182 -0.689  0.268 -0.732  0.353 -0.775  0.439 -0.817  0.526 -0.857  0.622 -0.857  0.718 -0.857  0.814 -0.857  0.907 -0.868  0.993 -0.911  1.078 -0.954  1.164 -0.997  1.250 -1.040
1d#ibm#ibm0#r0007/<  0.472 1.758  0.472 1.668  0.472 1.578  0.472 1.488  0.472 1.398  0.430 1.326  0.366 1.262  0.303 1.198  0.253 1.125  0.213 1.044  0.173 0.964  0.132 0.883  0.092 0.802  0.052 0.722  0.012 0.641  -0.028 0.561  -0.069 0.480  -0.109 0.400  -0.149 0.319  -0.189 0.239  -0.230 0.158  -0.270 0.078  -0.311 -0.002  -0.375 -0.065  -0.439 -0.129  -0.503 -0.192  -0.543 -0.273  -0.583 -0.353  -0.624 -0.433  -0.664 -0.514  -0.690 -0.592  -0.626 -0.656  -0.562 -0.719  -0.499 -0.783  -0.435 -0.847  -0.371 -0.910  -0.308 -0.973  -0.218 -0.973  -0.128 -0.973  -0.038 -0.973  0.052 -0.973  0.142 -0.973  0.232 -0.973  0.322 -0.973  0.412 -0.973  0.502 -0.973  0.592 -0.973  0.682 -0.973  0.772 -0.973  0.862 -0.973
3#app#app13#app1321/<  0.512 1.392  0.404 1.392  0.316 1.373  0.316 1.265  0.278 1.196  0.170 1.196  0.120 1.138  0.120 1.031  0.043 1.000  -0.064 1.000  -0.076 0.904  -0.081 0.799  -0.157 0.723  -0.233 0.647  -0.325 0.609  -0.432 0.609  -0.467 0.536  -0.467 0.429  -0.532 0.348  -0.608 0.272  -0.663 0.187  -0.663 0.080  -0.712 0.021  -0.819 0.021  -0.811 -0.027  -0.735 -0.103  -0.663 -0.181  -0.663 -0.288  -0.638 -0.370  -0.530 -0.370  -0.423 -0.370  -0.315 -0.370  -0.227 -0.415  -0.151 -0.491  -0.075 -0.567  0.001 -0.643  0.077 -0.719  0.153 -0.795  0.229 -0.871  0.305 -0.947  0.409 -0.958  0.516 -0.958  0.624 -0.958  0.724 -0.974  0.800 -1.050  0.876 -1.126  0.972 -1.154  1.080 -1.154  1.187 -1.154  1.295 -1.154
1d#tos#f1#f1078063/<  0.475 1.255  0.380 1.255  0.327 1.297  0.288 1.354  0.192 1.354  0.151 1.287  0.072 1.234  0.015 1.163  -0.015 1.073  -0.046 0.982  -0.083 0.895  -0.150 0.828  -0.227 0.770  -0.306 0.717  -0.319 0.628  -0.373 0.555  -0.450 0.510  -0.530 0.485  -0.576 0.402  -0.644 0.334  -0.712 0.266  -0.765 0.193  -0.716 0.147  -0.657 0.104  -0.616 0.026  -0.532 0.014  -0.446 -0.008  -0.378 -0.075  -0.310 -0.143  -0.243 -0.211  -0.167 -0.269  -0.088 -0.322  -0.037 -0.401  0.021 -0.475  0.083 -0.546  0.113 -0.637  0.169 -0.708  0.249 -0.761  0.277 -0.842  0.325 -0.912  0.405 -0.965  0.465 -1.037  0.518 -1.117  0.575 -1.190  0.575 -1.286  0.630 -1.326  0.711 -1.363  0.773 -1.432  0.773 -1.528  0.823 -1.574
1d#tos#t2#t2049062/<  0.694 1.523  0.623 1.453  0.552 1.382  0.482 1.311  0.410 1.242  0.321 1.197  0.240 1.140  0.170 1.070  0.099 0.999  0.028 0.928  -0.042 0.858  -0.113 0.787  -0.184 0.716  -0.261 0.653  -0.344 0.598  -0.427 0.543  -0.429 0.444  -0.469 0.361  -0.540 0.290  -0.628 0.261  -0.639 0.172  -0.687 0.120  -0.780 0.113  -0.780 0.013  -0.847 -0.020  -0.781 -0.088  -0.711 -0.159  -0.611 -0.160  -0.528 -0.201  -0.458 -0.272  -0.387 -0.342  -0.299 -0.371  -0.202 -0.381  -0.119 -0.437  -0.036 -0.492  0.029 -0.566  0.084 -0.649  0.142 -0.731  0.214 -0.799  0.297 -0.855  0.380 -0.910  0.446 -0.982  0.502 -1.065  0.561 -1.142  0.661 -1.142  0.760 -1.142  0.807 -1.229  0.874 -1.283  0.953 -1.332  0.974 -1.423
2#apa#apa02#app0274/<  0.813 1.280  0.911 1.280  0.813 1.274  0.804 1.178  0.700 1.178  0.610 1.163  0.592 1.077  0.488 1.077  0.408 1.053  0.381 0.976  0.307 0.946  0.283 0.851  0.210 0.777  0.136 0.704  0.045 0.672  -0.041 0.628  -0.115 0.554  -0.189 0.480  -0.200 0.381  -0.292 0.368  -0.368 0.301  -0.458 0.267  -0.504 0.208  -0.547 0.122  -0.628 0.064  -0.706 0.038  -0.727 -0.057  -0.800 -0.131  -0.808 -0.233  -0.808 -0.337  -0.708 -0.341  -0.633 -0.414  -0.541 -0.442  -0.504 -0.509  -0.434 -0.544  -0.351 -0.595  -0.277 -0.669  -0.203 -0.743  -0.130 -0.816  -0.044 -0.875  0.049 -0.921  0.134 -0.979  0.205 -1.054  0.212 -1.151  0.313 -1.158  0.387 -1.232  0.461 -1.306  0.535 -1.379  0.608 -1.453  0.610 -1.556
1d#app#app07#app0725/<  1.414 1.131  1.399 1.032  1.285 1.032  1.171 1.032  1.075 0.990  0.984 0.933  0.876 0.911  0.774 0.860  0.675 0.803  0.580 0.740  0.486 0.677  0.388 0.618  0.286 0.567  0.185 0.516  0.083 0.465  -0.025 0.438  -0.139 0.438  -0.244 0.401  -0.346 0.350  -0.431 0.276  -0.523 0.212  -0.625 0.161  -0.735 0.141  -0.824 0.081  -0.922 0.042  -1.035 0.042  -1.060 -0.047  -1.159 -0.062  -1.140 -0.156  -1.036 -0.180  -0.954 -0.259  -0.852 -0.310  -0.748 -0.354  -0.643 -0.375  -0.562 -0.455  -0.460 -0.506  -0.357 -0.552  -0.243 -0.552  -0.170 -0.592  -0.130 -0.690  -0.041 -0.750  0.060 -0.781  0.146 -0.849  0.250 -0.872  0.330 -0.953  0.411 -1.033  0.519 -1.047  0.601 -1.124  0.706 -1.146  0.721 -1.245
1d#app#app07#app0725/<  0.784 1.317  0.784 1.211  0.686 1.202  0.589 1.162  0.493 1.115  0.398 1.067  0.303 1.019  0.207 0.972  0.100 0.972  0.023 0.901  -0.065 0.857  -0.161 0.832  -0.237 0.757  -0.338 0.742  -0.444 0.742  -0.530 0.693  -0.610 0.627  -0.715 0.624  -0.790 0.548  -0.826 0.456  -0.826 0.350  -0.826 0.243  -0.804 0.145  -0.728 0.070  -0.711 -0.029  -0.637 -0.062  -0.596 -0.128  -0.556 -0.218  -0.480 -0.292  -0.374 -0.292  -0.296 -0.362  -0.251 -0.450  -0.216 -0.522  -0.117 -0.541  -0.042 -0.616  0.048 -0.672  0.143 -0.720  0.209 -0.785  0.234 -0.867  0.324 -0.884  0.332 -0.982  0.439 -0.982  0.545 -0.982  0.554 -1.080  0.644 -1.097  0.750 -1.097  0.784 -1.170  0.849 -1.212  0.939 -1.252  1.014 -1.327
1d#ibm#ibm0#r0113/<  0.641 1.604  0.570 1.533  0.500 1.462  0.429 1.391  0.358 1.320  0.297 1.242  0.252 1.152  0.208 1.063  0.163 0.973  0.084 0.917  -0.005 0.872  -0.095 0.828  -0.180 0.778  -0.225 0.688  -0.269 0.599  -0.314 0.509  -0.371 0.428  -0.442 0.357  -0.513 0.286  -0.584 0.216  -0.655 0.145  -0.665 0.049  -0.688 -0.029  -0.788 -0.029  -0.768 -0.029  -0.668 -0.029  -0.665 -0.126  -0.630 -0.192  -0.530 -0.192  -0.438 -0.224  -0.348 -0.269  -0.258 -0.313  -0.170 -0.360  -0.099 -0.431  -0.028 -0.502  0.023 -0.587  0.067 -0.677  0.112 -0.766  0.160 -0.854  0.231 -0.925  0.302 -0.995  0.397 -1.008  0.492 -1.022  0.562 -1.093  0.633 -1.163  0.641 -1.260  0.667 -1.335  0.767 -1.335  0.868 -1.335  0.968 -1.335
1d#ibm#ibm0#r0113/<  0.777 1.638  0.659 1.638  0.582 1.596  0.582 1.477  0.544 1.367  0.491 1.261  0.438 1.155  0.385 1.049  0.332 0.943  0.279 0.837  0.226 0.731  0.154 0.645  0.047 0.591  -0.059 0.538  -0.165 0.485  -0.234 0.395  -0.287 0.289  -0.340 0.183  -0.394 0.078  -0.500 0.025  -0.606 -0.028  -0.712 -0.081  -0.811 -0.145  -0.895 -0.228  -0.976 -0.313  -0.976 -0.432  -0.976 -0.458  -0.976 -0.340  -0.887 -0.310  -0.768 -0.310  -0.650 -0.310  -0.531 -0.310  -0.413 -0.310  -0.323 -0.378  -0.239 -0.462  -0.138 -0.504  -0.019 -0.504  0.100 -0.504  0.211 -0.522  0.295 -0.606  0.379 -0.690  0.493 -0.699  0.582 -0.729  0.582 -0.847  0.633 -0.945  0.717 -1.029  0.777 -1.122  0.777 -1.241  0.853 -1.283  0.972 -1.283
1d#ibm#ibm0#r0113/<  0.710 1.489  0.764 1.543  0.697 1.476  0.629 1.409  0.566 1.339  0.509 1.263  0.452 1.186  0.396 1.110  0.343 1.031  0.291 0.952  0.232 0.877  0.173 0.803  0.113 0.729  0.054 0.654  -0.017 0.592  -0.091 0.533  -0.166 0.473  -0.240 0.414  -0.296 0.339  -0.345 0.258  -0.394 0.176  -0.443 0.094  -0.518 0.037  -0.594 -0.020  -0.670 -0.077  -0.739 -0.142  -0.807 -0.209  -0.866 -0.278  -0.836 -0.368  -0.803 -0.455  -0.714 -0.490  -0.626 -0.526  -0.538 -0.561  -0.447 -0.586  -0.353 -0.604  -0.260 -0.623  -0.172 -0.653  -0.091 -0.703  -0.011 -0.754  0.070 -0.804  0.150 -0.855  0.231 -0.905  0.312 -0.955  0.393 -1.004  0.475 -1.053  0.556 -1.102  0.629 -1.162  0.696 -1.229  0.763 -1.296  0.831 -1.363
1d#ibm#ibm0#r0113/<  0.880 1.604  0.820 1.532  0.760 1.461  0.701 1.389  0.641 1.318  0.582 1.246  0.525 1.173  0.473 1.095  0.422 1.017  0.366 0.943  0.307 0.871  0.249 0.798  0.191 0.725  0.132 0.653  0.060 0.595  -0.013 0.537  -0.086 0.478  -0.158 0.420  -0.221 0.353  -0.269 0.273  -0.317 0.194  -0.365 0.114  -0.417 0.038  -0.492 -0.018  -0.567 -0.073  -0.641 -0.129  -0.711 -0.190  -0.777 -0.256  -0.843 -0.322  -0.845 -0.385  -0.773 -0.444  -0.702 -0.504  -0.630 -0.564  -0.559 -0.623  -0.487 -0.683  -0.400 -0.710  -0.309 -0.728  -0.218 -0.746  -0.127 -0.767  -0.048 -0.817  0.030 -0.866  0.109 -0.916  0.188 -0.965  0.267 -1.014  0.346 -1.064  0.425 -1.113  0.505 -1.161  0.585 -1.209  0.665 -1.256  0.745 -1.304
2#tos#f1#f1081063/<  0.797 1.648  0.797 1.548  0.797 1.447  0.760 1.355  0.704 1.283  0.618 1.249  0.546 1.178  0.475 1.107  0.432 1.024  0.392 0.937  0.331 0.857  0.271 0.776  0.211 0.695  0.166 0.605  0.100 0.539  0.005 0.507  -0.086 0.469  -0.142 0.386  -0.198 0.302  -0.271 0.238  -0.361 0.193  -0.434 0.125  -0.505 0.054  -0.555 -0.033  -0.605 -0.119  -0.676 -0.191  -0.752 -0.251  -0.852 -0.251  -0.883 -0.321  -0.785 -0.324  -0.685 -0.324  -0.664 -0.404  -0.631 -0.479  -0.533 -0.503  -0.435 -0.528  -0.356 -0.575  -0.311 -0.665  -0.247 -0.741  -0.159 -0.785  -0.063 -0.817  0.030 -0.854  0.120 -0.899  0.195 -0.964  0.266 -1.035  0.337 -1.106  0.422 -1.159  0.512 -1.204  0.602 -1.249  0.651 -1.320  0.651 -1.420
1d#ibm#ibm0#r0405/<  1.004 1.594  1.004 1.473  0.918 1.438  0.812 1.402  0.727 1.317  0.642 1.232  0.557 1.147  0.538 1.034  0.496 0.931  0.411 0.845  0.310 0.781  0.202 0.727  0.095 0.673  0.071 0.567  0.012 0.506  -0.095 0.484  -0.149 0.376  -0.203 0.268  -0.267 0.167  -0.352 0.082  -0.438 -0.003  -0.523 -0.088  -0.632 -0.116  -0.739 -0.149  -0.824 -0.234  -0.861 -0.340  -0.895 -0.426  -1.015 -0.426  -1.016 -0.546  -0.932 -0.582  -0.861 -0.532  -0.846 -0.426  -0.725 -0.426  -0.605 -0.426  -0.484 -0.426  -0.373 -0.448  -0.288 -0.534  -0.187 -0.582  -0.066 -0.582  0.054 -0.582  0.145 -0.655  0.231 -0.739  0.339 -0.793  0.446 -0.847  0.538 -0.911  0.538 -1.032  0.642 -1.048  0.763 -1.048  0.883 -1.048  1.004 -1.048
1d#ibm#ibm0#r0405/<  0.849 1.538  0.763 1.473  0.677 1.409  0.592 1.345  0.513 1.273  0.446 1.189  0.379 1.105  0.312 1.021  0.245 0.938  0.161 0.872  0.072 0.813  -0.015 0.750  -0.091 0.675  -0.167 0.599  -0.241 0.521  -0.300 0.432  -0.360 0.343  -0.428 0.260  -0.504 0.185  -0.580 0.109  -0.655 0.033  -0.737 -0.036  -0.826 -0.095  -0.916 -0.155  -0.994 -0.228  -1.070 -0.303  -1.004 -0.321  -0.897 -0.321  -0.790 -0.321  -0.682 -0.321  -0.589 -0.354  -0.504 -0.418  -0.408 -0.466  -0.312 -0.514  -0.214 -0.553  -0.107 -0.553  0.000 -0.553  0.102 -0.571  0.191 -0.631  0.280 -0.690  0.370 -0.750  0.459 -0.809  0.547 -0.870  0.623 -0.946  0.700 -1.018  0.808 -1.018  0.915 -1.018  1.022 -1.018  1.129 -1.018  1.237 -1.018
1d#ibm#ibm0#r0405/<  1.049 1.548  0.965 1.485  0.882 1.422  0.798 1.360  0.714 1.297  0.649 1.216  0.583 1.134  0.518 1.053  0.453 0.971  0.387 0.889  0.305 0.827  0.218 0.768  0.131 0.710  0.056 0.638  -0.018 0.564  -0.085 0.484  -0.148 0.400  -0.210 0.316  -0.273 0.233  -0.342 0.155  -0.416 0.081  -0.490 0.007  -0.564 -0.067  -0.639 -0.140  -0.726 -0.198  -0.813 -0.256  -0.898 -0.316  -0.972 -0.389  -1.046 -0.463  -0.968 -0.474  -0.864 -0.474  -0.759 -0.474  -0.654 -0.474  -0.550 -0.475  -0.460 -0.528  -0.371 -0.582  -0.281 -0.636  -0.192 -0.690  -0.097 -0.727  0.007 -0.727  0.112 -0.727  0.215 -0.733  0.302 -0.791  0.388 -0.849  0.475 -0.907  0.562 -0.965  0.649 -1.023  0.733 -1.085  0.807 -1.159  0.881 -1.233
1d#tos#f2#f2067064/<  0.290 1.430  0.283 1.330  0.182 1.301  0.140 1.220  0.072 1.180  0.040 1.105  -0.034 1.043  -0.138 1.029  -0.211 0.994  -0.241 0.899  -0.318 0.825  -0.414 0.776  -0.490 0.700  -0.562 0.651  -0.562 0.544  -0.612 0.486  -0.711 0.478  -0.798 0.427  -0.855 0.377  -0.913 0.298  -0.863 0.241  -0.779 0.185  -0.673 0.177  -0.576 0.134  -0.521 0.044  -0.445 -0.024  -0.345 -0.057  -0.262 -0.123  -0.211 -0.180  -0.166 -0.269  -0.110 -0.325  -0.020 -0.365  0.056 -0.441  0.140 -0.485  0.207 -0.525  0.251 -0.597  0.311 -0.676  0.391 -0.703  0.422 -0.791  0.491 -0.856  0.558 -0.926  0.625 -0.993  0.661 -1.077  0.769 -1.077  0.792 -1.161  0.884 -1.177  0.991 -1.177  1.043 -1.263  1.135 -1.277  1.093 -1.327
2#tos#t1#t1018062/<  0.482 1.575  0.382 1.575  0.363 1.493  0.340 1.416  0.323 1.332  0.266 1.279  0.174 1.257  0.164 1.167  0.102 1.115  0.045 1.039  0.045 0.938  -0.010 0.872  -0.074 0.803  -0.106 0.719  -0.189 0.664  -0.236 0.576  -0.281 0.486  -0.326 0.396  -0.352 0.302  -0.396 0.220  -0.467 0.149  -0.510 0.066  -0.543 -0.029  -0.591 -0.088  -0.641 -0.144  -0.670 -0.232  -0.750 -0.253  -0.689 -0.293  -0.605 -0.333  -0.530 -0.374  -0.453 -0.412  -0.380 -0.471  -0.324 -0.554  -0.232 -0.571  -0.148 -0.611  -0.063 -0.634  -0.001 -0.707  0.080 -0.765  0.175 -0.792  0.265 -0.831  0.341 -0.889  0.433 -0.924  0.442 -1.019  0.514 -1.048  0.603 -1.091  0.656 -1.167  0.734 -1.221  0.817 -1.264  0.901 -1.317  0.919 -1.406
