3#apb#apb42#app4209/G  0.418 1.471  0.279 1.491  0.139 1.492  0.003 1.471  -0.130 1.427  -0.245 1.352  -0.348 1.257  -0.451 1.162  -0.517 1.039  -0.582 0.915  -0.644 0.790  -0.685 0.656  -0.726 0.522  -0.767 0.388  -0.784 0.251  -0.784 0.111  -0.784 -0.029  -0.784 -0.169  -0.775 -0.309  -0.745 -0.445  -0.716 -0.582  -0.686 -0.719  -0.603 -0.828  -0.508 -0.931  -0.413 -1.033  -0.275 -1.056  -0.136 -1.076  0.002 -1.097  0.141 -1.077  0.279 -1.056  0.417 -1.035  0.525 -0.946  0.633 -0.856  0.722 -0.750  0.770 -0.625  0.770 -0.485  0.690 -0.373  0.598 -0.267  0.491 -0.178  0.383 -0.088  0.251 -0.045  0.114 -0.020  0.198 -0.020  0.338 -0.020  0.478 -0.016  0.615 0.011  0.752 0.039  0.890 0.067  1.027 0.096  1.164 0.125
3#apb#apb42#app4209/i  0.500 0.398  0.413 0.339  0.389 0.231  0.365 0.123  0.341 0.015  0.334 -0.095  0.334 -0.206  0.334 -0.317  0.350 -0.426  0.371 -0.534  0.393 -0.643  0.415 -0.752  0.417 -0.862  0.417 -0.973  0.417 -1.084  0.417 -1.194  0.417 -1.305  0.417 -1.416  0.361 -1.341  0.313 -1.242  0.277 -1.138  0.240 -1.033  0.203 -0.929  0.166 -0.824  0.130 -0.720  0.093 -0.615  0.056 -0.511  0.020 -0.406  -0.017 -0.302  -0.054 -0.197  -0.091 -0.093  -0.127 0.012  -0.164 0.116  -0.201 0.221  -0.237 0.325  -0.274 0.430  -0.311 0.534  -0.348 0.639  -0.384 0.743  -0.421 0.848  -0.458 0.952  -0.494 1.057  -0.531 1.161  -0.568 1.266  -0.605 1.370  -0.641 1.475  -0.678 1.579  -0.715 1.684  -0.754 1.787  -0.827 1.849
3#apb#apb42#app4209/l  -0.167 1.522  -0.236 1.508  -0.306 1.494  -0.342 1.447  -0.356 1.377  -0.369 1.307  -0.383 1.238  -0.397 1.168  -0.395 1.098  -0.389 1.027  -0.383 0.956  -0.377 0.885  -0.371 0.815  -0.363 0.744  -0.345 0.676  -0.327 0.607  -0.308 0.539  -0.290 0.470  -0.272 0.401  -0.253 0.333  -0.235 0.264  -0.209 0.198  -0.182 0.133  -0.155 0.067  -0.128 0.001  -0.101 -0.064  -0.074 -0.130  -0.047 -0.196  -0.020 -0.261  0.011 -0.325  0.050 -0.384  0.090 -0.443  0.129 -0.502  0.168 -0.561  0.208 -0.620  0.247 -0.679  0.283 -0.741  0.314 -0.804  0.346 -0.868  0.378 -0.931  0.409 -0.995  0.440 -1.059  0.469 -1.123  0.498 -1.188  0.527 -1.253  0.556 -1.318  0.596 -1.376  0.641 -1.431  0.686 -1.485  0.732 -1.540
3#apb#apb42#app4209/y  -1.348 0.764  -1.318 0.647  -1.279 0.531  -1.210 0.433  -1.130 0.340  -1.037 0.261  -0.941 0.186  -0.838 0.123  -0.722 0.084  -0.604 0.060  -0.483 0.071  -0.361 0.082  -0.269 0.161  -0.179 0.244  -0.090 0.327  -0.000 0.410  0.089 0.493  0.179 0.577  0.269 0.660  0.358 0.743  0.448 0.826  0.537 0.909  0.627 0.993  0.717 1.076  0.711 1.035  0.653 0.928  0.595 0.820  0.565 0.705  0.565 0.583  0.565 0.461  0.543 0.343  0.498 0.229  0.452 0.116  0.407 0.002  0.383 -0.118  0.359 -0.238  0.335 -0.357  0.311 -0.477  0.285 -0.597  0.258 -0.716  0.231 -0.835  0.205 -0.955  0.178 -1.074  0.151 -1.193  0.124 -1.312  0.097 -1.432  0.070 -1.551  0.042 -1.670  0.015 -1.789  -0.012 -1.909
3#apb#apb42#app4209/D  -0.648 0.385  -0.705 0.246  -0.705 0.093  -0.705 -0.060  -0.705 -0.213  -0.708 -0.366  -0.716 -0.518  -0.724 -0.671  -0.746 -0.822  -0.762 -0.974  -0.762 -1.126  -0.715 -1.069  -0.692 -0.918  -0.648 -0.772  -0.597 -0.628  -0.562 -0.480  -0.544 -0.328  -0.535 -0.176  -0.540 -0.024  -0.546 0.129  -0.551 0.282  -0.535 0.434  -0.520 0.586  -0.469 0.726  -0.389 0.856  -0.277 0.955  -0.148 1.036  0.000 1.073  0.151 1.093  0.304 1.093  0.455 1.078  0.604 1.045  0.748 1.001  0.860 0.898  0.972 0.794  1.043 0.659  1.112 0.523  1.114 0.370  1.114 0.218  1.075 0.071  1.029 -0.075  0.971 -0.215  0.889 -0.344  0.808 -0.473  0.722 -0.600  0.632 -0.724  0.543 -0.847  0.442 -0.962  0.338 -1.073  0.233 -1.185
3#apb#apb42#app4209/e  -1.055 -0.431  -1.029 -0.290  -0.894 -0.210  -0.763 -0.123  -0.632 -0.036  -0.493 0.036  -0.348 0.098  -0.204 0.159  -0.059 0.221  0.082 0.289  0.221 0.363  0.360 0.437  0.498 0.511  0.637 0.585  0.772 0.665  0.907 0.746  1.042 0.827  1.144 0.942  1.070 1.015  0.935 1.096  0.786 1.074  0.635 1.033  0.483 0.992  0.337 0.934  0.193 0.871  0.049 0.808  -0.095 0.745  -0.239 0.682  -0.336 0.559  -0.432 0.434  -0.527 0.310  -0.623 0.185  -0.693 0.047  -0.738 -0.104  -0.783 -0.254  -0.767 -0.405  -0.722 -0.555  -0.677 -0.706  -0.582 -0.829  -0.478 -0.946  -0.373 -1.064  -0.242 -1.134  -0.088 -1.167  0.066 -1.200  0.220 -1.233  0.375 -1.232  0.531 -1.214  0.687 -1.195  0.843 -1.177  0.999 -1.159
3#apb#apb42#app4209/n  -1.270 0.701  -1.198 0.633  -1.159 0.535  -1.120 0.437  -1.093 0.336  -1.077 0.232  -1.061 0.128  -1.045 0.024  -1.014 -0.077  -0.984 -0.178  -0.955 -0.280  -0.932 -0.383  -0.910 -0.486  -0.865 -0.580  -0.813 -0.672  -0.730 -0.710  -0.648 -0.653  -0.579 -0.574  -0.525 -0.484  -0.470 -0.393  -0.414 -0.304  -0.344 -0.226  -0.274 -0.147  -0.204 -0.068  -0.152 0.023  -0.101 0.116  -0.051 0.208  0.010 0.294  0.080 0.373  0.149 0.452  0.232 0.517  0.320 0.575  0.421 0.588  0.524 0.579  0.616 0.526  0.707 0.474  0.793 0.412  0.879 0.351  0.960 0.284  1.039 0.215  1.119 0.145  1.165 0.052  1.207 -0.045  1.256 -0.138  1.307 -0.230  1.358 -0.323  1.399 -0.420  1.441 -0.517  1.482 -0.614  1.524 -0.710
3#apb#apb42#app4209/t  0.520 1.780  0.595 1.906  0.524 1.874  0.483 1.733  0.450 1.591  0.423 1.447  0.396 1.303  0.380 1.158  0.373 1.012  0.365 0.866  0.358 0.720  0.327 0.577  0.292 0.435  0.257 0.293  0.221 0.151  0.206 0.006  0.192 -0.140  0.177 -0.285  0.164 -0.431  0.152 -0.577  0.141 -0.723  0.139 -0.869  0.139 -1.015  0.152 -1.161  0.130 -1.236  0.008 -1.155  -0.113 -1.073  -0.234 -0.991  -0.356 -0.910  -0.477 -0.828  -0.598 -0.746  -0.720 -0.664  -0.841 -0.583  -0.962 -0.501  -1.084 -0.419  -1.125 -0.347  -1.016 -0.261  -0.877 -0.215  -0.733 -0.197  -0.587 -0.189  -0.441 -0.181  -0.295 -0.173  -0.149 -0.160  -0.003 -0.147  0.143 -0.135  0.288 -0.122  0.434 -0.114  0.580 -0.108  0.727 -0.101  0.873 -0.094
3#apb#apb42#app4209/i  0.318 0.867  0.318 0.742  0.318 0.617  0.318 0.492  0.318 0.368  0.318 0.243  0.291 0.121  0.264 -0.001  0.237 -0.122  0.210 -0.244  0.201 -0.366  0.226 -0.488  0.250 -0.611  0.275 -0.733  0.299 -0.855  0.310 -0.977  0.275 -1.097  0.241 -1.217  0.207 -1.337  0.193 -1.460  0.190 -1.564  0.165 -1.442  0.140 -1.320  0.114 -1.198  0.089 -1.076  0.064 -0.954  0.038 -0.832  0.013 -0.709  -0.012 -0.587  -0.038 -0.465  -0.063 -0.343  -0.088 -0.221  -0.114 -0.099  -0.139 0.023  -0.164 0.146  -0.190 0.268  -0.215 0.390  -0.240 0.512  -0.266 0.634  -0.291 0.756  -0.316 0.878  -0.342 1.000  -0.367 1.123  -0.393 1.245  -0.418 1.367  -0.443 1.489  -0.469 1.611  -0.494 1.733  -0.577 1.824  -0.559 1.868
3#apb#apb42#app4209/s  -0.136 1.077  -0.136 1.198  -0.241 1.139  -0.346 1.079  -0.444 1.008  -0.542 0.937  -0.640 0.866  -0.740 0.797  -0.841 0.729  -0.941 0.662  -1.030 0.580  -1.116 0.494  -1.170 0.389  -1.197 0.279  -1.082 0.252  -0.961 0.252  -0.840 0.248  -0.719 0.240  -0.598 0.232  -0.477 0.224  -0.356 0.218  -0.235 0.213  -0.114 0.207  0.007 0.202  0.128 0.197  0.249 0.192  0.367 0.164  0.484 0.135  0.602 0.106  0.720 0.076  0.832 0.032  0.943 -0.017  1.036 -0.083  1.081 -0.196  1.126 -0.308  1.116 -0.419  1.062 -0.527  1.008 -0.635  0.925 -0.720  0.831 -0.797  0.737 -0.874  0.641 -0.946  0.529 -0.994  0.418 -1.042  0.306 -1.089  0.192 -1.127  0.072 -1.141  -0.048 -1.155  -0.169 -1.169  -0.289 -1.183
3#apb#apb42#app4209/t  0.345 2.112  0.348 1.982  0.359 1.852  0.369 1.722  0.375 1.592  0.375 1.461  0.375 1.330  0.374 1.200  0.366 1.070  0.358 0.939  0.351 0.809  0.343 0.679  0.337 0.548  0.331 0.418  0.325 0.287  0.318 0.157  0.310 0.027  0.296 -0.103  0.281 -0.233  0.267 -0.363  0.252 -0.492  0.232 -0.621  0.212 -0.750  0.193 -0.879  0.156 -1.005  0.118 -1.130  0.044 -1.158  -0.068 -1.090  -0.180 -1.023  -0.291 -0.955  -0.403 -0.887  -0.515 -0.820  -0.626 -0.752  -0.738 -0.685  -0.850 -0.617  -0.962 -0.549  -1.051 -0.488  -0.936 -0.430  -0.818 -0.377  -0.693 -0.339  -0.568 -0.301  -0.442 -0.274  -0.311 -0.274  -0.181 -0.274  -0.050 -0.274  0.080 -0.265  0.207 -0.237  0.334 -0.208  0.462 -0.180  0.589 -0.152
3#apb#apb42#app4209/r  -0.160 0.481  -0.182 0.353  -0.203 0.225  -0.186 0.097  -0.167 -0.031  -0.160 -0.160  -0.160 -0.290  -0.164 -0.419  -0.173 -0.548  -0.183 -0.677  -0.193 -0.806  -0.203 -0.935  -0.221 -1.063  -0.240 -1.192  -0.246 -1.321  -0.246 -1.450  -0.246 -1.500  -0.246 -1.370  -0.246 -1.241  -0.259 -1.112  -0.272 -0.983  -0.285 -0.854  -0.318 -0.730  -0.362 -0.608  -0.407 -0.487  -0.451 -0.365  -0.474 -0.238  -0.492 -0.110  -0.509 0.018  -0.526 0.147  -0.543 0.275  -0.500 0.392  -0.436 0.504  -0.369 0.614  -0.256 0.678  -0.144 0.742  -0.032 0.807  0.079 0.874  0.190 0.940  0.301 1.007  0.421 1.046  0.550 1.059  0.679 1.072  0.808 1.082  0.937 1.082  1.067 1.082  1.196 1.082  1.305 1.018  1.411 0.943  1.516 0.868
3#apb#apb42#app4209/y  -1.280 0.765  -1.337 0.640  -1.297 0.500  -1.233 0.371  -1.152 0.250  -1.069 0.131  -0.973 0.021  -0.877 -0.088  -0.749 -0.155  -0.618 -0.216  -0.501 -0.304  -0.385 -0.391  -0.252 -0.345  -0.128 -0.275  -0.035 -0.163  0.058 -0.050  0.150 0.062  0.243 0.174  0.336 0.286  0.429 0.399  0.521 0.511  0.614 0.623  0.707 0.736  0.800 0.848  0.893 0.960  0.985 1.073  1.078 1.185  1.008 1.059  0.937 0.931  0.851 0.814  0.759 0.702  0.667 0.589  0.591 0.465  0.529 0.334  0.467 0.202  0.404 0.070  0.342 -0.061  0.277 -0.192  0.212 -0.322  0.147 -0.452  0.081 -0.583  0.016 -0.713  -0.049 -0.843  -0.114 -0.973  -0.179 -1.104  -0.244 -1.234  -0.309 -1.364  -0.375 -1.495  -0.440 -1.625  -0.505 -1.755
3#apb#apb42#app4209/D  -0.653 0.778  -0.634 0.668  -0.634 0.494  -0.628 0.320  -0.620 0.146  -0.610 -0.028  -0.595 -0.201  -0.580 -0.374  -0.593 -0.548  -0.610 -0.721  -0.615 -0.895  -0.609 -1.016  -0.561 -0.849  -0.524 -0.679  -0.497 -0.507  -0.475 -0.335  -0.458 -0.162  -0.445 0.012  -0.445 0.186  -0.445 0.360  -0.470 0.532  -0.502 0.703  -0.442 0.866  -0.342 1.006  -0.205 1.103  -0.039 1.154  0.135 1.158  0.308 1.147  0.479 1.113  0.649 1.079  0.795 0.999  0.922 0.880  1.056 0.770  1.107 0.604  1.129 0.433  1.129 0.259  1.086 0.093  1.026 -0.070  0.951 -0.227  0.861 -0.376  0.772 -0.525  0.654 -0.653  0.534 -0.779  0.405 -0.894  0.261 -0.992  0.117 -1.091  -0.040 -1.164  -0.199 -1.236  -0.366 -1.270  -0.540 -1.270
3#apb#apb42#app4209/e  -1.061 0.130  -1.075 0.086  -0.927 0.071  -0.771 0.107  -0.614 0.143  -0.457 0.177  -0.298 0.204  -0.139 0.230  0.019 0.256  0.178 0.283  0.322 0.348  0.457 0.435  0.593 0.521  0.724 0.614  0.848 0.717  0.957 0.832  0.965 0.971  0.860 1.060  0.699 1.060  0.545 1.023  0.396 0.964  0.247 0.904  0.097 0.844  -0.048 0.775  -0.189 0.699  -0.331 0.623  -0.473 0.546  -0.586 0.433  -0.693 0.314  -0.801 0.194  -0.873 0.057  -0.905 -0.101  -0.936 -0.258  -0.885 -0.409  -0.826 -0.558  -0.749 -0.691  -0.601 -0.754  -0.453 -0.817  -0.305 -0.881  -0.153 -0.930  0.006 -0.955  0.164 -0.980  0.323 -1.005  0.482 -1.030  0.642 -1.042  0.803 -1.042  0.964 -1.042  1.125 -1.042  1.286 -1.042  1.446 -1.042
3#apb#apb42#app4209/A  -0.169 0.719  -0.193 0.966  -0.316 0.867  -0.450 0.658  -0.571 0.442  -0.667 0.214  -0.756 -0.018  -0.828 -0.255  -0.900 -0.493  -0.950 -0.736  -0.997 -0.972  -0.804 -0.823  -0.654 -0.626  -0.503 -0.429  -0.355 -0.229  -0.208 -0.029  -0.074 0.179  0.051 0.394  0.157 0.617  0.235 0.852  0.314 1.088  0.356 1.332  0.395 1.577  0.420 1.824  0.444 1.682  0.444 1.434  0.459 1.186  0.476 0.938  0.501 0.692  0.522 0.444  0.535 0.196  0.567 -0.049  0.624 -0.290  0.629 -0.536  0.612 -0.784  0.594 -1.031  0.406 -1.124  0.170 -1.047  -0.065 -0.969  -0.301 -0.892  -0.537 -0.815  -0.773 -0.738  -0.593 -0.734  -0.345 -0.750  -0.098 -0.739  0.149 -0.718  0.393 -0.669  0.637 -0.625  0.884 -0.603  1.131 -0.580
3#apb#apb42#app4209/n  -0.932 0.382  -0.901 0.273  -0.872 0.163  -0.872 0.048  -0.881 -0.065  -0.891 -0.179  -0.900 -0.293  -0.911 -0.406  -0.922 -0.520  -0.935 -0.633  -0.958 -0.745  -0.980 -0.857  -0.985 -0.940  -0.928 -0.841  -0.872 -0.742  -0.802 -0.651  -0.733 -0.561  -0.663 -0.470  -0.593 -0.380  -0.534 -0.283  -0.481 -0.182  -0.427 -0.081  -0.374 0.020  -0.320 0.121  -0.261 0.218  -0.195 0.312  -0.130 0.405  -0.063 0.498  0.007 0.588  0.077 0.678  0.157 0.747  0.272 0.747  0.386 0.747  0.500 0.747  0.611 0.735  0.715 0.687  0.819 0.640  0.922 0.592  1.009 0.524  1.075 0.431  1.140 0.337  1.200 0.241  1.236 0.132  1.273 0.024  1.309 -0.084  1.315 -0.197  1.315 -0.311  1.315 -0.426  1.318 -0.539  1.345 -0.650
3#apb#apb42#app4209/z  -0.579 0.556  -0.559 0.674  -0.461 0.756  -0.359 0.829  -0.233 0.848  -0.107 0.867  0.019 0.887  0.143 0.916  0.265 0.951  0.388 0.986  0.510 1.021  0.630 1.064  0.750 1.109  0.874 1.129  0.829 1.069  0.729 0.989  0.627 0.913  0.525 0.836  0.423 0.760  0.322 0.682  0.232 0.592  0.142 0.502  0.052 0.412  -0.038 0.322  -0.125 0.229  -0.203 0.128  -0.281 0.027  -0.358 -0.074  -0.436 -0.175  -0.498 -0.287  -0.558 -0.399  -0.618 -0.511  -0.678 -0.624  -0.718 -0.742  -0.730 -0.869  -0.741 -0.996  -0.711 -1.111  -0.626 -1.199  -0.499 -1.210  -0.372 -1.222  -0.246 -1.224  -0.122 -1.194  0.002 -1.165  0.126 -1.136  0.250 -1.107  0.370 -1.064  0.487 -1.013  0.603 -0.962  0.720 -0.911  0.837 -0.860
3#apb#apb42#app4209/a  0.567 0.311  0.691 0.394  0.810 0.482  0.915 0.587  0.832 0.685  0.716 0.778  0.568 0.781  0.420 0.781  0.272 0.767  0.127 0.739  -0.019 0.712  -0.165 0.684  -0.294 0.619  -0.409 0.525  -0.524 0.431  -0.639 0.337  -0.757 0.247  -0.874 0.156  -0.992 0.066  -1.106 -0.029  -1.191 -0.150  -1.276 -0.272  -1.358 -0.395  -1.421 -0.529  -1.338 -0.613  -1.195 -0.601  -1.054 -0.554  -0.918 -0.499  -0.792 -0.419  -0.667 -0.339  -0.544 -0.257  -0.448 -0.144  -0.351 -0.031  -0.247 0.075  -0.161 0.193  -0.038 0.132  0.082 0.045  0.194 -0.053  0.305 -0.151  0.434 -0.224  0.565 -0.295  0.695 -0.366  0.831 -0.426  0.967 -0.485  1.104 -0.543  1.242 -0.595  1.390 -0.612  1.537 -0.630  1.685 -0.647  1.832 -0.664
3#apb#apb42#app4209/S  -0.026 0.945  0.016 1.071  -0.036 1.175  -0.165 1.167  -0.294 1.115  -0.420 1.057  -0.544 0.995  -0.654 0.910  -0.764 0.825  -0.869 0.735  -0.972 0.641  -1.065 0.539  -1.134 0.422  -1.122 0.292  -0.991 0.245  -0.858 0.211  -0.719 0.205  -0.580 0.198  -0.442 0.192  -0.303 0.198  -0.164 0.203  -0.025 0.208  0.114 0.212  0.252 0.201  0.390 0.190  0.529 0.179  0.666 0.159  0.799 0.121  0.933 0.083  1.065 0.042  1.153 -0.065  1.241 -0.173  1.250 -0.309  1.225 -0.436  1.119 -0.525  1.013 -0.615  0.891 -0.678  0.761 -0.729  0.632 -0.779  0.501 -0.825  0.370 -0.871  0.239 -0.916  0.107 -0.962  -0.029 -0.979  -0.168 -0.979  -0.306 -0.979  -0.445 -0.979  -0.584 -0.979  -0.723 -0.979  -0.862 -0.979
3#apb#apb42#app4209/a  0.481 -0.139  0.552 -0.009  0.623 0.120  0.693 0.249  0.719 0.390  0.681 0.531  0.624 0.663  0.497 0.736  0.369 0.809  0.225 0.785  0.080 0.756  -0.064 0.727  -0.209 0.698  -0.341 0.635  -0.470 0.565  -0.600 0.495  -0.730 0.425  -0.859 0.355  -0.989 0.284  -1.118 0.214  -1.216 0.113  -1.282 -0.019  -1.348 -0.151  -1.381 -0.290  -1.381 -0.438  -1.328 -0.567  -1.224 -0.654  -1.077 -0.654  -0.929 -0.654  -0.784 -0.641  -0.643 -0.598  -0.502 -0.554  -0.361 -0.511  -0.221 -0.468  -0.080 -0.424  0.061 -0.381  0.202 -0.338  0.295 -0.224  0.390 -0.111  0.494 -0.007  0.612 0.046  0.756 0.020  0.904 0.020  1.024 -0.060  1.142 -0.149  1.264 -0.231  1.399 -0.289  1.537 -0.340  1.683 -0.358  1.829 -0.377
3#apb#apb42#app4209/l  0.130 1.668  0.091 1.610  0.053 1.552  0.024 1.490  0.014 1.422  0.005 1.353  -0.005 1.284  -0.015 1.215  -0.024 1.146  -0.031 1.077  -0.037 1.007  -0.043 0.938  -0.050 0.869  -0.056 0.799  -0.062 0.730  -0.068 0.661  -0.073 0.591  -0.067 0.522  -0.060 0.453  -0.053 0.384  -0.046 0.314  -0.039 0.245  -0.032 0.176  -0.025 0.106  -0.023 0.037  -0.023 -0.033  -0.023 -0.102  -0.023 -0.172  -0.023 -0.241  -0.023 -0.311  -0.023 -0.381  -0.021 -0.450  -0.015 -0.520  -0.009 -0.589  -0.003 -0.658  0.003 -0.728  0.009 -0.797  0.016 -0.866  0.022 -0.936  0.028 -1.005  0.032 -1.074  0.036 -1.144  0.041 -1.213  0.045 -1.283  0.049 -1.352  0.054 -1.422  0.067 -1.490  0.079 -1.559  0.092 -1.627  0.104 -1.696
3#apb#apb42#app4209/o  0.464 0.701  0.393 0.832  0.274 0.908  0.124 0.908  -0.023 0.899  -0.146 0.813  -0.269 0.728  -0.392 0.643  -0.514 0.556  -0.636 0.468  -0.758 0.381  -0.852 0.269  -0.926 0.139  -1.000 0.008  -1.055 -0.129  -1.083 -0.276  -1.111 -0.423  -1.122 -0.569  -1.068 -0.709  -1.014 -0.849  -0.919 -0.942  -0.774 -0.978  -0.628 -1.015  -0.482 -1.040  -0.334 -1.019  -0.185 -0.999  -0.037 -0.979  0.112 -0.959  0.243 -0.891  0.371 -0.813  0.499 -0.735  0.627 -0.657  0.747 -0.567  0.862 -0.471  0.977 -0.375  1.051 -0.252  1.095 -0.109  1.139 0.034  1.102 0.177  1.055 0.319  0.984 0.447  0.878 0.553  0.772 0.659  0.654 0.743  0.509 0.783  0.364 0.818  0.215 0.806  0.066 0.793  -0.064 0.729  -0.186 0.642
3#apb#apb42#app4209/n  -1.198 0.401  -1.120 0.322  -1.048 0.238  -0.976 0.154  -0.947 0.049  -0.925 -0.059  -0.913 -0.169  -0.913 -0.280  -0.913 -0.391  -0.913 -0.501  -0.913 -0.612  -0.913 -0.723  -0.913 -0.834  -0.901 -0.793  -0.869 -0.690  -0.800 -0.603  -0.731 -0.517  -0.667 -0.427  -0.617 -0.328  -0.568 -0.229  -0.518 -0.130  -0.468 -0.031  -0.414 0.066  -0.360 0.162  -0.305 0.259  -0.251 0.355  -0.162 0.416  -0.064 0.468  0.033 0.521  0.131 0.573  0.239 0.582  0.350 0.582  0.461 0.582  0.571 0.578  0.682 0.570  0.792 0.562  0.900 0.543  0.999 0.493  1.098 0.444  1.189 0.387  1.230 0.284  1.272 0.181  1.298 0.074  1.315 -0.035  1.331 -0.144  1.327 -0.253  1.306 -0.362  1.284 -0.471  1.260 -0.579  1.236 -0.687
