1b#kai#kai2#yklyu5/A  0.171 1.910  0.138 1.664  0.121 1.415  0.037 1.188  0.007 0.945  -0.077 0.719  -0.127 0.473  -0.249 0.255  -0.326 0.015  -0.360 -0.226  -0.458 -0.454  -0.574 -0.674  -0.608 -0.920  -0.687 -1.159  -0.767 -1.398  -0.847 -1.490  -0.749 -1.293  -0.661 -1.061  -0.589 -0.819  -0.517 -0.578  -0.445 -0.336  -0.373 -0.095  -0.301 0.146  -0.229 0.388  -0.157 0.629  -0.085 0.871  -0.013 1.112  0.059 1.353  0.129 1.531  0.196 1.288  0.276 1.049  0.320 0.804  0.320 0.552  0.396 0.318  0.467 0.078  0.547 -0.161  0.627 -0.400  0.706 -0.639  0.766 -0.881  0.818 -1.125  0.865 -1.163  0.819 -0.934  0.617 -0.784  0.414 -0.635  0.212 -0.485  0.009 -0.335  -0.194 -0.185  -0.127 -0.125  0.117 -0.174  0.369 -0.174
1b#kai#kai2#yklyu5/S  0.651 0.998  0.648 1.099  0.576 1.171  0.488 1.215  0.390 1.242  0.292 1.270  0.194 1.291  0.094 1.281  -0.005 1.256  -0.100 1.223  -0.185 1.166  -0.258 1.096  -0.308 1.011  -0.353 0.921  -0.400 0.832  -0.420 0.733  -0.391 0.644  -0.320 0.571  -0.264 0.487  -0.185 0.424  -0.111 0.356  -0.058 0.269  -0.017 0.182  0.078 0.147  0.162 0.090  0.219 0.007  0.275 -0.078  0.332 -0.162  0.369 -0.255  0.389 -0.354  0.391 -0.456  0.411 -0.554  0.405 -0.651  0.373 -0.747  0.327 -0.836  0.270 -0.921  0.214 -1.005  0.158 -1.090  0.101 -1.174  0.012 -1.221  -0.076 -1.273  -0.167 -1.307  -0.267 -1.297  -0.366 -1.272  -0.462 -1.239  -0.555 -1.203  -0.611 -1.118  -0.645 -1.023  -0.648 -0.922  -0.648 -0.820
1b#kai#kai2#yklyu5/S  0.672 0.998  0.665 1.102  0.575 1.162  0.498 1.238  0.404 1.285  0.298 1.294  0.190 1.294  0.087 1.263  -0.016 1.229  -0.118 1.195  -0.219 1.159  -0.295 1.083  -0.359 0.996  -0.419 0.907  -0.465 0.810  -0.479 0.704  -0.479 0.596  -0.411 0.525  -0.321 0.465  -0.227 0.412  -0.137 0.356  -0.072 0.270  0.009 0.201  0.082 0.124  0.149 0.041  0.226 -0.036  0.302 -0.112  0.364 -0.200  0.376 -0.304  0.433 -0.393  0.475 -0.487  0.490 -0.593  0.508 -0.698  0.493 -0.801  0.430 -0.889  0.354 -0.965  0.292 -1.053  0.219 -1.132  0.131 -1.189  0.028 -1.223  -0.074 -1.220  -0.179 -1.206  -0.287 -1.206  -0.393 -1.197  -0.483 -1.138  -0.584 -1.102  -0.674 -1.043  -0.709 -0.941  -0.703 -0.835  -0.643 -0.745
1b#kai#kai2#yklyu5/T  -0.767 0.885  -0.668 0.885  -0.569 0.885  -0.469 0.885  -0.370 0.885  -0.271 0.885  -0.172 0.885  -0.072 0.885  0.026 0.894  0.122 0.918  0.221 0.923  0.320 0.923  0.419 0.923  0.517 0.914  0.614 0.890  0.645 0.839  0.551 0.806  0.457 0.773  0.364 0.740  0.270 0.707  0.176 0.675  0.083 0.642  -0.011 0.609  -0.083 0.564  -0.063 0.466  -0.049 0.369  -0.049 0.269  -0.049 0.170  -0.018 0.076  -0.011 -0.022  -0.011 -0.122  -0.011 -0.221  -0.011 -0.320  -0.011 -0.419  -0.024 -0.517  -0.049 -0.612  -0.049 -0.711  -0.049 -0.810  -0.049 -0.910  -0.049 -1.009  -0.049 -1.108  -0.049 -1.207  -0.049 -1.307  -0.079 -1.401  -0.086 -1.499  -0.086 -1.598  -0.086 -1.698  -0.086 -1.797  -0.093 -1.895  -0.124 -1.989
1b#kai#kai2#yklyu5/T  -1.202 0.764  -1.087 0.726  -0.973 0.687  -0.854 0.676  -0.734 0.664  -0.615 0.644  -0.495 0.633  -0.374 0.633  -0.254 0.633  -0.133 0.633  -0.012 0.633  0.109 0.633  0.229 0.633  0.350 0.633  0.466 0.665  0.584 0.676  0.705 0.676  0.823 0.656  0.935 0.612  0.909 0.592  0.789 0.598  0.668 0.603  0.548 0.609  0.427 0.614  0.306 0.620  0.186 0.625  0.065 0.631  0.020 0.557  0.020 0.437  0.016 0.317  -0.022 0.202  -0.024 0.082  -0.024 -0.039  -0.024 -0.160  -0.051 -0.276  -0.067 -0.394  -0.067 -0.515  -0.067 -0.636  -0.067 -0.757  -0.067 -0.877  -0.082 -0.996  -0.111 -1.113  -0.111 -1.234  -0.111 -1.355  -0.111 -1.476  -0.111 -1.596  -0.099 -1.715  -0.067 -1.831  -0.067 -1.952  -0.067 -2.072
1b#kai#kai2#yklyu5/T  -1.374 0.797  -1.283 0.706  -1.173 0.652  -1.046 0.631  -0.918 0.618  -0.789 0.618  -0.660 0.618  -0.531 0.618  -0.406 0.589  -0.279 0.573  -0.150 0.573  -0.021 0.573  0.107 0.562  0.232 0.531  0.360 0.528  0.489 0.528  0.615 0.508  0.737 0.467  0.861 0.439  0.973 0.467  0.943 0.533  0.815 0.544  0.686 0.555  0.558 0.565  0.429 0.576  0.301 0.587  0.172 0.597  0.044 0.608  -0.070 0.607  -0.039 0.482  -0.028 0.354  -0.028 0.225  -0.028 0.096  -0.028 -0.033  -0.028 -0.161  -0.011 -0.287  0.017 -0.412  0.017 -0.541  0.017 -0.670  0.017 -0.799  0.017 -0.928  0.017 -1.057  0.017 -1.185  0.032 -1.312  0.061 -1.436  0.061 -1.565  0.061 -1.694  0.061 -1.823  0.066 -1.951  0.106 -2.073
1b#kai#kai2#yklyu5/U  -0.687 1.406  -0.722 1.296  -0.722 1.180  -0.722 1.064  -0.722 0.949  -0.722 0.833  -0.722 0.717  -0.707 0.604  -0.687 0.491  -0.687 0.376  -0.687 0.260  -0.687 0.144  -0.687 0.028  -0.687 -0.087  -0.687 -0.203  -0.654 -0.314  -0.653 -0.429  -0.625 -0.540  -0.565 -0.639  -0.510 -0.741  -0.453 -0.841  -0.389 -0.937  -0.312 -1.017  -0.200 -1.041  -0.087 -1.057  0.026 -1.075  0.142 -1.075  0.257 -1.075  0.368 -1.045  0.453 -0.969  0.524 -0.878  0.553 -0.771  0.587 -0.663  0.622 -0.556  0.622 -0.440  0.642 -0.327  0.657 -0.214  0.661 -0.099  0.691 0.012  0.691 0.128  0.691 0.243  0.709 0.356  0.726 0.469  0.726 0.585  0.742 0.698  0.760 0.811  0.760 0.927  0.787 1.038  0.795 1.152  0.795 1.268
1b#kai#kai2#yklyu5/U  -0.728 1.313  -0.728 1.198  -0.728 1.083  -0.728 0.968  -0.728 0.853  -0.728 0.738  -0.728 0.623  -0.728 0.508  -0.728 0.393  -0.728 0.278  -0.728 0.163  -0.728 0.049  -0.761 -0.061  -0.754 -0.175  -0.728 -0.286  -0.713 -0.398  -0.695 -0.510  -0.672 -0.621  -0.616 -0.721  -0.571 -0.825  -0.489 -0.900  -0.384 -0.944  -0.275 -0.981  -0.178 -1.041  -0.082 -0.999  0.029 -0.985  0.138 -0.952  0.252 -0.947  0.363 -0.919  0.460 -0.885  0.529 -0.794  0.607 -0.711  0.642 -0.601  0.670 -0.490  0.704 -0.380  0.704 -0.265  0.704 -0.150  0.704 -0.035  0.704 0.079  0.719 0.192  0.737 0.304  0.737 0.419  0.737 0.534  0.769 0.644  0.771 0.758  0.771 0.873  0.771 0.988  0.771 1.103  0.829 1.200  0.837 1.313
1b#kai#kai2#yklyu5/U  -0.567 1.604  -0.604 1.422  -0.645 1.243  -0.670 1.062  -0.691 0.880  -0.750 0.704  -0.763 0.521  -0.763 0.335  -0.802 0.156  -0.802 -0.029  -0.802 -0.215  -0.763 -0.394  -0.739 -0.575  -0.714 -0.755  -0.626 -0.917  -0.537 -1.078  -0.444 -1.209  -0.258 -1.209  -0.099 -1.118  0.083 -1.092  0.254 -1.121  0.271 -0.936  0.288 -0.752  0.305 -0.567  0.322 -0.382  0.339 -0.198  0.356 -0.013  0.373 0.172  0.390 0.356  0.408 0.541  0.425 0.726  0.442 0.910  0.459 1.095  0.476 1.279  0.470 1.356  0.449 1.174  0.449 0.989  0.449 0.803  0.449 0.618  0.449 0.432  0.449 0.247  0.449 0.062  0.449 -0.124  0.449 -0.309  0.449 -0.495  0.418 -0.675  0.400 -0.858  0.370 -1.040  0.370 -1.225  0.331 -1.404
1b#kai#kai2#yklyu5/V  -0.586 1.681  -0.586 1.552  -0.555 1.428  -0.543 1.301  -0.535 1.173  -0.503 1.048  -0.472 0.924  -0.456 0.797  -0.456 0.668  -0.456 0.540  -0.456 0.411  -0.456 0.283  -0.432 0.157  -0.401 0.033  -0.369 -0.092  -0.338 -0.217  -0.327 -0.344  -0.307 -0.470  -0.274 -0.594  -0.240 -0.717  -0.234 -0.845  -0.197 -0.967  -0.197 -1.096  -0.197 -1.224  -0.167 -1.348  -0.154 -1.474  -0.105 -1.442  -0.034 -1.335  0.019 -1.222  0.038 -1.100  0.115 -0.997  0.166 -0.882  0.191 -0.757  0.200 -0.630  0.248 -0.510  0.304 -0.396  0.364 -0.285  0.364 -0.157  0.427 -0.049  0.494 0.057  0.503 0.183  0.574 0.290  0.617 0.411  0.623 0.538  0.684 0.649  0.736 0.765  0.776 0.887  0.825 1.005  0.882 1.120  0.882 1.249
1b#kai#kai2#yklyu5/W  -1.045 1.377  -1.003 1.175  -1.003 0.967  -0.961 0.767  -0.942 0.562  -0.917 0.359  -0.863 0.159  -0.834 -0.044  -0.786 -0.243  -0.750 -0.445  -0.694 -0.643  -0.629 -0.840  -0.603 -1.043  -0.574 -1.223  -0.481 -1.041  -0.409 -0.847  -0.371 -0.649  -0.307 -0.452  -0.283 -0.249  -0.232 -0.047  -0.203 0.156  -0.203 0.364  -0.182 0.565  -0.118 0.753  -0.076 0.955  -0.011 1.152  0.015 1.062  0.080 0.865  0.133 0.664  0.176 0.462  0.176 0.255  0.176 0.048  0.212 -0.155  0.261 -0.355  0.301 -0.556  0.354 -0.756  0.420 -0.953  0.521 -1.132  0.615 -1.154  0.705 -0.972  0.765 -0.773  0.822 -0.574  0.904 -0.385  0.955 -0.184  1.005 0.017  1.055 0.219  1.144 0.406  1.185 0.609  1.226 0.804  1.271 0.998
1b#kai#kai2#yklyu5/W  -0.853 1.332  -0.853 1.124  -0.853 0.916  -0.853 0.709  -0.853 0.501  -0.853 0.293  -0.853 0.085  -0.853 -0.123  -0.853 -0.330  -0.853 -0.538  -0.853 -0.746  -0.853 -0.954  -0.802 -1.148  -0.654 -1.141  -0.577 -0.949  -0.480 -0.767  -0.413 -0.573  -0.336 -0.383  -0.273 -0.185  -0.176 -0.004  -0.141 0.200  -0.102 0.403  -0.052 0.604  -0.029 0.809  -0.029 1.017  0.020 1.147  0.046 0.944  0.046 0.736  0.046 0.528  0.082 0.325  0.083 0.117  0.142 -0.081  0.196 -0.280  0.226 -0.483  0.270 -0.686  0.329 -0.885  0.389 -1.084  0.524 -1.142  0.689 -1.017  0.757 -0.830  0.814 -0.632  0.907 -0.450  0.931 -0.246  0.967 -0.046  1.042 0.147  1.085 0.350  1.098 0.557  1.132 0.759  1.194 0.957  1.282 1.145
1b#kai#kai2#yklyu5/X  0.919 1.188  0.791 1.060  0.674 0.921  0.552 0.788  0.457 0.633  0.362 0.479  0.253 0.333  0.144 0.188  0.056 0.030  -0.051 -0.117  -0.191 -0.233  -0.313 -0.366  -0.392 -0.527  -0.485 -0.683  -0.578 -0.839  -0.674 -0.993  -0.763 -1.151  -0.782 -1.053  -0.745 -0.900  -0.735 -0.719  -0.724 -0.538  -0.714 -0.356  -0.703 -0.175  -0.693 0.007  -0.683 0.188  -0.672 0.370  -0.662 0.551  -0.652 0.733  -0.641 0.914  -0.631 1.096  -0.620 1.277  -0.514 1.157  -0.375 1.041  -0.271 0.892  -0.183 0.734  -0.082 0.582  0.011 0.426  0.118 0.280  0.186 0.112  0.287 -0.028  0.419 -0.142  0.554 -0.261  0.671 -0.399  0.812 -0.513  0.936 -0.644  1.051 -0.784  1.180 -0.912  1.301 -1.046  1.374 -1.212  1.421 -1.388
1b#kai#kai2#yklyu5/Y  -1.229 1.040  -1.176 0.902  -1.070 0.796  -0.993 0.672  -0.925 0.541  -0.838 0.419  -0.749 0.299  -0.661 0.179  -0.541 0.089  -0.474 -0.038  -0.348 -0.102  -0.260 -0.163  -0.140 -0.074  -0.020 0.016  0.100 0.105  0.220 0.194  0.340 0.283  0.460 0.372  0.580 0.462  0.700 0.551  0.820 0.640  0.940 0.729  1.060 0.818  1.180 0.908  1.053 0.868  0.913 0.818  0.779 0.751  0.645 0.684  0.594 0.566  0.479 0.531  0.343 0.482  0.215 0.405  0.090 0.323  -0.034 0.240  -0.120 0.118  -0.203 -0.007  -0.244 -0.149  -0.254 -0.298  -0.222 -0.443  -0.212 -0.592  -0.171 -0.735  -0.127 -0.877  -0.127 -1.027  -0.096 -1.171  -0.085 -1.319  -0.085 -1.468  -0.057 -1.615  -0.042 -1.762  -0.007 -1.906  0.000 -2.055
1b#kai#kai2#yklyu5/Y  -1.073 1.017  -0.997 0.903  -0.901 0.804  -0.793 0.721  -0.698 0.625  -0.616 0.515  -0.540 0.401  -0.464 0.287  -0.352 0.209  -0.238 0.133  -0.160 0.046  -0.052 0.131  0.055 0.217  0.162 0.302  0.270 0.387  0.377 0.472  0.485 0.557  0.592 0.643  0.699 0.728  0.807 0.813  0.914 0.898  1.001 0.972  0.873 0.924  0.760 0.846  0.663 0.749  0.553 0.673  0.430 0.615  0.311 0.551  0.189 0.491  0.079 0.409  -0.049 0.363  -0.147 0.267  -0.228 0.157  -0.227 0.033  -0.191 -0.099  -0.173 -0.234  -0.173 -0.371  -0.150 -0.505  -0.132 -0.640  -0.132 -0.777  -0.132 -0.914  -0.132 -1.052  -0.120 -1.187  -0.082 -1.318  -0.056 -1.453  -0.051 -1.589  -0.051 -1.726  -0.051 -1.863  -0.051 -2.000  -0.010 -2.131
1b#kai#kai2#yklyu5/Z  -0.985 1.381  -0.774 1.285  -0.550 1.228  -0.318 1.228  -0.085 1.228  0.147 1.228  0.368 1.297  0.599 1.305  0.726 1.327  0.545 1.190  0.378 1.035  0.309 0.815  0.242 0.596  0.162 0.386  0.118 0.167  0.008 -0.037  -0.098 -0.241  -0.199 -0.448  -0.295 -0.657  -0.406 -0.858  -0.521 -1.059  -0.621 -1.266  -0.692 -1.359  -0.603 -1.145  -0.467 -0.980  -0.241 -0.952  -0.009 -0.952  0.222 -0.967  0.450 -0.997  0.676 -1.034  0.903 -1.067  0.894 -0.994  0.701 -0.865  0.507 -0.736  0.314 -0.607  0.121 -0.478  -0.072 -0.350  -0.266 -0.221  -0.459 -0.092  -0.652 0.037  -0.845 0.166  -0.837 0.234  -0.605 0.234  -0.373 0.234  -0.141 0.234  0.085 0.272  0.315 0.291  0.545 0.310  0.778 0.310  1.004 0.348
