2#tos#f1#f1042059/!  0.145 1.581  0.075 1.581  0.050 1.535  0.029 1.486  0.002 1.442  0.002 1.372  0.002 1.302  0.002 1.232  0.002 1.161  0.002 1.091  0.002 1.021  0.002 0.951  0.002 0.880  0.002 0.810  0.002 0.740  0.002 0.670  0.002 0.599  0.002 0.529  0.002 0.459  0.002 0.389  0.002 0.319  0.002 0.248  0.002 0.178  0.002 0.108  0.002 0.038  0.002 -0.033  0.002 -0.103  0.002 -0.173  0.002 -0.243  0.002 -0.314  0.002 -0.384  0.002 -0.454  0.002 -0.524  0.002 -0.595  0.002 -0.665  0.002 -0.735  0.002 -0.805  0.002 -0.875  0.002 -0.946  0.002 -1.016  0.002 -1.086  -0.018 -1.148  -0.045 -1.207  -0.045 -1.277  -0.045 -1.347  -0.045 -1.418  -0.045 -1.488  -0.045 -1.558  -0.045 -1.628  -0.045 -1.699
2#tos#f1#f1042059/D  0.085 1.366  -0.148 1.266  -0.216 1.038  -0.216 0.743  -0.216 0.447  -0.216 0.152  -0.216 -0.143  -0.216 -0.439  -0.216 -0.734  -0.216 -1.029  -0.216 -1.324  -0.228 -1.064  -0.242 -0.769  -0.255 -0.474  -0.269 -0.179  -0.282 0.116  -0.295 0.411  -0.309 0.706  -0.452 0.865  -0.637 0.915  -0.341 0.915  -0.046 0.915  0.249 0.915  0.537 0.965  0.831 0.959  1.124 0.917  1.277 0.714  1.376 0.490  1.389 0.197  1.340 -0.086  1.208 -0.351  0.954 -0.483  0.917 -0.757  0.686 -0.941  0.395 -0.989  0.292 -1.258  0.104 -1.400  -0.072 -1.163  -0.248 -0.926  -0.424 -0.689  -0.600 -0.452  -0.776 -0.215  -0.953 0.022  -1.129 0.259  -1.141 0.213  -0.946 0.112  -0.700 0.062  -0.405 0.062  -0.110 0.062  0.186 0.062
2#tos#f1#f1042059/F  -0.371 1.163  -0.514 1.009  -0.514 0.710  -0.514 0.412  -0.514 0.114  -0.536 -0.183  -0.562 -0.479  -0.562 -0.777  -0.562 -1.075  -0.562 -1.373  -0.532 -1.669  -0.468 -1.788  -0.473 -1.489  -0.478 -1.191  -0.483 -0.893  -0.488 -0.595  -0.494 -0.297  -0.499 0.001  -0.504 0.299  -0.509 0.597  -0.534 0.876  -0.599 0.924  -0.305 0.966  -0.078 1.151  0.182 1.259  0.480 1.259  0.779 1.259  0.982 1.211  0.804 0.972  0.627 0.732  0.449 0.493  0.271 0.254  0.094 0.014  -0.084 -0.225  -0.255 -0.428  -0.525 -0.551  -0.417 -0.583  -0.150 -0.464  0.113 -0.342  0.382 -0.218  0.630 -0.086  0.855 0.014  0.943 0.299  0.972 0.541  0.779 0.400  0.730 0.150  0.730 -0.148  0.730 -0.446  0.776 -0.741  0.778 -1.039
2#tos#f1#f1042059/G  0.400 1.410  0.247 1.501  0.094 1.592  -0.148 1.589  -0.297 1.397  -0.488 1.245  -0.571 1.022  -0.706 0.819  -0.800 0.595  -0.896 0.371  -0.955 0.135  -0.964 -0.108  -0.964 -0.352  -0.964 -0.596  -0.904 -0.803  -0.765 -0.976  -0.536 -1.046  -0.292 -1.046  -0.048 -1.046  0.196 -1.046  0.410 -0.948  0.600 -0.795  0.795 -0.648  0.644 -0.485  0.464 -0.320  0.284 -0.155  0.104 0.010  -0.076 0.175  -0.256 0.340  -0.463 0.273  -0.689 0.182  -0.639 0.049  -0.430 0.174  -0.208 0.253  0.018 0.318  0.250 0.389  0.483 0.434  0.707 0.500  0.932 0.546  1.024 0.532  0.879 0.353  0.780 0.182  0.572 0.072  0.537 -0.154  0.537 -0.398  0.464 -0.621  0.439 -0.863  0.400 -1.104  0.400 -1.348  0.400 -1.592
2#tos#f1#f1042059/H  -0.277 1.235  -0.472 1.211  -0.667 1.196  -0.700 1.032  -0.700 0.835  -0.750 0.648  -0.777 0.456  -0.777 0.259  -0.777 0.062  -0.777 -0.135  -0.784 -0.331  -0.816 -0.524  -0.816 -0.721  -0.816 -0.918  -0.777 -1.109  -0.710 -1.256  -0.668 -1.085  -0.633 -0.891  -0.599 -0.697  -0.564 -0.503  -0.529 -0.309  -0.582 -0.188  -0.560 -0.150  -0.373 -0.115  -0.201 -0.020  -0.016 0.042  0.175 0.078  0.372 0.081  0.537 0.158  0.706 0.236  0.878 0.288  0.898 0.484  0.918 0.680  0.937 0.876  0.924 1.042  0.727 1.042  0.646 1.058  0.646 0.861  0.638 0.665  0.608 0.472  0.608 0.275  0.608 0.078  0.608 -0.119  0.608 -0.316  0.608 -0.513  0.608 -0.710  0.652 -0.900  0.689 -1.091  0.723 -1.284  0.800 -1.458
2#tos#f1#f1042059/J  -0.539 1.043  -0.600 0.954  -0.695 0.916  -0.613 0.887  -0.501 0.887  -0.390 0.887  -0.278 0.887  -0.167 0.887  -0.058 0.910  0.052 0.926  0.146 0.970  0.255 0.998  0.365 1.004  0.477 1.004  0.480 1.071  0.377 1.062  0.280 1.031  0.202 0.997  0.258 0.909  0.280 0.806  0.280 0.695  0.280 0.583  0.280 0.471  0.280 0.360  0.280 0.248  0.280 0.137  0.280 0.025  0.280 -0.086  0.280 -0.198  0.280 -0.310  0.280 -0.421  0.280 -0.533  0.280 -0.644  0.280 -0.756  0.280 -0.868  0.280 -0.979  0.189 -1.037  0.163 -1.138  0.141 -1.241  0.085 -1.329  -0.020 -1.336  -0.131 -1.336  -0.243 -1.336  -0.306 -1.258  -0.418 -1.258  -0.500 -1.229  -0.572 -1.147  -0.678 -1.116  -0.734 -1.049  -0.773 -0.946
2#tos#f1#f1042059/L  -0.303 1.496  -0.392 1.497  -0.433 1.578  -0.408 1.513  -0.392 1.430  -0.392 1.339  -0.392 1.249  -0.392 1.159  -0.392 1.069  -0.392 0.979  -0.392 0.888  -0.392 0.798  -0.392 0.708  -0.392 0.618  -0.392 0.527  -0.392 0.437  -0.392 0.347  -0.392 0.257  -0.392 0.167  -0.392 0.076  -0.392 -0.014  -0.392 -0.104  -0.392 -0.194  -0.392 -0.284  -0.392 -0.375  -0.417 -0.459  -0.436 -0.544  -0.436 -0.635  -0.392 -0.681  -0.340 -0.719  -0.249 -0.719  -0.162 -0.736  -0.076 -0.763  0.014 -0.763  0.104 -0.763  0.194 -0.763  0.285 -0.763  0.375 -0.763  0.465 -0.763  0.554 -0.758  0.640 -0.729  0.725 -0.701  0.811 -0.675  0.902 -0.675  0.976 -0.636  1.064 -0.630  1.154 -0.630  1.244 -0.630  1.334 -0.630  1.424 -0.630
2#tos#f1#f1042059/M  -0.450 0.849  -0.592 0.939  -0.722 0.927  -0.722 0.693  -0.722 0.460  -0.722 0.227  -0.722 -0.007  -0.722 -0.240  -0.722 -0.474  -0.722 -0.707  -0.716 -0.939  -0.676 -1.166  -0.675 -1.260  -0.670 -1.027  -0.666 -0.794  -0.661 -0.560  -0.656 -0.327  -0.651 -0.094  -0.646 0.140  -0.642 0.373  -0.637 0.606  -0.632 0.840  -0.682 0.815  -0.586 0.674  -0.530 0.453  -0.450 0.271  -0.421 0.049  -0.313 -0.140  -0.177 -0.275  -0.038 -0.422  0.195 -0.422  0.403 -0.338  0.604 -0.219  0.678 -0.021  0.769 0.144  0.893 0.298  0.912 0.530  0.935 0.758  0.957 0.986  1.003 0.978  1.048 0.790  1.048 0.556  1.048 0.323  1.048 0.089  1.048 -0.144  1.048 -0.377  1.048 -0.611  1.048 -0.844  1.069 -1.074  1.139 -1.285
2#tos#f1#f1042059/P  0.026 1.169  -0.123 1.104  -0.130 0.891  -0.173 0.683  -0.173 0.469  -0.173 0.256  -0.173 0.042  -0.173 -0.171  -0.173 -0.385  -0.173 -0.598  -0.173 -0.812  -0.173 -1.026  -0.173 -1.239  -0.173 -1.453  -0.169 -1.665  -0.222 -1.760  -0.281 -1.597  -0.298 -1.384  -0.315 -1.171  -0.332 -0.958  -0.349 -0.745  -0.366 -0.532  -0.383 -0.319  -0.400 -0.107  -0.417 0.106  -0.434 0.319  -0.451 0.532  -0.468 0.745  -0.658 0.772  -0.619 0.924  -0.458 0.983  -0.280 1.069  -0.087 1.119  0.119 1.167  0.332 1.169  0.546 1.169  0.760 1.169  0.919 1.115  0.919 0.901  0.919 0.688  0.919 0.474  0.884 0.267  0.809 0.069  0.650 -0.066  0.544 -0.249  0.473 -0.433  0.357 -0.569  0.196 -0.697  -0.009 -0.718  -0.222 -0.718
2#tos#f1#f1042059/Q  0.113 -0.840  -0.153 -1.095  -0.636 -1.095  -0.872 -0.789  -1.060 -0.384  -0.992 0.078  -0.694 0.451  -0.457 0.850  -0.133 1.062  0.299 1.238  0.777 1.234  0.980 0.887  0.929 0.413  0.871 -0.050  0.639 -0.433  0.498 -0.858  0.182 -1.146  -0.176 -1.198  -0.328 -0.740  -0.481 -0.282  -0.601 -0.024  -0.235 -0.297  0.062 -0.596  0.300 -0.942  0.559 -1.112  0.390 -0.660  0.266 -0.460  -0.134 -0.585  -0.574 -0.585  -0.907 -0.325  -0.958 0.146  -0.913 0.621  -0.729 1.057  -0.348 1.318  -0.063 1.562  0.386 1.660  0.826 1.558  0.827 1.076  0.679 0.629  0.457 0.205  0.222 -0.217  -0.017 -0.627  -0.167 -0.397  -0.271 0.074  -0.376 0.545  -0.215 0.435  0.094 0.129  0.444 -0.150  0.712 -0.508  0.980 -0.840
2#tos#f1#f1042059/T  -0.886 0.588  -1.020 0.536  -1.116 0.439  -1.238 0.365  -1.342 0.261  -1.337 0.219  -1.198 0.199  -1.051 0.199  -0.904 0.199  -0.762 0.226  -0.618 0.242  -0.471 0.242  -0.327 0.259  -0.191 0.313  -0.049 0.349  0.095 0.377  0.240 0.401  0.383 0.424  0.515 0.489  0.648 0.545  0.795 0.545  0.942 0.545  1.089 0.545  1.185 0.627  1.219 0.627  1.072 0.614  0.926 0.602  0.780 0.590  0.633 0.578  0.487 0.566  0.341 0.553  0.197 0.531  0.108 0.448  0.108 0.302  0.083 0.162  0.021 0.034  0.021 -0.113  0.021 -0.259  0.021 -0.406  0.021 -0.553  0.021 -0.700  0.021 -0.847  0.021 -0.993  0.021 -1.140  0.064 -1.269  0.064 -1.416  0.064 -1.563  0.064 -1.710  0.064 -1.856  0.151 -1.917
2#tos#f1#f1042059/V  -0.528 0.819  -0.527 0.689  -0.484 0.480  -0.484 0.264  -0.454 0.052  -0.381 -0.150  -0.355 -0.361  -0.355 -0.577  -0.355 -0.793  -0.351 -1.008  -0.281 -1.210  -0.226 -1.409  -0.116 -1.541  0.062 -1.637  0.242 -1.551  0.248 -1.341  0.334 -1.211  0.380 -1.004  0.469 -0.807  0.538 -0.604  0.596 -0.396  0.687 -0.207  0.808 -0.041  0.887 0.126  0.873 0.203  0.666 0.262  0.458 0.320  0.250 0.379  0.042 0.438  -0.165 0.496  -0.373 0.555  -0.581 0.614  -0.789 0.673  -0.996 0.731  -1.118 0.603  -1.320 0.527  -1.201 0.474  -0.985 0.474  -0.769 0.474  -0.553 0.474  -0.338 0.474  -0.123 0.480  0.087 0.517  0.302 0.533  0.513 0.577  0.724 0.604  0.940 0.604  1.153 0.638  1.368 0.647  1.583 0.647
2#tos#f1#f1042059/W  -0.741 0.791  -0.927 0.774  -1.087 0.767  -1.087 0.726  -1.087 0.538  -1.087 0.350  -1.087 0.162  -1.072 -0.021  -0.988 -0.184  -0.976 -0.369  -0.913 -0.545  -0.840 -0.715  -0.790 -0.888  -0.602 -0.888  -0.564 -0.730  -0.445 -0.628  -0.445 -0.440  -0.379 -0.279  -0.346 -0.105  -0.302 0.077  -0.205 0.237  -0.198 0.423  -0.168 0.604  -0.148 0.787  -0.049 0.846  -0.017 0.662  -0.000 0.477  -0.000 0.289  -0.000 0.101  0.028 -0.083  0.073 -0.265  0.139 -0.434  0.167 -0.610  0.247 -0.765  0.305 -0.917  0.488 -0.937  0.676 -0.937  0.809 -0.835  0.882 -0.663  0.988 -0.537  1.002 -0.351  1.037 -0.169  1.051 0.012  1.202 0.125  1.235 0.296  1.235 0.484  1.235 0.672  1.235 0.860  1.235 1.048  1.284 1.186
2#tos#f1#f1042059/X  -0.815 1.355  -0.979 1.303  -0.953 1.157  -0.857 1.015  -0.722 0.893  -0.630 0.723  -0.580 0.541  -0.445 0.401  -0.293 0.275  -0.198 0.106  -0.116 -0.071  -0.013 -0.240  0.090 -0.407  0.204 -0.554  0.339 -0.675  0.457 -0.833  0.539 -1.007  0.727 -1.046  0.755 -1.214  0.758 -1.230  0.743 -1.037  0.720 -0.841  0.697 -0.646  0.674 -0.450  0.651 -0.254  0.628 -0.059  0.605 0.137  0.582 0.333  0.559 0.529  0.536 0.724  0.513 0.920  0.490 1.116  0.429 1.263  0.329 1.252  0.212 1.094  0.075 0.953  0.027 0.764  -0.022 0.574  -0.077 0.385  -0.199 0.232  -0.291 0.058  -0.392 -0.111  -0.429 -0.303  -0.465 -0.497  -0.504 -0.690  -0.560 -0.868  -0.676 -0.981  -0.676 -1.178  -0.722 -1.356  -0.722 -1.553
2#tos#f1#f1042059/c  0.662 0.745  0.662 0.848  0.662 0.950  0.662 1.053  0.582 1.075  0.484 1.098  0.392 1.142  0.289 1.142  0.187 1.142  0.098 1.107  0.009 1.075  -0.091 1.053  -0.191 1.028  -0.283 0.990  -0.356 0.918  -0.428 0.845  -0.479 0.759  -0.512 0.662  -0.551 0.567  -0.594 0.475  -0.594 0.372  -0.594 0.269  -0.594 0.167  -0.594 0.064  -0.594 -0.038  -0.594 -0.141  -0.594 -0.244  -0.594 -0.346  -0.594 -0.449  -0.594 -0.552  -0.594 -0.654  -0.555 -0.736  -0.469 -0.793  -0.386 -0.852  -0.313 -0.924  -0.231 -0.974  -0.128 -0.974  -0.026 -0.974  0.077 -0.974  0.180 -0.974  0.282 -0.974  0.385 -0.974  0.488 -0.974  0.590 -0.974  0.693 -0.974  0.782 -0.933  0.864 -0.871  0.946 -0.810  1.033 -0.755  1.124 -0.709
2#tos#f1#f1042059/e  -0.489 0.067  -0.631 -0.007  -0.628 -0.072  -0.468 -0.072  -0.307 -0.072  -0.147 -0.072  0.014 -0.072  0.174 -0.072  0.271 -0.009  0.287 0.136  0.448 0.136  0.608 0.136  0.712 0.214  0.779 0.343  0.893 0.389  0.893 0.550  0.922 0.706  0.963 0.859  0.963 1.020  0.897 1.165  0.742 1.173  0.581 1.173  0.421 1.173  0.264 1.165  0.137 1.071  0.008 0.978  -0.118 0.896  -0.204 0.775  -0.312 0.658  -0.451 0.586  -0.573 0.505  -0.624 0.353  -0.633 0.194  -0.704 0.051  -0.766 -0.095  -0.766 -0.255  -0.766 -0.416  -0.702 -0.550  -0.627 -0.679  -0.627 -0.840  -0.627 -1.000  -0.527 -1.107  -0.391 -1.192  -0.248 -1.264  -0.124 -1.355  -0.025 -1.454  0.136 -1.454  0.296 -1.454  0.457 -1.454  0.617 -1.454
2#tos#f1#f1042059/h  -0.029 1.845  -0.181 1.845  -0.333 1.845  -0.345 1.810  -0.345 1.658  -0.345 1.506  -0.339 1.355  -0.292 1.210  -0.292 1.058  -0.292 0.906  -0.292 0.754  -0.292 0.602  -0.292 0.450  -0.292 0.298  -0.292 0.146  -0.292 -0.006  -0.292 -0.158  -0.292 -0.310  -0.292 -0.462  -0.292 -0.614  -0.292 -0.767  -0.292 -0.919  -0.292 -1.071  -0.292 -1.223  -0.292 -1.375  -0.292 -1.315  -0.281 -1.165  -0.244 -1.017  -0.239 -0.866  -0.228 -0.717  -0.149 -0.586  -0.075 -0.454  -0.026 -0.310  0.024 -0.170  0.039 -0.021  0.141 0.075  0.235 0.160  0.282 0.265  0.434 0.265  0.498 0.282  0.544 0.144  0.604 0.010  0.604 -0.143  0.624 -0.292  0.656 -0.440  0.716 -0.555  0.762 -0.679  0.808 -0.824  0.814 -0.975  0.920 -1.052
2#tos#f1#f1042059/i  0.280 0.062  0.205 0.118  0.112 0.079  0.112 -0.052  0.112 -0.183  0.112 -0.314  0.112 -0.445  0.112 -0.576  0.144 -0.702  0.168 -0.829  0.168 -0.960  0.168 -1.091  0.168 -1.222  0.168 -1.354  0.168 -1.485  0.168 -1.616  0.161 -1.592  0.149 -1.461  0.136 -1.331  0.124 -1.200  0.112 -1.070  0.099 -0.939  0.087 -0.809  0.075 -0.678  0.062 -0.548  0.050 -0.417  0.038 -0.287  0.025 -0.156  0.013 -0.026  0.001 0.105  -0.012 0.235  -0.024 0.366  -0.036 0.496  -0.049 0.627  -0.061 0.758  -0.073 0.888  -0.085 1.019  -0.098 1.149  -0.110 1.280  -0.058 1.185  -0.144 1.268  -0.237 1.361  -0.330 1.454  -0.431 1.495  -0.451 1.459  -0.380 1.393  -0.335 1.280  -0.308 1.166  -0.223 1.087  -0.167 1.012
2#tos#f1#f1042059/l  0.196 1.523  0.125 1.523  0.054 1.523  0.002 1.505  0.002 1.434  0.002 1.364  0.002 1.293  0.002 1.222  0.002 1.152  -0.037 1.097  -0.046 1.030  -0.046 0.960  -0.046 0.889  -0.046 0.818  -0.046 0.748  -0.046 0.677  -0.046 0.607  -0.046 0.536  -0.033 0.467  -0.010 0.400  0.002 0.332  0.002 0.261  0.002 0.191  0.002 0.120  0.002 0.049  0.002 -0.021  0.002 -0.092  0.002 -0.163  0.002 -0.233  0.002 -0.304  0.002 -0.374  0.002 -0.445  0.002 -0.516  0.002 -0.586  0.002 -0.657  0.002 -0.728  0.002 -0.798  0.002 -0.869  0.002 -0.940  0.002 -1.010  0.002 -1.081  0.002 -1.151  0.002 -1.222  0.002 -1.293  0.002 -1.363  0.002 -1.434  0.002 -1.505  0.002 -1.575  0.002 -1.646  0.002 -1.716
2#tos#f1#f1042059/n  -0.337 1.111  -0.498 1.111  -0.599 1.013  -0.599 0.976  -0.665 0.887  -0.665 0.726  -0.665 0.564  -0.665 0.403  -0.665 0.242  -0.665 0.080  -0.665 -0.081  -0.665 -0.242  -0.665 -0.404  -0.665 -0.565  -0.665 -0.726  -0.665 -0.887  -0.665 -1.049  -0.686 -1.189  -0.731 -1.306  -0.654 -1.243  -0.599 -1.105  -0.599 -0.943  -0.535 -0.797  -0.468 -0.652  -0.439 -0.503  -0.325 -0.388  -0.257 -0.255  -0.143 -0.141  -0.045 -0.015  0.027 0.129  0.099 0.273  0.171 0.418  0.304 0.492  0.386 0.594  0.418 0.738  0.553 0.828  0.680 0.914  0.842 0.914  0.912 0.822  0.912 0.661  0.988 0.547  1.043 0.420  1.063 0.262  1.109 0.108  1.109 -0.054  1.109 -0.215  1.109 -0.376  1.109 -0.538  1.109 -0.699  1.109 -0.860
2#tos#f1#f1042059/p  -0.174 1.077  -0.310 1.005  -0.310 0.795  -0.310 0.586  -0.310 0.377  -0.310 0.168  -0.310 -0.041  -0.299 -0.248  -0.242 -0.448  -0.242 -0.657  -0.230 -0.864  -0.174 -1.064  -0.174 -1.274  -0.174 -1.483  -0.174 -1.692  -0.179 -1.799  -0.202 -1.591  -0.224 -1.383  -0.246 -1.175  -0.269 -0.967  -0.291 -0.760  -0.314 -0.552  -0.336 -0.344  -0.359 -0.136  -0.381 0.072  -0.404 0.280  -0.426 0.488  -0.473 0.669  -0.582 0.769  -0.514 0.910  -0.348 0.971  -0.156 1.014  0.047 1.065  0.254 1.077  0.327 1.214  0.537 1.214  0.746 1.214  0.927 1.146  0.984 0.994  0.984 0.785  0.958 0.601  0.875 0.439  0.791 0.253  0.665 0.085  0.521 -0.066  0.447 -0.259  0.349 -0.442  0.192 -0.578  0.012 -0.682  -0.174 -0.761
2#tos#f1#f1042059/s  0.983 1.300  0.983 1.147  0.869 1.193  0.767 1.243  0.628 1.300  0.475 1.300  0.323 1.300  0.171 1.300  0.035 1.260  -0.111 1.243  -0.251 1.194  -0.362 1.091  -0.386 0.947  -0.437 0.807  -0.437 0.654  -0.345 0.561  -0.208 0.501  -0.123 0.374  -0.040 0.287  0.037 0.182  0.153 0.085  0.270 0.011  0.355 -0.115  0.461 -0.224  0.586 -0.291  0.699 -0.364  0.699 -0.516  0.699 -0.668  0.591 -0.746  0.472 -0.779  0.456 -0.916  0.310 -0.951  0.161 -0.973  0.008 -0.973  -0.144 -0.973  -0.296 -0.973  -0.449 -0.973  -0.494 -0.866  -0.597 -0.756  -0.608 -0.608  -0.608 -0.456  -0.608 -0.303  -0.608 -0.204  -0.608 -0.356  -0.608 -0.508  -0.608 -0.661  -0.603 -0.812  -0.551 -0.952  -0.551 -1.105  -0.551 -1.257
2#tos#f1#f1042059/u  -0.538 1.093  -0.689 1.073  -0.729 0.942  -0.764 0.806  -0.822 0.646  -0.886 0.487  -0.915 0.322  -0.965 0.163  -0.991 -0.002  -0.991 -0.173  -0.991 -0.344  -0.991 -0.515  -0.991 -0.686  -0.991 -0.857  -0.908 -0.945  -0.737 -0.945  -0.566 -0.945  -0.395 -0.945  -0.335 -0.790  -0.216 -0.718  -0.072 -0.680  -0.018 -0.518  -0.010 -0.348  0.002 -0.184  0.155 -0.108  0.292 -0.022  0.292 0.149  0.292 0.320  0.329 0.487  0.367 0.653  0.367 0.824  0.367 0.995  0.367 1.166  0.443 1.225  0.443 1.054  0.501 0.942  0.556 0.793  0.594 0.626  0.594 0.455  0.594 0.284  0.661 0.129  0.717 -0.032  0.745 -0.199  0.778 -0.364  0.837 -0.525  0.923 -0.670  1.004 -0.816  1.047 -0.980  1.047 -1.151  1.198 -1.171
2#tos#f1#f1042059/v  -0.400 0.453  -0.621 0.453  -0.647 0.258  -0.647 0.037  -0.642 -0.183  -0.589 -0.397  -0.554 -0.611  -0.472 -0.816  -0.400 -1.010  -0.400 -1.230  -0.303 -1.399  -0.162 -1.519  0.051 -1.499  0.132 -1.300  0.261 -1.140  0.416 -1.024  0.472 -0.811  0.524 -0.598  0.524 -0.377  0.570 -0.162  0.739 -0.063  0.832 0.085  0.832 0.305  0.832 0.526  0.661 0.576  0.440 0.576  0.220 0.576  -0.001 0.576  -0.222 0.576  -0.443 0.576  -0.663 0.576  -0.884 0.576  -1.034 0.475  -1.238 0.404  -1.441 0.330  -1.234 0.330  -1.014 0.330  -0.793 0.330  -0.572 0.330  -0.351 0.330  -0.131 0.330  0.088 0.344  0.303 0.391  0.522 0.412  0.740 0.448  0.935 0.515  1.156 0.515  1.376 0.515  1.597 0.515  1.633 0.576
2#tos#f1#f1042059/x  -0.650 1.359  -0.824 1.315  -0.802 1.203  -0.765 1.017  -0.650 0.863  -0.650 0.662  -0.536 0.521  -0.421 0.381  -0.399 0.182  -0.360 -0.016  -0.218 -0.089  -0.116 -0.189  -0.116 -0.390  0.000 -0.550  0.090 -0.731  0.180 -0.911  0.246 -1.101  0.389 -1.204  0.495 -1.300  0.532 -1.102  0.569 -0.904  0.606 -0.706  0.643 -0.508  0.681 -0.310  0.718 -0.112  0.755 0.086  0.792 0.284  0.829 0.482  0.866 0.680  0.903 0.878  0.940 1.076  0.804 1.131  0.603 1.131  0.417 1.115  0.317 0.955  0.178 0.810  0.066 0.642  -0.068 0.493  -0.116 0.311  -0.116 0.110  -0.116 -0.092  -0.231 -0.222  -0.411 -0.312  -0.501 -0.489  -0.541 -0.687  -0.593 -0.879  -0.704 -1.047  -0.879 -1.089  -0.879 -1.291  -0.955 -1.461
2#tos#f1#f1042059/y  -0.778 0.800  -0.912 0.783  -0.900 0.633  -0.853 0.489  -0.845 0.339  -0.706 0.323  -0.644 0.186  -0.644 0.035  -0.611 -0.103  -0.494 -0.170  -0.415 -0.246  -0.303 -0.144  -0.191 -0.042  -0.079 0.060  0.032 0.162  0.144 0.264  0.256 0.367  0.368 0.469  0.480 0.571  0.592 0.673  0.704 0.775  0.815 0.877  0.927 0.979  1.039 1.081  1.031 1.130  1.008 1.001  0.888 0.925  0.799 0.805  0.763 0.662  0.679 0.571  0.545 0.510  0.454 0.389  0.363 0.268  0.314 0.124  0.242 -0.006  0.151 -0.127  0.054 -0.243  -0.047 -0.354  -0.103 -0.495  -0.160 -0.636  -0.175 -0.784  -0.175 -0.936  -0.219 -1.074  -0.303 -1.200  -0.434 -1.272  -0.488 -1.411  -0.510 -1.559  -0.510 -1.710  -0.510 -1.861  -0.644 -1.879
