2#tos#f2#f2004062/#  -0.987 0.881  -1.290 0.622  -0.918 0.570  -0.508 0.570  -0.097 0.570  0.313 0.570  0.723 0.570  1.091 0.674  1.220 0.690  0.825 0.578  0.430 0.467  0.035 0.356  -0.360 0.244  -0.734 0.097  -1.048 -0.145  -0.898 -0.260  -0.488 -0.260  -0.078 -0.260  0.333 -0.260  0.737 -0.208  1.135 -0.156  1.211 0.043  0.875 0.278  0.539 0.513  0.203 0.749  -0.134 0.984  -0.520 1.044  -0.520 0.974  -0.520 0.564  -0.520 0.153  -0.520 -0.257  -0.572 -0.661  -0.572 -1.071  -0.572 -1.482  -0.548 -1.641  -0.416 -1.253  -0.284 -0.864  -0.152 -0.476  -0.020 -0.087  0.112 0.301  0.244 0.690  0.362 1.081  0.310 0.738  0.362 0.334  0.362 -0.076  0.362 -0.487  0.362 -0.897  0.362 -1.307  0.362 -1.718  0.413 -2.076
2#tos#f2#f2004062/M  -0.107 1.098  -0.237 1.013  -0.299 0.808  -0.374 0.608  -0.467 0.415  -0.543 0.215  -0.590 0.007  -0.712 -0.166  -0.736 -0.375  -0.816 -0.573  -0.920 -0.752  -0.971 -0.955  -1.058 -1.134  -1.101 -1.165  -1.046 -0.961  -0.970 -0.760  -0.894 -0.560  -0.818 -0.359  -0.743 -0.159  -0.667 0.042  -0.591 0.243  -0.515 0.443  -0.496 0.654  -0.496 0.868  -0.397 0.739  -0.315 0.546  -0.237 0.353  -0.160 0.162  -0.107 -0.039  -0.058 -0.223  0.066 -0.328  0.217 -0.219  0.292 -0.055  0.433 0.063  0.575 0.188  0.717 0.332  0.833 0.483  0.980 0.638  1.097 0.795  1.146 0.888  1.146 0.674  1.146 0.460  1.146 0.245  1.146 0.031  1.102 -0.173  1.102 -0.388  1.102 -0.602  1.077 -0.811  1.059 -1.021  1.059 -1.235
2#tos#f2#f2004062/N  -0.157 0.968  -0.315 0.907  -0.369 0.756  -0.457 0.581  -0.522 0.397  -0.579 0.210  -0.666 0.034  -0.722 -0.152  -0.837 -0.310  -0.894 -0.497  -0.941 -0.687  -0.961 -0.881  -1.045 -1.042  -0.997 -0.892  -0.944 -0.703  -0.891 -0.515  -0.838 -0.326  -0.785 -0.138  -0.732 0.051  -0.678 0.240  -0.625 0.428  -0.580 0.618  -0.538 0.804  -0.411 0.810  -0.400 0.619  -0.261 0.480  -0.142 0.330  -0.036 0.171  0.054 0.030  0.105 -0.158  0.203 -0.322  0.308 -0.474  0.395 -0.641  0.497 -0.806  0.575 -0.977  0.646 -1.101  0.731 -0.995  0.792 -0.813  0.841 -0.629  0.858 -0.437  0.903 -0.249  0.975 -0.067  1.027 0.117  1.047 0.310  1.109 0.496  1.171 0.681  1.245 0.854  1.281 1.042  1.281 1.037  1.281 0.842
2#tos#f2#f2004062/Q  0.443 -0.398  0.367 -0.581  0.310 -0.740  0.133 -0.778  -0.082 -0.778  -0.288 -0.740  -0.494 -0.702  -0.661 -0.625  -0.842 -0.519  -1.017 -0.440  -1.188 -0.323  -1.228 -0.115  -1.228 0.099  -1.228 0.314  -1.224 0.529  -1.136 0.715  -0.968 0.849  -0.795 0.973  -0.584 1.007  -0.417 1.129  -0.211 1.179  -0.015 1.257  0.198 1.273  0.413 1.273  0.628 1.273  0.821 1.198  0.860 0.999  0.926 0.800  0.936 0.587  0.936 0.372  0.898 0.163  0.822 -0.020  0.742 -0.213  0.607 -0.379  0.469 -0.536  0.312 -0.681  0.121 -0.740  -0.094 -0.740  -0.142 -0.599  -0.095 -0.389  -0.049 -0.179  -0.063 -0.018  -0.069 -0.076  0.086 -0.203  0.177 -0.379  0.334 -0.522  0.486 -0.647  0.563 -0.844  0.708 -0.967  0.822 -1.119
2#tos#f2#f2004062/T  0.310 0.602  0.147 0.602  0.107 0.493  0.139 0.339  0.139 0.176  0.139 0.014  0.139 -0.148  0.139 -0.311  0.151 -0.471  0.181 -0.630  0.181 -0.792  0.181 -0.954  0.181 -1.117  0.222 -1.272  0.267 -1.427  0.310 -1.547  0.308 -1.703  0.244 -1.554  0.180 -1.405  0.116 -1.256  0.051 -1.107  -0.013 -0.958  -0.077 -0.809  -0.141 -0.660  -0.205 -0.511  -0.270 -0.362  -0.334 -0.213  -0.398 -0.064  -0.462 0.085  -0.527 0.234  -0.591 0.383  -0.655 0.532  -0.719 0.681  -0.815 0.801  -0.974 0.815  -0.979 0.901  -0.817 0.901  -0.655 0.901  -0.492 0.901  -0.330 0.901  -0.168 0.901  -0.006 0.901  0.157 0.901  0.319 0.901  0.481 0.901  0.643 0.901  0.806 0.901  0.968 0.901  1.130 0.901  1.292 0.901
2#tos#f2#f2004062/W  -1.047 1.017  -1.198 1.061  -1.159 0.938  -1.112 0.749  -1.083 0.559  -1.011 0.378  -0.969 0.189  -0.895 0.010  -0.828 -0.172  -0.812 -0.359  -0.740 -0.524  -0.678 -0.700  -0.609 -0.880  -0.565 -1.056  -0.511 -0.972  -0.477 -0.783  -0.469 -0.591  -0.384 -0.416  -0.345 -0.228  -0.324 -0.036  -0.244 0.138  -0.214 0.324  -0.202 0.515  -0.082 0.666  -0.082 0.860  0.006 0.745  0.046 0.562  0.098 0.383  0.137 0.193  0.137 -0.001  0.181 -0.188  0.203 -0.376  0.269 -0.551  0.314 -0.740  0.400 -0.914  0.420 -1.089  0.576 -1.050  0.632 -0.873  0.707 -0.695  0.794 -0.521  0.867 -0.340  0.966 -0.174  0.971 0.019  1.031 0.202  1.096 0.385  1.190 0.552  1.210 0.744  1.234 0.935  1.278 1.086  1.278 1.017
2#tos#f2#f2004062/b  -0.192 1.680  -0.249 1.811  -0.249 1.815  -0.249 1.627  -0.249 1.439  -0.249 1.251  -0.249 1.063  -0.249 0.875  -0.249 0.687  -0.281 0.504  -0.306 0.320  -0.306 0.131  -0.306 -0.057  -0.396 -0.218  -0.420 -0.398  -0.420 -0.587  -0.420 -0.775  -0.420 -0.963  -0.477 -1.007  -0.477 -0.818  -0.421 -0.653  -0.363 -0.479  -0.363 -0.291  -0.306 -0.116  -0.252 0.055  -0.192 0.225  -0.123 0.397  0.001 0.525  0.160 0.626  0.316 0.713  0.504 0.713  0.668 0.656  0.775 0.574  0.885 0.432  0.945 0.254  0.945 0.066  0.945 -0.122  0.945 -0.310  0.885 -0.488  0.783 -0.644  0.632 -0.752  0.554 -0.915  0.390 -0.989  0.250 -1.107  0.065 -1.121  -0.113 -1.164  -0.301 -1.164  -0.489 -1.164  -0.668 -1.143  -0.647 -0.993
2#tos#f2#f2004062/g  0.327 0.762  0.194 0.629  0.168 0.449  0.193 0.617  0.237 0.812  0.237 1.017  0.103 1.149  -0.033 1.253  -0.238 1.253  -0.444 1.253  -0.551 1.109  -0.656 0.979  -0.656 0.773  -0.656 0.567  -0.538 0.445  -0.345 0.405  -0.140 0.405  0.038 0.473  0.157 0.637  0.237 0.809  0.237 1.015  0.243 1.164  0.237 0.964  0.237 0.759  0.237 0.553  0.237 0.347  0.237 0.142  0.237 -0.064  0.210 -0.267  0.193 -0.471  0.193 -0.676  0.193 -0.882  0.193 -1.088  0.193 -1.293  0.193 -1.499  0.193 -1.704  0.129 -1.873  -0.031 -1.827  -0.152 -1.718  -0.259 -1.545  -0.334 -1.355  -0.343 -1.151  -0.343 -0.946  -0.343 -0.740  -0.264 -0.553  -0.167 -0.399  0.024 -0.340  0.163 -0.206  0.319 -0.101  0.505 -0.042
2#tos#f2#f2004062/h  -0.206 1.946  -0.315 1.888  -0.367 1.750  -0.419 1.611  -0.424 1.464  -0.437 1.317  -0.466 1.171  -0.467 1.023  -0.467 0.875  -0.467 0.727  -0.467 0.579  -0.467 0.430  -0.467 0.282  -0.467 0.134  -0.467 -0.014  -0.467 -0.162  -0.467 -0.311  -0.467 -0.459  -0.467 -0.607  -0.467 -0.755  -0.467 -0.903  -0.425 -1.010  -0.424 -0.863  -0.380 -0.725  -0.360 -0.580  -0.337 -0.434  -0.321 -0.291  -0.241 -0.166  -0.175 -0.034  -0.119 0.102  -0.059 0.225  0.025 0.338  0.130 0.381  0.263 0.346  0.345 0.249  0.402 0.114  0.424 -0.031  0.446 -0.176  0.446 -0.324  0.497 -0.460  0.533 -0.600  0.576 -0.730  0.614 -0.869  0.702 -0.966  0.821 -1.037  0.963 -1.053  1.104 -1.041  1.170 -0.909  1.241 -0.780  1.315 -0.662
2#tos#f2#f2004062/k  -0.199 2.109  -0.401 2.109  -0.417 1.923  -0.417 1.721  -0.417 1.519  -0.417 1.317  -0.417 1.115  -0.417 0.913  -0.417 0.711  -0.417 0.509  -0.417 0.307  -0.417 0.105  -0.417 -0.097  -0.417 -0.299  -0.417 -0.501  -0.417 -0.703  -0.417 -0.905  -0.365 -1.095  -0.362 -1.296  -0.254 -1.431  -0.175 -1.351  -0.072 -1.178  0.032 -1.004  0.136 -0.831  0.240 -0.658  0.344 -0.485  0.448 -0.312  0.552 -0.138  0.656 0.035  0.781 0.188  0.961 0.260  0.995 0.423  0.847 0.477  0.645 0.477  0.488 0.368  0.287 0.366  0.131 0.247  -0.053 0.180  -0.181 0.042  -0.361 -0.011  -0.527 -0.121  -0.496 -0.218  -0.367 -0.356  -0.171 -0.393  0.007 -0.466  0.179 -0.556  0.367 -0.618  0.545 -0.703  0.704 -0.807  0.889 -0.883
2#tos#f2#f2004062/n  -1.025 0.052  -1.057 -0.097  -1.138 -0.218  -1.259 -0.315  -1.317 -0.418  -1.317 -0.367  -1.302 -0.209  -1.222 -0.069  -1.137 0.068  -1.085 0.221  -1.008 0.361  -0.920 0.495  -0.813 0.614  -0.660 0.636  -0.533 0.552  -0.415 0.443  -0.280 0.353  -0.266 0.199  -0.266 0.038  -0.229 -0.118  -0.208 -0.276  -0.208 -0.438  -0.208 -0.599  -0.208 -0.536  -0.208 -0.375  -0.208 -0.213  -0.208 -0.052  -0.125 0.076  -0.067 0.218  0.028 0.346  0.142 0.460  0.215 0.605  0.263 0.753  0.424 0.753  0.502 0.617  0.580 0.476  0.671 0.344  0.774 0.249  0.785 0.090  0.843 -0.036  0.902 -0.161  0.939 -0.314  1.062 -0.408  1.146 -0.542  1.229 -0.649  1.391 -0.649  1.545 -0.619  1.684 -0.536  1.818 -0.446  1.953 -0.357
2#tos#f2#f2004062/p  0.007 1.679  -0.151 1.744  -0.189 1.558  -0.189 1.334  -0.189 1.109  -0.189 0.885  -0.189 0.661  -0.189 0.437  -0.189 0.213  -0.189 -0.011  -0.189 -0.235  -0.189 -0.460  -0.188 -0.684  -0.134 -0.901  -0.124 -1.124  -0.120 -1.348  -0.066 -1.565  -0.058 -1.788  -0.058 -1.834  -0.063 -1.610  -0.069 -1.386  -0.076 -1.162  -0.082 -0.938  -0.088 -0.714  -0.094 -0.490  -0.101 -0.266  -0.107 -0.042  -0.113 0.182  -0.119 0.406  -0.124 0.630  -0.282 0.696  -0.386 0.816  -0.327 1.016  -0.106 1.024  0.118 1.024  0.342 1.024  0.561 0.992  0.709 0.869  0.793 0.697  0.859 0.489  0.859 0.265  0.796 0.051  0.606 -0.062  0.441 -0.205  0.306 -0.381  0.106 -0.472  -0.107 -0.543  -0.330 -0.548  -0.554 -0.548  -0.582 -0.483
2#tos#f2#f2004062/r  -0.423 1.209  -0.525 1.282  -0.536 1.395  -0.417 1.319  -0.370 1.180  -0.332 1.038  -0.296 0.895  -0.250 0.755  -0.228 0.611  -0.228 0.464  -0.228 0.317  -0.228 0.170  -0.228 0.023  -0.228 -0.124  -0.228 -0.272  -0.228 -0.419  -0.222 -0.565  -0.176 -0.705  -0.163 -0.850  -0.137 -0.991  -0.098 -1.129  -0.098 -1.276  -0.098 -1.423  -0.098 -1.570  -0.200 -1.523  -0.293 -1.469  -0.293 -1.322  -0.293 -1.175  -0.293 -1.028  -0.293 -0.881  -0.293 -0.734  -0.293 -0.586  -0.293 -0.439  -0.293 -0.292  -0.192 -0.187  -0.104 -0.069  -0.023 0.053  0.059 0.176  0.141 0.298  0.222 0.420  0.325 0.526  0.429 0.630  0.533 0.734  0.672 0.753  0.793 0.818  0.940 0.818  1.087 0.818  1.234 0.818  1.381 0.818  1.398 0.688
2#tos#f2#f2004062/u  -0.842 1.090  -0.976 1.065  -1.006 0.913  -1.035 0.761  -1.035 0.606  -1.035 0.451  -1.035 0.296  -1.035 0.142  -1.035 -0.013  -1.035 -0.168  -1.035 -0.323  -0.998 -0.469  -0.904 -0.590  -0.842 -0.719  -0.777 -0.809  -0.729 -0.935  -0.584 -0.975  -0.434 -0.947  -0.307 -0.874  -0.225 -0.745  -0.119 -0.633  -0.033 -0.504  0.081 -0.403  0.191 -0.307  0.225 -0.166  0.325 -0.051  0.363 0.099  0.430 0.232  0.490 0.373  0.514 0.524  0.514 0.678  0.560 0.814  0.578 0.961  0.578 1.116  0.643 1.103  0.643 0.948  0.643 0.793  0.643 0.638  0.707 0.499  0.707 0.344  0.707 0.189  0.707 0.034  0.743 -0.115  0.772 -0.265  0.783 -0.417  0.848 -0.558  0.897 -0.705  0.901 -0.859  0.901 -1.014  0.965 -1.104
2#tos#f2#f2004062/w  -1.367 0.805  -1.308 0.911  -1.261 0.793  -1.173 0.665  -1.156 0.507  -1.156 0.343  -1.156 0.178  -1.090 0.028  -1.029 -0.123  -0.945 -0.262  -0.945 -0.427  -0.910 -0.583  -0.839 -0.722  -0.790 -0.874  -0.734 -0.779  -0.623 -0.659  -0.543 -0.516  -0.455 -0.377  -0.392 -0.225  -0.321 -0.078  -0.215 0.044  -0.101 0.147  -0.053 0.297  0.031 0.438  0.133 0.565  0.215 0.705  0.260 0.760  0.268 0.599  0.302 0.440  0.321 0.278  0.321 0.114  0.373 -0.038  0.373 -0.203  0.426 -0.355  0.479 -0.507  0.479 -0.671  0.584 -0.792  0.637 -0.860  0.679 -0.702  0.799 -0.598  0.848 -0.460  0.940 -0.323  1.013 -0.176  1.073 -0.025  1.189 0.092  1.274 0.231  1.365 0.368  1.375 0.529  1.375 0.694  1.428 0.805
2#tos#f2#f2004062/y  -0.639 1.006  -0.732 0.956  -0.680 0.864  -0.552 0.800  -0.462 0.699  -0.344 0.626  -0.267 0.531  -0.258 0.392  -0.154 0.295  -0.035 0.216  0.065 0.116  0.166 0.015  0.203 -0.110  0.277 -0.113  0.362 0.001  0.448 0.115  0.533 0.229  0.619 0.343  0.705 0.457  0.790 0.571  0.876 0.685  0.961 0.799  1.047 0.913  1.001 0.942  0.866 0.913  0.746 0.857  0.663 0.749  0.601 0.639  0.508 0.541  0.466 0.405  0.432 0.267  0.316 0.186  0.211 0.089  0.119 -0.019  0.035 -0.133  -0.065 -0.234  -0.135 -0.357  -0.213 -0.474  -0.314 -0.575  -0.393 -0.694  -0.472 -0.812  -0.522 -0.944  -0.570 -1.076  -0.649 -1.195  -0.728 -1.313  -0.807 -1.426  -0.903 -1.521  -0.966 -1.649  -1.054 -1.737  -1.104 -1.830
