2#apb#apb40#app4083/S  -0.827 -0.569  -0.905 -0.521  -0.841 -0.398  -0.761 -0.284  -0.680 -0.170  -0.599 -0.056  -0.518 0.057  -0.437 0.170  -0.355 0.284  -0.274 0.397  -0.186 0.505  -0.096 0.612  -0.007 0.719  0.083 0.825  0.171 0.934  0.255 1.045  0.338 1.157  0.422 1.269  0.507 1.379  0.594 1.488  0.618 1.405  0.613 1.266  0.600 1.127  0.587 0.988  0.574 0.849  0.559 0.710  0.545 0.571  0.530 0.433  0.516 0.294  0.498 0.156  0.479 0.018  0.460 -0.121  0.441 -0.259  0.419 -0.396  0.394 -0.534  0.370 -0.671  0.338 -0.807  0.300 -0.941  0.232 -1.059  0.140 -1.163  0.019 -1.229  -0.113 -1.272  -0.249 -1.301  -0.381 -1.259  -0.506 -1.200  -0.616 -1.114  -0.709 -1.013  -0.789 -0.899  -0.851 -0.774  -0.902 -0.645
2#apb#apb40#app4083/T  -0.866 -0.144  -0.725 -0.144  -0.584 -0.151  -0.444 -0.170  -0.305 -0.189  -0.167 -0.161  -0.029 -0.132  0.109 -0.104  0.247 -0.075  0.385 -0.045  0.523 -0.016  0.659 0.019  0.785 0.082  0.911 0.146  0.936 0.243  0.876 0.371  0.815 0.498  0.754 0.625  0.694 0.752  0.633 0.880  0.573 1.007  0.512 1.134  0.451 1.262  0.391 1.389  0.339 1.377  0.294 1.243  0.250 1.109  0.205 0.975  0.153 0.844  0.099 0.714  0.045 0.584  -0.008 0.453  -0.062 0.323  -0.115 0.192  -0.167 0.061  -0.219 -0.070  -0.271 -0.201  -0.323 -0.332  -0.375 -0.463  -0.427 -0.594  -0.477 -0.726  -0.528 -0.857  -0.579 -0.989  -0.630 -1.120  -0.675 -1.253  -0.703 -1.392  -0.730 -1.530  -0.758 -1.668  -0.745 -1.808  -0.729 -1.948
2#apb#apb40#app4083/&  0.177 -0.248  0.260 -0.090  0.323 0.073  0.248 0.215  0.071 0.213  -0.095 0.144  -0.247 0.053  -0.379 -0.062  -0.455 -0.222  -0.460 -0.395  -0.333 -0.511  -0.159 -0.536  -0.020 -0.492  -0.118 -0.483  -0.084 -0.307  -0.049 -0.132  -0.015 0.043  0.020 0.219  0.054 0.394  0.089 0.569  0.123 0.745  0.158 0.920  0.192 1.096  0.226 1.271  0.261 1.446  0.295 1.622  0.260 1.785  0.185 1.631  0.150 1.456  0.119 1.280  0.089 1.104  0.075 0.926  0.064 0.747  0.054 0.569  0.043 0.390  0.033 0.212  0.022 0.033  0.011 -0.145  0.001 -0.323  -0.010 -0.502  -0.020 -0.680  -0.031 -0.859  -0.042 -1.037  -0.052 -1.216  -0.063 -1.394  -0.073 -1.572  -0.114 -1.745  -0.171 -1.915  -0.256 -2.071  -0.356 -2.218
2#apb#apb40#app4083/T  -1.379 0.199  -1.325 0.220  -1.197 0.235  -1.068 0.250  -0.939 0.258  -0.810 0.262  -0.681 0.266  -0.551 0.270  -0.423 0.282  -0.297 0.313  -0.172 0.343  -0.046 0.374  0.080 0.404  0.206 0.435  0.331 0.468  0.454 0.507  0.577 0.546  0.701 0.585  0.824 0.623  0.947 0.663  1.065 0.716  1.183 0.769  1.301 0.822  1.203 0.758  1.095 0.688  0.986 0.618  0.877 0.548  0.768 0.478  0.659 0.408  0.551 0.338  0.442 0.268  0.333 0.198  0.224 0.128  0.115 0.058  0.007 -0.012  -0.063 -0.114  -0.108 -0.235  -0.153 -0.356  -0.198 -0.478  -0.245 -0.598  -0.294 -0.718  -0.343 -0.838  -0.391 -0.958  -0.442 -1.077  -0.494 -1.195  -0.547 -1.313  -0.599 -1.431  -0.654 -1.548  -0.722 -1.659  -0.790 -1.769
2#apb#apb40#app4083/P  -0.066 0.528  -0.115 0.353  -0.163 0.178  -0.198 -0.000  -0.231 -0.179  -0.263 -0.358  -0.299 -0.536  -0.340 -0.713  -0.382 -0.889  -0.423 -1.066  -0.484 -1.237  -0.547 -1.408  -0.635 -1.552  -0.686 -1.400  -0.686 -1.219  -0.663 -1.039  -0.636 -0.860  -0.596 -0.683  -0.556 -0.505  -0.513 -0.329  -0.463 -0.155  -0.412 0.020  -0.371 0.196  -0.339 0.375  -0.306 0.554  -0.262 0.729  -0.197 0.899  -0.132 1.068  -0.036 1.215  0.108 1.326  0.251 1.438  0.431 1.441  0.613 1.441  0.735 1.320  0.847 1.177  0.926 1.019  0.959 0.840  0.993 0.662  0.997 0.481  0.991 0.299  0.930 0.134  0.838 -0.022  0.724 -0.160  0.579 -0.268  0.430 -0.372  0.272 -0.462  0.114 -0.552  -0.066 -0.574  -0.246 -0.587  -0.427 -0.566
2#apb#apb40#app4083/a  0.684 1.564  0.609 1.417  0.492 1.301  0.375 1.184  0.259 1.067  0.142 0.950  0.034 0.826  -0.074 0.701  -0.183 0.577  -0.291 0.452  -0.399 0.328  -0.508 0.203  -0.610 0.074  -0.706 -0.060  -0.802 -0.194  -0.898 -0.329  -0.994 -0.463  -1.090 -0.597  -1.168 -0.743  -1.241 -0.890  -1.234 -1.021  -1.108 -1.129  -0.978 -1.155  -0.841 -1.063  -0.704 -0.971  -0.573 -0.869  -0.443 -0.768  -0.313 -0.667  -0.183 -0.565  -0.055 -0.461  0.052 -0.336  0.159 -0.210  0.266 -0.084  0.372 0.042  0.479 0.168  0.579 0.299  0.668 0.438  0.757 0.577  0.846 0.715  0.934 0.779  0.934 0.614  0.906 0.453  0.864 0.293  0.822 0.133  0.780 -0.026  0.742 -0.187  0.709 -0.349  0.677 -0.511  0.645 -0.672  0.612 -0.834
2#apb#apb40#app4083/c  1.014 1.048  0.997 1.155  0.937 1.234  0.847 1.294  0.757 1.246  0.667 1.186  0.577 1.126  0.487 1.065  0.399 1.002  0.311 0.940  0.222 0.878  0.134 0.816  0.045 0.753  -0.043 0.691  -0.132 0.629  -0.211 0.556  -0.289 0.481  -0.368 0.406  -0.446 0.331  -0.524 0.256  -0.602 0.182  -0.680 0.107  -0.754 0.029  -0.799 -0.070  -0.843 -0.168  -0.887 -0.267  -0.932 -0.366  -0.975 -0.464  -0.921 -0.558  -0.868 -0.652  -0.814 -0.746  -0.747 -0.820  -0.640 -0.839  -0.534 -0.858  -0.427 -0.876  -0.320 -0.895  -0.214 -0.913  -0.110 -0.890  -0.006 -0.859  0.097 -0.827  0.200 -0.795  0.304 -0.763  0.407 -0.731  0.509 -0.696  0.610 -0.657  0.711 -0.618  0.812 -0.580  0.913 -0.541  1.014 -0.502  1.115 -0.463
2#apb#apb40#app4083/i  0.694 0.134  0.589 0.168  0.493 0.107  0.411 0.020  0.330 -0.067  0.248 -0.154  0.174 -0.247  0.108 -0.347  0.042 -0.446  -0.024 -0.545  -0.090 -0.644  -0.156 -0.743  -0.221 -0.843  -0.285 -0.944  -0.348 -1.045  -0.412 -1.145  -0.471 -1.249  -0.519 -1.358  -0.539 -1.447  -0.485 -1.340  -0.449 -1.227  -0.416 -1.112  -0.383 -0.998  -0.350 -0.883  -0.316 -0.769  -0.283 -0.654  -0.250 -0.540  -0.216 -0.426  -0.183 -0.311  -0.150 -0.197  -0.117 -0.082  -0.083 0.032  -0.050 0.147  -0.017 0.261  0.017 0.376  0.050 0.490  0.083 0.604  0.116 0.719  0.150 0.833  0.183 0.948  0.216 1.062  0.249 1.177  0.283 1.291  0.316 1.406  0.349 1.520  0.383 1.634  0.416 1.749  0.373 1.787  0.289 1.706  0.252 1.593
2#apb#apb40#app4083/f  0.815 0.651  0.856 0.759  0.897 0.867  0.919 0.980  0.936 1.093  0.927 1.209  0.907 1.322  0.889 1.411  0.824 1.315  0.755 1.223  0.686 1.130  0.617 1.037  0.551 0.943  0.489 0.845  0.427 0.748  0.366 0.650  0.304 0.553  0.242 0.455  0.182 0.357  0.124 0.257  0.066 0.157  0.007 0.058  -0.051 -0.042  -0.109 -0.142  -0.158 -0.246  -0.207 -0.351  -0.256 -0.455  -0.305 -0.560  -0.352 -0.665  -0.398 -0.771  -0.444 -0.877  -0.502 -0.976  -0.565 -1.073  -0.631 -1.168  -0.727 -1.209  -0.809 -1.141  -0.864 -1.039  -0.869 -0.924  -0.875 -0.809  -0.851 -0.699  -0.805 -0.593  -0.737 -0.503  -0.649 -0.428  -0.548 -0.380  -0.435 -0.373  -0.323 -0.399  -0.224 -0.456  -0.130 -0.523  -0.031 -0.581  0.071 -0.636
2#apb#apb40#app4083/i  0.239 0.340  0.193 0.233  0.145 0.127  0.093 0.023  0.041 -0.081  -0.012 -0.185  -0.064 -0.289  -0.119 -0.392  -0.175 -0.494  -0.231 -0.596  -0.287 -0.698  -0.343 -0.800  -0.392 -0.906  -0.441 -1.012  -0.486 -1.119  -0.496 -1.235  -0.507 -1.351  -0.442 -1.440  -0.392 -1.398  -0.359 -1.287  -0.326 -1.175  -0.293 -1.063  -0.260 -0.951  -0.228 -0.839  -0.195 -0.728  -0.162 -0.616  -0.129 -0.504  -0.097 -0.392  -0.064 -0.281  -0.031 -0.169  0.002 -0.057  0.035 0.055  0.067 0.167  0.100 0.278  0.133 0.390  0.166 0.502  0.198 0.614  0.231 0.726  0.264 0.837  0.297 0.949  0.330 1.061  0.362 1.173  0.395 1.285  0.428 1.396  0.461 1.508  0.494 1.620  0.526 1.732  0.483 1.787  0.440 1.683  0.408 1.571
2#apb#apb40#app4083/c  1.089 1.119  1.030 1.178  0.956 1.187  0.874 1.166  0.792 1.146  0.710 1.125  0.633 1.093  0.557 1.056  0.482 1.018  0.406 0.980  0.331 0.943  0.255 0.905  0.180 0.867  0.112 0.819  0.052 0.759  -0.007 0.699  -0.067 0.640  -0.127 0.580  -0.186 0.520  -0.246 0.461  -0.306 0.401  -0.365 0.341  -0.415 0.275  -0.449 0.198  -0.483 0.121  -0.517 0.043  -0.552 -0.034  -0.586 -0.111  -0.616 -0.188  -0.596 -0.270  -0.577 -0.352  -0.557 -0.435  -0.538 -0.517  -0.518 -0.599  -0.499 -0.681  -0.474 -0.760  -0.416 -0.822  -0.359 -0.883  -0.301 -0.945  -0.243 -1.007  -0.186 -1.068  -0.128 -1.130  -0.057 -1.167  0.026 -1.185  0.108 -1.203  0.191 -1.221  0.273 -1.239  0.355 -1.257  0.438 -1.275  0.520 -1.293
2#apb#apb40#app4083/B  0.138 1.304  0.036 1.082  -0.028 0.841  -0.108 0.606  -0.201 0.374  -0.293 0.143  -0.413 -0.075  -0.534 -0.293  -0.655 -0.510  -0.775 -0.729  -0.906 -0.940  -0.912 -0.942  -0.808 -0.716  -0.695 -0.494  -0.578 -0.274  -0.466 -0.052  -0.357 0.172  -0.248 0.396  -0.143 0.622  -0.037 0.847  0.074 1.070  0.201 1.284  0.329 1.498  0.531 1.638  0.723 1.551  0.806 1.322  0.845 1.079  0.832 0.830  0.805 0.584  0.726 0.348  0.639 0.115  0.531 -0.109  0.395 -0.317  0.228 -0.498  0.018 -0.567  -0.088 -0.347  -0.108 -0.101  0.060 0.047  0.285 -0.033  0.454 -0.210  0.586 -0.420  0.657 -0.656  0.620 -0.889  0.397 -0.996  0.163 -1.083  -0.072 -1.163  -0.309 -1.242  -0.542 -1.328  -0.778 -1.396  -1.024 -1.375
2#apb#apb40#app4083/e  -0.391 -0.166  -0.254 -0.140  -0.136 -0.056  -0.018 0.028  0.105 0.104  0.230 0.178  0.354 0.253  0.467 0.343  0.573 0.441  0.667 0.546  0.694 0.689  0.721 0.831  0.697 0.973  0.667 1.115  0.538 1.157  0.396 1.185  0.259 1.155  0.123 1.104  -0.013 1.053  -0.146 0.998  -0.268 0.918  -0.389 0.839  -0.510 0.760  -0.632 0.680  -0.717 0.566  -0.794 0.443  -0.870 0.320  -0.947 0.197  -0.959 0.055  -0.959 -0.090  -0.959 -0.235  -0.923 -0.370  -0.851 -0.496  -0.779 -0.622  -0.701 -0.742  -0.576 -0.815  -0.451 -0.889  -0.327 -0.963  -0.191 -1.002  -0.047 -1.013  0.098 -1.024  0.243 -1.035  0.387 -1.026  0.531 -1.010  0.675 -0.995  0.819 -0.979  0.950 -0.920  1.077 -0.851  1.205 -0.782  1.332 -0.713
2#apb#apb40#app4083/l  0.618 1.594  0.601 1.526  0.581 1.458  0.561 1.391  0.541 1.324  0.520 1.257  0.500 1.189  0.480 1.122  0.460 1.055  0.433 0.990  0.404 0.926  0.375 0.862  0.346 0.798  0.317 0.734  0.289 0.670  0.260 0.605  0.231 0.541  0.202 0.477  0.173 0.413  0.144 0.349  0.114 0.286  0.085 0.222  0.055 0.158  0.026 0.094  -0.004 0.031  -0.033 -0.033  -0.063 -0.097  -0.092 -0.161  -0.122 -0.224  -0.151 -0.288  -0.177 -0.353  -0.204 -0.419  -0.230 -0.484  -0.256 -0.549  -0.283 -0.614  -0.309 -0.679  -0.336 -0.744  -0.362 -0.809  -0.388 -0.874  -0.408 -0.942  -0.428 -1.009  -0.448 -1.077  -0.468 -1.144  -0.487 -1.212  -0.506 -1.279  -0.518 -1.348  -0.531 -1.417  -0.536 -1.487  -0.506 -1.444  -0.471 -1.383
2#apb#apb40#app4083/l  0.479 1.618  0.473 1.549  0.467 1.480  0.461 1.410  0.455 1.341  0.449 1.272  0.443 1.202  0.436 1.133  0.429 1.064  0.408 0.998  0.387 0.931  0.366 0.865  0.345 0.799  0.324 0.733  0.303 0.666  0.282 0.600  0.260 0.534  0.239 0.468  0.218 0.401  0.195 0.336  0.168 0.272  0.141 0.207  0.114 0.143  0.087 0.079  0.060 0.015  0.034 -0.049  0.007 -0.113  -0.020 -0.177  -0.047 -0.241  -0.074 -0.306  -0.101 -0.370  -0.128 -0.434  -0.158 -0.496  -0.189 -0.559  -0.220 -0.621  -0.251 -0.683  -0.283 -0.745  -0.314 -0.808  -0.345 -0.870  -0.376 -0.932  -0.407 -0.994  -0.438 -1.056  -0.470 -1.118  -0.503 -1.180  -0.536 -1.241  -0.568 -1.302  -0.601 -1.363  -0.634 -1.425  -0.667 -1.486  -0.700 -1.547
