2#tos#f1#f1057065/#  -0.690 0.438  -0.958 0.203  -0.633 0.294  -0.285 0.442  0.036 0.637  0.316 0.808  0.620 0.814  0.306 0.550  -0.008 0.287  -0.322 0.023  -0.636 -0.241  -0.950 -0.504  -1.060 -0.873  -1.269 -1.220  -1.132 -1.362  -0.789 -1.169  -0.436 -0.998  -0.113 -0.756  0.250 -0.585  0.595 -0.386  0.958 -0.206  1.347 -0.098  1.464 0.008  1.149 0.270  0.834 0.533  0.519 0.795  0.204 1.057  -0.138 1.244  -0.462 1.191  -0.355 0.818  -0.355 0.408  -0.355 -0.002  -0.355 -0.412  -0.355 -0.822  -0.355 -1.232  -0.287 -1.626  -0.204 -1.256  -0.117 -0.856  -0.030 -0.455  0.058 -0.055  0.145 0.346  0.232 0.747  0.319 1.147  0.289 1.398  0.418 1.074  0.518 0.736  0.518 0.326  0.518 -0.084  0.518 -0.494  0.518 -0.904
2#tos#f1#f1057065/R  -0.229 1.275  -0.410 1.193  -0.519 1.037  -0.436 0.790  -0.395 0.532  -0.395 0.268  -0.395 0.005  -0.395 -0.259  -0.353 -0.516  -0.353 -0.779  -0.353 -1.043  -0.432 -1.283  -0.426 -1.197  -0.410 -0.933  -0.394 -0.670  -0.378 -0.407  -0.362 -0.144  -0.347 0.119  -0.331 0.382  -0.315 0.645  -0.524 0.696  -0.684 0.800  -0.505 0.949  -0.279 1.060  -0.057 1.184  0.196 1.234  0.459 1.234  0.686 1.145  0.874 0.971  0.928 0.720  0.834 0.488  0.613 0.372  0.422 0.204  0.208 0.059  -0.028 -0.053  -0.232 -0.214  -0.486 -0.254  -0.684 -0.189  -0.672 -0.130  -0.462 -0.278  -0.227 -0.381  0.001 -0.491  0.229 -0.585  0.428 -0.679  0.616 -0.792  0.797 -0.950  0.998 -1.116  1.222 -1.237  1.367 -1.412  1.590 -1.371
2#tos#f1#f1057065/T  -1.196 0.235  -1.241 0.119  -1.365 0.093  -1.321 0.093  -1.197 0.142  -1.071 0.192  -0.951 0.254  -0.835 0.323  -0.706 0.343  -0.577 0.376  -0.453 0.428  -0.332 0.486  -0.198 0.506  -0.064 0.526  0.068 0.552  0.197 0.593  0.326 0.628  0.456 0.651  0.579 0.700  0.714 0.704  0.844 0.737  0.974 0.771  1.109 0.771  1.010 0.738  0.881 0.700  0.751 0.662  0.621 0.624  0.492 0.586  0.362 0.549  0.251 0.488  0.141 0.445  0.018 0.406  0.050 0.278  0.054 0.144  0.056 0.010  0.089 -0.121  0.089 -0.256  0.089 -0.391  0.092 -0.526  0.118 -0.659  0.125 -0.793  0.125 -0.928  0.125 -1.063  0.125 -1.198  0.125 -1.333  0.125 -1.468  0.125 -1.603  0.118 -1.735  0.067 -1.835  0.018 -1.943
2#tos#f1#f1057065/U  -0.573 1.453  -0.610 1.370  -0.610 1.251  -0.610 1.133  -0.618 1.015  -0.647 0.899  -0.647 0.780  -0.647 0.661  -0.647 0.542  -0.647 0.423  -0.647 0.304  -0.647 0.185  -0.647 0.066  -0.647 -0.053  -0.647 -0.172  -0.647 -0.291  -0.647 -0.410  -0.637 -0.527  -0.610 -0.642  -0.538 -0.716  -0.500 -0.828  -0.454 -0.901  -0.389 -0.956  -0.289 -0.975  -0.279 -1.083  -0.162 -1.085  -0.043 -1.085  0.076 -1.085  0.175 -1.036  0.246 -0.941  0.336 -0.870  0.436 -0.805  0.499 -0.707  0.546 -0.598  0.603 -0.497  0.641 -0.394  0.655 -0.278  0.699 -0.167  0.714 -0.051  0.736 0.062  0.751 0.178  0.765 0.295  0.799 0.409  0.837 0.521  0.860 0.637  0.861 0.756  0.861 0.875  0.861 0.994  0.861 1.113  0.861 1.232
2#tos#f1#f1057065/W  -1.131 0.772  -1.274 0.818  -1.202 0.732  -1.173 0.547  -1.160 0.361  -1.131 0.178  -1.131 -0.010  -1.011 -0.138  -0.989 -0.315  -0.976 -0.500  -0.899 -0.672  -0.857 -0.832  -0.741 -0.933  -0.637 -0.977  -0.523 -0.848  -0.433 -0.683  -0.349 -0.515  -0.237 -0.364  -0.168 -0.192  -0.149 -0.006  -0.095 0.174  -0.024 0.348  0.010 0.528  0.010 0.716  0.034 0.879  0.117 0.845  0.148 0.670  0.152 0.483  0.152 0.295  0.152 0.107  0.152 -0.081  0.152 -0.269  0.240 -0.421  0.276 -0.598  0.347 -0.751  0.460 -0.878  0.561 -0.975  0.668 -0.837  0.722 -0.657  0.779 -0.480  0.870 -0.324  0.946 -0.153  0.972 0.032  1.014 0.213  1.115 0.365  1.162 0.533  1.222 0.707  1.233 0.890  1.293 1.053  1.329 1.164
2#tos#f1#f1057065/Y  -0.772 0.919  -0.904 0.877  -1.052 0.877  -0.923 0.791  -0.807 0.661  -0.688 0.537  -0.688 0.362  -0.596 0.244  -0.480 0.126  -0.412 -0.034  -0.310 -0.171  -0.171 -0.255  -0.143 -0.401  -0.058 -0.410  0.050 -0.274  0.158 -0.137  0.266 0.000  0.375 0.137  0.483 0.274  0.591 0.411  0.699 0.548  0.807 0.685  0.915 0.822  1.023 0.959  1.131 1.096  1.025 1.129  0.898 1.056  0.817 0.916  0.680 0.811  0.565 0.686  0.409 0.608  0.307 0.476  0.201 0.340  0.078 0.217  -0.023 0.074  -0.136 -0.057  -0.263 -0.168  -0.359 -0.300  -0.431 -0.423  -0.352 -0.543  -0.226 -0.591  -0.197 -0.761  -0.143 -0.916  -0.143 -1.090  -0.143 -1.265  -0.143 -1.439  -0.150 -1.612  -0.229 -1.767  -0.268 -1.926  -0.268 -2.100
2#tos#f1#f1057065/Z  -0.675 0.904  -0.773 0.841  -0.814 0.841  -0.673 0.841  -0.531 0.841  -0.397 0.870  -0.263 0.904  -0.146 0.975  -0.024 1.030  0.117 1.037  0.256 1.061  0.397 1.061  0.539 1.061  0.680 1.061  0.822 1.061  0.832 0.933  0.719 0.848  0.651 0.730  0.533 0.659  0.432 0.570  0.353 0.455  0.252 0.356  0.141 0.268  0.073 0.148  0.010 0.022  -0.074 -0.089  -0.191 -0.168  -0.298 -0.260  -0.390 -0.366  -0.481 -0.474  -0.581 -0.574  -0.681 -0.674  -0.784 -0.770  -0.900 -0.850  -0.919 -0.920  -0.778 -0.920  -0.636 -0.920  -0.495 -0.920  -0.353 -0.920  -0.212 -0.920  -0.070 -0.920  0.070 -0.928  0.208 -0.952  0.347 -0.967  0.486 -0.983  0.596 -1.015  0.737 -1.015  0.879 -1.015  0.989 -0.983  1.023 -0.857
2#tos#f1#f1057065/a  0.149 0.292  0.149 0.472  0.084 0.626  -0.023 0.730  -0.198 0.763  -0.255 0.887  -0.425 0.897  -0.605 0.897  -0.659 0.770  -0.796 0.660  -0.937 0.552  -1.039 0.405  -1.063 0.230  -1.186 0.101  -1.334 -0.002  -1.399 -0.148  -1.399 -0.329  -1.342 -0.496  -1.220 -0.628  -1.049 -0.651  -0.868 -0.651  -0.688 -0.651  -0.516 -0.613  -0.342 -0.583  -0.229 -0.516  -0.053 -0.512  -0.008 -0.359  0.154 -0.278  0.216 -0.136  0.216 0.045  0.345 0.133  0.418 0.260  0.485 0.425  0.486 0.606  0.509 0.763  0.553 0.626  0.553 0.445  0.553 0.265  0.553 0.084  0.553 -0.097  0.583 -0.247  0.730 -0.310  0.837 -0.449  0.957 -0.509  0.996 -0.651  1.177 -0.651  1.357 -0.651  1.538 -0.651  1.718 -0.651  1.764 -0.516
2#tos#f1#f1057065/c  0.743 0.131  0.631 0.131  0.631 0.130  0.670 0.226  0.687 0.331  0.687 0.443  0.701 0.551  0.743 0.653  0.743 0.765  0.743 0.876  0.743 0.988  0.724 1.082  0.612 1.082  0.501 1.082  0.389 1.082  0.277 1.082  0.167 1.074  0.070 1.021  0.035 0.915  -0.033 0.842  -0.139 0.806  -0.234 0.748  -0.325 0.683  -0.387 0.590  -0.441 0.494  -0.477 0.388  -0.522 0.286  -0.567 0.184  -0.609 0.080  -0.650 -0.024  -0.656 -0.134  -0.656 -0.246  -0.656 -0.358  -0.656 -0.470  -0.656 -0.581  -0.656 -0.693  -0.656 -0.805  -0.613 -0.906  -0.600 -1.015  -0.541 -1.103  -0.462 -1.182  -0.363 -1.215  -0.255 -1.242  -0.146 -1.268  -0.034 -1.268  0.077 -1.268  0.189 -1.268  0.300 -1.256  0.409 -1.234  0.519 -1.212
2#tos#f1#f1057065/d  0.269 -0.061  0.110 0.009  0.003 0.133  -0.086 0.294  -0.167 0.493  -0.345 0.577  -0.575 0.577  -0.688 0.460  -0.741 0.253  -0.767 0.025  -0.794 -0.202  -0.794 -0.432  -0.794 -0.662  -0.741 -0.879  -0.580 -1.020  -0.422 -1.123  -0.301 -1.231  -0.156 -1.146  -0.156 -0.916  -0.072 -0.721  0.003 -0.522  0.003 -0.292  0.003 -0.062  0.003 0.167  0.003 0.397  0.003 0.627  0.003 0.857  0.003 1.087  0.003 1.317  0.040 1.536  0.110 1.744  0.216 1.808  0.216 1.578  0.216 1.348  0.173 1.128  0.163 0.901  0.163 0.671  0.170 0.442  0.216 0.218  0.216 -0.012  0.216 -0.242  0.216 -0.472  0.216 -0.702  0.286 -0.911  0.363 -1.113  0.535 -1.250  0.730 -1.284  0.960 -1.284  1.119 -1.143  1.227 -0.965
2#tos#f1#f1057065/f  0.505 1.774  0.364 1.786  0.293 1.867  0.188 1.914  0.062 1.871  0.002 1.739  -0.057 1.603  -0.057 1.450  -0.057 1.297  -0.036 1.148  -0.010 1.000  -0.010 0.847  -0.010 0.695  0.023 0.548  0.036 0.397  0.036 0.245  0.036 0.092  0.036 -0.060  0.036 -0.213  0.036 -0.365  0.036 -0.518  0.036 -0.670  0.036 -0.823  0.036 -0.976  0.006 -0.950  -0.044 -0.806  -0.095 -0.662  -0.145 -0.518  -0.195 -0.374  -0.246 -0.230  -0.306 -0.100  -0.406 -0.100  -0.253 -0.100  -0.101 -0.100  0.052 -0.100  0.163 -0.124  0.087 -0.256  0.012 -0.389  -0.064 -0.521  -0.140 -0.654  -0.215 -0.786  -0.291 -0.918  -0.367 -1.051  -0.317 -1.130  -0.164 -1.130  -0.012 -1.130  0.141 -1.130  0.293 -1.130  0.446 -1.130  0.598 -1.130
2#tos#f1#f1057065/g  0.514 0.445  0.414 0.628  0.389 0.890  0.262 1.072  0.096 1.231  -0.176 1.231  -0.355 1.056  -0.438 0.803  -0.438 0.531  -0.438 0.259  -0.393 0.031  -0.128 -0.010  0.062 0.073  0.202 0.216  0.348 0.411  0.224 0.308  0.121 0.114  -0.051 -0.036  -0.258 -0.132  -0.445 -0.265  -0.645 -0.406  -0.721 -0.506  -0.603 -0.578  -0.645 -0.841  -0.645 -1.113  -0.645 -1.385  -0.492 -1.537  -0.234 -1.563  0.023 -1.499  0.202 -1.340  0.334 -1.141  0.431 -0.901  0.307 -0.697  0.125 -0.573  -0.136 -0.547  -0.321 -0.663  -0.559 -0.752  -0.584 -0.754  -0.424 -0.534  -0.263 -0.314  -0.103 -0.095  0.058 0.125  0.218 0.345  0.379 0.565  0.539 0.784  0.700 1.004  0.860 1.224  1.021 1.444  1.181 1.664  1.134 1.728
2#tos#f1#f1057065/h  0.064 2.184  0.007 2.074  0.007 1.908  0.007 1.741  0.007 1.575  -0.015 1.411  -0.056 1.249  -0.096 1.087  -0.107 0.922  -0.107 0.755  -0.107 0.589  -0.137 0.432  -0.237 0.299  -0.279 0.146  -0.279 -0.021  -0.279 -0.187  -0.279 -0.354  -0.279 -0.521  -0.286 -0.686  -0.336 -0.841  -0.336 -1.007  -0.336 -1.174  -0.336 -1.341  -0.336 -1.316  -0.393 -1.207  -0.393 -1.040  -0.393 -0.874  -0.350 -0.714  -0.269 -0.570  -0.221 -0.417  -0.221 -0.251  -0.199 -0.088  -0.146 0.070  -0.088 0.226  -0.050 0.384  0.074 0.434  0.182 0.529  0.339 0.498  0.475 0.403  0.521 0.255  0.521 0.088  0.521 -0.079  0.521 -0.245  0.521 -0.412  0.521 -0.579  0.521 -0.745  0.521 -0.912  0.521 -1.078  0.521 -1.245  0.578 -1.355
2#tos#f1#f1057065/l  0.180 1.544  0.113 1.522  0.047 1.499  -0.022 1.486  -0.053 1.446  -0.053 1.376  -0.053 1.306  -0.053 1.235  -0.053 1.165  -0.053 1.094  -0.053 1.024  -0.053 0.954  -0.048 0.884  -0.030 0.816  -0.013 0.747  0.004 0.679  0.006 0.609  0.006 0.539  0.006 0.468  0.006 0.398  0.006 0.327  0.006 0.257  0.006 0.187  0.006 0.116  0.006 0.046  0.006 -0.024  0.006 -0.095  0.006 -0.165  0.006 -0.236  0.006 -0.306  0.006 -0.376  0.006 -0.447  0.006 -0.517  0.006 -0.587  0.006 -0.658  0.006 -0.728  0.006 -0.799  0.006 -0.869  0.006 -0.939  0.006 -1.010  0.006 -1.080  0.006 -1.150  0.006 -1.221  0.006 -1.291  0.006 -1.362  0.006 -1.432  0.006 -1.502  0.006 -1.573  0.006 -1.643  0.006 -1.713
2#tos#f1#f1057065/m  -0.659 0.731  -0.874 0.731  -0.883 0.674  -0.883 0.459  -0.883 0.243  -0.883 0.028  -0.883 -0.187  -0.982 -0.365  -1.032 -0.569  -1.041 -0.782  -1.175 -0.913  -1.181 -0.853  -1.107 -0.669  -1.046 -0.479  -0.957 -0.301  -0.871 -0.112  -0.763 0.074  -0.659 0.251  -0.549 0.357  -0.423 0.455  -0.290 0.604  -0.098 0.693  0.070 0.805  0.088 0.608  0.088 0.393  0.088 0.178  0.088 -0.037  0.027 -0.227  -0.061 -0.419  -0.061 -0.634  -0.051 -0.684  0.088 -0.555  0.213 -0.465  0.238 -0.274  0.372 -0.152  0.509 0.007  0.643 0.154  0.686 0.362  0.832 0.432  1.047 0.432  1.060 0.634  1.251 0.642  1.433 0.558  1.433 0.343  1.433 0.128  1.433 -0.088  1.433 -0.303  1.319 -0.447  1.209 -0.623  1.209 -0.838
2#tos#f1#f1057065/o  -0.220 1.331  -0.222 1.189  -0.291 1.114  -0.294 0.971  -0.374 0.852  -0.434 0.726  -0.482 0.594  -0.505 0.455  -0.505 0.311  -0.505 0.167  -0.505 0.024  -0.505 -0.120  -0.505 -0.264  -0.505 -0.408  -0.505 -0.551  -0.505 -0.695  -0.505 -0.839  -0.505 -0.983  -0.505 -1.127  -0.468 -1.265  -0.399 -1.369  -0.256 -1.369  -0.112 -1.369  0.032 -1.369  0.164 -1.340  0.265 -1.238  0.277 -1.099  0.349 -0.977  0.419 -0.854  0.434 -0.719  0.554 -0.639  0.632 -0.537  0.632 -0.393  0.632 -0.249  0.632 -0.106  0.632 0.038  0.632 0.182  0.632 0.326  0.588 0.451  0.561 0.584  0.526 0.700  0.386 0.735  0.277 0.793  0.277 0.937  0.277 1.081  0.170 1.118  0.074 1.208  -0.005 1.328  -0.148 1.331  -0.291 1.331
2#tos#f1#f1057065/s  1.267 0.872  1.127 0.837  0.985 0.815  0.897 0.872  0.810 0.963  0.746 1.043  0.618 1.074  0.537 1.195  0.403 1.214  0.268 1.257  0.127 1.272  -0.018 1.272  -0.129 1.190  -0.161 1.059  -0.161 0.914  -0.161 0.770  -0.081 0.654  0.015 0.576  0.067 0.443  0.171 0.363  0.263 0.285  0.314 0.150  0.353 0.015  0.353 -0.130  0.353 -0.275  0.353 -0.419  0.353 -0.564  0.310 -0.699  0.239 -0.816  0.235 -0.959  0.109 -1.029  -0.009 -1.109  -0.149 -1.128  -0.294 -1.128  -0.333 -1.022  -0.447 -0.992  -0.447 -0.847  -0.447 -0.702  -0.475 -0.561  -0.504 -0.420  -0.504 -0.275  -0.561 -0.240  -0.561 -0.385  -0.591 -0.507  -0.731 -0.542  -0.790 -0.641  -0.838 -0.760  -0.958 -0.840  -0.961 -0.983  -0.961 -1.128
2#tos#f1#f1057065/t  -0.299 0.902  -0.405 0.795  -0.459 0.656  -0.564 0.563  -0.699 0.496  -0.572 0.490  -0.422 0.490  -0.271 0.490  -0.120 0.490  0.031 0.490  0.181 0.490  0.332 0.490  0.480 0.499  0.605 0.583  0.748 0.608  0.899 0.608  0.955 0.643  0.841 0.743  0.728 0.842  0.614 0.941  0.493 1.019  0.342 1.019  0.192 1.019  0.054 1.006  -0.004 0.914  -0.102 0.804  -0.122 0.662  -0.149 0.522  -0.206 0.388  -0.240 0.241  -0.261 0.095  -0.328 -0.040  -0.357 -0.183  -0.357 -0.334  -0.357 -0.485  -0.397 -0.629  -0.416 -0.777  -0.416 -0.927  -0.416 -1.078  -0.416 -1.229  -0.416 -1.379  -0.402 -1.524  -0.270 -1.569  -0.119 -1.569  0.032 -1.569  0.176 -1.528  0.296 -1.444  0.403 -1.338  0.517 -1.241  0.643 -1.157
2#tos#f1#f1057065/u  -0.786 1.052  -0.844 0.927  -0.920 0.849  -0.920 0.701  -0.920 0.552  -0.953 0.417  -1.032 0.293  -1.054 0.150  -1.054 0.001  -1.054 -0.148  -1.054 -0.296  -1.054 -0.445  -1.054 -0.593  -1.054 -0.742  -0.990 -0.851  -0.916 -0.953  -0.767 -0.953  -0.619 -0.953  -0.470 -0.953  -0.343 -0.880  -0.213 -0.819  -0.065 -0.819  0.009 -0.698  0.090 -0.574  0.173 -0.450  0.255 -0.326  0.376 -0.253  0.483 -0.182  0.483 -0.033  0.543 0.101  0.643 0.210  0.684 0.341  0.684 0.490  0.701 0.636  0.748 0.777  0.751 0.925  0.751 1.074  0.751 1.016  0.751 0.867  0.751 0.718  0.751 0.570  0.751 0.421  0.751 0.272  0.751 0.124  0.751 -0.025  0.751 -0.174  0.797 -0.311  0.921 -0.351  1.070 -0.351  1.218 -0.351
2#tos#f1#f1057065/w  -0.984 0.639  -1.069 0.577  -1.108 0.469  -1.108 0.323  -1.108 0.176  -1.108 0.029  -1.108 -0.117  -1.108 -0.264  -1.108 -0.411  -1.108 -0.557  -1.108 -0.704  -0.991 -0.699  -0.883 -0.606  -0.802 -0.484  -0.674 -0.415  -0.627 -0.276  -0.568 -0.142  -0.475 -0.031  -0.371 0.073  -0.280 0.185  -0.208 0.313  -0.127 0.435  -0.114 0.577  -0.054 0.490  -0.054 0.343  -0.054 0.197  -0.054 0.050  -0.054 -0.097  -0.054 -0.243  -0.054 -0.390  -0.054 -0.537  0.027 -0.602  0.174 -0.602  0.300 -0.533  0.381 -0.429  0.514 -0.416  0.590 -0.332  0.694 -0.228  0.811 -0.140  0.928 -0.052  0.981 0.082  1.079 0.157  1.192 0.249  1.312 0.332  1.390 0.430  1.532 0.453  1.622 0.509  1.622 0.656  1.684 0.740  1.746 0.825
2#tos#f1#f1057065/x  -0.835 1.057  -0.991 1.019  -0.991 0.825  -0.910 0.667  -0.769 0.567  -0.648 0.424  -0.459 0.377  -0.366 0.256  -0.333 0.065  -0.284 -0.122  -0.210 -0.299  -0.210 -0.493  -0.081 -0.634  0.033 -0.791  0.103 -0.964  0.259 -1.002  0.259 -1.196  0.332 -1.360  0.441 -1.259  0.487 -1.070  0.533 -0.881  0.578 -0.692  0.624 -0.504  0.670 -0.315  0.716 -0.126  0.761 0.063  0.807 0.251  0.853 0.440  0.899 0.629  0.944 0.818  0.990 1.007  1.036 1.195  0.943 1.135  0.749 1.135  0.605 1.013  0.468 0.875  0.332 0.737  0.215 0.582  0.097 0.428  -0.065 0.320  -0.223 0.208  -0.378 0.091  -0.506 -0.052  -0.618 -0.210  -0.755 -0.347  -0.817 -0.531  -0.959 -0.646  -0.991 -0.820  -1.110 -0.896  -1.226 -0.974
