2#tos#f1#f1007061/#  -0.498 0.837  -0.896 0.746  -1.066 0.666  -0.651 0.666  -0.236 0.666  0.179 0.666  0.594 0.666  1.008 0.666  0.923 0.670  0.539 0.513  0.155 0.356  -0.229 0.199  -0.613 0.042  -0.834 -0.232  -1.194 -0.438  -1.117 -0.528  -0.702 -0.528  -0.288 -0.528  0.108 -0.465  0.491 -0.357  0.906 -0.357  1.294 -0.220  1.702 -0.187  1.687 -0.085  1.316 0.100  0.945 0.286  0.574 0.471  0.203 0.657  -0.170 0.837  -0.583 0.836  -0.583 0.421  -0.603 0.009  -0.669 -0.395  -0.757 -0.789  -0.839 -1.185  -0.752 -1.180  -0.588 -0.800  -0.423 -0.419  -0.258 -0.038  -0.093 0.342  0.072 0.723  0.237 1.104  0.184 0.880  0.270 0.478  0.270 0.064  0.270 -0.351  0.270 -0.766  0.249 -1.177  0.099 -1.563  0.099 -1.978
2#tos#f1#f1007061/U  -0.575 1.153  -0.686 1.153  -0.766 1.121  -0.786 1.018  -0.804 0.915  -0.804 0.803  -0.822 0.697  -0.842 0.590  -0.880 0.495  -0.882 0.384  -0.917 0.279  -0.918 0.168  -0.918 0.057  -0.918 -0.055  -0.918 -0.166  -0.892 -0.271  -0.843 -0.370  -0.804 -0.443  -0.735 -0.509  -0.650 -0.564  -0.554 -0.600  -0.459 -0.638  -0.348 -0.638  -0.268 -0.715  -0.173 -0.753  -0.062 -0.753  0.049 -0.753  0.161 -0.753  0.272 -0.753  0.381 -0.739  0.488 -0.715  0.599 -0.715  0.691 -0.689  0.736 -0.590  0.828 -0.529  0.908 -0.451  0.986 -0.373  1.026 -0.271  1.026 -0.160  1.026 -0.049  1.026 0.062  1.026 0.173  1.026 0.284  1.012 0.393  0.964 0.491  0.895 0.576  0.817 0.647  0.769 0.742  0.759 0.851  0.759 0.962
2#tos#f1#f1007061/W  -0.719 0.208  -0.879 0.180  -0.879 -0.087  -0.878 -0.354  -0.769 -0.594  -0.759 -0.861  -0.663 -1.089  -0.599 -1.159  -0.459 -0.943  -0.372 -0.730  -0.254 -0.527  -0.148 -0.290  -0.039 -0.048  -0.039 0.219  0.121 0.169  0.192 -0.084  0.296 -0.303  0.361 -0.538  0.518 -0.747  0.680 -0.911  0.841 -0.993  0.940 -0.778  0.996 -0.535  1.041 -0.296  1.041 -0.028  1.019 0.230  0.856 0.374  0.589 0.400  0.323 0.425  0.057 0.451  -0.210 0.477  -0.476 0.502  -0.742 0.528  -1.009 0.553  -1.256 0.503  -1.496 0.406  -1.526 0.368  -1.265 0.408  -0.999 0.424  -0.737 0.476  -0.470 0.488  -0.203 0.488  0.065 0.488  0.333 0.488  0.600 0.488  0.868 0.488  1.135 0.488  1.395 0.437  1.655 0.379  1.922 0.368
2#tos#f1#f1007061/Y  -0.975 0.892  -1.123 0.892  -1.105 0.812  -1.036 0.692  -0.905 0.631  -0.817 0.548  -0.712 0.457  -0.590 0.377  -0.482 0.276  -0.349 0.210  -0.259 0.120  -0.123 0.178  0.013 0.236  0.150 0.295  0.286 0.353  0.422 0.412  0.559 0.470  0.695 0.529  0.831 0.587  0.968 0.645  1.104 0.704  1.237 0.760  1.107 0.717  0.974 0.651  0.830 0.631  0.703 0.568  0.580 0.493  0.448 0.451  0.324 0.371  0.182 0.356  0.057 0.279  -0.076 0.213  -0.219 0.189  -0.362 0.154  -0.367 0.011  -0.302 -0.085  -0.247 -0.216  -0.193 -0.344  -0.193 -0.493  -0.168 -0.635  -0.146 -0.779  -0.117 -0.924  -0.107 -1.071  -0.107 -1.220  -0.078 -1.363  -0.063 -1.509  -0.063 -1.658  -0.063 -1.806  -0.063 -1.954  -0.063 -2.103
2#tos#f1#f1007061/a  0.817 -0.061  0.637 -0.133  0.504 -0.238  0.531 -0.196  0.666 -0.087  0.755 0.071  0.755 0.266  0.729 0.456  0.667 0.641  0.576 0.808  0.482 0.964  0.389 1.120  0.224 1.193  0.029 1.193  -0.166 1.193  -0.342 1.114  -0.521 1.039  -0.643 0.928  -0.799 0.811  -0.970 0.722  -1.086 0.597  -1.141 0.411  -1.228 0.236  -1.251 0.047  -1.251 -0.148  -1.241 -0.341  -1.188 -0.528  -1.188 -0.722  -1.021 -0.750  -0.826 -0.750  -0.631 -0.750  -0.436 -0.750  -0.243 -0.746  -0.123 -0.594  -0.002 -0.442  0.148 -0.319  0.284 -0.188  0.316 -0.001  0.504 0.006  0.567 0.139  0.504 0.109  0.504 -0.086  0.441 -0.255  0.441 -0.450  0.478 -0.636  0.594 -0.791  0.692 -0.956  0.842 -1.001  1.031 -1.018  1.194 -1.126
2#tos#f1#f1007061/b  -0.257 1.992  -0.125 1.913  -0.100 1.729  -0.100 1.534  -0.135 1.343  -0.152 1.150  -0.152 0.955  -0.164 0.763  -0.251 0.588  -0.257 0.395  -0.257 0.200  -0.279 0.010  -0.362 -0.165  -0.362 -0.360  -0.362 -0.555  -0.400 -0.738  -0.466 -0.913  -0.466 -1.108  -0.508 -1.131  -0.571 -0.975  -0.571 -0.780  -0.571 -0.585  -0.571 -0.390  -0.542 -0.202  -0.519 -0.013  -0.519 0.182  -0.519 0.377  -0.435 0.546  -0.309 0.630  -0.114 0.630  0.081 0.630  0.256 0.567  0.426 0.472  0.615 0.425  0.747 0.290  0.847 0.147  1.038 0.109  1.088 -0.070  1.105 -0.263  1.105 -0.458  1.035 -0.593  0.935 -0.758  0.789 -0.837  0.595 -0.837  0.426 -0.931  0.248 -0.994  0.053 -0.994  -0.141 -0.994  -0.336 -0.994  -0.519 -0.942
2#tos#f1#f1007061/d  0.573 2.031  0.479 1.967  0.479 1.809  0.479 1.651  0.479 1.493  0.479 1.335  0.476 1.178  0.418 1.031  0.385 0.879  0.385 0.721  0.385 0.563  0.385 0.405  0.385 0.247  0.385 0.089  0.385 -0.069  0.385 -0.227  0.385 -0.385  0.425 -0.536  0.432 -0.693  0.432 -0.851  0.479 -0.990  0.479 -1.097  0.479 -0.939  0.479 -0.781  0.479 -0.623  0.438 -0.474  0.389 -0.341  0.263 -0.247  0.202 -0.103  0.103 -0.041  0.039 0.054  -0.118 0.060  -0.274 0.086  -0.431 0.101  -0.589 0.101  -0.747 0.101  -0.905 0.101  -0.980 0.019  -1.027 -0.092  -1.058 -0.243  -1.074 -0.397  -1.074 -0.555  -0.965 -0.605  -0.893 -0.724  -0.771 -0.814  -0.624 -0.840  -0.466 -0.840  -0.308 -0.840  -0.150 -0.840  0.008 -0.840
2#tos#f1#f1007061/e  -0.258 0.273  -0.424 0.242  -0.522 0.161  -0.420 0.034  -0.259 -0.011  -0.088 -0.011  0.077 -0.037  0.237 -0.082  0.408 -0.082  0.579 -0.082  0.750 -0.082  0.921 -0.082  1.092 -0.082  1.234 -0.012  1.344 0.117  1.439 0.260  1.448 0.428  1.407 0.558  1.236 0.558  1.075 0.602  0.922 0.678  0.756 0.700  0.585 0.700  0.414 0.700  0.243 0.700  0.072 0.700  -0.098 0.689  -0.265 0.656  -0.431 0.616  -0.590 0.553  -0.749 0.489  -0.919 0.486  -1.040 0.436  -1.048 0.273  -1.182 0.237  -1.182 0.066  -1.182 -0.105  -1.159 -0.271  -1.066 -0.412  -0.945 -0.533  -0.865 -0.679  -0.776 -0.793  -0.605 -0.793  -0.466 -0.870  -0.345 -0.991  -0.191 -1.062  -0.033 -1.125  0.128 -1.183  0.291 -1.237  0.453 -1.291
2#tos#f1#f1007061/g  0.066 0.690  0.115 0.552  0.302 0.552  0.488 0.557  0.649 0.651  0.707 0.807  0.707 0.993  0.541 1.025  0.373 1.102  0.188 1.120  0.009 1.171  -0.129 1.240  -0.316 1.240  -0.503 1.240  -0.622 1.172  -0.622 0.985  -0.469 0.899  -0.309 0.809  -0.139 0.757  0.020 0.717  0.122 0.593  0.285 0.517  0.320 0.339  0.359 0.157  0.387 -0.026  0.387 -0.213  0.387 -0.400  0.387 -0.587  0.387 -0.773  0.343 -0.953  0.341 -1.140  0.203 -1.253  0.102 -1.377  -0.065 -1.461  -0.251 -1.464  -0.438 -1.464  -0.625 -1.464  -0.770 -1.362  -0.805 -1.190  -0.805 -1.003  -0.685 -0.880  -0.655 -0.706  -0.559 -0.545  -0.418 -0.427  -0.241 -0.372  -0.097 -0.260  0.063 -0.164  0.242 -0.135  0.429 -0.135  0.616 -0.135
2#tos#f1#f1007061/i  -0.123 0.247  -0.132 0.229  -0.183 0.127  -0.244 0.031  -0.326 -0.050  -0.397 -0.140  -0.461 -0.236  -0.524 -0.331  -0.550 -0.438  -0.578 -0.549  -0.597 -0.661  -0.597 -0.776  -0.597 -0.890  -0.583 -1.000  -0.502 -1.081  -0.421 -1.162  -0.311 -1.175  -0.196 -1.175  -0.081 -1.175  0.034 -1.175  0.148 -1.175  0.257 -1.168  0.257 -1.054  0.257 -0.939  0.257 -0.824  0.257 -0.709  0.257 -0.594  0.257 -0.479  0.257 -0.364  0.257 -0.249  0.257 -0.134  0.257 -0.019  0.257 0.096  0.257 0.211  0.257 0.326  0.257 0.440  0.257 0.555  0.257 0.670  0.257 0.785  0.257 0.900  0.257 1.015  0.257 1.130  0.257 1.245  0.257 1.360  0.257 1.475  0.257 1.590  0.257 1.705  0.257 1.820  0.182 1.860  0.114 1.907
2#tos#f1#f1007061/k  -0.090 1.784  -0.039 1.930  -0.118 1.742  -0.191 1.555  -0.249 1.370  -0.394 1.222  -0.394 1.013  -0.438 0.812  -0.495 0.615  -0.501 0.408  -0.631 0.245  -0.698 0.059  -0.698 -0.149  -0.698 -0.358  -0.698 -0.567  -0.698 -0.776  -0.698 -0.985  -0.698 -1.193  -0.504 -1.208  -0.301 -1.160  -0.190 -0.986  -0.082 -0.807  0.032 -0.634  0.195 -0.504  0.358 -0.373  0.521 -0.243  0.688 -0.118  0.773 0.066  0.773 0.275  0.665 0.415  0.456 0.415  0.247 0.415  0.039 0.415  -0.170 0.415  -0.379 0.415  -0.445 0.271  -0.586 0.165  -0.597 -0.037  -0.495 -0.183  -0.301 -0.233  -0.109 -0.311  0.079 -0.400  0.283 -0.441  0.492 -0.448  0.670 -0.548  0.878 -0.549  1.082 -0.588  1.263 -0.690  1.457 -0.727  1.635 -0.803
2#tos#f1#f1007061/l  0.207 1.206  0.207 1.281  0.159 1.308  0.105 1.329  0.105 1.404  0.175 1.409  0.207 1.366  0.207 1.291  0.207 1.216  0.207 1.141  0.207 1.067  0.207 0.992  0.207 0.917  0.207 0.842  0.207 0.767  0.207 0.693  0.207 0.618  0.168 0.559  0.115 0.506  0.062 0.454  0.055 0.382  0.055 0.307  0.055 0.232  0.055 0.158  0.043 0.084  0.028 0.011  0.014 -0.063  -0.003 -0.136  -0.023 -0.207  -0.044 -0.279  -0.065 -0.351  -0.085 -0.423  -0.097 -0.496  -0.097 -0.571  -0.097 -0.646  -0.110 -0.719  -0.128 -0.791  -0.146 -0.864  -0.159 -0.938  -0.171 -1.011  -0.184 -1.085  -0.196 -1.159  -0.225 -1.227  -0.258 -1.294  -0.291 -1.361  -0.300 -1.434  -0.300 -1.509  -0.300 -1.583  -0.300 -1.658  -0.300 -1.733
2#tos#f1#f1007061/m  -0.695 1.066  -0.844 1.025  -0.844 0.834  -0.844 0.644  -0.844 0.453  -0.903 0.277  -1.005 0.116  -1.068 -0.056  -1.068 -0.246  -1.095 -0.432  -1.171 -0.603  -1.217 -0.775  -1.068 -0.725  -0.934 -0.590  -0.844 -0.423  -0.797 -0.238  -0.768 -0.052  -0.634 0.083  -0.546 0.237  -0.437 0.388  -0.326 0.540  -0.223 0.668  -0.038 0.693  0.126 0.666  0.126 0.476  0.110 0.289  0.051 0.113  0.051 -0.078  0.051 -0.268  0.051 -0.459  0.051 -0.649  0.051 -0.840  0.162 -0.762  0.275 -0.619  0.347 -0.501  0.508 -0.463  0.554 -0.278  0.623 -0.102  0.777 -0.010  0.900 0.108  0.987 0.266  1.095 0.389  1.188 0.544  1.332 0.444  1.394 0.268  1.394 0.077  1.421 -0.107  1.506 -0.277  1.543 -0.459  1.543 -0.650
2#tos#f1#f1007061/o  0.233 1.503  0.233 1.342  0.219 1.195  0.136 1.118  0.006 1.045  -0.122 0.964  -0.210 0.848  -0.242 0.694  -0.293 0.542  -0.390 0.418  -0.504 0.305  -0.537 0.158  -0.537 -0.003  -0.643 -0.107  -0.768 -0.201  -0.768 -0.361  -0.768 -0.522  -0.768 -0.682  -0.768 -0.843  -0.729 -0.979  -0.591 -1.059  -0.510 -1.193  -0.459 -1.344  -0.298 -1.344  -0.138 -1.344  0.018 -1.313  0.171 -1.268  0.332 -1.268  0.420 -1.167  0.464 -1.014  0.464 -0.853  0.464 -0.693  0.563 -0.586  0.695 -0.495  0.746 -0.343  0.771 -0.187  0.771 -0.026  0.771 0.135  0.755 0.288  0.661 0.416  0.582 0.555  0.493 0.689  0.387 0.764  0.350 0.887  0.189 0.887  0.029 0.887  -0.055 0.964  -0.216 0.964  -0.306 0.894  -0.306 0.733
2#tos#f1#f1007061/p  0.373 1.389  0.199 1.367  0.199 1.171  0.199 0.975  0.199 0.780  0.162 0.589  0.122 0.397  0.058 0.212  0.008 0.025  -0.018 -0.169  -0.018 -0.365  -0.051 -0.557  -0.135 -0.731  -0.192 -0.912  -0.204 -1.104  -0.290 -1.276  -0.333 -1.466  -0.432 -1.629  -0.478 -1.806  -0.539 -1.670  -0.539 -1.475  -0.535 -1.279  -0.531 -1.083  -0.527 -0.888  -0.522 -0.692  -0.518 -0.496  -0.514 -0.300  -0.510 -0.105  -0.506 0.091  -0.502 0.287  -0.498 0.482  -0.495 0.678  -0.495 0.874  -0.373 0.998  -0.178 0.998  0.018 0.998  0.208 0.972  0.395 0.917  0.571 0.834  0.758 0.783  0.936 0.706  1.090 0.585  1.111 0.398  0.971 0.315  0.836 0.194  0.655 0.119  0.467 0.087  0.325 -0.045  0.134 -0.087  -0.061 -0.087
2#tos#f1#f1007061/q  0.066 1.041  0.111 0.911  0.242 0.954  0.358 1.063  0.493 1.166  0.612 1.271  0.626 1.441  0.482 1.472  0.308 1.472  0.221 1.379  0.060 1.314  -0.032 1.177  -0.127 1.042  -0.193 0.903  -0.193 0.729  -0.193 0.554  -0.116 0.404  0.054 0.394  0.228 0.394  0.402 0.394  0.497 0.290  0.348 0.265  0.290 0.119  0.238 -0.036  0.071 -0.079  -0.007 -0.224  -0.125 -0.345  -0.149 -0.511  -0.255 -0.633  -0.386 -0.747  -0.474 -0.886  -0.579 -1.026  -0.580 -1.199  -0.580 -1.373  -0.580 -1.548  -0.447 -1.588  -0.316 -1.545  -0.157 -1.509  -0.050 -1.376  0.060 -1.286  0.109 -1.128  0.109 -0.954  0.109 -0.780  0.109 -0.606  0.109 -0.432  0.109 -0.258  -0.030 -0.157  -0.125 -0.024  -0.277 0.049  -0.451 0.049
2#tos#f1#f1007061/s  0.877 0.728  0.877 0.562  0.926 0.445  1.016 0.516  0.948 0.613  0.897 0.728  0.732 0.730  0.594 0.810  0.506 0.928  0.365 1.011  0.200 1.011  0.170 1.147  0.026 1.223  -0.136 1.235  -0.288 1.293  -0.395 1.235  -0.387 1.073  -0.322 0.933  -0.270 0.776  -0.190 0.633  -0.095 0.498  0.009 0.370  0.100 0.232  0.152 0.075  0.193 -0.080  0.293 -0.213  0.394 -0.344  0.453 -0.485  0.453 -0.651  0.453 -0.816  0.453 -0.982  0.345 -1.039  0.312 -1.171  0.172 -1.250  0.006 -1.251  -0.159 -1.251  -0.283 -1.151  -0.357 -1.023  -0.466 -0.924  -0.466 -0.758  -0.621 -0.705  -0.678 -0.580  -0.704 -0.421  -0.815 -0.332  -0.839 -0.191  -0.890 -0.306  -0.890 -0.472  -0.890 -0.637  -0.890 -0.803  -0.890 -0.968
2#tos#f1#f1007061/u  -0.353 1.135  -0.363 1.135  -0.498 1.116  -0.564 0.985  -0.628 0.853  -0.675 0.714  -0.756 0.596  -0.860 0.492  -0.963 0.388  -0.966 0.242  -0.966 0.096  -1.019 -0.035  -1.101 -0.157  -1.103 -0.304  -1.103 -0.451  -1.103 -0.597  -1.007 -0.685  -0.966 -0.807  -0.883 -0.910  -0.736 -0.910  -0.589 -0.910  -0.443 -0.910  -0.302 -0.885  -0.174 -0.814  -0.051 -0.732  0.058 -0.636  0.162 -0.532  0.266 -0.428  0.329 -0.307  0.377 -0.180  0.481 -0.077  0.585 0.027  0.641 0.161  0.708 0.287  0.738 0.421  0.759 0.563  0.806 0.699  0.858 0.794  0.874 0.800  0.874 0.653  0.874 0.506  0.874 0.359  0.874 0.213  0.874 0.066  0.874 -0.081  0.874 -0.228  1.016 -0.237  1.098 -0.359  1.147 -0.491  1.147 -0.638
2#tos#f1#f1007061/y  -0.292 1.043  -0.408 1.024  -0.478 0.960  -0.388 0.932  -0.286 0.878  -0.250 0.779  -0.167 0.695  -0.080 0.615  0.014 0.544  0.105 0.485  0.181 0.399  0.257 0.317  0.323 0.279  0.418 0.349  0.514 0.419  0.609 0.489  0.704 0.559  0.799 0.629  0.894 0.699  0.989 0.769  0.914 0.783  0.833 0.821  0.747 0.744  0.708 0.632  0.625 0.549  0.541 0.465  0.466 0.375  0.405 0.274  0.345 0.173  0.284 0.072  0.202 -0.012  0.111 -0.087  0.030 -0.170  -0.023 -0.276  -0.084 -0.377  -0.147 -0.477  -0.209 -0.577  -0.297 -0.655  -0.390 -0.728  -0.466 -0.818  -0.540 -0.910  -0.614 -1.002  -0.688 -1.095  -0.731 -1.203  -0.769 -1.315  -0.845 -1.403  -0.900 -1.503  -0.937 -1.614  -0.997 -1.713  -1.035 -1.816
2#tos#f1#f1007061/z  -0.257 1.461  -0.384 1.432  -0.241 1.418  -0.094 1.461  0.063 1.461  0.219 1.457  0.340 1.364  0.340 1.207  0.283 1.070  0.157 0.979  0.073 0.864  -0.056 0.825  -0.086 0.673  -0.001 0.700  0.077 0.806  0.225 0.821  0.345 0.751  0.383 0.605  0.383 0.448  0.383 0.291  0.382 0.134  0.344 -0.018  0.340 -0.175  0.292 -0.323  0.255 -0.472  0.217 -0.620  0.143 -0.759  0.062 -0.894  0.005 -1.039  -0.100 -1.154  -0.172 -1.291  -0.215 -1.440  -0.326 -1.551  -0.458 -1.610  -0.512 -1.507  -0.512 -1.350  -0.512 -1.193  -0.512 -1.036  -0.512 -0.878  -0.504 -0.722  -0.465 -0.570  -0.406 -0.426  -0.304 -0.311  -0.214 -0.226  -0.123 -0.160  0.034 -0.160  0.173 -0.116  0.325 -0.078  0.482 -0.074  0.639 -0.074
