2#tos#f2#f2044065/!  -0.172 -1.416  -0.256 -1.511  -0.256 -1.640  -0.202 -1.737  -0.172 -1.655  -0.231 -1.583  -0.237 -1.481  -0.213 -1.353  -0.189 -1.226  -0.165 -1.098  -0.142 -0.971  -0.118 -0.843  -0.094 -0.716  -0.070 -0.588  -0.046 -0.460  -0.023 -0.333  0.001 -0.205  0.025 -0.078  0.049 0.050  0.073 0.177  0.096 0.305  0.120 0.432  0.144 0.560  0.168 0.688  0.192 0.815  0.216 0.943  0.239 1.070  0.263 1.198  0.287 1.325  0.311 1.453  0.315 1.564  0.206 1.544  0.206 1.414  0.206 1.284  0.206 1.155  0.206 1.025  0.122 0.930  0.118 0.801  0.060 0.685  0.002 0.569  -0.004 0.441  -0.004 0.311  -0.004 0.181  -0.075 0.073  -0.088 -0.053  -0.145 -0.167  -0.212 -0.278  -0.214 -0.407  -0.242 -0.533  -0.256 -0.660
2#tos#f2#f2044065/K  -0.499 1.642  -0.568 1.587  -0.568 1.365  -0.568 1.144  -0.568 0.922  -0.568 0.701  -0.568 0.479  -0.568 0.258  -0.568 0.036  -0.568 -0.185  -0.568 -0.407  -0.568 -0.628  -0.564 -0.849  -0.534 -1.068  -0.534 -1.289  -0.508 -1.494  -0.474 -1.342  -0.486 -1.121  -0.498 -0.899  -0.509 -0.678  -0.521 -0.457  -0.533 -0.236  -0.593 -0.128  -0.438 0.024  -0.252 0.139  -0.067 0.258  0.137 0.345  0.345 0.418  0.534 0.514  0.704 0.655  0.897 0.759  1.090 0.853  1.160 0.943  0.968 0.832  0.776 0.722  0.584 0.612  0.392 0.501  0.200 0.391  0.008 0.281  -0.184 0.170  -0.128 0.063  0.036 -0.067  0.200 -0.201  0.309 -0.366  0.478 -0.502  0.620 -0.671  0.812 -0.770  0.934 -0.955  1.103 -1.093  1.285 -1.207
2#tos#f2#f2044065/M  -0.655 0.864  -0.692 0.767  -0.655 0.553  -0.655 0.334  -0.596 0.125  -0.585 -0.093  -0.567 -0.310  -0.567 -0.529  -0.567 -0.748  -0.567 -0.967  -0.585 -1.181  -0.626 -1.314  -0.626 -1.095  -0.626 -0.876  -0.626 -0.657  -0.626 -0.438  -0.626 -0.219  -0.626 -0.001  -0.626 0.218  -0.626 0.437  -0.626 0.656  -0.626 0.875  -0.767 0.953  -0.753 0.803  -0.707 0.609  -0.610 0.419  -0.475 0.249  -0.367 0.073  -0.194 -0.052  -0.012 -0.111  0.207 -0.111  0.384 -0.019  0.556 0.084  0.660 0.259  0.701 0.469  0.792 0.663  0.875 0.851  0.908 1.041  0.940 0.973  0.940 0.754  0.941 0.535  0.987 0.321  0.999 0.104  1.007 -0.114  1.058 -0.326  1.058 -0.545  1.069 -0.762  1.088 -0.978  1.114 -1.193  1.177 -1.352
2#tos#f2#f2044065/Q  0.228 0.870  0.228 1.086  0.171 1.267  -0.025 1.315  -0.219 1.253  -0.397 1.136  -0.550 0.987  -0.694 0.828  -0.803 0.642  -0.881 0.444  -0.927 0.234  -0.974 0.024  -0.977 -0.192  -0.977 -0.408  -0.958 -0.620  -0.883 -0.819  -0.729 -0.967  -0.594 -1.095  -0.421 -1.200  -0.205 -1.200  0.004 -1.165  0.195 -1.076  0.368 -0.953  0.497 -0.780  0.609 -0.596  0.695 -0.401  0.737 -0.190  0.752 0.025  0.752 0.241  0.731 0.452  0.674 0.660  0.545 0.832  0.385 0.975  0.196 1.053  -0.020 1.053  -0.138 0.956  -0.134 0.740  -0.129 0.524  -0.124 0.309  -0.119 0.093  -0.115 -0.123  -0.156 -0.315  -0.070 -0.362  0.120 -0.440  0.308 -0.535  0.488 -0.643  0.626 -0.796  0.807 -0.913  0.957 -1.064  1.145 -1.148
2#tos#f2#f2044065/S  0.745 0.635  0.745 0.764  0.692 0.871  0.628 0.976  0.570 1.091  0.460 1.145  0.334 1.165  0.207 1.188  0.078 1.191  -0.051 1.191  -0.180 1.191  -0.309 1.191  -0.395 1.111  -0.518 1.070  -0.629 1.008  -0.646 0.886  -0.685 0.773  -0.685 0.644  -0.685 0.515  -0.685 0.386  -0.656 0.262  -0.576 0.162  -0.503 0.056  -0.444 -0.053  -0.316 -0.071  -0.221 -0.141  -0.107 -0.193  0.015 -0.234  0.139 -0.265  0.263 -0.289  0.381 -0.338  0.466 -0.428  0.560 -0.482  0.666 -0.505  0.666 -0.634  0.692 -0.757  0.692 -0.886  0.614 -0.967  0.493 -0.994  0.429 -1.085  0.304 -1.117  0.178 -1.139  0.058 -1.178  -0.068 -1.192  -0.197 -1.192  -0.326 -1.192  -0.426 -1.160  -0.499 -1.061  -0.611 -1.016  -0.658 -0.901
2#tos#f2#f2044065/T  -1.338 0.483  -1.374 0.348  -1.480 0.257  -1.502 0.198  -1.359 0.198  -1.216 0.198  -1.072 0.198  -0.929 0.198  -0.794 0.225  -0.671 0.299  -0.529 0.304  -0.387 0.313  -0.250 0.356  -0.113 0.395  0.028 0.411  0.172 0.411  0.294 0.479  0.437 0.483  0.580 0.483  0.723 0.483  0.866 0.483  1.010 0.483  1.151 0.493  1.290 0.518  1.232 0.517  1.089 0.512  0.946 0.508  0.803 0.503  0.660 0.498  0.517 0.493  0.373 0.489  0.230 0.484  0.158 0.391  0.051 0.305  -0.020 0.233  -0.020 0.090  -0.020 -0.054  -0.020 -0.197  -0.020 -0.340  -0.020 -0.483  0.009 -0.624  0.016 -0.766  0.039 -0.908  0.051 -1.050  0.051 -1.193  0.051 -1.337  0.051 -1.480  0.086 -1.617  0.086 -1.761  0.086 -1.904
2#tos#f2#f2044065/U  -0.869 0.853  -0.927 0.794  -0.927 0.678  -0.869 0.586  -0.849 0.477  -0.812 0.372  -0.812 0.256  -0.799 0.142  -0.783 0.027  -0.776 -0.088  -0.754 -0.200  -0.754 -0.316  -0.697 -0.414  -0.697 -0.530  -0.643 -0.628  -0.595 -0.731  -0.555 -0.839  -0.526 -0.951  -0.425 -1.002  -0.348 -1.076  -0.238 -1.103  -0.123 -1.103  -0.015 -1.083  0.073 -1.017  0.184 -0.993  0.241 -0.895  0.333 -0.832  0.392 -0.741  0.454 -0.650  0.477 -0.540  0.528 -0.436  0.580 -0.332  0.637 -0.232  0.690 -0.129  0.713 -0.016  0.713 0.099  0.713 0.215  0.713 0.331  0.713 0.447  0.713 0.563  0.713 0.679  0.713 0.795  0.713 0.910  0.691 1.024  0.624 1.114  0.578 1.216  0.535 1.317  0.442 1.370  0.438 1.358  0.482 1.255
2#tos#f2#f2044065/W  -1.171 1.100  -1.282 1.042  -1.258 0.888  -1.195 0.735  -1.124 0.575  -1.085 0.410  -1.046 0.237  -0.963 0.083  -0.911 -0.074  -0.911 -0.252  -0.810 -0.381  -0.747 -0.548  -0.714 -0.714  -0.643 -0.867  -0.565 -0.971  -0.533 -0.801  -0.450 -0.651  -0.408 -0.479  -0.356 -0.309  -0.305 -0.140  -0.276 0.031  -0.244 0.200  -0.190 0.363  -0.161 0.535  -0.101 0.701  -0.018 0.736  0.129 0.636  0.185 0.468  0.215 0.294  0.272 0.133  0.330 -0.031  0.352 -0.206  0.416 -0.372  0.417 -0.550  0.474 -0.710  0.574 -0.847  0.647 -0.979  0.734 -0.929  0.781 -0.765  0.881 -0.619  0.921 -0.449  0.996 -0.293  1.033 -0.127  1.081 0.037  1.095 0.212  1.139 0.382  1.139 0.560  1.179 0.732  1.225 0.900  1.254 1.071
2#tos#f2#f2044065/Y  -1.183 1.312  -1.187 1.186  -1.123 1.042  -0.958 0.987  -0.884 0.847  -0.884 0.673  -0.773 0.555  -0.670 0.419  -0.551 0.303  -0.467 0.160  -0.323 0.064  -0.247 -0.080  -0.163 -0.205  -0.088 -0.354  0.019 -0.487  0.180 -0.464  0.273 -0.318  0.367 -0.172  0.461 -0.026  0.554 0.120  0.648 0.266  0.741 0.412  0.835 0.558  0.929 0.704  1.022 0.850  1.102 1.000  0.979 0.975  0.952 0.828  0.789 0.778  0.690 0.658  0.598 0.515  0.578 0.349  0.438 0.254  0.292 0.164  0.169 0.041  0.046 -0.081  -0.051 -0.223  -0.146 -0.345  -0.231 -0.479  -0.344 -0.593  -0.322 -0.593  -0.322 -0.629  -0.310 -0.797  -0.247 -0.944  -0.247 -1.118  -0.241 -1.290  -0.209 -1.459  -0.209 -1.632  -0.151 -1.781  -0.134 -1.948
2#tos#f2#f2044065/a  -1.043 0.824  -1.002 0.712  -0.961 0.803  -0.830 0.910  -0.675 1.011  -0.530 1.069  -0.338 1.128  -0.137 1.151  0.067 1.151  0.267 1.145  0.373 0.974  0.396 0.783  0.427 0.611  0.427 0.408  0.427 0.204  0.423 0.003  0.346 -0.169  0.346 -0.373  0.346 -0.576  0.346 -0.780  0.450 -0.926  0.590 -1.054  0.776 -1.095  0.980 -1.095  1.183 -1.095  1.193 -0.967  1.089 -0.791  0.986 -0.616  0.883 -0.441  0.780 -0.265  0.677 -0.090  0.574 0.086  0.470 0.261  0.309 0.334  0.105 0.334  -0.058 0.375  -0.254 0.416  -0.458 0.416  -0.634 0.389  -0.749 0.252  -0.829 0.122  -0.961 0.021  -1.002 -0.173  -1.002 -0.376  -0.977 -0.574  -0.873 -0.746  -0.757 -0.893  -0.592 -0.932  -0.389 -0.932  -0.185 -0.932
2#tos#f2#f2044065/b  -0.101 1.947  -0.284 1.947  -0.311 1.790  -0.311 1.607  -0.311 1.424  -0.311 1.241  -0.311 1.058  -0.311 0.875  -0.311 0.692  -0.311 0.509  -0.311 0.326  -0.311 0.143  -0.311 -0.040  -0.311 -0.223  -0.311 -0.406  -0.311 -0.589  -0.279 -0.769  -0.228 -0.945  -0.227 -1.127  -0.311 -1.086  -0.311 -0.903  -0.430 -0.784  -0.437 -0.605  -0.437 -0.422  -0.437 -0.239  -0.437 -0.056  -0.479 0.086  -0.460 0.264  -0.336 0.386  -0.220 0.521  -0.037 0.521  0.137 0.563  0.320 0.563  0.485 0.521  0.660 0.508  0.747 0.349  0.908 0.296  0.944 0.116  0.947 -0.066  0.940 -0.248  0.905 -0.423  0.852 -0.593  0.725 -0.717  0.591 -0.841  0.486 -0.988  0.357 -1.118  0.191 -1.158  0.045 -1.262  -0.129 -1.319  -0.311 -1.324
2#tos#f2#f2044065/c  0.954 0.561  0.852 0.561  0.817 0.643  0.797 0.743  0.740 0.802  0.713 0.899  0.648 0.966  0.557 1.002  0.456 1.002  0.354 1.002  0.262 1.042  0.160 1.042  0.058 1.042  -0.043 1.042  -0.143 1.035  -0.229 0.982  -0.289 0.905  -0.301 0.806  -0.338 0.712  -0.410 0.640  -0.482 0.569  -0.547 0.491  -0.600 0.404  -0.650 0.316  -0.650 0.215  -0.650 0.113  -0.650 0.011  -0.650 -0.090  -0.650 -0.192  -0.650 -0.294  -0.625 -0.385  -0.568 -0.469  -0.516 -0.556  -0.448 -0.628  -0.369 -0.688  -0.369 -0.789  -0.321 -0.853  -0.222 -0.878  -0.160 -0.955  -0.091 -1.027  -0.006 -1.083  0.085 -1.128  0.178 -1.162  0.280 -1.162  0.365 -1.202  0.467 -1.202  0.568 -1.202  0.670 -1.202  0.772 -1.202  0.873 -1.202
2#tos#f2#f2044065/f  0.600 0.888  0.690 0.955  0.701 1.100  0.645 1.240  0.602 1.373  0.459 1.437  0.334 1.523  0.178 1.524  0.021 1.524  -0.135 1.524  -0.170 1.403  -0.170 1.247  -0.170 1.090  -0.170 0.934  -0.170 0.778  -0.170 0.621  -0.159 0.466  -0.136 0.312  -0.127 0.156  -0.105 0.002  -0.103 -0.155  -0.103 -0.311  -0.060 -0.455  -0.002 -0.596  0.017 -0.750  0.031 -0.905  0.049 -1.059  0.065 -1.213  0.101 -1.364  0.132 -1.515  0.089 -1.518  0.008 -1.384  -0.073 -1.251  -0.154 -1.117  -0.235 -0.983  -0.316 -0.849  -0.397 -0.716  -0.478 -0.582  -0.559 -0.448  -0.641 -0.317  -0.680 -0.317  -0.524 -0.317  -0.369 -0.315  -0.229 -0.256  -0.073 -0.250  0.083 -0.250  0.240 -0.250  0.389 -0.221  0.544 -0.216  0.701 -0.216
2#tos#f2#f2044065/g  0.354 0.848  0.262 0.961  0.190 1.122  0.109 1.264  0.015 1.369  -0.170 1.373  -0.358 1.373  -0.478 1.280  -0.597 1.169  -0.603 0.982  -0.603 0.795  -0.542 0.632  -0.480 0.506  -0.402 0.353  -0.229 0.291  -0.047 0.297  0.078 0.361  0.129 0.542  0.262 0.648  0.293 0.830  0.293 1.018  0.293 0.922  0.231 0.760  0.231 0.572  0.200 0.391  0.200 0.204  0.171 0.021  0.169 -0.167  0.169 -0.355  0.169 -0.542  0.169 -0.730  0.169 -0.918  0.169 -1.106  0.169 -1.293  0.111 -1.466  0.062 -1.639  -0.099 -1.717  -0.249 -1.655  -0.366 -1.553  -0.418 -1.387  -0.418 -1.199  -0.379 -1.020  -0.268 -0.883  -0.138 -0.757  -0.010 -0.622  0.107 -0.478  0.263 -0.418  0.426 -0.357  0.606 -0.327  0.787 -0.296
2#tos#f2#f2044065/i  -0.122 0.690  -0.122 0.568  -0.122 0.445  -0.114 0.324  -0.090 0.203  -0.069 0.083  -0.069 -0.039  -0.069 -0.162  -0.069 -0.284  -0.069 -0.407  -0.069 -0.529  -0.069 -0.652  -0.065 -0.774  -0.027 -0.890  -0.015 -1.011  -0.000 -1.131  0.039 -1.247  0.039 -1.369  0.039 -1.492  0.082 -1.572  0.090 -1.460  0.086 -1.338  0.082 -1.215  0.078 -1.093  0.074 -0.971  0.071 -0.848  0.067 -0.726  0.063 -0.603  0.059 -0.481  0.056 -0.358  0.052 -0.236  0.048 -0.114  0.044 0.009  0.041 0.131  0.037 0.254  0.033 0.376  0.029 0.499  0.025 0.621  0.022 0.743  0.018 0.866  0.014 0.988  0.010 1.111  0.007 1.233  0.003 1.356  -0.001 1.478  -0.005 1.600  -0.008 1.723  -0.012 1.845  -0.054 1.929  -0.069 1.929
2#tos#f2#f2044065/m  -0.779 0.927  -0.893 0.911  -0.893 0.704  -0.893 0.497  -0.893 0.290  -0.893 0.083  -0.927 -0.121  -0.932 -0.328  -0.932 -0.535  -0.932 -0.742  -0.932 -0.949  -0.970 -0.832  -0.970 -0.624  -0.932 -0.423  -0.903 -0.220  -0.818 -0.032  -0.817 0.175  -0.691 0.331  -0.586 0.509  -0.488 0.682  -0.334 0.774  -0.150 0.719  -0.047 0.569  -0.013 0.367  0.044 0.171  0.063 -0.032  0.063 -0.239  0.063 -0.446  -0.013 -0.606  -0.038 -0.743  0.005 -0.549  0.105 -0.370  0.195 -0.187  0.272 0.003  0.402 0.140  0.450 0.319  0.602 0.458  0.718 0.583  0.843 0.686  1.047 0.698  1.209 0.625  1.262 0.436  1.326 0.241  1.354 0.039  1.364 -0.167  1.364 -0.374  1.313 -0.565  1.250 -0.756  1.220 -0.958  1.135 -1.139
2#tos#f2#f2044065/o  0.115 0.941  0.004 0.972  -0.133 0.977  -0.218 1.034  -0.359 1.034  -0.474 1.007  -0.545 0.893  -0.644 0.797  -0.715 0.677  -0.760 0.543  -0.797 0.406  -0.815 0.267  -0.815 0.125  -0.815 -0.017  -0.815 -0.158  -0.815 -0.300  -0.805 -0.439  -0.726 -0.557  -0.691 -0.688  -0.634 -0.817  -0.571 -0.943  -0.465 -1.036  -0.343 -1.107  -0.205 -1.141  -0.066 -1.167  0.076 -1.167  0.218 -1.167  0.360 -1.167  0.492 -1.116  0.598 -1.025  0.652 -0.895  0.705 -0.764  0.812 -0.676  0.893 -0.562  0.921 -0.423  0.921 -0.281  0.921 -0.139  0.912 0.002  0.887 0.141  0.814 0.262  0.719 0.368  0.642 0.486  0.566 0.605  0.508 0.734  0.402 0.800  0.273 0.845  0.161 0.926  0.026 0.971  -0.115 0.972  -0.257 0.972
2#tos#f2#f2044065/q  0.634 0.649  0.508 0.759  0.462 0.910  0.318 0.996  0.230 1.143  0.074 1.178  -0.097 1.183  -0.270 1.183  -0.414 1.111  -0.565 1.047  -0.672 0.912  -0.715 0.748  -0.762 0.586  -0.778 0.417  -0.778 0.244  -0.778 0.071  -0.778 -0.102  -0.778 -0.274  -0.638 -0.355  -0.504 -0.418  -0.331 -0.418  -0.158 -0.418  -0.018 -0.335  0.098 -0.238  0.155 -0.093  0.248 0.044  0.303 0.204  0.347 0.370  0.383 0.536  0.383 0.709  0.351 0.851  0.351 0.840  0.320 0.680  0.320 0.507  0.320 0.334  0.320 0.161  0.309 -0.011  0.280 -0.181  0.257 -0.352  0.247 -0.523  0.205 -0.691  0.195 -0.862  0.195 -1.035  0.195 -1.208  0.181 -1.380  0.163 -1.551  0.163 -1.724  0.163 -1.897  0.163 -2.070  0.195 -2.238
2#tos#f2#f2044065/s  0.896 0.613  0.872 0.713  0.747 0.713  0.702 0.815  0.640 0.899  0.593 0.990  0.494 1.016  0.459 1.105  0.349 1.144  0.231 1.181  0.107 1.183  -0.018 1.183  -0.136 1.155  -0.249 1.104  -0.353 1.043  -0.452 0.972  -0.539 0.896  -0.582 0.802  -0.582 0.678  -0.582 0.553  -0.548 0.437  -0.531 0.318  -0.456 0.219  -0.356 0.147  -0.286 0.048  -0.194 -0.035  -0.082 -0.090  0.007 -0.177  0.119 -0.225  0.208 -0.312  0.323 -0.352  0.431 -0.406  0.459 -0.524  0.526 -0.628  0.526 -0.753  0.515 -0.870  0.425 -0.950  0.364 -1.047  0.253 -1.104  0.141 -1.133  0.028 -1.161  -0.080 -1.200  -0.197 -1.234  -0.321 -1.234  -0.446 -1.234  -0.570 -1.234  -0.648 -1.168  -0.712 -1.070  -0.750 -0.956  -0.750 -0.831
2#tos#f2#f2044065/u  -1.043 1.099  -1.060 0.945  -1.082 0.791  -1.082 0.632  -1.082 0.473  -1.082 0.314  -1.082 0.156  -1.082 -0.003  -1.082 -0.162  -1.082 -0.321  -1.023 -0.462  -1.003 -0.615  -0.901 -0.719  -0.865 -0.850  -0.712 -0.876  -0.556 -0.889  -0.399 -0.878  -0.244 -0.850  -0.109 -0.791  -0.010 -0.667  0.081 -0.537  0.185 -0.418  0.270 -0.294  0.323 -0.148  0.396 -0.007  0.469 0.121  0.469 0.280  0.469 0.439  0.469 0.598  0.469 0.757  0.462 0.914  0.391 1.056  0.350 1.205  0.350 1.130  0.389 0.980  0.429 0.831  0.429 0.672  0.438 0.515  0.509 0.377  0.509 0.218  0.578 0.080  0.588 -0.075  0.659 -0.205  0.747 -0.327  0.800 -0.464  0.906 -0.579  0.963 -0.725  1.014 -0.857  1.167 -0.897  1.304 -0.969
2#tos#f2#f2044065/v  -0.786 1.289  -0.890 1.247  -0.944 1.189  -0.890 1.080  -0.854 0.967  -0.799 0.858  -0.786 0.739  -0.765 0.622  -0.710 0.513  -0.670 0.398  -0.661 0.278  -0.661 0.156  -0.599 0.060  -0.536 -0.036  -0.536 -0.158  -0.505 -0.272  -0.458 -0.385  -0.413 -0.498  -0.328 -0.585  -0.271 -0.688  -0.241 -0.806  -0.212 -0.924  -0.156 -1.031  -0.094 -1.136  -0.077 -1.253  0.006 -1.292  0.089 -1.258  0.104 -1.140  0.165 -1.034  0.214 -0.927  0.224 -0.807  0.269 -0.695  0.345 -0.600  0.421 -0.505  0.460 -0.389  0.491 -0.271  0.554 -0.175  0.651 -0.102  0.672 0.009  0.674 0.131  0.698 0.250  0.742 0.359  0.829 0.445  0.865 0.559  0.881 0.679  0.881 0.801  0.881 0.923  0.881 1.045  0.884 1.164  0.964 1.205
2#tos#f2#f2044065/y  -0.339 1.405  -0.440 1.341  -0.440 1.175  -0.474 1.017  -0.474 0.851  -0.414 0.714  -0.333 0.590  -0.183 0.532  -0.023 0.542  0.108 0.597  0.161 0.753  0.234 0.897  0.301 1.042  0.301 1.208  0.301 1.374  0.268 1.440  0.268 1.274  0.261 1.109  0.234 0.947  0.234 0.781  0.234 0.615  0.223 0.451  0.200 0.288  0.187 0.123  0.167 -0.041  0.167 -0.206  0.167 -0.372  0.167 -0.538  0.167 -0.704  0.167 -0.870  0.167 -1.035  0.167 -1.201  0.161 -1.365  0.099 -1.505  -0.002 -1.589  -0.094 -1.663  -0.184 -1.562  -0.331 -1.500  -0.379 -1.348  -0.407 -1.188  -0.407 -1.022  -0.407 -0.857  -0.354 -0.707  -0.258 -0.576  -0.205 -0.418  -0.065 -0.332  0.073 -0.240  0.190 -0.122  0.341 -0.058  0.504 -0.045
