2#apb#apb10#app1038/P  -0.491 0.525  -0.308 0.450  -0.101 0.518  0.093 0.615  0.270 0.743  0.434 0.885  0.497 1.014  0.362 0.844  0.254 0.654  0.152 0.461  0.048 0.269  -0.061 0.079  -0.169 -0.110  -0.271 -0.303  -0.372 -0.497  -0.474 -0.690  -0.581 -0.880  -0.687 -1.071  -0.794 -1.262  -0.900 -1.452  -1.011 -1.641  -1.031 -1.699  -0.928 -1.506  -0.826 -1.313  -0.724 -1.120  -0.622 -0.927  -0.520 -0.734  -0.418 -0.541  -0.316 -0.348  -0.213 -0.155  -0.111 0.038  -0.009 0.231  0.093 0.424  0.195 0.617  0.297 0.810  0.274 0.990  0.464 1.010  0.679 1.048  0.897 1.066  1.112 1.037  1.226 0.869  1.166 0.665  1.043 0.487  0.890 0.332  0.722 0.192  0.542 0.070  0.355 -0.043  0.158 -0.137  -0.038 -0.234  -0.247 -0.283
2#apb#apb10#app1038/n  -0.856 0.371  -0.746 0.446  -0.660 0.509  -0.537 0.463  -0.478 0.389  -0.533 0.268  -0.598 0.150  -0.674 0.040  -0.751 -0.070  -0.832 -0.177  -0.913 -0.283  -0.995 -0.389  -1.083 -0.490  -1.171 -0.592  -1.253 -0.698  -1.307 -0.793  -1.212 -0.698  -1.117 -0.603  -1.022 -0.508  -0.928 -0.413  -0.833 -0.319  -0.737 -0.225  -0.630 -0.146  -0.530 -0.057  -0.413 0.003  -0.285 0.041  -0.156 0.078  -0.027 0.115  0.103 0.149  0.234 0.175  0.366 0.201  0.497 0.230  0.628 0.259  0.759 0.288  0.885 0.331  1.007 0.387  1.129 0.442  1.256 0.485  1.376 0.541  1.442 0.589  1.360 0.487  1.285 0.375  1.221 0.258  1.158 0.140  1.102 0.018  1.056 -0.108  1.035 -0.237  1.048 -0.370  1.118 -0.477  1.213 -0.572
2#apb#apb10#app1038/y  -0.565 1.132  -0.581 1.048  -0.630 0.906  -0.697 0.772  -0.779 0.646  -0.861 0.520  -0.913 0.378  -0.896 0.239  -0.776 0.165  -0.625 0.165  -0.474 0.165  -0.324 0.165  -0.173 0.165  -0.023 0.170  0.114 0.208  0.199 0.332  0.285 0.456  0.370 0.580  0.456 0.704  0.541 0.828  0.627 0.952  0.712 1.076  0.643 1.148  0.516 1.102  0.417 0.989  0.371 0.848  0.357 0.698  0.367 0.548  0.393 0.400  0.444 0.259  0.492 0.116  0.536 -0.028  0.586 -0.171  0.632 -0.314  0.660 -0.462  0.665 -0.610  0.641 -0.759  0.578 -0.896  0.483 -1.010  0.376 -1.117  0.240 -1.180  0.102 -1.238  -0.046 -1.268  -0.194 -1.297  -0.344 -1.301  -0.495 -1.301  -0.645 -1.295  -0.796 -1.286  -0.933 -1.229  -1.033 -1.124
2#apb#apb10#app1038/o  0.065 0.193  0.028 0.341  -0.090 0.435  -0.217 0.517  -0.350 0.590  -0.493 0.644  -0.635 0.694  -0.775 0.634  -0.911 0.569  -1.019 0.462  -1.126 0.354  -1.183 0.214  -1.236 0.071  -1.249 -0.078  -1.249 -0.230  -1.222 -0.370  -1.107 -0.469  -0.991 -0.568  -0.858 -0.640  -0.722 -0.708  -0.586 -0.776  -0.442 -0.811  -0.290 -0.811  -0.138 -0.811  0.014 -0.811  0.166 -0.811  0.309 -0.763  0.452 -0.710  0.594 -0.656  0.737 -0.603  0.875 -0.541  1.011 -0.473  1.147 -0.405  1.281 -0.333  1.399 -0.238  1.424 -0.119  1.364 0.020  1.268 0.133  1.148 0.226  1.028 0.319  0.896 0.392  0.758 0.456  0.620 0.519  0.481 0.582  0.336 0.627  0.191 0.672  0.045 0.716  -0.101 0.756  -0.249 0.793  -0.399 0.811
2#apb#apb10#app1038/u  -0.721 0.821  -0.820 0.721  -0.899 0.605  -0.990 0.499  -1.039 0.369  -1.089 0.239  -1.148 0.111  -1.206 -0.017  -1.268 -0.143  -1.330 -0.269  -1.374 -0.402  -1.357 -0.526  -1.267 -0.634  -1.126 -0.634  -0.986 -0.631  -0.847 -0.610  -0.708 -0.588  -0.568 -0.576  -0.428 -0.567  -0.287 -0.559  -0.151 -0.529  -0.015 -0.492  0.092 -0.409  0.183 -0.302  0.274 -0.195  0.366 -0.088  0.457 0.019  0.548 0.126  0.639 0.233  0.730 0.340  0.821 0.447  0.913 0.554  1.004 0.661  1.095 0.768  1.186 0.875  1.174 0.871  1.062 0.789  0.946 0.714  0.883 0.592  0.862 0.453  0.840 0.314  0.781 0.187  0.719 0.061  0.665 -0.068  0.612 -0.199  0.560 -0.329  0.508 -0.460  0.500 -0.599  0.548 -0.729  0.656 -0.816
2#apb#apb10#app1038/r  -0.403 0.811  -0.368 0.695  -0.351 0.574  -0.338 0.453  -0.338 0.331  -0.338 0.209  -0.355 0.089  -0.385 -0.029  -0.414 -0.147  -0.444 -0.266  -0.474 -0.384  -0.506 -0.502  -0.538 -0.619  -0.571 -0.737  -0.606 -0.854  -0.641 -0.970  -0.671 -1.088  -0.691 -1.209  -0.697 -1.330  -0.661 -1.242  -0.619 -1.127  -0.578 -1.013  -0.537 -0.898  -0.495 -0.783  -0.454 -0.668  -0.413 -0.554  -0.371 -0.439  -0.330 -0.324  -0.289 -0.209  -0.248 -0.095  -0.206 0.020  -0.165 0.135  -0.124 0.250  -0.038 0.325  0.071 0.379  0.181 0.434  0.290 0.488  0.399 0.543  0.509 0.594  0.624 0.636  0.739 0.677  0.853 0.719  0.968 0.760  1.083 0.801  1.198 0.842  1.313 0.881  1.431 0.913  1.549 0.944  1.667 0.976  1.784 1.007
2#apb#apb10#app1038/w  -1.509 0.157  -1.339 0.148  -1.159 0.237  -1.001 0.370  -0.816 0.462  -0.717 0.449  -0.819 0.271  -0.929 0.096  -1.034 -0.083  -1.132 -0.265  -1.226 -0.449  -1.147 -0.505  -0.977 -0.387  -0.807 -0.270  -0.636 -0.152  -0.466 -0.034  -0.296 0.084  -0.126 0.202  0.041 0.318  -0.136 0.215  -0.307 0.099  -0.471 -0.026  -0.624 -0.166  -0.771 -0.310  -0.859 -0.490  -0.682 -0.387  -0.493 -0.304  -0.299 -0.233  -0.121 -0.130  0.079 -0.084  0.281 -0.086  0.444 -0.208  0.542 -0.389  0.504 -0.587  0.629 -0.484  0.763 -0.326  0.897 -0.168  1.031 -0.010  1.165 0.147  1.299 0.305  1.433 0.463  1.567 0.621  1.700 0.779  1.644 0.606  1.515 0.445  1.375 0.293  1.228 0.146  1.067 0.017  0.908 -0.116  0.786 -0.280
2#apb#apb10#app1038/a  0.724 0.349  0.681 0.447  0.660 0.585  0.616 0.718  0.595 0.856  0.551 0.948  0.411 0.933  0.271 0.917  0.134 0.888  -0.002 0.848  -0.137 0.807  -0.265 0.752  -0.380 0.670  -0.494 0.588  -0.609 0.506  -0.724 0.424  -0.839 0.343  -0.956 0.264  -1.074 0.186  -1.191 0.108  -1.272 -0.004  -1.342 -0.127  -1.390 -0.255  -1.379 -0.388  -1.244 -0.428  -1.109 -0.469  -0.974 -0.510  -0.834 -0.514  -0.693 -0.514  -0.552 -0.514  -0.410 -0.514  -0.269 -0.514  -0.136 -0.477  -0.005 -0.424  0.125 -0.370  0.256 -0.316  0.386 -0.262  0.517 -0.209  0.651 -0.165  0.784 -0.120  0.919 -0.083  1.060 -0.083  1.156 -0.128  1.156 -0.269  1.148 -0.409  1.103 -0.543  1.070 -0.678  1.070 -0.819  1.078 -0.958  1.156 -1.075
2#apb#apb10#app1038/y  -0.598 1.007  -0.650 0.875  -0.746 0.768  -0.826 0.649  -0.885 0.518  -0.909 0.378  -0.831 0.271  -0.694 0.230  -0.549 0.230  -0.405 0.230  -0.261 0.230  -0.129 0.261  -0.023 0.358  0.083 0.455  0.189 0.553  0.296 0.650  0.402 0.747  0.508 0.845  0.614 0.942  0.720 1.039  0.789 1.100  0.646 1.089  0.513 1.038  0.384 0.975  0.299 0.869  0.266 0.728  0.257 0.586  0.259 0.442  0.300 0.304  0.338 0.165  0.390 0.031  0.447 -0.101  0.498 -0.236  0.543 -0.373  0.576 -0.513  0.591 -0.654  0.566 -0.795  0.518 -0.929  0.443 -1.051  0.327 -1.132  0.201 -1.202  0.068 -1.253  -0.071 -1.291  -0.211 -1.325  -0.355 -1.331  -0.499 -1.337  -0.641 -1.323  -0.781 -1.290  -0.916 -1.241  -1.049 -1.185
2#apb#apb10#app1038/h  -0.593 0.637  -0.479 0.713  -0.309 0.824  -0.118 0.894  0.073 0.965  0.244 1.076  0.410 1.194  0.569 1.321  0.657 1.494  0.587 1.340  0.495 1.158  0.394 0.981  0.288 0.806  0.181 0.632  0.074 0.459  -0.034 0.286  -0.148 0.116  -0.266 -0.050  -0.384 -0.217  -0.501 -0.384  -0.615 -0.553  -0.730 -0.722  -0.838 -0.895  -0.942 -1.070  -1.057 -1.239  -1.156 -1.407  -1.067 -1.341  -0.946 -1.177  -0.824 -1.013  -0.703 -0.848  -0.582 -0.684  -0.461 -0.520  -0.340 -0.356  -0.219 -0.191  -0.202 -0.114  -0.001 -0.085  0.189 -0.009  0.381 0.060  0.573 0.128  0.752 0.227  0.936 0.311  1.134 0.360  1.061 0.225  0.944 0.058  0.844 -0.120  0.743 -0.297  0.641 -0.474  0.534 -0.648  0.445 -0.831  0.363 -1.018
2#apb#apb10#app1038/o  -0.035 0.961  0.096 0.987  0.201 1.036  0.141 1.133  0.012 1.131  -0.119 1.105  -0.224 1.022  -0.326 0.935  -0.428 0.847  -0.529 0.759  -0.630 0.671  -0.731 0.583  -0.832 0.494  -0.878 0.369  -0.921 0.242  -0.963 0.115  -0.972 -0.016  -0.959 -0.150  -0.946 -0.284  -0.930 -0.417  -0.877 -0.540  -0.824 -0.663  -0.752 -0.772  -0.647 -0.856  -0.539 -0.934  -0.410 -0.969  -0.280 -1.004  -0.151 -1.040  -0.022 -1.065  0.101 -1.010  0.224 -0.956  0.346 -0.901  0.472 -0.855  0.599 -0.812  0.727 -0.770  0.841 -0.708  0.925 -0.603  1.003 -0.497  0.984 -0.364  0.965 -0.231  0.947 -0.098  0.931 0.035  0.914 0.168  0.883 0.299  0.846 0.428  0.796 0.547  0.681 0.616  0.564 0.677  0.430 0.677  0.295 0.677
2#apb#apb10#app1038/m  -0.877 0.279  -0.959 0.128  -1.065 -0.006  -1.154 -0.151  -1.238 -0.300  -1.342 -0.437  -1.443 -0.573  -1.503 -0.679  -1.389 -0.551  -1.283 -0.416  -1.175 -0.283  -1.058 -0.158  -0.926 -0.049  -0.791 0.056  -0.651 0.156  -0.509 0.251  -0.362 0.340  -0.211 0.419  -0.049 0.478  0.119 0.506  0.217 0.416  0.219 0.245  0.135 0.101  0.035 -0.039  -0.060 -0.182  -0.170 -0.311  -0.298 -0.425  -0.388 -0.571  -0.309 -0.519  -0.188 -0.397  -0.059 -0.284  0.076 -0.178  0.208 -0.070  0.338 0.042  0.468 0.155  0.601 0.263  0.734 0.371  0.875 0.468  1.022 0.555  1.172 0.638  1.335 0.692  1.477 0.636  1.473 0.468  1.410 0.308  1.348 0.148  1.285 -0.011  1.214 -0.167  1.178 -0.333  1.183 -0.502  1.336 -0.528
2#apb#apb10#app1038/e  -0.457 0.045  -0.435 0.045  -0.286 0.045  -0.137 0.046  -0.004 0.113  0.130 0.179  0.267 0.237  0.400 0.304  0.529 0.378  0.645 0.471  0.757 0.569  0.834 0.691  0.881 0.832  0.903 0.977  0.808 1.057  0.666 1.105  0.522 1.100  0.376 1.069  0.231 1.037  0.091 0.987  -0.044 0.924  -0.179 0.862  -0.304 0.783  -0.423 0.692  -0.541 0.601  -0.656 0.508  -0.749 0.391  -0.843 0.275  -0.920 0.150  -0.971 0.010  -1.021 -0.130  -1.015 -0.278  -1.001 -0.426  -0.952 -0.563  -0.873 -0.689  -0.763 -0.780  -0.628 -0.842  -0.492 -0.903  -0.344 -0.924  -0.197 -0.944  -0.049 -0.963  0.099 -0.974  0.248 -0.983  0.397 -0.991  0.546 -0.999  0.695 -1.000  0.844 -1.000  0.993 -1.000  1.139 -1.027  1.283 -1.063
