2#tos#f2#f2032060/!  0.638 1.540  0.638 1.465  0.590 1.438  0.590 1.362  0.530 1.346  0.493 1.308  0.493 1.233  0.479 1.160  0.455 1.089  0.432 1.017  0.408 0.946  0.384 0.874  0.360 0.803  0.328 0.735  0.286 0.673  0.243 0.610  0.198 0.550  0.153 0.490  0.108 0.430  0.066 0.367  0.024 0.304  0.009 0.234  0.009 0.158  0.009 0.083  0.009 0.008  0.003 -0.066  -0.039 -0.129  -0.081 -0.191  -0.088 -0.264  -0.088 -0.340  -0.088 -0.415  -0.132 -0.459  -0.203 -0.483  -0.233 -0.537  -0.249 -0.605  -0.281 -0.667  -0.296 -0.740  -0.316 -0.813  -0.336 -0.886  -0.356 -0.959  -0.375 -1.031  -0.395 -1.104  -0.415 -1.177  -0.427 -1.250  -0.437 -1.315  -0.512 -1.315  -0.588 -1.315  -0.663 -1.315  -0.669 -1.385  -0.669 -1.460
2#tos#f2#f2032060/J  -0.086 1.161  -0.104 1.071  -0.212 1.071  -0.304 1.032  -0.381 0.955  -0.409 0.936  -0.301 0.936  -0.192 0.936  -0.085 0.937  -0.008 1.013  0.095 1.026  0.203 1.026  0.311 1.026  0.401 1.071  0.397 1.071  0.289 1.071  0.195 1.037  0.184 0.934  0.184 0.826  0.184 0.717  0.184 0.609  0.170 0.504  0.139 0.404  0.139 0.296  0.160 0.196  0.184 0.098  0.184 -0.010  0.184 -0.118  0.184 -0.226  0.225 -0.317  0.229 -0.424  0.229 -0.532  0.229 -0.640  0.229 -0.749  0.229 -0.857  0.229 -0.965  0.229 -1.073  0.252 -1.175  0.258 -1.263  0.150 -1.263  0.042 -1.263  -0.066 -1.263  -0.174 -1.263  -0.283 -1.263  -0.391 -1.263  -0.499 -1.263  -0.599 -1.231  -0.704 -1.218  -0.804 -1.188  -0.894 -1.129
2#tos#f2#f2032060/K  -0.453 1.752  -0.593 1.710  -0.560 1.510  -0.560 1.302  -0.560 1.095  -0.560 0.887  -0.594 0.684  -0.614 0.480  -0.614 0.272  -0.614 0.064  -0.668 -0.135  -0.668 -0.343  -0.668 -0.550  -0.668 -0.758  -0.722 -0.953  -0.655 -0.950  -0.536 -0.780  -0.416 -0.610  -0.297 -0.440  -0.177 -0.270  -0.058 -0.100  0.062 0.070  0.181 0.240  0.301 0.410  0.420 0.580  0.540 0.750  0.659 0.920  0.661 0.778  0.467 0.706  0.308 0.576  0.129 0.505  -0.018 0.358  -0.187 0.243  -0.352 0.138  -0.506 0.084  -0.376 -0.023  -0.168 -0.023  0.040 -0.023  0.247 -0.023  0.388 -0.111  0.496 -0.273  0.515 -0.473  0.677 -0.520  0.704 -0.724  0.785 -0.912  0.840 -1.103  0.933 -1.289  1.051 -1.438  1.136 -1.598  1.322 -1.690
2#tos#f2#f2032060/L  -0.272 1.697  -0.316 1.649  -0.316 1.557  -0.316 1.465  -0.316 1.373  -0.316 1.281  -0.316 1.189  -0.316 1.097  -0.316 1.005  -0.336 0.916  -0.358 0.827  -0.360 0.735  -0.385 0.651  -0.436 0.574  -0.447 0.485  -0.447 0.393  -0.447 0.301  -0.447 0.209  -0.468 0.122  -0.491 0.036  -0.491 -0.056  -0.491 -0.148  -0.491 -0.240  -0.491 -0.332  -0.491 -0.424  -0.491 -0.516  -0.535 -0.590  -0.524 -0.675  -0.441 -0.713  -0.349 -0.713  -0.257 -0.713  -0.165 -0.713  -0.073 -0.713  0.019 -0.713  0.111 -0.713  0.202 -0.706  0.293 -0.688  0.383 -0.670  0.472 -0.648  0.561 -0.625  0.653 -0.625  0.745 -0.625  0.837 -0.625  0.929 -0.625  1.021 -0.625  1.113 -0.625  1.205 -0.625  1.297 -0.625  1.389 -0.625  1.481 -0.625
2#tos#f2#f2032060/N  -1.285 -0.698  -1.436 -0.698  -1.461 -0.572  -1.389 -0.451  -1.300 -0.332  -1.202 -0.220  -1.149 -0.081  -1.023 0.003  -0.933 0.123  -0.826 0.228  -0.714 0.323  -0.693 0.464  -0.587 0.571  -0.476 0.672  -0.341 0.739  -0.319 0.876  -0.174 0.882  -0.078 0.970  -0.012 0.885  0.042 0.767  0.076 0.638  0.076 0.487  0.076 0.337  0.076 0.186  0.076 0.035  0.076 -0.116  0.076 -0.266  0.076 -0.417  0.076 -0.568  0.076 -0.718  0.076 -0.869  0.076 -1.020  0.109 -1.137  0.194 -1.046  0.241 -0.903  0.305 -0.767  0.372 -0.632  0.453 -0.505  0.555 -0.394  0.607 -0.254  0.714 -0.148  0.802 -0.026  0.903 0.085  1.009 0.192  1.109 0.304  1.198 0.424  1.305 0.531  1.404 0.643  1.512 0.722  1.656 0.750
2#tos#f2#f2032060/O  0.057 1.105  -0.020 1.161  -0.155 1.161  -0.232 1.105  -0.340 1.078  -0.340 0.943  -0.429 0.846  -0.454 0.722  -0.489 0.598  -0.563 0.486  -0.638 0.374  -0.706 0.259  -0.766 0.138  -0.827 0.018  -0.887 -0.102  -0.908 -0.232  -0.908 -0.366  -0.908 -0.500  -0.908 -0.635  -0.908 -0.769  -0.845 -0.846  -0.802 -0.973  -0.684 -0.997  -0.550 -0.997  -0.415 -0.997  -0.281 -0.997  -0.147 -0.997  -0.012 -0.997  0.116 -0.958  0.244 -0.916  0.355 -0.855  0.431 -0.749  0.547 -0.680  0.662 -0.611  0.682 -0.488  0.735 -0.376  0.830 -0.280  0.925 -0.185  0.966 -0.068  0.966 0.067  0.966 0.201  0.966 0.336  0.966 0.470  0.910 0.591  0.909 0.726  0.815 0.776  0.688 0.819  0.568 0.836  0.476 0.877  0.341 0.877
2#tos#f2#f2032060/P  0.345 1.393  0.261 1.261  0.146 1.133  0.091 0.978  0.026 0.807  -0.054 0.644  -0.115 0.471  -0.192 0.304  -0.263 0.134  -0.343 -0.032  -0.412 -0.203  -0.445 -0.384  -0.502 -0.557  -0.585 -0.722  -0.644 -0.896  -0.672 -1.076  -0.707 -1.255  -0.753 -1.433  -0.757 -1.617  -0.736 -1.694  -0.668 -1.523  -0.599 -1.352  -0.530 -1.181  -0.461 -1.010  -0.392 -0.839  -0.323 -0.669  -0.254 -0.498  -0.185 -0.327  -0.116 -0.156  -0.048 0.015  0.021 0.186  0.090 0.357  0.159 0.528  0.228 0.699  0.297 0.870  0.366 1.041  0.473 1.136  0.655 1.138  0.829 1.096  0.963 1.025  0.982 0.844  0.982 0.660  0.963 0.483  0.846 0.341  0.725 0.203  0.594 0.074  0.435 -0.014  0.255 -0.053  0.100 -0.151  -0.079 -0.177
2#tos#f2#f2032060/S  0.674 0.382  0.742 0.446  0.799 0.518  0.799 0.631  0.799 0.744  0.744 0.810  0.674 0.894  0.630 0.964  0.525 0.997  0.425 1.048  0.397 1.144  0.291 1.172  0.178 1.172  0.065 1.172  -0.048 1.172  -0.116 1.126  -0.116 1.013  -0.116 0.900  -0.049 0.814  0.007 0.718  0.009 0.605  0.009 0.492  0.029 0.384  0.079 0.282  0.130 0.181  0.134 0.069  0.134 -0.044  0.134 -0.157  0.134 -0.270  0.134 -0.383  0.134 -0.496  0.134 -0.609  0.134 -0.722  0.131 -0.835  0.103 -0.945  0.045 -1.037  -0.009 -1.124  -0.115 -1.156  -0.220 -1.188  -0.331 -1.198  -0.444 -1.198  -0.557 -1.198  -0.669 -1.191  -0.770 -1.141  -0.822 -1.060  -0.882 -0.972  -0.950 -0.882  -1.008 -0.785  -1.058 -0.684  -1.072 -0.574
2#tos#f2#f2032060/U  -0.136 1.235  -0.183 1.140  -0.295 1.120  -0.409 1.102  -0.521 1.089  -0.557 0.980  -0.630 0.919  -0.682 0.816  -0.712 0.709  -0.712 0.594  -0.712 0.479  -0.712 0.365  -0.720 0.251  -0.756 0.142  -0.761 0.028  -0.761 -0.086  -0.761 -0.201  -0.761 -0.316  -0.761 -0.431  -0.761 -0.545  -0.741 -0.646  -0.632 -0.682  -0.616 -0.785  -0.568 -0.880  -0.501 -0.928  -0.387 -0.928  -0.272 -0.928  -0.157 -0.928  -0.043 -0.928  0.069 -0.908  0.176 -0.868  0.279 -0.817  0.369 -0.751  0.438 -0.659  0.510 -0.570  0.591 -0.489  0.672 -0.408  0.754 -0.327  0.835 -0.246  0.893 -0.151  0.929 -0.042  0.965 0.067  1.001 0.176  1.052 0.277  1.114 0.373  1.114 0.488  1.114 0.603  1.114 0.717  1.114 0.832  1.114 0.947
2#tos#f2#f2032060/W  -0.920 1.146  -1.037 1.107  -1.037 0.950  -0.998 0.803  -0.998 0.646  -0.998 0.490  -0.998 0.333  -0.972 0.180  -0.927 0.030  -0.920 -0.125  -0.905 -0.273  -0.825 -0.388  -0.789 -0.541  -0.763 -0.693  -0.763 -0.849  -0.680 -0.727  -0.590 -0.602  -0.561 -0.458  -0.439 -0.364  -0.400 -0.219  -0.280 -0.123  -0.209 0.016  -0.116 0.140  -0.018 0.244  -0.018 0.323  0.042 0.184  0.060 0.035  0.060 -0.121  0.107 -0.249  0.139 -0.386  0.139 -0.543  0.162 -0.697  0.178 -0.852  0.285 -0.932  0.371 -0.817  0.456 -0.689  0.521 -0.546  0.581 -0.401  0.675 -0.279  0.753 -0.148  0.830 -0.013  0.926 0.111  1.021 0.235  1.110 0.364  1.205 0.489  1.302 0.611  1.406 0.728  1.507 0.847  1.616 0.955  1.707 1.068
2#tos#f2#f2032060/X  -0.481 1.209  -0.660 1.165  -0.647 1.057  -0.498 0.945  -0.441 0.773  -0.370 0.608  -0.328 0.427  -0.276 0.249  -0.220 0.072  -0.158 -0.102  -0.133 -0.284  -0.066 -0.457  -0.021 -0.632  0.062 -0.799  0.072 -0.983  0.164 -1.112  0.250 -1.038  0.316 -0.864  0.382 -0.690  0.448 -0.516  0.514 -0.342  0.580 -0.168  0.646 0.006  0.712 0.180  0.778 0.354  0.844 0.528  0.911 0.702  0.977 0.876  1.043 1.050  1.021 1.163  0.847 1.113  0.680 1.029  0.592 0.906  0.445 0.799  0.314 0.667  0.185 0.533  0.069 0.387  -0.057 0.251  -0.155 0.096  -0.228 -0.075  -0.331 -0.228  -0.446 -0.374  -0.555 -0.525  -0.663 -0.677  -0.747 -0.843  -0.845 -0.998  -0.977 -1.130  -1.090 -1.277  -1.196 -1.430  -1.264 -1.602
2#tos#f2#f2032060/d  0.093 -0.142  -0.027 -0.175  -0.140 -0.080  -0.298 -0.048  -0.464 -0.091  -0.564 -0.243  -0.706 -0.354  -0.745 -0.528  -0.778 -0.707  -0.778 -0.896  -0.778 -1.085  -0.771 -1.272  -0.631 -1.383  -0.481 -1.448  -0.342 -1.355  -0.253 -1.203  -0.187 -1.041  -0.127 -0.864  -0.087 -0.679  -0.035 -0.498  0.007 -0.314  0.040 -0.128  0.077 0.057  0.133 0.237  0.203 0.411  0.296 0.575  0.339 0.754  0.423 0.923  0.508 1.092  0.570 1.268  0.622 1.435  0.622 1.624  0.565 1.756  0.424 1.682  0.373 1.533  0.342 1.357  0.311 1.176  0.249 1.012  0.249 0.824  0.218 0.642  0.209 0.455  0.186 0.269  0.165 0.083  0.155 -0.104  0.155 -0.293  0.128 -0.476  0.124 -0.664  0.124 -0.853  0.124 -1.041  0.155 -1.199
2#tos#f2#f2032060/e  -0.393 -0.486  -0.445 -0.632  -0.590 -0.729  -0.765 -0.764  -0.938 -0.792  -1.069 -0.904  -1.032 -0.964  -0.876 -0.910  -0.709 -0.851  -0.579 -0.732  -0.442 -0.619  -0.291 -0.525  -0.132 -0.445  0.002 -0.331  0.100 -0.183  0.192 -0.030  0.276 0.126  0.383 0.269  0.507 0.393  0.635 0.507  0.703 0.669  0.819 0.802  0.862 0.970  0.862 1.148  0.842 1.306  0.742 1.384  0.606 1.426  0.428 1.426  0.313 1.342  0.141 1.306  0.083 1.185  -0.060 1.078  -0.154 0.947  -0.154 0.769  -0.259 0.656  -0.303 0.499  -0.393 0.358  -0.393 0.180  -0.393 0.002  -0.344 -0.165  -0.225 -0.295  -0.174 -0.464  -0.088 -0.612  0.011 -0.757  0.050 -0.917  0.209 -0.996  0.368 -1.076  0.523 -1.163  0.684 -1.203  0.862 -1.203
2#tos#f2#f2032060/g  0.314 0.950  0.345 1.105  0.438 1.218  0.438 1.386  0.411 1.528  0.243 1.528  0.088 1.487  -0.041 1.380  -0.138 1.243  -0.251 1.119  -0.347 0.983  -0.347 0.815  -0.305 0.664  -0.202 0.558  -0.037 0.537  0.131 0.537  0.288 0.575  0.396 0.666  0.396 0.571  0.396 0.403  0.314 0.286  0.292 0.120  0.251 -0.043  0.231 -0.209  0.214 -0.373  0.152 -0.529  0.089 -0.685  0.066 -0.849  0.018 -0.997  -0.058 -1.134  -0.070 -1.298  -0.140 -1.445  -0.181 -1.604  -0.332 -1.582  -0.490 -1.532  -0.557 -1.399  -0.612 -1.252  -0.677 -1.104  -0.677 -0.936  -0.614 -0.782  -0.526 -0.640  -0.393 -0.540  -0.291 -0.407  -0.153 -0.316  -0.013 -0.224  0.115 -0.116  0.234 0.003  0.369 0.083  0.535 0.090  0.685 0.166
2#tos#f2#f2032060/h  -0.730 -1.219  -0.905 -1.219  -0.860 -1.084  -0.735 -0.975  -0.621 -0.844  -0.488 -0.737  -0.381 -0.606  -0.268 -0.474  -0.144 -0.351  -0.051 -0.206  0.036 -0.054  0.135 0.089  0.247 0.223  0.299 0.386  0.371 0.545  0.398 0.713  0.491 0.849  0.524 1.020  0.524 1.194  0.524 1.369  0.458 1.477  0.382 1.603  0.270 1.666  0.148 1.613  0.054 1.477  -0.009 1.329  -0.072 1.193  -0.103 1.025  -0.135 0.856  -0.135 0.681  -0.135 0.506  -0.135 0.331  -0.141 0.157  -0.166 -0.015  -0.167 -0.189  -0.197 -0.361  -0.197 -0.535  -0.229 -0.704  -0.260 -0.873  -0.260 -1.047  -0.278 -1.089  -0.160 -0.981  -0.082 -0.826  0.081 -0.780  0.200 -0.660  0.341 -0.688  0.501 -0.757  0.587 -0.896  0.699 -1.009  0.775 -1.125
2#tos#f2#f2032060/j  0.699 1.996  0.581 1.878  0.568 1.699  0.537 1.528  0.450 1.374  0.339 1.227  0.227 1.080  0.116 0.933  0.004 0.786  -0.107 0.640  -0.219 0.493  -0.308 0.338  -0.424 0.244  -0.538 0.113  -0.471 0.225  -0.412 0.399  -0.290 0.504  -0.120 0.551  0.028 0.638  0.130 0.556  0.130 0.371  0.130 0.187  0.130 0.002  0.101 -0.178  0.086 -0.361  0.028 -0.535  -0.040 -0.707  -0.045 -0.890  -0.106 -1.060  -0.133 -1.238  -0.183 -1.407  -0.290 -1.484  -0.463 -1.430  -0.582 -1.293  -0.716 -1.172  -0.760 -1.012  -0.834 -0.850  -0.796 -0.681  -0.632 -0.631  -0.475 -0.542  -0.298 -0.493  -0.150 -0.382  0.021 -0.317  0.195 -0.255  0.367 -0.194  0.552 -0.194  0.723 -0.138  0.900 -0.106  1.084 -0.106  1.268 -0.106
2#tos#f2#f2032060/k  -1.160 -0.776  -1.329 -0.848  -1.144 -0.878  -0.944 -0.810  -0.811 -0.655  -0.670 -0.495  -0.517 -0.348  -0.351 -0.214  -0.221 -0.051  -0.102 0.127  0.028 0.299  0.165 0.458  0.330 0.593  0.450 0.772  0.569 0.951  0.655 1.148  0.774 1.306  0.774 1.522  0.670 1.633  0.454 1.633  0.239 1.633  0.152 1.452  0.028 1.301  -0.074 1.122  -0.074 0.906  -0.108 0.699  -0.142 0.489  -0.142 0.273  -0.219 0.079  -0.244 -0.130  -0.294 -0.334  -0.312 -0.545  -0.379 -0.747  -0.397 -0.946  -0.404 -0.927  -0.329 -0.727  -0.210 -0.557  -0.093 -0.421  0.068 -0.281  0.247 -0.233  0.435 -0.287  0.570 -0.406  0.438 -0.536  0.251 -0.606  0.243 -0.674  0.401 -0.732  0.497 -0.875  0.560 -1.059  0.728 -1.149  0.944 -1.149
2#tos#f2#f2032060/n  -1.316 0.238  -1.490 0.208  -1.633 0.219  -1.500 0.326  -1.356 0.429  -1.222 0.544  -1.053 0.594  -0.889 0.663  -0.740 0.762  -0.572 0.821  -0.412 0.901  -0.265 0.996  -0.099 1.063  0.075 1.083  0.216 1.046  0.216 0.867  0.216 0.689  0.173 0.520  0.164 0.344  0.058 0.231  0.033 0.056  0.005 -0.118  -0.111 -0.248  -0.153 -0.409  -0.206 -0.575  -0.219 -0.752  -0.259 -0.924  -0.279 -1.083  -0.272 -1.083  -0.232 -0.923  -0.168 -0.757  -0.095 -0.595  -0.048 -0.427  -0.001 -0.256  0.132 -0.142  0.268 -0.027  0.322 0.129  0.428 0.242  0.557 0.291  0.692 0.216  0.745 0.059  0.797 -0.097  0.850 -0.254  0.908 -0.410  0.956 -0.581  1.062 -0.654  1.168 -0.766  1.338 -0.818  1.517 -0.818  1.696 -0.818
2#tos#f2#f2032060/o  0.118 1.308  0.003 1.236  -0.128 1.205  -0.230 1.103  -0.333 1.001  -0.455 0.949  -0.520 0.821  -0.585 0.692  -0.628 0.562  -0.697 0.440  -0.743 0.304  -0.789 0.167  -0.842 0.033  -0.887 -0.101  -0.887 -0.245  -0.887 -0.389  -0.887 -0.534  -0.887 -0.678  -0.887 -0.822  -0.815 -0.895  -0.728 -1.003  -0.607 -1.060  -0.463 -1.060  -0.319 -1.060  -0.174 -1.060  -0.030 -1.060  0.103 -1.022  0.223 -0.942  0.357 -0.893  0.497 -0.858  0.577 -0.758  0.627 -0.625  0.747 -0.545  0.835 -0.447  0.835 -0.303  0.914 -0.192  1.016 -0.089  1.050 0.041  1.050 0.185  1.050 0.329  1.006 0.463  0.920 0.577  0.811 0.662  0.667 0.662  0.523 0.662  0.378 0.662  0.234 0.662  0.090 0.662  -0.055 0.662  -0.169 0.590
2#tos#f2#f2032060/s  -1.224 -0.566  -1.364 -0.636  -1.376 -0.781  -1.347 -0.781  -1.216 -0.749  -1.178 -0.598  -1.117 -0.459  -1.007 -0.349  -0.905 -0.231  -0.819 -0.101  -0.715 0.015  -0.605 0.125  -0.525 0.258  -0.438 0.387  -0.344 0.511  -0.243 0.630  -0.136 0.743  -0.050 0.873  -0.004 1.015  0.068 1.133  0.198 1.219  0.211 1.369  0.354 1.361  0.377 1.228  0.426 1.120  0.426 0.964  0.426 0.808  0.426 0.652  0.426 0.496  0.426 0.340  0.426 0.184  0.426 0.028  0.426 -0.128  0.426 -0.285  0.426 -0.441  0.404 -0.588  0.341 -0.710  0.185 -0.710  0.029 -0.710  -0.025 -0.710  0.131 -0.710  0.279 -0.676  0.426 -0.638  0.583 -0.638  0.739 -0.638  0.823 -0.566  0.979 -0.566  1.121 -0.506  1.274 -0.494  1.431 -0.494
2#tos#f2#f2032060/t  -0.752 0.640  -0.808 0.503  -0.928 0.473  -1.078 0.473  -1.086 0.332  -1.017 0.251  -0.878 0.299  -0.730 0.306  -0.582 0.329  -0.435 0.359  -0.289 0.394  -0.142 0.418  0.008 0.418  0.158 0.418  0.308 0.419  0.450 0.466  0.599 0.473  0.676 0.555  0.591 0.678  0.505 0.802  0.420 0.925  0.335 1.048  0.249 1.172  0.142 1.252  0.082 1.162  0.082 1.012  0.082 0.862  0.082 0.712  0.082 0.562  0.082 0.412  0.082 0.262  0.082 0.112  0.074 -0.035  -0.032 -0.141  -0.085 -0.269  -0.085 -0.419  -0.085 -0.569  -0.085 -0.719  -0.085 -0.869  -0.085 -1.019  -0.047 -1.160  -0.029 -1.306  0.082 -1.387  0.181 -1.484  0.298 -1.578  0.445 -1.585  0.595 -1.585  0.733 -1.538  0.866 -1.469  0.972 -1.363
2#tos#f2#f2032060/u  -1.403 -0.182  -1.470 -0.315  -1.527 -0.453  -1.619 -0.535  -1.561 -0.490  -1.420 -0.450  -1.281 -0.395  -1.145 -0.333  -1.050 -0.278  -1.047 -0.130  -0.905 -0.083  -0.780 -0.001  -0.713 0.125  -0.637 0.252  -0.547 0.372  -0.470 0.499  -0.364 0.605  -0.244 0.676  -0.243 0.627  -0.243 0.478  -0.243 0.328  -0.243 0.178  -0.243 0.028  -0.243 -0.121  -0.243 -0.271  -0.155 -0.333  -0.006 -0.333  0.085 -0.244  0.196 -0.146  0.302 -0.040  0.354 0.099  0.482 0.161  0.596 0.254  0.665 0.375  0.750 0.492  0.866 0.550  0.816 0.471  0.816 0.321  0.816 0.171  0.765 0.072  0.765 -0.078  0.786 -0.223  0.878 -0.333  1.028 -0.333  1.172 -0.298  1.319 -0.282  1.457 -0.224  1.594 -0.165  1.718 -0.086  1.824 0.020
2#tos#f2#f2032060/v  -1.496 0.045  -1.496 0.182  -1.449 0.273  -1.339 0.352  -1.255 0.428  -1.120 0.450  -1.028 0.510  -0.932 0.606  -0.810 0.658  -0.685 0.699  -0.600 0.773  -0.468 0.793  -0.436 0.669  -0.374 0.557  -0.374 0.420  -0.374 0.282  -0.374 0.144  -0.374 0.007  -0.414 -0.124  -0.420 -0.261  -0.420 -0.398  -0.420 -0.536  -0.420 -0.673  -0.411 -0.807  -0.374 -0.929  -0.291 -0.984  -0.168 -0.957  -0.092 -0.843  0.023 -0.767  0.060 -0.650  0.141 -0.563  0.237 -0.464  0.314 -0.355  0.425 -0.276  0.502 -0.167  0.615 -0.089  0.709 0.011  0.770 0.134  0.796 0.266  0.874 0.325  0.936 0.344  0.922 0.260  0.993 0.180  1.076 0.093  1.165 0.045  1.303 0.045  1.440 0.045  1.578 0.045  1.710 0.062  1.824 0.138
2#tos#f2#f2032060/y  -0.440 0.945  -0.629 0.945  -0.660 0.859  -0.531 0.945  -0.411 1.073  -0.237 1.123  -0.094 1.246  0.069 1.326  0.100 1.254  -0.001 1.096  -0.073 0.927  -0.140 0.765  -0.071 0.645  0.118 0.645  0.306 0.652  0.481 0.710  0.587 0.830  0.530 0.988  0.416 1.058  0.416 0.869  0.380 0.695  0.373 0.508  0.337 0.325  0.330 0.137  0.299 -0.048  0.262 -0.233  0.235 -0.420  0.211 -0.608  0.165 -0.791  0.159 -0.979  0.152 -1.167  0.067 -1.336  -0.012 -1.506  -0.098 -1.643  -0.179 -1.665  -0.279 -1.570  -0.423 -1.485  -0.516 -1.332  -0.582 -1.167  -0.611 -0.985  -0.601 -0.800  -0.499 -0.646  -0.364 -0.553  -0.244 -0.424  -0.087 -0.383  0.001 -0.253  0.189 -0.243  0.358 -0.163  0.526 -0.082  0.715 -0.082
