2#tos#t2#t2051065/!  -0.001 1.694  -0.001 1.619  -0.044 1.588  -0.044 1.513  -0.044 1.439  -0.044 1.364  -0.030 1.304  -0.001 1.258  -0.001 1.183  -0.001 1.109  -0.001 1.034  -0.001 0.959  -0.001 0.885  -0.001 0.810  -0.001 0.735  -0.001 0.661  -0.001 0.586  -0.001 0.511  -0.001 0.436  -0.001 0.362  -0.001 0.287  -0.001 0.212  -0.001 0.138  -0.001 0.063  -0.001 -0.012  -0.001 -0.086  -0.001 -0.161  -0.001 -0.236  0.042 -0.267  0.042 -0.342  0.042 -0.416  0.042 -0.491  0.086 -0.522  0.080 -0.597  0.067 -0.670  0.055 -0.744  0.043 -0.818  0.031 -0.891  0.018 -0.965  0.006 -1.039  -0.029 -1.095  -0.088 -1.134  -0.088 -1.208  -0.088 -1.283  -0.028 -1.298  -0.001 -1.346  -0.001 -1.421  -0.001 -1.495  -0.001 -1.570  -0.001 -1.645
2#tos#t2#t2051065/M  -0.662 0.629  -0.741 0.590  -0.780 0.403  -0.780 0.206  -0.816 0.014  -0.819 -0.181  -0.833 -0.373  -0.898 -0.550  -0.898 -0.746  -0.898 -0.943  -0.891 -0.980  -0.860 -0.786  -0.828 -0.592  -0.796 -0.398  -0.765 -0.205  -0.733 -0.011  -0.702 0.183  -0.670 0.376  -0.639 0.570  -0.710 0.625  -0.780 0.550  -0.741 0.370  -0.662 0.229  -0.584 0.089  -0.464 -0.042  -0.427 -0.230  -0.270 -0.292  -0.111 -0.352  0.069 -0.392  0.162 -0.258  0.252 -0.126  0.398 -0.036  0.443 0.147  0.552 0.310  0.633 0.457  0.761 0.575  0.833 0.722  0.989 0.831  1.062 0.982  1.104 0.805  1.104 0.608  1.143 0.428  1.180 0.241  1.222 0.054  1.261 -0.103  1.261 -0.299  1.300 -0.486  1.300 -0.682  1.344 -0.871  1.379 -1.059
2#tos#t2#t2051065/N  -0.624 0.787  -0.740 0.705  -0.740 0.536  -0.740 0.367  -0.740 0.199  -0.740 0.030  -0.740 -0.139  -0.812 -0.286  -0.817 -0.453  -0.848 -0.617  -0.856 -0.784  -0.856 -0.793  -0.835 -0.625  -0.809 -0.459  -0.783 -0.292  -0.757 -0.125  -0.731 0.041  -0.705 0.208  -0.679 0.375  -0.688 0.517  -0.740 0.477  -0.674 0.336  -0.581 0.198  -0.547 0.037  -0.432 -0.061  -0.313 -0.181  -0.211 -0.315  -0.095 -0.426  0.053 -0.478  0.187 -0.565  0.294 -0.680  0.463 -0.680  0.614 -0.721  0.768 -0.757  0.920 -0.774  0.997 -0.803  0.997 -0.634  1.036 -0.474  1.036 -0.306  1.036 -0.137  1.036 0.032  1.036 0.201  1.065 0.366  1.074 0.533  1.074 0.702  1.074 0.871  1.074 1.039  1.074 1.208  1.003 1.353  0.920 1.443
2#tos#t2#t2051065/O  0.499 1.051  0.402 0.989  0.278 0.955  0.210 1.046  0.059 1.045  0.014 0.907  -0.138 0.877  -0.267 0.789  -0.378 0.684  -0.450 0.552  -0.541 0.437  -0.594 0.295  -0.689 0.170  -0.773 0.035  -0.802 -0.115  -0.802 -0.273  -0.879 -0.385  -0.898 -0.531  -0.923 -0.684  -0.947 -0.838  -0.947 -0.996  -0.885 -1.130  -0.759 -1.208  -0.602 -1.213  -0.444 -1.213  -0.285 -1.213  -0.170 -1.132  -0.045 -1.069  0.099 -1.004  0.190 -0.888  0.305 -0.828  0.446 -0.785  0.499 -0.636  0.630 -0.547  0.692 -0.407  0.822 -0.329  0.884 -0.208  0.902 -0.052  0.981 0.053  0.972 0.211  0.908 0.353  0.788 0.442  0.760 0.583  0.618 0.654  0.521 0.777  0.395 0.866  0.301 0.955  0.142 0.955  -0.017 0.955  -0.079 1.051
2#tos#t2#t2051065/R  -0.374 1.177  -0.476 1.046  -0.593 0.896  -0.636 0.681  -0.636 0.448  -0.636 0.215  -0.636 -0.019  -0.636 -0.252  -0.636 -0.485  -0.636 -0.718  -0.623 -0.948  -0.539 -0.974  -0.509 -0.742  -0.480 -0.511  -0.450 -0.280  -0.421 -0.049  -0.391 0.183  -0.362 0.414  -0.332 0.645  -0.303 0.876  -0.393 1.002  -0.559 1.002  -0.336 1.043  -0.103 1.046  0.130 1.046  0.363 1.046  0.596 1.046  0.806 0.956  0.937 0.854  0.980 0.638  0.893 0.456  0.769 0.347  0.649 0.172  0.427 0.143  0.282 -0.032  0.078 -0.143  -0.113 -0.266  -0.318 -0.352  -0.503 -0.417  -0.377 -0.482  -0.186 -0.584  0.016 -0.658  0.155 -0.789  0.369 -0.834  0.523 -0.998  0.717 -1.123  0.925 -1.222  1.021 -1.401  1.230 -1.480  1.330 -1.620
2#tos#t2#t2051065/V  -0.513 0.227  -0.680 0.271  -0.638 0.156  -0.638 -0.055  -0.596 -0.256  -0.527 -0.454  -0.513 -0.661  -0.439 -0.849  -0.378 -1.035  -0.306 -1.228  -0.184 -1.396  -0.054 -1.529  0.035 -1.651  0.115 -1.602  0.155 -1.396  0.240 -1.217  0.355 -1.041  0.449 -0.852  0.527 -0.657  0.607 -0.462  0.662 -0.259  0.745 -0.065  0.807 0.128  0.864 0.315  0.864 0.511  0.688 0.492  0.478 0.509  0.267 0.527  0.057 0.544  -0.153 0.562  -0.363 0.579  -0.573 0.597  -0.784 0.614  -0.994 0.632  -1.197 0.615  -1.248 0.477  -1.037 0.477  -0.836 0.519  -0.625 0.521  -0.418 0.563  -0.211 0.604  -0.005 0.645  0.202 0.687  0.409 0.728  0.616 0.770  0.822 0.811  0.739 0.651  0.859 0.644  1.070 0.644  1.281 0.644
2#tos#t2#t2051065/Y  -0.379 0.939  -0.552 0.939  -0.668 1.014  -0.636 0.879  -0.617 0.709  -0.594 0.540  -0.568 0.374  -0.508 0.215  -0.508 0.043  -0.444 -0.111  -0.379 -0.264  -0.293 -0.351  -0.160 -0.391  -0.040 -0.307  0.093 -0.208  0.145 -0.073  0.251 0.040  0.352 0.155  0.440 0.303  0.539 0.442  0.671 0.552  0.739 0.689  0.804 0.848  0.879 0.996  0.983 1.131  1.037 1.221  0.965 1.077  0.846 0.951  0.728 0.826  0.610 0.700  0.492 0.574  0.373 0.449  0.255 0.323  0.137 0.197  0.018 0.072  -0.100 -0.054  -0.218 -0.180  -0.336 -0.306  -0.414 -0.460  -0.480 -0.605  -0.508 -0.664  -0.451 -0.820  -0.411 -0.982  -0.379 -1.149  -0.336 -1.312  -0.293 -1.467  -0.293 -1.639  -0.293 -1.812  -0.251 -1.978  -0.250 -2.064
2#tos#t2#t2051065/a  0.276 0.808  0.289 0.744  0.276 0.908  0.205 1.064  0.084 1.121  -0.087 1.127  -0.265 1.127  -0.378 1.064  -0.520 1.005  -0.623 0.863  -0.727 0.744  -0.873 0.713  -0.976 0.578  -1.001 0.411  -1.001 0.233  -1.001 0.056  -1.001 -0.122  -1.001 -0.300  -1.001 -0.477  -0.942 -0.596  -0.892 -0.724  -0.778 -0.787  -0.665 -0.851  -0.487 -0.851  -0.389 -0.750  -0.232 -0.711  -0.189 -0.539  -0.107 -0.390  -0.107 -0.212  -0.059 -0.069  0.103 -0.003  0.212 0.093  0.212 0.270  0.276 0.384  0.276 0.544  0.276 0.367  0.276 0.189  0.276 0.011  0.333 -0.143  0.438 -0.283  0.580 -0.341  0.690 -0.435  0.797 -0.532  0.914 -0.593  1.062 -0.660  1.165 -0.780  1.338 -0.787  1.516 -0.787  1.630 -0.851  1.807 -0.851
2#tos#t2#t2051065/c  0.257 1.410  0.243 1.271  0.209 1.136  0.266 1.044  0.305 0.909  0.305 0.768  0.354 0.638  0.447 0.589  0.491 0.493  0.402 0.530  0.402 0.672  0.371 0.782  0.278 0.831  0.137 0.831  -0.004 0.831  -0.098 0.782  -0.205 0.728  -0.316 0.656  -0.430 0.579  -0.555 0.541  -0.644 0.435  -0.732 0.325  -0.846 0.259  -0.902 0.141  -0.944 0.016  -0.999 -0.102  -0.999 -0.243  -0.999 -0.385  -0.999 -0.526  -0.912 -0.614  -0.826 -0.723  -0.710 -0.764  -0.661 -0.856  -0.572 -0.908  -0.431 -0.908  -0.290 -0.908  -0.148 -0.908  -0.007 -0.908  0.135 -0.908  0.276 -0.908  0.417 -0.908  0.555 -0.900  0.660 -0.808  0.797 -0.774  0.908 -0.717  1.010 -0.629  1.137 -0.570  1.223 -0.515  1.275 -0.425  1.368 -0.377
2#tos#t2#t2051065/d  0.165 -0.308  0.165 -0.287  0.118 -0.125  0.036 0.045  -0.151 0.116  -0.360 0.116  -0.569 0.116  -0.729 0.067  -0.751 -0.119  -0.947 -0.149  -1.043 -0.324  -1.105 -0.518  -1.105 -0.727  -1.105 -0.936  -0.993 -1.079  -0.818 -1.160  -0.626 -1.202  -0.418 -1.202  -0.211 -1.199  -0.109 -1.033  0.036 -0.905  0.233 -0.839  0.353 -0.740  0.361 -0.532  0.369 -0.323  0.376 -0.115  0.384 0.094  0.392 0.303  0.399 0.511  0.407 0.720  0.415 0.928  0.423 1.137  0.430 1.346  0.438 1.554  0.446 1.763  0.306 1.790  0.306 1.581  0.306 1.372  0.306 1.164  0.306 0.955  0.336 0.750  0.353 0.543  0.353 0.334  0.353 0.126  0.353 -0.083  0.353 -0.292  0.353 -0.501  0.353 -0.709  0.353 -0.918  0.400 -1.108
2#tos#t2#t2051065/f  0.838 0.845  0.739 0.717  0.649 0.715  0.589 0.899  0.507 1.047  0.488 1.236  0.319 1.341  0.140 1.401  0.013 1.507  -0.155 1.538  -0.297 1.513  -0.297 1.314  -0.297 1.115  -0.297 0.916  -0.297 0.716  -0.297 0.517  -0.277 0.322  -0.203 0.137  -0.202 -0.062  -0.114 -0.234  -0.034 -0.416  -0.013 -0.612  0.066 -0.787  0.082 -0.981  0.082 -1.180  0.082 -1.379  0.090 -1.575  0.102 -1.479  -0.007 -1.312  -0.116 -1.145  -0.226 -0.979  -0.335 -0.812  -0.444 -0.646  -0.553 -0.479  -0.662 -0.313  -0.772 -0.148  -0.877 -0.243  -1.031 -0.243  -0.832 -0.243  -0.633 -0.243  -0.434 -0.243  -0.235 -0.243  -0.035 -0.243  0.164 -0.243  0.363 -0.243  0.562 -0.243  0.761 -0.243  0.960 -0.243  1.112 -0.196  1.264 -0.148
2#tos#t2#t2051065/g  0.388 1.050  0.264 0.952  0.238 1.045  0.238 1.248  0.215 1.446  0.045 1.499  -0.158 1.499  -0.361 1.499  -0.414 1.350  -0.512 1.243  -0.561 1.046  -0.586 0.849  -0.659 0.700  -0.711 0.549  -0.711 0.346  -0.578 0.218  -0.402 0.151  -0.199 0.151  -0.001 0.162  0.086 0.301  0.238 0.352  0.288 0.505  0.288 0.708  0.288 0.589  0.288 0.386  0.288 0.183  0.288 -0.020  0.288 -0.223  0.288 -0.426  0.338 -0.579  0.388 -0.762  0.388 -0.965  0.438 -1.147  0.438 -1.309  0.323 -1.397  0.140 -1.445  -0.042 -1.497  -0.235 -1.473  -0.408 -1.400  -0.460 -1.247  -0.461 -1.045  -0.461 -0.842  -0.361 -0.709  -0.269 -0.598  -0.066 -0.598  0.060 -0.505  0.228 -0.448  0.431 -0.448  0.634 -0.448  0.788 -0.498
2#tos#t2#t2051065/h  -0.252 1.641  -0.369 1.627  -0.438 1.563  -0.526 1.519  -0.526 1.387  -0.526 1.255  -0.526 1.123  -0.526 0.991  -0.526 0.859  -0.554 0.735  -0.622 0.622  -0.643 0.496  -0.643 0.364  -0.643 0.232  -0.643 0.100  -0.643 -0.032  -0.643 -0.164  -0.643 -0.296  -0.643 -0.428  -0.550 -0.522  -0.526 -0.644  -0.487 -0.759  -0.487 -0.749  -0.487 -0.617  -0.431 -0.502  -0.395 -0.390  -0.369 -0.284  -0.331 -0.176  -0.283 -0.074  -0.198 0.000  -0.066 0.000  0.066 0.000  0.192 -0.026  0.277 -0.092  0.373 -0.173  0.451 -0.227  0.511 -0.317  0.555 -0.441  0.607 -0.530  0.644 -0.656  0.715 -0.742  0.808 -0.781  0.940 -0.781  1.072 -0.781  1.115 -0.692  1.219 -0.664  1.272 -0.585  1.363 -0.529  1.452 -0.469  1.506 -0.390
2#tos#t2#t2051065/n  -0.714 0.678  -0.859 0.678  -0.890 0.565  -0.911 0.433  -1.008 0.348  -1.008 0.203  -1.008 0.059  -1.008 -0.086  -1.008 -0.231  -1.008 -0.375  -1.008 -0.520  -1.008 -0.665  -0.928 -0.730  -0.784 -0.730  -0.773 -0.596  -0.759 -0.454  -0.714 -0.317  -0.686 -0.176  -0.656 -0.037  -0.588 0.066  -0.538 0.180  -0.538 0.325  -0.421 0.352  -0.383 0.481  -0.362 0.617  -0.244 0.678  -0.100 0.678  0.045 0.678  0.131 0.619  0.166 0.510  0.283 0.482  0.378 0.396  0.459 0.324  0.498 0.189  0.518 0.049  0.577 -0.072  0.642 -0.176  0.694 -0.288  0.694 -0.433  0.810 -0.495  0.896 -0.554  1.041 -0.554  1.145 -0.455  1.282 -0.437  1.426 -0.437  1.457 -0.322  1.515 -0.202  1.653 -0.156  1.732 -0.064  1.867 -0.026
2#tos#t2#t2051065/p  0.234 0.971  0.113 0.878  0.111 0.665  0.016 0.473  -0.008 0.265  -0.008 0.052  -0.008 -0.162  -0.008 -0.376  -0.008 -0.590  -0.069 -0.778  -0.069 -0.992  -0.069 -1.206  -0.069 -1.420  -0.069 -1.634  0.052 -1.748  0.036 -1.538  -0.056 -1.344  -0.147 -1.151  -0.238 -0.958  -0.329 -0.764  -0.421 -0.571  -0.512 -0.378  -0.603 -0.185  -0.695 0.009  -0.786 0.202  -0.877 0.395  -0.968 0.589  -1.170 0.607  -1.126 0.714  -0.966 0.850  -0.777 0.910  -0.563 0.910  -0.350 0.910  -0.136 0.910  0.078 0.910  0.292 0.910  0.505 0.910  0.719 0.910  0.908 0.850  1.096 0.789  1.143 0.621  1.143 0.408  1.107 0.208  0.977 0.070  0.840 -0.059  0.635 -0.082  0.558 -0.241  0.345 -0.241  0.145 -0.301  0.052 -0.180
2#tos#t2#t2051065/q  0.424 1.019  0.285 0.881  0.271 0.941  0.205 1.070  0.008 1.070  -0.188 1.070  -0.371 1.009  -0.554 0.939  -0.746 0.917  -0.908 0.813  -1.056 0.697  -1.107 0.521  -1.158 0.337  -1.158 0.141  -1.073 0.001  -0.926 -0.080  -0.842 -0.205  -0.647 -0.208  -0.500 -0.257  -0.303 -0.257  -0.133 -0.162  0.046 -0.090  0.240 -0.058  0.409 0.035  0.570 0.147  0.441 0.203  0.453 0.379  0.497 0.571  0.542 0.762  0.540 0.917  0.449 0.802  0.373 0.652  0.280 0.513  0.271 0.322  0.271 0.126  0.373 0.031  0.373 -0.165  0.373 -0.362  0.373 -0.558  0.423 -0.739  0.498 -0.915  0.577 -1.054  0.577 -1.250  0.577 -1.446  0.469 -1.538  0.343 -1.635  0.146 -1.635  0.067 -1.517  -0.043 -1.430  -0.035 -1.328
2#tos#t2#t2051065/s  1.027 0.553  0.895 0.440  0.687 0.510  0.573 0.642  0.440 0.800  0.346 1.006  0.101 1.007  -0.121 1.064  -0.367 1.064  -0.548 0.907  -0.787 0.894  -0.855 0.690  -0.895 0.475  -0.818 0.251  -0.623 0.104  -0.505 -0.093  -0.354 -0.259  -0.232 -0.436  -0.089 -0.562  -0.051 -0.799  -0.047 -0.865  -0.122 -1.035  -0.368 -1.035  -0.500 -0.922  -0.632 -0.809  -0.732 -0.663  -0.840 -0.525  -0.845 -0.765  -0.788 -0.997  -0.788 -1.243  -0.733 -1.433  -0.596 -1.229  -0.460 -1.025  -0.323 -0.820  -0.187 -0.616  -0.051 -0.411  0.085 -0.207  0.222 -0.003  0.358 0.202  0.494 0.406  0.630 0.610  0.767 0.815  0.903 1.019  0.857 1.110  0.857 0.864  0.961 0.723  0.970 0.487  0.970 0.241  0.970 -0.005  1.141 -0.128
2#tos#t2#t2051065/t  -0.589 0.861  -0.730 0.784  -0.859 0.688  -0.999 0.624  -0.976 0.596  -0.840 0.513  -0.680 0.505  -0.519 0.505  -0.358 0.505  -0.221 0.446  -0.060 0.446  0.101 0.446  0.262 0.446  0.424 0.446  0.585 0.446  0.588 0.507  0.470 0.616  0.351 0.725  0.232 0.834  0.113 0.943  -0.006 1.052  -0.149 1.098  -0.233 1.020  -0.294 0.920  -0.352 0.816  -0.352 0.655  -0.352 0.494  -0.352 0.332  -0.352 0.171  -0.352 0.010  -0.352 -0.151  -0.352 -0.312  -0.352 -0.474  -0.352 -0.635  -0.352 -0.796  -0.310 -0.916  -0.270 -1.046  -0.174 -1.147  -0.078 -1.212  0.084 -1.212  0.245 -1.212  0.406 -1.212  0.566 -1.195  0.724 -1.163  0.872 -1.104  1.017 -1.035  1.178 -1.035  1.248 -0.942  1.323 -0.857  1.425 -0.798
2#tos#t2#t2051065/u  -0.516 1.439  -0.672 1.426  -0.804 1.361  -0.804 1.200  -0.804 1.038  -0.804 0.876  -0.870 0.730  -0.876 0.570  -0.876 0.408  -0.876 0.246  -0.876 0.085  -0.876 -0.077  -0.876 -0.239  -0.876 -0.400  -0.876 -0.562  -0.804 -0.652  -0.673 -0.724  -0.511 -0.724  -0.377 -0.658  -0.262 -0.543  -0.148 -0.429  -0.034 -0.314  0.015 -0.168  0.102 -0.034  0.216 0.080  0.277 0.216  0.277 0.378  0.277 0.540  0.335 0.688  0.350 0.846  0.350 0.860  0.277 0.770  0.277 0.609  0.277 0.447  0.277 0.285  0.328 0.132  0.350 -0.026  0.350 -0.188  0.350 -0.350  0.403 -0.489  0.494 -0.613  0.566 -0.703  0.627 -0.827  0.710 -0.937  0.869 -0.941  1.030 -0.941  1.192 -0.941  1.354 -0.941  1.515 -0.941  1.647 -0.868
2#tos#t2#t2051065/w  -0.844 0.807  -0.927 0.739  -1.078 0.739  -1.184 0.694  -1.184 0.543  -1.184 0.392  -1.163 0.262  -1.116 0.158  -1.063 0.020  -1.048 -0.128  -0.990 -0.243  -0.912 -0.346  -0.846 -0.482  -0.844 -0.632  -0.752 -0.691  -0.640 -0.652  -0.640 -0.501  -0.578 -0.365  -0.511 -0.229  -0.503 -0.080  -0.503 0.071  -0.484 0.214  -0.367 0.277  -0.299 0.301  -0.199 0.231  -0.095 0.123  -0.034 -0.003  0.093 -0.061  0.178 -0.177  0.246 -0.260  0.304 -0.370  0.447 -0.418  0.518 -0.498  0.545 -0.623  0.696 -0.623  0.779 -0.691  0.891 -0.628  0.927 -0.485  0.995 -0.402  1.040 -0.262  1.063 -0.116  1.095 0.022  1.131 0.158  1.131 0.309  1.131 0.460  1.140 0.603  1.291 0.603  1.404 0.641  1.404 0.792  1.540 0.807
2#tos#t2#t2051065/x  1.025 1.700  1.007 1.525  0.937 1.403  0.937 1.210  0.781 1.175  0.762 1.001  0.689 0.839  0.553 0.703  0.402 0.585  0.242 0.478  0.238 0.289  0.133 0.161  -0.039 0.075  -0.205 0.016  -0.252 -0.170  -0.329 -0.333  -0.462 -0.442  -0.522 -0.574  -0.715 -0.574  -0.724 -0.757  -0.749 -0.924  -0.784 -0.797  -0.742 -0.610  -0.700 -0.422  -0.659 -0.234  -0.617 -0.047  -0.575 0.141  -0.533 0.329  -0.492 0.516  -0.517 0.650  -0.709 0.650  -0.902 0.650  -0.891 0.602  -0.719 0.516  -0.566 0.404  -0.430 0.268  -0.324 0.111  -0.226 -0.054  -0.119 -0.214  0.006 -0.359  0.113 -0.519  0.255 -0.644  0.415 -0.749  0.587 -0.769  0.587 -0.961  0.729 -1.011  0.850 -1.083  0.939 -1.186  1.112 -1.205  1.200 -1.361
2#tos#t2#t2051065/y  -0.289 1.038  -0.363 0.899  -0.476 0.776  -0.599 0.663  -0.663 0.558  -0.663 0.389  -0.593 0.289  -0.487 0.161  -0.438 0.003  -0.381 -0.143  -0.363 -0.305  -0.204 -0.321  -0.109 -0.314  -0.043 -0.157  0.022 -0.001  0.087 0.156  0.152 0.313  0.218 0.469  0.283 0.626  0.348 0.783  0.414 0.939  0.479 1.096  0.544 1.253  0.609 1.409  0.611 1.247  0.611 1.077  0.661 0.938  0.761 0.830  0.761 0.660  0.761 0.491  0.761 0.321  0.705 0.186  0.611 0.074  0.573 -0.087  0.475 -0.222  0.386 -0.355  0.386 -0.525  0.302 -0.611  0.179 -0.697  0.083 -0.837  -0.058 -0.931  -0.139 -1.058  -0.290 -1.112  -0.432 -1.206  -0.583 -1.282  -0.677 -1.360  -0.837 -1.384  -0.957 -1.504  -1.099 -1.571  -1.038 -1.660
2#tos#t2#t2051065/z  -0.172 1.459  -0.242 1.369  -0.375 1.323  -0.453 1.206  -0.550 1.125  -0.590 1.125  -0.452 1.107  -0.319 1.063  -0.197 1.016  -0.094 0.925  0.047 0.925  0.180 0.906  0.279 0.807  0.413 0.791  0.554 0.791  0.688 0.762  0.820 0.724  0.735 0.668  0.673 0.542  0.589 0.436  0.476 0.359  0.398 0.242  0.308 0.135  0.179 0.083  0.043 0.055  0.028 -0.070  -0.066 -0.172  -0.185 -0.224  -0.284 -0.324  -0.380 -0.426  -0.445 -0.549  -0.571 -0.612  -0.578 -0.747  -0.718 -0.747  -0.774 -0.832  -0.816 -0.881  -0.704 -0.950  -0.590 -1.014  -0.449 -1.014  -0.309 -1.014  -0.168 -1.014  -0.027 -1.014  0.095 -1.033  0.187 -1.081  0.328 -1.081  0.468 -1.081  0.609 -1.081  0.750 -1.081  0.830 -1.021  0.830 -0.881
