2#ceb#Bouzy/F  0.435 0.472  0.457 0.425  0.401 0.255  0.340 0.086  0.277 -0.082  0.212 -0.249  0.146 -0.416  0.072 -0.580  -0.011 -0.739  -0.104 -0.892  -0.210 -1.037  -0.337 -1.163  -0.488 -1.259  -0.662 -1.297  -0.835 -1.261  -0.971 -1.146  -1.058 -0.991  -1.105 -0.818  -1.119 -0.640  -1.053 -0.481  -0.894 -0.402  -0.726 -0.338  -0.549 -0.320  -0.369 -0.313  -0.190 -0.306  -0.011 -0.297  0.168 -0.291  0.347 -0.275  0.523 -0.243  0.518 -0.195  0.353 -0.131  0.200 -0.036  0.048 0.058  -0.105 0.152  -0.258 0.246  -0.411 0.341  -0.444 0.485  -0.374 0.650  -0.256 0.785  -0.120 0.902  0.029 1.001  0.194 1.070  0.367 1.114  0.545 1.141  0.724 1.154  0.903 1.157  1.083 1.157  1.262 1.162  1.440 1.177  1.616 1.210
2#ceb#Bouzy/n  -0.531 0.814  -0.544 0.656  -0.570 0.498  -0.596 0.341  -0.624 0.184  -0.655 0.028  -0.692 -0.127  -0.730 -0.282  -0.769 -0.436  -0.808 -0.590  -0.856 -0.742  -0.914 -0.890  -0.991 -1.030  -1.060 -1.041  -0.988 -0.900  -0.916 -0.758  -0.839 -0.618  -0.763 -0.479  -0.677 -0.344  -0.591 -0.210  -0.504 -0.077  -0.414 0.054  -0.324 0.186  -0.234 0.317  -0.130 0.438  -0.024 0.557  0.082 0.676  0.197 0.786  0.317 0.891  0.437 0.996  0.573 1.077  0.712 1.154  0.871 1.165  0.976 1.066  1.028 0.920  1.041 0.762  1.021 0.603  0.999 0.446  0.952 0.294  0.905 0.141  0.850 -0.008  0.792 -0.156  0.733 -0.304  0.675 -0.453  0.620 -0.602  0.568 -0.753  0.521 -0.905  0.490 -1.061  0.613 -1.141  0.773 -1.141
2#ceb#Bouzy/d  0.032 -0.497  0.048 -0.367  0.059 -0.238  0.060 -0.108  0.047 0.022  0.022 0.150  -0.069 0.230  -0.192 0.219  -0.296 0.140  -0.394 0.054  -0.490 -0.034  -0.574 -0.133  -0.657 -0.234  -0.728 -0.343  -0.798 -0.453  -0.860 -0.567  -0.919 -0.683  -0.946 -0.811  -0.942 -0.939  -0.885 -1.051  -0.781 -1.125  -0.658 -1.158  -0.530 -1.150  -0.407 -1.106  -0.299 -1.034  -0.199 -0.951  -0.117 -0.850  -0.039 -0.746  0.026 -0.633  0.086 -0.517  0.142 -0.400  0.190 -0.279  0.238 -0.158  0.284 -0.036  0.328 0.087  0.372 0.209  0.416 0.332  0.459 0.455  0.502 0.578  0.546 0.701  0.591 0.823  0.637 0.945  0.683 1.067  0.728 1.189  0.774 1.311  0.819 1.433  0.867 1.555  0.915 1.676  0.965 1.775  0.943 1.647
2#ceb#Bouzy/w  -1.286 0.352  -1.160 0.485  -1.007 0.583  -0.836 0.647  -0.657 0.667  -0.480 0.627  -0.369 0.492  -0.376 0.314  -0.444 0.144  -0.533 -0.016  -0.627 -0.173  -0.729 -0.325  -0.835 -0.475  -0.942 -0.623  -1.044 -0.776  -1.114 -0.942  -0.983 -0.989  -0.822 -0.904  -0.670 -0.802  -0.532 -0.681  -0.398 -0.556  -0.271 -0.424  -0.152 -0.285  -0.040 -0.140  0.072 0.005  0.174 0.157  0.223 0.225  0.144 0.059  0.060 -0.103  -0.009 -0.273  -0.052 -0.450  -0.027 -0.627  0.116 -0.729  0.296 -0.737  0.473 -0.695  0.640 -0.618  0.787 -0.510  0.916 -0.383  1.018 -0.230  1.076 -0.058  1.120 0.120  1.141 0.302  1.152 0.484  1.152 0.667  1.139 0.850  1.117 1.032  1.070 1.208  0.983 1.366  0.826 1.434  0.700 1.303
2#ceb#Bouzy/a  0.531 0.237  0.585 0.404  0.636 0.572  0.671 0.744  0.696 0.917  0.696 1.092  0.658 1.261  0.536 1.360  0.370 1.344  0.206 1.282  0.063 1.181  -0.079 1.078  -0.210 0.961  -0.336 0.840  -0.462 0.718  -0.566 0.576  -0.667 0.433  -0.768 0.290  -0.850 0.135  -0.931 -0.021  -1.005 -0.179  -1.057 -0.347  -1.109 -0.514  -1.095 -0.689  -1.068 -0.860  -0.986 -1.015  -0.854 -1.126  -0.703 -1.214  -0.533 -1.244  -0.362 -1.230  -0.200 -1.162  -0.054 -1.066  0.080 -0.956  0.182 -0.813  0.275 -0.665  0.348 -0.506  0.417 -0.344  0.480 -0.181  0.536 -0.015  0.580 0.155  0.635 0.321  0.666 0.466  0.609 0.300  0.557 0.132  0.505 -0.035  0.452 -0.202  0.419 -0.374  0.410 -0.548  0.475 -0.699  0.620 -0.793
2#ceb#Bouzy/f  0.835 1.312  0.848 1.433  0.833 1.553  0.752 1.635  0.638 1.598  0.538 1.529  0.452 1.442  0.383 1.342  0.322 1.237  0.270 1.126  0.228 1.012  0.190 0.896  0.166 0.777  0.141 0.657  0.118 0.537  0.096 0.417  0.077 0.297  0.058 0.176  0.032 0.057  0.005 -0.062  -0.024 -0.180  -0.056 -0.298  -0.088 -0.416  -0.132 -0.530  -0.175 -0.644  -0.217 -0.758  -0.263 -0.871  -0.314 -0.982  -0.368 -1.091  -0.427 -1.198  -0.488 -1.304  -0.557 -1.404  -0.609 -1.365  -0.599 -1.244  -0.578 -1.124  -0.556 -1.004  -0.531 -0.885  -0.502 -0.766  -0.464 -0.651  -0.403 -0.546  -0.341 -0.440  -0.280 -0.335  -0.219 -0.229  -0.158 -0.123  -0.076 -0.066  0.045 -0.086  0.166 -0.100  0.287 -0.110  0.409 -0.113  0.531 -0.109
2#ceb#Bouzy/e  -0.507 0.004  -0.457 -0.136  -0.340 -0.227  -0.193 -0.254  -0.043 -0.246  0.101 -0.207  0.232 -0.137  0.353 -0.049  0.450 0.066  0.541 0.185  0.611 0.318  0.680 0.451  0.727 0.594  0.775 0.736  0.806 0.882  0.830 1.031  0.825 1.179  0.794 1.324  0.671 1.394  0.528 1.384  0.391 1.323  0.271 1.233  0.155 1.139  0.052 1.031  -0.043 0.914  -0.138 0.798  -0.220 0.672  -0.297 0.544  -0.374 0.415  -0.445 0.283  -0.508 0.147  -0.571 0.010  -0.632 -0.127  -0.675 -0.271  -0.717 -0.415  -0.755 -0.560  -0.760 -0.710  -0.765 -0.860  -0.728 -1.003  -0.677 -1.144  -0.586 -1.262  -0.450 -1.322  -0.306 -1.358  -0.156 -1.364  -0.023 -1.312  0.098 -1.225  0.218 -1.135  0.318 -1.023  0.418 -0.911  0.518 -0.799
2#ceb#Bouzy/r  -0.165 0.479  -0.200 0.371  -0.234 0.263  -0.269 0.155  -0.303 0.047  -0.335 -0.062  -0.368 -0.171  -0.401 -0.279  -0.433 -0.388  -0.465 -0.497  -0.497 -0.606  -0.532 -0.714  -0.571 -0.820  -0.605 -0.928  -0.639 -1.037  -0.676 -1.144  -0.719 -1.248  -0.760 -1.229  -0.747 -1.116  -0.713 -1.008  -0.678 -0.900  -0.640 -0.793  -0.599 -0.688  -0.545 -0.588  -0.491 -0.488  -0.438 -0.388  -0.382 -0.289  -0.318 -0.196  -0.253 -0.102  -0.189 -0.009  -0.125 0.085  -0.053 0.172  0.024 0.256  0.101 0.339  0.178 0.422  0.255 0.505  0.344 0.576  0.432 0.647  0.521 0.718  0.611 0.786  0.711 0.840  0.811 0.894  0.910 0.948  1.017 0.986  1.125 1.022  1.236 1.041  1.349 1.049  1.462 1.050  1.572 1.028  1.684 1.009
2#ceb#Bouzy/t  0.720 1.699  0.732 1.544  0.706 1.391  0.675 1.239  0.631 1.090  0.588 0.941  0.536 0.795  0.479 0.651  0.422 0.506  0.363 0.363  0.300 0.221  0.238 0.079  0.176 -0.064  0.111 -0.205  0.046 -0.346  -0.019 -0.486  -0.083 -0.628  -0.146 -0.770  -0.208 -0.912  -0.270 -1.054  -0.331 -1.197  -0.392 -1.340  -0.449 -1.484  -0.507 -1.628  -0.502 -1.531  -0.484 -1.377  -0.472 -1.223  -0.460 -1.068  -0.475 -0.914  -0.493 -0.759  -0.510 -0.605  -0.528 -0.451  -0.545 -0.297  -0.563 -0.142  -0.580 0.012  -0.598 0.166  -0.615 0.320  -0.633 0.474  -0.584 0.559  -0.430 0.534  -0.276 0.519  -0.121 0.519  0.034 0.519  0.188 0.533  0.341 0.560  0.494 0.586  0.647 0.614  0.798 0.648  0.949 0.682  1.101 0.716
2#ceb#Bouzy/h  0.089 1.329  0.203 1.451  0.306 1.583  0.366 1.706  0.287 1.559  0.210 1.410  0.144 1.256  0.076 1.103  0.011 0.949  -0.047 0.792  -0.106 0.635  -0.169 0.480  -0.236 0.326  -0.302 0.172  -0.366 0.017  -0.429 -0.138  -0.492 -0.293  -0.567 -0.443  -0.642 -0.593  -0.721 -0.740  -0.806 -0.885  -0.889 -1.030  -0.978 -1.171  -1.041 -1.237  -0.938 -1.104  -0.831 -0.976  -0.725 -0.846  -0.616 -0.719  -0.502 -0.596  -0.388 -0.473  -0.269 -0.356  -0.149 -0.239  -0.028 -0.123  0.099 -0.013  0.227 0.094  0.355 0.202  0.495 0.294  0.635 0.386  0.789 0.450  0.913 0.407  0.896 0.248  0.848 0.088  0.793 -0.071  0.733 -0.227  0.673 -0.383  0.619 -0.542  0.572 -0.702  0.563 -0.869  0.609 -1.028  0.727 -1.141
2#ceb#Bouzy/i  -1.048 -1.101  -0.941 -0.999  -0.835 -0.895  -0.738 -0.784  -0.643 -0.670  -0.569 -0.542  -0.496 -0.414  -0.433 -0.279  -0.371 -0.145  -0.302 -0.014  -0.244 0.122  -0.185 0.258  -0.119 0.390  -0.117 0.391  -0.179 0.257  -0.243 0.123  -0.304 -0.012  -0.363 -0.147  -0.408 -0.288  -0.453 -0.429  -0.497 -0.571  -0.528 -0.714  -0.528 -0.862  -0.470 -0.996  -0.360 -1.086  -0.219 -1.106  -0.080 -1.069  0.045 -0.990  0.143 -0.880  0.236 -0.765  0.314 -0.639  0.344 -0.494  0.371 -0.349  0.398 -0.203  0.425 -0.058  0.453 0.088  0.480 0.233  0.507 0.379  0.534 0.524  0.561 0.670  0.589 0.816  0.616 0.961  0.643 1.107  0.670 1.252  0.697 1.398  0.725 1.543  0.752 1.689  0.779 1.834  0.719 1.803  0.675 1.662
2#ceb#Bouzy/n  -0.699 0.094  -0.755 -0.037  -0.812 -0.167  -0.875 -0.295  -0.939 -0.423  -1.001 -0.551  -1.061 -0.681  -1.112 -0.814  -1.177 -0.938  -1.116 -0.825  -1.041 -0.704  -0.965 -0.583  -0.886 -0.465  -0.805 -0.347  -0.724 -0.230  -0.641 -0.114  -0.556 0.001  -0.472 0.116  -0.386 0.229  -0.291 0.336  -0.197 0.443  -0.102 0.549  -0.005 0.654  0.101 0.749  0.206 0.845  0.312 0.940  0.423 1.030  0.541 1.108  0.669 1.172  0.799 1.205  0.919 1.149  0.943 1.008  0.935 0.868  0.912 0.727  0.879 0.588  0.838 0.452  0.796 0.316  0.751 0.180  0.703 0.046  0.656 -0.088  0.604 -0.221  0.549 -0.353  0.495 -0.485  0.455 -0.622  0.415 -0.759  0.397 -0.900  0.403 -1.041  0.506 -1.097  0.640 -1.061  0.771 -1.005
2#ceb#Bouzy/s  0.859 1.230  0.824 1.362  0.699 1.418  0.561 1.406  0.428 1.359  0.299 1.303  0.176 1.233  0.055 1.160  -0.056 1.073  -0.165 0.983  -0.252 0.873  -0.334 0.757  -0.354 0.618  -0.322 0.485  -0.251 0.366  -0.151 0.266  -0.031 0.192  0.091 0.121  0.210 0.044  0.328 -0.033  0.444 -0.114  0.546 -0.212  0.646 -0.312  0.711 -0.437  0.767 -0.566  0.791 -0.705  0.772 -0.842  0.716 -0.968  0.621 -1.072  0.499 -1.143  0.361 -1.170  0.221 -1.186  0.080 -1.193  -0.058 -1.169  -0.193 -1.129  -0.321 -1.069  -0.447 -1.006  -0.552 -0.911  -0.655 -0.815  -0.729 -0.695  -0.768 -0.561  -0.794 -0.422  -0.802 -0.283  -0.776 -0.144  -0.750 -0.005  -0.720 0.132  -0.654 0.258  -0.589 0.383  -0.523 0.508  -0.458 0.633
2#ceb#Bouzy/l  0.708 1.562  0.688 1.494  0.660 1.429  0.630 1.365  0.600 1.302  0.570 1.238  0.540 1.174  0.511 1.110  0.482 1.046  0.453 0.981  0.425 0.917  0.396 0.852  0.367 0.788  0.337 0.724  0.308 0.660  0.279 0.596  0.250 0.531  0.219 0.468  0.189 0.404  0.158 0.341  0.127 0.278  0.096 0.214  0.065 0.151  0.035 0.087  0.006 0.023  -0.024 -0.041  -0.053 -0.105  -0.083 -0.169  -0.113 -0.233  -0.143 -0.296  -0.178 -0.358  -0.213 -0.419  -0.248 -0.480  -0.283 -0.541  -0.318 -0.603  -0.353 -0.664  -0.384 -0.727  -0.416 -0.790  -0.447 -0.853  -0.479 -0.916  -0.508 -0.980  -0.531 -1.047  -0.555 -1.113  -0.578 -1.180  -0.593 -1.249  -0.602 -1.318  -0.591 -1.381  -0.538 -1.426  -0.468 -1.424  -0.398 -1.418
2#ceb#Bouzy/i  -1.343 -0.993  -1.219 -0.883  -1.095 -0.773  -0.970 -0.664  -0.846 -0.554  -0.738 -0.429  -0.635 -0.299  -0.532 -0.169  -0.429 -0.039  -0.329 0.093  -0.237 0.231  -0.145 0.369  -0.053 0.507  0.039 0.644  0.128 0.784  0.218 0.923  0.307 1.063  0.396 1.203  0.484 1.343  0.572 1.484  0.675 1.581  0.623 1.425  0.545 1.278  0.467 1.132  0.387 0.987  0.310 0.840  0.233 0.693  0.157 0.546  0.080 0.399  0.001 0.253  -0.077 0.107  -0.156 -0.039  -0.230 -0.187  -0.302 -0.336  -0.373 -0.486  -0.420 -0.644  -0.458 -0.805  -0.446 -0.965  -0.363 -1.089  -0.205 -1.133  -0.043 -1.097  0.119 -1.061  0.266 -0.988  0.409 -0.904  0.552 -0.821  0.688 -0.726  0.812 -0.616  0.936 -0.506  1.059 -0.396  1.183 -0.286
2#ceb#Bouzy/c  0.313 0.178  0.391 0.273  0.466 0.369  0.536 0.470  0.586 0.581  0.633 0.695  0.660 0.814  0.684 0.934  0.692 1.057  0.660 1.168  0.577 1.258  0.462 1.283  0.346 1.259  0.238 1.202  0.139 1.131  0.048 1.049  -0.042 0.966  -0.125 0.877  -0.205 0.784  -0.285 0.690  -0.365 0.597  -0.426 0.491  -0.487 0.385  -0.548 0.279  -0.607 0.171  -0.652 0.057  -0.696 -0.057  -0.741 -0.171  -0.769 -0.289  -0.786 -0.411  -0.803 -0.532  -0.794 -0.653  -0.772 -0.774  -0.733 -0.887  -0.668 -0.991  -0.580 -1.070  -0.470 -1.125  -0.355 -1.156  -0.232 -1.162  -0.111 -1.155  0.009 -1.128  0.127 -1.098  0.234 -1.038  0.341 -0.978  0.446 -0.915  0.546 -0.844  0.642 -0.768  0.734 -0.687  0.825 -0.606  0.917 -0.524
2#ceb#Bouzy/e  -0.500 0.336  -0.518 0.192  -0.437 0.075  -0.310 -0.001  -0.170 -0.043  -0.022 -0.060  0.126 -0.054  0.273 -0.036  0.412 0.016  0.536 0.096  0.648 0.192  0.725 0.320  0.785 0.455  0.832 0.596  0.860 0.741  0.875 0.890  0.864 1.037  0.825 1.176  0.730 1.291  0.588 1.300  0.443 1.264  0.315 1.188  0.188 1.112  0.080 1.009  -0.025 0.904  -0.128 0.797  -0.217 0.678  -0.307 0.559  -0.395 0.439  -0.470 0.310  -0.545 0.182  -0.620 0.053  -0.670 -0.086  -0.716 -0.228  -0.762 -0.370  -0.791 -0.516  -0.819 -0.662  -0.810 -0.807  -0.774 -0.951  -0.689 -1.069  -0.587 -1.178  -0.452 -1.238  -0.307 -1.270  -0.161 -1.302  -0.014 -1.294  0.135 -1.279  0.282 -1.262  0.423 -1.215  0.564 -1.168  0.706 -1.121
2#ceb#Bouzy/d  -0.299 0.375  -0.471 0.185  -0.615 -0.035  -0.748 -0.262  -0.864 -0.498  -0.931 -0.751  -0.894 -1.004  -0.681 -1.137  -0.423 -1.116  -0.182 -1.012  0.011 -0.837  0.163 -0.622  0.249 -0.375  0.301 -0.117  0.312 0.143  0.244 0.393  0.039 0.499  -0.201 0.405  -0.416 0.255  -0.620 0.088  -0.788 -0.115  -0.933 -0.333  -1.038 -0.571  -1.034 -0.828  -0.882 -1.030  -0.633 -1.089  -0.379 -1.025  -0.158 -0.890  0.026 -0.704  0.184 -0.493  0.299 -0.257  0.396 -0.013  0.478 0.237  0.560 0.488  0.642 0.738  0.724 0.988  0.806 1.238  0.887 1.489  0.969 1.739  0.951 1.756  0.836 1.519  0.728 1.279  0.625 1.037  0.540 0.788  0.465 0.536  0.400 0.281  0.339 0.025  0.293 -0.234  0.271 -0.497  0.453 -0.633
2#ceb#Bouzy/t  0.902 1.814  0.925 1.714  0.888 1.583  0.850 1.451  0.809 1.321  0.762 1.192  0.714 1.064  0.665 0.936  0.606 0.813  0.547 0.690  0.488 0.566  0.429 0.443  0.361 0.324  0.292 0.205  0.223 0.087  0.154 -0.031  0.086 -0.150  0.022 -0.270  -0.043 -0.391  -0.107 -0.512  -0.172 -0.632  -0.237 -0.753  -0.303 -0.873  -0.368 -0.993  -0.427 -1.116  -0.484 -1.241  -0.535 -1.368  -0.585 -1.495  -0.584 -1.437  -0.547 -1.305  -0.509 -1.174  -0.480 -1.040  -0.452 -0.906  -0.442 -0.770  -0.441 -0.633  -0.440 -0.496  -0.438 -0.360  -0.437 -0.223  -0.436 -0.086  -0.435 0.051  -0.434 0.188  -0.433 0.325  -0.431 0.462  -0.339 0.482  -0.205 0.454  -0.069 0.440  0.067 0.425  0.204 0.416  0.340 0.408  0.477 0.400
2#ceb#Bouzy/u  -0.973 0.848  -0.808 0.862  -0.643 0.874  -0.486 0.853  -0.529 0.702  -0.603 0.553  -0.677 0.405  -0.757 0.261  -0.844 0.120  -0.929 -0.022  -1.012 -0.166  -1.093 -0.310  -1.167 -0.458  -1.233 -0.610  -1.254 -0.774  -1.170 -0.907  -1.013 -0.946  -0.848 -0.946  -0.689 -0.901  -0.532 -0.849  -0.379 -0.785  -0.228 -0.719  -0.087 -0.633  0.055 -0.546  0.181 -0.440  0.298 -0.323  0.414 -0.206  0.516 -0.075  0.617 0.056  0.709 0.193  0.785 0.340  0.861 0.487  0.933 0.636  1.005 0.785  1.079 0.934  1.146 1.085  1.101 0.978  1.026 0.831  0.949 0.684  0.870 0.539  0.789 0.394  0.710 0.249  0.632 0.103  0.560 -0.046  0.493 -0.198  0.429 -0.350  0.374 -0.506  0.355 -0.670  0.462 -0.735  0.603 -0.649
2#ceb#Bouzy/r  -0.419 0.509  -0.435 0.383  -0.451 0.257  -0.474 0.132  -0.496 0.007  -0.517 -0.118  -0.533 -0.244  -0.549 -0.370  -0.565 -0.496  -0.580 -0.622  -0.596 -0.748  -0.613 -0.874  -0.633 -0.999  -0.653 -1.125  -0.654 -1.252  -0.672 -1.376  -0.672 -1.331  -0.647 -1.206  -0.629 -1.081  -0.597 -0.958  -0.558 -0.837  -0.520 -0.716  -0.474 -0.598  -0.427 -0.480  -0.380 -0.362  -0.325 -0.248  -0.262 -0.138  -0.199 -0.027  -0.136 0.083  -0.066 0.189  0.009 0.291  0.084 0.394  0.159 0.496  0.243 0.590  0.335 0.678  0.427 0.766  0.519 0.853  0.623 0.926  0.727 0.999  0.831 1.072  0.945 1.128  1.062 1.155  1.155 1.094  1.170 0.971  1.151 0.845  1.117 0.723  1.081 0.601  1.045 0.479  1.029 0.354  1.020 0.227
2#ceb#Bouzy/k  0.118 1.507  0.062 1.290  0.013 1.061  -0.038 0.832  -0.095 0.605  -0.171 0.383  -0.258 0.166  -0.363 -0.044  -0.473 -0.250  -0.591 -0.453  -0.717 -0.651  -0.849 -0.844  -0.999 -1.024  -1.130 -1.218  -1.073 -1.072  -0.944 -0.876  -0.810 -0.684  -0.671 -0.495  -0.525 -0.312  -0.375 -0.132  -0.225 0.048  -0.069 0.223  0.086 0.399  0.249 0.567  0.415 0.733  0.588 0.890  0.778 1.027  0.977 1.151  1.189 1.247  1.357 1.178  1.286 0.956  1.157 0.761  1.010 0.579  0.854 0.404  0.677 0.251  0.497 0.100  0.300 -0.026  0.101 -0.151  -0.102 -0.267  -0.309 -0.377  -0.520 -0.479  -0.730 -0.582  -0.670 -0.539  -0.439 -0.524  -0.221 -0.608  -0.043 -0.757  0.103 -0.937  0.303 -1.051  0.537 -1.044  0.755 -0.960
2#ceb#Bouzy/e  -0.622 0.775  -0.645 0.598  -0.637 0.419  -0.616 0.241  -0.540 0.082  -0.413 -0.038  -0.257 -0.126  -0.085 -0.174  0.093 -0.193  0.271 -0.189  0.443 -0.138  0.598 -0.051  0.727 0.070  0.797 0.235  0.844 0.408  0.870 0.584  0.852 0.763  0.822 0.939  0.770 1.108  0.653 1.236  0.477 1.275  0.305 1.240  0.135 1.185  -0.015 1.087  -0.158 0.977  -0.300 0.868  -0.420 0.736  -0.532 0.596  -0.630 0.447  -0.711 0.286  -0.788 0.125  -0.848 -0.044  -0.908 -0.213  -0.915 -0.393  -0.911 -0.571  -0.860 -0.742  -0.782 -0.903  -0.675 -1.043  -0.517 -1.125  -0.351 -1.190  -0.172 -1.208  0.005 -1.194  0.182 -1.164  0.352 -1.106  0.521 -1.045  0.662 -0.934  0.802 -0.823  0.925 -0.693  1.042 -0.557  1.159 -0.421
2#ceb#Bouzy/y  -0.037 1.007  -0.071 0.874  -0.100 0.739  -0.129 0.604  -0.155 0.469  -0.174 0.333  -0.179 0.195  -0.164 0.059  -0.127 -0.073  -0.054 -0.188  0.050 -0.155  0.128 -0.042  0.198 0.077  0.269 0.195  0.348 0.307  0.431 0.417  0.514 0.527  0.597 0.637  0.680 0.747  0.763 0.857  0.846 0.967  0.929 1.077  0.970 1.129  0.891 1.017  0.810 0.905  0.728 0.794  0.647 0.683  0.565 0.572  0.483 0.461  0.401 0.351  0.316 0.242  0.231 0.134  0.145 0.026  0.060 -0.082  -0.026 -0.190  -0.114 -0.296  -0.201 -0.403  -0.289 -0.509  -0.376 -0.616  -0.461 -0.724  -0.545 -0.833  -0.629 -0.942  -0.714 -1.052  -0.800 -1.159  -0.887 -1.266  -0.974 -1.372  -1.063 -1.478  -1.152 -1.583  -1.243 -1.686  -1.334 -1.755
2#ceb#Bouzy/K  -0.165 1.330  -0.134 1.534  -0.136 1.364  -0.174 1.141  -0.238 0.923  -0.307 0.707  -0.390 0.496  -0.486 0.290  -0.580 0.084  -0.664 -0.127  -0.743 -0.340  -0.808 -0.557  -0.862 -0.777  -0.953 -0.984  -0.985 -1.105  -0.872 -0.909  -0.732 -0.731  -0.576 -0.566  -0.420 -0.401  -0.264 -0.236  -0.108 -0.071  0.047 0.094  0.203 0.259  0.359 0.424  0.515 0.589  0.671 0.754  0.826 0.919  0.982 1.084  1.138 1.249  1.112 1.174  1.062 0.955  0.951 0.757  0.828 0.568  0.674 0.403  0.535 0.223  0.375 0.064  0.205 -0.085  0.008 -0.198  -0.166 -0.343  -0.336 -0.490  -0.542 -0.580  -0.422 -0.538  -0.196 -0.528  0.005 -0.611  0.129 -0.801  0.247 -0.992  0.310 -1.203  0.341 -1.426  0.365 -1.505  0.372 -1.282
2#ceb#Bouzy/e  -0.364 0.110  -0.287 -0.005  -0.145 -0.030  0.000 -0.030  0.145 -0.027  0.288 -0.005  0.429 0.030  0.571 0.059  0.694 0.133  0.750 0.263  0.796 0.401  0.833 0.541  0.841 0.685  0.850 0.821  0.877 0.960  0.770 1.052  0.641 1.114  0.514 1.183  0.384 1.245  0.241 1.270  0.099 1.254  -0.013 1.166  -0.111 1.059  -0.195 0.941  -0.287 0.829  -0.365 0.707  -0.444 0.585  -0.531 0.469  -0.601 0.343  -0.650 0.206  -0.692 0.068  -0.730 -0.072  -0.748 -0.216  -0.748 -0.361  -0.750 -0.506  -0.761 -0.650  -0.754 -0.795  -0.721 -0.935  -0.663 -1.064  -0.576 -1.176  -0.460 -1.258  -0.317 -1.273  -0.172 -1.273  -0.027 -1.273  0.119 -1.273  0.248 -1.217  0.366 -1.133  0.489 -1.055  0.618 -0.991  0.546 -0.876
2#ceb#Bouzy/t  0.514 1.701  0.607 1.803  0.620 1.650  0.599 1.493  0.563 1.338  0.525 1.184  0.487 1.030  0.448 0.876  0.410 0.722  0.360 0.571  0.310 0.420  0.251 0.272  0.190 0.126  0.129 -0.021  0.068 -0.167  0.003 -0.312  -0.068 -0.454  -0.140 -0.596  -0.214 -0.737  -0.288 -0.877  -0.366 -1.016  -0.435 -1.158  -0.498 -1.304  -0.559 -1.451  -0.611 -1.601  -0.590 -1.551  -0.557 -1.396  -0.520 -1.242  -0.476 -1.089  -0.427 -0.938  -0.372 -0.789  -0.320 -0.639  -0.283 -0.488  -0.325 -0.335  -0.366 -0.181  -0.408 -0.028  -0.449 0.125  -0.490 0.279  -0.532 0.432  -0.486 0.441  -0.329 0.428  -0.171 0.412  -0.014 0.390  0.144 0.367  0.302 0.353  0.460 0.347  0.619 0.351  0.775 0.375  0.928 0.420  0.983 0.468
2#ceb#Bouzy/c  0.280 0.179  0.356 0.265  0.431 0.358  0.478 0.468  0.521 0.580  0.553 0.696  0.588 0.811  0.627 0.925  0.639 1.045  0.595 1.152  0.502 1.227  0.387 1.261  0.267 1.266  0.148 1.257  0.037 1.210  -0.060 1.140  -0.150 1.060  -0.235 0.975  -0.311 0.883  -0.368 0.777  -0.416 0.666  -0.451 0.551  -0.489 0.437  -0.520 0.320  -0.540 0.201  -0.557 0.082  -0.574 -0.038  -0.586 -0.158  -0.600 -0.277  -0.621 -0.396  -0.628 -0.516  -0.637 -0.636  -0.639 -0.757  -0.628 -0.876  -0.605 -0.993  -0.559 -1.101  -0.457 -1.160  -0.337 -1.177  -0.217 -1.178  -0.097 -1.167  0.022 -1.146  0.140 -1.123  0.257 -1.093  0.374 -1.065  0.486 -1.022  0.590 -0.961  0.689 -0.893  0.765 -0.800  0.765 -0.689  0.785 -0.572
2#ceb#Bouzy/h  0.533 1.898  0.556 2.056  0.549 1.898  0.521 1.737  0.470 1.583  0.412 1.431  0.352 1.280  0.292 1.128  0.231 0.977  0.169 0.827  0.106 0.676  0.043 0.526  -0.019 0.376  -0.086 0.228  -0.158 0.082  -0.239 -0.060  -0.318 -0.202  -0.398 -0.344  -0.477 -0.486  -0.558 -0.627  -0.629 -0.774  -0.696 -0.922  -0.750 -1.075  -0.794 -1.231  -0.761 -1.120  -0.690 -0.973  -0.631 -0.821  -0.571 -0.670  -0.507 -0.521  -0.446 -0.370  -0.358 -0.234  -0.274 -0.094  -0.173 0.033  -0.061 0.151  0.067 0.251  0.218 0.310  0.379 0.329  0.522 0.283  0.579 0.134  0.577 -0.026  0.527 -0.181  0.465 -0.332  0.402 -0.482  0.339 -0.632  0.273 -0.780  0.222 -0.935  0.188 -1.094  0.181 -1.225  0.190 -1.071  0.228 -0.913
2#ceb#Bouzy/u  -0.389 1.132  -0.392 0.980  -0.449 0.797  -0.503 0.614  -0.569 0.434  -0.639 0.256  -0.706 0.076  -0.792 -0.095  -0.868 -0.271  -0.932 -0.451  -0.985 -0.635  -1.022 -0.822  -1.004 -1.012  -0.865 -1.130  -0.677 -1.153  -0.489 -1.119  -0.313 -1.047  -0.146 -0.953  0.013 -0.847  0.143 -0.709  0.251 -0.551  0.333 -0.379  0.406 -0.203  0.464 -0.021  0.484 0.168  0.484 0.360  0.508 0.548  0.569 0.730  0.616 0.915  0.669 1.100  0.738 1.277  0.833 1.443  0.825 1.522  0.778 1.338  0.710 1.159  0.652 0.976  0.591 0.795  0.525 0.615  0.458 0.436  0.389 0.257  0.318 0.079  0.245 -0.098  0.173 -0.275  0.105 -0.454  0.041 -0.635  -0.019 -0.817  -0.071 -1.001  -0.120 -1.186  -0.178 -1.168  -0.193 -0.977
