2#tos#f1#f1036063/\"  0.356 1.490  0.282 1.560  0.282 1.410  0.351 1.296  0.476 1.213  0.503 1.076  0.503 0.926  0.503 0.775  0.503 0.625  0.517 0.476  0.553 0.330  0.601 0.188  0.668 0.053  0.724 -0.084  0.724 -0.235  0.724 -0.385  0.759 -0.530  0.824 -0.648  0.924 -0.628  0.814 -0.525  0.705 -0.421  0.595 -0.318  0.485 -0.215  0.376 -0.112  0.266 -0.009  0.156 0.095  0.047 0.198  -0.063 0.301  -0.173 0.404  -0.282 0.507  -0.423 0.531  -0.574 0.531  -0.724 0.531  -0.875 0.531  -0.897 0.403  -0.897 0.253  -0.897 0.102  -0.887 -0.047  -0.862 -0.196  -0.837 -0.344  -0.824 -0.494  -0.824 -0.644  -0.769 -0.784  -0.713 -0.924  -0.648 -1.059  -0.564 -1.184  -0.490 -1.315  -0.423 -1.450  -0.340 -1.573  -0.234 -1.680
2#tos#f1#f1036063/I  -0.014 1.289  -0.109 1.289  -0.203 1.289  -0.201 1.313  -0.109 1.294  -0.018 1.265  0.076 1.264  0.164 1.236  0.254 1.214  0.333 1.165  0.425 1.150  0.394 1.140  0.307 1.113  0.283 1.022  0.283 0.928  0.260 0.838  0.222 0.751  0.209 0.659  0.209 0.564  0.199 0.470  0.187 0.376  0.176 0.282  0.164 0.189  0.142 0.097  0.112 0.007  0.083 -0.083  0.064 -0.176  0.046 -0.268  0.024 -0.360  -0.002 -0.451  -0.028 -0.542  -0.054 -0.633  -0.078 -0.725  -0.101 -0.817  -0.113 -0.910  -0.131 -1.000  -0.168 -1.087  -0.203 -1.163  -0.298 -1.163  -0.393 -1.163  -0.487 -1.163  -0.556 -1.120  -0.485 -1.126  -0.404 -1.154  -0.310 -1.163  -0.219 -1.186  -0.125 -1.188  -0.030 -1.188  0.064 -1.188  0.159 -1.188
2#tos#f1#f1036063/J  -0.308 0.934  -0.401 0.884  -0.508 0.868  -0.612 0.840  -0.510 0.839  -0.402 0.840  -0.299 0.874  -0.194 0.898  -0.089 0.922  0.012 0.958  0.120 0.959  0.218 1.005  0.325 1.011  0.431 1.028  0.539 1.028  0.579 0.973  0.510 0.907  0.407 0.873  0.306 0.845  0.215 0.792  0.107 0.792  0.070 0.703  0.084 0.598  0.094 0.492  0.101 0.384  0.127 0.279  0.141 0.173  0.141 0.064  0.141 -0.044  0.141 -0.152  0.141 -0.260  0.141 -0.369  0.141 -0.477  0.141 -0.585  0.141 -0.694  0.141 -0.802  0.141 -0.910  0.136 -1.018  0.120 -1.125  0.117 -1.233  0.069 -1.325  -0.002 -1.407  -0.072 -1.489  -0.151 -1.548  -0.260 -1.548  -0.361 -1.526  -0.438 -1.453  -0.491 -1.359  -0.551 -1.270  -0.592 -1.170
2#tos#f1#f1036063/K  -0.194 0.798  -0.286 1.013  -0.343 1.244  -0.355 1.482  -0.355 1.414  -0.338 1.175  -0.323 0.936  -0.323 0.696  -0.323 0.456  -0.323 0.216  -0.323 -0.024  -0.323 -0.264  -0.323 -0.504  -0.323 -0.744  -0.323 -0.984  -0.291 -1.222  -0.276 -1.459  -0.209 -1.463  -0.113 -1.243  -0.016 -1.023  0.081 -0.804  0.177 -0.584  0.274 -0.364  0.370 -0.145  0.467 0.075  0.564 0.295  0.660 0.514  0.757 0.734  0.899 0.921  0.992 1.114  0.757 1.119  0.541 1.046  0.325 0.944  0.118 0.823  -0.067 0.670  -0.274 0.550  -0.489 0.443  -0.697 0.324  -0.836 0.181  -0.787 -0.045  -0.689 -0.246  -0.549 -0.435  -0.337 -0.546  -0.134 -0.674  0.077 -0.785  0.272 -0.922  0.478 -1.044  0.690 -1.152  0.920 -1.219  1.120 -1.286
2#tos#f1#f1036063/M  -0.454 0.662  -0.562 0.778  -0.675 0.792  -0.740 0.623  -0.740 0.435  -0.740 0.248  -0.751 0.061  -0.762 -0.126  -0.762 -0.314  -0.762 -0.502  -0.762 -0.689  -0.762 -0.877  -0.762 -1.065  -0.740 -1.103  -0.749 -0.915  -0.758 -0.728  -0.768 -0.540  -0.777 -0.353  -0.786 -0.166  -0.795 0.022  -0.805 0.209  -0.828 0.375  -0.717 0.242  -0.575 0.119  -0.419 0.023  -0.231 0.023  -0.043 0.023  0.138 0.047  0.302 0.118  0.432 0.245  0.526 0.398  0.582 0.575  0.676 0.735  0.772 0.887  0.868 1.042  0.943 1.190  0.978 1.038  0.978 0.850  0.978 0.662  0.972 0.475  0.956 0.288  0.950 0.101  0.916 -0.084  0.898 -0.270  0.890 -0.458  0.890 -0.645  0.890 -0.833  0.890 -1.021  0.890 -1.208  0.912 -1.387
2#tos#f1#f1036063/N  -0.286 0.651  -0.392 0.791  -0.559 0.830  -0.624 0.936  -0.624 0.746  -0.624 0.555  -0.624 0.364  -0.624 0.174  -0.624 -0.017  -0.624 -0.208  -0.624 -0.398  -0.624 -0.589  -0.624 -0.780  -0.624 -0.970  -0.596 -1.156  -0.678 -1.168  -0.708 -0.987  -0.708 -0.796  -0.708 -0.605  -0.708 -0.415  -0.708 -0.224  -0.708 -0.033  -0.708 0.157  -0.701 0.341  -0.520 0.309  -0.349 0.235  -0.212 0.103  -0.080 -0.030  0.052 -0.160  0.164 -0.305  0.282 -0.452  0.407 -0.596  0.538 -0.734  0.676 -0.862  0.830 -0.955  0.869 -0.915  0.869 -0.725  0.869 -0.534  0.869 -0.343  0.869 -0.153  0.869 0.038  0.869 0.229  0.869 0.419  0.869 0.610  0.869 0.801  0.890 0.990  0.897 1.180  0.897 1.371  0.920 1.559  0.953 1.721
2#tos#f1#f1036063/O  0.374 0.537  0.319 0.675  0.226 0.794  0.160 0.931  0.022 0.951  -0.131 0.951  -0.255 0.904  -0.362 0.808  -0.488 0.735  -0.542 0.592  -0.612 0.458  -0.693 0.328  -0.737 0.183  -0.777 0.035  -0.796 -0.116  -0.810 -0.268  -0.810 -0.420  -0.810 -0.573  -0.810 -0.726  -0.810 -0.878  -0.797 -1.027  -0.718 -1.158  -0.609 -1.257  -0.462 -1.281  -0.310 -1.281  -0.157 -1.281  -0.010 -1.262  0.117 -1.177  0.244 -1.092  0.359 -0.993  0.466 -0.884  0.564 -0.767  0.646 -0.639  0.717 -0.505  0.771 -0.362  0.813 -0.215  0.843 -0.066  0.843 0.086  0.843 0.239  0.843 0.392  0.843 0.544  0.804 0.689  0.703 0.798  0.590 0.900  0.448 0.943  0.296 0.951  0.143 0.951  -0.009 0.951  -0.162 0.951  -0.314 0.951
2#tos#f1#f1036063/S  0.762 1.281  0.762 1.430  0.762 1.525  0.762 1.377  0.762 1.229  0.760 1.080  0.737 0.936  0.671 0.839  0.524 0.845  0.408 0.912  0.300 1.004  0.199 1.107  0.064 1.090  0.013 0.956  -0.019 0.815  -0.049 0.673  -0.049 0.524  -0.044 0.377  0.007 0.243  0.098 0.129  0.216 0.040  0.351 -0.016  0.472 -0.099  0.542 -0.218  0.565 -0.357  0.565 -0.506  0.447 -0.591  0.360 -0.707  0.300 -0.843  0.195 -0.945  0.063 -1.003  -0.085 -1.003  -0.230 -0.983  -0.365 -0.923  -0.461 -0.813  -0.482 -0.669  -0.516 -0.528  -0.516 -0.379  -0.516 -0.231  -0.537 -0.085  -0.614 -0.129  -0.645 -0.269  -0.687 -0.405  -0.726 -0.541  -0.810 -0.662  -0.817 -0.810  -0.853 -0.954  -0.880 -1.100  -0.884 -1.248  -0.884 -1.396
2#tos#f1#f1036063/T  -0.880 0.286  -1.007 0.235  -1.124 0.164  -1.258 0.139  -1.356 0.146  -1.224 0.164  -1.095 0.210  -0.959 0.227  -0.827 0.263  -0.697 0.310  -0.568 0.355  -0.437 0.399  -0.307 0.442  -0.175 0.482  -0.044 0.522  0.082 0.578  0.210 0.625  0.347 0.639  0.482 0.662  0.613 0.703  0.748 0.725  0.886 0.726  1.023 0.726  1.161 0.726  1.095 0.700  0.996 0.632  0.875 0.580  0.754 0.519  0.618 0.514  0.500 0.467  0.363 0.467  0.234 0.458  0.234 0.320  0.222 0.184  0.209 0.047  0.193 -0.087  0.139 -0.213  0.131 -0.349  0.120 -0.485  0.086 -0.619  0.067 -0.755  0.052 -0.891  0.032 -1.027  -0.013 -1.156  -0.051 -1.286  -0.059 -1.423  -0.082 -1.558  -0.102 -1.694  -0.102 -1.831  -0.102 -1.969
2#tos#f1#f1036063/W  -0.629 0.373  -0.740 0.487  -0.860 0.593  -0.893 0.726  -0.870 0.565  -0.854 0.403  -0.846 0.240  -0.837 0.077  -0.822 -0.086  -0.818 -0.249  -0.778 -0.407  -0.723 -0.561  -0.700 -0.722  -0.656 -0.879  -0.653 -0.774  -0.651 -0.611  -0.617 -0.451  -0.570 -0.296  -0.519 -0.141  -0.444 -0.000  -0.352 0.130  -0.269 0.228  -0.218 0.096  -0.193 -0.064  -0.146 -0.220  -0.146 -0.383  -0.138 -0.545  -0.090 -0.702  -0.031 -0.851  0.069 -0.978  0.111 -1.101  0.188 -0.972  0.277 -0.842  0.357 -0.704  0.409 -0.549  0.503 -0.415  0.567 -0.267  0.624 -0.113  0.692 0.035  0.762 0.183  0.835 0.329  0.920 0.469  0.990 0.615  1.046 0.768  1.145 0.898  1.226 1.040  1.256 1.200  1.295 1.351  1.342 1.498  1.449 1.581
2#tos#f1#f1036063/Y  -0.248 0.804  -0.299 0.935  -0.416 1.029  -0.491 1.138  -0.583 1.031  -0.583 0.871  -0.583 0.711  -0.583 0.552  -0.583 0.392  -0.566 0.234  -0.536 0.077  -0.511 -0.080  -0.425 -0.205  -0.274 -0.233  -0.116 -0.217  0.037 -0.172  0.162 -0.075  0.288 0.024  0.411 0.125  0.524 0.238  0.637 0.351  0.750 0.464  0.846 0.591  0.920 0.732  0.989 0.871  0.989 1.031  0.897 1.009  0.787 0.893  0.677 0.777  0.567 0.661  0.457 0.545  0.354 0.427  0.292 0.305  0.159 0.217  0.054 0.104  -0.048 -0.002  -0.082 -0.151  -0.152 -0.294  -0.181 -0.448  -0.183 -0.608  -0.209 -0.765  -0.232 -0.923  -0.259 -1.081  -0.298 -1.236  -0.344 -1.389  -0.382 -1.542  -0.382 -1.702  -0.382 -1.862  -0.416 -2.014  -0.449 -2.140
2#tos#f1#f1036063/c  0.701 1.161  0.589 1.161  0.476 1.161  0.412 1.209  0.319 1.228  0.235 1.257  0.122 1.257  0.030 1.207  -0.060 1.140  -0.150 1.072  -0.215 0.982  -0.273 0.885  -0.324 0.785  -0.383 0.690  -0.454 0.602  -0.524 0.514  -0.579 0.417  -0.630 0.316  -0.680 0.216  -0.702 0.106  -0.721 -0.005  -0.733 -0.116  -0.733 -0.229  -0.733 -0.341  -0.733 -0.454  -0.733 -0.566  -0.733 -0.679  -0.733 -0.791  -0.687 -0.879  -0.593 -0.941  -0.481 -0.944  -0.369 -0.944  -0.256 -0.944  -0.144 -0.944  -0.031 -0.944  0.081 -0.944  0.192 -0.935  0.292 -0.885  0.393 -0.835  0.483 -0.772  0.551 -0.682  0.620 -0.594  0.700 -0.514  0.784 -0.440  0.874 -0.372  0.957 -0.298  1.019 -0.204  1.100 -0.127  1.188 -0.057  1.275 0.013
2#tos#f1#f1036063/e  -0.328 0.178  -0.492 0.139  -0.659 0.107  -0.793 0.030  -0.666 -0.015  -0.493 -0.015  -0.320 -0.015  -0.154 0.023  0.008 0.081  0.174 0.128  0.293 0.245  0.429 0.344  0.579 0.428  0.702 0.550  0.833 0.662  0.911 0.795  0.911 0.968  0.911 1.141  0.753 1.185  0.580 1.185  0.407 1.185  0.242 1.147  0.083 1.079  -0.054 0.975  -0.186 0.864  -0.319 0.754  -0.444 0.635  -0.555 0.503  -0.664 0.368  -0.764 0.229  -0.825 0.067  -0.870 -0.097  -0.870 -0.270  -0.870 -0.443  -0.870 -0.616  -0.828 -0.780  -0.749 -0.933  -0.622 -1.046  -0.458 -1.096  -0.286 -1.100  -0.113 -1.100  0.060 -1.100  0.233 -1.100  0.403 -1.075  0.572 -1.039  0.740 -0.997  0.877 -0.901  1.027 -0.821  1.189 -0.762  1.337 -0.674
2#tos#f1#f1036063/h  -0.393 0.508  -0.568 0.447  -0.737 0.374  -0.844 0.289  -0.655 0.305  -0.465 0.314  -0.293 0.385  -0.110 0.430  0.054 0.522  0.223 0.610  0.388 0.704  0.533 0.826  0.657 0.966  0.678 1.155  0.678 1.346  0.616 1.520  0.495 1.627  0.391 1.491  0.305 1.320  0.251 1.138  0.189 0.958  0.124 0.779  0.058 0.600  -0.013 0.423  -0.067 0.240  -0.116 0.056  -0.181 -0.123  -0.249 -0.302  -0.304 -0.484  -0.388 -0.654  -0.484 -0.819  -0.533 -1.003  -0.647 -1.154  -0.709 -1.332  -0.728 -1.428  -0.619 -1.274  -0.496 -1.129  -0.400 -0.964  -0.295 -0.805  -0.188 -0.647  -0.070 -0.497  0.067 -0.369  0.251 -0.343  0.354 -0.479  0.371 -0.666  0.458 -0.828  0.603 -0.927  0.764 -0.976  0.927 -1.059  1.115 -1.073
2#tos#f1#f1036063/i  -0.812 -0.851  -0.875 -0.969  -0.947 -1.070  -1.064 -1.137  -1.038 -1.153  -0.958 -1.044  -0.883 -0.931  -0.811 -0.817  -0.739 -0.703  -0.646 -0.605  -0.547 -0.514  -0.443 -0.427  -0.373 -0.312  -0.291 -0.209  -0.179 -0.134  -0.114 -0.017  -0.101 0.115  -0.113 0.040  -0.114 -0.095  -0.114 -0.230  -0.114 -0.366  -0.085 -0.495  -0.038 -0.622  0.078 -0.679  0.204 -0.717  0.340 -0.717  0.475 -0.717  0.582 -0.638  0.662 -0.568  0.646 -0.434  0.629 -0.300  0.613 -0.166  0.596 -0.032  0.580 0.103  0.563 0.237  0.547 0.371  0.530 0.505  0.514 0.639  0.497 0.773  0.481 0.907  0.464 1.042  0.449 1.176  0.449 1.311  0.449 1.446  0.406 1.543  0.271 1.560  0.137 1.564  0.020 1.546  0.064 1.442  0.154 1.349
2#tos#f1#f1036063/l  -1.121 -0.895  -1.121 -1.040  -1.178 -1.170  -1.122 -1.153  -0.988 -1.097  -0.867 -1.016  -0.739 -0.948  -0.615 -0.874  -0.494 -0.792  -0.376 -0.707  -0.263 -0.616  -0.145 -0.532  -0.019 -0.459  0.093 -0.367  0.194 -0.263  0.289 -0.153  0.376 -0.036  0.459 0.083  0.524 0.213  0.594 0.340  0.659 0.469  0.701 0.609  0.734 0.750  0.759 0.892  0.817 1.026  0.830 1.169  0.830 1.314  0.765 1.415  0.620 1.415  0.503 1.346  0.375 1.278  0.275 1.187  0.221 1.053  0.140 0.932  0.064 0.809  -0.001 0.679  -0.043 0.543  -0.043 0.398  -0.089 0.262  -0.149 0.130  -0.189 -0.009  -0.218 -0.151  -0.223 -0.296  -0.223 -0.442  -0.223 -0.587  -0.223 -0.732  -0.189 -0.874  -0.102 -0.960  0.004 -1.043  0.137 -1.100
2#tos#f1#f1036063/m  -0.946 0.324  -1.122 0.272  -1.306 0.241  -1.442 0.303  -1.309 0.440  -1.149 0.554  -0.993 0.675  -0.833 0.786  -0.641 0.831  -0.454 0.886  -0.274 0.943  -0.120 0.900  -0.120 0.703  -0.120 0.506  -0.181 0.330  -0.295 0.171  -0.357 -0.017  -0.459 -0.184  -0.573 -0.345  -0.696 -0.499  -0.814 -0.657  -0.822 -0.852  -0.781 -0.823  -0.681 -0.659  -0.546 -0.515  -0.416 -0.368  -0.290 -0.218  -0.165 -0.066  -0.018 0.062  0.086 0.213  0.210 0.196  0.210 -0.001  0.133 -0.167  0.094 -0.356  0.201 -0.372  0.384 -0.319  0.472 -0.143  0.561 0.033  0.719 0.131  0.871 0.241  1.027 0.282  1.083 0.106  1.119 -0.083  1.153 -0.275  1.231 -0.449  1.299 -0.585  1.496 -0.585  1.694 -0.585  1.891 -0.585  1.986 -0.420
2#tos#f1#f1036063/p  -0.565 0.896  -0.677 0.740  -0.849 0.681  -0.741 0.561  -0.533 0.561  -0.345 0.636  -0.190 0.774  -0.024 0.895  0.135 1.029  0.260 1.190  0.197 1.151  0.112 0.961  0.058 0.762  -0.012 0.567  -0.045 0.362  -0.116 0.168  -0.190 -0.027  -0.240 -0.228  -0.298 -0.428  -0.359 -0.627  -0.430 -0.823  -0.483 -1.023  -0.518 -1.228  -0.567 -1.422  -0.668 -1.581  -0.717 -1.760  -0.745 -1.581  -0.727 -1.380  -0.588 -1.229  -0.543 -1.029  -0.432 -0.853  -0.300 -0.692  -0.193 -0.513  -0.068 -0.348  0.066 -0.190  0.194 -0.025  0.339 0.124  0.501 0.254  0.657 0.390  0.804 0.537  0.978 0.648  1.172 0.690  1.344 0.623  1.309 0.426  1.133 0.316  0.948 0.223  0.747 0.174  0.540 0.168  0.333 0.148  0.338 0.329
2#tos#f1#f1036063/r  -0.109 0.921  -0.157 1.046  -0.281 1.108  -0.312 1.101  -0.312 0.961  -0.312 0.822  -0.312 0.683  -0.312 0.544  -0.312 0.405  -0.312 0.266  -0.312 0.127  -0.312 -0.013  -0.312 -0.152  -0.312 -0.291  -0.335 -0.427  -0.368 -0.562  -0.393 -0.698  -0.393 -0.837  -0.393 -0.976  -0.419 -1.113  -0.434 -1.251  -0.434 -1.390  -0.448 -1.515  -0.515 -1.443  -0.515 -1.304  -0.502 -1.166  -0.475 -1.030  -0.448 -0.893  -0.407 -0.761  -0.352 -0.633  -0.295 -0.506  -0.233 -0.382  -0.171 -0.257  -0.108 -0.133  -0.041 -0.012  0.036 0.104  0.114 0.220  0.192 0.335  0.276 0.446  0.380 0.537  0.491 0.620  0.602 0.704  0.725 0.769  0.855 0.817  0.991 0.840  1.128 0.849  1.260 0.880  1.399 0.880  1.538 0.880  1.677 0.880
2#tos#f1#f1036063/z  -1.073 0.836  -1.285 0.836  -1.348 0.943  -1.157 1.027  -0.951 1.065  -0.747 1.121  -0.540 1.167  -0.331 1.185  -0.119 1.185  0.092 1.185  0.301 1.158  0.490 1.069  0.594 0.903  0.594 0.691  0.594 0.480  0.553 0.283  0.418 0.121  0.324 -0.066  0.198 -0.235  0.068 -0.403  -0.053 -0.575  -0.148 -0.764  -0.278 -0.928  -0.336 -1.115  -0.210 -1.229  -0.010 -1.258  0.201 -1.258  0.398 -1.221  0.576 -1.141  0.788 -1.141  0.894 -0.988  1.066 -0.934  1.100 -0.765  0.931 -0.638  0.762 -0.511  0.592 -0.384  0.423 -0.257  0.254 -0.130  0.085 -0.003  -0.085 0.124  -0.291 0.138  -0.503 0.138  -0.715 0.138  -0.910 0.136  -0.715 0.056  -0.520 -0.017  -0.309 -0.017  -0.097 -0.017  0.114 -0.013  0.323 0.022
