2#tos#t1#t1035063/\"  -0.478 0.604  -0.608 0.561  -0.608 0.389  -0.608 0.216  -0.608 0.043  -0.526 -0.047  -0.478 -0.172  -0.478 -0.345  -0.478 -0.518  -0.478 -0.690  -0.478 -0.863  -0.478 -1.036  -0.478 -1.209  -0.478 -1.382  -0.478 -1.554  -0.478 -1.727  -0.424 -1.592  -0.365 -1.429  -0.307 -1.266  -0.248 -1.104  -0.190 -0.941  -0.131 -0.779  -0.073 -0.616  -0.014 -0.454  0.044 -0.291  0.103 -0.128  0.161 0.034  0.220 0.197  0.278 0.359  0.337 0.522  0.395 0.684  0.454 0.847  0.512 1.009  0.571 1.172  0.629 1.335  0.688 1.497  0.542 1.516  0.434 1.451  0.434 1.278  0.304 1.236  0.304 1.063  0.304 0.890  0.304 0.717  0.346 0.562  0.434 0.426  0.434 0.253  0.434 0.080  0.434 -0.093  0.434 -0.265  0.434 -0.438
2#tos#t1#t1035063/P  -0.216 1.047  -0.411 1.025  -0.411 0.808  -0.411 0.591  -0.370 0.415  -0.362 0.205  -0.362 -0.012  -0.362 -0.229  -0.362 -0.447  -0.362 -0.664  -0.353 -0.879  -0.313 -1.090  -0.265 -1.296  -0.265 -1.513  -0.265 -1.730  -0.267 -1.703  -0.272 -1.486  -0.276 -1.268  -0.281 -1.051  -0.285 -0.834  -0.289 -0.617  -0.294 -0.400  -0.298 -0.183  -0.303 0.034  -0.307 0.252  -0.312 0.469  -0.313 0.686  -0.444 0.830  -0.429 1.029  -0.279 1.145  -0.082 1.194  0.132 1.175  0.344 1.145  0.561 1.145  0.734 1.023  0.943 0.970  1.124 0.898  1.244 0.746  1.244 0.529  1.153 0.369  0.998 0.217  0.843 0.066  0.678 -0.071  0.542 -0.239  0.337 -0.267  0.162 -0.380  -0.051 -0.413  -0.269 -0.413  -0.486 -0.413  -0.411 -0.413
2#tos#t1#t1035063/R  -0.313 0.720  -0.559 0.771  -0.654 0.965  -0.591 0.724  -0.569 0.466  -0.569 0.206  -0.483 -0.020  -0.483 -0.281  -0.483 -0.542  -0.483 -0.803  -0.483 -1.063  -0.483 -1.324  -0.493 -1.313  -0.510 -1.053  -0.527 -0.792  -0.545 -0.532  -0.562 -0.272  -0.579 -0.012  -0.597 0.249  -0.655 0.465  -0.912 0.508  -0.909 0.687  -0.752 0.863  -0.518 0.956  -0.278 1.027  -0.022 1.061  0.239 1.061  0.500 1.061  0.761 1.061  1.013 1.046  1.133 0.854  1.152 0.612  1.048 0.395  0.886 0.215  0.682 0.057  0.514 -0.045  0.297 -0.166  0.060 -0.258  -0.148 -0.343  -0.409 -0.343  -0.217 -0.298  0.039 -0.247  0.155 -0.273  0.356 -0.401  0.574 -0.526  0.743 -0.711  0.884 -0.896  1.092 -0.982  1.270 -1.171  1.388 -1.364
2#tos#t1#t1035063/U  -0.833 1.208  -0.875 1.220  -0.875 1.105  -0.875 0.990  -0.875 0.875  -0.875 0.760  -0.875 0.645  -0.875 0.530  -0.847 0.418  -0.828 0.306  -0.791 0.197  -0.778 0.085  -0.721 -0.015  -0.665 -0.113  -0.665 -0.228  -0.665 -0.343  -0.608 -0.423  -0.554 -0.516  -0.502 -0.618  -0.454 -0.718  -0.412 -0.816  -0.327 -0.847  -0.284 -0.943  -0.179 -0.985  -0.064 -0.985  0.051 -0.985  0.166 -0.985  0.263 -0.967  0.307 -0.879  0.417 -0.859  0.443 -0.763  0.526 -0.685  0.601 -0.616  0.601 -0.501  0.658 -0.407  0.702 -0.301  0.753 -0.200  0.769 -0.092  0.769 0.023  0.769 0.138  0.795 0.247  0.812 0.358  0.812 0.473  0.836 0.582  0.854 0.693  0.896 0.766  0.896 0.881  0.896 0.996  0.854 1.093  0.854 1.208
2#tos#t1#t1035063/V  -0.941 1.108  -1.053 1.061  -1.128 1.108  -1.069 1.035  -0.987 0.968  -0.928 0.893  -0.860 0.792  -0.848 0.675  -0.786 0.577  -0.719 0.476  -0.671 0.362  -0.625 0.248  -0.589 0.135  -0.521 0.032  -0.481 -0.084  -0.420 -0.190  -0.377 -0.300  -0.290 -0.387  -0.238 -0.497  -0.238 -0.620  -0.207 -0.736  -0.129 -0.829  -0.051 -0.892  -0.051 -1.015  0.030 -1.089  0.043 -1.203  0.090 -1.280  0.177 -1.222  0.236 -1.115  0.260 -0.995  0.277 -0.873  0.277 -0.750  0.352 -0.664  0.450 -0.591  0.465 -0.475  0.465 -0.352  0.535 -0.252  0.608 -0.153  0.663 -0.043  0.709 0.070  0.739 0.189  0.746 0.312  0.756 0.433  0.793 0.550  0.812 0.667  0.880 0.770  0.934 0.880  0.934 1.003  0.951 1.108  1.028 1.155
2#tos#t1#t1035063/W  -1.327 0.917  -1.274 1.038  -1.206 0.933  -1.089 0.877  -1.004 0.741  -1.004 0.568  -0.979 0.399  -0.908 0.241  -0.883 0.074  -0.820 -0.073  -0.803 -0.239  -0.746 -0.389  -0.709 -0.547  -0.642 -0.692  -0.601 -0.849  -0.556 -0.977  -0.521 -1.081  -0.499 -0.911  -0.389 -0.793  -0.360 -0.627  -0.287 -0.478  -0.197 -0.330  -0.120 -0.175  -0.090 -0.007  -0.077 0.164  0.003 0.287  0.003 0.461  0.071 0.366  0.164 0.255  0.205 0.122  0.245 -0.045  0.326 -0.185  0.359 -0.353  0.406 -0.518  0.432 -0.681  0.567 -0.751  0.656 -0.767  0.759 -0.629  0.849 -0.483  0.849 -0.310  0.886 -0.143  0.953 0.014  1.033 0.161  1.070 0.330  1.112 0.497  1.131 0.668  1.212 0.760  1.212 0.933  1.252 1.066  1.333 1.159
2#tos#t1#t1035063/X  -0.838 0.944  -1.026 0.944  -1.213 0.944  -1.083 0.890  -0.914 0.811  -0.797 0.708  -0.690 0.576  -0.510 0.525  -0.359 0.421  -0.227 0.288  -0.139 0.137  0.018 0.044  0.141 -0.094  0.235 -0.247  0.381 -0.364  0.490 -0.516  0.623 -0.648  0.736 -0.779  0.869 -0.901  0.917 -1.059  1.039 -1.131  0.955 -1.012  0.929 -0.826  0.903 -0.641  0.877 -0.455  0.851 -0.269  0.825 -0.084  0.799 0.102  0.774 0.288  0.748 0.474  0.722 0.659  0.672 0.811  0.574 0.901  0.521 1.023  0.395 0.885  0.278 0.739  0.128 0.628  0.028 0.470  -0.063 0.307  -0.195 0.174  -0.328 0.042  -0.479 -0.068  -0.613 -0.199  -0.685 -0.372  -0.823 -0.483  -0.882 -0.634  -0.976 -0.783  -1.073 -0.931  -1.195 -1.067  -1.324 -1.175
2#tos#t1#t1035063/Y  -1.312 1.027  -1.333 0.926  -1.212 0.840  -1.074 0.738  -0.936 0.626  -0.833 0.498  -0.707 0.372  -0.568 0.276  -0.461 0.204  -0.413 0.059  -0.239 0.025  -0.066 0.003  -0.010 -0.142  0.115 -0.225  0.217 -0.229  0.305 -0.073  0.394 0.082  0.483 0.237  0.572 0.393  0.661 0.548  0.749 0.703  0.838 0.859  0.927 1.014  1.040 1.127  1.063 1.027  0.949 0.912  0.820 0.814  0.714 0.688  0.572 0.589  0.451 0.466  0.385 0.323  0.250 0.215  0.158 0.061  0.016 -0.037  -0.060 -0.169  -0.204 -0.271  -0.260 -0.425  -0.310 -0.397  -0.361 -0.283  -0.310 -0.411  -0.260 -0.540  -0.210 -0.699  -0.187 -0.872  -0.123 -1.038  -0.110 -1.215  -0.080 -1.387  -0.010 -1.541  -0.010 -1.720  -0.010 -1.899  -0.010 -2.077
2#tos#t1#t1035063/c  0.565 0.666  0.680 0.666  0.734 0.726  0.734 0.841  0.734 0.956  0.723 1.059  0.609 1.059  0.494 1.059  0.379 1.059  0.265 1.059  0.150 1.059  0.043 1.042  -0.038 0.961  -0.142 0.917  -0.251 0.881  -0.360 0.845  -0.390 0.752  -0.428 0.646  -0.498 0.557  -0.579 0.476  -0.615 0.376  -0.670 0.292  -0.766 0.228  -0.783 0.123  -0.783 0.008  -0.783 -0.106  -0.783 -0.221  -0.783 -0.336  -0.783 -0.450  -0.783 -0.565  -0.783 -0.679  -0.684 -0.733  -0.626 -0.829  -0.530 -0.866  -0.425 -0.908  -0.310 -0.908  -0.196 -0.908  -0.081 -0.908  0.034 -0.908  0.148 -0.908  0.263 -0.908  0.377 -0.908  0.489 -0.885  0.600 -0.857  0.714 -0.852  0.822 -0.830  0.918 -0.767  1.017 -0.710  1.125 -0.683  1.240 -0.683
2#tos#t1#t1035063/d  0.240 -0.444  0.240 -0.217  0.281 -0.007  0.278 0.218  0.117 0.306  -0.037 0.452  -0.260 0.462  -0.455 0.385  -0.505 0.174  -0.650 0.042  -0.762 -0.154  -0.800 -0.372  -0.831 -0.586  -0.831 -0.813  -0.831 -1.040  -0.748 -1.247  -0.666 -1.423  -0.548 -1.556  -0.336 -1.509  -0.253 -1.309  -0.130 -1.170  -0.059 -0.960  -0.007 -0.742  0.066 -0.529  0.158 -0.321  0.240 -0.114  0.240 0.113  0.240 0.340  0.240 0.566  0.315 0.776  0.324 1.000  0.364 1.221  0.385 1.441  0.446 1.649  0.446 1.850  0.323 1.722  0.281 1.512  0.199 1.337  0.199 1.110  0.199 0.883  0.199 0.656  0.199 0.429  0.199 0.203  0.199 -0.024  0.199 -0.251  0.199 -0.478  0.281 -0.679  0.331 -0.860  0.467 -0.979  0.611 -1.062
2#tos#t1#t1035063/e  -0.250 0.441  -0.344 0.328  -0.359 0.270  -0.306 0.117  -0.159 0.069  0.008 0.048  0.182 0.048  0.357 0.048  0.532 0.048  0.707 0.048  0.882 0.048  1.052 0.059  1.153 0.160  1.097 0.278  1.041 0.397  1.024 0.562  0.928 0.678  0.861 0.811  0.692 0.834  0.540 0.890  0.422 0.946  0.249 0.940  0.095 0.890  -0.080 0.890  -0.235 0.825  -0.396 0.778  -0.514 0.721  -0.643 0.675  -0.729 0.553  -0.903 0.553  -0.954 0.411  -0.979 0.247  -1.082 0.114  -1.092 -0.057  -1.092 -0.232  -1.023 -0.381  -0.979 -0.549  -0.910 -0.695  -0.765 -0.789  -0.616 -0.877  -0.492 -1.001  -0.350 -1.101  -0.183 -1.130  -0.009 -1.130  0.166 -1.130  0.341 -1.130  0.516 -1.130  0.691 -1.130  0.866 -1.130  1.041 -1.130
2#tos#t1#t1035063/l  -0.134 1.308  -0.207 1.308  -0.247 1.340  -0.247 1.414  -0.247 1.469  -0.247 1.396  -0.229 1.327  -0.196 1.262  -0.189 1.190  -0.166 1.120  -0.143 1.051  -0.102 0.992  -0.077 0.930  -0.077 0.856  -0.060 0.785  -0.042 0.714  -0.024 0.643  -0.020 0.570  -0.013 0.499  0.019 0.433  0.037 0.364  0.037 0.291  0.037 0.218  0.037 0.145  0.037 0.071  0.037 -0.002  0.043 -0.074  0.066 -0.144  0.089 -0.213  0.094 -0.286  0.094 -0.359  0.094 -0.432  0.094 -0.505  0.094 -0.578  0.094 -0.652  0.094 -0.725  0.094 -0.798  0.094 -0.871  0.094 -0.945  0.094 -1.018  0.094 -1.091  0.094 -1.164  0.094 -1.237  0.094 -1.311  0.094 -1.384  0.094 -1.457  0.094 -1.530  0.144 -1.583  0.196 -1.635  0.207 -1.703
2#tos#t1#t1035063/m  -0.716 0.398  -0.826 0.515  -0.881 0.688  -0.792 0.852  -0.771 0.823  -0.771 0.595  -0.771 0.368  -0.818 0.148  -0.890 -0.052  -0.936 -0.261  -0.936 -0.488  -0.991 -0.703  -0.991 -0.931  -0.936 -1.077  -0.881 -0.872  -0.854 -0.651  -0.765 -0.441  -0.673 -0.233  -0.620 -0.018  -0.605 0.206  -0.495 0.388  -0.440 0.593  -0.348 0.729  -0.188 0.642  0.021 0.598  0.062 0.386  0.111 0.170  0.111 -0.057  0.111 -0.285  0.111 -0.513  0.111 -0.740  0.111 -0.739  0.148 -0.520  0.270 -0.328  0.361 -0.123  0.522 0.038  0.597 0.247  0.670 0.461  0.810 0.638  0.883 0.839  1.092 0.795  1.145 0.598  1.213 0.412  1.213 0.185  1.323 0.003  1.323 -0.225  1.323 -0.453  1.385 -0.655  1.434 -0.862  1.434 -1.090
2#tos#t1#t1035063/q  0.592 0.685  0.643 0.673  0.754 0.847  0.817 1.062  0.846 1.292  0.709 1.396  0.480 1.447  0.238 1.447  0.034 1.320  -0.162 1.182  -0.354 1.044  -0.533 0.903  -0.615 0.717  -0.688 0.517  -0.779 0.304  -0.779 0.063  -0.677 -0.077  -0.436 -0.077  -0.201 -0.036  -0.077 0.161  0.062 0.295  0.222 0.417  0.372 0.602  0.314 0.689  0.160 0.507  -0.011 0.336  -0.037 0.100  -0.118 -0.125  -0.259 -0.318  -0.373 -0.512  -0.402 -0.749  -0.424 -0.988  -0.526 -1.199  -0.526 -1.440  -0.526 -1.681  -0.356 -1.753  -0.165 -1.702  0.012 -1.613  0.084 -1.383  0.084 -1.142  0.084 -0.901  0.084 -0.659  0.084 -0.418  0.032 -0.228  -0.119 -0.109  0.084 -0.083  0.230 -0.178  0.471 -0.178  0.706 -0.229  0.947 -0.229
2#tos#t1#t1035063/u  -0.898 0.795  -0.969 0.727  -0.969 0.587  -0.997 0.455  -1.041 0.325  -1.041 0.186  -1.041 0.046  -1.041 -0.093  -1.041 -0.233  -1.041 -0.372  -1.010 -0.507  -0.969 -0.640  -0.969 -0.780  -0.964 -0.913  -0.895 -0.984  -0.756 -0.984  -0.616 -0.984  -0.477 -0.984  -0.337 -0.984  -0.236 -0.892  -0.186 -0.773  -0.104 -0.661  -0.020 -0.549  0.070 -0.443  0.098 -0.315  0.190 -0.242  0.312 -0.190  0.316 -0.052  0.378 0.073  0.383 0.212  0.396 0.350  0.430 0.485  0.482 0.610  0.526 0.732  0.528 0.871  0.590 0.995  0.650 1.080  0.739 1.030  0.739 0.890  0.739 0.751  0.824 0.685  0.868 0.552  0.882 0.415  0.897 0.282  0.953 0.165  1.010 0.039  1.095 -0.026  1.095 -0.165  1.189 -0.224  1.238 -0.344
2#tos#t1#t1035063/v  -1.520 0.324  -1.438 0.384  -1.330 0.384  -1.222 0.384  -1.114 0.384  -1.024 0.357  -0.974 0.263  -0.866 0.263  -0.856 0.165  -0.832 0.082  -0.724 0.082  -0.675 0.023  -0.675 -0.085  -0.660 -0.189  -0.611 -0.284  -0.542 -0.366  -0.494 -0.462  -0.494 -0.570  -0.423 -0.642  -0.316 -0.642  -0.313 -0.747  -0.272 -0.845  -0.207 -0.930  -0.105 -0.944  -0.010 -0.903  0.080 -0.844  0.110 -0.752  0.110 -0.644  0.149 -0.559  0.242 -0.503  0.334 -0.448  0.419 -0.386  0.468 -0.289  0.516 -0.193  0.564 -0.097  0.612 -0.000  0.667 0.089  0.764 0.137  0.805 0.234  0.839 0.336  0.879 0.436  0.919 0.536  0.961 0.635  1.021 0.724  1.082 0.813  1.159 0.889  1.221 0.975  1.257 1.074  1.257 1.182  1.257 1.169
2#tos#t1#t1035063/y  -0.463 0.851  -0.463 0.708  -0.597 0.699  -0.539 0.649  -0.396 0.649  -0.362 0.540  -0.291 0.426  -0.160 0.396  -0.081 0.278  0.024 0.195  0.063 0.083  0.196 0.043  0.244 -0.052  0.303 0.066  0.365 0.195  0.427 0.324  0.489 0.453  0.551 0.581  0.613 0.710  0.674 0.839  0.736 0.968  0.798 1.097  0.849 1.180  0.834 1.053  0.739 0.963  0.657 0.846  0.571 0.732  0.546 0.597  0.445 0.496  0.344 0.395  0.277 0.275  0.240 0.137  0.166 0.015  0.093 -0.108  -0.043 -0.153  -0.077 -0.283  -0.097 -0.425  -0.148 -0.551  -0.249 -0.652  -0.301 -0.783  -0.372 -0.906  -0.449 -1.027  -0.522 -1.149  -0.608 -1.262  -0.656 -1.396  -0.747 -1.503  -0.817 -1.626  -0.863 -1.762  -0.925 -1.875  -1.018 -1.925
2#tos#t1#t1035063/z  -0.331 1.160  -0.463 1.089  -0.582 0.999  -0.711 0.941  -0.721 0.889  -0.572 0.889  -0.422 0.889  -0.272 0.889  -0.123 0.889  0.027 0.889  0.176 0.889  0.326 0.889  0.471 0.911  0.612 0.943  0.762 0.943  0.861 0.994  0.780 0.917  0.671 0.814  0.551 0.725  0.447 0.620  0.361 0.498  0.255 0.392  0.150 0.286  0.044 0.181  -0.062 0.075  -0.168 -0.031  -0.247 -0.153  -0.381 -0.220  -0.440 -0.333  -0.466 -0.477  -0.522 -0.616  -0.613 -0.726  -0.734 -0.814  -0.819 -0.928  -0.819 -1.078  -0.762 -1.170  -0.613 -1.170  -0.463 -1.170  -0.335 -1.119  -0.202 -1.051  -0.068 -0.984  0.074 -0.954  0.221 -0.932  0.365 -0.899  0.515 -0.899  0.556 -0.791  0.705 -0.791  0.855 -0.791  0.994 -0.766  1.132 -0.737
