2#tos#t3#t3042061/\"  -0.264 0.736  -0.383 0.696  -0.383 0.537  -0.503 0.498  -0.640 0.462  -0.711 0.320  -0.741 0.168  -0.749 0.012  -0.860 -0.101  -0.860 -0.260  -0.918 -0.395  -1.031 -0.507  -1.098 -0.638  -1.144 -0.786  -1.216 -0.928  -1.327 -1.042  -1.218 -0.969  -1.087 -0.878  -0.957 -0.787  -0.826 -0.696  -0.695 -0.605  -0.565 -0.515  -0.434 -0.424  -0.304 -0.333  -0.173 -0.242  -0.043 -0.151  0.088 -0.061  0.218 0.030  0.349 0.121  0.479 0.212  0.610 0.303  0.740 0.393  0.871 0.484  1.001 0.575  1.132 0.666  1.263 0.757  1.393 0.847  1.285 0.830  1.285 0.671  1.285 0.512  1.259 0.379  1.100 0.379  0.972 0.304  0.860 0.191  0.726 0.113  0.575 0.063  0.451 -0.007  0.451 -0.166  0.403 -0.313  0.332 -0.456
2#tos#t3#t3042061/K  -0.527 1.680  -0.634 1.529  -0.634 1.311  -0.634 1.093  -0.634 0.875  -0.634 0.657  -0.634 0.439  -0.634 0.221  -0.634 0.004  -0.634 -0.214  -0.667 -0.428  -0.688 -0.643  -0.696 -0.860  -0.741 -1.070  -0.795 -0.968  -0.670 -0.796  -0.527 -0.632  -0.385 -0.467  -0.242 -0.302  -0.100 -0.137  0.043 0.028  0.185 0.192  0.328 0.357  0.470 0.522  0.613 0.687  0.755 0.851  0.898 1.016  0.889 0.878  0.703 0.771  0.519 0.658  0.313 0.595  0.188 0.442  -0.021 0.382  -0.216 0.285  -0.411 0.187  -0.562 0.076  -0.581 -0.016  -0.432 -0.085  -0.236 -0.138  -0.084 -0.245  0.097 -0.334  0.284 -0.430  0.455 -0.553  0.624 -0.665  0.785 -0.809  0.927 -0.970  1.050 -1.101  1.248 -1.186  1.354 -1.315  1.559 -1.369
2#tos#t3#t3042061/L  -0.380 1.516  -0.380 1.415  -0.380 1.314  -0.380 1.213  -0.409 1.116  -0.425 1.018  -0.452 0.923  -0.489 0.829  -0.521 0.733  -0.553 0.637  -0.561 0.537  -0.610 0.451  -0.651 0.362  -0.651 0.261  -0.651 0.160  -0.706 0.093  -0.741 0.014  -0.741 -0.088  -0.741 -0.189  -0.808 -0.262  -0.831 -0.354  -0.876 -0.436  -0.848 -0.509  -0.746 -0.509  -0.690 -0.464  -0.589 -0.464  -0.489 -0.458  -0.391 -0.433  -0.291 -0.419  -0.190 -0.419  -0.089 -0.419  0.012 -0.419  0.113 -0.419  0.214 -0.419  0.315 -0.419  0.415 -0.409  0.511 -0.377  0.612 -0.374  0.713 -0.374  0.814 -0.374  0.915 -0.374  1.016 -0.374  1.117 -0.374  1.218 -0.374  1.319 -0.374  1.421 -0.374  1.522 -0.374  1.600 -0.351  1.679 -0.329  1.735 -0.284
2#tos#t3#t3042061/M  -0.681 -0.933  -0.818 -0.973  -0.843 -1.088  -0.843 -0.935  -0.883 -0.799  -0.923 -0.652  -0.924 -0.499  -0.924 -0.346  -0.924 -0.193  -0.924 -0.040  -0.924 0.113  -0.924 0.266  -0.924 0.420  -0.924 0.573  -0.924 0.726  -0.924 0.733  -0.812 0.644  -0.762 0.518  -0.722 0.374  -0.669 0.254  -0.560 0.168  -0.537 0.038  -0.447 -0.075  -0.298 -0.084  -0.145 -0.084  -0.038 -0.009  0.096 0.063  0.211 0.161  0.339 0.245  0.443 0.346  0.526 0.475  0.645 0.556  0.674 0.685  0.746 0.765  0.850 0.844  0.895 0.901  0.895 0.748  0.895 0.595  0.925 0.446  0.936 0.294  0.950 0.143  0.976 -0.007  0.976 -0.160  0.976 -0.313  1.017 -0.460  1.017 -0.613  1.017 -0.766  1.057 -0.909  1.057 -1.063  1.098 -1.094
2#tos#t3#t3042061/O  0.115 0.799  -0.045 0.726  -0.159 0.577  -0.272 0.412  -0.405 0.259  -0.509 0.084  -0.636 -0.073  -0.715 -0.259  -0.727 -0.459  -0.727 -0.663  -0.727 -0.866  -0.687 -1.053  -0.581 -1.207  -0.461 -1.352  -0.314 -1.488  -0.127 -1.528  0.070 -1.489  0.217 -1.377  0.385 -1.287  0.555 -1.207  0.637 -1.031  0.689 -0.860  0.789 -0.694  0.844 -0.512  0.878 -0.316  0.907 -0.117  0.918 0.084  0.873 0.260  0.727 0.381  0.570 0.505  0.449 0.653  0.261 0.719  0.067 0.759  -0.136 0.759  -0.284 0.681  -0.484 0.709  -0.685 0.740  -0.887 0.759  -0.966 0.599  -0.927 0.599  -0.724 0.599  -0.522 0.602  -0.341 0.679  -0.138 0.679  0.066 0.679  0.229 0.719  0.433 0.719  0.636 0.719  0.837 0.699  1.038 0.679
2#tos#t3#t3042061/R  -0.183 1.214  -0.310 1.182  -0.352 0.945  -0.352 0.702  -0.352 0.459  -0.358 0.217  -0.394 -0.022  -0.394 -0.265  -0.394 -0.508  -0.394 -0.750  -0.394 -0.993  -0.394 -1.236  -0.436 -1.193  -0.521 -1.034  -0.521 -0.791  -0.521 -0.549  -0.521 -0.306  -0.521 -0.063  -0.521 0.180  -0.521 0.422  -0.521 0.665  -0.650 0.835  -0.689 1.039  -0.523 1.171  -0.297 1.199  -0.089 1.256  0.153 1.256  0.392 1.233  0.624 1.165  0.790 1.002  0.947 0.857  1.065 0.656  1.081 0.417  0.988 0.211  0.864 0.031  0.674 -0.105  0.534 -0.302  0.311 -0.395  0.109 -0.514  -0.099 -0.598  -0.335 -0.640  -0.548 -0.640  -0.310 -0.661  -0.072 -0.682  0.155 -0.746  0.373 -0.817  0.576 -0.937  0.775 -1.062  0.950 -1.188  1.123 -1.315
2#tos#t3#t3042061/S  0.594 0.740  0.698 0.721  0.733 0.842  0.649 0.914  0.563 0.984  0.417 1.037  0.285 1.120  0.143 1.155  -0.011 1.159  -0.167 1.159  -0.323 1.159  -0.453 1.133  -0.530 1.052  -0.665 0.982  -0.750 0.878  -0.733 0.761  -0.733 0.605  -0.616 0.507  -0.486 0.424  -0.362 0.337  -0.216 0.282  -0.068 0.233  0.071 0.169  0.215 0.110  0.364 0.067  0.465 -0.033  0.602 -0.106  0.639 -0.247  0.700 -0.378  0.768 -0.491  0.768 -0.647  0.811 -0.790  0.838 -0.938  0.819 -1.075  0.677 -1.110  0.521 -1.110  0.366 -1.106  0.213 -1.075  0.061 -1.040  -0.085 -0.997  -0.234 -0.970  -0.384 -0.935  -0.524 -0.865  -0.651 -0.796  -0.733 -0.695  -0.767 -0.574  -0.837 -0.461  -0.872 -0.554  -0.872 -0.709  -0.907 -0.831
2#tos#t3#t3042061/U  -0.488 1.284  -0.558 1.231  -0.559 1.109  -0.627 1.015  -0.627 0.892  -0.627 0.770  -0.665 0.653  -0.697 0.538  -0.697 0.416  -0.697 0.293  -0.697 0.171  -0.697 0.048  -0.697 -0.075  -0.697 -0.197  -0.697 -0.320  -0.697 -0.442  -0.697 -0.565  -0.697 -0.687  -0.633 -0.791  -0.565 -0.890  -0.510 -1.000  -0.449 -1.078  -0.361 -1.112  -0.246 -1.147  -0.124 -1.147  -0.046 -1.087  0.044 -1.020  0.130 -0.942  0.174 -0.833  0.276 -0.765  0.345 -0.712  0.389 -0.625  0.426 -0.510  0.464 -0.403  0.519 -0.304  0.563 -0.200  0.588 -0.087  0.588 0.035  0.605 0.149  0.700 0.223  0.755 0.332  0.788 0.442  0.866 0.533  0.866 0.655  0.930 0.758  0.936 0.878  0.936 1.000  0.944 1.119  0.987 1.215  0.936 1.180
2#tos#t3#t3042061/V  -0.750 1.364  -0.828 1.315  -0.828 1.188  -0.828 1.061  -0.828 0.934  -0.750 0.856  -0.750 0.729  -0.720 0.606  -0.680 0.486  -0.671 0.360  -0.637 0.239  -0.631 0.112  -0.548 0.020  -0.494 -0.090  -0.474 -0.215  -0.451 -0.337  -0.394 -0.450  -0.354 -0.571  -0.311 -0.690  -0.232 -0.786  -0.201 -0.909  -0.140 -1.016  -0.119 -1.140  -0.058 -1.236  -0.002 -1.334  0.038 -1.338  0.078 -1.250  0.093 -1.127  0.147 -1.024  0.196 -0.927  0.197 -0.801  0.268 -0.695  0.356 -0.603  0.416 -0.495  0.467 -0.379  0.511 -0.263  0.511 -0.135  0.511 -0.008  0.550 0.103  0.629 0.197  0.629 0.324  0.629 0.451  0.711 0.545  0.747 0.666  0.747 0.793  0.747 0.920  0.787 1.008  0.864 1.088  0.871 1.211  0.983 1.245
2#tos#t3#t3042061/X  -1.076 1.285  -1.223 1.208  -1.086 1.125  -0.940 1.034  -0.844 0.894  -0.760 0.742  -0.604 0.656  -0.505 0.506  -0.390 0.368  -0.263 0.241  -0.169 0.090  -0.033 -0.019  0.094 -0.141  0.179 -0.298  0.275 -0.451  0.413 -0.562  0.525 -0.701  0.622 -0.841  0.763 -0.910  0.814 -1.064  0.832 -0.945  0.703 -0.849  0.732 -0.672  0.761 -0.494  0.790 -0.317  0.818 -0.139  0.847 0.038  0.876 0.216  0.905 0.393  0.934 0.571  0.963 0.748  0.825 0.784  0.731 0.900  0.562 0.847  0.431 0.729  0.315 0.593  0.188 0.466  0.060 0.338  -0.071 0.216  -0.212 0.105  -0.339 -0.022  -0.408 -0.188  -0.524 -0.323  -0.639 -0.460  -0.757 -0.595  -0.872 -0.732  -0.965 -0.886  -1.019 -1.049  -1.146 -1.176  -1.114 -1.260
2#tos#t3#t3042061/Y  -0.542 1.188  -0.709 1.188  -0.876 1.188  -0.966 1.218  -0.881 1.085  -0.804 0.941  -0.679 0.841  -0.622 0.699  -0.566 0.555  -0.476 0.420  -0.363 0.345  -0.323 0.184  -0.236 0.054  -0.163 -0.096  -0.061 -0.197  0.067 -0.144  0.196 -0.038  0.326 0.067  0.455 0.173  0.584 0.278  0.714 0.383  0.843 0.489  0.972 0.594  1.102 0.700  1.077 0.750  1.042 0.619  0.878 0.607  0.728 0.533  0.697 0.385  0.567 0.284  0.428 0.199  0.270 0.146  0.112 0.092  -0.006 -0.026  -0.152 -0.104  -0.260 -0.212  -0.402 -0.291  -0.344 -0.300  -0.236 -0.358  -0.177 -0.504  -0.148 -0.663  -0.148 -0.830  -0.104 -0.987  -0.104 -1.154  -0.104 -1.321  -0.104 -1.487  -0.104 -1.654  -0.104 -1.821  -0.148 -1.970  -0.148 -2.049
2#tos#t3#t3042061/Z  -0.673 1.342  -0.864 1.299  -0.730 1.268  -0.520 1.268  -0.311 1.268  -0.101 1.268  0.108 1.268  0.318 1.268  0.496 1.194  0.662 1.122  0.844 1.029  0.997 0.891  1.034 0.719  0.932 0.573  0.784 0.425  0.629 0.290  0.459 0.186  0.331 0.049  0.162 -0.072  0.003 -0.208  -0.160 -0.338  -0.286 -0.486  -0.442 -0.578  -0.581 -0.718  -0.710 -0.809  -0.855 -0.938  -0.949 -1.069  -0.826 -1.143  -0.617 -1.143  -0.407 -1.143  -0.198 -1.143  0.012 -1.143  0.221 -1.143  0.431 -1.143  0.640 -1.143  0.559 -0.988  0.443 -0.814  0.327 -0.639  0.211 -0.465  0.095 -0.291  -0.022 -0.116  -0.138 0.058  -0.254 0.232  -0.370 0.406  -0.487 0.327  -0.353 0.207  -0.203 0.094  -0.013 0.010  0.117 -0.137  0.255 -0.253
2#tos#t3#t3042061/a  0.423 0.149  0.583 0.149  0.639 0.284  0.639 0.444  0.584 0.581  0.509 0.710  0.368 0.778  0.211 0.795  0.051 0.795  -0.109 0.795  -0.268 0.795  -0.416 0.765  -0.529 0.652  -0.667 0.575  -0.816 0.515  -0.959 0.446  -1.086 0.350  -1.206 0.244  -1.247 0.102  -1.247 -0.058  -1.355 -0.151  -1.355 -0.311  -1.355 -0.471  -1.261 -0.592  -1.163 -0.670  -1.010 -0.714  -0.850 -0.714  -0.694 -0.691  -0.539 -0.660  -0.380 -0.657  -0.247 -0.568  -0.106 -0.493  0.027 -0.409  0.140 -0.296  0.262 -0.208  0.367 -0.105  0.505 -0.026  0.548 0.111  0.639 0.233  0.722 0.310  0.774 0.203  0.860 0.084  0.955 -0.036  1.016 -0.158  1.095 -0.253  1.230 -0.336  1.232 -0.494  1.374 -0.532  1.503 -0.606  1.609 -0.660
2#tos#t3#t3042061/b  0.072 2.119  -0.098 2.119  -0.069 1.987  -0.069 1.817  -0.069 1.647  -0.069 1.478  -0.069 1.308  -0.069 1.138  -0.086 0.970  -0.116 0.804  -0.116 0.634  -0.116 0.464  -0.137 0.296  -0.168 0.129  -0.219 -0.032  -0.257 -0.198  -0.257 -0.367  -0.257 -0.537  -0.257 -0.707  -0.257 -0.877  -0.263 -1.045  -0.339 -1.056  -0.353 -0.890  -0.445 -0.777  -0.445 -0.608  -0.445 -0.438  -0.419 -0.274  -0.344 -0.132  -0.210 -0.045  -0.142 0.096  0.027 0.098  0.147 0.218  0.305 0.272  0.473 0.285  0.641 0.280  0.782 0.190  0.825 0.063  0.825 -0.106  0.794 -0.263  0.695 -0.399  0.624 -0.553  0.531 -0.671  0.376 -0.729  0.242 -0.830  0.137 -0.959  0.004 -1.062  -0.116 -1.160  -0.267 -1.211  -0.416 -1.268  -0.539 -1.221
2#tos#t3#t3042061/c  0.955 0.286  0.955 0.408  0.950 0.527  0.896 0.626  0.837 0.723  0.759 0.777  0.654 0.817  0.533 0.821  0.425 0.876  0.303 0.876  0.182 0.876  0.060 0.876  -0.060 0.872  -0.176 0.834  -0.294 0.817  -0.416 0.817  -0.537 0.817  -0.635 0.761  -0.670 0.650  -0.738 0.549  -0.830 0.473  -0.931 0.405  -0.933 0.285  -0.961 0.170  -0.992 0.056  -0.992 -0.065  -0.992 -0.187  -0.992 -0.308  -0.945 -0.410  -0.874 -0.502  -0.814 -0.599  -0.694 -0.601  -0.608 -0.687  -0.500 -0.722  -0.382 -0.751  -0.264 -0.776  -0.142 -0.776  -0.021 -0.776  0.101 -0.776  0.222 -0.776  0.344 -0.776  0.465 -0.776  0.586 -0.776  0.708 -0.776  0.829 -0.776  0.951 -0.776  1.072 -0.776  1.111 -0.661  1.187 -0.599  1.309 -0.599
2#tos#t3#t3042061/d  0.810 2.017  0.719 1.918  0.719 1.763  0.699 1.613  0.674 1.464  0.674 1.310  0.649 1.158  0.606 1.010  0.583 0.858  0.567 0.706  0.509 0.563  0.466 0.415  0.447 0.262  0.435 0.109  0.393 -0.040  0.324 -0.178  0.311 -0.330  0.311 -0.485  0.311 -0.639  0.311 -0.794  0.311 -0.912  0.337 -0.768  0.356 -0.621  0.356 -0.467  0.336 -0.320  0.220 -0.232  0.162 -0.101  0.111 0.022  0.002 0.095  -0.097 0.158  -0.252 0.158  -0.406 0.158  -0.544 0.102  -0.679 0.026  -0.758 -0.095  -0.868 -0.151  -0.963 -0.237  -1.013 -0.360  -1.075 -0.490  -1.140 -0.605  -1.100 -0.743  -0.997 -0.802  -0.857 -0.840  -0.711 -0.873  -0.559 -0.885  -0.405 -0.880  -0.260 -0.840  -0.126 -0.786  0.020 -0.749  0.084 -0.658
2#tos#t3#t3042061/f  0.794 1.790  0.671 1.831  0.628 1.801  0.549 1.711  0.441 1.636  0.398 1.526  0.295 1.445  0.264 1.320  0.182 1.237  0.113 1.127  0.060 1.012  0.030 0.884  -0.040 0.774  -0.062 0.646  -0.062 0.514  -0.062 0.381  -0.062 0.248  0.000 0.135  0.052 0.013  0.060 -0.118  0.142 -0.200  0.182 -0.316  0.182 -0.449  0.182 -0.582  0.140 -0.698  0.066 -0.806  -0.034 -0.884  -0.062 -1.010  -0.144 -1.109  -0.184 -1.233  -0.242 -1.308  -0.305 -1.206  -0.352 -1.082  -0.399 -0.958  -0.447 -0.833  -0.494 -0.709  -0.541 -0.585  -0.589 -0.461  -0.672 -0.513  -0.707 -0.533  -0.578 -0.509  -0.447 -0.493  -0.317 -0.478  -0.191 -0.452  -0.059 -0.449  0.058 -0.411  0.191 -0.411  0.324 -0.411  0.457 -0.411  0.590 -0.411
2#tos#t3#t3042061/g  0.571 0.518  0.494 0.462  0.640 0.518  0.774 0.630  0.795 0.811  0.760 0.999  0.627 1.114  0.555 1.245  0.353 1.245  0.150 1.245  -0.052 1.245  -0.250 1.226  -0.388 1.133  -0.491 1.034  -0.491 0.832  -0.491 0.630  -0.298 0.589  -0.099 0.574  0.103 0.574  0.306 0.574  0.508 0.574  0.472 0.475  0.408 0.299  0.254 0.182  0.224 0.003  0.124 -0.157  0.111 -0.358  0.068 -0.553  0.012 -0.742  -0.017 -0.938  -0.044 -1.134  -0.130 -1.301  -0.180 -1.487  -0.343 -1.551  -0.545 -1.551  -0.692 -1.495  -0.779 -1.375  -0.883 -1.248  -0.883 -1.046  -0.883 -0.843  -0.819 -0.680  -0.630 -0.609  -0.480 -0.477  -0.337 -0.334  -0.149 -0.265  0.041 -0.235  0.210 -0.153  0.406 -0.115  0.592 -0.041  0.795 -0.041
2#tos#t3#t3042061/h  -0.186 1.824  -0.103 1.870  -0.095 1.748  -0.095 1.619  -0.095 1.489  -0.095 1.360  -0.119 1.238  -0.189 1.128  -0.220 1.003  -0.268 0.883  -0.324 0.767  -0.324 0.637  -0.339 0.511  -0.397 0.395  -0.437 0.273  -0.468 0.147  -0.500 0.021  -0.544 -0.100  -0.592 -0.221  -0.599 -0.349  -0.599 -0.478  -0.649 -0.557  -0.690 -0.646  -0.690 -0.706  -0.690 -0.576  -0.593 -0.506  -0.501 -0.414  -0.409 -0.322  -0.337 -0.217  -0.234 -0.146  -0.161 -0.054  -0.032 -0.054  0.082 -0.093  0.152 -0.198  0.208 -0.311  0.238 -0.426  0.318 -0.506  0.318 -0.636  0.335 -0.758  0.363 -0.876  0.445 -0.924  0.575 -0.924  0.704 -0.924  0.802 -0.872  0.904 -0.812  1.031 -0.786  1.147 -0.735  1.245 -0.671  1.333 -0.603  1.371 -0.512
2#tos#t3#t3042061/i  -1.230 -0.595  -1.326 -0.671  -1.255 -0.728  -1.126 -0.664  -1.041 -0.573  -0.914 -0.521  -0.795 -0.446  -0.792 -0.306  -0.699 -0.255  -0.612 -0.166  -0.517 -0.113  -0.412 -0.206  -0.361 -0.300  -0.342 -0.439  -0.292 -0.567  -0.216 -0.680  -0.144 -0.788  -0.071 -0.859  0.047 -0.885  0.190 -0.885  0.334 -0.885  0.478 -0.885  0.621 -0.885  0.749 -0.832  0.844 -0.765  0.942 -0.673  0.942 -0.529  0.942 -0.385  0.942 -0.242  0.893 -0.110  0.828 0.019  0.764 0.147  0.700 0.276  0.636 0.404  0.571 0.533  0.507 0.661  0.443 0.790  0.379 0.918  0.314 1.047  0.250 1.175  0.186 1.304  0.122 1.432  -0.022 1.432  -0.069 1.335  -0.101 1.199  -0.120 1.058  -0.213 0.953  -0.280 0.837  -0.314 0.708  -0.361 0.611
2#tos#t3#t3042061/j  -0.567 0.609  -0.702 0.519  -0.512 0.518  -0.321 0.518  -0.133 0.532  0.045 0.602  0.205 0.699  0.291 0.684  0.241 0.514  0.201 0.340  0.163 0.164  0.110 -0.005  0.110 -0.196  0.110 -0.387  0.110 -0.578  0.094 -0.762  0.020 -0.931  -0.027 -1.111  -0.137 -1.264  -0.161 -1.445  -0.283 -1.514  -0.474 -1.514  -0.618 -1.463  -0.748 -1.344  -0.793 -1.198  -0.793 -1.007  -0.682 -0.927  -0.591 -0.781  -0.468 -0.647  -0.299 -0.566  -0.144 -0.459  0.017 -0.388  0.201 -0.362  0.387 -0.337  0.522 -0.249  0.642 -0.189  0.611 -0.001  0.579 0.188  0.548 0.376  0.517 0.565  0.485 0.753  0.454 0.942  0.422 1.130  0.391 1.318  0.360 1.507  0.287 1.647  0.110 1.633  0.086 1.467  0.065 1.296  0.065 1.105
2#tos#t3#t3042061/k  0.160 2.407  0.160 2.220  0.160 2.033  0.160 1.846  0.160 1.659  0.126 1.482  0.057 1.316  0.037 1.134  -0.046 0.967  -0.046 0.780  -0.111 0.612  -0.149 0.437  -0.176 0.258  -0.252 0.094  -0.252 -0.093  -0.344 -0.252  -0.395 -0.430  -0.406 -0.616  -0.457 -0.795  -0.457 -0.982  -0.457 -1.114  -0.560 -1.030  -0.560 -0.843  -0.502 -0.684  -0.356 -0.568  -0.209 -0.452  -0.063 -0.336  0.084 -0.220  0.230 -0.104  0.377 0.012  0.524 0.128  0.670 0.244  0.595 0.144  0.425 0.101  0.247 0.050  0.076 -0.023  -0.097 -0.092  -0.225 -0.190  -0.397 -0.263  -0.457 -0.392  -0.454 -0.576  -0.315 -0.654  -0.163 -0.755  0.000 -0.833  0.184 -0.845  0.362 -0.884  0.549 -0.884  0.672 -0.987  0.859 -0.987  1.034 -1.039
2#tos#t3#t3042061/l  -0.677 -1.042  -0.809 -1.081  -0.907 -1.181  -0.866 -1.235  -0.724 -1.200  -0.597 -1.131  -0.501 -1.032  -0.368 -0.965  -0.283 -0.846  -0.182 -0.748  -0.102 -0.624  0.015 -0.533  0.110 -0.422  0.181 -0.293  0.256 -0.165  0.334 -0.040  0.404 0.089  0.431 0.228  0.519 0.347  0.559 0.488  0.582 0.633  0.635 0.771  0.674 0.909  0.674 1.057  0.674 1.206  0.674 1.354  0.674 1.502  0.530 1.506  0.443 1.445  0.355 1.360  0.243 1.267  0.165 1.143  0.134 1.002  0.072 0.873  -0.028 0.765  -0.073 0.633  -0.149 0.506  -0.215 0.375  -0.240 0.229  -0.252 0.082  -0.252 -0.066  -0.252 -0.214  -0.252 -0.362  -0.252 -0.511  -0.252 -0.659  -0.252 -0.807  -0.252 -0.955  -0.252 -1.103  -0.213 -1.242  -0.136 -1.313
2#tos#t3#t3042061/n  -0.529 -0.283  -0.704 -0.283  -0.879 -0.283  -1.031 -0.307  -1.174 -0.339  -1.310 -0.300  -1.422 -0.236  -1.422 -0.061  -1.344 0.096  -1.245 0.238  -1.167 0.395  -1.088 0.552  -0.918 0.588  -0.763 0.655  -0.616 0.746  -0.467 0.833  -0.291 0.833  -0.116 0.833  -0.052 0.722  -0.026 0.572  -0.026 0.397  -0.026 0.222  -0.081 0.055  -0.194 -0.074  -0.236 -0.242  -0.268 -0.404  -0.361 -0.380  -0.243 -0.276  -0.126 -0.147  -0.039 0.005  0.080 0.120  0.250 0.163  0.392 0.261  0.530 0.367  0.682 0.443  0.853 0.475  1.024 0.499  1.034 0.334  1.007 0.165  0.979 -0.004  0.979 -0.179  0.967 -0.350  0.923 -0.507  0.923 -0.682  0.923 -0.857  1.003 -0.953  1.178 -0.953  1.309 -0.846  1.482 -0.841  1.648 -0.785
2#tos#t3#t3042061/u  -1.020 1.018  -0.865 1.018  -0.778 1.085  -0.752 1.091  -0.758 0.938  -0.819 0.798  -0.878 0.661  -0.953 0.530  -0.953 0.375  -0.953 0.221  -0.989 0.075  -1.058 -0.063  -1.087 -0.211  -1.087 -0.366  -1.087 -0.520  -1.027 -0.650  -0.875 -0.657  -0.721 -0.657  -0.594 -0.590  -0.472 -0.511  -0.363 -0.402  -0.228 -0.328  -0.142 -0.255  -0.003 -0.230  0.075 -0.098  0.201 -0.013  0.253 0.110  0.364 0.184  0.454 0.274  0.526 0.384  0.596 0.498  0.671 0.632  0.722 0.765  0.722 0.715  0.722 0.561  0.655 0.434  0.655 0.280  0.655 0.125  0.655 -0.029  0.655 -0.184  0.655 -0.338  0.655 -0.493  0.655 -0.647  0.666 -0.791  0.821 -0.791  0.975 -0.791  1.130 -0.791  1.284 -0.791  1.439 -0.791  1.593 -0.791
2#tos#t3#t3042061/v  -1.196 -0.254  -1.338 -0.254  -1.427 -0.208  -1.383 -0.109  -1.293 -0.022  -1.191 0.076  -1.071 0.151  -0.995 0.255  -0.882 0.341  -0.781 0.442  -0.656 0.508  -0.540 0.589  -0.445 0.610  -0.445 0.467  -0.445 0.325  -0.445 0.182  -0.445 0.040  -0.445 -0.103  -0.505 -0.220  -0.539 -0.349  -0.539 -0.491  -0.539 -0.634  -0.539 -0.776  -0.445 -0.825  -0.342 -0.864  -0.209 -0.832  -0.086 -0.771  0.053 -0.745  0.170 -0.671  0.287 -0.592  0.411 -0.524  0.529 -0.448  0.634 -0.406  0.668 -0.284  0.728 -0.179  0.728 -0.036  0.728 0.106  0.775 0.202  0.703 0.309  0.587 0.362  0.596 0.496  0.719 0.543  0.861 0.543  1.004 0.543  1.144 0.561  1.284 0.589  1.426 0.590  1.569 0.590  1.711 0.590  1.854 0.590
2#tos#t3#t3042061/w  -0.708 0.594  -0.881 0.594  -0.978 0.597  -1.035 0.480  -1.090 0.330  -1.139 0.188  -1.199 0.052  -1.251 -0.109  -1.254 -0.281  -1.254 -0.454  -1.220 -0.618  -1.073 -0.660  -0.958 -0.594  -0.817 -0.529  -0.786 -0.388  -0.668 -0.333  -0.525 -0.259  -0.435 -0.124  -0.332 -0.026  -0.241 0.094  -0.132 0.212  -0.053 0.307  0.001 0.457  0.033 0.610  0.110 0.562  0.110 0.389  0.110 0.217  0.056 0.057  0.001 -0.094  0.001 -0.266  0.001 -0.439  0.001 -0.612  0.071 -0.715  0.244 -0.715  0.368 -0.636  0.513 -0.585  0.558 -0.431  0.656 -0.298  0.710 -0.138  0.765 0.012  0.765 0.185  0.765 0.357  0.919 0.376  1.092 0.376  1.265 0.376  1.437 0.376  1.610 0.376  1.783 0.376  1.956 0.376  2.129 0.376
2#tos#t3#t3042061/x  -1.248 0.564  -1.248 0.822  -1.036 0.893  -0.872 1.050  -0.696 1.159  -0.437 1.159  -0.179 1.159  -0.058 1.022  0.108 0.919  0.221 0.694  0.240 0.439  0.240 0.180  0.152 -0.057  0.037 -0.288  -0.175 -0.424  -0.281 -0.617  -0.381 -0.775  -0.606 -0.829  -0.721 -1.060  -0.891 -1.252  -0.894 -1.256  -0.721 -1.066  -0.539 -0.884  -0.356 -0.701  -0.173 -0.518  0.009 -0.336  0.192 -0.153  0.375 0.030  0.557 0.212  0.740 0.395  0.923 0.578  1.105 0.760  1.281 0.946  1.174 1.052  1.008 0.936  0.796 0.823  0.711 0.606  0.488 0.490  0.314 0.318  0.142 0.152  0.051 -0.058  -0.132 -0.218  -0.239 -0.394  -0.355 -0.568  -0.281 -0.752  -0.145 -0.911  0.071 -1.025  0.318 -1.072  0.576 -1.072  0.835 -1.072
2#tos#t3#t3042061/y  -0.777 0.968  -0.901 0.998  -0.786 1.122  -0.637 1.197  -0.471 1.211  -0.471 1.016  -0.471 0.820  -0.419 0.636  -0.368 0.492  -0.299 0.461  -0.174 0.559  -0.018 0.654  0.151 0.752  0.245 0.898  0.405 0.981  0.524 1.122  0.552 1.158  0.552 0.962  0.552 0.767  0.552 0.571  0.552 0.375  0.552 0.180  0.516 -0.005  0.444 -0.180  0.398 -0.370  0.357 -0.545  0.201 -0.663  0.167 -0.850  0.143 -1.042  0.020 -1.170  -0.117 -1.301  -0.215 -1.421  -0.337 -1.506  -0.520 -1.537  -0.675 -1.496  -0.726 -1.322  -0.725 -1.126  -0.675 -0.943  -0.580 -0.777  -0.471 -0.618  -0.343 -0.489  -0.179 -0.391  -0.011 -0.290  0.120 -0.152  0.283 -0.070  0.476 -0.054  0.655 0.008  0.825 0.099  1.012 0.108  1.114 0.201
