2#tos#t3#t3050062/!  -0.027 1.300  -0.102 1.300  -0.159 1.344  -0.202 1.401  -0.234 1.463  -0.205 1.434  -0.202 1.360  -0.202 1.285  -0.202 1.210  -0.178 1.139  -0.154 1.067  -0.130 0.996  -0.114 0.924  -0.114 0.848  -0.114 0.773  -0.114 0.698  -0.114 0.623  -0.114 0.548  -0.114 0.473  -0.097 0.405  -0.044 0.352  0.009 0.299  0.017 0.227  0.017 0.152  0.017 0.077  0.017 0.001  0.017 -0.074  0.017 -0.149  0.017 -0.224  0.017 -0.299  0.017 -0.374  0.028 -0.448  0.049 -0.520  0.070 -0.592  0.092 -0.664  0.113 -0.736  0.134 -0.808  0.155 -0.880  0.176 -0.952  0.198 -1.024  0.219 -1.097  0.236 -1.169  0.236 -1.244  0.217 -1.313  0.172 -1.373  0.127 -1.433  0.105 -1.501  0.105 -1.576  0.149 -1.607  0.193 -1.639
2#tos#t3#t3050062/9  0.415 0.105  0.267 0.068  0.207 -0.059  0.057 -0.063  -0.095 -0.063  -0.247 -0.063  -0.341 -0.004  -0.468 0.021  -0.620 0.021  -0.643 0.155  -0.719 0.251  -0.752 0.390  -0.761 0.538  -0.725 0.682  -0.694 0.827  -0.579 0.918  -0.456 0.987  -0.369 1.086  -0.234 1.149  -0.093 1.197  0.060 1.197  0.212 1.197  0.331 1.164  0.450 1.076  0.583 1.021  0.607 0.879  0.667 0.751  0.667 0.599  0.583 0.498  0.540 0.356  0.432 0.249  0.341 0.137  0.247 0.052  0.136 -0.005  0.075 -0.107  -0.047 -0.167  0.037 -0.235  0.037 -0.388  0.037 -0.540  0.074 -0.683  0.079 -0.835  0.079 -0.987  0.079 -1.139  0.079 -1.291  0.079 -1.444  0.079 -1.596  0.079 -1.748  0.079 -1.900  0.079 -2.053  0.079 -2.205
2#tos#t3#t3050062/A  0.305 1.352  0.161 1.483  -0.030 1.314  -0.207 1.103  -0.330 0.859  -0.415 0.598  -0.507 0.342  -0.621 0.093  -0.697 -0.170  -0.833 -0.407  -0.924 -0.651  -0.964 -0.913  -1.008 -1.178  -1.039 -1.377  -0.922 -1.128  -0.805 -0.879  -0.689 -0.630  -0.572 -0.381  -0.455 -0.132  -0.338 0.117  -0.222 0.366  -0.105 0.615  0.012 0.864  0.129 1.113  0.245 1.362  0.149 1.308  0.307 1.128  0.480 0.933  0.575 0.688  0.769 0.494  0.815 0.229  0.946 -0.003  1.005 -0.269  1.048 -0.537  1.048 -0.812  1.060 -1.011  0.814 -0.890  0.569 -0.764  0.325 -0.638  0.080 -0.513  -0.164 -0.387  -0.409 -0.261  -0.662 -0.276  -0.515 -0.354  -0.240 -0.354  0.035 -0.354  0.308 -0.339  0.578 -0.311  0.817 -0.223  1.092 -0.223
2#tos#t3#t3050062/B  -0.193 1.319  -0.373 1.298  -0.442 1.045  -0.442 0.771  -0.470 0.501  -0.483 0.229  -0.498 -0.042  -0.566 -0.303  -0.566 -0.576  -0.566 -0.850  -0.566 -1.124  -0.517 -1.217  -0.488 -0.945  -0.460 -0.673  -0.431 -0.401  -0.402 -0.128  -0.374 0.144  -0.345 0.416  -0.316 0.688  -0.288 0.961  -0.400 1.110  -0.312 1.319  -0.038 1.319  0.230 1.294  0.476 1.191  0.714 1.071  0.799 0.882  0.759 0.618  0.559 0.434  0.326 0.303  0.078 0.203  -0.147 0.084  -0.357 -0.045  -0.345 -0.004  -0.071 -0.004  0.203 -0.004  0.476 -0.004  0.750 -0.004  1.007 -0.046  1.179 -0.226  1.213 -0.491  1.049 -0.706  0.915 -0.898  0.670 -1.020  0.430 -1.148  0.193 -1.245  -0.076 -1.278  -0.349 -1.287  -0.623 -1.287  -0.524 -1.245
2#tos#t3#t3050062/J  -0.615 0.886  -0.703 0.804  -0.742 0.783  -0.610 0.783  -0.493 0.818  -0.365 0.846  -0.242 0.884  -0.113 0.911  0.016 0.933  0.145 0.955  0.277 0.955  0.389 1.013  0.505 1.058  0.632 1.070  0.754 1.092  0.633 1.054  0.508 1.015  0.382 0.977  0.288 0.920  0.242 0.834  0.242 0.703  0.242 0.571  0.258 0.443  0.277 0.316  0.277 0.185  0.345 0.081  0.345 -0.050  0.345 -0.182  0.345 -0.313  0.345 -0.445  0.345 -0.576  0.345 -0.708  0.345 -0.840  0.345 -0.971  0.277 -1.034  0.208 -1.117  0.139 -1.180  0.038 -1.223  -0.067 -1.264  -0.144 -1.344  -0.276 -1.344  -0.408 -1.344  -0.467 -1.256  -0.539 -1.161  -0.607 -1.051  -0.615 -0.921  -0.672 -0.818  -0.718 -0.715  -0.718 -0.583  -0.718 -0.452
2#tos#t3#t3050062/K  -0.471 1.679  -0.597 1.601  -0.565 1.385  -0.565 1.162  -0.565 0.939  -0.565 0.716  -0.565 0.493  -0.565 0.270  -0.565 0.047  -0.565 -0.176  -0.565 -0.399  -0.565 -0.622  -0.565 -0.845  -0.565 -1.068  -0.565 -1.291  -0.543 -1.422  -0.440 -1.224  -0.338 -1.026  -0.235 -0.828  -0.133 -0.630  -0.030 -0.432  0.072 -0.234  0.175 -0.036  0.277 0.162  0.380 0.360  0.483 0.558  0.585 0.756  0.688 0.954  0.790 1.152  0.678 1.069  0.484 0.983  0.377 0.797  0.181 0.722  0.023 0.567  -0.143 0.459  -0.294 0.297  -0.441 0.145  -0.568 -0.010  -0.480 -0.057  -0.264 -0.095  -0.083 -0.223  0.133 -0.245  0.301 -0.348  0.466 -0.494  0.631 -0.643  0.815 -0.761  0.967 -0.886  1.174 -0.955  1.277 -1.137  1.453 -1.184
2#tos#t3#t3050062/L  -0.428 1.380  -0.522 1.380  -0.596 1.400  -0.596 1.334  -0.596 1.240  -0.596 1.147  -0.596 1.053  -0.596 0.959  -0.596 0.866  -0.596 0.772  -0.596 0.678  -0.596 0.585  -0.596 0.491  -0.596 0.398  -0.596 0.304  -0.596 0.210  -0.596 0.117  -0.596 0.023  -0.596 -0.071  -0.596 -0.164  -0.596 -0.258  -0.596 -0.351  -0.596 -0.445  -0.596 -0.539  -0.595 -0.632  -0.502 -0.632  -0.408 -0.632  -0.314 -0.632  -0.225 -0.614  -0.135 -0.599  -0.041 -0.599  0.050 -0.593  0.128 -0.541  0.219 -0.531  0.309 -0.515  0.398 -0.498  0.492 -0.498  0.583 -0.480  0.674 -0.455  0.763 -0.431  0.857 -0.428  0.948 -0.406  1.040 -0.397  1.133 -0.391  1.222 -0.364  1.314 -0.353  1.404 -0.330  1.497 -0.330  1.591 -0.330  1.651 -0.297
2#tos#t3#t3050062/M  -0.467 0.880  -0.667 0.880  -0.690 0.704  -0.690 0.504  -0.690 0.304  -0.705 0.105  -0.722 -0.093  -0.722 -0.293  -0.722 -0.492  -0.722 -0.692  -0.722 -0.892  -0.722 -1.092  -0.754 -1.279  -0.742 -1.092  -0.729 -0.892  -0.716 -0.693  -0.704 -0.493  -0.691 -0.294  -0.678 -0.094  -0.666 0.105  -0.653 0.304  -0.640 0.504  -0.628 0.703  -0.690 0.648  -0.563 0.538  -0.471 0.404  -0.391 0.250  -0.264 0.108  -0.117 -0.021  0.010 -0.112  0.180 -0.128  0.326 -0.016  0.412 0.136  0.552 0.278  0.656 0.443  0.806 0.572  0.947 0.709  1.036 0.868  1.125 0.982  1.095 0.789  1.093 0.590  1.093 0.390  1.093 0.190  1.093 -0.010  1.093 -0.210  1.093 -0.409  1.116 -0.607  1.143 -0.804  1.188 -0.989  1.188 -1.189
2#tos#t3#t3050062/N  -0.479 1.079  -0.545 0.943  -0.636 0.793  -0.644 0.594  -0.644 0.393  -0.644 0.192  -0.644 -0.009  -0.644 -0.210  -0.707 -0.399  -0.710 -0.600  -0.743 -0.797  -0.743 -0.998  -0.776 -1.192  -0.769 -1.200  -0.748 -1.000  -0.727 -0.800  -0.706 -0.600  -0.685 -0.399  -0.664 -0.199  -0.643 0.001  -0.622 0.201  -0.600 0.401  -0.579 0.601  -0.697 0.683  -0.562 0.617  -0.391 0.527  -0.248 0.386  -0.127 0.243  0.009 0.109  0.145 -0.033  0.299 -0.161  0.459 -0.281  0.616 -0.398  0.741 -0.554  0.886 -0.688  1.019 -0.829  1.092 -0.900  1.003 -0.768  0.907 -0.639  0.874 -0.451  0.874 -0.250  0.874 -0.049  0.874 0.152  0.907 0.349  0.907 0.551  0.907 0.752  0.950 0.947  0.972 1.146  1.004 1.340  1.005 1.409
2#tos#t3#t3050062/O  -0.080 0.821  -0.241 0.827  -0.292 0.942  -0.442 0.925  -0.560 0.824  -0.644 0.680  -0.726 0.535  -0.777 0.380  -0.805 0.218  -0.805 0.051  -0.805 -0.116  -0.805 -0.282  -0.805 -0.449  -0.757 -0.596  -0.724 -0.749  -0.643 -0.866  -0.589 -1.020  -0.492 -1.133  -0.391 -1.243  -0.254 -1.313  -0.127 -1.354  0.035 -1.336  0.170 -1.241  0.322 -1.192  0.440 -1.075  0.516 -0.927  0.617 -0.804  0.689 -0.662  0.728 -0.505  0.846 -0.388  0.887 -0.231  0.927 -0.070  0.927 0.096  0.931 0.261  1.008 0.396  0.991 0.556  0.914 0.660  0.847 0.759  0.709 0.810  0.545 0.821  0.459 0.902  0.292 0.902  0.125 0.902  -0.029 0.872  -0.148 0.807  -0.281 0.753  -0.321 0.627  -0.379 0.505  -0.482 0.424  -0.523 0.298
2#tos#t3#t3050062/R  -0.454 1.057  -0.580 1.094  -0.567 0.881  -0.548 0.668  -0.548 0.453  -0.548 0.238  -0.548 0.023  -0.548 -0.192  -0.548 -0.407  -0.560 -0.620  -0.580 -0.832  -0.570 -1.044  -0.531 -0.986  -0.504 -0.773  -0.477 -0.560  -0.450 -0.347  -0.423 -0.133  -0.396 0.080  -0.369 0.293  -0.342 0.506  -0.315 0.720  -0.362 0.867  -0.422 1.022  -0.241 1.104  -0.045 1.182  0.155 1.231  0.365 1.246  0.493 1.158  0.524 0.975  0.491 0.768  0.381 0.589  0.261 0.410  0.124 0.246  0.011 0.070  -0.138 -0.072  -0.275 -0.205  -0.480 -0.205  -0.312 -0.213  -0.110 -0.268  0.038 -0.417  0.193 -0.520  0.352 -0.655  0.527 -0.775  0.713 -0.867  0.902 -0.962  1.096 -1.037  1.294 -1.118  1.482 -1.214  1.666 -1.246  1.723 -1.214
2#tos#t3#t3050062/T  -1.064 0.496  -1.120 0.412  -1.238 0.372  -1.228 0.365  -1.117 0.420  -0.994 0.430  -0.870 0.430  -0.779 0.472  -0.656 0.493  -0.533 0.513  -0.409 0.529  -0.288 0.541  -0.180 0.595  -0.059 0.615  0.057 0.661  0.177 0.694  0.301 0.694  0.422 0.717  0.545 0.727  0.670 0.727  0.795 0.727  0.920 0.727  0.917 0.707  0.798 0.669  0.680 0.631  0.561 0.594  0.442 0.556  0.323 0.518  0.202 0.496  0.126 0.405  0.056 0.328  0.056 0.203  0.086 0.082  0.089 -0.042  0.089 -0.167  0.089 -0.291  0.094 -0.416  0.118 -0.538  0.122 -0.662  0.122 -0.787  0.122 -0.912  0.142 -1.034  0.155 -1.157  0.155 -1.282  0.155 -1.407  0.155 -1.531  0.160 -1.655  0.188 -1.773  0.221 -1.884  0.221 -2.009
2#tos#t3#t3050062/W  -0.993 1.047  -1.141 1.120  -1.204 1.143  -1.157 0.960  -1.095 0.788  -1.029 0.622  -0.979 0.439  -0.908 0.261  -0.885 0.071  -0.861 -0.120  -0.758 -0.274  -0.734 -0.458  -0.704 -0.647  -0.625 -0.817  -0.559 -0.990  -0.523 -1.029  -0.460 -0.876  -0.378 -0.719  -0.371 -0.527  -0.296 -0.350  -0.177 -0.200  -0.161 -0.014  -0.138 0.175  -0.125 0.366  -0.088 0.550  -0.052 0.728  -0.016 0.849  0.086 0.705  0.165 0.536  0.234 0.364  0.310 0.202  0.310 0.009  0.367 -0.174  0.418 -0.358  0.418 -0.551  0.527 -0.699  0.578 -0.860  0.635 -1.031  0.744 -1.018  0.801 -0.844  0.843 -0.659  0.920 -0.482  1.001 -0.308  1.032 -0.118  1.070 0.071  1.109 0.259  1.178 0.439  1.207 0.627  1.214 0.818  1.251 0.975
2#tos#t3#t3050062/X  -0.811 1.136  -0.981 1.051  -0.972 0.938  -0.865 0.804  -0.739 0.664  -0.622 0.517  -0.517 0.362  -0.404 0.216  -0.355 0.035  -0.239 -0.115  -0.105 -0.249  -0.016 -0.416  0.085 -0.576  0.195 -0.717  0.330 -0.836  0.453 -0.980  0.594 -1.090  0.667 -1.217  0.576 -1.118  0.567 -0.937  0.596 -0.749  0.626 -0.562  0.655 -0.374  0.685 -0.187  0.715 0.001  0.744 0.188  0.774 0.376  0.804 0.563  0.833 0.751  0.863 0.938  0.892 1.126  0.808 1.216  0.698 1.136  0.576 1.011  0.444 0.883  0.290 0.778  0.164 0.641  0.034 0.503  -0.101 0.369  -0.219 0.221  -0.333 0.069  -0.450 -0.080  -0.554 -0.237  -0.639 -0.402  -0.777 -0.525  -0.841 -0.701  -0.931 -0.860  -0.988 -1.031  -1.078 -1.194  -1.131 -1.341
2#tos#t3#t3050062/Y  -0.606 1.075  -0.739 1.057  -0.691 0.926  -0.606 0.803  -0.606 0.651  -0.554 0.510  -0.460 0.395  -0.405 0.260  -0.339 0.137  -0.321 -0.005  -0.226 -0.107  -0.148 -0.160  -0.060 -0.037  0.028 0.086  0.116 0.209  0.204 0.332  0.291 0.455  0.379 0.578  0.467 0.701  0.555 0.824  0.643 0.947  0.731 1.070  0.819 1.193  0.729 1.176  0.694 1.040  0.657 0.908  0.604 0.790  0.536 0.655  0.452 0.530  0.336 0.434  0.263 0.310  0.158 0.201  0.083 0.071  -0.007 -0.040  -0.071 -0.160  -0.178 -0.267  -0.252 -0.361  -0.239 -0.458  -0.239 -0.609  -0.239 -0.760  -0.239 -0.912  -0.238 -1.063  -0.205 -1.210  -0.181 -1.358  -0.172 -1.508  -0.172 -1.659  -0.172 -1.810  -0.172 -1.961  -0.105 -2.014  -0.105 -1.863
2#tos#t3#t3050062/Z  -0.766 1.185  -0.959 1.112  -0.758 1.113  -0.571 1.223  -0.352 1.243  -0.133 1.265  0.090 1.265  0.312 1.265  0.535 1.265  0.757 1.265  0.714 1.208  0.547 1.091  0.409 0.919  0.299 0.734  0.140 0.584  0.009 0.404  -0.133 0.234  -0.254 0.048  -0.326 -0.158  -0.420 -0.350  -0.562 -0.514  -0.646 -0.699  -0.766 -0.802  -0.846 -0.944  -0.935 -1.016  -0.728 -0.936  -0.506 -0.936  -0.290 -0.897  -0.067 -0.896  0.155 -0.896  0.378 -0.896  0.598 -0.910  0.816 -0.936  1.039 -0.936  1.234 -0.963  1.066 -0.850  0.888 -0.716  0.710 -0.583  0.532 -0.449  0.354 -0.316  0.176 -0.182  -0.002 -0.049  -0.180 0.085  -0.358 0.218  -0.526 0.172  -0.455 0.009  -0.325 -0.136  -0.120 -0.188  0.028 -0.336  0.194 -0.416
2#tos#t3#t3050062/b  -1.509 -0.040  -1.311 0.005  -1.099 0.024  -0.887 0.063  -0.676 0.104  -0.474 0.170  -0.302 0.297  -0.112 0.396  0.087 0.480  0.240 0.633  0.390 0.788  0.537 0.932  0.591 1.125  0.591 1.342  0.500 1.497  0.289 1.464  0.158 1.320  0.032 1.144  -0.117 1.002  -0.246 0.837  -0.359 0.669  -0.382 0.456  -0.475 0.278  -0.587 0.108  -0.597 -0.106  -0.690 -0.294  -0.690 -0.510  -0.690 -0.727  -0.690 -0.943  -0.670 -1.155  -0.516 -1.257  -0.339 -1.321  -0.129 -1.296  0.069 -1.218  0.217 -1.088  0.394 -0.989  0.509 -0.839  0.591 -0.657  0.642 -0.491  0.621 -0.296  0.522 -0.133  0.315 -0.091  0.099 -0.091  0.275 -0.091  0.449 -0.194  0.663 -0.204  0.870 -0.245  1.084 -0.266  1.297 -0.296  1.513 -0.296
2#tos#t3#t3050062/f  -0.654 0.645  -0.465 0.645  -0.277 0.652  -0.103 0.723  0.072 0.794  0.238 0.878  0.372 1.011  0.534 1.108  0.629 1.266  0.664 1.422  0.598 1.583  0.431 1.583  0.316 1.469  0.199 1.331  0.094 1.174  0.018 1.001  -0.075 0.838  -0.119 0.656  -0.191 0.483  -0.265 0.310  -0.304 0.126  -0.376 -0.048  -0.427 -0.230  -0.464 -0.415  -0.512 -0.598  -0.555 -0.778  -0.569 -0.964  -0.621 -1.141  -0.621 -1.330  -0.601 -1.507  -0.417 -1.530  -0.244 -1.476  -0.108 -1.346  0.026 -1.212  0.141 -1.065  0.236 -0.927  0.302 -0.765  0.273 -0.583  0.185 -0.433  0.041 -0.313  -0.101 -0.212  -0.290 -0.212  -0.276 -0.277  -0.095 -0.310  0.089 -0.343  0.278 -0.343  0.467 -0.343  0.656 -0.343  0.845 -0.343  1.027 -0.310
2#tos#t3#t3050062/h  -0.918 0.249  -0.945 0.230  -0.788 0.263  -0.614 0.316  -0.443 0.383  -0.275 0.438  -0.115 0.533  0.052 0.616  0.217 0.702  0.377 0.799  0.534 0.897  0.656 1.020  0.561 1.147  0.386 1.189  0.217 1.253  0.039 1.287  -0.107 1.220  -0.202 1.088  -0.274 0.926  -0.354 0.763  -0.399 0.582  -0.482 0.418  -0.519 0.235  -0.550 0.052  -0.614 -0.115  -0.717 -0.267  -0.738 -0.451  -0.794 -0.628  -0.817 -0.812  -0.851 -0.990  -0.718 -0.875  -0.590 -0.743  -0.465 -0.611  -0.334 -0.483  -0.190 -0.388  -0.076 -0.287  0.037 -0.237  0.136 -0.385  0.202 -0.550  0.271 -0.723  0.404 -0.848  0.492 -0.994  0.638 -1.091  0.825 -1.090  0.980 -0.987  1.122 -0.867  1.257 -0.742  1.375 -0.598  1.516 -0.492  1.594 -0.354
2#tos#t3#t3050062/j  -0.134 1.495  0.010 1.489  0.117 1.447  0.267 1.447  0.233 1.347  0.153 1.221  0.072 1.095  -0.009 0.970  -0.090 0.844  -0.134 0.707  -0.086 0.578  -0.086 0.428  -0.086 0.279  -0.086 0.129  -0.086 -0.020  -0.086 -0.169  -0.086 -0.319  -0.086 -0.468  -0.130 -0.607  -0.182 -0.736  -0.261 -0.806  -0.326 -0.928  -0.397 -1.033  -0.508 -1.132  -0.626 -1.220  -0.771 -1.238  -0.921 -1.238  -0.997 -1.164  -0.922 -1.041  -0.855 -0.907  -0.737 -0.824  -0.652 -0.701  -0.546 -0.595  -0.433 -0.500  -0.299 -0.433  -0.208 -0.318  -0.110 -0.207  -0.004 -0.101  0.121 -0.020  0.250 0.057  0.391 0.104  0.516 0.186  0.636 0.275  0.763 0.344  0.873 0.384  1.014 0.392  1.163 0.392  1.313 0.392  1.458 0.382  1.592 0.344
2#tos#t3#t3050062/k  -0.133 1.303  -0.122 1.385  -0.301 1.133  -0.479 0.880  -0.657 0.628  -0.835 0.375  -1.014 0.123  -1.151 -0.114  -0.903 -0.055  -0.624 0.048  -0.371 0.219  -0.135 0.410  0.102 0.605  0.320 0.817  0.501 1.044  0.390 1.289  0.172 1.388  -0.091 1.390  -0.252 1.189  -0.303 0.892  -0.345 0.588  -0.473 0.322  -0.505 0.018  -0.557 -0.286  -0.557 -0.595  -0.598 -0.897  -0.600 -1.206  -0.557 -1.473  -0.436 -1.472  -0.250 -1.269  -0.060 -1.027  0.105 -0.766  0.270 -0.506  0.431 -0.242  0.625 -0.016  0.805 0.235  1.042 0.400  1.055 0.120  0.921 -0.110  0.748 -0.361  0.510 -0.556  0.234 -0.691  -0.048 -0.664  -0.091 -0.365  0.120 -0.267  0.349 -0.433  0.610 -0.586  0.812 -0.780  1.062 -0.949  1.267 -1.115
2#tos#t3#t3050062/n  -0.755 0.810  -0.842 0.807  -0.842 0.662  -0.842 0.517  -0.842 0.372  -0.842 0.227  -0.870 0.086  -0.886 -0.057  -0.886 -0.202  -0.886 -0.347  -0.896 -0.490  -0.930 -0.630  -0.930 -0.775  -0.882 -0.718  -0.793 -0.605  -0.721 -0.480  -0.711 -0.337  -0.668 -0.199  -0.604 -0.069  -0.551 0.065  -0.482 0.191  -0.421 0.322  -0.405 0.464  -0.361 0.591  -0.317 0.717  -0.231 0.810  -0.174 0.897  -0.049 0.849  0.061 0.766  0.151 0.662  0.164 0.520  0.256 0.416  0.367 0.361  0.383 0.220  0.418 0.083  0.497 -0.039  0.565 -0.166  0.621 -0.299  0.676 -0.433  0.771 -0.541  0.865 -0.620  0.952 -0.715  1.091 -0.722  1.235 -0.722  1.345 -0.635  1.447 -0.533  1.549 -0.430  1.630 -0.313  1.747 -0.229  1.827 -0.109
2#tos#t3#t3050062/q  0.507 1.027  0.507 1.264  0.468 1.462  0.292 1.549  0.067 1.501  -0.109 1.342  -0.302 1.204  -0.442 1.018  -0.573 0.821  -0.668 0.622  -0.653 0.388  -0.451 0.331  -0.214 0.331  -0.013 0.420  0.155 0.588  0.326 0.722  0.420 0.866  0.279 0.886  0.137 0.721  -0.015 0.559  -0.093 0.345  -0.246 0.167  -0.344 -0.048  -0.492 -0.233  -0.591 -0.448  -0.668 -0.671  -0.790 -0.874  -0.799 -1.109  -0.782 -1.340  -0.668 -1.541  -0.449 -1.584  -0.230 -1.524  -0.038 -1.384  0.068 -1.177  0.206 -0.984  0.381 -0.831  0.420 -0.600  0.420 -0.362  0.302 -0.192  0.075 -0.148  -0.161 -0.153  -0.363 -0.221  -0.151 -0.279  0.051 -0.366  0.288 -0.366  0.525 -0.366  0.763 -0.366  1.000 -0.366  1.227 -0.322  1.421 -0.279
2#tos#t3#t3050062/s  -1.249 -0.454  -1.279 -0.602  -1.308 -0.750  -1.313 -0.773  -1.178 -0.751  -1.130 -0.608  -1.034 -0.494  -0.927 -0.387  -0.820 -0.280  -0.713 -0.174  -0.606 -0.067  -0.507 0.046  -0.416 0.167  -0.320 0.284  -0.216 0.393  -0.132 0.519  -0.048 0.644  0.034 0.771  0.107 0.902  0.214 1.009  0.321 1.116  0.412 1.230  0.458 1.335  0.589 1.286  0.667 1.167  0.667 1.016  0.690 0.888  0.795 0.842  0.797 0.691  0.845 0.547  0.859 0.398  0.859 0.247  0.859 0.096  0.859 -0.055  0.859 -0.206  0.859 -0.357  0.753 -0.443  0.731 -0.581  0.648 -0.707  0.533 -0.773  0.434 -0.858  0.309 -0.901  0.158 -0.901  0.007 -0.901  -0.131 -0.869  -0.258 -0.790  -0.365 -0.688  -0.419 -0.549  -0.472 -0.411  -0.482 -0.262
2#tos#t3#t3050062/t  -1.287 -0.787  -1.074 -0.681  -0.861 -0.504  -0.657 -0.317  -0.521 -0.075  -0.332 0.128  -0.156 0.343  0.021 0.554  0.145 0.803  0.252 1.038  0.358 1.210  0.324 1.474  0.065 1.466  -0.013 1.221  -0.147 0.988  -0.226 0.743  -0.231 0.465  -0.279 0.193  -0.279 -0.086  -0.279 -0.364  -0.279 -0.642  -0.270 -0.919  -0.226 -1.190  -0.038 -1.385  0.165 -1.530  0.444 -1.530  0.662 -1.385  0.828 -1.166  0.979 -0.941  1.075 -0.680  1.179 -0.459  0.918 -0.364  0.656 -0.269  0.395 -0.174  0.133 -0.079  -0.128 0.016  -0.390 0.111  -0.651 0.206  -0.913 0.302  -1.177 0.380  -1.064 0.327  -0.786 0.327  -0.508 0.327  -0.230 0.327  0.048 0.329  0.320 0.380  0.598 0.393  0.871 0.442  1.143 0.499  1.419 0.539
2#tos#t3#t3050062/u  -0.994 0.649  -0.969 0.649  -1.050 0.537  -1.081 0.395  -1.136 0.262  -1.168 0.122  -1.255 0.027  -1.255 -0.123  -1.255 -0.273  -1.255 -0.422  -1.215 -0.563  -1.070 -0.570  -0.920 -0.570  -0.771 -0.567  -0.647 -0.484  -0.541 -0.378  -0.452 -0.258  -0.343 -0.158  -0.253 -0.054  -0.183 0.067  -0.096 0.188  -0.026 0.320  0.041 0.454  0.154 0.543  0.226 0.671  0.291 0.780  0.226 0.739  0.160 0.605  0.066 0.490  0.051 0.347  0.051 0.197  0.051 0.047  0.051 -0.102  0.051 -0.252  0.056 -0.400  0.137 -0.523  0.285 -0.526  0.434 -0.526  0.575 -0.496  0.704 -0.422  0.843 -0.366  0.975 -0.297  1.105 -0.223  1.236 -0.151  1.370 -0.084  1.502 -0.014  1.632 0.060  1.762 0.135  1.886 0.218  2.011 0.301
2#tos#t3#t3050062/v  -1.054 0.330  -1.054 0.484  -1.001 0.616  -0.886 0.717  -0.742 0.760  -0.594 0.796  -0.440 0.796  -0.286 0.796  -0.187 0.712  -0.169 0.570  -0.169 0.416  -0.250 0.296  -0.358 0.186  -0.443 0.058  -0.541 -0.056  -0.594 -0.188  -0.695 -0.303  -0.772 -0.435  -0.821 -0.574  -0.861 -0.722  -0.868 -0.875  -0.862 -1.026  -0.818 -1.160  -0.664 -1.160  -0.510 -1.160  -0.356 -1.160  -0.214 -1.112  -0.105 -1.004  0.018 -0.912  0.142 -0.822  0.261 -0.725  0.347 -0.598  0.456 -0.489  0.535 -0.359  0.596 -0.218  0.671 -0.088  0.763 0.028  0.763 0.182  0.764 0.335  0.801 0.485  0.809 0.638  0.809 0.791  0.716 0.833  0.763 0.726  0.856 0.665  0.944 0.563  1.098 0.563  1.249 0.586  1.401 0.610  1.555 0.610
2#tos#t3#t3050062/x  -0.993 0.245  -1.190 0.245  -1.368 0.199  -1.327 0.327  -1.217 0.488  -1.039 0.560  -0.944 0.712  -0.757 0.758  -0.560 0.758  -0.362 0.758  -0.303 0.592  -0.242 0.417  -0.200 0.224  -0.192 0.028  -0.153 -0.165  -0.152 -0.363  -0.106 -0.553  0.050 -0.594  0.121 -0.756  0.249 -0.842  0.439 -0.874  0.637 -0.874  0.818 -0.835  0.994 -0.753  1.145 -0.641  1.199 -0.498  1.169 -0.303  1.138 -0.108  1.108 0.087  1.077 0.283  1.047 0.478  1.016 0.673  0.986 0.868  0.894 0.992  0.696 0.992  0.525 0.949  0.390 0.819  0.302 0.642  0.211 0.467  0.093 0.309  -0.045 0.167  -0.163 0.011  -0.265 -0.159  -0.367 -0.328  -0.475 -0.494  -0.600 -0.646  -0.713 -0.803  -0.793 -0.971  -0.881 -1.146  -0.899 -1.340
2#tos#t3#t3050062/y  -0.455 1.172  -0.643 1.167  -0.721 1.026  -0.671 0.861  -0.537 0.773  -0.436 0.684  -0.247 0.684  -0.077 0.728  0.058 0.831  0.220 0.897  0.383 0.991  0.492 1.142  0.611 1.264  0.525 1.219  0.433 1.068  0.423 0.881  0.353 0.705  0.304 0.523  0.236 0.347  0.187 0.165  0.140 -0.018  0.080 -0.197  0.042 -0.383  0.005 -0.568  -0.051 -0.748  -0.131 -0.918  -0.188 -1.090  -0.267 -1.255  -0.303 -1.437  -0.394 -1.601  -0.482 -1.714  -0.588 -1.597  -0.588 -1.408  -0.588 -1.219  -0.588 -1.030  -0.588 -0.840  -0.543 -0.659  -0.518 -0.477  -0.402 -0.329  -0.288 -0.181  -0.171 -0.058  -0.020 0.055  0.130 0.151  0.319 0.151  0.509 0.151  0.698 0.151  0.850 0.062  1.032 0.018  1.177 -0.027  1.277 -0.115
2#tos#t3#t3050062/z  -0.715 0.998  -0.828 0.938  -0.777 0.964  -0.665 1.073  -0.542 1.142  -0.410 1.223  -0.279 1.321  -0.128 1.374  -0.151 1.253  -0.184 1.087  -0.287 0.952  -0.378 0.806  -0.466 0.671  -0.527 0.523  -0.565 0.359  -0.396 0.377  -0.236 0.434  -0.067 0.425  0.041 0.312  0.144 0.177  0.187 0.016  0.262 -0.110  0.262 -0.282  0.262 -0.455  0.262 -0.627  0.246 -0.797  0.187 -0.958  0.110 -1.112  0.009 -1.248  -0.055 -1.396  -0.144 -1.544  -0.291 -1.596  -0.379 -1.482  -0.414 -1.324  -0.344 -1.171  -0.271 -1.016  -0.205 -0.860  -0.116 -0.717  -0.024 -0.577  0.110 -0.470  0.161 -0.309  0.296 -0.201  0.444 -0.115  0.561 0.006  0.690 0.117  0.822 0.225  0.973 0.306  1.118 0.387  1.273 0.429  1.428 0.471
