1b#kai#kai1#jhjung5/A  0.801 0.658  0.738 0.808  0.636 0.935  0.520 1.050  0.393 1.152  0.243 1.215  0.102 1.289  -0.057 1.263  -0.212 1.211  -0.361 1.146  -0.497 1.055  -0.618 0.946  -0.749 0.850  -0.815 0.703  -0.869 0.556  -0.907 0.398  -0.907 0.234  -0.907 0.071  -0.907 -0.093  -0.907 -0.256  -0.907 -0.420  -0.907 -0.584  -0.885 -0.744  -0.867 -0.904  -0.748 -1.015  -0.593 -1.067  -0.433 -1.086  -0.275 -1.123  -0.116 -1.095  0.023 -1.011  0.152 -0.912  0.251 -0.782  0.360 -0.663  0.427 -0.515  0.518 -0.379  0.579 -0.228  0.620 -0.070  0.652 0.088  0.652 0.252  0.669 0.413  0.658 0.377  0.606 0.222  0.578 0.063  0.578 -0.101  0.556 -0.261  0.541 -0.422  0.578 -0.579  0.599 -0.740  0.650 -0.895  0.764 -1.012
1b#kai#kai1#jhjung5/T  -1.085 0.505  -1.017 0.606  -0.937 0.697  -0.849 0.781  -0.748 0.848  -0.636 0.893  -0.520 0.931  -0.402 0.952  -0.282 0.938  -0.190 0.883  -0.187 0.761  -0.148 0.646  -0.037 0.603  0.078 0.624  0.194 0.663  0.310 0.697  0.428 0.727  0.527 0.797  0.625 0.869  0.726 0.937  0.654 0.952  0.614 0.870  0.592 0.752  0.554 0.636  0.525 0.519  0.519 0.399  0.481 0.283  0.451 0.165  0.418 0.048  0.391 -0.069  0.383 -0.189  0.346 -0.305  0.346 -0.427  0.310 -0.543  0.249 -0.647  0.195 -0.755  0.156 -0.870  0.123 -0.986  0.121 -1.108  0.067 -1.216  0.007 -1.322  -0.063 -1.420  -0.178 -1.459  -0.299 -1.462  -0.421 -1.462  -0.485 -1.383  -0.503 -1.264  -0.503 -1.142  -0.482 -1.027  -0.414 -0.926
1b#kai#kai1#jhjung5/U  -1.066 0.737  -1.056 0.886  -1.008 1.030  -0.939 1.163  -0.827 1.262  -0.701 1.346  -0.562 1.401  -0.417 1.442  -0.272 1.429  -0.181 1.308  -0.126 1.169  -0.086 1.024  -0.105 0.876  -0.153 0.732  -0.201 0.588  -0.243 0.444  -0.256 0.294  -0.295 0.148  -0.343 0.005  -0.361 -0.144  -0.400 -0.289  -0.412 -0.438  -0.439 -0.585  -0.439 -0.737  -0.439 -0.888  -0.397 -1.032  -0.306 -1.150  -0.161 -1.184  -0.022 -1.142  0.104 -1.058  0.218 -0.959  0.312 -0.842  0.374 -0.705  0.450 -0.575  0.534 -0.449  0.618 -0.324  0.700 -0.197  0.748 -0.053  0.796 0.091  0.844 0.234  0.818 0.155  0.736 0.028  0.688 -0.116  0.640 -0.259  0.620 -0.407  0.582 -0.553  0.580 -0.704  0.580 -0.855  0.611 -1.001  0.659 -1.145
1b#kai#kai1#jhjung5/U  -0.864 0.851  -0.801 1.003  -0.709 1.141  -0.617 1.279  -0.506 1.402  -0.373 1.499  -0.216 1.545  -0.106 1.467  -0.094 1.304  -0.113 1.141  -0.190 0.996  -0.251 0.843  -0.310 0.688  -0.374 0.537  -0.415 0.376  -0.455 0.215  -0.500 0.056  -0.552 -0.102  -0.556 -0.267  -0.594 -0.428  -0.613 -0.590  -0.633 -0.753  -0.671 -0.912  -0.671 -1.078  -0.563 -1.186  -0.399 -1.191  -0.236 -1.168  -0.101 -1.082  0.029 -0.980  0.163 -0.883  0.286 -0.773  0.387 -0.642  0.479 -0.505  0.554 -0.357  0.638 -0.216  0.673 -0.061  0.743 0.087  0.754 0.251  0.793 0.411  0.770 0.436  0.702 0.285  0.677 0.125  0.638 -0.034  0.611 -0.195  0.595 -0.358  0.561 -0.519  0.561 -0.684  0.561 -0.850  0.591 -1.011  0.715 -1.113
1b#kai#kai1#jhjung5/U  -1.294 -0.040  -1.283 0.118  -1.206 0.254  -1.113 0.380  -1.043 0.523  -0.954 0.656  -0.865 0.789  -0.776 0.923  -0.687 1.056  -0.578 1.173  -0.449 1.268  -0.316 1.356  -0.159 1.366  -0.008 1.336  0.092 1.221  0.112 1.064  0.112 0.904  0.072 0.750  0.024 0.597  -0.012 0.441  -0.024 0.283  -0.066 0.128  -0.117 -0.024  -0.167 -0.176  -0.178 -0.335  -0.210 -0.492  -0.219 -0.651  -0.253 -0.806  -0.255 -0.964  -0.182 -1.099  -0.045 -1.132  0.097 -1.057  0.225 -0.962  0.338 -0.849  0.450 -0.734  0.533 -0.598  0.596 -0.452  0.670 -0.311  0.743 -0.170  0.774 -0.019  0.818 0.117  0.845 -0.036  0.794 -0.188  0.743 -0.340  0.733 -0.498  0.723 -0.657  0.691 -0.814  0.691 -0.974  0.723 -1.129  0.857 -1.198
1b#kai#kai1#jhjung5/W  -1.087 0.321  -1.039 0.503  -1.012 0.690  -0.922 0.856  -0.832 1.024  -0.762 1.201  -0.621 1.320  -0.511 1.474  -0.398 1.624  -0.214 1.667  -0.069 1.581  0.008 1.409  0.018 1.220  0.018 1.029  0.018 0.838  -0.030 0.655  -0.076 0.470  -0.123 0.285  -0.134 0.096  -0.182 -0.088  -0.238 -0.271  -0.270 -0.457  -0.303 -0.643  -0.318 -0.831  -0.364 -1.016  -0.329 -1.170  -0.176 -1.100  -0.070 -0.942  0.008 -0.769  0.113 -0.611  0.197 -0.443  0.257 -0.262  0.307 -0.079  0.332 0.107  0.318 0.065  0.303 -0.124  0.259 -0.307  0.259 -0.498  0.259 -0.689  0.259 -0.880  0.288 -1.065  0.432 -1.163  0.545 -1.028  0.651 -0.869  0.747 -0.706  0.795 -0.522  0.836 -0.338  0.896 -0.347  0.932 -0.527  1.028 -0.689
1b#kai#kai1#jhjung5/X  -1.119 -0.528  -1.119 -0.420  -1.119 -0.312  -1.087 -0.209  -1.053 -0.106  -1.018 -0.003  -0.984 0.100  -0.934 0.195  -0.868 0.279  -0.791 0.356  -0.730 0.445  -0.670 0.535  -0.610 0.625  -0.546 0.712  -0.469 0.789  -0.393 0.866  -0.312 0.937  -0.220 0.991  -0.112 0.994  -0.009 1.028  0.099 1.029  0.207 1.029  0.312 1.008  0.380 0.940  0.415 0.837  0.437 0.732  0.437 0.624  0.437 0.516  0.437 0.408  0.431 0.300  0.405 0.195  0.400 0.087  0.400 -0.021  0.400 -0.129  0.387 -0.235  0.363 -0.340  0.363 -0.448  0.363 -0.556  0.371 -0.663  0.400 -0.767  0.405 -0.875  0.440 -0.977  0.500 -1.067  0.539 -1.167  0.573 -1.270  0.652 -1.329  0.758 -1.344  0.863 -1.325  0.954 -1.272  1.030 -1.195
1b#kai#kai1#jhjung5/X  -0.964 0.155  -0.933 0.247  -0.902 0.339  -0.872 0.431  -0.828 0.517  -0.774 0.598  -0.720 0.679  -0.666 0.759  -0.627 0.848  -0.585 0.934  -0.531 1.015  -0.477 1.096  -0.389 1.131  -0.293 1.139  -0.199 1.119  -0.107 1.088  -0.029 1.038  0.027 0.961  0.119 0.930  0.176 0.853  0.215 0.765  0.246 0.673  0.267 0.580  0.259 0.484  0.232 0.391  0.231 0.294  0.200 0.202  0.196 0.105  0.196 0.008  0.196 -0.089  0.178 -0.183  0.161 -0.277  0.161 -0.375  0.161 -0.472  0.161 -0.569  0.161 -0.666  0.162 -0.763  0.193 -0.855  0.196 -0.952  0.196 -1.049  0.219 -1.142  0.263 -1.228  0.324 -1.301  0.405 -1.355  0.497 -1.387  0.589 -1.367  0.684 -1.357  0.780 -1.350  0.873 -1.322  0.970 -1.322
1b#kai#kai1#jhjung5/Y  -1.147 0.201  -1.084 0.392  -1.053 0.588  -0.989 0.779  -0.915 0.965  -0.830 1.145  -0.718 1.313  -0.580 1.458  -0.413 1.570  -0.239 1.658  -0.067 1.577  -0.037 1.380  -0.037 1.179  -0.050 0.980  -0.074 0.781  -0.106 0.585  -0.141 0.387  -0.144 0.187  -0.175 -0.011  -0.210 -0.208  -0.210 -0.409  -0.245 -0.605  -0.201 -0.799  -0.062 -0.861  0.075 -0.719  0.196 -0.561  0.326 -0.408  0.418 -0.233  0.513 -0.059  0.577 0.132  0.640 0.323  0.680 0.443  0.617 0.252  0.586 0.056  0.533 -0.138  0.502 -0.334  0.484 -0.533  0.449 -0.728  0.419 -0.926  0.362 -1.119  0.299 -1.309  0.187 -1.476  0.032 -1.482  -0.002 -1.291  0.040 -1.096  0.104 -0.905  0.207 -0.735  0.334 -0.580  0.489 -0.454  0.657 -0.354
1b#kai#kai1#jhjung5/Y  -0.788 0.443  -0.825 0.635  -0.862 0.828  -0.853 1.025  -0.791 1.214  -0.682 1.380  -0.542 1.518  -0.379 1.630  -0.186 1.667  -0.046 1.609  -0.057 1.412  -0.083 1.217  -0.157 1.036  -0.185 0.842  -0.227 0.648  -0.253 0.453  -0.268 0.256  -0.299 0.061  -0.306 -0.136  -0.343 -0.329  -0.341 -0.528  -0.257 -0.706  -0.091 -0.688  0.062 -0.563  0.182 -0.405  0.315 -0.259  0.421 -0.091  0.504 0.089  0.581 0.270  0.614 0.431  0.523 0.257  0.511 0.060  0.511 -0.139  0.511 -0.338  0.511 -0.536  0.477 -0.731  0.433 -0.917  0.362 -1.100  0.328 -1.293  0.220 -1.459  0.063 -1.558  -0.071 -1.412  -0.155 -1.234  -0.157 -1.036  -0.059 -0.869  0.089 -0.737  0.256 -0.631  0.426 -0.529  0.591 -0.419  0.771 -0.337
1b#kai#kai1#jhjung5/Z  -0.755 0.397  -0.755 0.558  -0.712 0.711  -0.691 0.868  -0.640 1.020  -0.540 1.141  -0.438 1.262  -0.330 1.376  -0.200 1.465  -0.048 1.515  0.107 1.550  0.264 1.521  0.377 1.410  0.450 1.269  0.471 1.112  0.522 0.960  0.522 0.800  0.510 0.641  0.467 0.487  0.418 0.334  0.355 0.188  0.294 0.040  0.221 -0.101  0.154 -0.246  0.075 -0.384  -0.027 -0.498  -0.164 -0.579  -0.316 -0.569  -0.350 -0.416  -0.293 -0.279  -0.136 -0.257  0.016 -0.306  0.152 -0.387  0.228 -0.527  0.242 -0.685  0.242 -0.845  0.204 -0.999  0.161 -1.153  0.110 -1.306  0.016 -1.424  -0.140 -1.440  -0.287 -1.401  -0.311 -1.245  -0.276 -1.093  -0.201 -0.952  -0.072 -0.860  0.062 -0.771  0.198 -0.688  0.352 -0.645  0.491 -0.568
1b#kai#kai1#jhjung5/Z  -0.391 0.383  -0.546 0.428  -0.667 0.536  -0.720 0.696  -0.741 0.860  -0.687 1.020  -0.618 1.173  -0.547 1.324  -0.429 1.441  -0.280 1.514  -0.124 1.558  0.044 1.558  0.185 1.467  0.322 1.370  0.415 1.230  0.486 1.079  0.526 0.921  0.549 0.757  0.549 0.588  0.504 0.427  0.488 0.261  0.435 0.101  0.402 -0.064  0.353 -0.218  0.296 -0.376  0.211 -0.520  0.104 -0.649  -0.032 -0.748  -0.187 -0.789  -0.294 -0.670  -0.273 -0.512  -0.146 -0.409  0.018 -0.438  0.158 -0.530  0.226 -0.674  0.226 -0.842  0.221 -1.010  0.168 -1.170  0.045 -1.283  -0.095 -1.377  -0.255 -1.431  -0.346 -1.308  -0.318 -1.151  -0.224 -1.011  -0.144 -0.867  -0.036 -0.738  0.090 -0.628  0.225 -0.527  0.365 -0.434  0.490 -0.321
