1c#apb#apb10#app1030/c  1.399 0.856  1.318 0.856  1.237 0.863  1.159 0.885  1.081 0.907  1.002 0.921  0.923 0.903  0.844 0.886  0.764 0.868  0.686 0.848  0.609 0.822  0.531 0.796  0.454 0.771  0.380 0.740  0.311 0.696  0.242 0.652  0.174 0.609  0.105 0.565  0.037 0.521  -0.028 0.472  -0.091 0.420  -0.153 0.369  -0.216 0.317  -0.279 0.266  -0.342 0.214  -0.394 0.152  -0.442 0.086  -0.490 0.020  -0.537 -0.045  -0.585 -0.111  -0.633 -0.177  -0.647 -0.257  -0.660 -0.337  -0.673 -0.417  -0.687 -0.498  -0.700 -0.578  -0.688 -0.657  -0.670 -0.737  -0.652 -0.816  -0.635 -0.895  -0.583 -0.958  -0.529 -1.018  -0.475 -1.079  -0.421 -1.140  -0.367 -1.201  -0.293 -1.229  -0.214 -1.250  -0.136 -1.272  -0.057 -1.293  0.021 -1.314
1c#apb#apb10#app1030/r  -0.678 0.568  -0.562 0.605  -0.469 0.512  -0.392 0.408  -0.341 0.287  -0.298 0.164  -0.298 0.033  -0.298 -0.099  -0.298 -0.230  -0.298 -0.362  -0.298 -0.493  -0.336 -0.617  -0.389 -0.737  -0.443 -0.857  -0.464 -0.986  -0.481 -1.116  -0.520 -1.240  -0.567 -1.295  -0.577 -1.164  -0.588 -1.033  -0.598 -0.902  -0.609 -0.771  -0.620 -0.640  -0.630 -0.509  -0.641 -0.378  -0.652 -0.247  -0.662 -0.116  -0.673 0.015  -0.684 0.086  -0.559 0.127  -0.437 0.174  -0.317 0.229  -0.197 0.283  -0.078 0.337  0.049 0.372  0.176 0.406  0.303 0.440  0.430 0.474  0.556 0.513  0.679 0.557  0.803 0.601  0.927 0.645  1.052 0.683  1.183 0.692  1.315 0.701  1.446 0.710  1.577 0.718  1.699 0.765  1.819 0.818  1.939 0.871
1c#apb#apb10#app1030/y  -0.764 1.051  -0.647 1.130  -0.507 1.117  -0.480 0.991  -0.558 0.872  -0.668 0.780  -0.774 0.685  -0.843 0.558  -0.836 0.417  -0.753 0.300  -0.635 0.215  -0.491 0.201  -0.347 0.208  -0.204 0.236  -0.090 0.317  0.010 0.423  0.110 0.528  0.210 0.633  0.310 0.738  0.410 0.844  0.510 0.949  0.511 1.050  0.391 0.971  0.285 0.872  0.215 0.746  0.213 0.606  0.278 0.478  0.358 0.357  0.429 0.230  0.507 0.108  0.585 -0.015  0.656 -0.142  0.713 -0.275  0.759 -0.412  0.784 -0.555  0.792 -0.700  0.762 -0.839  0.696 -0.967  0.600 -1.073  0.476 -1.149  0.344 -1.205  0.203 -1.242  0.061 -1.268  -0.083 -1.286  -0.228 -1.296  -0.373 -1.296  -0.517 -1.287  -0.660 -1.258  -0.794 -1.206  -0.922 -1.138
1c#apb#apb10#app1030/e  -0.243 -0.162  -0.173 -0.197  -0.043 -0.141  0.084 -0.079  0.207 -0.011  0.318 0.076  0.430 0.163  0.545 0.245  0.662 0.323  0.778 0.404  0.878 0.504  0.978 0.604  1.026 0.734  1.058 0.871  1.058 1.012  0.948 1.058  0.808 1.075  0.667 1.075  0.528 1.056  0.391 1.022  0.254 0.988  0.127 0.928  0.004 0.858  -0.119 0.788  -0.241 0.718  -0.333 0.611  -0.424 0.503  -0.516 0.395  -0.607 0.287  -0.694 0.176  -0.781 0.065  -0.869 -0.046  -0.956 -0.157  -0.986 -0.295  -1.014 -0.433  -1.005 -0.572  -0.975 -0.710  -0.910 -0.829  -0.810 -0.929  -0.702 -1.014  -0.565 -1.046  -0.427 -1.078  -0.289 -1.105  -0.147 -1.105  -0.006 -1.105  0.135 -1.105  0.276 -1.105  0.418 -1.105  0.559 -1.105  0.700 -1.105
1c#apb#apb10#app1030/d  -0.247 -0.476  -0.172 -0.342  -0.127 -0.175  -0.217 -0.026  -0.384 0.007  -0.560 0.008  -0.734 0.000  -0.900 -0.060  -1.040 -0.165  -1.180 -0.271  -1.291 -0.406  -1.376 -0.559  -1.392 -0.730  -1.275 -0.860  -1.129 -0.948  -0.954 -0.960  -0.779 -0.949  -0.605 -0.923  -0.465 -0.838  -0.359 -0.698  -0.254 -0.557  -0.148 -0.417  -0.042 -0.276  0.064 -0.136  0.169 0.005  0.275 0.145  0.381 0.286  0.486 0.426  0.592 0.567  0.698 0.707  0.803 0.848  0.909 0.989  1.015 1.129  1.110 1.276  1.133 1.437  1.113 1.265  1.050 1.100  0.963 0.948  0.874 0.796  0.780 0.648  0.684 0.500  0.592 0.351  0.500 0.201  0.397 0.058  0.288 -0.080  0.201 -0.232  0.142 -0.396  0.111 -0.568  0.118 -0.743  0.183 -0.906
1c#apb#apb10#app1030/m  -1.060 0.128  -0.961 0.273  -0.786 0.379  -0.647 0.533  -0.695 0.370  -0.802 0.191  -0.907 0.009  -1.016 -0.170  -1.130 -0.345  -1.249 -0.518  -1.368 -0.689  -1.389 -0.749  -1.256 -0.587  -1.122 -0.426  -0.989 -0.264  -0.852 -0.119  -0.672 -0.058  -0.500 0.055  -0.339 0.188  -0.154 0.287  0.025 0.396  0.221 0.459  0.231 0.286  0.143 0.098  0.035 -0.081  -0.086 -0.252  -0.200 -0.428  -0.317 -0.601  -0.408 -0.779  -0.259 -0.688  -0.118 -0.533  0.024 -0.379  0.165 -0.224  0.269 -0.076  0.456 -0.006  0.632 0.107  0.822 0.196  0.999 0.307  1.167 0.432  1.331 0.562  1.484 0.705  1.633 0.851  1.616 0.751  1.503 0.575  1.392 0.398  1.271 0.227  1.143 0.062  1.023 -0.110  0.904 -0.282  0.793 -0.460
1c#apb#apb10#app1030/o  0.325 0.063  0.442 0.163  0.546 0.272  0.607 0.414  0.694 0.539  0.716 0.672  0.645 0.802  0.515 0.880  0.369 0.929  0.219 0.947  0.066 0.935  -0.087 0.923  -0.231 0.870  -0.375 0.816  -0.519 0.762  -0.650 0.684  -0.775 0.595  -0.900 0.506  -1.014 0.405  -1.110 0.285  -1.206 0.165  -1.245 0.018  -1.278 -0.132  -1.294 -0.279  -1.203 -0.403  -1.113 -0.528  -1.002 -0.630  -0.871 -0.710  -0.741 -0.791  -0.599 -0.846  -0.450 -0.881  -0.300 -0.916  -0.150 -0.940  0.001 -0.911  0.152 -0.883  0.303 -0.854  0.452 -0.817  0.601 -0.780  0.750 -0.743  0.881 -0.664  1.008 -0.579  1.066 -0.444  1.094 -0.294  1.078 -0.141  1.044 0.004  0.949 0.125  0.853 0.244  0.716 0.313  0.580 0.385  0.444 0.449
1c#apb#apb10#app1030/r  -0.785 0.470  -0.677 0.494  -0.663 0.399  -0.635 0.289  -0.576 0.192  -0.576 0.078  -0.576 -0.036  -0.576 -0.150  -0.591 -0.262  -0.627 -0.370  -0.663 -0.478  -0.692 -0.588  -0.719 -0.699  -0.753 -0.808  -0.779 -0.915  -0.721 -1.013  -0.637 -1.083  -0.574 -1.068  -0.568 -0.954  -0.562 -0.840  -0.555 -0.726  -0.549 -0.612  -0.543 -0.498  -0.537 -0.384  -0.531 -0.271  -0.525 -0.157  -0.518 -0.043  -0.451 0.036  -0.356 0.099  -0.261 0.162  -0.155 0.205  -0.048 0.244  0.059 0.283  0.168 0.315  0.278 0.345  0.388 0.375  0.500 0.398  0.612 0.421  0.723 0.443  0.835 0.465  0.946 0.492  1.057 0.520  1.167 0.547  1.278 0.575  1.389 0.603  1.498 0.633  1.607 0.667  1.716 0.701  1.825 0.735  1.934 0.769
1c#apb#apb10#app1030/n  -0.620 0.430  -0.537 0.554  -0.498 0.430  -0.520 0.283  -0.567 0.146  -0.652 0.024  -0.736 -0.099  -0.814 -0.226  -0.892 -0.352  -0.974 -0.476  -1.056 -0.600  -1.139 -0.724  -1.221 -0.847  -1.304 -0.971  -1.261 -0.931  -1.163 -0.819  -1.065 -0.707  -0.968 -0.595  -0.870 -0.483  -0.772 -0.371  -0.674 -0.258  -0.567 -0.161  -0.427 -0.111  -0.287 -0.062  -0.141 -0.035  -0.001 0.011  0.130 0.082  0.258 0.157  0.380 0.242  0.502 0.326  0.628 0.405  0.754 0.484  0.877 0.568  0.990 0.664  1.104 0.760  1.226 0.844  1.352 0.922  1.334 0.868  1.285 0.730  1.205 0.605  1.124 0.480  1.031 0.365  0.936 0.250  0.842 0.135  0.760 0.011  0.682 -0.115  0.618 -0.249  0.564 -0.388  0.540 -0.532  0.604 -0.665
1c#apb#apb10#app1030/i  0.088 0.597  0.025 0.499  -0.022 0.391  -0.070 0.284  -0.136 0.188  -0.208 0.095  -0.280 0.002  -0.338 -0.100  -0.397 -0.202  -0.455 -0.304  -0.513 -0.405  -0.572 -0.507  -0.632 -0.608  -0.691 -0.710  -0.738 -0.817  -0.782 -0.926  -0.820 -1.036  -0.820 -1.153  -0.753 -1.235  -0.655 -1.300  -0.592 -1.209  -0.530 -1.109  -0.469 -1.009  -0.408 -0.909  -0.347 -0.809  -0.285 -0.708  -0.224 -0.608  -0.163 -0.508  -0.102 -0.408  -0.040 -0.308  0.021 -0.208  0.082 -0.107  0.144 -0.007  0.205 0.093  0.266 0.193  0.327 0.293  0.389 0.393  0.450 0.494  0.511 0.594  0.572 0.694  0.634 0.794  0.695 0.894  0.756 0.994  0.817 1.095  0.879 1.195  0.940 1.295  1.001 1.395  1.062 1.495  1.124 1.595  1.053 1.647
1c#apb#apb10#app1030/n  -0.344 0.494  -0.455 0.418  -0.541 0.309  -0.621 0.195  -0.701 0.081  -0.781 -0.033  -0.864 -0.145  -0.951 -0.254  -1.035 -0.365  -1.115 -0.479  -1.180 -0.601  -1.232 -0.731  -1.241 -0.868  -1.218 -0.944  -1.130 -0.836  -1.042 -0.727  -0.954 -0.619  -0.867 -0.511  -0.779 -0.403  -0.691 -0.295  -0.603 -0.187  -0.515 -0.079  -0.550 -0.012  -0.464 0.002  -0.331 0.044  -0.196 0.080  -0.062 0.116  0.071 0.159  0.203 0.203  0.335 0.247  0.464 0.299  0.593 0.353  0.721 0.407  0.847 0.467  0.972 0.529  1.097 0.591  1.221 0.653  1.345 0.717  1.443 0.785  1.374 0.672  1.297 0.556  1.223 0.438  1.149 0.320  1.066 0.208  0.978 0.100  0.900 -0.014  0.838 -0.139  0.784 -0.267  0.750 -0.402  0.793 -0.534
1c#apb#apb10#app1030/g  0.193 0.524  0.300 0.634  0.390 0.757  0.442 0.902  0.478 1.048  0.378 1.138  0.228 1.129  0.080 1.088  -0.065 1.035  -0.209 0.981  -0.331 0.887  -0.453 0.794  -0.564 0.686  -0.645 0.560  -0.672 0.413  -0.639 0.264  -0.542 0.145  -0.413 0.062  -0.264 0.022  -0.152 0.118  -0.043 0.227  0.066 0.335  0.175 0.444  0.284 0.553  0.393 0.662  0.502 0.771  0.506 0.869  0.391 0.782  0.328 0.642  0.279 0.496  0.254 0.344  0.254 0.190  0.260 0.036  0.269 -0.117  0.278 -0.271  0.285 -0.425  0.285 -0.579  0.279 -0.732  0.248 -0.884  0.215 -1.034  0.164 -1.179  0.111 -1.323  0.027 -1.453  -0.072 -1.567  -0.195 -1.660  -0.337 -1.720  -0.489 -1.728  -0.640 -1.706  -0.780 -1.647  -0.834 -1.514
1c#apb#apb10#app1030/a  0.233 -0.127  0.368 -0.086  0.470 0.025  0.537 0.160  0.584 0.304  0.625 0.450  0.649 0.600  0.664 0.750  0.683 0.901  0.701 1.051  0.701 1.203  0.594 1.278  0.453 1.277  0.315 1.214  0.178 1.150  0.052 1.068  -0.062 0.968  -0.177 0.869  -0.291 0.769  -0.404 0.667  -0.507 0.557  -0.611 0.446  -0.715 0.335  -0.819 0.225  -0.911 0.105  -0.998 -0.020  -1.084 -0.144  -1.143 -0.279  -1.158 -0.430  -1.149 -0.577  -1.089 -0.717  -0.972 -0.802  -0.836 -0.870  -0.686 -0.863  -0.535 -0.851  -0.390 -0.815  -0.252 -0.752  -0.114 -0.688  0.027 -0.632  0.171 -0.584  0.315 -0.536  0.457 -0.484  0.593 -0.422  0.694 -0.382  0.758 -0.518  0.789 -0.664  0.770 -0.814  0.792 -0.961  0.839 -1.105  0.887 -1.249
1c#apb#apb10#app1030/t  0.611 2.041  0.610 1.898  0.598 1.733  0.568 1.572  0.501 1.420  0.432 1.270  0.342 1.131  0.252 0.992  0.168 0.849  0.089 0.704  0.010 0.558  -0.069 0.413  -0.155 0.271  -0.240 0.129  -0.323 -0.014  -0.401 -0.161  -0.478 -0.308  -0.536 -0.461  -0.576 -0.622  -0.599 -0.785  -0.598 -0.951  -0.568 -1.114  -0.477 -1.240  -0.339 -1.331  -0.181 -1.361  -0.017 -1.350  0.143 -1.308  0.299 -1.254  0.445 -1.175  0.409 -1.062  0.301 -0.937  0.193 -0.811  0.085 -0.685  -0.023 -0.560  -0.131 -0.434  -0.239 -0.308  -0.347 -0.183  -0.455 -0.057  -0.563 0.069  -0.672 0.193  -0.535 0.183  -0.370 0.197  -0.207 0.224  -0.043 0.245  0.122 0.266  0.280 0.314  0.438 0.364  0.595 0.418  0.749 0.478  0.903 0.538
