2#tos#f3#f3026061/!  0.294 1.650  0.225 1.627  0.182 1.584  0.182 1.511  0.182 1.438  0.182 1.365  0.182 1.291  0.175 1.220  0.147 1.152  0.120 1.084  0.108 1.013  0.108 0.940  0.096 0.868  0.073 0.799  0.050 0.730  0.033 0.659  0.033 0.586  0.033 0.513  0.033 0.440  0.033 0.366  0.033 0.293  0.033 0.220  0.033 0.147  0.033 0.074  0.033 0.000  0.033 -0.073  0.004 -0.134  -0.042 -0.188  -0.042 -0.261  -0.042 -0.335  -0.042 -0.408  -0.042 -0.481  -0.079 -0.517  -0.079 -0.590  -0.087 -0.663  -0.096 -0.735  -0.105 -0.808  -0.113 -0.881  -0.122 -0.953  -0.130 -1.026  -0.139 -1.099  -0.147 -1.171  -0.154 -1.244  -0.166 -1.312  -0.218 -1.364  -0.266 -1.417  -0.224 -1.449  -0.188 -1.486  -0.115 -1.486  -0.042 -1.486
2#tos#f3#f3026061/U  -0.318 1.329  -0.448 1.222  -0.572 1.111  -0.614 0.946  -0.676 0.788  -0.763 0.643  -0.780 0.477  -0.780 0.307  -0.787 0.138  -0.863 -0.014  -0.906 -0.174  -0.906 -0.344  -0.906 -0.514  -0.906 -0.684  -0.906 -0.855  -0.878 -1.020  -0.776 -1.152  -0.664 -1.232  -0.493 -1.232  -0.359 -1.147  -0.267 -1.005  -0.167 -0.871  -0.076 -0.731  -0.010 -0.575  0.067 -0.423  0.155 -0.277  0.207 -0.118  0.241 0.049  0.287 0.207  0.404 0.318  0.437 0.485  0.438 0.655  0.480 0.816  0.534 0.963  0.564 1.121  0.564 1.200  0.564 1.030  0.564 0.859  0.566 0.689  0.594 0.522  0.606 0.352  0.606 0.182  0.606 0.012  0.667 -0.138  0.747 -0.284  0.807 -0.441  0.893 -0.588  0.969 -0.740  1.056 -0.884  1.194 -0.980
2#tos#f3#f3026061/V  -1.263 1.087  -1.164 1.058  -1.104 0.977  -1.018 0.909  -0.976 0.806  -0.928 0.707  -0.874 0.612  -0.843 0.505  -0.813 0.399  -0.757 0.303  -0.704 0.207  -0.683 0.098  -0.643 -0.004  -0.586 -0.099  -0.534 -0.196  -0.487 -0.297  -0.446 -0.399  -0.418 -0.506  -0.400 -0.615  -0.322 -0.673  -0.277 -0.760  -0.259 -0.869  -0.218 -0.971  -0.178 -1.074  -0.114 -1.134  -0.032 -1.066  0.038 -1.006  0.134 -0.952  0.200 -0.864  0.250 -0.766  0.285 -0.661  0.340 -0.567  0.411 -0.482  0.478 -0.395  0.516 -0.291  0.577 -0.199  0.639 -0.107  0.690 -0.009  0.717 0.096  0.717 0.206  0.771 0.286  0.866 0.343  0.921 0.434  0.962 0.537  0.983 0.646  1.018 0.750  1.068 0.849  1.129 0.941  1.159 1.047  1.169 1.157
2#tos#f3#f3026061/a  0.250 0.654  0.132 0.538  0.130 0.481  0.130 0.671  0.130 0.860  0.130 1.050  0.130 1.240  0.074 1.373  -0.116 1.373  -0.304 1.365  -0.474 1.280  -0.554 1.127  -0.598 0.944  -0.708 0.800  -0.708 0.611  -0.763 0.430  -0.768 0.241  -0.768 0.051  -0.768 -0.139  -0.768 -0.328  -0.768 -0.518  -0.768 -0.708  -0.708 -0.873  -0.548 -0.902  -0.363 -0.880  -0.289 -0.736  -0.172 -0.663  -0.124 -0.482  -0.104 -0.295  0.002 -0.137  0.011 0.050  0.011 0.239  0.011 0.429  0.011 0.619  0.011 0.500  0.042 0.324  0.118 0.153  0.167 -0.030  0.190 -0.217  0.229 -0.383  0.365 -0.506  0.447 -0.674  0.498 -0.855  0.604 -1.013  0.774 -1.082  0.935 -1.179  1.118 -1.202  1.307 -1.202  1.497 -1.202  1.687 -1.202
2#tos#f3#f3026061/d  0.288 1.845  0.288 1.995  0.211 1.928  0.211 1.779  0.211 1.629  0.211 1.480  0.211 1.330  0.211 1.180  0.211 1.031  0.211 0.881  0.211 0.732  0.211 0.582  0.211 0.433  0.216 0.284  0.237 0.136  0.249 -0.013  0.249 -0.163  0.288 -0.306  0.288 -0.456  0.301 -0.603  0.364 -0.710  0.364 -0.570  0.364 -0.420  0.305 -0.289  0.264 -0.146  0.211 -0.014  0.173 0.126  0.067 0.199  -0.082 0.202  -0.232 0.202  -0.381 0.202  -0.477 0.126  -0.566 0.010  -0.652 -0.088  -0.744 -0.199  -0.782 -0.343  -0.782 -0.492  -0.782 -0.642  -0.761 -0.785  -0.678 -0.909  -0.602 -1.038  -0.490 -1.134  -0.354 -1.173  -0.204 -1.173  -0.055 -1.173  0.095 -1.173  0.244 -1.173  0.382 -1.150  0.472 -1.030  0.593 -0.944
2#tos#f3#f3026061/j  0.403 0.688  0.407 0.561  0.432 0.439  0.432 0.311  0.432 0.183  0.432 0.055  0.432 -0.073  0.423 -0.200  0.403 -0.325  0.382 -0.449  0.339 -0.569  0.314 -0.695  0.289 -0.820  0.224 -0.929  0.135 -1.021  0.077 -1.135  -0.019 -1.218  -0.136 -1.267  -0.262 -1.279  -0.390 -1.279  -0.513 -1.245  -0.605 -1.163  -0.654 -1.045  -0.713 -0.976  -0.772 -0.872  -0.772 -0.744  -0.721 -0.629  -0.659 -0.517  -0.597 -0.405  -0.535 -0.293  -0.473 -0.181  -0.411 -0.069  -0.349 0.043  -0.288 0.155  -0.226 0.267  -0.164 0.379  -0.102 0.491  -0.040 0.603  0.022 0.715  0.084 0.827  0.146 0.939  0.208 1.051  0.270 1.163  0.331 1.275  0.393 1.387  0.455 1.499  0.461 1.625  0.491 1.708  0.491 1.580  0.491 1.452
2#tos#f3#f3026061/k  -0.304 1.370  -0.402 1.506  -0.333 1.696  -0.207 1.608  -0.214 1.376  -0.252 1.146  -0.291 0.917  -0.304 0.685  -0.348 0.460  -0.410 0.236  -0.438 0.006  -0.460 -0.225  -0.516 -0.451  -0.594 -0.669  -0.645 -0.889  -0.645 -1.122  -0.645 -1.355  -0.548 -1.377  -0.419 -1.183  -0.291 -0.989  -0.163 -0.795  -0.035 -0.600  0.093 -0.406  0.221 -0.212  0.349 -0.018  0.478 0.176  0.606 0.370  0.734 0.565  0.862 0.759  0.990 0.953  0.813 0.965  0.599 0.874  0.408 0.753  0.259 0.579  0.060 0.458  -0.087 0.282  -0.299 0.204  -0.485 0.071  -0.593 -0.129  -0.645 -0.341  -0.571 -0.552  -0.407 -0.716  -0.176 -0.721  0.057 -0.721  0.289 -0.721  0.519 -0.745  0.749 -0.770  0.981 -0.770  1.214 -0.770  1.447 -0.770
2#tos#f3#f3026061/q  0.071 0.824  -0.154 0.770  -0.220 0.887  -0.152 1.080  -0.124 1.312  -0.085 1.540  -0.174 1.667  -0.292 1.466  -0.374 1.248  -0.429 1.020  -0.528 0.808  -0.585 0.577  -0.592 0.340  -0.592 0.103  -0.592 -0.135  -0.440 -0.038  -0.397 0.182  -0.280 0.357  -0.214 0.577  -0.154 0.785  -0.046 0.811  -0.046 0.573  -0.046 0.336  -0.046 0.098  -0.202 -0.043  -0.202 -0.281  -0.280 -0.503  -0.280 -0.741  -0.280 -0.979  -0.265 -1.215  -0.241 -1.451  -0.152 -1.664  -0.008 -1.827  0.225 -1.809  0.402 -1.662  0.477 -1.444  0.611 -1.249  0.644 -1.017  0.656 -0.781  0.656 -0.543  0.631 -0.309  0.582 -0.082  0.383 0.044  0.155 0.083  -0.007 0.007  0.151 -0.073  0.372 -0.027  0.598 0.044  0.818 0.132  1.046 0.200
2#tos#f3#f3026061/s  0.869 0.717  0.869 0.881  0.869 1.045  0.748 1.134  0.622 1.226  0.458 1.226  0.293 1.226  0.132 1.207  -0.026 1.166  -0.182 1.120  -0.277 1.007  -0.277 0.843  -0.277 0.679  -0.194 0.549  -0.059 0.459  0.094 0.405  0.240 0.355  0.328 0.250  0.492 0.250  0.632 0.190  0.766 0.098  0.905 0.037  0.996 -0.085  0.955 -0.237  0.873 -0.379  0.767 -0.455  0.689 -0.583  0.538 -0.642  0.409 -0.727  0.251 -0.763  0.087 -0.769  -0.065 -0.722  -0.189 -0.660  -0.277 -0.568  -0.320 -0.421  -0.321 -0.257  -0.362 -0.099  -0.390 0.037  -0.554 0.037  -0.655 -0.057  -0.702 -0.212  -0.766 -0.356  -0.812 -0.506  -0.911 -0.637  -0.985 -0.784  -0.999 -0.945  -1.070 -1.087  -1.084 -1.247  -1.084 -1.412  -1.042 -1.533
2#tos#f3#f3026061/v  -0.539 1.391  -0.574 1.228  -0.687 1.093  -0.750 0.928  -0.793 0.755  -0.793 0.577  -0.793 0.399  -0.793 0.222  -0.793 0.044  -0.793 -0.134  -0.793 -0.312  -0.793 -0.490  -0.793 -0.668  -0.793 -0.846  -0.793 -1.023  -0.793 -1.201  -0.726 -1.349  -0.557 -1.319  -0.409 -1.220  -0.261 -1.122  -0.149 -0.987  -0.068 -0.831  0.009 -0.675  0.113 -0.531  0.162 -0.368  0.172 -0.196  0.320 -0.097  0.354 0.063  0.354 0.241  0.415 0.400  0.481 0.558  0.577 0.707  0.608 0.875  0.657 1.042  0.672 1.216  0.736 1.197  0.672 1.083  0.599 0.935  0.545 0.780  0.537 0.603  0.481 0.435  0.481 0.257  0.481 0.079  0.481 -0.099  0.481 -0.277  0.537 -0.441  0.613 -0.589  0.757 -0.690  0.891 -0.804  1.055 -0.839
2#tos#f3#f3026061/w  -0.943 0.437  -1.101 0.515  -1.273 0.533  -1.308 0.630  -1.234 0.501  -1.120 0.371  -1.088 0.208  -1.088 0.032  -1.088 -0.144  -1.057 -0.316  -0.966 -0.460  -0.895 -0.606  -0.895 -0.782  -0.785 -0.903  -0.669 -1.030  -0.513 -1.063  -0.345 -1.030  -0.270 -0.880  -0.255 -0.708  -0.160 -0.560  -0.081 -0.402  -0.034 -0.233  -0.024 -0.058  -0.024 0.118  -0.024 0.294  -0.024 0.471  0.024 0.468  0.024 0.292  0.072 0.124  0.118 -0.041  0.175 -0.208  0.246 -0.366  0.385 -0.469  0.490 -0.579  0.664 -0.572  0.798 -0.468  0.819 -0.296  0.846 -0.127  0.846 0.049  0.895 0.205  0.895 0.382  0.895 0.558  0.895 0.734  0.895 0.910  0.856 0.902  0.981 0.811  1.117 0.718  1.268 0.678  1.444 0.678  1.620 0.678
2#tos#f3#f3026061/z  -0.829 1.450  -1.001 1.355  -0.860 1.278  -0.640 1.278  -0.421 1.278  -0.202 1.278  0.018 1.278  0.237 1.278  0.434 1.223  0.628 1.163  0.782 1.053  0.782 0.833  0.754 0.631  0.557 0.533  0.401 0.380  0.253 0.220  0.103 0.075  -0.079 -0.043  -0.234 -0.198  -0.385 -0.357  -0.513 -0.534  -0.599 -0.718  -0.714 -0.822  -0.714 -1.042  -0.581 -1.196  -0.362 -1.196  -0.142 -1.196  0.077 -1.196  0.297 -1.196  0.493 -1.120  0.674 -1.016  0.872 -0.965  0.726 -0.870  0.535 -0.763  0.344 -0.656  0.152 -0.549  -0.039 -0.441  -0.231 -0.334  -0.422 -0.227  -0.600 -0.103  -0.819 -0.103  -0.734 0.012  -0.515 0.012  -0.295 0.012  -0.076 0.012  0.143 0.012  0.363 0.012  0.578 0.040  0.792 0.070  1.012 0.070
