2#apb#apb18#app1837/B  -0.756 -1.178  -0.783 -1.016  -0.825 -0.855  -0.894 -0.705  -0.983 -0.564  -1.053 -0.414  -1.076 -0.251  -1.008 -0.100  -0.925 0.044  -0.816 0.170  -0.720 0.306  -0.615 0.435  -0.499 0.553  -0.378 0.667  -0.263 0.788  -0.145 0.904  -0.015 1.009  0.114 1.113  0.244 1.217  0.392 1.290  0.551 1.332  0.709 1.313  0.819 1.192  0.863 1.033  0.821 0.872  0.773 0.713  0.698 0.565  0.624 0.416  0.523 0.285  0.410 0.163  0.296 0.042  0.169 -0.065  0.041 -0.171  -0.114 -0.219  -0.141 -0.074  -0.036 0.050  0.123 0.100  0.274 0.051  0.375 -0.075  0.462 -0.217  0.480 -0.381  0.495 -0.547  0.466 -0.709  0.421 -0.869  0.376 -1.029  0.302 -1.177  0.218 -1.321  0.135 -1.465  0.005 -1.565  -0.134 -1.656
2#apb#apb18#app1837/l  0.646 1.548  0.653 1.479  0.660 1.410  0.654 1.342  0.627 1.278  0.601 1.214  0.574 1.150  0.548 1.085  0.520 1.022  0.491 0.958  0.462 0.895  0.434 0.832  0.405 0.769  0.376 0.705  0.347 0.642  0.318 0.579  0.290 0.515  0.261 0.452  0.231 0.389  0.201 0.327  0.172 0.264  0.142 0.201  0.112 0.138  0.083 0.075  0.053 0.012  0.023 -0.051  -0.006 -0.113  -0.036 -0.176  -0.071 -0.236  -0.107 -0.296  -0.143 -0.355  -0.178 -0.415  -0.214 -0.475  -0.250 -0.534  -0.286 -0.594  -0.321 -0.653  -0.357 -0.713  -0.395 -0.771  -0.433 -0.830  -0.471 -0.888  -0.509 -0.946  -0.547 -1.004  -0.585 -1.063  -0.623 -1.121  -0.654 -1.183  -0.683 -1.246  -0.711 -1.309  -0.740 -1.373  -0.768 -1.436  -0.797 -1.499
2#apb#apb18#app1837/e  -0.219 0.174  -0.137 0.284  -0.126 0.418  -0.126 0.555  -0.158 0.688  -0.188 0.821  -0.188 0.959  -0.188 1.096  -0.152 1.228  -0.126 1.362  -0.079 1.361  -0.116 1.229  -0.156 1.097  -0.197 0.966  -0.238 0.835  -0.279 0.704  -0.337 0.580  -0.395 0.456  -0.454 0.331  -0.512 0.207  -0.563 0.080  -0.611 -0.049  -0.660 -0.177  -0.708 -0.306  -0.764 -0.431  -0.821 -0.556  -0.868 -0.683  -0.868 -0.821  -0.815 -0.939  -0.727 -1.044  -0.600 -1.037  -0.466 -1.008  -0.332 -0.979  -0.204 -0.930  -0.082 -0.869  0.041 -0.807  0.164 -0.746  0.287 -0.685  0.408 -0.620  0.528 -0.554  0.649 -0.488  0.769 -0.422  0.889 -0.356  1.013 -0.297  1.141 -0.248  1.269 -0.199  1.395 -0.144  1.515 -0.077  1.635 -0.011  1.758 0.051
2#apb#apb18#app1837/s  0.971 0.870  1.039 0.921  1.062 0.967  0.998 1.020  0.927 1.067  0.853 1.100  0.768 1.100  0.683 1.098  0.607 1.060  0.528 1.029  0.448 1.002  0.374 0.960  0.305 0.911  0.235 0.862  0.165 0.814  0.096 0.765  0.036 0.705  -0.017 0.638  -0.070 0.572  -0.124 0.507  -0.168 0.436  -0.191 0.354  -0.176 0.272  -0.144 0.195  -0.096 0.124  -0.058 0.048  -0.046 -0.035  -0.036 -0.120  -0.046 -0.205  -0.056 -0.289  -0.066 -0.374  -0.086 -0.456  -0.116 -0.535  -0.147 -0.614  -0.178 -0.694  -0.213 -0.771  -0.253 -0.846  -0.293 -0.921  -0.332 -0.997  -0.374 -1.071  -0.416 -1.144  -0.459 -1.218  -0.521 -1.272  -0.596 -1.295  -0.666 -1.246  -0.735 -1.197  -0.789 -1.133  -0.832 -1.060  -0.876 -0.987  -0.920 -0.914
2#apb#apb18#app1837/S  1.220 0.898  1.132 0.917  1.045 0.935  0.957 0.954  0.868 0.963  0.779 0.971  0.690 0.979  0.601 0.986  0.511 0.986  0.422 0.986  0.332 0.986  0.244 0.978  0.158 0.953  0.073 0.927  -0.013 0.901  -0.089 0.855  -0.161 0.803  -0.211 0.732  -0.183 0.647  -0.148 0.565  -0.112 0.482  -0.079 0.399  -0.048 0.315  -0.018 0.231  0.009 0.146  0.020 0.058  0.032 -0.031  0.044 -0.120  0.048 -0.209  0.045 -0.298  0.041 -0.388  0.037 -0.477  0.020 -0.564  -0.009 -0.648  -0.039 -0.733  -0.068 -0.817  -0.115 -0.892  -0.176 -0.957  -0.237 -1.022  -0.299 -1.087  -0.375 -1.132  -0.456 -1.168  -0.538 -1.205  -0.620 -1.233  -0.706 -1.208  -0.792 -1.183  -0.871 -1.147  -0.930 -1.079  -0.988 -1.012  -1.047 -0.944
2#apb#apb18#app1837/a  1.285 -0.164  1.242 0.019  1.187 0.196  1.086 0.354  0.984 0.513  0.877 0.667  0.770 0.822  0.676 0.984  0.584 1.148  0.491 1.312  0.401 1.476  0.273 1.437  0.143 1.301  0.037 1.146  -0.069 0.991  -0.175 0.836  -0.262 0.669  -0.349 0.503  -0.436 0.336  -0.537 0.178  -0.639 0.020  -0.742 -0.137  -0.842 -0.296  -0.930 -0.462  -1.018 -0.628  -1.103 -0.796  -1.187 -0.964  -1.158 -1.126  -1.001 -1.109  -0.840 -1.012  -0.680 -0.914  -0.524 -0.809  -0.368 -0.705  -0.211 -0.601  -0.085 -0.462  0.038 -0.321  0.162 -0.179  0.285 -0.037  0.416 0.097  0.549 0.230  0.591 0.277  0.507 0.111  0.411 -0.051  0.315 -0.213  0.213 -0.370  0.110 -0.528  0.008 -0.685  -0.087 -0.848  -0.177 -1.012  -0.222 -1.194
2#apb#apb18#app1837/n  -0.146 0.881  -0.188 0.713  -0.230 0.545  -0.292 0.384  -0.360 0.224  -0.429 0.065  -0.515 -0.084  -0.610 -0.229  -0.704 -0.374  -0.799 -0.519  -0.908 -0.654  -1.017 -0.788  -1.131 -0.918  -1.263 -1.030  -1.274 -0.918  -1.168 -0.784  -1.052 -0.655  -0.936 -0.526  -0.816 -0.402  -0.683 -0.291  -0.549 -0.181  -0.416 -0.071  -0.282 0.040  -0.150 0.151  -0.021 0.267  0.108 0.382  0.237 0.498  0.366 0.613  0.495 0.729  0.623 0.845  0.752 0.961  0.880 1.077  1.012 1.184  1.185 1.183  1.202 1.011  1.166 0.846  1.102 0.686  1.038 0.525  0.973 0.364  0.900 0.208  0.805 0.063  0.710 -0.082  0.615 -0.227  0.521 -0.371  0.429 -0.518  0.339 -0.666  0.249 -0.814  0.159 -0.962  0.076 -1.114  -0.006 -1.267
2#apb#apb18#app1837/t  1.847 -0.221  1.697 -0.163  1.548 -0.105  1.397 -0.050  1.241 -0.013  1.085 0.024  0.930 0.062  0.772 0.092  0.614 0.115  0.455 0.138  0.296 0.160  0.137 0.167  -0.022 0.147  -0.181 0.126  -0.340 0.105  -0.500 0.105  -0.660 0.105  -0.818 0.123  -0.971 0.170  -1.010 0.237  -0.881 0.332  -0.752 0.427  -0.623 0.522  -0.494 0.617  -0.365 0.712  -0.236 0.807  -0.107 0.903  0.023 0.998  0.152 1.093  0.261 1.155  0.235 0.997  0.210 0.839  0.184 0.681  0.159 0.522  0.118 0.368  0.066 0.216  0.014 0.064  -0.038 -0.087  -0.089 -0.239  -0.141 -0.391  -0.205 -0.538  -0.274 -0.683  -0.342 -0.828  -0.410 -0.973  -0.478 -1.118  -0.549 -1.262  -0.625 -1.403  -0.701 -1.544  -0.777 -1.686  -0.853 -1.827
2#apb#apb18#app1837/a  0.530 -0.103  0.601 0.047  0.601 0.228  0.602 0.408  0.610 0.588  0.618 0.768  0.627 0.948  0.635 1.128  0.644 1.308  0.654 1.488  0.614 1.628  0.490 1.502  0.371 1.367  0.261 1.224  0.156 1.078  0.051 0.931  -0.054 0.785  -0.155 0.635  -0.254 0.485  -0.353 0.334  -0.452 0.183  -0.553 0.034  -0.659 -0.112  -0.764 -0.258  -0.870 -0.404  -0.962 -0.559  -1.049 -0.717  -1.113 -0.884  -1.071 -1.031  -0.892 -1.027  -0.746 -0.921  -0.600 -0.816  -0.475 -0.686  -0.354 -0.552  -0.234 -0.418  -0.116 -0.282  0.002 -0.146  0.121 -0.010  0.244 0.122  0.351 0.141  0.351 -0.039  0.345 -0.219  0.326 -0.398  0.308 -0.578  0.284 -0.756  0.253 -0.934  0.229 -1.112  0.246 -1.291  0.267 -1.470  0.334 -1.637
2#apb#apb18#app1837/C  0.989 0.841  0.970 0.925  0.926 0.996  0.868 1.059  0.801 1.112  0.731 1.161  0.657 1.205  0.584 1.248  0.512 1.209  0.451 1.149  0.390 1.088  0.338 1.020  0.287 0.951  0.236 0.882  0.185 0.813  0.136 0.743  0.088 0.671  0.041 0.600  -0.007 0.528  -0.054 0.457  -0.102 0.386  -0.147 0.313  -0.189 0.238  -0.231 0.163  -0.273 0.088  -0.315 0.014  -0.357 -0.061  -0.399 -0.136  -0.436 -0.214  -0.469 -0.293  -0.503 -0.372  -0.536 -0.450  -0.570 -0.529  -0.591 -0.611  -0.594 -0.697  -0.597 -0.783  -0.600 -0.869  -0.576 -0.948  -0.538 -1.025  -0.497 -1.100  -0.423 -1.143  -0.349 -1.187  -0.273 -1.220  -0.187 -1.217  -0.102 -1.214  -0.016 -1.210  0.067 -1.194  0.147 -1.162  0.226 -1.129  0.305 -1.097
2#apb#apb18#app1837/r  -0.580 -1.281  -0.580 -1.364  -0.580 -1.447  -0.580 -1.463  -0.580 -1.380  -0.580 -1.297  -0.580 -1.214  -0.580 -1.131  -0.580 -1.048  -0.580 -0.965  -0.580 -0.882  -0.580 -0.799  -0.567 -0.718  -0.545 -0.638  -0.523 -0.558  -0.501 -0.478  -0.479 -0.398  -0.456 -0.318  -0.434 -0.238  -0.412 -0.158  -0.376 -0.084  -0.335 -0.012  -0.294 0.060  -0.253 0.132  -0.212 0.204  -0.171 0.276  -0.130 0.349  -0.089 0.421  -0.048 0.493  0.003 0.558  0.057 0.620  0.111 0.683  0.165 0.746  0.219 0.809  0.273 0.872  0.327 0.935  0.400 0.965  0.482 0.978  0.564 0.990  0.643 0.989  0.714 0.946  0.784 0.902  0.855 0.859  0.917 0.807  0.956 0.734  0.996 0.661  1.036 0.588  1.064 0.510  1.092 0.432  1.121 0.354
2#apb#apb18#app1837/u  -0.196 1.160  -0.115 1.257  -0.035 1.336  0.009 1.229  -0.043 1.114  -0.094 0.999  -0.146 0.884  -0.198 0.768  -0.250 0.653  -0.305 0.540  -0.362 0.427  -0.418 0.315  -0.474 0.202  -0.531 0.089  -0.587 -0.024  -0.640 -0.138  -0.684 -0.256  -0.727 -0.375  -0.771 -0.493  -0.815 -0.612  -0.844 -0.732  -0.844 -0.859  -0.844 -0.985  -0.799 -1.097  -0.692 -1.153  -0.572 -1.193  -0.459 -1.185  -0.354 -1.115  -0.249 -1.045  -0.144 -0.975  -0.040 -0.905  0.041 -0.807  0.121 -0.710  0.201 -0.613  0.282 -0.516  0.362 -0.418  0.442 -0.321  0.523 -0.224  0.592 -0.119  0.658 -0.011  0.723 0.096  0.789 0.204  0.855 0.312  0.920 0.420  0.984 0.528  1.038 0.642  1.092 0.756  1.146 0.870  1.200 0.984  1.254 1.098
2#apb#apb18#app1837/z  -1.212 0.730  -1.141 0.808  -1.070 0.886  -0.999 0.965  -0.910 1.019  -0.813 1.061  -0.737 1.134  -0.646 1.108  -0.566 1.047  -0.486 0.981  -0.411 0.906  -0.321 0.851  -0.229 0.798  -0.134 0.751  -0.039 0.704  0.061 0.682  0.167 0.682  0.273 0.683  0.378 0.696  0.482 0.697  0.516 0.626  0.494 0.522  0.472 0.419  0.440 0.319  0.387 0.227  0.333 0.136  0.280 0.044  0.226 -0.047  0.173 -0.139  0.120 -0.230  0.077 -0.327  0.033 -0.424  -0.010 -0.520  -0.054 -0.617  -0.095 -0.714  -0.121 -0.817  -0.146 -0.920  -0.140 -1.015  -0.071 -1.095  0.005 -1.167  0.100 -1.214  0.198 -1.248  0.303 -1.241  0.409 -1.234  0.515 -1.227  0.605 -1.175  0.693 -1.116  0.781 -1.057  0.870 -0.998  0.958 -0.940
