1c#pri#pri0#150/b  -0.675 1.729  -0.697 1.731  -0.697 1.590  -0.697 1.449  -0.697 1.309  -0.697 1.168  -0.694 1.027  -0.683 0.887  -0.675 0.746  -0.675 0.606  -0.675 0.465  -0.652 0.326  -0.629 0.187  -0.619 0.047  -0.607 -0.093  -0.580 -0.231  -0.557 -0.370  -0.542 -0.510  -0.519 -0.649  -0.502 -0.787  -0.404 -0.747  -0.341 -0.621  -0.303 -0.486  -0.259 -0.352  -0.205 -0.222  -0.145 -0.095  -0.072 0.025  0.010 0.139  0.118 0.222  0.251 0.270  0.388 0.287  0.529 0.287  0.667 0.265  0.794 0.208  0.908 0.126  1.016 0.037  1.103 -0.074  1.158 -0.203  1.166 -0.342  1.137 -0.479  1.059 -0.596  0.954 -0.689  0.843 -0.775  0.727 -0.854  0.601 -0.917  0.472 -0.975  0.340 -1.021  0.202 -1.045  0.062 -1.045  -0.009 -0.956
1c#pri#pri0#150/q  -0.542 0.380  -0.495 0.518  -0.380 0.618  -0.253 0.702  -0.132 0.795  -0.033 0.909  0.021 1.049  -0.020 1.188  -0.135 1.287  -0.282 1.321  -0.435 1.321  -0.587 1.307  -0.728 1.254  -0.835 1.148  -0.858 1.004  -0.764 0.887  -0.635 0.806  -0.499 0.737  -0.362 0.671  -0.233 0.591  -0.107 0.507  -0.005 0.394  0.061 0.258  0.090 0.108  0.091 -0.044  0.091 -0.197  0.091 -0.349  0.091 -0.502  0.091 -0.654  0.098 -0.806  0.125 -0.956  0.159 -1.105  0.205 -1.250  0.269 -1.388  0.353 -1.516  0.486 -1.566  0.615 -1.495  0.700 -1.369  0.755 -1.228  0.772 -1.077  0.752 -0.927  0.702 -0.784  0.618 -0.658  0.515 -0.547  0.404 -0.442  0.284 -0.348  0.169 -0.248  0.041 -0.165  -0.095 -0.097  -0.234 -0.042
1c#pri#pri0#150/r  -0.481 0.820  -0.604 0.820  -0.727 0.820  -0.850 0.820  -0.965 0.787  -1.052 0.702  -1.052 0.579  -1.033 0.458  -1.004 0.339  -0.955 0.226  -0.907 0.113  -0.847 0.005  -0.786 -0.101  -0.722 -0.206  -0.650 -0.306  -0.579 -0.406  -0.502 -0.502  -0.424 -0.596  -0.348 -0.693  -0.280 -0.795  -0.212 -0.898  -0.148 -1.003  -0.084 -1.108  -0.025 -1.213  -0.025 -1.133  -0.025 -1.010  -0.025 -0.887  -0.025 -0.764  -0.025 -0.641  -0.025 -0.518  0.007 -0.400  0.041 -0.281  0.089 -0.169  0.144 -0.059  0.199 0.051  0.254 0.161  0.331 0.254  0.425 0.333  0.521 0.409  0.626 0.473  0.736 0.526  0.854 0.560  0.973 0.591  1.096 0.591  1.218 0.591  1.341 0.591  1.464 0.589  1.578 0.543  1.691 0.494  1.801 0.439
1c#pri#pri0#150/s  -1.360 -0.659  -1.360 -0.547  -1.357 -0.436  -1.322 -0.331  -1.299 -0.222  -1.285 -0.112  -1.255 -0.006  -1.216 0.098  -1.177 0.203  -1.138 0.307  -1.079 0.399  -1.006 0.484  -0.924 0.557  -0.828 0.612  -0.726 0.655  -0.619 0.686  -0.509 0.694  -0.398 0.694  -0.288 0.681  -0.179 0.659  -0.071 0.634  0.031 0.588  0.133 0.543  0.229 0.488  0.325 0.431  0.420 0.373  0.513 0.312  0.605 0.250  0.698 0.188  0.790 0.127  0.883 0.065  0.963 -0.012  1.042 -0.091  1.114 -0.175  1.186 -0.261  1.227 -0.364  1.239 -0.473  1.188 -0.567  1.102 -0.634  0.997 -0.666  0.887 -0.682  0.776 -0.685  0.665 -0.682  0.555 -0.664  0.453 -0.624  0.358 -0.569  0.300 -0.474  0.254 -0.373  0.231 -0.266  0.231 -0.155
1c#pri#pri0#150/t  -0.435 1.985  -0.314 1.899  -0.261 1.731  -0.237 1.556  -0.220 1.380  -0.218 1.204  -0.215 1.027  -0.203 0.851  -0.190 0.674  -0.165 0.499  -0.140 0.324  -0.115 0.149  -0.090 -0.026  -0.046 -0.196  0.006 -0.365  0.073 -0.528  0.152 -0.686  0.264 -0.823  0.384 -0.952  0.518 -1.067  0.675 -1.147  0.840 -1.203  1.016 -1.223  1.193 -1.225  1.106 -1.142  0.961 -1.041  0.816 -0.940  0.671 -0.839  0.526 -0.738  0.381 -0.636  0.236 -0.535  0.091 -0.434  -0.054 -0.333  -0.199 -0.232  -0.344 -0.131  -0.489 -0.030  -0.634 0.071  -0.779 0.172  -0.942 0.217  -1.119 0.217  -1.044 0.217  -0.867 0.217  -0.690 0.217  -0.514 0.230  -0.338 0.243  -0.161 0.255  0.015 0.267  0.191 0.278  0.368 0.288  0.544 0.299
1c#pri#pri0#150/u  -1.142 0.853  -1.198 0.801  -1.236 0.721  -1.257 0.635  -1.264 0.547  -1.264 0.458  -1.264 0.369  -1.251 0.282  -1.226 0.197  -1.186 0.117  -1.132 0.049  -1.069 -0.014  -1.000 -0.070  -0.929 -0.123  -0.845 -0.152  -0.761 -0.180  -0.676 -0.208  -0.592 -0.236  -0.505 -0.246  -0.416 -0.246  -0.327 -0.246  -0.239 -0.246  -0.150 -0.246  -0.061 -0.246  0.027 -0.243  0.110 -0.210  0.187 -0.170  0.250 -0.107  0.313 -0.044  0.372 0.022  0.426 0.093  0.485 0.159  0.548 0.221  0.610 0.284  0.679 0.334  0.745 0.280  0.796 0.207  0.839 0.130  0.880 0.051  0.929 -0.023  0.978 -0.097  1.036 -0.164  1.099 -0.227  1.163 -0.287  1.236 -0.339  1.308 -0.391  1.381 -0.441  1.456 -0.488  1.532 -0.535  1.607 -0.582
1c#pri#pri0#150/v  -1.439 0.722  -1.409 0.646  -1.366 0.572  -1.334 0.493  -1.295 0.418  -1.240 0.352  -1.185 0.287  -1.131 0.221  -1.076 0.155  -1.021 0.090  -0.963 0.027  -0.903 -0.033  -0.842 -0.094  -0.779 -0.151  -0.714 -0.206  -0.648 -0.260  -0.577 -0.307  -0.503 -0.350  -0.429 -0.392  -0.356 -0.438  -0.285 -0.485  -0.214 -0.532  -0.133 -0.559  -0.052 -0.586  0.031 -0.608  0.114 -0.625  0.200 -0.625  0.285 -0.625  0.361 -0.594  0.426 -0.540  0.477 -0.471  0.522 -0.399  0.560 -0.323  0.599 -0.246  0.646 -0.175  0.693 -0.104  0.739 -0.032  0.781 0.042  0.824 0.117  0.871 0.187  0.926 0.253  0.981 0.318  1.035 0.384  1.088 0.451  1.143 0.516  1.203 0.577  1.262 0.639  1.314 0.707  1.371 0.769  1.442 0.816
1c#pri#pri0#150/w  -1.505 0.290  -1.595 0.290  -1.612 0.218  -1.582 0.137  -1.513 0.079  -1.440 0.027  -1.365 -0.021  -1.284 -0.061  -1.202 -0.096  -1.117 -0.124  -1.029 -0.143  -0.940 -0.153  -0.850 -0.155  -0.760 -0.155  -0.671 -0.155  -0.582 -0.145  -0.500 -0.112  -0.425 -0.063  -0.362 -0.000  -0.319 0.078  -0.279 0.148  -0.212 0.097  -0.155 0.028  -0.092 -0.036  -0.025 -0.095  0.049 -0.146  0.131 -0.182  0.217 -0.207  0.304 -0.228  0.394 -0.238  0.483 -0.245  0.573 -0.245  0.663 -0.245  0.753 -0.245  0.842 -0.239  0.931 -0.229  1.017 -0.204  1.101 -0.172  1.181 -0.132  1.250 -0.075  1.308 -0.007  1.343 0.074  1.317 0.156  1.271 0.234  1.218 0.306  1.158 0.373  1.094 0.435  1.017 0.482  0.937 0.523  0.866 0.576
1c#pri#pri0#150/a  0.944 0.667  0.887 0.806  0.784 0.921  0.653 1.002  0.518 1.077  0.373 1.129  0.223 1.166  0.070 1.180  -0.080 1.151  -0.211 1.069  -0.333 0.975  -0.444 0.869  -0.539 0.747  -0.631 0.622  -0.719 0.496  -0.798 0.363  -0.872 0.227  -0.920 0.081  -0.960 -0.068  -0.988 -0.220  -1.017 -0.372  -1.051 -0.522  -1.053 -0.677  -1.016 -0.826  -0.934 -0.955  -0.799 -1.025  -0.647 -1.012  -0.505 -0.952  -0.363 -0.891  -0.251 -0.787  -0.136 -0.684  -0.025 -0.577  0.076 -0.460  0.152 -0.326  0.236 -0.196  0.292 -0.054  0.328 0.097  0.359 0.247  0.427 0.379  0.484 0.265  0.536 0.121  0.591 -0.023  0.645 -0.167  0.714 -0.305  0.786 -0.442  0.862 -0.576  0.939 -0.710  1.024 -0.839  1.139 -0.941  1.250 -1.049
1c#pri#pri0#150/d  0.087 -0.573  0.272 -0.492  0.403 -0.333  0.460 -0.121  0.398 0.083  0.247 0.238  0.044 0.322  -0.174 0.339  -0.390 0.302  -0.585 0.201  -0.782 0.102  -0.970 -0.013  -1.123 -0.171  -1.241 -0.357  -1.314 -0.558  -1.323 -0.777  -1.206 -0.960  -1.005 -1.039  -0.793 -1.092  -0.575 -1.068  -0.362 -1.013  -0.175 -0.898  -0.025 -0.737  0.099 -0.556  0.195 -0.358  0.268 -0.151  0.333 0.060  0.364 0.278  0.393 0.496  0.419 0.715  0.419 0.935  0.419 1.155  0.404 1.375  0.376 1.593  0.336 1.791  0.263 1.598  0.235 1.380  0.232 1.160  0.232 0.940  0.236 0.719  0.252 0.500  0.269 0.280  0.304 0.063  0.349 -0.153  0.399 -0.367  0.478 -0.573  0.559 -0.777  0.646 -0.980  0.761 -1.167  0.896 -1.341
1c#pri#pri0#150/f  -0.398 0.300  -0.409 0.414  -0.340 0.539  -0.241 0.642  -0.147 0.749  -0.055 0.859  0.031 0.974  0.110 1.093  0.173 1.221  0.205 1.359  0.209 1.502  0.186 1.639  0.066 1.611  0.013 1.480  -0.012 1.339  -0.032 1.198  -0.050 1.056  -0.064 0.913  -0.072 0.771  -0.075 0.628  -0.075 0.485  -0.075 0.341  -0.075 0.198  -0.075 0.055  -0.075 -0.088  -0.075 -0.231  -0.075 -0.374  -0.075 -0.517  -0.075 -0.660  -0.075 -0.803  -0.075 -0.946  -0.075 -1.089  -0.056 -1.231  -0.041 -1.373  -0.026 -1.515  0.028 -1.645  0.145 -1.655  0.222 -1.537  0.262 -1.401  0.273 -1.259  0.268 -1.116  0.258 -0.973  0.240 -0.831  0.210 -0.692  0.166 -0.556  0.106 -0.426  0.051 -0.294  -0.023 -0.172  -0.097 -0.050  -0.179 0.067
1c#pri#pri0#150/h  -0.804 1.308  -0.875 1.275  -0.915 1.199  -0.934 1.115  -0.948 1.030  -0.951 0.944  -0.950 0.858  -0.941 0.772  -0.933 0.687  -0.914 0.603  -0.889 0.520  -0.863 0.438  -0.824 0.361  -0.786 0.284  -0.746 0.208  -0.704 0.132  -0.662 0.057  -0.612 -0.013  -0.560 -0.082  -0.504 -0.147  -0.443 -0.208  -0.382 -0.269  -0.321 -0.330  -0.260 -0.391  -0.199 -0.452  -0.137 -0.512  -0.070 -0.565  0.004 -0.609  0.084 -0.641  0.161 -0.627  0.225 -0.569  0.292 -0.515  0.336 -0.441  0.391 -0.376  0.455 -0.318  0.527 -0.271  0.601 -0.227  0.681 -0.196  0.766 -0.184  0.852 -0.184  0.938 -0.184  1.019 -0.215  1.100 -0.244  1.180 -0.274  1.252 -0.322  1.320 -0.375  1.381 -0.436  1.445 -0.492  1.519 -0.538  1.592 -0.583
1c#pri#pri0#150/j  0.040 0.501  0.099 0.409  0.151 0.305  0.199 0.199  0.240 0.090  0.280 -0.020  0.320 -0.129  0.355 -0.240  0.384 -0.353  0.408 -0.467  0.435 -0.580  0.468 -0.692  0.481 -0.808  0.482 -0.925  0.471 -1.040  0.433 -1.150  0.365 -1.244  0.278 -1.321  0.178 -1.380  0.066 -1.404  0.015 -1.330  -0.000 -1.214  -0.016 -1.098  -0.031 -0.983  -0.046 -0.867  -0.062 -0.752  -0.077 -0.636  -0.092 -0.521  -0.108 -0.405  -0.123 -0.290  -0.138 -0.174  -0.154 -0.058  -0.169 0.057  -0.184 0.173  -0.200 0.288  -0.215 0.404  -0.230 0.519  -0.246 0.635  -0.261 0.750  -0.276 0.866  -0.292 0.982  -0.307 1.097  -0.322 1.213  -0.338 1.328  -0.353 1.444  -0.368 1.559  -0.384 1.675  -0.399 1.790  -0.432 1.894  -0.326 1.904
1c#pri#pri0#150/n  -1.478 0.619  -1.424 0.560  -1.397 0.484  -1.348 0.420  -1.299 0.356  -1.248 0.293  -1.198 0.230  -1.147 0.167  -1.097 0.104  -1.047 0.041  -0.994 -0.020  -0.936 -0.077  -0.884 -0.139  -0.836 -0.203  -0.769 -0.248  -0.710 -0.303  -0.644 -0.345  -0.565 -0.358  -0.485 -0.353  -0.409 -0.325  -0.337 -0.289  -0.277 -0.237  -0.220 -0.180  -0.162 -0.123  -0.105 -0.066  -0.048 -0.008  0.015 0.042  0.081 0.087  0.154 0.123  0.231 0.146  0.309 0.166  0.388 0.182  0.469 0.182  0.549 0.182  0.630 0.177  0.709 0.161  0.785 0.135  0.860 0.105  0.932 0.069  1.005 0.033  1.077 -0.003  1.149 -0.039  1.220 -0.078  1.290 -0.118  1.360 -0.158  1.430 -0.198  1.500 -0.238  1.570 -0.278  1.641 -0.318  1.711 -0.358
1c#pri#pri0#150/o  -0.376 0.652  -0.505 0.682  -0.642 0.710  -0.784 0.713  -0.923 0.692  -1.034 0.611  -1.122 0.500  -1.192 0.377  -1.209 0.240  -1.209 0.098  -1.192 -0.040  -1.132 -0.167  -1.031 -0.267  -0.931 -0.368  -0.831 -0.468  -0.708 -0.535  -0.578 -0.593  -0.443 -0.632  -0.303 -0.659  -0.163 -0.681  -0.022 -0.692  0.119 -0.704  0.261 -0.707  0.403 -0.707  0.545 -0.707  0.686 -0.707  0.828 -0.703  0.969 -0.687  1.106 -0.660  1.233 -0.596  1.339 -0.504  1.377 -0.370  1.362 -0.231  1.302 -0.106  1.221 0.011  1.121 0.111  1.017 0.208  0.902 0.290  0.783 0.368  0.659 0.436  0.534 0.502  0.398 0.543  0.262 0.583  0.122 0.602  -0.019 0.616  -0.160 0.621  -0.302 0.621  -0.443 0.602  -0.581 0.573  -0.716 0.528
1c#pri#pri0#150/q  -0.431 0.755  -0.308 0.813  -0.191 0.882  -0.085 0.965  -0.132 1.077  -0.253 1.132  -0.386 1.160  -0.522 1.175  -0.657 1.183  -0.793 1.183  -0.925 1.154  -1.025 1.069  -0.991 0.943  -0.885 0.861  -0.756 0.818  -0.631 0.763  -0.507 0.708  -0.382 0.653  -0.271 0.577  -0.172 0.483  -0.092 0.374  -0.028 0.254  0.032 0.132  0.077 0.004  0.120 -0.125  0.149 -0.258  0.163 -0.394  0.190 -0.527  0.191 -0.663  0.208 -0.798  0.224 -0.934  0.242 -1.069  0.277 -1.200  0.345 -1.316  0.449 -1.399  0.583 -1.412  0.711 -1.376  0.792 -1.271  0.825 -1.140  0.825 -1.004  0.797 -0.872  0.746 -0.747  0.670 -0.635  0.578 -0.535  0.476 -0.445  0.374 -0.355  0.266 -0.272  0.151 -0.199  0.036 -0.127  -0.072 -0.045
1c#pri#pri0#150/r  -1.401 0.983  -1.291 0.975  -1.212 0.902  -1.152 0.808  -1.095 0.712  -1.049 0.610  -1.005 0.508  -0.953 0.409  -0.897 0.313  -0.845 0.214  -0.795 0.114  -0.745 0.015  -0.686 -0.080  -0.626 -0.175  -0.567 -0.269  -0.508 -0.364  -0.449 -0.459  -0.388 -0.552  -0.326 -0.645  -0.258 -0.733  -0.188 -0.820  -0.121 -0.910  -0.057 -1.001  0.032 -1.042  0.033 -0.931  0.033 -0.820  0.033 -0.708  0.033 -0.597  0.033 -0.485  0.033 -0.373  0.043 -0.263  0.062 -0.153  0.100 -0.048  0.151 0.050  0.218 0.139  0.305 0.210  0.395 0.272  0.503 0.303  0.610 0.331  0.721 0.347  0.832 0.360  0.943 0.360  1.055 0.360  1.166 0.360  1.278 0.360  1.388 0.348  1.496 0.321  1.604 0.292  1.707 0.248  1.809 0.204
1c#pri#pri0#150/u  -1.263 0.428  -1.345 0.428  -1.427 0.428  -1.470 0.389  -1.450 0.310  -1.417 0.235  -1.380 0.162  -1.309 0.120  -1.239 0.077  -1.165 0.040  -1.092 0.004  -1.016 -0.026  -0.937 -0.048  -0.858 -0.071  -0.777 -0.082  -0.695 -0.092  -0.614 -0.103  -0.532 -0.103  -0.449 -0.103  -0.367 -0.103  -0.285 -0.103  -0.203 -0.103  -0.122 -0.094  -0.041 -0.081  0.039 -0.062  0.117 -0.036  0.193 -0.006  0.258 0.043  0.324 0.092  0.390 0.142  0.451 0.196  0.510 0.253  0.588 0.279  0.663 0.310  0.744 0.309  0.802 0.250  0.839 0.177  0.879 0.106  0.924 0.037  0.970 -0.031  1.021 -0.095  1.074 -0.158  1.126 -0.221  1.180 -0.284  1.233 -0.346  1.287 -0.408  1.353 -0.455  1.425 -0.495  1.496 -0.535  1.568 -0.574
1c#pri#pri0#150/v  -1.210 0.745  -1.210 0.827  -1.210 0.909  -1.210 0.890  -1.180 0.815  -1.144 0.741  -1.113 0.665  -1.083 0.589  -1.038 0.520  -0.993 0.451  -0.947 0.383  -0.902 0.315  -0.856 0.246  -0.809 0.179  -0.757 0.116  -0.704 0.053  -0.651 -0.009  -0.584 -0.057  -0.517 -0.104  -0.450 -0.152  -0.386 -0.203  -0.323 -0.256  -0.260 -0.308  -0.192 -0.354  -0.121 -0.395  -0.049 -0.435  0.025 -0.469  0.104 -0.492  0.183 -0.514  0.263 -0.533  0.344 -0.546  0.425 -0.559  0.507 -0.559  0.589 -0.557  0.669 -0.541  0.749 -0.523  0.814 -0.474  0.880 -0.424  0.938 -0.366  0.996 -0.308  1.046 -0.243  1.096 -0.177  1.139 -0.108  1.181 -0.037  1.220 0.035  1.257 0.108  1.303 0.176  1.353 0.241  1.392 0.313  1.429 0.386
1c#pri#pri0#150/x  -1.197 0.711  -1.288 0.833  -1.401 0.946  -1.499 1.035  -1.423 0.907  -1.319 0.786  -1.216 0.664  -1.111 0.544  -1.001 0.429  -0.881 0.323  -0.762 0.217  -0.644 0.110  -0.525 0.004  -0.406 -0.103  -0.288 -0.210  -0.169 -0.317  -0.056 -0.429  0.057 -0.542  0.169 -0.655  0.282 -0.768  0.375 -0.897  0.460 -1.032  0.532 -0.911  0.603 -0.768  0.675 -0.625  0.746 -0.483  0.817 -0.340  0.889 -0.197  0.960 -0.054  1.031 0.088  1.103 0.231  1.174 0.374  1.246 0.516  1.303 0.651  1.147 0.624  1.008 0.547  0.873 0.463  0.737 0.378  0.605 0.289  0.472 0.201  0.347 0.102  0.222 0.002  0.098 -0.098  -0.027 -0.197  -0.151 -0.297  -0.275 -0.398  -0.398 -0.499  -0.518 -0.605  -0.630 -0.718  -0.743 -0.831
1c#pri#pri0#150/c  0.562 0.771  0.486 0.799  0.406 0.860  0.305 0.885  0.211 0.932  0.111 0.955  0.008 0.970  -0.097 0.970  -0.200 0.967  -0.303 0.950  -0.403 0.921  -0.499 0.881  -0.588 0.828  -0.670 0.765  -0.744 0.691  -0.803 0.607  -0.850 0.513  -0.891 0.418  -0.921 0.319  -0.921 0.215  -0.921 0.111  -0.921 0.007  -0.916 -0.097  -0.883 -0.196  -0.834 -0.285  -0.761 -0.358  -0.682 -0.427  -0.599 -0.489  -0.516 -0.552  -0.420 -0.591  -0.320 -0.621  -0.221 -0.651  -0.117 -0.654  -0.013 -0.654  0.092 -0.654  0.196 -0.654  0.300 -0.654  0.404 -0.654  0.508 -0.654  0.612 -0.649  0.716 -0.641  0.820 -0.634  0.924 -0.626  1.027 -0.611  1.130 -0.595  1.233 -0.580  1.336 -0.563  1.439 -0.546  1.542 -0.529  1.645 -0.512
1c#pri#pri0#150/e  -0.806 -0.664  -0.953 -0.653  -0.885 -0.524  -0.762 -0.427  -0.631 -0.340  -0.490 -0.268  -0.349 -0.198  -0.212 -0.121  -0.075 -0.042  0.046 0.058  0.169 0.157  0.300 0.244  0.427 0.337  0.550 0.436  0.621 0.577  0.623 0.734  0.592 0.888  0.475 0.985  0.339 1.066  0.197 1.133  0.046 1.167  -0.112 1.167  -0.267 1.141  -0.410 1.083  -0.546 1.001  -0.681 0.920  -0.768 0.791  -0.833 0.649  -0.880 0.499  -0.880 0.341  -0.849 0.191  -0.779 0.050  -0.697 -0.085  -0.613 -0.219  -0.506 -0.332  -0.387 -0.436  -0.264 -0.533  -0.123 -0.603  0.018 -0.674  0.167 -0.721  0.321 -0.754  0.475 -0.787  0.630 -0.820  0.784 -0.851  0.939 -0.882  1.093 -0.912  1.250 -0.928  1.407 -0.938  1.564 -0.948  1.722 -0.958
1c#pri#pri0#150/f  0.666 0.782  0.691 0.925  0.736 1.058  0.736 1.203  0.685 1.338  0.601 1.455  0.475 1.525  0.340 1.576  0.197 1.580  0.089 1.489  0.009 1.368  -0.059 1.240  -0.117 1.107  -0.159 0.970  -0.171 0.825  -0.183 0.680  -0.191 0.536  -0.191 0.390  -0.187 0.246  -0.177 0.101  -0.154 -0.042  -0.124 -0.184  -0.085 -0.324  -0.044 -0.463  0.005 -0.599  0.052 -0.737  0.094 -0.875  0.149 -1.010  0.199 -1.146  0.240 -1.285  0.264 -1.426  0.211 -1.429  0.117 -1.318  0.023 -1.208  -0.071 -1.097  -0.165 -0.987  -0.259 -0.876  -0.353 -0.766  -0.447 -0.655  -0.541 -0.545  -0.635 -0.434  -0.729 -0.324  -0.699 -0.319  -0.554 -0.326  -0.409 -0.337  -0.264 -0.337  -0.119 -0.337  0.026 -0.337  0.171 -0.337  0.316 -0.337
1c#pri#pri0#150/g  0.103 0.479  0.201 0.577  0.248 0.707  0.248 0.848  0.190 0.971  0.073 1.049  -0.058 1.101  -0.198 1.106  -0.340 1.106  -0.478 1.077  -0.611 1.029  -0.738 0.967  -0.848 0.878  -0.933 0.768  -0.956 0.633  -0.895 0.512  -0.767 0.459  -0.629 0.431  -0.487 0.431  -0.346 0.431  -0.206 0.447  -0.067 0.462  0.057 0.528  0.151 0.630  0.243 0.624  0.282 0.489  0.323 0.353  0.383 0.226  0.424 0.091  0.465 -0.044  0.511 -0.178  0.570 -0.306  0.625 -0.436  0.681 -0.566  0.736 -0.696  0.780 -0.830  0.811 -0.968  0.802 -1.109  0.726 -1.216  0.596 -1.270  0.455 -1.274  0.314 -1.274  0.173 -1.274  0.034 -1.247  -0.105 -1.219  -0.243 -1.189  -0.380 -1.157  -0.515 -1.117  -0.642 -1.054  -0.765 -0.984
1c#pri#pri0#150/h  -0.641 1.398  -0.728 1.436  -0.830 1.436  -0.833 1.337  -0.833 1.235  -0.833 1.133  -0.826 1.031  -0.816 0.929  -0.801 0.828  -0.785 0.727  -0.762 0.628  -0.732 0.530  -0.702 0.433  -0.677 0.334  -0.652 0.235  -0.623 0.137  -0.590 0.040  -0.558 -0.057  -0.523 -0.153  -0.488 -0.248  -0.438 -0.338  -0.390 -0.428  -0.354 -0.523  -0.310 -0.615  -0.254 -0.700  -0.179 -0.764  -0.082 -0.747  -0.007 -0.679  0.056 -0.599  0.116 -0.516  0.172 -0.431  0.226 -0.344  0.284 -0.260  0.346 -0.179  0.418 -0.107  0.498 -0.044  0.580 0.018  0.680 0.010  0.762 -0.044  0.827 -0.122  0.887 -0.205  0.938 -0.294  0.990 -0.382  1.044 -0.468  1.095 -0.557  1.145 -0.646  1.203 -0.729  1.264 -0.811  1.326 -0.893  1.387 -0.975
1c#pri#pri0#150/i  -0.251 -0.276  -0.251 -0.370  -0.251 -0.465  -0.251 -0.560  -0.235 -0.653  -0.217 -0.746  -0.198 -0.839  -0.175 -0.931  -0.149 -1.022  -0.119 -1.112  -0.076 -1.197  -0.033 -1.281  0.016 -1.362  0.051 -1.393  0.053 -1.298  0.055 -1.204  0.057 -1.109  0.059 -1.014  0.061 -0.919  0.063 -0.824  0.065 -0.730  0.067 -0.635  0.069 -0.540  0.071 -0.445  0.073 -0.350  0.075 -0.256  0.077 -0.161  0.079 -0.066  0.080 0.029  0.082 0.124  0.084 0.218  0.086 0.313  0.088 0.408  0.090 0.503  0.092 0.598  0.094 0.692  0.096 0.787  0.098 0.882  0.100 0.977  0.102 1.072  0.104 1.166  0.106 1.261  0.108 1.356  0.110 1.451  0.080 1.533  0.022 1.592  -0.054 1.637  -0.104 1.717  -0.150 1.762  -0.100 1.682
1c#pri#pri0#150/k  -0.879 2.021  -0.824 1.846  -0.798 1.663  -0.762 1.482  -0.746 1.298  -0.733 1.114  -0.720 0.929  -0.708 0.745  -0.696 0.561  -0.673 0.378  -0.634 0.197  -0.603 0.015  -0.576 -0.168  -0.549 -0.350  -0.520 -0.533  -0.475 -0.712  -0.432 -0.892  -0.390 -1.072  -0.311 -1.149  -0.177 -1.022  -0.043 -0.896  0.092 -0.769  0.226 -0.642  0.361 -0.515  0.495 -0.388  0.629 -0.262  0.764 -0.135  0.898 -0.008  1.032 0.119  1.167 0.246  1.301 0.372  1.193 0.403  1.009 0.403  0.824 0.396  0.643 0.365  0.466 0.312  0.296 0.238  0.132 0.153  -0.030 0.066  -0.193 -0.020  -0.337 -0.133  -0.447 -0.282  -0.385 -0.441  -0.224 -0.531  -0.053 -0.602  0.122 -0.659  0.299 -0.712  0.478 -0.761  0.656 -0.809  0.834 -0.858
1c#pri#pri0#150/m  -1.464 0.351  -1.464 0.258  -1.432 0.171  -1.391 0.087  -1.345 0.007  -1.295 -0.071  -1.241 -0.147  -1.183 -0.220  -1.121 -0.289  -1.050 -0.349  -0.970 -0.389  -0.891 -0.354  -0.836 -0.279  -0.781 -0.204  -0.734 -0.124  -0.686 -0.044  -0.639 0.036  -0.602 0.121  -0.537 0.188  -0.485 0.260  -0.400 0.297  -0.308 0.296  -0.226 0.254  -0.151 0.198  -0.086 0.132  -0.029 0.059  0.036 -0.008  0.094 -0.081  0.161 -0.145  0.237 -0.197  0.323 -0.234  0.415 -0.238  0.506 -0.225  0.590 -0.185  0.662 -0.127  0.729 -0.062  0.790 0.008  0.852 0.078  0.919 0.142  0.991 0.200  1.067 0.255  1.153 0.284  1.239 0.252  1.319 0.207  1.384 0.140  1.442 0.067  1.508 0.001  1.574 -0.064  1.642 -0.128  1.713 -0.187
1c#pri#pri0#150/p  -0.369 1.409  -0.565 1.484  -0.595 1.283  -0.586 1.066  -0.557 0.851  -0.508 0.639  -0.474 0.424  -0.445 0.209  -0.403 -0.004  -0.357 -0.217  -0.301 -0.427  -0.251 -0.638  -0.208 -0.851  -0.164 -1.064  -0.118 -1.277  -0.082 -1.491  -0.045 -1.705  -0.028 -1.778  -0.056 -1.562  -0.083 -1.347  -0.111 -1.131  -0.139 -0.915  -0.167 -0.700  -0.195 -0.484  -0.223 -0.269  -0.250 -0.053  -0.278 0.163  -0.306 0.378  -0.344 0.589  -0.369 0.802  -0.260 0.978  -0.055 1.033  0.162 1.026  0.377 0.993  0.582 0.927  0.768 0.815  0.958 0.712  1.120 0.567  1.241 0.388  1.284 0.177  1.188 -0.007  0.994 -0.103  0.782 -0.147  0.565 -0.167  0.348 -0.170  0.132 -0.153  -0.083 -0.118  -0.299 -0.097  -0.509 -0.042  -0.720 0.006
1c#pri#pri0#150/t  -0.323 1.834  -0.292 1.655  -0.218 1.485  -0.169 1.306  -0.127 1.125  -0.088 0.943  -0.057 0.760  -0.023 0.577  0.022 0.397  0.071 0.218  0.129 0.041  0.185 -0.136  0.234 -0.315  0.301 -0.488  0.384 -0.654  0.468 -0.820  0.565 -0.977  0.686 -1.118  0.821 -1.244  0.998 -1.297  1.180 -1.283  1.266 -1.180  1.126 -1.058  0.986 -0.936  0.846 -0.814  0.706 -0.691  0.566 -0.569  0.426 -0.447  0.286 -0.325  0.146 -0.203  0.006 -0.080  -0.134 0.042  -0.274 0.164  -0.414 0.286  -0.554 0.409  -0.694 0.531  -0.858 0.584  -1.036 0.535  -1.195 0.440  -1.326 0.308  -1.291 0.147  -1.114 0.094  -0.928 0.094  -0.742 0.094  -0.557 0.094  -0.371 0.094  -0.185 0.094  0.001 0.094  0.187 0.094  0.373 0.094
