2#tos#f1#f1018060/+  -1.200 -0.179  -1.361 -0.179  -1.521 -0.179  -1.655 -0.206  -1.543 -0.255  -1.396 -0.223  -1.282 -0.109  -1.124 -0.103  -0.964 -0.100  -0.811 -0.049  -0.654 -0.027  -0.494 -0.027  -0.333 -0.027  -0.175 -0.014  -0.022 0.037  0.137 0.048  0.297 0.048  0.458 0.048  0.606 0.090  0.739 0.179  0.894 0.200  0.972 0.251  0.901 0.394  0.829 0.538  0.757 0.682  0.685 0.825  0.613 0.969  0.539 1.109  0.379 1.109  0.218 1.109  0.058 1.109  0.013 0.994  0.013 0.833  0.013 0.673  0.050 0.523  0.139 0.390  0.164 0.237  0.164 0.076  0.224 -0.071  0.295 -0.214  0.316 -0.370  0.316 -0.531  0.316 -0.691  0.316 -0.852  0.383 -0.997  0.426 -1.151  0.465 -1.307  0.603 -1.384  0.619 -1.534  0.619 -1.695
2#tos#f1#f1018060/X  -1.495 1.001  -1.583 0.924  -1.447 0.868  -1.289 0.846  -1.157 0.747  -1.000 0.700  -0.857 0.620  -0.719 0.528  -0.565 0.470  -0.417 0.396  -0.275 0.313  -0.139 0.219  -0.022 0.102  0.110 0.004  0.248 -0.087  0.404 -0.137  0.544 -0.220  0.654 -0.338  0.731 -0.484  0.823 -0.621  0.934 -0.722  1.004 -0.854  1.133 -0.943  1.060 -0.888  1.040 -0.724  1.020 -0.560  1.001 -0.395  0.981 -0.231  0.961 -0.067  0.941 0.097  0.921 0.261  0.901 0.425  0.833 0.559  0.668 0.559  0.502 0.559  0.337 0.559  0.190 0.515  0.044 0.456  -0.062 0.336  -0.188 0.231  -0.305 0.114  -0.391 -0.026  -0.453 -0.166  -0.568 -0.283  -0.627 -0.437  -0.725 -0.570  -0.822 -0.701  -0.896 -0.849  -0.976 -0.987  -1.009 -1.119
2#tos#f1#f1018060/Y  -1.195 1.133  -1.336 1.133  -1.294 1.133  -1.157 1.104  -1.019 1.085  -0.940 0.977  -0.867 0.856  -0.737 0.806  -0.633 0.714  -0.509 0.647  -0.394 0.569  -0.286 0.479  -0.166 0.404  -0.079 0.308  -0.012 0.188  0.103 0.113  0.203 0.034  0.233 -0.102  0.293 -0.084  0.387 0.022  0.480 0.128  0.573 0.234  0.667 0.339  0.760 0.445  0.853 0.551  0.947 0.657  0.865 0.562  0.756 0.529  0.651 0.444  0.571 0.350  0.473 0.255  0.386 0.144  0.287 0.044  0.233 -0.075  0.181 -0.202  0.064 -0.281  -0.027 -0.385  -0.053 -0.520  -0.148 -0.566  -0.148 -0.707  -0.148 -0.848  -0.080 -0.934  0.019 -1.033  0.043 -1.165  0.118 -1.275  0.146 -1.406  0.185 -1.538  0.189 -1.675  0.281 -1.725  0.281 -1.866
2#tos#f1#f1018060/a  0.084 -0.116  0.134 -0.133  0.086 0.082  -0.076 0.185  -0.290 0.235  -0.524 0.235  -0.749 0.195  -0.959 0.090  -1.048 -0.123  -1.070 -0.352  -0.996 -0.563  -0.865 -0.718  -0.677 -0.840  -0.455 -0.910  -0.252 -1.019  -0.017 -1.019  0.217 -1.019  0.443 -0.969  0.615 -0.869  0.578 -0.670  0.459 -0.468  0.340 -0.266  0.222 -0.064  0.103 0.138  -0.016 0.341  -0.134 0.543  -0.253 0.745  -0.372 0.947  -0.490 1.149  -0.609 1.351  -0.736 1.539  -0.819 1.389  -0.597 1.338  -0.367 1.301  -0.167 1.188  0.020 1.051  0.134 0.884  0.263 0.743  0.334 0.545  0.385 0.319  0.435 0.092  0.435 -0.142  0.435 -0.376  0.435 -0.611  0.535 -0.783  0.701 -0.919  0.936 -0.919  1.170 -0.919  1.404 -0.919  1.639 -0.919
2#tos#f1#f1018060/e  -0.502 0.414  -0.668 0.372  -0.781 0.338  -0.609 0.291  -0.426 0.291  -0.242 0.291  -0.059 0.291  0.124 0.291  0.307 0.291  0.490 0.291  0.674 0.291  0.857 0.291  1.040 0.291  1.161 0.353  1.039 0.414  0.891 0.500  0.749 0.599  0.566 0.599  0.397 0.661  0.214 0.661  0.031 0.661  -0.153 0.661  -0.336 0.661  -0.519 0.661  -0.702 0.661  -0.863 0.608  -1.017 0.537  -1.176 0.479  -1.241 0.323  -1.241 0.140  -1.241 -0.044  -1.172 -0.209  -1.118 -0.370  -1.000 -0.504  -0.860 -0.620  -0.704 -0.717  -0.546 -0.809  -0.385 -0.879  -0.201 -0.879  -0.018 -0.879  0.165 -0.879  0.348 -0.879  0.531 -0.879  0.714 -0.879  0.889 -0.826  1.025 -0.707  1.203 -0.694  1.368 -0.661  1.470 -0.510  1.530 -0.386
2#tos#f1#f1018060/f  -0.860 -0.037  -0.975 -0.098  -1.116 -0.182  -1.119 -0.209  -0.955 -0.231  -0.789 -0.231  -0.622 -0.231  -0.455 -0.231  -0.288 -0.231  -0.121 -0.231  0.046 -0.231  0.213 -0.231  0.380 -0.231  0.547 -0.231  0.713 -0.231  0.760 -0.090  0.786 0.075  0.813 0.240  0.839 0.405  0.865 0.569  0.892 0.734  0.918 0.899  0.854 1.018  0.705 1.092  0.546 1.124  0.396 1.198  0.235 1.221  0.089 1.276  -0.071 1.318  -0.182 1.234  -0.231 1.078  -0.231 0.912  -0.274 0.752  -0.279 0.586  -0.279 0.419  -0.279 0.252  -0.279 0.085  -0.250 -0.077  -0.231 -0.241  -0.205 -0.404  -0.182 -0.567  -0.134 -0.726  -0.134 -0.893  -0.068 -1.008  -0.037 -1.170  -0.037 -1.337  -0.037 -1.504  -0.037 -1.671  0.050 -1.809  0.108 -1.925
2#tos#f1#f1018060/h  -0.610 1.898  -0.639 1.830  -0.610 1.719  -0.584 1.598  -0.538 1.487  -0.465 1.394  -0.465 1.270  -0.465 1.147  -0.465 1.023  -0.465 0.900  -0.465 0.776  -0.417 0.667  -0.369 0.558  -0.369 0.434  -0.369 0.311  -0.369 0.187  -0.369 0.064  -0.330 -0.054  -0.320 -0.176  -0.316 -0.299  -0.296 -0.421  -0.276 -0.543  -0.227 -0.655  -0.224 -0.778  -0.224 -0.902  -0.176 -1.014  -0.176 -1.138  -0.176 -1.026  -0.176 -0.902  -0.127 -0.798  -0.127 -0.675  -0.117 -0.557  -0.014 -0.488  0.017 -0.382  0.077 -0.311  0.166 -0.225  0.283 -0.186  0.378 -0.133  0.469 -0.081  0.593 -0.081  0.714 -0.092  0.807 -0.164  0.838 -0.281  0.864 -0.400  0.890 -0.518  0.983 -0.584  1.004 -0.702  1.045 -0.805  1.079 -0.895  1.128 -0.999
2#tos#f1#f1018060/i  -0.716 1.394  -0.633 1.392  -0.574 1.333  -0.498 1.314  -0.432 1.271  -0.373 1.212  -0.314 1.153  -0.255 1.094  -0.204 1.028  -0.158 0.959  -0.111 0.889  -0.058 0.832  0.025 0.832  0.109 0.832  0.192 0.832  0.276 0.832  0.324 0.801  0.310 0.719  0.296 0.636  0.282 0.554  0.269 0.472  0.255 0.389  0.241 0.307  0.227 0.224  0.214 0.142  0.200 0.059  0.186 -0.023  0.172 -0.106  0.159 -0.188  0.145 -0.271  0.131 -0.353  0.117 -0.435  0.104 -0.518  0.090 -0.600  0.088 -0.684  0.088 -0.767  0.020 -0.809  -0.055 -0.846  -0.073 -0.919  -0.073 -1.002  -0.073 -1.086  -0.073 -1.170  -0.073 -1.253  -0.073 -1.337  0.007 -1.340  0.007 -1.424  0.007 -1.507  0.018 -1.584  0.093 -1.621  0.168 -1.659
2#tos#f1#f1018060/j  0.123 1.055  0.237 1.032  0.274 0.905  0.290 0.774  0.338 0.650  0.368 0.519  0.419 0.392  0.427 0.257  0.464 0.126  0.464 -0.010  0.464 -0.147  0.464 -0.284  0.464 -0.420  0.456 -0.555  0.395 -0.677  0.364 -0.810  0.304 -0.926  0.237 -1.034  0.210 -1.144  0.082 -1.156  0.049 -1.288  -0.067 -1.343  -0.174 -1.372  -0.273 -1.410  -0.371 -1.372  -0.427 -1.275  -0.446 -1.141  -0.432 -1.006  -0.413 -0.871  -0.394 -0.735  -0.375 -0.600  -0.357 -0.465  -0.338 -0.329  -0.319 -0.194  -0.300 -0.059  -0.281 0.077  -0.263 0.212  -0.244 0.347  -0.225 0.483  -0.206 0.618  -0.188 0.753  -0.169 0.888  -0.150 1.024  -0.131 1.159  -0.112 1.294  -0.094 1.430  -0.075 1.565  -0.106 1.662  -0.051 1.700  0.085 1.700
2#tos#f1#f1018060/k  -0.923 2.024  -0.781 1.954  -0.662 1.816  -0.548 1.700  -0.548 1.515  -0.548 1.330  -0.515 1.153  -0.441 0.986  -0.441 0.801  -0.441 0.616  -0.441 0.432  -0.441 0.247  -0.441 0.062  -0.441 -0.123  -0.435 -0.307  -0.390 -0.486  -0.334 -0.662  -0.334 -0.847  -0.334 -1.031  -0.317 -1.209  -0.208 -1.136  -0.106 -0.981  -0.005 -0.826  0.096 -0.672  0.198 -0.517  0.299 -0.363  0.400 -0.208  0.501 -0.054  0.603 0.101  0.704 0.255  0.670 0.362  0.485 0.362  0.301 0.362  0.125 0.323  -0.034 0.232  -0.196 0.177  -0.226 0.005  -0.334 -0.113  -0.263 -0.228  -0.173 -0.363  -0.017 -0.414  0.117 -0.508  0.233 -0.603  0.407 -0.652  0.578 -0.710  0.754 -0.745  0.935 -0.764  1.119 -0.764  1.304 -0.764  1.489 -0.764
2#tos#f1#f1018060/m  -1.085 1.269  -1.258 1.266  -1.112 1.165  -1.067 1.008  -0.968 0.858  -0.911 0.688  -0.854 0.518  -0.851 0.339  -0.787 0.178  -0.734 0.015  -0.734 -0.165  -0.734 -0.344  -0.675 -0.510  -0.675 -0.690  -0.675 -0.869  -0.616 -1.025  -0.558 -1.001  -0.558 -0.822  -0.558 -0.642  -0.558 -0.463  -0.513 -0.296  -0.420 -0.142  -0.382 0.027  -0.382 0.207  -0.265 0.314  -0.245 0.489  -0.113 0.566  0.066 0.566  0.234 0.536  0.321 0.392  0.379 0.227  0.379 0.047  0.466 -0.107  0.496 -0.274  0.496 -0.454  0.496 -0.633  0.528 -0.781  0.622 -0.655  0.672 -0.497  0.774 -0.351  0.862 -0.198  0.905 -0.023  0.906 0.156  1.021 0.253  1.197 0.273  1.358 0.194  1.433 0.061  1.462 -0.107  1.605 -0.195  1.609 -0.371
2#tos#f1#f1018060/n  -0.797 1.309  -0.797 1.406  -0.797 1.255  -0.797 1.105  -0.797 0.955  -0.722 0.828  -0.674 0.692  -0.674 0.542  -0.646 0.395  -0.612 0.249  -0.612 0.099  -0.612 -0.051  -0.612 -0.202  -0.612 -0.352  -0.612 -0.502  -0.612 -0.652  -0.551 -0.788  -0.551 -0.938  -0.498 -1.075  -0.481 -1.215  -0.428 -1.119  -0.428 -0.969  -0.415 -0.821  -0.366 -0.683  -0.366 -0.533  -0.336 -0.387  -0.305 -0.242  -0.297 -0.094  -0.220 0.035  -0.142 0.163  -0.045 0.276  0.018 0.400  0.124 0.507  0.248 0.570  0.398 0.570  0.548 0.570  0.699 0.570  0.804 0.526  0.876 0.447  0.989 0.410  0.989 0.260  1.010 0.118  1.112 0.011  1.142 -0.135  1.223 -0.230  1.235 -0.368  1.235 -0.519  1.235 -0.669  1.235 -0.819  1.297 -0.908
2#tos#f1#f1018060/o  -0.479 0.783  -0.611 0.783  -0.742 0.783  -0.818 0.727  -0.874 0.609  -0.885 0.480  -0.930 0.359  -0.930 0.228  -0.930 0.096  -0.930 -0.035  -0.930 -0.167  -0.930 -0.298  -0.910 -0.427  -0.878 -0.555  -0.765 -0.607  -0.705 -0.695  -0.633 -0.788  -0.523 -0.859  -0.409 -0.923  -0.316 -1.016  -0.187 -1.022  -0.055 -1.022  0.076 -1.022  0.201 -0.983  0.317 -0.923  0.427 -0.853  0.554 -0.839  0.659 -0.760  0.762 -0.680  0.804 -0.555  0.880 -0.452  0.930 -0.341  0.930 -0.210  0.930 -0.078  0.930 0.053  0.930 0.184  0.930 0.316  0.930 0.447  0.930 0.579  0.837 0.637  0.709 0.669  0.665 0.790  0.572 0.864  0.448 0.906  0.323 0.948  0.192 0.952  0.061 0.952  -0.071 0.952  -0.179 1.008  -0.310 1.008
2#tos#f1#f1018060/p  -0.291 1.563  -0.487 1.563  -0.397 1.449  -0.397 1.253  -0.397 1.058  -0.321 0.880  -0.291 0.691  -0.291 0.496  -0.291 0.300  -0.291 0.104  -0.291 -0.092  -0.282 -0.286  -0.243 -0.478  -0.238 -0.674  -0.238 -0.869  -0.238 -1.065  -0.238 -1.261  -0.238 -1.456  -0.185 -1.640  -0.150 -1.830  -0.131 -1.742  -0.127 -1.546  -0.124 -1.350  -0.120 -1.155  -0.116 -0.959  -0.112 -0.763  -0.108 -0.568  -0.104 -0.372  -0.100 -0.176  -0.096 0.019  -0.092 0.215  -0.088 0.411  -0.084 0.606  -0.081 0.802  -0.079 0.998  0.028 1.086  0.224 1.086  0.420 1.086  0.545 0.992  0.714 0.927  0.769 0.745  0.822 0.562  0.822 0.367  0.769 0.183  0.731 0.026  0.576 -0.041  0.449 -0.186  0.345 -0.278  0.169 -0.336  -0.026 -0.345
2#tos#f1#f1018060/s  0.675 0.985  0.669 0.876  0.580 0.964  0.464 0.985  0.356 1.043  0.249 1.101  0.124 1.101  -0.001 1.101  -0.121 1.079  -0.238 1.043  -0.360 1.026  -0.479 0.986  -0.580 0.927  -0.705 0.927  -0.765 0.823  -0.829 0.723  -0.887 0.656  -0.852 0.545  -0.788 0.440  -0.692 0.367  -0.574 0.337  -0.463 0.281  -0.351 0.225  -0.240 0.168  -0.136 0.099  -0.022 0.059  0.101 0.055  0.189 -0.033  0.300 -0.085  0.410 -0.138  0.499 -0.227  0.595 -0.282  0.664 -0.386  0.675 -0.508  0.726 -0.621  0.733 -0.744  0.732 -0.869  0.693 -0.988  0.606 -1.044  0.487 -1.083  0.371 -1.113  0.282 -1.201  0.162 -1.213  0.037 -1.213  -0.088 -1.213  -0.213 -1.213  -0.338 -1.213  -0.463 -1.213  -0.540 -1.165  -0.655 -1.156
2#tos#f1#f1018060/u  -0.720 1.594  -0.842 1.584  -0.842 1.452  -0.842 1.320  -0.842 1.188  -0.842 1.056  -0.842 0.924  -0.842 0.791  -0.842 0.659  -0.842 0.527  -0.842 0.395  -0.842 0.263  -0.842 0.131  -0.842 -0.001  -0.837 -0.133  -0.795 -0.258  -0.765 -0.383  -0.685 -0.488  -0.606 -0.594  -0.522 -0.695  -0.451 -0.801  -0.330 -0.849  -0.198 -0.849  -0.066 -0.849  0.003 -0.747  0.117 -0.692  0.231 -0.632  0.287 -0.515  0.349 -0.407  0.441 -0.332  0.441 -0.199  0.441 -0.067  0.513 0.041  0.592 0.147  0.680 0.245  0.685 0.375  0.698 0.495  0.746 0.411  0.746 0.279  0.746 0.147  0.746 0.015  0.747 -0.117  0.873 -0.158  0.930 -0.250  0.930 -0.382  0.930 -0.514  0.930 -0.646  0.981 -0.727  1.029 -0.843  1.113 -0.910
2#tos#f1#f1018060/v  -0.801 1.411  -0.922 1.411  -0.937 1.411  -0.927 1.300  -0.894 1.185  -0.856 1.070  -0.817 0.955  -0.752 0.858  -0.693 0.753  -0.649 0.640  -0.613 0.526  -0.613 0.405  -0.587 0.290  -0.550 0.178  -0.550 0.057  -0.527 -0.052  -0.426 -0.119  -0.342 -0.200  -0.298 -0.311  -0.288 -0.429  -0.221 -0.529  -0.158 -0.632  -0.104 -0.740  -0.050 -0.848  0.034 -0.935  0.080 -1.037  0.166 -1.089  0.206 -1.201  0.232 -1.295  0.338 -1.275  0.376 -1.160  0.394 -1.042  0.394 -0.921  0.407 -0.802  0.437 -0.685  0.483 -0.577  0.520 -0.472  0.520 -0.351  0.561 -0.247  0.646 -0.161  0.646 -0.040  0.663 0.078  0.701 0.193  0.752 0.302  0.772 0.418  0.772 0.539  0.819 0.640  0.835 0.755  0.857 0.867  0.961 0.908
2#tos#f1#f1018060/x  -1.098 1.357  -1.274 1.357  -1.331 1.240  -1.207 1.116  -1.084 0.992  -0.960 0.868  -0.855 0.729  -0.721 0.636  -0.557 0.582  -0.433 0.458  -0.299 0.369  -0.194 0.229  -0.060 0.120  0.086 0.023  0.239 -0.061  0.360 -0.149  0.360 -0.324  0.452 -0.451  0.535 -0.544  0.666 -0.641  0.768 -0.774  0.799 -0.918  0.827 -1.003  0.833 -0.828  0.839 -0.652  0.845 -0.477  0.851 -0.302  0.857 -0.127  0.862 0.048  0.868 0.223  0.874 0.398  0.880 0.573  0.852 0.715  0.676 0.715  0.533 0.627  0.383 0.536  0.295 0.406  0.236 0.242  0.112 0.118  -0.007 -0.010  -0.104 -0.155  -0.183 -0.312  -0.289 -0.447  -0.423 -0.559  -0.558 -0.671  -0.642 -0.811  -0.749 -0.948  -0.839 -1.098  -0.982 -1.151  -1.040 -1.268
2#tos#f1#f1018060/y  -0.281 1.247  -0.386 1.214  -0.498 1.208  -0.583 1.141  -0.577 1.051  -0.516 0.968  -0.439 0.933  -0.335 0.909  -0.249 0.838  -0.159 0.772  -0.077 0.694  0.009 0.628  0.082 0.547  0.165 0.474  0.205 0.389  0.309 0.434  0.413 0.480  0.516 0.525  0.620 0.571  0.724 0.616  0.811 0.658  0.741 0.615  0.663 0.579  0.558 0.547  0.489 0.490  0.395 0.427  0.387 0.318  0.387 0.204  0.302 0.144  0.230 0.075  0.193 -0.027  0.152 -0.127  0.152 -0.240  0.075 -0.322  0.009 -0.412  -0.041 -0.513  -0.057 -0.623  -0.107 -0.724  -0.158 -0.825  -0.207 -0.927  -0.249 -1.032  -0.288 -1.139  -0.315 -1.248  -0.386 -1.334  -0.399 -1.442  -0.407 -1.551  -0.438 -1.652  -0.438 -1.765  -0.482 -1.857  -0.516 -1.936
