1d#app#app13#app1324/.  0.297 -1.787  0.297 -1.704  0.297 -1.622  0.297 -1.540  0.297 -1.458  0.297 -1.375  0.297 -1.293  0.297 -1.211  0.297 -1.128  0.297 -1.046  0.297 -0.964  0.297 -0.882  0.297 -0.799  0.297 -0.717  0.297 -0.635  0.297 -0.553  0.297 -0.470  0.297 -0.388  0.297 -0.306  0.245 -0.245  0.187 -0.187  0.129 -0.129  0.071 -0.071  0.012 -0.012  -0.046 0.046  -0.104 0.104  -0.162 0.162  -0.220 0.220  -0.278 0.279  -0.337 0.337  -0.395 0.395  -0.447 0.455  -0.447 0.538  -0.447 0.620  -0.447 0.702  -0.447 0.785  -0.447 0.867  -0.447 0.949  -0.447 1.031  -0.447 1.114  -0.443 1.192  -0.361 1.192  -0.278 1.192  -0.196 1.192  -0.114 1.192  -0.032 1.192  0.051 1.192  0.133 1.192  0.215 1.192  0.297 1.192
2#uqb#pe/.  -0.240 0.490  -0.304 0.620  -0.606 0.558  -0.898 0.461  -1.194 0.376  -1.442 0.213  -1.215 0.038  -0.918 -0.043  -0.621 -0.124  -0.316 -0.150  -0.009 -0.135  0.299 -0.120  0.606 -0.104  0.914 -0.089  1.214 -0.056  1.460 0.129  1.601 0.401  1.492 0.667  1.244 0.846  0.940 0.819  0.642 0.741  0.344 0.662  0.046 0.584  -0.252 0.506  -0.510 0.345  -0.759 0.164  -1.008 -0.017  -1.236 -0.222  -1.130 -0.505  -0.894 -0.685  -0.623 -0.831  -0.352 -0.977  -0.077 -1.034  0.203 -0.906  0.483 -0.779  0.760 -0.645  1.001 -0.453  1.241 -0.260  1.460 -0.063  1.230 0.068  0.929 0.133  0.628 0.197  0.327 0.262  0.039 0.185  -0.245 0.067  -0.530 -0.052  -0.812 -0.156  -0.913 -0.326  -0.905 -0.293  -1.094 -0.506
2#uqb#pe/.  0.187 0.263  0.228 0.487  0.039 0.408  -0.078 0.155  0.118 0.144  0.364 0.279  0.611 0.413  0.857 0.548  1.072 0.665  0.833 0.683  0.556 0.644  0.281 0.589  0.015 0.500  -0.251 0.411  -0.517 0.323  -0.738 0.181  -0.908 -0.037  -1.107 -0.235  -1.035 -0.458  -0.810 -0.626  -0.560 -0.733  -0.283 -0.780  -0.006 -0.771  0.270 -0.722  0.546 -0.673  0.823 -0.624  1.099 -0.576  1.365 -0.506  1.513 -0.272  1.638 -0.021  1.619 0.230  1.375 0.350  1.113 0.451  0.851 0.552  0.589 0.653  0.332 0.645  0.082 0.518  -0.160 0.376  -0.402 0.233  -0.644 0.091  -0.885 -0.051  -1.127 -0.193  -1.369 -0.336  -1.556 -0.445  -1.582 -0.699  -1.315 -0.681  -1.038 -0.635  -0.827 -0.470  -0.658 -0.246  -0.520 -0.003
2#uqb#pe/.  0.398 0.921  0.073 0.709  -0.312 0.632  -0.570 0.456  -0.549 0.186  -0.156 0.186  -0.040 0.250  -0.398 0.125  -0.479 0.115  -0.194 0.368  -0.143 0.470  -0.369 0.155  -0.647 -0.123  -0.574 -0.495  -0.312 -0.733  -0.013 -0.479  0.294 -0.233  0.601 0.012  0.899 0.267  1.217 0.491  1.238 0.870  0.918 0.821  0.562 0.655  0.206 0.488  -0.151 0.322  -0.474 0.122  -0.632 -0.237  -0.781 -0.601  -0.943 -0.959  -1.106 -1.316  -1.269 -1.674  -0.929 -1.633  -0.590 -1.460  -0.288 -1.208  0.014 -0.956  0.316 -0.705  0.609 -0.443  0.870 -0.152  1.081 0.180  1.292 0.511  1.503 0.843  1.253 0.915  0.861 0.887  0.469 0.859  0.077 0.831  -0.211 0.648  -0.398 0.302  -0.586 -0.043  -0.775 -0.388  -0.862 -0.759
2#uqb#pe/.  -0.561 1.166  -0.580 0.781  -0.619 0.400  -0.403 0.106  -0.114 -0.155  0.232 -0.129  0.591 0.025  0.921 0.221  0.974 0.535  0.818 0.893  0.491 1.011  0.104 1.054  -0.284 1.097  -0.478 0.842  -0.610 0.475  -0.730 0.107  -0.643 -0.273  -0.528 -0.645  -0.342 -0.937  0.010 -0.868  0.341 -0.662  0.671 -0.455  0.852 -0.144  0.903 0.242  0.923 0.625  0.670 0.918  0.291 0.987  -0.095 1.042  -0.361 0.794  -0.605 0.490  -0.773 0.139  -0.932 -0.217  -1.090 -0.574  -1.152 -0.932  -1.029 -1.302  -0.900 -1.666  -0.528 -1.558  -0.158 -1.435  0.135 -1.200  0.374 -0.893  0.614 -0.585  0.853 -0.277  0.942 0.083  0.942 0.473  0.851 0.716  0.534 0.491  0.218 0.262  -0.032 -0.035  -0.266 -0.347  -0.445 -0.683
2#uqb#pe/.  1.192 0.513  1.383 0.822  1.657 1.096  1.377 0.874  1.074 0.632  0.771 0.390  0.467 0.148  0.157 -0.085  -0.151 -0.321  -0.458 -0.559  -0.764 -0.797  -1.063 -1.029  -0.884 -0.948  -0.651 -0.637  -0.453 -0.310  -0.115 -0.175  -0.310 -0.301  -0.543 -0.612  -0.303 -0.591  -0.014 -0.337  -0.013 -0.103  -0.251 -0.409  -0.489 -0.715  -0.728 -1.022  -0.695 -0.973  -0.460 -0.664  -0.186 -0.389  0.124 -0.199  0.463 -0.082  0.265 -0.058  -0.035 -0.303  -0.338 -0.545  -0.641 -0.788  -0.944 -1.030  -0.760 -0.726  -0.486 -0.452  -0.211 -0.177  0.003 0.122  0.227 0.430  0.473 0.730  0.719 1.030  0.964 1.331  1.192 1.561  0.844 1.491  0.483 1.347  0.195 1.087  -0.092 0.826  -0.379 0.565  -0.666 0.304  -0.948 0.037
2#uqb#pe/.  0.310 1.541  0.429 1.170  0.548 1.165  0.347 0.784  0.140 0.340  -0.066 -0.105  -0.271 -0.549  -0.465 -0.835  -0.170 -0.564  0.117 -0.167  0.369 0.253  0.567 0.700  0.465 0.885  0.073 0.591  -0.319 0.297  -0.711 0.003  -0.997 -0.284  -0.971 -0.530  -0.610 -0.626  -0.201 -0.364  0.195 -0.076  0.591 0.212  0.962 0.530  1.142 0.946  0.919 1.304  0.524 1.019  0.176 0.677  -0.158 0.319  -0.492 -0.040  -0.826 -0.398  -1.161 -0.756  -1.167 -1.021  -0.806 -1.274  -0.357 -1.078  0.098 -0.896  0.552 -0.714  1.007 -0.532  1.243 -0.157  1.333 0.275  1.226 0.745  0.826 0.876  0.465 0.545  0.104 0.214  -0.257 -0.117  -0.626 -0.438  -1.023 -0.716  -1.353 -0.945  -0.885 -0.897  -0.438 -0.716  -0.403 -0.597
2#uqb#pe/.  -0.090 1.136  0.085 1.230  0.138 1.026  0.017 0.784  -0.090 0.539  -0.090 0.269  0.060 0.116  0.317 0.199  0.579 0.265  0.793 0.415  0.984 0.606  1.137 0.757  0.871 0.736  0.612 0.662  0.352 0.588  0.092 0.514  -0.167 0.440  -0.429 0.381  -0.631 0.217  -0.822 0.026  -1.013 -0.164  -1.204 -0.355  -1.289 -0.602  -1.410 -0.843  -1.327 -1.099  -1.195 -1.318  -0.929 -1.278  -0.665 -1.225  -0.400 -1.172  -0.135 -1.119  0.129 -1.066  0.336 -0.937  0.484 -0.713  0.649 -0.499  0.813 -0.285  0.978 -0.071  1.143 0.143  1.307 0.357  1.220 0.566  0.964 0.480  0.706 0.401  0.448 0.321  0.190 0.242  -0.068 0.162  -0.329 0.098  -0.242 0.003  -0.392 -0.011  -0.608 -0.173  -0.842 -0.280  -1.034 -0.469
2#uqb#pe/.  0.708 0.753  0.834 0.753  0.878 0.651  0.977 0.632  1.046 0.690  1.102 0.802  1.171 0.879  1.082 0.791  0.993 0.702  0.902 0.616  0.786 0.567  0.670 0.519  0.554 0.471  0.438 0.422  0.323 0.374  0.207 0.326  0.104 0.268  0.156 0.268  0.264 0.329  0.238 0.338  0.306 0.287  0.350 0.394  0.373 0.459  0.313 0.358  0.224 0.269  0.222 0.216  0.287 0.313  0.268 0.274  0.198 0.172  0.112 0.079  0.027 -0.013  -0.058 -0.105  -0.143 -0.198  -0.228 -0.290  -0.314 -0.382  -0.399 -0.474  -0.484 -0.567  -0.570 -0.658  -0.677 -0.724  -0.784 -0.790  -0.891 -0.856  -0.998 -0.922  -1.105 -0.988  -1.212 -1.054  -1.319 -1.119  -1.426 -1.185  -1.391 -1.097  -1.373 -0.975  -1.373 -0.850  -1.373 -0.724
2#uqb#pe/.  0.524 0.971  0.335 0.850  0.148 0.539  0.039 0.195  -0.059 -0.147  0.130 0.058  0.336 0.357  0.544 0.655  0.752 0.952  0.906 1.221  0.672 0.999  0.410 0.751  0.178 0.472  -0.055 0.193  -0.287 -0.086  -0.225 -0.422  -0.012 -0.412  0.259 -0.171  0.531 0.070  0.803 0.290  0.942 0.626  1.082 0.961  1.125 1.172  0.837 0.951  0.581 0.695  0.324 0.438  0.067 0.181  -0.257 0.026  -0.537 -0.190  -0.780 -0.460  -1.023 -0.730  -1.225 -1.013  -0.943 -1.229  -0.632 -1.304  -0.320 -1.118  -0.075 -0.851  0.168 -0.581  0.411 -0.311  0.542 0.024  0.607 0.377  0.454 0.584  0.168 0.361  -0.119 0.138  -0.397 -0.095  -0.670 -0.334  -0.935 -0.582  -1.162 -0.865  -1.389 -1.149  -1.549 -1.448  -1.225 -1.610
2#uqb#pe/.  0.144 0.611  -0.036 0.678  -0.426 0.581  -0.815 0.484  -1.204 0.386  -1.474 0.164  -1.731 -0.141  -1.928 -0.488  -1.674 -0.741  -1.279 -0.679  -0.887 -0.595  -0.494 -0.511  -0.306 -0.262  -0.458 0.104  -0.688 -0.042  -0.847 -0.377  -0.486 -0.470  -0.232 -0.161  0.050 0.121  0.363 0.371  0.677 0.622  0.581 0.507  0.267 0.258  -0.057 0.022  -0.382 -0.214  -0.522 -0.471  -0.125 -0.410  0.244 -0.270  0.590 -0.068  0.937 0.134  1.059 0.403  0.870 0.350  0.626 0.032  0.379 -0.285  0.198 -0.524  0.546 -0.642  0.938 -0.558  1.331 -0.474  1.723 -0.390  1.823 -0.065  1.634 0.266  1.321 0.517  1.007 0.767  0.745 0.743  0.373 0.594  0.000 0.445  -0.372 0.296  -0.709 0.083  -0.807 -0.230  -0.486 -0.471
2#uqb#pe/.  1.817 0.209  1.658 0.592  1.157 0.342  0.657 0.092  0.157 -0.159  -0.343 -0.409  -0.230 -0.318  0.100 0.043  -0.272 -0.294  -0.667 -0.690  -0.852 -0.874  -0.314 -0.745  0.080 -0.451  -0.095 -0.382  -0.077 -0.276  -0.172 -0.060  -0.652 -0.347  -0.523 -0.319  -0.044 -0.158  0.132 0.209  -0.392 0.046  -0.901 -0.186  -1.410 -0.417  -1.016 -0.373  -0.472 -0.275  0.002 0.020  0.462 0.338  0.922 0.657  1.382 0.975  1.494 1.032  1.001 0.769  0.507 0.506  0.014 0.243  -0.443 -0.070  -0.843 -0.459  -1.362 -0.666  -1.222 -0.716  -0.722 -0.466  -0.222 -0.216  0.278 0.034  0.758 0.281  1.199 0.624  1.641 0.967  1.207 0.867  0.686 0.665  0.165 0.462  -0.356 0.259  -0.865 0.037  -1.260 -0.358  -1.750 -0.584
2#uqb#pe/.  1.497 1.275  1.231 1.062  0.942 0.898  0.608 0.830  0.303 0.678  0.242 0.477  0.357 0.655  0.168 0.504  0.079 0.429  0.255 0.565  -0.047 0.437  -0.339 0.262  -0.632 0.086  -0.758 -0.202  -0.822 -0.536  -0.949 -0.852  -0.811 -1.114  -0.530 -1.292  -0.202 -1.198  0.126 -1.104  0.453 -1.011  0.759 -0.880  1.000 -0.639  1.241 -0.399  1.482 -0.158  1.499 0.121  1.211 0.290  0.889 0.384  0.549 0.363  0.209 0.341  -0.131 0.320  -0.466 0.287  -0.728 0.071  -0.955 -0.172  -0.902 -0.486  -0.649 -0.459  -0.383 -0.247  -0.117 -0.034  0.149 0.179  0.415 0.392  0.672 0.473  0.336 0.417  0.010 0.326  -0.306 0.199  -0.621 0.068  -0.935 -0.063  -1.250 -0.195  -1.512 -0.404  -1.478 -0.535  -1.162 -0.409
2#uqb#pe/.  0.301 1.168  0.433 1.102  0.525 1.299  0.252 1.210  0.005 1.103  -0.094 0.886  -0.003 0.621  0.116 0.365  0.266 0.455  0.367 0.727  0.367 1.018  0.109 1.102  -0.178 1.055  -0.403 0.900  -0.587 0.675  -0.771 0.450  -0.835 0.212  -0.638 -0.001  -0.432 -0.206  -0.203 -0.322  0.076 -0.242  0.325 -0.099  0.566 0.056  0.623 0.342  0.711 0.619  0.762 0.901  0.581 0.979  0.389 0.760  0.198 0.542  0.006 0.323  -0.185 0.104  -0.358 -0.129  -0.501 -0.381  -0.593 -0.657  -0.685 -0.933  -0.753 -1.213  -0.666 -1.480  -0.516 -1.729  -0.366 -1.979  -0.231 -1.816  -0.014 -1.629  0.094 -1.359  0.202 -1.089  0.263 -0.807  0.305 -0.519  0.346 -0.231  0.378 -0.138  0.261 -0.403  0.149 -0.671  0.037 -0.940
2#uqb#pe/.  -0.305 -0.007  -0.583 -0.007  -0.389 -0.107  -0.114 -0.075  0.160 -0.030  0.405 0.082  0.622 0.255  0.828 0.439  0.994 0.662  1.091 0.907  0.896 0.990  0.647 0.867  0.398 0.743  0.150 0.619  -0.098 0.495  -0.338 0.358  -0.534 0.162  -0.704 -0.046  -0.777 -0.298  -0.950 -0.515  -1.103 -0.739  -1.090 -1.004  -0.813 -0.998  -0.536 -0.978  -0.259 -0.958  0.018 -0.939  0.296 -0.919  0.549 -0.848  0.746 -0.652  0.914 -0.431  1.073 -0.204  1.232 0.024  1.392 0.251  1.490 0.498  1.346 0.691  1.069 0.687  0.795 0.641  0.521 0.596  0.247 0.550  -0.027 0.504  -0.301 0.459  -0.575 0.413  -0.794 0.275  -0.965 0.056  -1.135 -0.163  -1.306 -0.383  -1.381 -0.599  -1.117 -0.511  -0.882 -0.406  -0.803 -0.406
2#uqb#pe/.  0.506 0.973  0.147 0.891  -0.019 0.827  -0.192 0.521  -0.041 0.494  0.163 0.716  -0.132 0.494  -0.447 0.335  -0.673 0.043  -0.900 -0.248  -0.852 -0.501  -0.639 -0.738  -0.275 -0.677  0.062 -0.530  0.396 -0.372  0.729 -0.214  1.063 -0.056  1.352 0.142  1.514 0.464  1.448 0.771  1.132 0.849  0.771 0.772  0.410 0.694  0.046 0.644  -0.256 0.443  -0.492 0.162  -0.780 -0.058  -1.099 -0.244  -1.418 -0.430  -1.451 -0.685  -1.231 -0.976  -0.895 -1.081  -0.573 -0.902  -0.251 -0.721  0.071 -0.540  0.392 -0.359  0.733 -0.218  1.019 0.006  1.280 0.268  1.443 0.529  1.091 0.520  0.725 0.471  0.359 0.422  0.011 0.314  -0.258 0.062  -0.531 -0.187  -0.804 -0.435  -0.946 -0.724  -0.735 -0.844  -0.973 -1.081
2#uqb#pe/.  0.232 1.373  0.178 1.442  -0.173 1.189  -0.401 0.808  -0.594 0.411  -0.748 -0.003  -0.673 -0.415  -0.280 -0.565  0.154 -0.478  0.544 -0.275  0.910 -0.029  1.185 0.318  1.271 0.702  0.961 0.889  0.566 1.006  0.150 0.870  -0.259 0.700  -0.668 0.529  -1.011 0.304  -1.097 -0.131  -1.273 -0.535  -1.183 -0.885  -0.768 -0.953  -0.328 -0.932  0.083 -0.767  0.455 -0.534  0.805 -0.261  1.155 0.011  1.266 0.339  0.845 0.394  0.402 0.394  0.107 0.085  -0.170 -0.261  -0.447 -0.607  -0.737 -0.942  -0.690 -1.045  -0.252 -0.972  0.114 -0.744  0.455 -0.461  0.795 -0.177  1.136 0.107  1.271 0.406  0.836 0.493  0.399 0.463  -0.035 0.381  -0.415 0.153  -0.795 -0.075  -1.175 -0.303  -1.235 -0.710  -0.870 -0.708
2#uqb#pe/.  0.136 0.874  0.352 0.983  0.035 0.899  -0.273 0.776  -0.572 0.629  -0.843 0.443  -1.070 0.269  -0.961 -0.037  -0.879 -0.357  -0.654 -0.552  -0.323 -0.531  0.001 -0.457  0.325 -0.382  0.649 -0.307  0.973 -0.232  1.269 -0.086  1.535 0.114  1.619 0.336  1.293 0.401  0.966 0.461  0.638 0.516  0.314 0.502  -0.006 0.410  -0.326 0.319  -0.646 0.227  -0.965 0.136  -1.100 -0.113  -1.188 -0.434  -1.275 -0.755  -1.363 -1.076  -1.214 -1.172  -0.917 -1.024  -0.619 -0.875  -0.311 -0.771  -0.193 -0.473  0.034 -0.245  0.300 -0.045  0.571 0.148  0.844 0.338  1.116 0.529  1.389 0.720  1.207 0.710  0.898 0.586  0.614 0.418  0.341 0.228  0.069 0.037  -0.204 -0.154  -0.303 -0.435  -0.542 -0.615  -0.741 -0.881
2#uqb#pe/.  0.835 1.145  0.378 1.332  0.108 1.455  -0.306 1.144  -0.562 0.696  -0.737 0.207  -0.911 -0.282  -0.972 -0.721  -0.457 -0.668  0.057 -0.595  0.570 -0.522  0.731 -0.077  0.611 0.425  0.468 0.924  0.326 1.423  -0.114 1.260  -0.570 1.013  -0.892 0.642  -1.067 0.153  -1.241 -0.336  -1.226 -0.723  -0.717 -0.823  -0.240 -0.623  0.249 -0.449  0.738 -0.274  1.029 0.059  0.835 0.523  0.364 0.688  -0.111 0.590  -0.549 0.312  -0.987 0.033  -1.238 -0.394  -0.836 -0.695  -0.342 -0.824  0.152 -0.672  0.644 -0.508  1.136 -0.344  1.161 0.005  0.833 -0.377  0.434 -0.709  0.036 -1.041  -0.200 -1.238  0.215 -0.926  0.582 -0.559  0.949 -0.192  1.156 0.109  0.663 0.269  0.168 0.206  -0.328 0.054  -0.824 -0.099
1d#apb#apb15#app1531/.  1.698 0.000  1.629 0.000  1.559 0.000  1.490 0.000  1.421 0.000  1.351 0.000  1.282 0.000  1.213 0.000  1.143 0.000  1.074 0.000  1.005 0.000  0.935 0.000  0.866 0.000  0.797 0.000  0.728 0.000  0.658 0.000  0.589 0.000  0.520 0.000  0.450 0.000  0.381 0.000  0.312 0.000  0.242 0.000  0.173 0.000  0.104 0.000  0.035 0.000  -0.035 0.000  -0.104 0.000  -0.173 0.000  -0.242 0.000  -0.312 0.000  -0.381 0.000  -0.450 0.000  -0.520 0.000  -0.589 0.000  -0.658 0.000  -0.728 0.000  -0.797 0.000  -0.866 0.000  -0.935 0.000  -1.005 0.000  -1.074 0.000  -1.143 0.000  -1.213 0.000  -1.282 0.000  -1.351 0.000  -1.421 0.000  -1.490 0.000  -1.559 0.000  -1.629 0.000  -1.698 0.000
3#apb#apb12#app1208/.  0.840 1.491  0.801 1.431  0.761 1.372  0.722 1.313  0.682 1.254  0.643 1.194  0.603 1.135  0.564 1.076  0.524 1.017  0.485 0.957  0.445 0.898  0.406 0.839  0.366 0.779  0.327 0.720  0.287 0.661  0.248 0.602  0.208 0.542  0.169 0.483  0.129 0.424  0.090 0.365  0.050 0.305  0.010 0.246  -0.029 0.187  -0.068 0.128  -0.108 0.068  -0.148 0.009  -0.187 -0.050  -0.227 -0.109  -0.266 -0.169  -0.306 -0.228  -0.345 -0.287  -0.385 -0.347  -0.405 -0.412  -0.405 -0.483  -0.405 -0.554  -0.405 -0.625  -0.405 -0.696  -0.405 -0.768  -0.405 -0.839  -0.405 -0.910  -0.405 -0.981  -0.405 -1.053  -0.405 -1.124  -0.405 -1.195  -0.405 -1.266  -0.405 -1.338  -0.405 -1.409  -0.405 -1.480  -0.405 -1.551  -0.405 -1.622
1d#aga#greghunt/.  -0.404 1.606  -0.330 1.532  -0.255 1.457  -0.181 1.383  -0.106 1.308  -0.032 1.234  0.042 1.160  0.117 1.085  0.191 1.011  0.266 0.936  0.340 0.862  0.414 0.788  0.489 0.713  0.563 0.639  0.637 0.564  0.712 0.490  0.764 0.406  0.764 0.301  0.764 0.196  0.764 0.091  0.764 -0.014  0.764 -0.120  0.685 -0.146  0.580 -0.146  0.474 -0.146  0.369 -0.146  0.264 -0.146  0.159 -0.146  0.054 -0.146  -0.052 -0.146  -0.157 -0.146  -0.262 -0.146  -0.367 -0.146  -0.404 -0.214  -0.404 -0.319  -0.404 -0.425  -0.404 -0.530  -0.404 -0.635  -0.404 -0.740  -0.404 -0.845  -0.404 -0.951  -0.404 -1.056  -0.404 -1.161  -0.404 -1.266  -0.462 -1.314  -0.567 -1.314  -0.672 -1.314  -0.777 -1.314  -0.883 -1.314  -0.988 -1.314
1d#aga#greghunt/.  0.081 1.744  0.081 1.671  0.081 1.598  0.081 1.524  0.081 1.451  0.081 1.378  0.081 1.304  0.081 1.231  0.081 1.157  0.081 1.084  0.081 1.011  0.081 0.937  0.081 0.864  0.081 0.791  0.081 0.717  0.081 0.644  0.081 0.571  0.081 0.497  0.081 0.424  0.081 0.351  0.081 0.277  0.081 0.204  0.081 0.130  0.081 0.057  0.081 -0.016  0.081 -0.090  0.081 -0.163  0.081 -0.236  0.081 -0.310  0.081 -0.383  0.081 -0.456  0.081 -0.530  0.081 -0.603  0.081 -0.677  0.081 -0.750  0.081 -0.823  0.081 -0.897  0.059 -0.965  0.026 -1.030  -0.006 -1.096  -0.039 -1.162  -0.072 -1.227  -0.116 -1.275  -0.189 -1.275  -0.262 -1.275  -0.336 -1.275  -0.409 -1.275  -0.482 -1.275  -0.556 -1.275  -0.629 -1.275
1d#aga#greghunt/.  0.802 0.578  0.802 0.484  0.802 0.389  0.802 0.295  0.802 0.201  0.802 0.106  0.802 0.012  0.885 0.000  0.979 0.000  1.074 0.000  1.168 0.000  1.262 0.000  1.357 0.000  1.310 0.000  1.215 0.000  1.121 0.000  1.026 0.000  0.932 0.000  0.838 0.000  0.743 0.000  0.649 0.000  0.554 0.000  0.460 0.000  0.366 0.000  0.271 0.000  0.177 0.000  0.083 0.000  -0.012 0.000  -0.106 0.000  -0.201 0.000  -0.295 0.000  -0.389 0.000  -0.484 0.000  -0.578 0.000  -0.672 0.000  -0.767 0.000  -0.861 0.000  -0.956 0.000  -1.050 0.000  -1.144 0.000  -1.239 0.000  -1.333 0.000  -1.427 0.000  -1.510 -0.012  -1.510 -0.106  -1.510 -0.201  -1.510 -0.295  -1.510 -0.389  -1.510 -0.484  -1.510 -0.578
1d#aga#greghunt/.  0.599 1.549  0.599 1.478  0.599 1.407  0.599 1.335  0.599 1.264  0.599 1.192  0.599 1.121  0.599 1.050  0.599 0.978  0.599 0.907  0.599 0.835  0.593 0.766  0.551 0.709  0.508 0.652  0.465 0.594  0.422 0.537  0.379 0.480  0.336 0.423  0.293 0.366  0.251 0.309  0.208 0.252  0.165 0.194  0.120 0.139  0.070 0.089  0.019 0.038  -0.030 -0.014  -0.073 -0.071  -0.116 -0.128  -0.159 -0.185  -0.201 -0.242  -0.244 -0.299  -0.287 -0.356  -0.330 -0.414  -0.373 -0.471  -0.416 -0.528  -0.459 -0.585  -0.493 -0.646  -0.511 -0.715  -0.528 -0.784  -0.545 -0.854  -0.563 -0.923  -0.580 -0.992  -0.597 -1.062  -0.615 -1.131  -0.632 -1.200  -0.643 -1.270  -0.643 -1.342  -0.643 -1.413  -0.643 -1.484  -0.643 -1.556
2#app#app31#app3181/.  -0.539 -0.539  -0.359 -0.539  -0.180 -0.539  -0.000 -0.539  0.180 -0.539  0.359 -0.539  0.539 -0.539  0.718 -0.539  0.898 -0.539  1.078 -0.539  1.257 -0.539  1.437 -0.539  1.616 -0.539  1.527 -0.539  1.347 -0.539  1.167 -0.539  0.988 -0.539  0.808 -0.539  0.629 -0.539  0.449 -0.539  0.269 -0.539  0.090 -0.539  -0.090 -0.539  -0.269 -0.539  -0.449 -0.539  -0.539 -0.449  -0.539 -0.269  -0.539 -0.090  -0.539 0.090  -0.539 0.269  -0.539 0.449  -0.539 0.629  -0.539 0.808  -0.539 0.988  -0.539 1.167  -0.539 1.347  -0.539 1.527  -0.539 1.616  -0.539 1.437  -0.539 1.257  -0.539 1.078  -0.539 0.898  -0.539 0.718  -0.539 0.539  -0.539 0.359  -0.539 0.180  -0.539 0.000  -0.539 -0.180  -0.539 -0.359  -0.539 -0.539
3#app#app37#app3728/.  1.698 0.000  1.629 0.000  1.559 0.000  1.490 0.000  1.421 0.000  1.351 0.000  1.282 0.000  1.213 0.000  1.143 0.000  1.074 0.000  1.005 0.000  0.935 0.000  0.866 0.000  0.797 0.000  0.728 0.000  0.658 0.000  0.589 0.000  0.520 0.000  0.450 0.000  0.381 0.000  0.312 0.000  0.242 0.000  0.173 0.000  0.104 0.000  0.035 0.000  -0.035 0.000  -0.104 0.000  -0.173 0.000  -0.242 0.000  -0.312 0.000  -0.381 0.000  -0.450 0.000  -0.520 0.000  -0.589 0.000  -0.658 0.000  -0.728 0.000  -0.797 0.000  -0.866 0.000  -0.935 0.000  -1.005 0.000  -1.074 0.000  -1.143 0.000  -1.213 0.000  -1.282 0.000  -1.351 0.000  -1.421 0.000  -1.490 0.000  -1.559 0.000  -1.629 0.000  -1.698 0.000
3#app#app41#app4142/.  -1.600 -0.548  -1.512 -0.548  -1.425 -0.548  -1.337 -0.548  -1.249 -0.548  -1.161 -0.548  -1.074 -0.548  -0.986 -0.548  -0.899 -0.548  -0.811 -0.548  -0.723 -0.548  -0.636 -0.548  -0.548 -0.548  -0.460 -0.548  -0.373 -0.548  -0.285 -0.548  -0.197 -0.548  -0.110 -0.548  -0.022 -0.548  0.066 -0.548  0.153 -0.548  0.241 -0.548  0.329 -0.548  0.416 -0.548  0.504 -0.548  0.548 -0.504  0.548 -0.416  0.548 -0.329  0.548 -0.241  0.548 -0.153  0.548 -0.066  0.548 0.022  0.548 0.110  0.548 0.197  0.548 0.285  0.548 0.373  0.548 0.460  0.548 0.548  0.548 0.636  0.548 0.723  0.548 0.811  0.548 0.899  0.548 0.986  0.548 1.074  0.548 1.162  0.548 1.249  0.548 1.337  0.548 1.425  0.548 1.512  0.548 1.600
1d#apa#apa04#app0457/.  1.580 -0.815  1.517 -0.752  1.454 -0.688  1.390 -0.625  1.327 -0.562  1.263 -0.498  1.200 -0.435  1.136 -0.371  1.073 -0.308  1.009 -0.244  0.946 -0.181  0.883 -0.118  0.819 -0.054  0.756 0.009  0.692 0.073  0.629 0.136  0.565 0.200  0.502 0.263  0.439 0.326  0.375 0.390  0.312 0.453  0.230 0.472  0.140 0.472  0.050 0.472  -0.039 0.472  -0.129 0.472  -0.219 0.472  -0.309 0.472  -0.398 0.472  -0.488 0.472  -0.578 0.472  -0.667 0.472  -0.757 0.472  -0.847 0.472  -0.936 0.472  -0.995 0.441  -0.995 0.351  -0.995 0.261  -0.995 0.171  -0.995 0.082  -0.995 -0.008  -0.995 -0.098  -0.995 -0.187  -0.995 -0.277  -0.995 -0.367  -0.995 -0.456  -0.995 -0.546  -0.995 -0.636  -0.995 -0.726  -0.995 -0.815
2#apa#apa10#app1026/.  1.698 0.000  1.628 0.000  1.559 0.000  1.490 0.000  1.421 0.000  1.351 0.000  1.282 0.000  1.213 0.000  1.143 0.000  1.074 0.000  1.005 0.000  0.936 0.000  0.866 0.000  0.797 0.000  0.728 0.000  0.658 0.000  0.589 0.000  0.520 0.000  0.450 0.000  0.381 0.000  0.312 0.000  0.243 0.000  0.173 0.000  0.104 0.000  0.035 0.000  -0.035 0.000  -0.104 0.000  -0.173 0.000  -0.243 0.000  -0.312 0.000  -0.381 0.000  -0.450 0.000  -0.520 0.000  -0.589 0.000  -0.658 0.000  -0.728 0.000  -0.797 0.000  -0.866 0.000  -0.936 0.000  -1.005 0.000  -1.074 0.000  -1.143 0.000  -1.213 0.000  -1.282 0.000  -1.351 0.000  -1.421 0.000  -1.490 0.000  -1.559 0.000  -1.628 0.000  -1.698 0.000
