2#tos#t1#t1006065/\"  -0.785 1.068  -0.924 1.050  -0.924 0.893  -0.924 0.736  -0.924 0.579  -0.924 0.422  -0.912 0.266  -0.862 0.117  -0.855 -0.038  -0.855 -0.195  -0.855 -0.353  -0.855 -0.510  -0.855 -0.667  -0.855 -0.824  -0.855 -0.981  -0.804 -0.948  -0.678 -0.892  -0.590 -0.761  -0.503 -0.630  -0.416 -0.499  -0.329 -0.369  -0.242 -0.238  -0.155 -0.107  -0.068 0.023  0.019 0.154  0.107 0.285  0.194 0.415  0.281 0.546  0.368 0.677  0.455 0.807  0.542 0.938  0.629 1.069  0.605 1.132  0.605 0.975  0.605 0.818  0.632 0.667  0.675 0.520  0.675 0.363  0.743 0.235  0.745 0.078  0.745 -0.079  0.782 -0.221  0.814 -0.364  0.814 -0.522  0.869 -0.656  0.953 -0.737  0.953 -0.894  0.953 -1.051  1.023 -1.139  1.162 -1.157
2#tos#t1#t1006065/W  -1.275 0.764  -1.362 0.665  -1.298 0.534  -1.211 0.402  -1.142 0.260  -1.137 0.098  -1.062 -0.027  -1.043 -0.187  -1.010 -0.338  -0.943 -0.476  -0.931 -0.629  -0.811 -0.699  -0.722 -0.795  -0.645 -0.688  -0.611 -0.556  -0.545 -0.458  -0.545 -0.292  -0.479 -0.194  -0.479 -0.028  -0.381 0.063  -0.337 0.218  -0.280 0.363  -0.197 0.466  -0.147 0.580  -0.104 0.689  -0.080 0.560  -0.014 0.461  0.072 0.342  0.120 0.199  0.185 0.054  0.231 -0.065  0.251 -0.210  0.318 -0.334  0.351 -0.466  0.438 -0.590  0.554 -0.663  0.716 -0.666  0.816 -0.660  0.915 -0.594  0.926 -0.431  0.982 -0.277  1.036 -0.132  1.104 0.014  1.167 0.163  1.224 0.310  1.316 0.437  1.368 0.586  1.481 0.665  1.580 0.731  1.645 0.831
2#tos#t1#t1006065/X  0.703 1.345  0.580 1.217  0.456 1.099  0.416 0.945  0.321 0.825  0.251 0.658  0.139 0.535  0.055 0.368  -0.080 0.230  -0.138 0.052  -0.236 -0.077  -0.324 -0.197  -0.365 -0.374  -0.447 -0.510  -0.543 -0.640  -0.643 -0.750  -0.735 -0.884  -0.814 -0.915  -0.798 -0.721  -0.783 -0.528  -0.767 -0.334  -0.752 -0.141  -0.736 0.052  -0.721 0.246  -0.705 0.439  -0.690 0.633  -0.674 0.826  -0.659 1.020  -0.734 1.017  -0.723 0.893  -0.590 0.768  -0.476 0.663  -0.366 0.526  -0.262 0.407  -0.159 0.254  -0.047 0.123  0.061 0.031  0.169 -0.055  0.275 -0.175  0.425 -0.284  0.532 -0.421  0.676 -0.504  0.781 -0.627  0.938 -0.686  1.048 -0.823  1.211 -0.873  1.347 -0.955  1.408 -1.120  1.566 -1.213  1.607 -1.366
2#tos#t1#t1006065/Y  -0.989 0.830  -1.132 0.764  -1.032 0.744  -0.989 0.599  -0.904 0.522  -0.827 0.407  -0.692 0.319  -0.583 0.232  -0.462 0.132  -0.377 0.004  -0.305 -0.136  -0.287 -0.281  -0.134 -0.271  -0.052 -0.175  0.025 -0.048  0.113 0.086  0.225 0.182  0.326 0.307  0.416 0.440  0.516 0.531  0.607 0.647  0.731 0.713  0.828 0.830  0.934 0.887  1.025 0.958  1.148 0.999  1.059 0.967  0.936 0.861  0.813 0.754  0.690 0.648  0.567 0.541  0.444 0.434  0.321 0.328  0.198 0.221  0.076 0.115  -0.047 0.008  -0.174 -0.094  -0.263 -0.209  -0.263 -0.372  -0.263 -0.534  -0.263 -0.697  -0.263 -0.860  -0.263 -1.022  -0.263 -1.185  -0.263 -1.348  -0.230 -1.477  -0.195 -1.606  -0.177 -1.750  -0.177 -1.913  -0.134 -2.033
2#tos#t1#t1006065/Z  -0.591 1.139  -0.700 1.067  -0.734 0.993  -0.613 0.960  -0.460 0.960  -0.307 0.960  -0.154 0.960  -0.001 0.960  0.152 0.960  0.304 0.970  0.454 0.996  0.535 1.068  0.653 1.103  0.800 1.103  0.767 0.983  0.696 0.902  0.624 0.820  0.552 0.722  0.445 0.622  0.376 0.498  0.282 0.389  0.211 0.272  0.129 0.156  0.052 0.075  -0.027 -0.044  -0.132 -0.132  -0.198 -0.251  -0.332 -0.322  -0.412 -0.425  -0.497 -0.531  -0.591 -0.607  -0.662 -0.689  -0.749 -0.755  -0.770 -0.888  -0.877 -0.934  -0.867 -1.005  -0.714 -1.005  -0.561 -1.005  -0.416 -0.969  -0.263 -0.969  -0.182 -0.898  -0.029 -0.898  0.124 -0.898  0.278 -0.898  0.431 -0.898  0.553 -0.867  0.701 -0.862  0.767 -0.949  0.900 -0.969  1.053 -0.969
2#tos#t1#t1006065/a  0.152 0.529  0.152 0.543  0.055 0.626  -0.080 0.722  -0.156 0.844  -0.252 0.923  -0.404 0.990  -0.572 0.990  -0.740 0.990  -0.814 0.860  -0.910 0.760  -0.924 0.606  -0.965 0.448  -1.001 0.288  -1.009 0.121  -1.062 -0.038  -1.078 -0.203  -1.078 -0.372  -1.047 -0.532  -0.936 -0.624  -0.845 -0.701  -0.677 -0.701  -0.586 -0.778  -0.418 -0.778  -0.295 -0.720  -0.254 -0.557  -0.156 -0.468  -0.144 -0.305  -0.025 -0.186  0.075 -0.105  0.107 0.056  0.152 0.213  0.152 0.381  0.172 0.529  0.229 0.418  0.229 0.249  0.292 0.096  0.365 -0.009  0.383 -0.160  0.547 -0.163  0.659 -0.254  0.785 -0.329  0.925 -0.422  1.074 -0.496  1.234 -0.547  1.402 -0.547  1.570 -0.547  1.738 -0.547  1.906 -0.547  2.074 -0.547
2#tos#t1#t1006065/g  0.351 1.105  0.341 1.306  0.158 1.359  -0.048 1.359  -0.247 1.341  -0.419 1.232  -0.576 1.154  -0.662 0.980  -0.664 0.775  -0.645 0.578  -0.536 0.407  -0.357 0.344  -0.152 0.344  0.047 0.357  0.140 0.535  0.259 0.696  0.368 0.822  0.415 1.016  0.441 1.068  0.374 0.915  0.288 0.758  0.288 0.553  0.288 0.348  0.288 0.143  0.288 -0.062  0.288 -0.267  0.288 -0.472  0.288 -0.678  0.273 -0.877  0.173 -1.040  0.161 -1.240  0.021 -1.306  -0.093 -1.397  -0.262 -1.433  -0.467 -1.433  -0.672 -1.429  -0.823 -1.305  -0.854 -1.107  -0.729 -0.969  -0.629 -0.809  -0.498 -0.671  -0.345 -0.544  -0.155 -0.481  0.027 -0.425  0.228 -0.414  0.382 -0.291  0.587 -0.291  0.766 -0.227  0.907 -0.164  1.113 -0.164
2#tos#t1#t1006065/h  -0.475 1.793  -0.596 1.793  -0.481 1.758  -0.438 1.668  -0.433 1.543  -0.350 1.466  -0.350 1.337  -0.350 1.207  -0.350 1.078  -0.308 0.959  -0.308 0.830  -0.308 0.701  -0.308 0.571  -0.308 0.442  -0.308 0.313  -0.308 0.184  -0.308 0.055  -0.308 -0.075  -0.308 -0.204  -0.308 -0.333  -0.308 -0.462  -0.308 -0.591  -0.308 -0.720  -0.308 -0.850  -0.308 -0.979  -0.308 -0.971  -0.308 -0.842  -0.267 -0.755  -0.267 -0.625  -0.265 -0.497  -0.225 -0.384  -0.194 -0.274  -0.142 -0.178  -0.058 -0.132  0.045 -0.082  0.174 -0.082  0.304 -0.082  0.423 -0.105  0.483 -0.185  0.525 -0.304  0.620 -0.358  0.650 -0.469  0.682 -0.593  0.733 -0.711  0.774 -0.830  0.868 -0.915  0.941 -0.995  1.059 -1.036  1.187 -1.040  1.316 -1.040
2#tos#t1#t1006065/k  -0.721 1.906  -0.617 1.813  -0.617 1.617  -0.513 1.485  -0.513 1.289  -0.513 1.093  -0.513 0.897  -0.513 0.701  -0.513 0.504  -0.513 0.308  -0.513 0.112  -0.513 -0.084  -0.513 -0.280  -0.513 -0.477  -0.513 -0.673  -0.513 -0.869  -0.513 -1.065  -0.465 -1.057  -0.377 -0.882  -0.290 -0.706  -0.202 -0.531  -0.114 -0.355  -0.026 -0.180  0.061 -0.004  0.149 0.171  0.237 0.346  0.324 0.522  0.412 0.697  0.397 0.765  0.368 0.598  0.236 0.478  0.122 0.319  -0.056 0.268  -0.143 0.143  -0.292 0.066  -0.316 -0.116  -0.411 -0.116  -0.266 -0.168  -0.117 -0.289  0.019 -0.376  0.171 -0.484  0.346 -0.572  0.522 -0.660  0.705 -0.730  0.891 -0.782  1.075 -0.850  1.264 -0.901  1.449 -0.946  1.646 -0.946  1.820 -0.998
2#tos#t1#t1006065/m  -1.061 0.659  -1.010 0.605  -1.010 0.428  -1.010 0.252  -1.010 0.075  -1.010 -0.101  -1.010 -0.278  -1.010 -0.454  -1.010 -0.631  -0.960 -0.648  -1.010 -0.493  -1.010 -0.316  -1.010 -0.140  -1.010 0.037  -0.956 0.162  -0.859 0.306  -0.733 0.357  -0.619 0.458  -0.493 0.508  -0.316 0.508  -0.175 0.451  -0.102 0.330  -0.102 0.154  -0.102 -0.023  -0.052 -0.178  -0.002 -0.343  -0.002 -0.520  -0.002 -0.696  -0.002 -0.533  -0.002 -0.356  -0.002 -0.180  0.018 -0.008  0.089 0.145  0.214 0.269  0.334 0.372  0.479 0.433  0.595 0.508  0.771 0.508  0.948 0.508  1.105 0.461  1.209 0.387  1.254 0.256  1.369 0.155  1.411 0.021  1.411 -0.156  1.411 -0.332  1.461 -0.488  1.512 -0.652  1.512 -0.829  1.562 -0.955
2#tos#t1#t1006065/o  0.680 0.789  0.595 0.719  0.472 0.689  0.472 0.765  0.356 0.847  0.274 0.927  0.125 0.932  0.042 1.011  -0.089 1.066  -0.242 1.066  -0.360 1.029  -0.480 0.997  -0.498 0.861  -0.637 0.845  -0.680 0.702  -0.794 0.632  -0.844 0.499  -0.844 0.345  -0.844 0.192  -0.885 0.055  -0.914 -0.087  -0.914 -0.241  -0.914 -0.394  -0.874 -0.538  -0.756 -0.597  -0.706 -0.700  -0.627 -0.823  -0.567 -0.963  -0.474 -1.037  -0.339 -1.082  -0.185 -1.082  -0.060 -1.151  0.094 -1.151  0.247 -1.151  0.401 -1.151  0.472 -1.068  0.500 -0.943  0.621 -0.863  0.680 -0.734  0.680 -0.580  0.771 -0.505  0.818 -0.371  0.818 -0.217  0.818 -0.064  0.818 0.090  0.818 0.243  0.818 0.397  0.779 0.512  0.749 0.635  0.610 0.650
2#tos#t1#t1006065/p  0.143 1.061  -0.042 1.060  -0.039 0.876  0.145 0.879  0.307 0.938  0.492 0.938  0.678 0.938  0.851 0.906  0.998 0.815  1.065 0.696  1.127 0.536  1.127 0.350  1.127 0.164  1.028 0.077  1.004 -0.084  0.903 -0.169  0.717 -0.169  0.607 -0.292  0.422 -0.292  0.236 -0.292  0.076 -0.353  -0.090 -0.402  -0.194 -0.538  -0.289 -0.569  -0.296 -0.383  -0.303 -0.198  -0.310 -0.012  -0.317 0.173  -0.325 0.359  -0.332 0.544  -0.339 0.730  -0.346 0.915  -0.451 0.999  -0.472 0.835  -0.472 0.649  -0.472 0.464  -0.472 0.278  -0.472 0.092  -0.472 -0.094  -0.521 -0.230  -0.534 -0.403  -0.534 -0.589  -0.534 -0.775  -0.534 -0.960  -0.590 -1.137  -0.595 -1.322  -0.595 -1.507  -0.673 -1.661  -0.718 -1.828  -0.718 -2.014
2#tos#t1#t1006065/u  -1.025 1.034  -1.057 0.920  -1.082 0.857  -1.082 0.704  -1.082 0.551  -1.082 0.398  -1.082 0.246  -1.082 0.093  -1.082 -0.060  -1.082 -0.213  -1.063 -0.357  -1.025 -0.495  -0.968 -0.624  -0.925 -0.766  -0.825 -0.881  -0.685 -0.910  -0.532 -0.910  -0.391 -0.894  -0.342 -0.749  -0.260 -0.621  -0.154 -0.514  -0.032 -0.422  0.112 -0.395  0.176 -0.306  0.226 -0.174  0.294 -0.050  0.405 0.034  0.466 0.128  0.519 0.269  0.519 0.421  0.544 0.569  0.576 0.714  0.619 0.849  0.691 0.938  0.747 1.034  0.805 1.020  0.805 0.868  0.805 0.715  0.805 0.562  0.805 0.409  0.805 0.256  0.805 0.104  0.767 -0.033  0.753 -0.177  0.805 -0.318  0.805 -0.470  0.805 -0.623  0.805 -0.776  0.805 -0.929  0.862 -1.024
2#tos#t1#t1006065/x  0.997 1.503  0.901 1.443  0.937 1.274  0.816 1.143  0.756 0.998  0.696 0.818  0.537 0.727  0.514 0.538  0.359 0.419  0.220 0.311  0.093 0.182  0.075 -0.012  -0.044 -0.149  -0.148 -0.323  -0.297 -0.425  -0.389 -0.538  -0.466 -0.666  -0.630 -0.707  -0.694 -0.851  -0.750 -1.032  -0.866 -1.059  -0.832 -0.857  -0.799 -0.655  -0.765 -0.452  -0.731 -0.250  -0.698 -0.048  -0.664 0.155  -0.630 0.357  -0.596 0.559  -0.563 0.762  -0.529 0.964  -0.595 1.082  -0.630 0.911  -0.555 0.780  -0.465 0.631  -0.378 0.458  -0.244 0.316  -0.088 0.208  -0.027 0.028  0.021 -0.148  0.181 -0.272  0.252 -0.425  0.439 -0.469  0.584 -0.614  0.709 -0.776  0.756 -0.967  0.840 -1.088  0.985 -1.148  1.104 -1.309  1.299 -1.329
2#tos#t1#t1006065/y  -0.577 1.079  -0.699 0.999  -0.638 0.905  -0.516 0.836  -0.442 0.701  -0.382 0.568  -0.313 0.429  -0.226 0.303  -0.170 0.160  -0.091 0.069  0.002 -0.018  0.060 -0.137  0.177 -0.046  0.283 0.067  0.390 0.179  0.496 0.292  0.603 0.405  0.709 0.518  0.816 0.631  0.923 0.743  1.029 0.856  1.110 0.958  1.003 0.909  0.921 0.836  0.821 0.781  0.793 0.654  0.699 0.593  0.578 0.512  0.524 0.411  0.491 0.289  0.377 0.232  0.324 0.086  0.244 -0.045  0.134 -0.154  -0.003 -0.197  -0.030 -0.325  -0.101 -0.451  -0.236 -0.501  -0.326 -0.607  -0.396 -0.745  -0.456 -0.875  -0.499 -0.988  -0.593 -1.048  -0.687 -1.147  -0.814 -1.228  -0.899 -1.331  -1.049 -1.352  -1.064 -1.493  -1.116 -1.596  -1.185 -1.717
2#tos#t1#t1006065/z  -0.620 1.050  -0.743 1.019  -0.741 0.866  -0.612 0.927  -0.462 0.945  -0.318 0.989  -0.163 0.989  -0.009 0.989  0.146 0.989  0.300 0.989  0.455 0.989  0.609 0.989  0.764 0.989  0.855 1.048  0.831 0.904  0.697 0.834  0.609 0.743  0.506 0.660  0.452 0.524  0.373 0.393  0.240 0.364  0.240 0.210  0.120 0.130  0.089 -0.001  -0.061 -0.039  -0.188 -0.116  -0.251 -0.208  -0.374 -0.240  -0.477 -0.323  -0.545 -0.424  -0.656 -0.496  -0.753 -0.609  -0.866 -0.650  -0.927 -0.743  -0.989 -0.836  -0.914 -0.916  -0.759 -0.916  -0.605 -0.916  -0.450 -0.916  -0.296 -0.916  -0.141 -0.916  0.013 -0.916  0.167 -0.916  0.322 -0.916  0.476 -0.916  0.631 -0.916  0.785 -0.916  0.940 -0.916  1.078 -0.955  1.223 -0.978
