2#tos#f1#f1050060/\"  -0.706 1.077  -0.873 1.077  -0.913 0.949  -1.001 0.870  -0.901 0.823  -0.860 0.660  -0.820 0.498  -0.706 0.436  -0.706 0.269  -0.706 0.101  -0.706 -0.066  -0.706 -0.233  -0.706 -0.400  -0.664 -0.557  -0.603 -0.710  -0.603 -0.877  -0.603 -1.044  -0.603 -1.211  -0.567 -1.227  -0.492 -1.077  -0.417 -0.928  -0.343 -0.778  -0.268 -0.629  -0.193 -0.479  -0.118 -0.330  -0.044 -0.180  0.031 -0.031  0.106 0.119  0.181 0.268  0.255 0.418  0.330 0.567  0.405 0.717  0.480 0.866  0.554 1.016  0.629 1.165  0.636 1.029  0.636 0.862  0.636 0.695  0.697 0.542  0.791 0.406  0.843 0.260  0.843 0.093  0.843 -0.074  0.843 -0.241  0.907 -0.393  0.981 -0.543  1.049 -0.694  1.049 -0.861  1.049 -1.028  1.049 -1.195
2#tos#f1#f1050060/S  0.829 0.638  0.729 0.668  0.707 0.761  0.648 0.850  0.572 0.924  0.486 0.988  0.427 1.074  0.329 1.088  0.264 1.156  0.166 1.170  0.059 1.170  -0.048 1.170  -0.155 1.170  -0.262 1.170  -0.316 1.092  -0.316 0.985  -0.316 0.878  -0.316 0.771  -0.311 0.665  -0.277 0.564  -0.219 0.474  -0.151 0.392  -0.104 0.296  -0.039 0.219  0.052 0.178  0.072 0.077  0.131 -0.012  0.231 -0.048  0.257 -0.136  0.298 -0.234  0.298 -0.341  0.298 -0.448  0.298 -0.555  0.298 -0.662  0.298 -0.769  0.297 -0.875  0.193 -0.901  0.102 -0.948  0.026 -1.024  -0.055 -1.092  -0.151 -1.140  -0.212 -1.218  -0.271 -1.284  -0.378 -1.284  -0.485 -1.284  -0.592 -1.284  -0.699 -1.284  -0.806 -1.284  -0.913 -1.284  -0.970 -1.202
2#tos#f1#f1050060/U  -0.772 1.188  -0.866 1.188  -0.808 1.124  -0.808 1.002  -0.808 0.879  -0.796 0.760  -0.750 0.646  -0.720 0.528  -0.697 0.408  -0.679 0.288  -0.664 0.166  -0.664 0.044  -0.656 -0.077  -0.632 -0.197  -0.608 -0.317  -0.582 -0.436  -0.553 -0.555  -0.523 -0.673  -0.520 -0.795  -0.472 -0.903  -0.405 -1.004  -0.306 -1.048  -0.204 -1.115  -0.084 -1.121  0.039 -1.121  0.161 -1.121  0.279 -1.113  0.353 -1.016  0.447 -0.944  0.544 -0.875  0.607 -0.770  0.648 -0.657  0.671 -0.537  0.671 -0.415  0.671 -0.293  0.732 -0.188  0.779 -0.079  0.779 0.043  0.779 0.166  0.779 0.288  0.779 0.410  0.763 0.530  0.728 0.647  0.683 0.760  0.671 0.880  0.578 0.945  0.486 1.020  0.434 1.121  0.315 1.150  0.202 1.188
2#tos#f1#f1050060/W  -1.133 0.853  -1.219 0.960  -1.103 0.802  -1.038 0.622  -1.032 0.425  -0.954 0.244  -0.889 0.057  -0.833 -0.133  -0.814 -0.328  -0.789 -0.523  -0.741 -0.715  -0.665 -0.895  -0.618 -1.080  -0.537 -1.220  -0.464 -1.095  -0.464 -0.897  -0.416 -0.711  -0.380 -0.518  -0.340 -0.325  -0.304 -0.132  -0.298 0.065  -0.270 0.261  -0.242 0.457  -0.149 0.630  -0.113 0.818  -0.053 0.996  0.015 1.169  0.127 1.044  0.142 0.862  0.165 0.665  0.192 0.470  0.238 0.278  0.282 0.086  0.308 -0.110  0.355 -0.300  0.453 -0.471  0.542 -0.648  0.607 -0.833  0.748 -0.964  0.894 -0.940  0.940 -0.753  0.990 -0.571  1.003 -0.377  1.050 -0.187  1.087 0.007  1.099 0.204  1.099 0.401  1.147 0.590  1.182 0.783  1.195 0.980
2#tos#f1#f1050060/X  -0.834 1.148  -0.956 1.201  -0.838 1.060  -0.718 0.911  -0.605 0.758  -0.499 0.599  -0.439 0.419  -0.364 0.243  -0.292 0.067  -0.217 -0.109  -0.121 -0.273  -0.044 -0.444  0.039 -0.610  0.153 -0.756  0.213 -0.937  0.331 -1.057  0.412 -1.208  0.570 -1.217  0.580 -1.026  0.590 -0.836  0.601 -0.645  0.611 -0.455  0.622 -0.265  0.632 -0.074  0.643 0.116  0.653 0.306  0.663 0.497  0.674 0.687  0.684 0.877  0.691 1.068  0.691 1.258  0.691 1.335  0.524 1.247  0.440 1.080  0.358 0.908  0.224 0.773  0.125 0.614  0.047 0.440  -0.038 0.269  -0.124 0.099  -0.209 -0.072  -0.315 -0.230  -0.424 -0.386  -0.529 -0.545  -0.607 -0.718  -0.684 -0.892  -0.777 -1.058  -0.871 -1.220  -0.970 -1.378  -0.987 -1.567
2#tos#f1#f1050060/c  0.314 1.091  0.314 1.184  0.258 1.220  0.165 1.220  0.072 1.220  -0.021 1.220  -0.113 1.220  -0.138 1.152  -0.170 1.091  -0.263 1.091  -0.330 1.029  -0.360 0.942  -0.390 0.854  -0.447 0.783  -0.512 0.717  -0.591 0.694  -0.591 0.601  -0.591 0.509  -0.591 0.416  -0.591 0.323  -0.591 0.230  -0.591 0.137  -0.591 0.044  -0.581 -0.047  -0.558 -0.137  -0.536 -0.227  -0.526 -0.319  -0.477 -0.396  -0.422 -0.470  -0.366 -0.544  -0.296 -0.589  -0.222 -0.635  -0.156 -0.701  -0.072 -0.721  -0.005 -0.783  0.088 -0.783  0.171 -0.817  0.248 -0.868  0.327 -0.913  0.420 -0.913  0.513 -0.913  0.606 -0.913  0.699 -0.913  0.792 -0.913  0.884 -0.913  0.977 -0.913  1.070 -0.913  1.163 -0.913  1.256 -0.913  1.349 -0.913
2#tos#f1#f1050060/e  -0.344 0.218  -0.511 0.218  -0.595 0.153  -0.441 0.121  -0.288 0.088  -0.129 0.038  0.036 0.023  0.203 0.023  0.370 0.023  0.537 0.023  0.704 0.023  0.839 0.100  0.933 0.235  1.071 0.283  1.153 0.368  1.098 0.522  0.948 0.553  0.830 0.671  0.691 0.739  0.536 0.787  0.379 0.845  0.243 0.933  0.103 0.999  -0.064 0.999  -0.231 0.999  -0.398 0.999  -0.565 0.999  -0.732 0.999  -0.734 0.833  -0.799 0.731  -0.799 0.564  -0.799 0.397  -0.799 0.230  -0.799 0.063  -0.799 -0.104  -0.730 -0.255  -0.689 -0.417  -0.610 -0.557  -0.565 -0.717  -0.498 -0.864  -0.380 -0.982  -0.262 -1.100  -0.142 -1.216  -0.006 -1.304  0.097 -1.409  0.264 -1.409  0.431 -1.409  0.598 -1.409  0.754 -1.371  0.893 -1.278
2#tos#f1#f1050060/g  0.573 1.320  0.442 1.462  0.226 1.510  0.008 1.465  -0.113 1.320  -0.301 1.273  -0.396 1.131  -0.421 0.920  -0.468 0.731  -0.468 0.495  -0.421 0.307  -0.239 0.190  -0.099 0.090  0.137 0.090  0.279 0.185  0.383 0.317  0.383 0.553  0.383 0.789  0.383 1.025  0.289 1.222  0.323 0.996  0.358 0.763  0.393 0.529  0.428 0.296  0.306 0.185  0.201 0.002  0.147 -0.220  -0.069 -0.241  -0.257 -0.288  -0.453 -0.353  -0.610 -0.444  -0.765 -0.525  -0.799 -0.727  -0.799 -0.963  -0.747 -1.151  -0.632 -1.342  -0.433 -1.465  -0.246 -1.518  -0.010 -1.518  0.226 -1.518  0.412 -1.396  0.491 -1.204  0.620 -1.084  0.620 -0.848  0.575 -0.623  0.450 -0.463  0.269 -0.383  0.047 -0.318  -0.185 -0.288  -0.421 -0.288
2#tos#f1#f1050060/h  -0.097 1.797  -0.242 1.797  -0.359 1.825  -0.359 1.712  -0.339 1.569  -0.315 1.427  -0.315 1.283  -0.315 1.138  -0.315 0.993  -0.315 0.849  -0.315 0.704  -0.315 0.560  -0.315 0.415  -0.315 0.270  -0.315 0.126  -0.315 -0.019  -0.315 -0.163  -0.315 -0.308  -0.315 -0.453  -0.315 -0.597  -0.315 -0.742  -0.315 -0.886  -0.315 -1.031  -0.315 -1.176  -0.334 -1.275  -0.359 -1.141  -0.359 -0.997  -0.359 -0.852  -0.359 -0.707  -0.359 -0.563  -0.359 -0.418  -0.300 -0.291  -0.205 -0.183  -0.141 -0.057  -0.088 0.065  0.023 0.154  0.162 0.186  0.307 0.186  0.445 0.151  0.579 0.099  0.668 -0.004  0.765 -0.110  0.849 -0.226  0.948 -0.314  0.948 -0.458  0.948 -0.603  0.948 -0.748  0.948 -0.892  1.035 -0.975  1.035 -1.120
2#tos#f1#f1050060/j  0.283 0.838  0.143 0.838  0.137 0.715  0.236 0.616  0.244 0.479  0.261 0.343  0.342 0.230  0.398 0.107  0.398 -0.033  0.398 -0.173  0.398 -0.313  0.360 -0.447  0.359 -0.586  0.325 -0.722  0.321 -0.862  0.321 -1.002  0.189 -1.039  0.168 -1.162  0.140 -1.274  0.048 -1.354  -0.069 -1.428  -0.210 -1.428  -0.350 -1.428  -0.447 -1.385  -0.433 -1.246  -0.414 -1.107  -0.396 -0.969  -0.377 -0.830  -0.359 -0.691  -0.340 -0.552  -0.322 -0.413  -0.303 -0.275  -0.285 -0.136  -0.266 0.003  -0.248 0.142  -0.229 0.281  -0.211 0.419  -0.192 0.558  -0.174 0.697  -0.155 0.836  -0.137 0.975  -0.118 1.113  -0.100 1.252  -0.081 1.391  -0.063 1.530  -0.076 1.606  0.061 1.598  0.160 1.499  0.271 1.414  0.398 1.376
2#tos#f1#f1050060/k  -0.190 2.288  -0.238 2.124  -0.238 1.940  -0.238 1.756  -0.238 1.572  -0.238 1.388  -0.238 1.204  -0.262 1.022  -0.286 0.840  -0.286 0.656  -0.286 0.472  -0.286 0.288  -0.286 0.104  -0.286 -0.079  -0.286 -0.263  -0.286 -0.447  -0.286 -0.631  -0.286 -0.815  -0.286 -0.999  -0.286 -1.183  -0.238 -1.355  -0.238 -1.539  -0.182 -1.651  -0.130 -1.475  -0.077 -1.299  -0.025 -1.122  0.028 -0.946  0.080 -0.770  0.133 -0.594  0.185 -0.417  0.238 -0.241  0.290 -0.065  0.343 0.111  0.395 0.288  0.447 0.464  0.452 0.616  0.349 0.487  0.219 0.357  0.101 0.217  -0.001 0.064  -0.143 -0.037  -0.229 -0.148  -0.206 -0.196  -0.035 -0.236  0.132 -0.291  0.316 -0.291  0.500 -0.291  0.684 -0.291  0.868 -0.291  1.052 -0.291
2#tos#f1#f1050060/n  -0.474 0.141  -0.613 0.069  -0.809 0.036  -0.956 -0.075  -1.088 -0.209  -1.286 -0.209  -1.289 -0.013  -1.238 0.177  -1.194 0.368  -1.064 0.505  -0.998 0.668  -0.913 0.781  -0.790 0.914  -0.602 0.956  -0.404 0.956  -0.299 0.862  -0.299 0.664  -0.165 0.562  -0.125 0.393  -0.086 0.201  -0.024 0.013  -0.008 -0.183  -0.008 -0.382  -0.008 -0.580  -0.008 -0.778  -0.008 -0.977  -0.008 -1.175  -0.008 -1.373  -0.008 -1.175  -0.008 -0.976  -0.008 -0.778  0.050 -0.604  0.050 -0.405  0.051 -0.207  0.124 -0.023  0.167 0.167  0.202 0.351  0.342 0.491  0.458 0.642  0.633 0.665  0.824 0.648  0.998 0.562  1.070 0.397  1.138 0.218  1.275 0.076  1.336 -0.113  1.384 -0.305  1.469 -0.484  1.542 -0.668  1.680 -0.791
2#tos#f1#f1050060/o  -0.534 1.098  -0.667 1.098  -0.681 0.980  -0.681 0.848  -0.681 0.715  -0.681 0.583  -0.681 0.450  -0.681 0.317  -0.681 0.185  -0.681 0.052  -0.681 -0.080  -0.681 -0.213  -0.681 -0.346  -0.681 -0.478  -0.675 -0.609  -0.615 -0.728  -0.529 -0.827  -0.470 -0.945  -0.383 -1.045  -0.324 -1.163  -0.205 -1.185  -0.072 -1.185  0.061 -1.185  0.193 -1.185  0.326 -1.185  0.398 -1.087  0.477 -0.983  0.555 -0.876  0.629 -0.766  0.718 -0.668  0.760 -0.542  0.791 -0.415  0.791 -0.282  0.791 -0.150  0.791 -0.017  0.791 0.115  0.791 0.248  0.791 0.381  0.748 0.500  0.675 0.611  0.589 0.711  0.512 0.818  0.438 0.929  0.391 1.025  0.259 1.025  0.134 1.059  0.011 1.098  -0.122 1.098  -0.254 1.098  -0.387 1.098
2#tos#f1#f1050060/s  0.795 1.305  0.749 1.234  0.632 1.234  0.515 1.234  0.411 1.202  0.310 1.164  0.193 1.164  0.101 1.104  0.018 1.022  -0.087 0.970  -0.191 0.917  -0.288 0.855  -0.371 0.772  -0.454 0.690  -0.536 0.607  -0.651 0.601  -0.768 0.601  -0.824 0.540  -0.824 0.424  -0.824 0.307  -0.824 0.190  -0.749 0.105  -0.644 0.053  -0.533 0.018  -0.420 -0.011  -0.306 -0.033  -0.189 -0.033  -0.072 -0.033  0.043 -0.044  0.147 -0.096  0.257 -0.135  0.368 -0.172  0.443 -0.215  0.461 -0.315  0.514 -0.379  0.514 -0.496  0.514 -0.613  0.514 -0.730  0.514 -0.846  0.514 -0.963  0.470 -1.062  0.387 -1.145  0.373 -1.256  0.304 -1.323  0.193 -1.360  0.078 -1.371  -0.039 -1.371  -0.156 -1.371  -0.249 -1.429  -0.331 -1.512
2#tos#f1#f1050060/w  -1.123 0.749  -1.257 0.674  -1.272 0.524  -1.198 0.377  -1.198 0.212  -1.198 0.047  -1.112 -0.082  -1.049 -0.221  -0.985 -0.359  -0.907 -0.504  -0.825 -0.593  -0.825 -0.758  -0.794 -0.892  -0.629 -0.892  -0.601 -0.755  -0.601 -0.590  -0.584 -0.435  -0.452 -0.352  -0.452 -0.187  -0.437 -0.025  -0.385 0.132  -0.378 0.296  -0.368 0.451  -0.203 0.451  -0.154 0.567  -0.154 0.732  -0.028 0.697  0.053 0.600  0.218 0.600  0.230 0.440  0.346 0.323  0.428 0.181  0.442 0.020  0.509 -0.129  0.592 -0.218  0.592 -0.383  0.666 -0.473  0.666 -0.638  0.801 -0.668  0.944 -0.614  1.052 -0.492  1.113 -0.341  1.133 -0.181  1.188 -0.029  1.188 0.136  1.321 0.219  1.337 0.374  1.386 0.524  1.478 0.661  1.486 0.823
2#tos#f1#f1050060/x  -0.838 0.652  -1.018 0.652  -1.198 0.652  -1.378 0.652  -1.216 0.652  -1.116 0.523  -0.960 0.485  -0.879 0.324  -0.753 0.219  -0.579 0.176  -0.435 0.073  -0.274 -0.007  -0.182 -0.148  -0.125 -0.319  -0.057 -0.484  0.043 -0.634  0.186 -0.740  0.295 -0.706  0.364 -0.539  0.433 -0.373  0.502 -0.207  0.571 -0.040  0.640 0.126  0.708 0.292  0.777 0.459  0.846 0.625  0.915 0.791  0.984 0.958  1.053 1.124  1.016 1.174  0.985 1.002  0.947 0.830  0.818 0.738  0.651 0.671  0.546 0.536  0.466 0.375  0.399 0.208  0.332 0.041  0.191 -0.069  0.052 -0.181  -0.005 -0.352  -0.062 -0.522  -0.119 -0.693  -0.207 -0.845  -0.334 -0.972  -0.444 -1.111  -0.511 -1.278  -0.584 -1.442  -0.677 -1.596  -0.769 -1.751
