2#tos#t3#t3011062/!  0.049 1.616  -0.023 1.616  -0.071 1.592  -0.071 1.520  -0.071 1.447  -0.071 1.375  -0.071 1.303  -0.071 1.231  -0.066 1.159  -0.039 1.092  -0.012 1.025  0.009 0.957  0.009 0.885  0.009 0.813  0.009 0.740  0.009 0.668  0.009 0.596  0.009 0.523  0.009 0.451  0.009 0.379  0.009 0.307  0.009 0.234  0.011 0.162  0.034 0.094  0.049 0.024  0.049 -0.048  0.049 -0.120  0.049 -0.193  0.048 -0.265  0.044 -0.337  0.040 -0.409  0.036 -0.481  0.032 -0.553  0.028 -0.626  0.024 -0.698  0.020 -0.770  0.016 -0.842  0.012 -0.914  0.009 -0.986  -0.004 -1.053  -0.031 -1.114  -0.057 -1.161  -0.071 -1.218  -0.031 -1.250  -0.030 -1.322  0.009 -1.355  0.009 -1.427  0.009 -1.499  0.017 -1.563  0.049 -1.604
2#tos#t3#t3011062/O  0.094 0.732  0.127 0.876  0.089 0.991  -0.030 1.023  -0.162 0.961  -0.262 0.907  -0.392 0.845  -0.520 0.782  -0.537 0.634  -0.657 0.550  -0.715 0.422  -0.779 0.334  -0.800 0.186  -0.844 0.043  -0.844 -0.109  -0.844 -0.261  -0.844 -0.413  -0.814 -0.558  -0.766 -0.696  -0.715 -0.829  -0.648 -0.953  -0.575 -1.059  -0.461 -1.127  -0.325 -1.195  -0.177 -1.210  -0.025 -1.210  0.127 -1.210  0.279 -1.210  0.380 -1.107  0.516 -1.048  0.628 -0.951  0.709 -0.843  0.754 -0.701  0.807 -0.562  0.814 -0.411  0.871 -0.271  0.871 -0.119  0.871 0.034  0.871 0.186  0.839 0.330  0.820 0.478  0.740 0.605  0.651 0.726  0.553 0.829  0.407 0.851  0.277 0.930  0.130 0.958  -0.022 0.958  -0.174 0.958  -0.294 0.926
2#tos#t3#t3011062/P  -0.438 0.945  -0.438 1.117  -0.438 0.914  -0.438 0.712  -0.438 0.509  -0.438 0.307  -0.400 0.109  -0.400 -0.094  -0.363 -0.292  -0.341 -0.492  -0.325 -0.693  -0.325 -0.895  -0.325 -1.098  -0.325 -1.300  -0.325 -1.503  -0.288 -1.697  -0.298 -1.537  -0.328 -1.337  -0.358 -1.136  -0.388 -0.936  -0.418 -0.736  -0.448 -0.535  -0.478 -0.335  -0.509 -0.135  -0.539 0.066  -0.569 0.266  -0.599 0.466  -0.603 0.645  -0.550 0.795  -0.433 0.947  -0.238 0.982  -0.036 0.982  0.167 0.982  0.370 0.982  0.572 0.982  0.774 0.976  0.951 0.888  1.130 0.802  1.250 0.686  1.287 0.521  1.212 0.365  1.161 0.175  1.024 0.032  0.916 -0.127  0.775 -0.249  0.588 -0.326  0.432 -0.405  0.267 -0.443  0.065 -0.443  -0.100 -0.405
2#tos#t3#t3011062/R  -0.401 1.184  -0.468 1.251  -0.444 0.987  -0.434 0.721  -0.434 0.454  -0.434 0.187  -0.401 -0.076  -0.388 -0.342  -0.367 -0.606  -0.367 -0.874  -0.367 -1.141  -0.367 -1.408  -0.380 -1.311  -0.410 -1.046  -0.439 -0.781  -0.469 -0.515  -0.498 -0.250  -0.528 0.016  -0.557 0.281  -0.587 0.547  -0.730 0.706  -0.699 0.919  -0.553 1.091  -0.307 1.159  -0.049 1.217  0.218 1.217  0.485 1.217  0.727 1.127  0.873 0.950  0.971 0.755  1.004 0.521  0.867 0.326  0.737 0.143  0.534 0.011  0.360 -0.121  0.109 -0.188  -0.150 -0.221  -0.403 -0.255  -0.635 -0.305  -0.605 -0.346  -0.338 -0.329  -0.072 -0.311  0.195 -0.293  0.381 -0.334  0.553 -0.534  0.718 -0.734  0.909 -0.882  1.054 -1.082  1.248 -1.245  1.339 -1.459
2#tos#t3#t3011062/T  -1.318 0.481  -1.456 0.481  -1.414 0.481  -1.276 0.481  -1.137 0.481  -0.999 0.481  -0.860 0.481  -0.722 0.481  -0.584 0.481  -0.445 0.481  -0.307 0.481  -0.169 0.481  -0.030 0.481  0.108 0.481  0.247 0.481  0.385 0.481  0.523 0.481  0.662 0.481  0.800 0.481  0.938 0.481  1.061 0.444  1.200 0.444  1.248 0.441  1.110 0.433  0.972 0.426  0.834 0.418  0.695 0.410  0.557 0.402  0.419 0.394  0.281 0.386  0.143 0.378  0.005 0.370  -0.124 0.360  -0.124 0.222  -0.124 0.083  -0.087 -0.049  -0.087 -0.188  -0.087 -0.326  -0.087 -0.464  -0.087 -0.603  -0.087 -0.741  -0.087 -0.879  -0.087 -1.018  -0.087 -1.156  -0.068 -1.292  -0.050 -1.427  -0.050 -1.565  -0.050 -1.704  -0.050 -1.842  -0.050 -1.980
2#tos#t3#t3011062/U  -0.577 1.259  -0.611 1.241  -0.611 1.123  -0.644 1.013  -0.644 0.894  -0.678 0.784  -0.678 0.666  -0.678 0.548  -0.707 0.435  -0.711 0.317  -0.711 0.199  -0.712 0.081  -0.741 -0.034  -0.745 -0.151  -0.745 -0.270  -0.745 -0.388  -0.745 -0.506  -0.716 -0.612  -0.678 -0.714  -0.629 -0.785  -0.588 -0.874  -0.511 -0.935  -0.397 -0.952  -0.282 -0.965  -0.169 -0.986  -0.051 -0.986  0.067 -0.986  0.186 -0.986  0.256 -0.919  0.361 -0.885  0.406 -0.795  0.455 -0.697  0.528 -0.608  0.570 -0.500  0.615 -0.390  0.662 -0.282  0.699 -0.173  0.751 -0.081  0.763 0.025  0.791 0.139  0.827 0.249  0.830 0.366  0.830 0.484  0.855 0.598  0.863 0.715  0.863 0.833  0.863 0.952  0.863 1.070  0.897 1.174  0.897 1.292
2#tos#t3#t3011062/Y  -0.826 0.879  -0.860 1.013  -0.929 0.982  -0.851 0.870  -0.752 0.785  -0.683 0.684  -0.631 0.572  -0.533 0.474  -0.435 0.376  -0.326 0.294  -0.209 0.219  -0.157 0.104  -0.078 0.023  0.050 0.047  0.140 0.152  0.231 0.256  0.322 0.361  0.413 0.465  0.504 0.570  0.595 0.674  0.686 0.779  0.778 0.879  0.847 0.949  0.750 0.990  0.674 0.891  0.560 0.820  0.484 0.720  0.384 0.632  0.283 0.538  0.180 0.446  0.070 0.363  -0.044 0.285  -0.063 0.155  -0.083 0.024  -0.083 -0.114  -0.083 -0.253  -0.083 -0.391  -0.052 -0.522  -0.046 -0.659  -0.046 -0.798  -0.046 -0.936  -0.046 -1.075  -0.043 -1.213  -0.008 -1.345  -0.008 -1.484  -0.008 -1.622  -0.008 -1.761  0.012 -1.896  0.029 -2.032  0.029 -2.170
2#tos#t3#t3011062/Z  -0.983 0.817  -1.049 0.858  -0.908 0.877  -0.763 0.877  -0.620 0.893  -0.477 0.906  -0.332 0.906  -0.187 0.906  -0.042 0.906  0.103 0.906  0.248 0.906  0.368 0.966  0.509 0.984  0.651 0.995  0.796 0.995  0.888 0.943  0.773 0.880  0.723 0.776  0.618 0.679  0.561 0.559  0.437 0.485  0.375 0.367  0.251 0.292  0.140 0.200  0.030 0.107  -0.062 0.000  -0.129 -0.096  -0.224 -0.201  -0.318 -0.278  -0.390 -0.403  -0.476 -0.517  -0.558 -0.599  -0.638 -0.698  -0.715 -0.787  -0.775 -0.873  -0.834 -0.958  -0.708 -0.995  -0.563 -0.995  -0.418 -0.995  -0.286 -0.965  -0.141 -0.965  0.004 -0.965  0.149 -0.965  0.294 -0.965  0.432 -0.995  0.577 -0.995  0.721 -0.995  0.860 -0.974  0.993 -0.935  1.096 -0.876
2#tos#t3#t3011062/a  -1.168 0.805  -1.047 0.925  -0.858 1.027  -0.690 1.118  -0.475 1.138  -0.271 1.172  -0.128 1.253  0.050 1.298  0.229 1.253  0.357 1.132  0.402 0.953  0.402 0.730  0.402 0.506  0.447 0.301  0.447 0.078  0.447 -0.145  0.452 -0.367  0.537 -0.555  0.674 -0.676  0.852 -0.721  1.065 -0.765  1.289 -0.765  1.360 -0.747  1.173 -0.626  0.985 -0.505  0.797 -0.384  0.610 -0.262  0.422 -0.141  0.234 -0.020  0.046 0.101  0.056 0.177  -0.074 0.339  -0.290 0.356  -0.495 0.337  -0.646 0.261  -0.774 0.132  -0.902 0.018  -1.033 -0.090  -1.078 -0.295  -1.093 -0.512  -1.123 -0.723  -0.967 -0.807  -0.774 -0.855  -0.569 -0.900  -0.345 -0.900  -0.152 -0.826  0.064 -0.810  0.243 -0.765  0.371 -0.662  0.537 -0.586
2#tos#t3#t3011062/c  0.547 0.724  0.535 0.833  0.450 0.883  0.394 0.974  0.346 1.064  0.239 1.081  0.138 1.112  0.035 1.086  -0.070 1.064  -0.184 1.064  -0.291 1.034  -0.393 0.983  -0.460 0.897  -0.522 0.835  -0.611 0.776  -0.666 0.678  -0.716 0.585  -0.765 0.519  -0.765 0.405  -0.813 0.311  -0.813 0.197  -0.813 0.083  -0.813 -0.031  -0.813 -0.145  -0.772 -0.241  -0.716 -0.332  -0.693 -0.441  -0.615 -0.499  -0.558 -0.595  -0.473 -0.657  -0.388 -0.685  -0.274 -0.685  -0.182 -0.707  -0.182 -0.821  -0.078 -0.831  0.036 -0.831  0.150 -0.831  0.264 -0.831  0.378 -0.831  0.492 -0.831  0.603 -0.824  0.683 -0.743  0.773 -0.685  0.887 -0.685  1.001 -0.685  1.101 -0.640  1.198 -0.579  1.302 -0.540  1.416 -0.540  1.470 -0.442
2#tos#t3#t3011062/e  -0.875 0.223  -0.714 0.171  -0.543 0.167  -0.370 0.167  -0.198 0.167  -0.025 0.167  0.147 0.167  0.320 0.167  0.490 0.175  0.651 0.223  0.811 0.279  0.927 0.336  0.979 0.456  0.971 0.625  0.865 0.760  0.792 0.897  0.628 0.933  0.460 0.953  0.311 1.010  0.138 1.010  -0.034 1.010  -0.183 0.953  -0.334 0.876  -0.492 0.841  -0.538 0.714  -0.650 0.654  -0.771 0.560  -0.875 0.491  -0.931 0.375  -0.931 0.202  -0.931 0.030  -0.931 -0.143  -0.931 -0.315  -0.905 -0.477  -0.806 -0.576  -0.675 -0.676  -0.582 -0.788  -0.487 -0.895  -0.369 -0.986  -0.223 -1.013  -0.051 -1.013  0.122 -1.013  0.283 -1.058  0.453 -1.069  0.626 -1.069  0.798 -1.069  0.958 -1.013  1.107 -0.956  1.201 -0.847  1.316 -0.788
2#tos#t3#t3011062/g  0.613 1.765  0.570 1.807  0.527 1.564  0.448 1.352  0.368 1.103  0.288 0.855  0.207 0.607  0.127 0.358  0.064 0.122  -0.050 0.122  -0.275 0.209  -0.462 0.351  -0.589 0.511  -0.582 0.760  -0.425 0.917  -0.200 0.987  0.061 0.987  0.267 0.907  0.440 0.794  0.570 0.662  0.656 0.488  0.570 0.314  0.457 0.165  0.239 0.122  -0.022 0.122  -0.283 0.122  -0.500 0.079  -0.598 -0.085  -0.425 -0.224  -0.182 -0.267  0.079 -0.267  0.281 -0.367  0.493 -0.488  0.677 -0.610  0.743 -0.822  0.750 -1.031  0.613 -1.194  0.423 -1.288  0.207 -1.348  -0.046 -1.391  -0.307 -1.391  -0.511 -1.334  -0.738 -1.294  -0.892 -1.097  -0.987 -0.892  -0.962 -0.743  -0.772 -0.613  -0.557 -0.483  -0.296 -0.483  -0.079 -0.440
2#tos#t3#t3011062/h  -0.348 1.783  -0.348 1.817  -0.348 1.635  -0.348 1.452  -0.348 1.269  -0.348 1.086  -0.348 0.903  -0.348 0.720  -0.348 0.538  -0.348 0.355  -0.348 0.172  -0.348 -0.011  -0.348 -0.194  -0.348 -0.377  -0.348 -0.560  -0.348 -0.742  -0.348 -0.925  -0.348 -1.108  -0.381 -1.258  -0.456 -1.365  -0.456 -1.293  -0.456 -1.110  -0.456 -0.927  -0.456 -0.744  -0.456 -0.561  -0.456 -0.378  -0.402 -0.218  -0.321 -0.064  -0.294 0.112  -0.255 0.286  -0.131 0.398  -0.076 0.527  0.032 0.643  0.106 0.752  0.266 0.806  0.395 0.752  0.521 0.695  0.575 0.534  0.704 0.480  0.738 0.331  0.738 0.149  0.792 0.020  0.792 -0.163  0.792 -0.346  0.792 -0.529  0.792 -0.711  0.792 -0.894  0.792 -1.077  0.847 -1.238  0.847 -1.420
2#tos#t3#t3011062/i  0.189 0.044  0.183 0.156  0.189 0.144  0.189 0.027  0.189 -0.091  0.189 -0.208  0.189 -0.326  0.189 -0.443  0.210 -0.556  0.245 -0.665  0.245 -0.783  0.245 -0.900  0.245 -1.018  0.245 -1.135  0.245 -1.253  0.245 -1.370  0.245 -1.488  0.184 -1.493  0.163 -1.378  0.142 -1.262  0.121 -1.147  0.100 -1.031  0.079 -0.915  0.058 -0.800  0.037 -0.684  0.016 -0.568  -0.005 -0.453  -0.026 -0.337  -0.047 -0.222  -0.068 -0.106  -0.089 0.010  -0.110 0.125  -0.131 0.241  -0.152 0.357  -0.173 0.472  -0.194 0.588  -0.215 0.704  -0.236 0.819  -0.257 0.935  -0.278 1.050  -0.299 1.166  -0.320 1.282  -0.341 1.397  -0.362 1.513  -0.370 1.630  -0.343 1.721  -0.249 1.665  -0.189 1.602  -0.087 1.546  -0.034 1.441
2#tos#t3#t3011062/j  0.238 1.467  0.238 1.574  0.157 1.593  0.238 1.567  0.312 1.509  0.335 1.425  0.360 1.347  0.355 1.240  0.349 1.133  0.343 1.026  0.338 0.920  0.332 0.813  0.326 0.706  0.322 0.650  0.322 0.660  0.322 0.553  0.345 0.451  0.364 0.349  0.364 0.242  0.364 0.135  0.364 0.028  0.364 -0.080  0.364 -0.187  0.364 -0.294  0.374 -0.397  0.406 -0.490  0.406 -0.597  0.364 -0.662  0.323 -0.744  0.280 -0.825  0.243 -0.905  0.140 -0.934  0.069 -0.970  -0.027 -0.988  -0.121 -1.019  -0.228 -1.019  -0.335 -1.019  -0.443 -1.019  -0.550 -1.019  -0.599 -0.940  -0.662 -0.892  -0.731 -0.854  -0.773 -0.764  -0.815 -0.699  -0.857 -0.610  -0.857 -0.503  -0.857 -0.396  -0.857 -0.289  -0.857 -0.182  -0.815 -0.092
2#tos#t3#t3011062/k  -0.464 1.872  -0.464 2.039  -0.464 1.818  -0.482 1.602  -0.561 1.405  -0.561 1.184  -0.561 0.962  -0.561 0.741  -0.561 0.520  -0.561 0.299  -0.561 0.078  -0.561 -0.143  -0.561 -0.365  -0.561 -0.586  -0.561 -0.807  -0.561 -1.028  -0.561 -1.249  -0.561 -1.290  -0.451 -1.111  -0.304 -0.945  -0.157 -0.780  -0.010 -0.615  0.136 -0.450  0.283 -0.284  0.430 -0.119  0.577 0.046  0.724 0.212  0.871 0.377  1.031 0.513  0.974 0.561  0.780 0.495  0.572 0.464  0.410 0.320  0.261 0.197  0.050 0.134  -0.129 0.024  -0.306 -0.109  -0.524 -0.118  -0.613 -0.206  -0.396 -0.163  -0.179 -0.120  0.021 -0.079  0.136 -0.233  0.281 -0.372  0.456 -0.505  0.640 -0.611  0.798 -0.760  0.960 -0.831  1.131 -0.943  1.283 -1.040
2#tos#t3#t3011062/o  0.310 0.788  0.157 0.836  -0.006 0.836  -0.169 0.835  -0.294 0.741  -0.429 0.671  -0.555 0.587  -0.629 0.441  -0.694 0.329  -0.790 0.262  -0.885 0.137  -0.920 -0.011  -0.979 -0.162  -0.980 -0.326  -0.980 -0.489  -1.028 -0.633  -1.028 -0.797  -0.963 -0.932  -0.851 -0.996  -0.698 -1.042  -0.539 -1.075  -0.376 -1.075  -0.212 -1.075  -0.051 -1.064  0.104 -1.027  0.250 -0.971  0.397 -0.902  0.508 -0.822  0.644 -0.765  0.769 -0.678  0.883 -0.604  0.897 -0.454  0.931 -0.324  1.026 -0.256  1.026 -0.093  1.026 0.071  1.026 0.234  0.965 0.372  0.866 0.502  0.776 0.597  0.740 0.725  0.593 0.742  0.446 0.816  0.383 0.932  0.220 0.932  0.071 0.917  -0.060 0.884  -0.223 0.884  -0.312 0.809  -0.359 0.693
2#tos#t3#t3011062/p  -0.270 1.106  -0.211 1.263  -0.211 1.086  -0.211 0.870  -0.211 0.655  -0.211 0.439  -0.211 0.223  -0.211 0.008  -0.211 -0.208  -0.211 -0.424  -0.211 -0.639  -0.211 -0.855  -0.211 -1.071  -0.211 -1.287  -0.270 -1.478  -0.270 -1.694  -0.270 -1.760  -0.278 -1.545  -0.293 -1.330  -0.308 -1.115  -0.324 -0.899  -0.339 -0.684  -0.355 -0.469  -0.370 -0.254  -0.385 -0.039  -0.401 0.176  -0.416 0.392  -0.431 0.607  -0.446 0.822  -0.446 1.038  -0.357 1.165  -0.156 1.224  0.060 1.224  0.276 1.224  0.441 1.129  0.600 0.994  0.805 0.929  0.907 0.815  0.991 0.652  1.083 0.471  1.083 0.255  0.966 0.088  0.853 -0.040  0.703 -0.143  0.510 -0.239  0.354 -0.388  0.186 -0.519  -0.019 -0.575  -0.230 -0.600  -0.446 -0.600
2#tos#t3#t3011062/r  -0.720 0.914  -0.720 1.030  -0.653 0.946  -0.605 0.823  -0.519 0.725  -0.519 0.573  -0.510 0.423  -0.453 0.282  -0.397 0.141  -0.385 -0.008  -0.385 -0.160  -0.385 -0.312  -0.385 -0.463  -0.346 -0.609  -0.318 -0.756  -0.312 -0.906  -0.251 -1.044  -0.251 -1.196  -0.251 -1.347  -0.251 -1.499  -0.251 -1.479  -0.251 -1.328  -0.251 -1.176  -0.375 -1.101  -0.385 -0.955  -0.385 -0.803  -0.385 -0.652  -0.385 -0.500  -0.339 -0.356  -0.310 -0.209  -0.251 -0.071  -0.213 0.043  -0.097 0.129  -0.050 0.261  -0.050 0.413  -0.050 0.565  0.088 0.579  0.240 0.579  0.359 0.656  0.443 0.782  0.560 0.847  0.712 0.847  0.863 0.847  1.015 0.847  1.100 0.780  1.252 0.780  1.370 0.700  1.458 0.579  1.546 0.458  1.626 0.378
2#tos#t3#t3011062/s  0.751 0.449  0.918 0.449  0.972 0.562  1.082 0.619  0.999 0.752  0.912 0.889  0.779 0.972  0.646 1.055  0.479 1.055  0.326 1.110  0.159 1.110  0.002 1.066  -0.130 1.022  -0.274 1.000  -0.295 0.854  -0.387 0.779  -0.460 0.685  -0.405 0.573  -0.308 0.504  -0.258 0.369  -0.118 0.280  0.035 0.223  0.148 0.167  0.201 0.009  0.359 -0.044  0.498 -0.091  0.586 -0.227  0.641 -0.339  0.751 -0.396  0.751 -0.563  0.751 -0.730  0.641 -0.828  0.525 -0.912  0.367 -0.964  0.203 -0.983  0.036 -0.983  -0.131 -0.983  -0.298 -0.983  -0.405 -0.891  -0.546 -0.826  -0.657 -0.763  -0.809 -0.714  -0.901 -0.596  -0.959 -0.487  -1.011 -0.373  -1.127 -0.322  -1.183 -0.436  -1.286 -0.539  -1.286 -0.706  -1.286 -0.873
2#tos#t3#t3011062/w  -1.505 0.430  -1.501 0.581  -1.405 0.522  -1.355 0.417  -1.317 0.274  -1.225 0.150  -1.135 0.025  -1.104 -0.120  -1.058 -0.264  -0.938 -0.352  -0.854 -0.478  -0.804 -0.621  -0.701 -0.669  -0.566 -0.622  -0.471 -0.508  -0.453 -0.358  -0.388 -0.226  -0.353 -0.077  -0.338 0.075  -0.283 0.219  -0.202 0.346  -0.202 0.501  -0.202 0.656  -0.148 0.673  -0.079 0.535  -0.010 0.397  -0.002 0.244  0.079 0.139  0.098 -0.004  0.098 -0.158  0.180 -0.285  0.256 -0.400  0.299 -0.528  0.392 -0.615  0.544 -0.622  0.598 -0.722  0.752 -0.720  0.839 -0.594  0.906 -0.465  1.033 -0.380  1.066 -0.240  1.100 -0.093  1.150 0.041  1.150 0.196  1.209 0.319  1.301 0.425  1.351 0.568  1.351 0.722  1.447 0.781  1.401 0.881
2#tos#t3#t3011062/z  -0.835 1.101  -0.806 1.101  -0.673 1.101  -0.540 1.101  -0.408 1.101  -0.275 1.101  -0.142 1.101  -0.010 1.101  0.123 1.101  0.256 1.101  0.388 1.101  0.521 1.101  0.654 1.101  0.714 1.000  0.665 0.920  0.663 0.790  0.614 0.707  0.553 0.635  0.458 0.597  0.458 0.464  0.405 0.348  0.355 0.230  0.252 0.152  0.200 0.048  0.130 -0.056  0.036 -0.150  -0.039 -0.257  -0.118 -0.362  -0.195 -0.451  -0.266 -0.513  -0.330 -0.619  -0.439 -0.677  -0.506 -0.762  -0.584 -0.821  -0.693 -0.879  -0.783 -0.944  -0.831 -1.020  -0.698 -1.020  -0.569 -1.013  -0.454 -0.969  -0.322 -0.969  -0.189 -0.969  -0.056 -0.969  0.076 -0.969  0.209 -0.969  0.342 -0.969  0.474 -0.969  0.607 -0.969  0.740 -0.969  0.872 -0.969
