1c#syn#syn0#zc/a  -0.597 1.747  -0.668 1.630  -0.669 1.500  -0.573 1.404  -0.459 1.326  -0.343 1.251  -0.232 1.169  -0.133 1.073  -0.035 0.976  0.048 0.865  0.131 0.755  0.203 0.637  0.270 0.516  0.333 0.393  0.389 0.266  0.440 0.138  0.485 0.007  0.521 -0.122  0.407 -0.099  0.281 -0.042  0.152 0.008  0.021 0.051  -0.113 0.088  -0.250 0.105  -0.385 0.094  -0.517 0.053  -0.638 -0.014  -0.743 -0.103  -0.838 -0.203  -0.913 -0.317  -0.941 -0.450  -0.885 -0.574  -0.785 -0.669  -0.668 -0.744  -0.541 -0.797  -0.410 -0.837  -0.273 -0.854  -0.135 -0.870  0.002 -0.878  0.140 -0.870  0.278 -0.854  0.415 -0.839  0.552 -0.824  0.687 -0.792  0.822 -0.764  0.959 -0.743  1.095 -0.723  1.232 -0.703  1.370 -0.690  1.507 -0.678
1c#syn#syn0#zc/b  0.144 1.872  0.142 1.910  0.081 1.809  0.019 1.710  -0.034 1.606  -0.081 1.498  -0.126 1.390  -0.161 1.278  -0.196 1.166  -0.225 1.052  -0.244 0.937  -0.264 0.821  -0.276 0.705  -0.285 0.588  -0.294 0.471  -0.302 0.354  -0.309 0.237  -0.318 0.120  -0.329 0.003  -0.339 -0.114  -0.350 -0.231  -0.362 -0.347  -0.376 -0.464  -0.319 -0.434  -0.233 -0.355  -0.143 -0.280  -0.037 -0.231  0.071 -0.185  0.185 -0.171  0.301 -0.179  0.410 -0.223  0.507 -0.287  0.598 -0.361  0.680 -0.444  0.738 -0.546  0.757 -0.661  0.715 -0.770  0.646 -0.865  0.555 -0.939  0.456 -0.999  0.349 -1.048  0.237 -1.081  0.123 -1.108  0.006 -1.118  -0.111 -1.122  -0.227 -1.106  -0.343 -1.089  -0.434 -1.022  -0.499 -0.924  -0.500 -0.819
1c#syn#syn0#zc/d  0.030 2.020  0.031 1.909  0.027 1.790  0.033 1.672  0.044 1.554  0.058 1.437  0.079 1.320  0.100 1.203  0.125 1.088  0.152 0.972  0.180 0.857  0.212 0.743  0.244 0.629  0.277 0.515  0.311 0.401  0.341 0.287  0.365 0.171  0.376 0.053  0.370 -0.064  0.326 -0.172  0.235 -0.244  0.122 -0.275  0.006 -0.297  -0.113 -0.301  -0.231 -0.303  -0.350 -0.305  -0.468 -0.311  -0.586 -0.318  -0.702 -0.342  -0.816 -0.374  -0.918 -0.431  -0.949 -0.540  -0.885 -0.638  -0.799 -0.719  -0.699 -0.783  -0.588 -0.822  -0.474 -0.853  -0.356 -0.864  -0.238 -0.873  -0.119 -0.869  -0.001 -0.864  0.117 -0.855  0.235 -0.845  0.353 -0.834  0.471 -0.822  0.588 -0.807  0.705 -0.785  0.817 -0.748  0.929 -0.709  1.033 -0.654
1c#syn#syn0#zc/e  -1.009 0.315  -0.864 0.231  -0.729 0.131  -0.610 0.015  -0.472 -0.063  -0.306 -0.077  -0.139 -0.060  0.018 -0.000  0.174 0.061  0.325 0.134  0.471 0.216  0.602 0.320  0.707 0.450  0.758 0.603  0.719 0.759  0.612 0.882  0.466 0.964  0.302 0.995  0.136 1.016  -0.028 0.979  -0.191 0.940  -0.354 0.901  -0.498 0.816  -0.623 0.705  -0.744 0.589  -0.866 0.472  -0.969 0.341  -1.037 0.188  -1.095 0.031  -1.134 -0.131  -1.090 -0.291  -1.022 -0.441  -0.890 -0.544  -0.745 -0.628  -0.595 -0.702  -0.433 -0.748  -0.271 -0.789  -0.104 -0.809  0.063 -0.825  0.231 -0.820  0.398 -0.811  0.565 -0.790  0.728 -0.753  0.886 -0.698  1.044 -0.641  1.202 -0.584  1.361 -0.529  1.522 -0.483  1.684 -0.438  1.846 -0.395
1c#syn#syn0#zc/h  -0.450 1.839  -0.472 1.740  -0.487 1.639  -0.502 1.539  -0.507 1.437  -0.513 1.335  -0.514 1.233  -0.506 1.132  -0.498 1.030  -0.490 0.929  -0.481 0.827  -0.473 0.725  -0.464 0.624  -0.454 0.522  -0.443 0.421  -0.432 0.320  -0.421 0.219  -0.410 0.117  -0.399 0.016  -0.389 -0.086  -0.379 -0.187  -0.365 -0.288  -0.349 -0.389  -0.334 -0.489  -0.313 -0.589  -0.291 -0.689  -0.256 -0.784  -0.193 -0.829  -0.142 -0.741  -0.092 -0.652  -0.042 -0.563  0.013 -0.477  0.069 -0.392  0.126 -0.308  0.205 -0.244  0.296 -0.211  0.393 -0.244  0.481 -0.293  0.558 -0.359  0.625 -0.436  0.682 -0.520  0.730 -0.610  0.769 -0.704  0.800 -0.801  0.829 -0.898  0.896 -0.965  0.997 -0.958  1.098 -0.959  1.198 -0.980  1.298 -0.999
1c#syn#syn0#zc/i  0.068 0.609  0.023 0.476  -0.019 0.343  -0.071 0.213  -0.133 0.087  -0.191 -0.039  -0.219 -0.176  -0.246 -0.314  -0.263 -0.452  -0.274 -0.592  -0.285 -0.731  -0.297 -0.871  -0.310 -1.010  -0.318 -1.150  -0.324 -1.289  -0.330 -1.429  -0.338 -1.569  -0.321 -1.667  -0.230 -1.560  -0.151 -1.446  -0.104 -1.313  -0.057 -1.182  -0.008 -1.051  0.010 -0.912  0.027 -0.773  0.044 -0.634  0.061 -0.495  0.079 -0.357  0.096 -0.218  0.113 -0.079  0.130 0.060  0.148 0.199  0.165 0.338  0.182 0.477  0.199 0.615  0.217 0.754  0.234 0.893  0.251 1.032  0.268 1.171  0.286 1.310  0.303 1.448  0.208 1.465  0.115 1.364  0.029 1.254  -0.050 1.140  -0.003 1.171  0.120 1.237  0.253 1.252  0.389 1.221  0.523 1.180
1c#syn#syn0#zc/j  0.271 0.538  0.195 0.450  0.133 0.315  0.099 0.172  0.095 0.023  0.102 -0.125  0.097 -0.273  0.083 -0.421  0.066 -0.568  0.016 -0.707  -0.045 -0.843  -0.111 -0.975  -0.206 -1.089  -0.313 -1.192  -0.425 -1.287  -0.559 -1.351  -0.697 -1.405  -0.842 -1.378  -0.964 -1.305  -0.940 -1.171  -0.856 -1.049  -0.772 -0.926  -0.688 -0.804  -0.604 -0.681  -0.520 -0.559  -0.436 -0.436  -0.353 -0.314  -0.269 -0.192  -0.185 -0.069  -0.101 0.053  -0.017 0.176  0.067 0.298  0.151 0.421  0.235 0.543  0.319 0.666  0.403 0.788  0.487 0.911  0.571 1.033  0.654 1.155  0.738 1.278  0.822 1.400  0.851 1.438  0.777 1.310  0.697 1.185  0.605 1.068  0.505 0.959  0.395 0.860  0.279 0.767  0.146 0.704  0.043 0.609
1c#syn#syn0#zc/m  -0.685 0.609  -0.688 0.548  -0.784 0.432  -0.874 0.311  -0.954 0.184  -1.025 0.051  -1.087 -0.086  -1.134 -0.229  -1.174 -0.374  -1.211 -0.521  -1.235 -0.669  -1.164 -0.554  -1.096 -0.419  -1.026 -0.286  -0.954 -0.154  -0.880 -0.022  -0.807 0.109  -0.734 0.241  -0.655 0.369  -0.574 0.496  -0.478 0.612  -0.346 0.668  -0.235 0.570  -0.151 0.445  -0.077 0.314  -0.011 0.178  0.045 0.038  0.098 -0.103  0.143 -0.246  0.186 -0.391  0.228 -0.535  0.297 -0.573  0.355 -0.434  0.411 -0.294  0.474 -0.157  0.540 -0.022  0.605 0.114  0.671 0.250  0.764 0.361  0.901 0.423  1.027 0.343  1.145 0.249  1.251 0.142  1.349 0.028  1.427 -0.101  1.500 -0.233  1.564 -0.369  1.606 -0.513  1.686 -0.464  1.768 -0.339
1c#syn#syn0#zc/n  -0.672 1.029  -0.780 0.951  -0.851 0.825  -0.900 0.689  -0.930 0.550  -0.935 0.406  -0.918 0.264  -0.885 0.123  -0.853 -0.018  -0.820 -0.158  -0.791 -0.300  -0.767 -0.442  -0.746 -0.585  -0.725 -0.727  -0.704 -0.870  -0.680 -1.013  -0.634 -0.967  -0.588 -0.830  -0.544 -0.692  -0.501 -0.555  -0.458 -0.417  -0.413 -0.280  -0.369 -0.142  -0.322 -0.006  -0.270 0.129  -0.218 0.263  -0.164 0.397  -0.106 0.530  -0.048 0.662  0.025 0.786  0.111 0.898  0.238 0.954  0.372 0.908  0.483 0.815  0.574 0.704  0.662 0.589  0.735 0.465  0.809 0.341  0.870 0.210  0.930 0.079  0.978 -0.057  1.021 -0.195  1.063 -0.333  1.096 -0.473  1.120 -0.616  1.144 -0.758  1.183 -0.897  1.287 -0.843  1.390 -0.744  1.501 -0.653
1c#syn#syn0#zc/p  -0.290 1.287  -0.324 1.117  -0.353 0.945  -0.364 0.772  -0.351 0.598  -0.337 0.425  -0.323 0.251  -0.307 0.078  -0.289 -0.095  -0.273 -0.268  -0.261 -0.442  -0.250 -0.615  -0.240 -0.789  -0.231 -0.963  -0.225 -1.137  -0.231 -1.311  -0.237 -1.484  -0.249 -1.658  -0.277 -1.828  -0.318 -1.688  -0.325 -1.515  -0.325 -1.341  -0.313 -1.167  -0.298 -0.994  -0.278 -0.821  -0.248 -0.650  -0.218 -0.478  -0.182 -0.308  -0.137 -0.140  -0.091 0.028  -0.042 0.194  0.020 0.357  0.082 0.520  0.144 0.682  0.211 0.843  0.301 0.991  0.417 1.121  0.536 1.246  0.699 1.302  0.859 1.244  0.968 1.115  0.942 0.945  0.861 0.792  0.745 0.662  0.613 0.550  0.473 0.446  0.320 0.365  0.162 0.293  -0.003 0.241  -0.164 0.281
1c#syn#syn0#zc/q  0.508 1.421  0.406 1.384  0.294 1.312  0.186 1.235  0.079 1.156  -0.029 1.078  -0.137 1.001  -0.243 0.920  -0.348 0.839  -0.454 0.758  -0.559 0.677  -0.654 0.584  -0.749 0.491  -0.836 0.391  -0.921 0.289  -0.993 0.177  -1.034 0.052  -0.949 -0.035  -0.817 -0.040  -0.686 -0.014  -0.563 0.035  -0.445 0.095  -0.334 0.168  -0.238 0.258  -0.148 0.357  -0.067 0.462  0.011 0.570  0.096 0.596  0.144 0.472  0.189 0.346  0.230 0.220  0.267 0.092  0.301 -0.036  0.334 -0.165  0.359 -0.295  0.385 -0.426  0.407 -0.557  0.426 -0.688  0.445 -0.820  0.457 -0.952  0.469 -1.085  0.473 -1.218  0.475 -1.351  0.471 -1.484  0.457 -1.616  0.516 -1.550  0.595 -1.442  0.665 -1.329  0.742 -1.221  0.820 -1.114
1c#syn#syn0#zc/r  -0.291 0.015  -0.274 -0.090  -0.257 -0.196  -0.248 -0.301  -0.261 -0.407  -0.279 -0.513  -0.301 -0.617  -0.323 -0.722  -0.346 -0.826  -0.368 -0.931  -0.394 -1.035  -0.423 -1.138  -0.451 -1.241  -0.473 -1.345  -0.461 -1.261  -0.479 -1.155  -0.504 -1.051  -0.524 -0.947  -0.537 -0.840  -0.548 -0.734  -0.542 -0.628  -0.536 -0.521  -0.525 -0.415  -0.504 -0.310  -0.484 -0.205  -0.459 -0.101  -0.417 -0.003  -0.375 0.095  -0.333 0.194  -0.275 0.283  -0.216 0.373  -0.157 0.462  -0.087 0.542  -0.014 0.620  0.059 0.698  0.150 0.755  0.240 0.812  0.330 0.869  0.422 0.924  0.521 0.965  0.626 0.983  0.731 1.001  0.837 1.018  0.943 1.029  1.050 1.033  1.157 1.037  1.262 1.035  1.360 0.991  1.449 0.934  1.530 0.865
1c#syn#syn0#zc/v  -1.098 0.790  -1.073 0.692  -1.048 0.594  -1.030 0.494  -1.016 0.394  -1.003 0.294  -0.989 0.194  -0.961 0.097  -0.926 0.002  -0.892 -0.093  -0.857 -0.188  -0.813 -0.279  -0.760 -0.365  -0.708 -0.452  -0.656 -0.538  -0.589 -0.614  -0.519 -0.686  -0.448 -0.759  -0.373 -0.826  -0.292 -0.887  -0.211 -0.948  -0.121 -0.994  -0.028 -1.020  0.072 -1.003  0.129 -0.921  0.172 -0.829  0.215 -0.738  0.258 -0.646  0.299 -0.554  0.338 -0.460  0.377 -0.367  0.416 -0.273  0.455 -0.180  0.495 -0.087  0.535 0.006  0.575 0.099  0.615 0.191  0.655 0.284  0.694 0.378  0.731 0.472  0.768 0.566  0.807 0.660  0.846 0.753  0.886 0.846  0.927 0.938  0.969 1.030  1.011 1.122  1.051 1.215  1.080 1.310  1.034 1.289
1c#syn#syn0#zc/z  -1.041 1.174  -1.065 1.050  -1.004 0.949  -0.878 0.951  -0.751 0.956  -0.625 0.965  -0.501 0.990  -0.374 1.003  -0.248 1.015  -0.122 1.026  0.005 1.038  0.132 1.040  0.257 1.024  0.381 0.998  0.505 0.972  0.587 0.885  0.629 0.765  0.575 0.652  0.513 0.541  0.441 0.436  0.369 0.332  0.291 0.232  0.211 0.133  0.131 0.034  0.048 -0.062  -0.037 -0.155  -0.123 -0.249  -0.208 -0.343  -0.292 -0.439  -0.375 -0.534  -0.458 -0.630  -0.540 -0.728  -0.620 -0.826  -0.697 -0.927  -0.639 -0.993  -0.512 -0.991  -0.385 -0.986  -0.258 -0.978  -0.131 -0.969  -0.005 -0.961  0.122 -0.950  0.247 -0.932  0.372 -0.910  0.497 -0.887  0.622 -0.864  0.743 -0.827  0.866 -0.796  0.990 -0.766  1.114 -0.738  1.239 -0.719
1c#syn#syn0#zc/e  -1.204 0.906  -1.219 0.768  -1.221 0.629  -1.158 0.523  -1.036 0.464  -0.899 0.441  -0.761 0.421  -0.623 0.402  -0.486 0.384  -0.348 0.366  -0.210 0.348  -0.072 0.333  0.066 0.319  0.205 0.307  0.344 0.303  0.369 0.404  0.268 0.498  0.159 0.585  0.031 0.636  -0.104 0.667  -0.240 0.689  -0.369 0.643  -0.489 0.573  -0.599 0.492  -0.682 0.381  -0.733 0.253  -0.762 0.118  -0.762 -0.020  -0.713 -0.148  -0.640 -0.265  -0.548 -0.369  -0.438 -0.453  -0.324 -0.532  -0.194 -0.582  -0.064 -0.632  0.072 -0.661  0.207 -0.691  0.345 -0.710  0.483 -0.724  0.622 -0.734  0.761 -0.734  0.899 -0.733  1.038 -0.721  1.176 -0.709  1.308 -0.666  1.440 -0.621  1.571 -0.576  1.705 -0.540  1.843 -0.523  1.982 -0.513
1c#syn#syn0#zc/f  1.263 1.055  1.231 1.195  1.141 1.302  1.003 1.335  0.860 1.347  0.716 1.348  0.572 1.341  0.430 1.313  0.295 1.264  0.169 1.196  0.052 1.111  -0.045 1.005  -0.140 0.896  -0.225 0.781  -0.285 0.650  -0.333 0.514  -0.381 0.378  -0.417 0.239  -0.435 0.096  -0.442 -0.048  -0.450 -0.192  -0.453 -0.336  -0.438 -0.479  -0.421 -0.622  -0.385 -0.762  -0.344 -0.900  -0.295 -1.036  -0.225 -1.162  -0.127 -1.266  0.010 -1.303  0.150 -1.288  0.250 -1.191  0.281 -1.050  0.310 -0.909  0.339 -0.768  0.367 -0.626  0.396 -0.485  0.425 -0.344  0.332 -0.318  0.197 -0.369  0.054 -0.388  -0.089 -0.402  -0.231 -0.373  -0.371 -0.339  -0.512 -0.310  -0.655 -0.288  -0.797 -0.268  -0.901 -0.204  -0.791 -0.144  -0.658 -0.196
1c#syn#syn0#zc/g  0.793 1.158  0.694 1.241  0.573 1.202  0.455 1.149  0.339 1.094  0.225 1.033  0.111 0.973  -0.003 0.914  -0.119 0.856  -0.234 0.798  -0.348 0.739  -0.462 0.679  -0.574 0.615  -0.684 0.549  -0.789 0.474  -0.876 0.381  -0.788 0.317  -0.660 0.307  -0.532 0.313  -0.405 0.335  -0.281 0.367  -0.158 0.405  -0.035 0.444  0.088 0.483  0.214 0.512  0.340 0.520  0.447 0.450  0.530 0.357  0.585 0.240  0.609 0.114  0.623 -0.014  0.623 -0.143  0.613 -0.271  0.590 -0.397  0.558 -0.521  0.510 -0.641  0.452 -0.756  0.380 -0.862  0.299 -0.961  0.204 -1.049  0.105 -1.131  -0.000 -1.205  -0.108 -1.276  -0.222 -1.334  -0.338 -1.391  -0.459 -1.436  -0.582 -1.471  -0.709 -1.484  -0.799 -1.402  -0.794 -1.275
1c#syn#syn0#zc/j  0.232 0.670  0.177 0.549  0.137 0.421  0.107 0.292  0.083 0.161  0.071 0.029  0.069 -0.104  0.068 -0.238  0.070 -0.371  0.071 -0.504  0.065 -0.637  0.059 -0.770  0.040 -0.902  0.019 -1.033  -0.015 -1.162  -0.066 -1.285  -0.138 -1.395  -0.231 -1.488  -0.362 -1.493  -0.438 -1.385  -0.512 -1.274  -0.588 -1.165  -0.648 -1.047  -0.643 -0.925  -0.586 -0.804  -0.529 -0.684  -0.472 -0.564  -0.414 -0.443  -0.357 -0.323  -0.300 -0.202  -0.243 -0.082  -0.186 0.038  -0.129 0.159  -0.072 0.279  -0.015 0.399  0.042 0.520  0.099 0.640  0.156 0.761  0.213 0.881  0.270 1.001  0.327 1.122  0.385 1.242  0.442 1.362  0.499 1.483  0.526 1.498  0.513 1.436  0.525 1.504  0.547 1.373  0.563 1.254  0.569 1.208
1c#syn#syn0#zc/k  -0.249 2.249  -0.313 2.054  -0.340 1.849  -0.354 1.643  -0.358 1.436  -0.361 1.229  -0.365 1.023  -0.370 0.816  -0.376 0.609  -0.387 0.403  -0.399 0.196  -0.418 -0.010  -0.441 -0.215  -0.469 -0.420  -0.497 -0.625  -0.527 -0.830  -0.565 -1.033  -0.595 -1.237  -0.454 -1.177  -0.309 -1.030  -0.178 -0.871  -0.050 -0.709  0.074 -0.543  0.199 -0.378  0.323 -0.212  0.447 -0.047  0.571 0.119  0.695 0.284  0.819 0.449  0.943 0.615  0.843 0.531  0.666 0.424  0.478 0.338  0.285 0.265  0.088 0.201  -0.111 0.145  -0.309 0.087  -0.499 0.005  -0.666 -0.112  -0.612 -0.273  -0.440 -0.386  -0.253 -0.475  -0.061 -0.552  0.132 -0.624  0.328 -0.691  0.521 -0.765  0.711 -0.848  0.894 -0.944  1.090 -0.979  1.223 -0.983
1c#syn#syn0#zc/l  -0.011 1.738  -0.045 1.673  -0.072 1.603  -0.097 1.533  -0.118 1.462  -0.140 1.391  -0.150 1.319  -0.144 1.245  -0.138 1.171  -0.132 1.097  -0.126 1.023  -0.119 0.949  -0.106 0.876  -0.093 0.802  -0.085 0.729  -0.078 0.655  -0.071 0.581  -0.064 0.507  -0.056 0.433  -0.049 0.359  -0.042 0.285  -0.035 0.211  -0.029 0.137  -0.022 0.063  -0.016 -0.011  -0.010 -0.085  -0.005 -0.160  0.000 -0.234  0.006 -0.308  0.011 -0.382  0.017 -0.456  0.022 -0.530  0.028 -0.604  0.035 -0.678  0.042 -0.752  0.049 -0.826  0.056 -0.900  0.063 -0.974  0.070 -1.048  0.077 -1.122  0.083 -1.196  0.085 -1.270  0.088 -1.345  0.083 -1.419  0.098 -1.405  0.139 -1.344  0.186 -1.286  0.223 -1.222  0.270 -1.165  0.322 -1.113
1c#syn#syn0#zc/o  -0.606 0.807  -0.461 0.872  -0.305 0.878  -0.157 0.827  0.002 0.827  0.162 0.822  0.320 0.810  0.474 0.772  0.629 0.735  0.779 0.685  0.894 0.583  0.978 0.447  1.061 0.311  1.105 0.163  1.081 0.010  1.027 -0.140  0.973 -0.290  0.918 -0.439  0.827 -0.568  0.714 -0.678  0.581 -0.765  0.448 -0.853  0.316 -0.941  0.183 -1.029  0.027 -1.061  -0.129 -1.094  -0.285 -1.115  -0.443 -1.098  -0.602 -1.081  -0.742 -1.011  -0.880 -0.930  -0.988 -0.817  -1.087 -0.692  -1.131 -0.542  -1.162 -0.386  -1.121 -0.234  -1.072 -0.082  -0.978 0.045  -0.878 0.168  -0.770 0.284  -0.635 0.367  -0.499 0.451  -0.364 0.534  -0.214 0.582  -0.058 0.615  0.097 0.649  0.254 0.663  0.413 0.655  0.572 0.646  0.731 0.637
1c#syn#syn0#zc/p  -0.244 0.893  -0.238 0.711  -0.251 0.528  -0.264 0.346  -0.277 0.164  -0.291 -0.018  -0.305 -0.201  -0.317 -0.383  -0.326 -0.566  -0.335 -0.748  -0.344 -0.931  -0.357 -1.113  -0.371 -1.295  -0.394 -1.476  -0.425 -1.656  -0.487 -1.811  -0.514 -1.633  -0.511 -1.451  -0.492 -1.269  -0.460 -1.090  -0.418 -0.912  -0.376 -0.734  -0.314 -0.562  -0.251 -0.390  -0.188 -0.219  -0.117 -0.050  -0.044 0.117  0.029 0.285  0.108 0.449  0.191 0.612  0.273 0.775  0.367 0.932  0.461 1.089  0.574 1.232  0.692 1.372  0.851 1.457  0.975 1.357  0.976 1.177  0.940 0.998  0.876 0.829  0.780 0.674  0.664 0.532  0.526 0.413  0.379 0.305  0.223 0.210  0.056 0.137  -0.122 0.096  -0.300 0.111  -0.347 0.284  -0.258 0.422
1c#syn#syn0#zc/q  0.317 1.431  0.393 1.405  0.287 1.292  0.166 1.193  0.043 1.098  -0.084 1.007  -0.210 0.916  -0.337 0.825  -0.461 0.731  -0.579 0.629  -0.695 0.526  -0.812 0.422  -0.917 0.308  -1.017 0.188  -1.100 0.056  -1.149 -0.090  -1.064 -0.211  -0.919 -0.261  -0.765 -0.273  -0.609 -0.260  -0.460 -0.219  -0.312 -0.170  -0.178 -0.091  -0.045 -0.009  0.074 0.092  0.185 0.200  0.280 0.323  0.366 0.453  0.444 0.587  0.506 0.730  0.512 0.773  0.477 0.621  0.451 0.467  0.431 0.313  0.411 0.158  0.398 0.003  0.390 -0.152  0.382 -0.308  0.382 -0.464  0.382 -0.620  0.386 -0.776  0.391 -0.931  0.398 -1.087  0.405 -1.243  0.409 -1.398  0.409 -1.554  0.413 -1.710  0.447 -1.762  0.540 -1.638  0.637 -1.515
1c#syn#syn0#zc/s  0.952 1.384  0.966 1.442  0.900 1.362  0.824 1.290  0.741 1.228  0.655 1.169  0.564 1.120  0.471 1.072  0.377 1.026  0.284 0.981  0.189 0.937  0.094 0.894  -0.001 0.851  -0.096 0.808  -0.188 0.760  -0.275 0.702  -0.361 0.644  -0.430 0.569  -0.456 0.468  -0.425 0.373  -0.371 0.284  -0.309 0.200  -0.241 0.121  -0.170 0.045  -0.099 -0.031  -0.025 -0.104  0.049 -0.178  0.124 -0.251  0.199 -0.323  0.270 -0.398  0.338 -0.477  0.396 -0.564  0.425 -0.660  0.398 -0.756  0.332 -0.834  0.248 -0.896  0.155 -0.942  0.060 -0.985  -0.039 -1.017  -0.140 -1.044  -0.241 -1.066  -0.345 -1.080  -0.448 -1.093  -0.551 -1.107  -0.655 -1.115  -0.755 -1.090  -0.855 -1.060  -0.890 -0.976  -0.859 -0.877  -0.786 -0.804
1c#syn#syn0#zc/t  -0.145 1.857  -0.183 1.703  -0.222 1.549  -0.269 1.398  -0.318 1.247  -0.368 1.096  -0.405 0.942  -0.438 0.787  -0.472 0.632  -0.502 0.476  -0.531 0.320  -0.560 0.164  -0.577 0.006  -0.593 -0.152  -0.597 -0.310  -0.593 -0.469  -0.578 -0.627  -0.541 -0.779  -0.468 -0.919  -0.352 -1.024  -0.212 -1.098  -0.063 -1.153  0.090 -1.189  0.248 -1.206  0.405 -1.184  0.561 -1.155  0.703 -1.184  0.688 -1.292  0.683 -1.133  0.679 -0.975  0.675 -0.816  0.671 -0.657  0.667 -0.499  0.663 -0.340  0.659 -0.181  0.655 -0.023  0.651 0.136  0.647 0.295  0.643 0.453  0.638 0.612  0.522 0.587  0.375 0.527  0.222 0.485  0.068 0.449  -0.090 0.433  -0.248 0.427  -0.407 0.429  -0.565 0.440  -0.712 0.500  -0.804 0.415
1c#syn#syn0#zc/x  -0.802 1.537  -0.856 1.353  -0.907 1.169  -0.890 0.980  -0.822 0.807  -0.707 0.654  -0.582 0.510  -0.453 0.368  -0.327 0.224  -0.202 0.079  -0.079 -0.068  0.038 -0.219  0.155 -0.370  0.265 -0.527  0.373 -0.686  0.472 -0.849  0.565 -1.016  0.649 -1.188  0.759 -1.279  0.808 -1.119  0.753 -0.935  0.741 -0.746  0.746 -0.555  0.752 -0.363  0.757 -0.172  0.762 0.020  0.767 0.211  0.773 0.402  0.778 0.594  0.783 0.785  0.789 0.976  0.764 1.132  0.611 1.035  0.495 0.883  0.388 0.724  0.272 0.573  0.147 0.427  0.012 0.292  -0.127 0.160  -0.269 0.032  -0.413 -0.094  -0.560 -0.217  -0.709 -0.336  -0.863 -0.451  -1.013 -0.570  -1.149 -0.704  -1.131 -0.804  -0.944 -0.804  -0.772 -0.887  -0.598 -0.966
1c#syn#syn0#zc/z  -0.770 1.082  -0.718 0.961  -0.603 0.923  -0.470 0.935  -0.337 0.948  -0.206 0.977  -0.076 1.006  0.056 1.031  0.187 1.054  0.319 1.077  0.451 1.095  0.584 1.110  0.718 1.105  0.821 1.051  0.775 0.931  0.699 0.821  0.613 0.719  0.526 0.618  0.435 0.520  0.343 0.423  0.252 0.325  0.157 0.231  0.062 0.137  -0.034 0.044  -0.129 -0.050  -0.227 -0.141  -0.326 -0.231  -0.424 -0.321  -0.523 -0.412  -0.621 -0.503  -0.719 -0.593  -0.816 -0.685  -0.913 -0.777  -1.004 -0.875  -0.879 -0.872  -0.746 -0.872  -0.612 -0.877  -0.479 -0.882  -0.345 -0.889  -0.212 -0.898  -0.078 -0.907  0.055 -0.919  0.188 -0.931  0.321 -0.939  0.455 -0.946  0.588 -0.939  0.720 -0.922  0.853 -0.906  0.986 -0.892  1.103 -0.949
