2#tos#f2#f2038066/%  0.712 1.521  0.557 1.522  0.505 1.285  0.423 1.046  0.320 0.811  0.159 0.610  0.084 0.365  -0.012 0.125  -0.194 -0.058  -0.323 -0.275  -0.335 -0.531  -0.483 -0.725  -0.570 -0.954  -0.632 -1.152  -0.609 -0.895  -0.586 -0.637  -0.562 -0.380  -0.539 -0.123  -0.515 0.134  -0.492 0.392  -0.570 0.472  -0.780 0.322  -0.989 0.212  -1.200 0.123  -1.307 0.305  -1.253 0.540  -1.100 0.735  -0.903 0.796  -0.644 0.796  -0.386 0.796  -0.323 0.557  -0.323 0.299  -0.406 0.123  -0.298 -0.016  -0.049 -0.085  0.200 -0.154  0.449 -0.224  0.698 -0.293  0.947 -0.362  1.196 -0.431  1.437 -0.506  1.226 -0.592  1.137 -0.807  0.935 -0.912  0.677 -0.912  0.671 -0.672  0.776 -0.440  1.024 -0.394  1.126 -0.550  1.126 -0.809
2#tos#f2#f2038066/i  -0.084 1.377  -0.156 1.329  -0.228 1.281  -0.312 1.276  -0.277 1.276  -0.190 1.276  -0.125 1.225  -0.041 1.211  0.041 1.183  0.119 1.149  0.191 1.102  0.265 1.073  0.274 0.992  0.278 0.906  0.282 0.820  0.286 0.734  0.290 0.648  0.293 0.562  0.297 0.476  0.301 0.390  0.305 0.304  0.309 0.217  0.313 0.131  0.317 0.045  0.321 -0.041  0.285 -0.092  0.199 -0.092  0.119 -0.117  0.042 -0.155  -0.034 -0.195  -0.071 -0.244  -0.084 -0.317  -0.084 -0.403  -0.084 -0.489  -0.084 -0.575  -0.084 -0.661  -0.106 -0.742  -0.135 -0.822  -0.135 -0.908  -0.135 -0.994  -0.135 -1.080  -0.169 -1.156  -0.217 -1.228  -0.236 -1.308  -0.253 -1.391  -0.287 -1.469  -0.287 -1.555  -0.317 -1.611  -0.388 -1.626  -0.388 -1.712
2#tos#f2#f2038066/j  0.131 1.595  0.049 1.595  -0.009 1.539  -0.035 1.468  -0.005 1.399  0.031 1.347  0.112 1.347  0.146 1.290  0.174 1.219  0.179 1.137  0.183 1.056  0.187 0.974  0.192 0.893  0.196 0.811  0.200 0.730  0.204 0.649  0.209 0.567  0.213 0.486  0.150 0.443  0.131 0.374  0.131 0.292  0.131 0.210  0.131 0.129  0.131 0.047  0.131 -0.034  0.131 -0.116  0.131 -0.198  0.131 -0.279  0.131 -0.361  0.131 -0.442  0.131 -0.524  0.131 -0.606  0.131 -0.687  0.118 -0.767  0.092 -0.844  0.066 -0.922  0.048 -1.000  0.032 -1.075  -0.026 -1.133  -0.103 -1.143  -0.148 -1.202  -0.215 -1.226  -0.297 -1.226  -0.378 -1.226  -0.450 -1.216  -0.495 -1.162  -0.561 -1.116  -0.616 -1.057  -0.659 -1.018  -0.741 -1.018
2#tos#f2#f2038066/k  -0.477 1.949  -0.404 2.064  -0.266 1.986  -0.248 1.803  -0.248 1.617  -0.248 1.430  -0.248 1.243  -0.248 1.057  -0.268 0.872  -0.305 0.689  -0.305 0.502  -0.340 0.320  -0.362 0.136  -0.382 -0.047  -0.452 -0.221  -0.514 -0.396  -0.540 -0.578  -0.643 -0.734  -0.648 -0.919  -0.648 -1.105  -0.684 -1.256  -0.589 -1.139  -0.457 -1.007  -0.325 -0.875  -0.193 -0.743  -0.061 -0.611  0.072 -0.479  0.204 -0.347  0.336 -0.215  0.468 -0.083  0.600 0.049  0.732 0.181  0.864 0.313  0.765 0.302  0.581 0.289  0.440 0.204  0.323 0.060  0.142 0.015  -0.036 -0.015  -0.183 -0.111  -0.183 -0.283  0.004 -0.283  0.107 -0.419  0.235 -0.518  0.416 -0.564  0.555 -0.684  0.671 -0.798  0.852 -0.811  1.012 -0.864  1.126 -0.970
2#tos#f2#f2038066/l  0.507 1.561  0.435 1.561  0.396 1.528  0.396 1.456  0.392 1.385  0.359 1.321  0.334 1.254  0.320 1.184  0.306 1.113  0.292 1.042  0.276 0.972  0.259 0.902  0.242 0.833  0.225 0.763  0.211 0.692  0.197 0.622  0.183 0.551  0.173 0.480  0.173 0.408  0.173 0.336  0.163 0.268  0.118 0.212  0.073 0.156  0.028 0.099  -0.017 0.043  -0.049 -0.017  -0.049 -0.089  -0.049 -0.161  -0.049 -0.233  -0.060 -0.303  -0.087 -0.370  -0.114 -0.436  -0.140 -0.503  -0.168 -0.569  -0.201 -0.634  -0.233 -0.698  -0.265 -0.762  -0.283 -0.832  -0.297 -0.902  -0.311 -0.973  -0.325 -1.043  -0.370 -1.097  -0.383 -1.164  -0.383 -1.236  -0.383 -1.308  -0.383 -1.380  -0.383 -1.452  -0.383 -1.523  -0.423 -1.556  -0.439 -1.500
2#tos#f2#f2038066/m  -1.356 0.208  -1.567 0.208  -1.427 0.360  -1.262 0.525  -1.100 0.642  -0.890 0.747  -0.668 0.785  -0.449 0.821  -0.485 0.672  -0.521 0.459  -0.574 0.241  -0.640 0.026  -0.728 -0.191  -0.855 -0.312  -0.918 -0.536  -0.966 -0.763  -1.022 -0.757  -0.911 -0.591  -0.793 -0.395  -0.656 -0.205  -0.509 -0.024  -0.336 0.128  -0.121 0.173  0.018 0.358  0.184 0.524  0.389 0.635  0.540 0.765  0.592 0.583  0.515 0.371  0.404 0.165  0.258 -0.015  0.203 -0.236  0.082 -0.423  0.036 -0.646  0.120 -0.514  0.258 -0.397  0.362 -0.197  0.498 -0.014  0.695 0.056  0.815 0.248  0.946 0.355  0.982 0.136  0.982 -0.099  0.982 -0.333  0.982 -0.568  1.149 -0.668  1.369 -0.682  1.600 -0.662  1.809 -0.558  1.984 -0.404
2#tos#f2#f2038066/n  -0.907 0.933  -0.968 0.776  -1.152 0.702  -1.303 0.627  -1.327 0.536  -1.141 0.566  -0.973 0.668  -0.799 0.762  -0.635 0.874  -0.525 1.036  -0.373 1.135  -0.267 1.263  -0.068 1.263  0.130 1.263  0.216 1.112  0.216 0.913  0.216 0.715  0.216 0.517  0.189 0.323  0.132 0.133  0.084 -0.060  0.084 -0.258  0.021 -0.446  -0.114 -0.590  -0.114 -0.788  -0.227 -0.926  -0.312 -1.079  -0.312 -1.084  -0.239 -0.903  -0.180 -0.719  -0.107 -0.543  -0.007 -0.372  0.063 -0.186  0.085 0.008  0.273 0.071  0.369 0.227  0.480 0.379  0.547 0.297  0.547 0.099  0.547 -0.100  0.498 -0.287  0.480 -0.481  0.480 -0.679  0.480 -0.878  0.500 -1.068  0.651 -1.181  0.850 -1.181  1.048 -1.181  1.240 -1.159  1.405 -1.049
2#tos#f2#f2038066/p  0.089 1.448  0.027 1.581  0.027 1.491  0.027 1.298  0.027 1.104  0.027 0.911  0.027 0.717  0.015 0.525  -0.023 0.335  -0.068 0.147  -0.095 -0.043  -0.095 -0.237  -0.167 -0.413  -0.243 -0.591  -0.295 -0.777  -0.333 -0.967  -0.341 -1.159  -0.341 -1.353  -0.341 -1.546  -0.381 -1.723  -0.462 -1.852  -0.434 -1.661  -0.406 -1.469  -0.378 -1.278  -0.350 -1.086  -0.322 -0.895  -0.294 -0.703  -0.266 -0.512  -0.238 -0.320  -0.210 -0.129  -0.182 0.063  -0.155 0.254  -0.127 0.446  -0.099 0.637  -0.071 0.828  -0.043 1.020  0.037 1.141  0.231 1.141  0.409 1.116  0.517 0.959  0.659 0.834  0.750 0.692  0.764 0.501  0.764 0.307  0.764 0.114  0.617 -0.001  0.518 -0.148  0.338 -0.209  0.158 -0.267  -0.034 -0.271
2#tos#f2#f2038066/q  -0.113 1.096  -0.113 0.903  -0.137 0.733  -0.001 0.737  0.162 0.815  0.292 0.931  0.354 1.068  0.354 1.262  0.354 1.455  0.217 1.511  0.031 1.480  -0.010 1.311  -0.141 1.172  -0.278 1.036  -0.378 0.873  -0.445 0.692  -0.533 0.521  -0.656 0.374  -0.684 0.187  -0.684 -0.006  -0.635 -0.150  -0.454 -0.202  -0.266 -0.166  -0.147 -0.028  -0.000 0.076  0.042 0.259  0.094 0.401  0.009 0.284  -0.018 0.101  -0.113 -0.052  -0.113 -0.246  -0.173 -0.425  -0.260 -0.598  -0.269 -0.789  -0.269 -0.982  -0.269 -1.176  -0.269 -1.369  -0.211 -1.509  -0.096 -1.655  0.097 -1.655  0.262 -1.571  0.391 -1.433  0.484 -1.266  0.559 -1.088  0.598 -0.899  0.686 -0.762  0.717 -0.574  0.717 -0.381  0.703 -0.202  0.613 -0.098
2#tos#f2#f2038066/s  0.719 0.942  0.719 0.949  0.719 1.088  0.699 1.208  0.559 1.208  0.419 1.208  0.279 1.208  0.151 1.157  0.043 1.071  -0.089 1.027  -0.217 0.972  -0.329 0.891  -0.462 0.875  -0.562 0.820  -0.607 0.687  -0.610 0.548  -0.513 0.482  -0.418 0.410  -0.317 0.316  -0.194 0.277  -0.057 0.266  0.069 0.203  0.194 0.144  0.334 0.144  0.465 0.105  0.598 0.078  0.719 0.059  0.719 -0.081  0.763 -0.210  0.786 -0.345  0.786 -0.485  0.712 -0.594  0.613 -0.693  0.488 -0.745  0.352 -0.779  0.273 -0.882  0.226 -1.000  0.098 -1.053  -0.042 -1.053  -0.181 -1.053  -0.321 -1.053  -0.461 -1.053  -0.601 -1.053  -0.741 -1.053  -0.877 -1.030  -1.009 -0.986  -1.076 -0.913  -1.062 -0.787  -0.948 -0.725  -0.810 -0.720
2#tos#f2#f2038066/t  -0.675 0.669  -0.752 0.558  -0.896 0.515  -0.815 0.515  -0.664 0.515  -0.513 0.515  -0.362 0.515  -0.211 0.515  -0.061 0.515  0.090 0.515  0.241 0.515  0.392 0.515  0.543 0.515  0.649 0.550  0.612 0.697  0.576 0.843  0.539 0.990  0.502 1.136  0.466 1.282  0.356 1.335  0.256 1.284  0.248 1.142  0.231 0.995  0.164 0.860  0.096 0.725  0.048 0.582  -0.017 0.446  -0.085 0.311  -0.152 0.176  -0.193 0.031  -0.249 -0.107  -0.326 -0.237  -0.367 -0.376  -0.367 -0.527  -0.367 -0.678  -0.367 -0.829  -0.367 -0.980  -0.367 -1.131  -0.365 -1.281  -0.316 -1.421  -0.197 -1.465  -0.089 -1.534  0.062 -1.534  0.197 -1.479  0.198 -1.329  0.341 -1.281  0.429 -1.160  0.537 -1.062  0.658 -0.998  0.709 -0.868
2#tos#f2#f2038066/u  -0.420 1.351  -0.539 1.273  -0.653 1.236  -0.672 1.090  -0.756 0.964  -0.808 0.828  -0.866 0.691  -0.912 0.547  -0.949 0.400  -0.963 0.251  -0.963 0.099  -0.963 -0.052  -0.963 -0.203  -0.963 -0.355  -0.963 -0.506  -0.963 -0.657  -0.918 -0.801  -0.851 -0.933  -0.718 -0.977  -0.566 -0.977  -0.415 -0.977  -0.287 -0.921  -0.164 -0.832  -0.039 -0.748  0.069 -0.642  0.157 -0.521  0.238 -0.396  0.345 -0.289  0.417 -0.156  0.514 -0.042  0.589 0.079  0.642 0.217  0.666 0.363  0.666 0.514  0.742 0.625  0.868 0.709  0.899 0.844  0.899 0.776  0.899 0.624  0.899 0.473  0.899 0.322  0.832 0.198  0.744 0.083  0.744 -0.068  0.744 -0.220  0.744 -0.371  0.744 -0.522  0.744 -0.674  0.748 -0.821  0.821 -0.899
2#tos#f2#f2038066/v  -1.012 1.052  -1.131 1.052  -1.171 1.130  -1.145 1.184  -1.066 1.097  -0.995 1.002  -0.924 0.907  -0.854 0.812  -0.815 0.722  -0.703 0.684  -0.615 0.629  -0.615 0.510  -0.615 0.392  -0.562 0.302  -0.464 0.237  -0.377 0.165  -0.377 0.046  -0.312 -0.045  -0.298 -0.158  -0.298 -0.276  -0.255 -0.384  -0.198 -0.488  -0.132 -0.586  -0.066 -0.685  -0.060 -0.801  -0.060 -0.919  -0.042 -1.030  0.042 -1.114  0.137 -1.171  0.178 -1.094  0.178 -0.976  0.178 -0.857  0.289 -0.825  0.404 -0.797  0.513 -0.757  0.596 -0.673  0.655 -0.579  0.655 -0.461  0.691 -0.348  0.728 -0.236  0.789 -0.135  0.855 -0.037  0.915 0.065  0.968 0.171  0.972 0.288  0.972 0.406  1.048 0.493  1.131 0.577  1.131 0.696  1.131 0.814
2#tos#f2#f2038066/w  -1.072 0.886  -1.205 0.816  -1.143 0.691  -1.143 0.530  -1.143 0.368  -1.143 0.207  -1.143 0.045  -1.143 -0.116  -1.143 -0.277  -1.122 -0.435  -1.072 -0.589  -1.072 -0.750  -0.957 -0.796  -0.795 -0.796  -0.669 -0.725  -0.572 -0.596  -0.469 -0.472  -0.359 -0.355  -0.269 -0.221  -0.190 -0.081  -0.118 0.063  -0.092 0.219  -0.053 0.364  0.056 0.481  0.118 0.628  0.118 0.790  0.188 0.750  0.188 0.589  0.188 0.427  0.188 0.266  0.188 0.105  0.234 -0.046  0.258 -0.201  0.299 -0.356  0.328 -0.513  0.400 -0.657  0.533 -0.725  0.624 -0.650  0.777 -0.599  0.901 -0.503  0.968 -0.371  1.099 -0.290  1.099 -0.129  1.178 0.002  1.229 0.155  1.239 0.315  1.346 0.432  1.379 0.579  1.440 0.726  1.519 0.816
2#tos#f2#f2038066/z  -0.736 1.414  -0.805 1.265  -0.643 1.208  -0.424 1.208  -0.222 1.277  -0.004 1.277  0.199 1.315  0.405 1.345  0.624 1.345  0.711 1.215  0.591 1.037  0.574 0.822  0.513 0.614  0.314 0.588  0.197 0.457  0.130 0.251  -0.019 0.100  -0.140 -0.064  -0.216 -0.260  -0.398 -0.381  -0.546 -0.516  -0.601 -0.728  -0.717 -0.910  -0.872 -1.064  -0.864 -1.273  -0.646 -1.273  -0.427 -1.273  -0.208 -1.273  0.010 -1.273  0.229 -1.273  0.447 -1.273  0.666 -1.273  0.632 -1.119  0.531 -0.926  0.430 -0.732  0.329 -0.538  0.228 -0.344  0.127 -0.150  0.027 0.044  -0.074 0.238  -0.175 0.432  -0.289 0.285  -0.464 0.154  -0.420 0.036  -0.202 0.036  0.017 0.036  0.235 0.036  0.454 0.036  0.644 -0.057  0.849 -0.102
