2#tos#f1#f1052063/#  -0.834 0.259  -1.137 0.046  -0.886 -0.079  -0.487 0.072  -0.064 0.189  0.239 0.328  0.681 0.328  1.048 0.485  0.792 0.415  0.438 0.150  0.085 -0.116  -0.269 -0.381  -0.623 -0.646  -0.973 -0.800  -0.737 -0.830  -0.428 -0.578  0.014 -0.578  0.434 -0.495  0.853 -0.438  1.033 -0.247  0.778 0.114  0.524 0.476  0.269 0.838  0.015 1.199  -0.206 1.571  -0.485 1.431  -0.485 0.989  -0.485 0.547  -0.485 0.105  -0.479 -0.337  -0.415 -0.774  -0.415 -1.216  -0.415 -1.658  -0.323 -1.775  -0.245 -1.340  -0.166 -0.905  -0.088 -0.470  -0.010 -0.035  0.069 0.401  0.147 0.836  0.225 1.271  0.226 1.653  0.282 1.515  0.393 1.094  0.421 0.657  0.421 0.215  0.421 -0.227  0.421 -0.669  0.421 -1.111  0.491 -1.484
2#tos#f1#f1052063/L  -0.351 1.641  -0.432 1.634  -0.468 1.558  -0.460 1.476  -0.429 1.403  -0.429 1.318  -0.429 1.233  -0.409 1.151  -0.390 1.069  -0.390 0.984  -0.384 0.899  -0.370 0.815  -0.356 0.731  -0.351 0.646  -0.351 0.561  -0.351 0.476  -0.351 0.390  -0.351 0.305  -0.351 0.220  -0.351 0.135  -0.351 0.049  -0.351 -0.036  -0.351 -0.121  -0.351 -0.206  -0.351 -0.291  -0.323 -0.370  -0.312 -0.453  -0.312 -0.538  -0.312 -0.623  -0.273 -0.692  -0.240 -0.745  -0.155 -0.745  -0.070 -0.745  0.015 -0.745  0.101 -0.745  0.186 -0.745  0.271 -0.745  0.356 -0.745  0.441 -0.745  0.527 -0.745  0.612 -0.745  0.697 -0.745  0.782 -0.745  0.867 -0.745  0.953 -0.745  1.027 -0.763  1.057 -0.841  1.121 -0.862  1.206 -0.862  1.291 -0.862
2#tos#f1#f1052063/N  -0.589 1.486  -0.675 1.350  -0.675 1.128  -0.675 0.906  -0.675 0.685  -0.675 0.463  -0.640 0.245  -0.632 0.024  -0.548 -0.178  -0.546 -0.400  -0.546 -0.621  -0.463 -0.818  -0.440 -1.034  -0.377 -1.244  -0.386 -1.204  -0.403 -0.983  -0.420 -0.762  -0.437 -0.541  -0.454 -0.320  -0.471 -0.099  -0.488 0.122  -0.505 0.343  -0.522 0.564  -0.539 0.786  -0.666 0.888  -0.595 0.912  -0.412 0.787  -0.274 0.616  -0.142 0.444  -0.076 0.244  0.007 0.050  0.174 -0.091  0.240 -0.301  0.359 -0.488  0.498 -0.658  0.575 -0.853  0.707 -1.017  0.863 -1.121  0.949 -1.157  0.949 -0.935  0.949 -0.713  0.949 -0.491  0.949 -0.270  0.949 -0.048  0.949 0.174  0.949 0.396  0.949 0.617  0.949 0.839  0.988 1.051  1.035 1.230
2#tos#f1#f1052063/O  0.531 0.924  0.392 0.924  0.252 0.924  0.185 0.996  0.113 1.097  -0.027 1.097  -0.167 1.097  -0.307 1.097  -0.447 1.097  -0.551 1.012  -0.650 0.913  -0.682 0.786  -0.682 0.647  -0.762 0.540  -0.769 0.403  -0.769 0.263  -0.769 0.123  -0.769 -0.016  -0.769 -0.156  -0.769 -0.296  -0.750 -0.433  -0.726 -0.568  -0.726 -0.708  -0.622 -0.793  -0.561 -0.913  -0.474 -1.019  -0.399 -1.114  -0.259 -1.114  -0.132 -1.144  -0.016 -1.200  0.124 -1.200  0.256 -1.165  0.381 -1.102  0.506 -1.040  0.624 -0.971  0.687 -0.846  0.705 -0.710  0.705 -0.570  0.789 -0.466  0.791 -0.327  0.791 -0.187  0.791 -0.047  0.791 0.093  0.766 0.225  0.692 0.343  0.644 0.473  0.618 0.610  0.588 0.737  0.474 0.803  0.358 0.880
2#tos#f1#f1052063/P  -0.367 1.261  -0.504 1.359  -0.563 1.211  -0.555 1.009  -0.465 0.840  -0.453 0.635  -0.423 0.431  -0.416 0.226  -0.416 0.020  -0.397 -0.183  -0.367 -0.386  -0.353 -0.589  -0.288 -0.785  -0.270 -0.987  -0.235 -1.188  -0.221 -1.391  -0.171 -1.577  -0.075 -1.715  -0.106 -1.511  -0.136 -1.308  -0.167 -1.104  -0.198 -0.901  -0.229 -0.697  -0.259 -0.494  -0.290 -0.290  -0.321 -0.086  -0.352 0.117  -0.382 0.321  -0.413 0.524  -0.444 0.728  -0.403 0.870  -0.231 0.972  -0.047 1.058  0.158 1.065  0.364 1.065  0.570 1.065  0.771 1.025  0.958 0.941  1.050 0.782  1.050 0.576  1.050 0.370  1.001 0.184  0.936 -0.011  0.857 -0.201  0.660 -0.254  0.567 -0.437  0.375 -0.496  0.230 -0.596  0.048 -0.678  -0.123 -0.792
2#tos#f1#f1052063/Q  0.265 -0.588  0.129 -0.686  0.006 -0.847  -0.208 -0.848  -0.406 -0.815  -0.556 -0.671  -0.680 -0.512  -0.769 -0.318  -0.870 -0.134  -0.935 0.060  -0.935 0.275  -0.935 0.489  -0.860 0.679  -0.799 0.882  -0.753 1.086  -0.641 1.261  -0.449 1.357  -0.307 1.463  -0.110 1.520  0.105 1.519  0.311 1.460  0.436 1.302  0.596 1.186  0.626 0.974  0.668 0.765  0.686 0.553  0.690 0.339  0.719 0.128  0.714 -0.085  0.648 -0.290  0.548 -0.456  0.448 -0.632  0.300 -0.778  0.108 -0.855  -0.099 -0.880  -0.254 -0.821  -0.417 -0.750  -0.584 -0.653  -0.676 -0.492  -0.544 -0.353  -0.366 -0.246  -0.158 -0.232  0.057 -0.232  0.263 -0.255  0.443 -0.370  0.597 -0.501  0.737 -0.621  0.881 -0.718  1.064 -0.811  1.270 -0.848
2#tos#f1#f1052063/R  -0.386 1.268  -0.560 1.384  -0.579 1.149  -0.579 0.893  -0.579 0.637  -0.568 0.384  -0.502 0.139  -0.483 -0.114  -0.425 -0.362  -0.425 -0.617  -0.384 -0.868  -0.348 -1.119  -0.337 -1.370  -0.317 -1.260  -0.329 -1.005  -0.340 -0.750  -0.352 -0.494  -0.363 -0.239  -0.375 0.016  -0.387 0.272  -0.398 0.527  -0.410 0.782  -0.421 1.038  -0.329 1.230  -0.080 1.268  0.176 1.268  0.423 1.231  0.667 1.181  0.848 1.000  0.928 0.793  0.895 0.546  0.773 0.354  0.582 0.189  0.379 0.063  0.169 -0.077  -0.067 -0.148  -0.297 -0.227  -0.501 -0.353  -0.598 -0.380  -0.349 -0.322  -0.100 -0.265  0.149 -0.208  0.357 -0.209  0.476 -0.418  0.598 -0.641  0.773 -0.772  0.861 -1.003  0.958 -1.230  1.075 -1.453  1.082 -1.708
2#tos#f1#f1052063/T  -0.871 0.605  -0.952 0.511  -1.078 0.469  -1.207 0.444  -1.340 0.444  -1.236 0.444  -1.103 0.444  -0.971 0.444  -0.843 0.472  -0.720 0.521  -0.588 0.525  -0.455 0.525  -0.322 0.525  -0.189 0.525  -0.056 0.525  0.077 0.525  0.209 0.525  0.328 0.573  0.451 0.605  0.584 0.605  0.716 0.605  0.849 0.605  0.982 0.605  1.009 0.594  0.879 0.566  0.750 0.538  0.620 0.509  0.490 0.481  0.360 0.453  0.230 0.425  0.104 0.388  0.015 0.326  0.027 0.194  0.060 0.066  0.095 -0.061  0.095 -0.194  0.095 -0.327  0.119 -0.457  0.135 -0.588  0.135 -0.721  0.135 -0.853  0.173 -0.979  0.220 -1.103  0.253 -1.232  0.256 -1.364  0.291 -1.483  0.296 -1.613  0.296 -1.746  0.296 -1.879  0.296 -2.012
2#tos#f1#f1052063/W  -1.247 1.238  -1.220 1.130  -1.138 0.948  -1.104 0.742  -1.022 0.552  -0.958 0.358  -0.870 0.176  -0.825 -0.027  -0.766 -0.226  -0.739 -0.431  -0.675 -0.627  -0.556 -0.795  -0.492 -0.990  -0.419 -1.118  -0.407 -0.949  -0.359 -0.748  -0.304 -0.550  -0.285 -0.345  -0.232 -0.147  -0.232 0.061  -0.232 0.269  -0.203 0.475  -0.195 0.682  -0.159 0.854  -0.159 1.062  -0.050 0.975  -0.010 0.774  0.022 0.572  0.065 0.377  0.120 0.180  0.182 -0.017  0.207 -0.222  0.312 -0.395  0.333 -0.600  0.419 -0.785  0.493 -0.972  0.555 -1.118  0.639 -1.183  0.747 -1.033  0.769 -0.831  0.843 -0.640  0.884 -0.436  0.919 -0.231  0.953 -0.026  0.992 0.179  1.001 0.386  1.070 0.578  1.074 0.786  1.110 0.958  1.146 1.130
2#tos#f1#f1052063/X  0.825 1.233  0.894 1.351  0.884 1.345  0.728 1.250  0.611 1.104  0.520 0.940  0.507 0.755  0.438 0.581  0.337 0.423  0.211 0.290  0.068 0.179  0.016 -0.001  -0.087 -0.151  -0.204 -0.297  -0.302 -0.457  -0.406 -0.613  -0.461 -0.786  -0.549 -0.951  -0.650 -1.108  -0.712 -1.281  -0.746 -1.147  -0.739 -0.959  -0.733 -0.772  -0.726 -0.584  -0.719 -0.397  -0.713 -0.209  -0.706 -0.021  -0.699 0.166  -0.692 0.354  -0.686 0.542  -0.679 0.729  -0.672 0.917  -0.712 0.928  -0.574 0.879  -0.424 0.788  -0.274 0.676  -0.162 0.526  -0.029 0.393  0.093 0.253  0.198 0.104  0.354 0.004  0.411 -0.172  0.525 -0.322  0.642 -0.469  0.703 -0.643  0.826 -0.781  0.886 -0.955  1.011 -1.095  1.149 -1.209  1.219 -1.327
2#tos#f1#f1052063/Y  -1.581 0.802  -1.442 0.746  -1.296 0.694  -1.200 0.571  -1.066 0.508  -0.929 0.434  -0.805 0.336  -0.741 0.204  -0.652 0.109  -0.546 0.001  -0.428 -0.094  -0.274 -0.126  -0.210 -0.222  -0.096 -0.297  0.019 -0.203  0.129 -0.089  0.240 0.025  0.350 0.139  0.460 0.253  0.570 0.367  0.680 0.481  0.790 0.595  0.901 0.709  1.011 0.823  1.121 0.937  1.177 0.996  1.052 0.903  0.939 0.848  0.825 0.750  0.723 0.630  0.608 0.522  0.483 0.427  0.391 0.299  0.279 0.186  0.156 0.088  0.032 -0.009  -0.102 -0.094  -0.244 -0.165  -0.255 -0.254  -0.255 -0.413  -0.210 -0.561  -0.176 -0.709  -0.122 -0.851  -0.122 -1.009  -0.111 -1.165  -0.057 -1.313  -0.034 -1.469  -0.002 -1.624  0.011 -1.780  0.011 -1.939
2#tos#f1#f1052063/c  1.477 0.762  1.370 0.762  1.263 0.762  1.156 0.762  1.049 0.762  0.942 0.762  0.835 0.762  0.728 0.762  0.621 0.762  0.514 0.762  0.407 0.762  0.300 0.762  0.193 0.762  0.086 0.762  -0.012 0.723  -0.111 0.684  -0.216 0.663  -0.321 0.643  -0.426 0.622  -0.522 0.574  -0.614 0.520  -0.703 0.461  -0.781 0.396  -0.781 0.288  -0.842 0.207  -0.918 0.131  -0.922 0.026  -0.922 -0.081  -0.922 -0.188  -0.890 -0.288  -0.843 -0.384  -0.795 -0.479  -0.776 -0.580  -0.681 -0.628  -0.578 -0.649  -0.486 -0.673  -0.438 -0.769  -0.350 -0.821  -0.251 -0.861  -0.152 -0.900  -0.051 -0.931  0.056 -0.931  0.163 -0.931  0.271 -0.931  0.378 -0.931  0.485 -0.931  0.592 -0.931  0.699 -0.931  0.806 -0.931  0.913 -0.931
2#tos#f1#f1052063/g  0.723 0.960  0.593 1.061  0.455 1.139  0.332 1.249  0.186 1.312  0.038 1.357  -0.128 1.357  -0.284 1.316  -0.386 1.205  -0.478 1.082  -0.512 0.930  -0.512 0.764  -0.508 0.599  -0.405 0.476  -0.271 0.386  -0.105 0.386  0.048 0.417  0.105 0.560  0.245 0.629  0.282 0.789  0.355 0.916  0.370 0.765  0.370 0.599  0.370 0.433  0.370 0.267  0.349 0.103  0.304 -0.055  0.282 -0.216  0.282 -0.382  0.282 -0.548  0.282 -0.714  0.282 -0.880  0.213 -1.030  0.139 -1.178  0.041 -1.310  -0.060 -1.422  -0.182 -1.466  -0.304 -1.510  -0.470 -1.510  -0.600 -1.438  -0.600 -1.272  -0.577 -1.111  -0.519 -0.957  -0.412 -0.856  -0.334 -0.714  -0.203 -0.628  -0.093 -0.533  0.067 -0.496  0.208 -0.423  0.370 -0.408
2#tos#f1#f1052063/h  -0.298 1.826  -0.458 1.826  -0.520 1.818  -0.495 1.662  -0.476 1.506  -0.437 1.352  -0.431 1.193  -0.409 1.036  -0.365 0.883  -0.342 0.726  -0.328 0.568  -0.290 0.413  -0.253 0.258  -0.253 0.098  -0.253 -0.062  -0.253 -0.222  -0.253 -0.382  -0.243 -0.540  -0.212 -0.697  -0.203 -0.855  -0.164 -1.006  -0.147 -1.163  -0.120 -1.319  -0.164 -1.207  -0.217 -1.064  -0.342 -0.994  -0.360 -0.837  -0.387 -0.681  -0.387 -0.522  -0.431 -0.372  -0.431 -0.212  -0.431 -0.053  -0.328 0.009  -0.209 0.105  -0.080 0.135  0.011 0.265  0.168 0.269  0.328 0.269  0.488 0.269  0.642 0.244  0.774 0.172  0.884 0.091  0.904 -0.049  0.928 -0.205  0.948 -0.362  0.948 -0.522  0.973 -0.678  0.993 -0.836  0.993 -0.996  0.993 -1.155
2#tos#f1#f1052063/k  -0.642 2.260  -0.581 2.073  -0.532 1.878  -0.476 1.687  -0.476 1.486  -0.476 1.286  -0.476 1.085  -0.464 0.886  -0.421 0.691  -0.421 0.491  -0.421 0.290  -0.421 0.089  -0.421 -0.111  -0.421 -0.312  -0.421 -0.512  -0.421 -0.713  -0.421 -0.913  -0.358 -1.051  -0.310 -1.204  -0.203 -1.063  -0.088 -0.899  0.026 -0.734  0.141 -0.570  0.256 -0.405  0.370 -0.240  0.485 -0.076  0.600 0.089  0.714 0.253  0.829 0.418  0.944 0.582  0.793 0.596  0.750 0.439  0.558 0.404  0.408 0.274  0.322 0.134  0.138 0.056  -0.029 -0.054  -0.200 -0.150  -0.342 -0.224  -0.487 -0.279  -0.444 -0.375  -0.306 -0.500  -0.110 -0.517  0.048 -0.637  0.210 -0.754  0.389 -0.812  0.462 -0.982  0.626 -1.051  0.817 -1.091  0.904 -1.217
2#tos#f1#f1052063/l  -0.112 1.526  -0.182 1.526  -0.246 1.526  -0.204 1.498  -0.180 1.432  -0.154 1.367  -0.143 1.298  -0.131 1.228  -0.120 1.158  -0.104 1.089  -0.082 1.022  -0.066 0.954  -0.066 0.884  -0.066 0.813  -0.059 0.743  -0.049 0.673  -0.039 0.603  -0.029 0.533  -0.019 0.463  -0.005 0.394  0.009 0.325  0.023 0.255  0.026 0.185  0.026 0.114  0.026 0.044  0.026 -0.027  0.026 -0.098  0.026 -0.168  0.026 -0.239  0.026 -0.310  0.026 -0.380  0.026 -0.451  0.026 -0.522  0.026 -0.592  0.031 -0.662  0.045 -0.732  0.059 -0.801  0.073 -0.870  0.087 -0.940  0.101 -1.009  0.115 -1.078  0.118 -1.148  0.118 -1.219  0.118 -1.290  0.118 -1.360  0.118 -1.431  0.118 -1.502  0.118 -1.572  0.159 -1.603  0.210 -1.649
2#tos#f1#f1052063/m  -1.006 0.985  -1.006 0.900  -1.006 0.705  -1.006 0.510  -0.951 0.369  -0.951 0.174  -0.951 -0.021  -0.951 -0.217  -0.951 -0.412  -0.924 -0.599  -0.841 -0.770  -0.841 -0.965  -0.785 -1.006  -0.785 -0.811  -0.785 -0.615  -0.710 -0.466  -0.675 -0.293  -0.675 -0.097  -0.628 0.087  -0.565 0.268  -0.457 0.430  -0.358 0.585  -0.229 0.646  -0.099 0.532  -0.013 0.390  0.039 0.216  0.097 0.045  0.097 -0.150  0.097 -0.346  0.097 -0.541  0.047 -0.549  0.097 -0.365  0.160 -0.189  0.208 -0.008  0.324 0.125  0.398 0.277  0.560 0.366  0.660 0.533  0.765 0.654  0.960 0.654  1.156 0.654  1.201 0.504  1.250 0.329  1.409 0.219  1.421 0.032  1.421 -0.164  1.421 -0.359  1.421 -0.554  1.421 -0.750  1.421 -0.945
2#tos#f1#f1052063/o  0.458 1.028  0.313 1.028  0.168 1.028  0.023 1.028  -0.122 1.028  -0.267 1.028  -0.354 0.971  -0.489 0.961  -0.591 0.892  -0.687 0.794  -0.760 0.694  -0.762 0.550  -0.807 0.412  -0.909 0.352  -0.963 0.261  -0.963 0.116  -0.963 -0.029  -0.963 -0.173  -0.905 -0.305  -0.895 -0.447  -0.853 -0.585  -0.783 -0.707  -0.676 -0.798  -0.558 -0.864  -0.450 -0.959  -0.330 -1.040  -0.193 -1.069  -0.049 -1.069  0.096 -1.069  0.241 -1.069  0.386 -1.069  0.516 -1.006  0.620 -0.906  0.723 -0.804  0.825 -0.701  0.863 -0.572  0.908 -0.438  0.999 -0.366  0.999 -0.221  0.999 -0.077  0.889 0.001  0.863 0.129  0.863 0.274  0.728 0.284  0.719 0.419  0.593 0.438  0.568 0.567  0.436 0.622  0.308 0.677  0.187 0.758
2#tos#f1#f1052063/p  -0.201 1.254  -0.403 1.254  -0.395 1.308  -0.310 1.145  -0.310 0.943  -0.310 0.741  -0.276 0.542  -0.232 0.345  -0.201 0.146  -0.201 -0.056  -0.201 -0.258  -0.201 -0.460  -0.201 -0.662  -0.201 -0.864  -0.201 -1.067  -0.186 -1.267  -0.147 -1.466  -0.129 -1.664  -0.093 -1.857  -0.046 -1.761  -0.065 -1.560  -0.084 -1.359  -0.103 -1.157  -0.122 -0.956  -0.141 -0.755  -0.160 -0.553  -0.179 -0.352  -0.198 -0.151  -0.217 0.050  -0.236 0.252  -0.255 0.453  -0.274 0.654  -0.293 0.856  -0.290 1.043  -0.147 1.142  0.046 1.193  0.247 1.200  0.450 1.200  0.611 1.123  0.738 0.967  0.832 0.804  0.832 0.602  0.822 0.400  0.768 0.207  0.652 0.041  0.567 -0.137  0.392 -0.198  0.218 -0.284  0.075 -0.427  -0.038 -0.594
2#tos#f1#f1052063/r  -0.784 1.371  -0.770 1.244  -0.720 1.153  -0.720 1.012  -0.649 0.895  -0.565 0.782  -0.530 0.653  -0.530 0.512  -0.530 0.371  -0.442 0.267  -0.342 0.167  -0.339 0.028  -0.318 -0.111  -0.284 -0.247  -0.276 -0.387  -0.276 -0.528  -0.276 -0.669  -0.216 -0.785  -0.149 -0.898  -0.149 -1.038  -0.149 -1.179  -0.149 -1.320  -0.149 -1.461  -0.229 -1.438  -0.273 -1.304  -0.276 -1.164  -0.276 -1.023  -0.276 -0.882  -0.276 -0.741  -0.276 -0.600  -0.210 -0.523  -0.183 -0.385  -0.155 -0.247  -0.149 -0.107  -0.106 0.016  -0.003 0.110  0.123 0.173  0.241 0.245  0.308 0.367  0.416 0.457  0.534 0.535  0.636 0.631  0.759 0.672  0.900 0.672  1.027 0.706  1.129 0.799  1.270 0.799  1.411 0.799  1.552 0.799  1.693 0.799
2#tos#f1#f1052063/s  0.992 1.110  0.858 1.110  0.724 1.110  0.591 1.110  0.457 1.110  0.323 1.110  0.190 1.110  0.056 1.110  -0.078 1.110  -0.211 1.110  -0.339 1.071  -0.450 1.004  -0.527 0.903  -0.597 0.797  -0.691 0.703  -0.710 0.577  -0.623 0.510  -0.538 0.416  -0.428 0.342  -0.329 0.259  -0.199 0.246  -0.076 0.198  0.047 0.154  0.177 0.137  0.262 0.089  0.371 0.022  0.490 -0.037  0.506 -0.161  0.627 -0.174  0.627 -0.307  0.719 -0.349  0.749 -0.453  0.749 -0.587  0.688 -0.683  0.561 -0.713  0.471 -0.783  0.382 -0.877  0.271 -0.951  0.139 -0.957  0.019 -1.017  -0.054 -1.078  -0.187 -1.078  -0.321 -1.078  -0.455 -1.078  -0.588 -1.078  -0.722 -1.078  -0.856 -1.078  -0.929 -1.017  -1.062 -1.017  -1.074 -0.896
2#tos#f1#f1052063/t  -0.867 0.598  -0.969 0.549  -1.006 0.446  -0.873 0.404  -0.723 0.404  -0.573 0.404  -0.423 0.404  -0.291 0.465  -0.152 0.501  -0.002 0.501  0.148 0.501  0.299 0.501  0.449 0.501  0.599 0.501  0.749 0.501  0.789 0.576  0.662 0.656  0.535 0.736  0.408 0.816  0.281 0.896  0.154 0.976  0.027 1.057  -0.101 1.131  -0.251 1.131  -0.266 1.034  -0.188 0.925  -0.188 0.775  -0.188 0.625  -0.188 0.474  -0.188 0.324  -0.188 0.174  -0.188 0.024  -0.188 -0.126  -0.188 -0.276  -0.188 -0.426  -0.188 -0.577  -0.188 -0.727  -0.188 -0.877  -0.150 -1.021  -0.118 -1.148  -0.043 -1.222  0.006 -1.353  0.051 -1.484  0.180 -1.536  0.330 -1.536  0.480 -1.536  0.623 -1.492  0.772 -1.487  0.782 -1.346  0.927 -1.342
2#tos#f1#f1052063/x  1.101 1.218  0.968 1.115  0.832 1.002  0.748 0.838  0.633 0.696  0.502 0.565  0.448 0.402  0.353 0.243  0.247 0.092  0.116 -0.039  0.016 -0.191  -0.114 -0.323  -0.210 -0.479  -0.293 -0.645  -0.380 -0.807  -0.511 -0.938  -0.644 -1.066  -0.748 -1.147  -0.798 -1.148  -0.789 -0.963  -0.780 -0.778  -0.771 -0.593  -0.762 -0.408  -0.753 -0.223  -0.744 -0.038  -0.735 0.147  -0.726 0.332  -0.717 0.517  -0.708 0.702  -0.699 0.887  -0.765 1.000  -0.871 1.000  -0.687 0.997  -0.535 0.896  -0.404 0.765  -0.241 0.686  -0.123 0.552  0.013 0.429  0.153 0.309  0.269 0.165  0.384 0.020  0.500 -0.124  0.623 -0.262  0.754 -0.393  0.900 -0.507  1.051 -0.591  1.106 -0.768  1.143 -0.949  1.273 -1.021  1.372 -1.174
2#tos#f1#f1052063/z  -0.481 1.107  -0.534 1.013  -0.668 0.981  -0.815 0.960  -0.908 0.894  -0.814 0.840  -0.666 0.840  -0.518 0.840  -0.370 0.840  -0.223 0.840  -0.076 0.848  0.068 0.884  0.214 0.894  0.358 0.930  0.503 0.947  0.651 0.947  0.799 0.947  0.812 0.864  0.746 0.732  0.641 0.628  0.537 0.523  0.443 0.410  0.363 0.286  0.284 0.163  0.179 0.059  0.075 -0.046  -0.035 -0.144  -0.158 -0.226  -0.225 -0.357  -0.315 -0.465  -0.432 -0.553  -0.537 -0.656  -0.655 -0.737  -0.737 -0.858  -0.827 -0.922  -0.788 -0.975  -0.640 -0.975  -0.493 -0.975  -0.345 -0.975  -0.197 -0.975  -0.049 -0.975  0.099 -0.975  0.247 -0.975  0.341 -0.922  0.489 -0.922  0.637 -0.922  0.784 -0.922  0.932 -0.922  1.080 -0.922  1.228 -0.922
