3#apb#apb08#app0802/S  0.681 0.993  0.691 1.091  0.648 1.186  0.615 1.286  0.533 1.346  0.435 1.371  0.331 1.371  0.231 1.339  0.143 1.287  0.064 1.217  -0.014 1.147  -0.077 1.064  -0.137 0.979  -0.197 0.893  -0.258 0.807  -0.318 0.721  -0.372 0.632  -0.415 0.536  -0.456 0.440  -0.485 0.339  -0.500 0.237  -0.500 0.132  -0.484 0.034  -0.405 -0.035  -0.327 -0.104  -0.238 -0.160  -0.148 -0.213  -0.057 -0.265  0.034 -0.316  0.126 -0.367  0.218 -0.417  0.312 -0.464  0.406 -0.511  0.470 -0.592  0.521 -0.682  0.530 -0.783  0.497 -0.882  0.422 -0.953  0.334 -1.008  0.238 -1.049  0.143 -1.095  0.049 -1.141  -0.052 -1.156  -0.157 -1.156  -0.261 -1.156  -0.366 -1.156  -0.471 -1.156  -0.576 -1.156  -0.662 -1.200  -0.737 -1.275
3#apb#apb08#app0802/d  -0.356 -0.757  -0.225 -0.709  -0.163 -0.540  -0.277 -0.434  -0.458 -0.418  -0.626 -0.469  -0.761 -0.594  -0.818 -0.750  -0.740 -0.910  -0.610 -1.040  -0.448 -1.123  -0.275 -1.180  -0.095 -1.202  0.080 -1.157  0.204 -1.021  0.318 -0.879  0.412 -0.721  0.486 -0.557  0.505 -0.375  0.524 -0.193  0.524 -0.009  0.524 0.174  0.504 0.355  0.461 0.533  0.419 0.712  0.368 0.887  0.307 1.061  0.247 1.234  0.170 1.400  0.078 1.556  -0.052 1.686  -0.221 1.726  -0.370 1.634  -0.438 1.463  -0.452 1.281  -0.463 1.098  -0.421 0.920  -0.377 0.742  -0.313 0.571  -0.234 0.406  -0.154 0.241  -0.074 0.076  0.027 -0.077  0.129 -0.229  0.231 -0.382  0.337 -0.531  0.458 -0.668  0.580 -0.806  0.702 -0.943  0.824 -1.079
3#apb#apb08#app0802/m  -1.201 -0.701  -1.234 -0.736  -1.240 -0.625  -1.225 -0.512  -1.225 -0.398  -1.225 -0.283  -1.225 -0.169  -1.225 -0.055  -1.209 0.058  -1.192 0.171  -1.161 0.277  -1.080 0.358  -0.997 0.434  -0.892 0.479  -0.782 0.502  -0.668 0.502  -0.554 0.497  -0.443 0.475  -0.331 0.452  -0.229 0.401  -0.134 0.342  -0.077 0.243  -0.026 0.141  0.019 0.036  0.047 -0.074  0.072 -0.185  0.120 -0.288  0.122 -0.374  0.122 -0.260  0.122 -0.146  0.158 -0.039  0.204 0.065  0.255 0.167  0.336 0.245  0.433 0.304  0.540 0.325  0.651 0.297  0.758 0.259  0.862 0.213  0.966 0.164  1.068 0.113  1.160 0.048  1.247 -0.026  1.330 -0.105  1.402 -0.192  1.478 -0.277  1.493 -0.385  1.493 -0.499  1.501 -0.606  1.613 -0.629
3#apb#apb08#app0802/o  -0.302 0.823  -0.274 0.806  -0.356 0.693  -0.468 0.609  -0.565 0.509  -0.657 0.403  -0.745 0.294  -0.800 0.165  -0.855 0.036  -0.895 -0.098  -0.934 -0.233  -0.940 -0.372  -0.940 -0.513  -0.875 -0.635  -0.801 -0.753  -0.717 -0.862  -0.592 -0.925  -0.466 -0.987  -0.339 -1.046  -0.211 -1.103  -0.083 -1.160  0.048 -1.127  0.180 -1.078  0.310 -1.026  0.438 -0.969  0.566 -0.912  0.668 -0.821  0.754 -0.711  0.840 -0.600  0.903 -0.479  0.928 -0.341  0.953 -0.203  0.970 -0.064  0.956 0.075  0.942 0.215  0.913 0.350  0.856 0.479  0.799 0.607  0.723 0.723  0.632 0.829  0.540 0.936  0.405 0.964  0.268 0.992  0.135 1.036  0.002 1.044  -0.131 0.999  -0.266 0.961  -0.392 0.905  -0.504 0.821  -0.621 0.743
3#apb#apb08#app0802/r  -0.728 -1.152  -0.705 -1.244  -0.669 -1.319  -0.618 -1.254  -0.583 -1.166  -0.565 -1.076  -0.575 -0.982  -0.586 -0.888  -0.596 -0.793  -0.606 -0.699  -0.613 -0.605  -0.621 -0.510  -0.629 -0.416  -0.637 -0.321  -0.646 -0.227  -0.669 -0.135  -0.692 -0.043  -0.715 0.049  -0.728 0.142  -0.728 0.237  -0.728 0.331  -0.710 0.424  -0.687 0.516  -0.607 0.566  -0.526 0.614  -0.439 0.643  -0.344 0.643  -0.249 0.643  -0.155 0.633  -0.062 0.620  0.032 0.607  0.124 0.585  0.215 0.559  0.306 0.533  0.392 0.495  0.471 0.443  0.550 0.390  0.633 0.351  0.728 0.351  0.822 0.349  0.907 0.307  0.991 0.264  1.077 0.224  1.170 0.205  1.263 0.187  1.357 0.184  1.452 0.184  1.547 0.184  1.642 0.184  1.736 0.184
3#apb#apb08#app0802/n  -1.237 -0.500  -1.158 -0.540  -1.141 -0.617  -1.129 -0.692  -1.045 -0.688  -1.045 -0.600  -1.045 -0.512  -1.035 -0.427  -1.002 -0.345  -0.970 -0.264  -0.940 -0.181  -0.916 -0.097  -0.892 -0.012  -0.868 0.072  -0.838 0.154  -0.799 0.232  -0.759 0.311  -0.720 0.389  -0.652 0.439  -0.574 0.478  -0.495 0.517  -0.416 0.554  -0.328 0.554  -0.241 0.554  -0.153 0.554  -0.066 0.547  0.017 0.519  0.100 0.491  0.183 0.463  0.255 0.414  0.323 0.359  0.392 0.304  0.465 0.257  0.547 0.226  0.629 0.195  0.711 0.164  0.793 0.134  0.867 0.088  0.935 0.033  1.004 -0.022  1.073 -0.075  1.148 -0.121  1.223 -0.166  1.299 -0.211  1.329 -0.292  1.364 -0.371  1.411 -0.442  1.438 -0.526  1.466 -0.609  1.494 -0.692
3#apb#apb08#app0802/i  -0.887 0.136  -0.791 0.078  -0.695 0.021  -0.619 -0.060  -0.546 -0.145  -0.474 -0.230  -0.411 -0.322  -0.361 -0.422  -0.311 -0.522  -0.261 -0.622  -0.210 -0.721  -0.157 -0.819  -0.103 -0.917  -0.050 -1.016  0.004 -1.114  0.071 -1.203  0.142 -1.289  0.214 -1.375  0.305 -1.373  0.294 -1.262  0.284 -1.150  0.273 -1.039  0.262 -0.928  0.252 -0.816  0.241 -0.705  0.230 -0.594  0.219 -0.482  0.209 -0.371  0.198 -0.260  0.187 -0.149  0.177 -0.037  0.166 0.074  0.155 0.185  0.145 0.297  0.134 0.408  0.123 0.519  0.113 0.631  0.102 0.742  0.091 0.853  0.081 0.965  0.070 1.076  0.059 1.187  0.049 1.298  0.038 1.410  0.027 1.521  0.032 1.624  0.100 1.693  0.165 1.741  0.277 1.741  0.389 1.741
3#apb#apb08#app0802/n  -1.350 -0.529  -1.274 -0.586  -1.198 -0.644  -1.121 -0.701  -1.044 -0.756  -0.956 -0.791  -0.867 -0.827  -0.788 -0.855  -0.752 -0.767  -0.717 -0.678  -0.717 -0.583  -0.717 -0.488  -0.712 -0.393  -0.693 -0.300  -0.675 -0.207  -0.656 -0.113  -0.639 -0.020  -0.625 0.075  -0.612 0.169  -0.590 0.261  -0.560 0.351  -0.529 0.441  -0.461 0.508  -0.394 0.575  -0.315 0.628  -0.233 0.677  -0.147 0.683  -0.057 0.653  0.034 0.622  0.124 0.592  0.215 0.565  0.306 0.537  0.397 0.510  0.488 0.483  0.577 0.449  0.666 0.414  0.754 0.379  0.842 0.343  0.929 0.304  1.014 0.261  1.099 0.219  1.183 0.175  1.243 0.101  1.302 0.027  1.337 -0.058  1.351 -0.153  1.364 -0.247  1.378 -0.341  1.391 -0.435  1.405 -0.529
3#apb#apb08#app0802/g  -0.046 0.795  0.081 0.837  0.211 0.870  0.211 1.004  0.098 1.061  -0.031 1.089  -0.165 1.089  -0.299 1.089  -0.426 1.052  -0.549 1.000  -0.645 0.912  -0.722 0.803  -0.790 0.689  -0.827 0.560  -0.843 0.432  -0.800 0.305  -0.738 0.188  -0.651 0.088  -0.531 0.028  -0.400 -0.000  -0.275 0.020  -0.155 0.080  -0.063 0.173  -0.001 0.288  0.026 0.420  0.052 0.551  0.133 0.635  0.263 0.636  0.371 0.578  0.421 0.454  0.471 0.329  0.508 0.202  0.518 0.068  0.528 -0.066  0.539 -0.199  0.541 -0.333  0.541 -0.467  0.541 -0.601  0.528 -0.735  0.514 -0.868  0.491 -0.999  0.438 -1.122  0.384 -1.245  0.324 -1.365  0.264 -1.485  0.198 -1.599  0.087 -1.674  -0.021 -1.752  -0.107 -1.855  -0.193 -1.958
3#apb#apb08#app0802/a  0.438 0.137  0.438 0.298  0.354 0.434  0.254 0.560  0.140 0.674  0.035 0.795  -0.070 0.918  -0.224 0.964  -0.382 0.989  -0.543 0.989  -0.680 0.917  -0.809 0.820  -0.913 0.700  -1.002 0.566  -1.081 0.426  -1.141 0.276  -1.197 0.126  -1.197 -0.035  -1.197 -0.196  -1.153 -0.349  -1.093 -0.499  -1.017 -0.640  -0.923 -0.771  -0.791 -0.850  -0.638 -0.901  -0.491 -0.873  -0.347 -0.801  -0.225 -0.697  -0.111 -0.583  0.014 -0.482  0.113 -0.358  0.194 -0.219  0.275 -0.079  0.358 0.059  0.441 0.198  0.528 0.332  0.633 0.455  0.750 0.559  0.891 0.530  0.971 0.390  1.018 0.241  1.018 0.080  1.018 -0.081  1.018 -0.242  1.018 -0.404  1.018 -0.565  1.029 -0.725  1.052 -0.883  1.059 -1.043  1.154 -1.158
3#apb#apb08#app0802/t  0.157 1.868  0.274 1.929  0.278 1.791  0.278 1.649  0.278 1.507  0.278 1.365  0.278 1.222  0.278 1.080  0.276 0.938  0.262 0.796  0.248 0.655  0.234 0.513  0.220 0.372  0.206 0.230  0.193 0.089  0.179 -0.053  0.166 -0.194  0.155 -0.336  0.148 -0.478  0.142 -0.620  0.136 -0.762  0.130 -0.904  0.109 -1.044  0.070 -1.181  0.031 -1.318  -0.010 -1.454  -0.055 -1.589  -0.154 -1.493  -0.230 -1.375  -0.299 -1.250  -0.352 -1.119  -0.393 -0.983  -0.433 -0.846  -0.474 -0.710  -0.514 -0.574  -0.555 -0.438  -0.595 -0.301  -0.636 -0.165  -0.663 -0.027  -0.632 0.108  -0.514 0.177  -0.395 0.256  -0.256 0.282  -0.116 0.305  0.024 0.329  0.165 0.351  0.307 0.351  0.449 0.351  0.591 0.351  0.733 0.351
3#apb#apb08#app0802/9  0.387 0.419  0.319 0.542  0.260 0.687  0.168 0.816  0.067 0.937  -0.038 1.055  -0.149 1.167  -0.280 1.250  -0.427 1.279  -0.579 1.234  -0.708 1.151  -0.820 1.040  -0.899 0.904  -0.975 0.765  -1.002 0.612  -1.012 0.455  -0.974 0.302  -0.932 0.150  -0.821 0.039  -0.709 -0.073  -0.595 -0.183  -0.479 -0.289  -0.362 -0.396  -0.234 -0.487  -0.097 -0.560  0.054 -0.546  0.156 -0.424  0.232 -0.287  0.290 -0.141  0.321 0.013  0.352 0.168  0.383 0.323  0.431 0.474  0.454 0.528  0.493 0.376  0.493 0.218  0.493 0.060  0.493 -0.098  0.493 -0.256  0.493 -0.414  0.493 -0.572  0.493 -0.730  0.496 -0.887  0.505 -1.045  0.515 -1.203  0.526 -1.360  0.538 -1.518  0.553 -1.675  0.572 -1.832  0.572 -1.989
3#apb#apb08#app0802/:  0.165 1.374  0.235 1.351  0.296 1.321  0.296 1.248  0.288 1.224  0.264 1.294  0.217 1.331  0.244 1.277  0.285 1.215  0.283 1.147  0.265 1.075  0.248 1.004  0.230 0.932  0.212 0.861  0.195 0.789  0.177 0.718  0.160 0.646  0.142 0.575  0.125 0.503  0.107 0.432  0.090 0.360  0.072 0.289  0.054 0.217  0.037 0.146  0.019 0.074  0.002 0.003  -0.016 -0.068  -0.033 -0.140  -0.051 -0.211  -0.068 -0.283  -0.086 -0.354  -0.104 -0.426  -0.121 -0.497  -0.139 -0.569  -0.156 -0.640  -0.174 -0.712  -0.191 -0.783  -0.209 -0.855  -0.226 -0.926  -0.244 -0.998  -0.262 -1.069  -0.279 -1.141  -0.297 -1.212  -0.314 -1.284  -0.308 -1.357  -0.301 -1.430  -0.293 -1.503  -0.286 -1.576  -0.279 -1.650  -0.271 -1.723
3#apb#apb08#app0802/3  -0.899 0.812  -0.878 0.920  -0.876 1.029  -0.860 1.129  -0.760 1.174  -0.653 1.189  -0.544 1.177  -0.435 1.163  -0.326 1.147  -0.218 1.130  -0.111 1.106  -0.006 1.074  0.098 1.041  0.194 0.990  0.280 0.923  0.364 0.853  0.413 0.755  0.473 0.664  0.497 0.564  0.485 0.455  0.452 0.353  0.403 0.254  0.349 0.160  0.263 0.092  0.184 0.017  0.106 -0.061  0.007 -0.107  -0.095 -0.146  -0.203 -0.163  -0.184 -0.253  -0.099 -0.321  -0.021 -0.399  0.058 -0.474  0.158 -0.519  0.258 -0.564  0.353 -0.619  0.417 -0.703  0.456 -0.805  0.466 -0.908  0.423 -1.009  0.388 -1.113  0.353 -1.216  0.270 -1.287  0.184 -1.353  0.075 -1.367  -0.033 -1.371  -0.143 -1.359  -0.252 -1.352  -0.362 -1.352  -0.471 -1.352
3#apb#apb08#app0802/0  -0.417 0.780  -0.293 0.830  -0.303 0.813  -0.415 0.741  -0.535 0.681  -0.645 0.603  -0.752 0.523  -0.849 0.430  -0.944 0.335  -1.023 0.227  -1.088 0.110  -1.121 -0.016  -1.121 -0.150  -1.108 -0.282  -1.058 -0.407  -1.003 -0.528  -0.896 -0.610  -0.790 -0.692  -0.683 -0.774  -0.555 -0.806  -0.423 -0.826  -0.290 -0.846  -0.157 -0.866  -0.023 -0.872  0.112 -0.872  0.246 -0.872  0.381 -0.872  0.505 -0.830  0.625 -0.770  0.746 -0.710  0.852 -0.631  0.947 -0.536  1.042 -0.441  1.106 -0.326  1.156 -0.201  1.167 -0.072  1.141 0.059  1.091 0.181  1.015 0.292  0.938 0.402  0.855 0.507  0.756 0.598  0.656 0.688  0.550 0.767  0.425 0.817  0.299 0.865  0.168 0.891  0.036 0.914  -0.096 0.888  -0.228 0.862
