2#tos#t3#t3054062/\"  -0.751 0.405  -0.751 0.312  -0.751 0.476  -0.751 0.641  -0.765 0.791  -0.880 0.742  -0.880 0.577  -0.850 0.417  -0.811 0.257  -0.771 0.098  -0.751 -0.064  -0.751 -0.228  -0.702 -0.384  -0.650 -0.540  -0.622 -0.700  -0.622 -0.864  -0.622 -1.029  -0.605 -1.190  -0.553 -1.346  -0.501 -1.502  -0.424 -1.403  -0.341 -1.261  -0.259 -1.119  -0.177 -0.977  -0.094 -0.835  -0.012 -0.693  0.070 -0.550  0.153 -0.408  0.235 -0.266  0.317 -0.124  0.399 0.018  0.482 0.160  0.564 0.302  0.646 0.445  0.729 0.587  0.811 0.729  0.893 0.871  0.813 0.920  0.664 0.935  0.715 1.048  0.793 1.135  0.793 1.055  0.793 0.891  0.793 0.727  0.793 0.562  0.793 0.398  0.793 0.234  0.818 0.073  0.869 -0.082  0.921 -0.238
2#tos#t3#t3054062/U  -0.697 1.229  -0.697 1.189  -0.697 1.072  -0.697 0.955  -0.729 0.851  -0.774 0.753  -0.774 0.636  -0.774 0.519  -0.774 0.402  -0.774 0.285  -0.774 0.168  -0.774 0.051  -0.774 -0.066  -0.774 -0.183  -0.774 -0.300  -0.739 -0.411  -0.697 -0.489  -0.676 -0.598  -0.629 -0.703  -0.571 -0.769  -0.505 -0.842  -0.428 -0.883  -0.328 -0.922  -0.250 -0.961  -0.133 -0.961  -0.016 -0.961  0.100 -0.952  0.212 -0.922  0.318 -0.876  0.389 -0.807  0.495 -0.766  0.532 -0.658  0.623 -0.589  0.657 -0.491  0.686 -0.386  0.751 -0.295  0.801 -0.209  0.801 -0.092  0.801 0.025  0.801 0.142  0.801 0.259  0.801 0.376  0.801 0.493  0.812 0.608  0.840 0.721  0.840 0.838  0.840 0.955  0.840 1.072  0.840 1.189  0.840 1.306
2#tos#t3#t3054062/V  -0.818 1.196  -0.900 1.236  -0.859 1.122  -0.835 1.002  -0.818 0.881  -0.769 0.778  -0.736 0.668  -0.717 0.546  -0.685 0.427  -0.648 0.309  -0.618 0.189  -0.613 0.066  -0.538 -0.026  -0.532 -0.147  -0.495 -0.265  -0.456 -0.382  -0.403 -0.494  -0.348 -0.604  -0.327 -0.723  -0.298 -0.843  -0.234 -0.944  -0.204 -1.055  -0.163 -1.162  -0.122 -1.245  -0.096 -1.342  -0.004 -1.265  0.001 -1.143  0.089 -1.071  0.119 -0.951  0.140 -0.835  0.219 -0.741  0.274 -0.631  0.287 -0.510  0.345 -0.406  0.417 -0.305  0.451 -0.190  0.466 -0.069  0.515 0.044  0.584 0.147  0.652 0.250  0.655 0.372  0.738 0.462  0.768 0.582  0.815 0.696  0.870 0.806  0.901 0.923  0.942 1.005  0.942 1.129  0.982 1.236  1.065 1.277
2#tos#t3#t3054062/a  0.325 0.072  0.377 0.284  0.300 0.439  0.134 0.526  -0.092 0.544  -0.312 0.491  -0.419 0.334  -0.590 0.243  -0.685 0.043  -0.723 -0.181  -0.828 -0.370  -0.828 -0.603  -0.797 -0.829  -0.671 -0.952  -0.483 -1.028  -0.250 -1.028  -0.024 -1.011  0.129 -0.871  0.273 -0.781  0.194 -0.568  0.084 -0.363  -0.027 -0.158  -0.137 0.047  -0.248 0.252  -0.358 0.457  -0.469 0.663  -0.579 0.868  -0.689 1.073  -0.800 1.278  -0.723 1.430  -0.503 1.487  -0.280 1.449  -0.084 1.362  0.088 1.239  0.199 1.081  0.313 0.882  0.325 0.652  0.334 0.421  0.377 0.199  0.377 -0.034  0.377 -0.267  0.377 -0.500  0.377 -0.733  0.420 -0.923  0.573 -1.066  0.695 -1.185  0.928 -1.185  1.153 -1.158  1.339 -1.044  1.530 -0.976
2#tos#t3#t3054062/c  0.849 0.363  0.928 0.419  0.951 0.527  0.929 0.619  0.885 0.700  0.816 0.772  0.747 0.816  0.640 0.823  0.564 0.883  0.476 0.925  0.363 0.925  0.249 0.925  0.136 0.925  0.022 0.925  -0.092 0.925  -0.205 0.925  -0.319 0.925  -0.375 0.850  -0.481 0.820  -0.532 0.719  -0.613 0.639  -0.684 0.555  -0.701 0.448  -0.735 0.349  -0.735 0.235  -0.761 0.132  -0.837 0.050  -0.837 -0.063  -0.837 -0.177  -0.819 -0.286  -0.758 -0.380  -0.735 -0.485  -0.670 -0.571  -0.589 -0.651  -0.490 -0.705  -0.407 -0.782  -0.327 -0.863  -0.225 -0.914  -0.163 -0.965  -0.052 -0.975  0.051 -1.023  0.159 -1.059  0.271 -1.068  0.384 -1.068  0.498 -1.068  0.612 -1.068  0.725 -1.068  0.812 -1.003  0.910 -0.965  1.002 -0.914
2#tos#t3#t3054062/i  0.282 1.136  0.170 1.090  0.052 1.129  0.098 1.124  0.083 1.060  0.052 0.906  0.021 0.752  -0.010 0.598  -0.041 0.444  -0.071 0.290  -0.086 0.226  -0.040 0.115  -0.040 -0.042  -0.024 -0.197  0.006 -0.349  0.006 -0.506  0.006 -0.663  0.006 -0.821  0.006 -0.978  0.006 -1.135  0.006 -1.292  -0.021 -1.443  -0.040 -1.595  -0.040 -1.753  -0.038 -1.788  -0.033 -1.631  -0.028 -1.474  -0.024 -1.317  -0.019 -1.160  -0.014 -1.003  -0.009 -0.846  -0.004 -0.689  0.001 -0.532  0.005 -0.375  0.010 -0.218  0.015 -0.061  0.020 0.096  0.025 0.254  0.030 0.411  0.034 0.568  0.039 0.725  0.044 0.882  0.049 1.039  0.038 1.182  -0.109 1.206  -0.178 1.308  -0.079 1.366  -0.112 1.320  -0.013 1.366  -0.040 1.274
2#tos#t3#t3054062/l  0.083 1.592  0.059 1.640  0.035 1.592  0.035 1.521  0.035 1.449  0.035 1.377  0.035 1.305  0.035 1.234  0.035 1.162  0.035 1.090  0.035 1.019  0.035 0.947  0.035 0.875  0.035 0.803  0.035 0.732  0.035 0.660  0.035 0.588  0.035 0.517  0.035 0.445  0.035 0.373  0.035 0.301  0.035 0.230  0.035 0.158  0.035 0.086  0.035 0.015  0.035 -0.057  0.035 -0.129  0.035 -0.201  0.035 -0.272  0.035 -0.344  0.035 -0.416  0.035 -0.487  0.035 -0.559  0.021 -0.622  -0.043 -0.654  -0.061 -0.715  -0.061 -0.787  -0.061 -0.858  -0.061 -0.930  -0.061 -1.002  -0.061 -1.074  -0.061 -1.145  -0.061 -1.217  -0.063 -1.287  -0.109 -1.313  -0.109 -1.384  -0.109 -1.456  -0.109 -1.528  -0.109 -1.599  -0.109 -1.671
2#tos#t3#t3054062/m  -1.211 0.627  -1.168 0.557  -1.168 0.393  -1.168 0.228  -1.168 0.063  -1.168 -0.102  -1.168 -0.266  -1.168 -0.431  -1.168 -0.596  -1.155 -0.471  -1.083 -0.336  -1.019 -0.186  -0.997 -0.026  -0.889 0.094  -0.786 0.199  -0.684 0.327  -0.560 0.413  -0.395 0.413  -0.271 0.348  -0.271 0.183  -0.228 0.028  -0.228 -0.137  -0.228 -0.301  -0.306 -0.434  -0.292 -0.377  -0.232 -0.232  -0.199 -0.090  -0.073 -0.003  0.032 0.122  0.122 0.258  0.201 0.370  0.361 0.387  0.502 0.456  0.626 0.415  0.669 0.257  0.712 0.135  0.712 -0.030  0.755 -0.152  0.755 -0.316  0.825 -0.427  0.941 -0.485  1.106 -0.485  1.227 -0.440  1.361 -0.348  1.461 -0.244  1.566 -0.168  1.609 -0.021  1.652 0.126  1.652 0.291  1.609 0.413
2#tos#t3#t3054062/n  -0.661 1.113  -0.606 1.106  -0.606 0.934  -0.606 0.762  -0.606 0.590  -0.656 0.433  -0.716 0.279  -0.716 0.107  -0.716 -0.065  -0.716 -0.237  -0.745 -0.405  -0.772 -0.573  -0.772 -0.745  -0.772 -0.917  -0.772 -1.089  -0.772 -0.922  -0.772 -0.750  -0.772 -0.578  -0.711 -0.420  -0.661 -0.259  -0.607 -0.100  -0.551 0.059  -0.502 0.219  -0.441 0.377  -0.397 0.539  -0.318 0.672  -0.256 0.782  -0.139 0.837  -0.000 0.871  0.150 0.892  0.322 0.892  0.426 0.782  0.496 0.679  0.496 0.507  0.589 0.396  0.606 0.241  0.606 0.069  0.606 -0.103  0.606 -0.275  0.606 -0.447  0.662 -0.596  0.716 -0.746  0.850 -0.816  1.022 -0.816  1.195 -0.816  1.256 -0.706  1.390 -0.625  1.487 -0.486  1.598 -0.382  1.653 -0.265
2#tos#t3#t3054062/p  -0.045 1.233  -0.216 1.193  -0.216 0.982  -0.245 0.777  -0.273 0.573  -0.273 0.362  -0.273 0.151  -0.273 -0.060  -0.273 -0.271  -0.273 -0.482  -0.273 -0.694  -0.273 -0.905  -0.295 -1.112  -0.330 -1.318  -0.330 -1.529  -0.330 -1.740  -0.330 -1.743  -0.330 -1.532  -0.330 -1.321  -0.330 -1.110  -0.330 -0.898  -0.330 -0.687  -0.330 -0.476  -0.330 -0.265  -0.330 -0.054  -0.330 0.157  -0.330 0.368  -0.330 0.579  -0.330 0.791  -0.330 1.002  -0.237 1.119  -0.073 1.233  0.138 1.233  0.349 1.233  0.561 1.233  0.719 1.130  0.866 1.006  0.981 0.843  1.038 0.656  1.038 0.445  0.981 0.257  0.940 0.072  0.775 -0.057  0.644 -0.191  0.503 -0.307  0.306 -0.364  0.118 -0.421  -0.093 -0.421  -0.290 -0.364  -0.445 -0.307
2#tos#t3#t3054062/q  0.539 0.495  0.464 0.628  0.292 0.705  0.130 0.795  -0.004 0.898  -0.144 0.956  -0.341 0.956  -0.539 0.956  -0.706 0.855  -0.826 0.743  -0.946 0.617  -1.017 0.451  -1.073 0.266  -1.074 0.069  -1.074 -0.129  -1.064 -0.322  -0.910 -0.427  -0.736 -0.485  -0.562 -0.543  -0.365 -0.543  -0.167 -0.543  0.031 -0.543  0.205 -0.485  0.321 -0.370  0.367 -0.218  0.367 -0.020  0.367 0.178  0.367 0.375  0.367 0.573  0.367 0.771  0.367 0.969  0.367 1.166  0.424 1.182  0.424 0.984  0.424 0.786  0.424 0.589  0.424 0.391  0.402 0.197  0.367 0.005  0.367 -0.193  0.367 -0.391  0.367 -0.588  0.367 -0.786  0.367 -0.984  0.367 -1.181  0.309 -1.365  0.309 -1.563  0.309 -1.761  0.309 -1.959  0.309 -2.156
2#tos#t3#t3054062/s  0.809 0.420  0.809 0.557  0.809 0.694  0.770 0.822  0.657 0.874  0.563 0.965  0.480 1.071  0.355 1.123  0.232 1.158  0.104 1.179  -0.012 1.231  -0.149 1.231  -0.279 1.201  -0.406 1.161  -0.520 1.085  -0.568 0.966  -0.605 0.838  -0.652 0.712  -0.625 0.581  -0.598 0.450  -0.598 0.313  -0.490 0.243  -0.392 0.203  -0.319 0.133  -0.239 0.041  -0.104 0.034  0.013 -0.013  0.137 -0.045  0.250 -0.104  0.270 -0.232  0.386 -0.284  0.430 -0.377  0.484 -0.460  0.538 -0.543  0.538 -0.681  0.484 -0.795  0.484 -0.933  0.417 -1.013  0.336 -1.115  0.225 -1.193  0.146 -1.258  0.009 -1.258  -0.128 -1.258  -0.265 -1.258  -0.400 -1.248  -0.516 -1.177  -0.588 -1.095  -0.706 -1.077  -0.760 -0.994  -0.814 -0.879
2#tos#t3#t3054062/u  -0.935 0.867  -0.975 0.962  -1.051 0.850  -1.088 0.696  -1.162 0.556  -1.224 0.415  -1.224 0.255  -1.224 0.095  -1.224 -0.065  -1.224 -0.224  -1.166 -0.360  -1.165 -0.520  -1.029 -0.577  -0.934 -0.664  -0.781 -0.692  -0.621 -0.692  -0.462 -0.692  -0.335 -0.612  -0.202 -0.527  -0.068 -0.460  0.045 -0.347  0.158 -0.234  0.243 -0.137  0.293 0.009  0.393 0.107  0.462 0.232  0.508 0.345  0.566 0.447  0.681 0.535  0.681 0.695  0.739 0.797  0.739 0.957  0.739 1.079  0.737 0.920  0.656 0.783  0.624 0.637  0.578 0.488  0.508 0.355  0.508 0.195  0.508 0.036  0.538 -0.117  0.566 -0.270  0.566 -0.430  0.579 -0.577  0.624 -0.692  0.695 -0.822  0.837 -0.865  0.970 -0.892  1.099 -0.923  1.259 -0.923
2#tos#t3#t3054062/x  -0.881 0.862  -1.005 0.923  -0.964 0.849  -0.820 0.768  -0.788 0.604  -0.624 0.522  -0.519 0.379  -0.345 0.320  -0.281 0.151  -0.222 -0.024  -0.076 -0.124  0.048 -0.259  0.148 -0.413  0.255 -0.541  0.330 -0.685  0.460 -0.799  0.589 -0.927  0.718 -1.015  0.816 -1.048  0.826 -0.864  0.836 -0.680  0.847 -0.496  0.857 -0.312  0.867 -0.128  0.877 0.056  0.887 0.240  0.898 0.424  0.908 0.608  0.918 0.792  0.928 0.975  0.880 1.104  0.699 1.086  0.537 1.008  0.416 0.870  0.314 0.717  0.212 0.563  0.074 0.457  -0.003 0.297  -0.156 0.194  -0.286 0.064  -0.431 -0.049  -0.553 -0.178  -0.636 -0.343  -0.760 -0.452  -0.796 -0.618  -0.943 -0.728  -1.101 -0.822  -1.201 -0.971  -1.331 -1.101  -1.426 -1.257
2#tos#t3#t3054062/y  -0.845 0.667  -0.977 0.711  -0.908 0.656  -0.775 0.620  -0.703 0.553  -0.605 0.474  -0.507 0.376  -0.409 0.278  -0.295 0.203  -0.207 0.100  -0.123 -0.008  -0.021 0.019  0.083 0.110  0.188 0.202  0.292 0.293  0.396 0.384  0.501 0.475  0.605 0.566  0.709 0.658  0.813 0.749  0.918 0.840  1.022 0.931  1.008 1.055  0.902 1.087  0.867 0.962  0.777 0.858  0.703 0.741  0.626 0.627  0.535 0.524  0.452 0.413  0.373 0.299  0.296 0.184  0.219 0.068  0.142 -0.047  0.066 -0.162  0.024 -0.293  -0.036 -0.413  -0.134 -0.511  -0.180 -0.641  -0.253 -0.758  -0.279 -0.889  -0.312 -1.023  -0.398 -1.116  -0.515 -1.182  -0.518 -1.319  -0.562 -1.440  -0.616 -1.565  -0.690 -1.680  -0.804 -1.754  -0.845 -1.882
2#tos#t3#t3054062/z  -0.581 1.788  -0.581 1.549  -0.581 1.309  -0.536 1.114  -0.296 1.114  -0.057 1.114  0.183 1.114  0.423 1.114  0.663 1.114  0.656 0.940  0.568 0.746  0.430 0.616  0.359 0.397  0.189 0.228  -0.004 0.088  -0.145 -0.104  -0.313 -0.275  -0.491 -0.431  -0.642 -0.561  -0.764 -0.726  -0.916 -0.877  -1.071 -0.981  -0.884 -1.033  -0.653 -1.091  -0.414 -1.094  -0.174 -1.094  0.065 -1.094  0.305 -1.094  0.545 -1.094  0.785 -1.094  1.006 -1.087  0.824 -0.931  0.643 -0.774  0.461 -0.618  0.280 -0.461  0.098 -0.305  -0.084 -0.148  -0.265 0.008  -0.447 0.165  -0.628 0.321  -0.824 0.439  -0.613 0.332  -0.377 0.316  -0.148 0.253  0.078 0.194  0.312 0.162  0.547 0.132  0.787 0.132  1.023 0.099  1.259 0.071
