2#tos#f2#f2014061/!  0.143 1.606  0.070 1.606  0.010 1.575  -0.009 1.511  -0.009 1.438  -0.009 1.365  -0.009 1.292  -0.009 1.219  -0.009 1.146  -0.009 1.073  -0.009 1.001  -0.009 0.928  -0.009 0.855  -0.009 0.782  -0.043 0.742  -0.060 0.687  -0.060 0.614  -0.060 0.542  -0.060 0.469  -0.042 0.400  -0.009 0.335  -0.009 0.262  -0.009 0.189  -0.009 0.116  -0.009 0.044  -0.009 -0.029  -0.009 -0.102  -0.009 -0.175  -0.009 -0.248  -0.009 -0.321  -0.007 -0.393  0.001 -0.466  0.009 -0.538  0.017 -0.610  0.025 -0.683  0.033 -0.755  0.041 -0.828  0.049 -0.900  0.057 -0.972  0.065 -1.045  0.073 -1.117  0.081 -1.190  0.089 -1.262  0.092 -1.335  0.026 -1.341  -0.026 -1.375  -0.059 -1.440  -0.091 -1.505  -0.111 -1.573  -0.060 -1.595
2#tos#f2#f2014061/M  -0.426 1.279  -0.524 1.141  -0.524 0.931  -0.524 0.720  -0.493 0.513  -0.491 0.302  -0.491 0.092  -0.491 -0.118  -0.491 -0.329  -0.491 -0.539  -0.491 -0.749  -0.543 -0.951  -0.556 -1.159  -0.581 -1.364  -0.589 -1.572  -0.573 -1.431  -0.554 -1.221  -0.535 -1.012  -0.516 -0.802  -0.498 -0.593  -0.479 -0.383  -0.460 -0.174  -0.441 0.036  -0.422 0.245  -0.404 0.455  -0.385 0.664  -0.366 0.874  -0.523 0.922  -0.457 0.890  -0.301 0.769  -0.167 0.632  -0.038 0.487  0.088 0.342  0.157 0.174  0.329 0.173  0.416 0.346  0.556 0.490  0.740 0.572  0.834 0.724  0.967 0.803  1.004 0.715  1.032 0.510  1.032 0.299  1.032 0.089  1.065 -0.116  1.087 -0.321  1.097 -0.529  1.129 -0.732  1.129 -0.942  1.129 -1.152
2#tos#f2#f2014061/N  -0.681 1.278  -0.792 1.126  -0.755 0.899  -0.755 0.636  -0.755 0.373  -0.755 0.109  -0.755 -0.154  -0.755 -0.417  -0.755 -0.680  -0.755 -0.944  -0.755 -1.207  -0.747 -1.159  -0.734 -0.896  -0.722 -0.633  -0.709 -0.370  -0.696 -0.106  -0.684 0.157  -0.671 0.420  -0.658 0.683  -0.645 0.946  -0.787 0.982  -0.627 0.817  -0.464 0.627  -0.348 0.390  -0.170 0.197  -0.035 -0.024  0.092 -0.215  0.291 -0.377  0.442 -0.578  0.573 -0.767  0.721 -0.965  0.838 -1.116  0.833 -0.953  0.825 -0.690  0.816 -0.427  0.807 -0.164  0.799 0.099  0.790 0.363  0.781 0.626  0.773 0.889  0.764 1.152  0.690 1.045  0.706 0.784  0.727 0.524  0.727 0.261  0.727 -0.003  0.801 -0.244  0.801 -0.507  0.801 -0.770  0.838 -1.018
2#tos#f2#f2014061/S  0.680 0.854  0.642 0.875  0.571 0.966  0.491 1.045  0.410 1.136  0.282 1.160  0.194 1.236  0.068 1.274  -0.067 1.274  -0.201 1.274  -0.298 1.236  -0.426 1.197  -0.447 1.083  -0.503 1.004  -0.541 0.884  -0.541 0.749  -0.536 0.616  -0.482 0.501  -0.426 0.401  -0.311 0.358  -0.268 0.244  -0.143 0.206  -0.040 0.127  0.049 0.053  0.184 0.053  0.318 0.053  0.410 -0.017  0.515 -0.087  0.567 -0.177  0.604 -0.297  0.604 -0.432  0.604 -0.567  0.604 -0.702  0.558 -0.809  0.504 -0.908  0.386 -0.966  0.302 -1.053  0.282 -1.168  0.147 -1.168  0.050 -1.206  -0.047 -1.244  -0.182 -1.244  -0.317 -1.244  -0.388 -1.180  -0.464 -1.093  -0.549 -1.036  -0.617 -0.924  -0.691 -0.862  -0.770 -0.806  -0.770 -0.672
2#tos#f2#f2014061/V  -0.718 1.114  -0.847 1.114  -0.975 1.114  -0.945 1.102  -0.849 1.043  -0.849 0.914  -0.841 0.787  -0.793 0.667  -0.730 0.558  -0.639 0.467  -0.631 0.342  -0.604 0.218  -0.557 0.099  -0.514 -0.023  -0.473 -0.145  -0.415 -0.258  -0.354 -0.371  -0.312 -0.492  -0.264 -0.612  -0.237 -0.735  -0.191 -0.839  -0.106 -0.922  -0.058 -1.031  -0.019 -1.144  0.025 -1.229  0.068 -1.314  0.112 -1.355  0.146 -1.231  0.200 -1.148  0.223 -1.022  0.266 -0.902  0.332 -0.792  0.374 -0.675  0.374 -0.546  0.395 -0.420  0.435 -0.299  0.502 -0.189  0.565 -0.077  0.623 0.038  0.636 0.164  0.636 0.292  0.636 0.421  0.639 0.549  0.724 0.642  0.729 0.769  0.767 0.882  0.811 0.967  0.811 1.095  0.904 1.169  0.986 1.245
2#tos#f2#f2014061/Z  -0.064 1.236  -0.182 1.236  -0.300 1.236  -0.379 1.198  -0.315 1.198  -0.207 1.160  -0.089 1.160  -0.009 1.122  0.109 1.122  0.227 1.122  0.298 1.046  0.416 1.046  0.531 1.034  0.562 0.970  0.545 0.869  0.481 0.802  0.378 0.757  0.314 0.658  0.275 0.547  0.205 0.452  0.142 0.353  0.074 0.257  0.000 0.165  -0.080 0.079  -0.163 -0.004  -0.246 -0.088  -0.330 -0.171  -0.332 -0.288  -0.392 -0.389  -0.456 -0.488  -0.533 -0.576  -0.585 -0.682  -0.648 -0.782  -0.673 -0.892  -0.711 -1.001  -0.678 -1.009  -0.560 -1.009  -0.442 -1.009  -0.324 -1.009  -0.206 -1.009  -0.088 -1.009  0.024 -1.034  0.139 -1.047  0.257 -1.047  0.374 -1.047  0.492 -1.047  0.610 -1.047  0.728 -1.047  0.846 -1.047  0.964 -1.047
2#tos#f2#f2014061/b  -0.228 2.181  -0.276 1.989  -0.176 1.856  -0.176 1.658  -0.176 1.461  -0.176 1.263  -0.176 1.066  -0.176 0.868  -0.176 0.670  -0.176 0.473  -0.176 0.275  -0.184 0.078  -0.228 -0.114  -0.228 -0.311  -0.228 -0.509  -0.228 -0.707  -0.228 -0.904  -0.228 -1.102  -0.228 -1.299  -0.228 -1.382  -0.237 -1.185  -0.249 -0.987  -0.261 -0.790  -0.273 -0.593  -0.285 -0.396  -0.297 -0.198  -0.309 -0.001  -0.321 0.196  -0.354 0.371  -0.435 0.488  -0.379 0.629  -0.181 0.629  0.016 0.629  0.214 0.629  0.388 0.562  0.558 0.474  0.684 0.375  0.801 0.221  0.877 0.042  0.910 -0.142  0.910 -0.339  0.837 -0.515  0.725 -0.653  0.546 -0.721  0.468 -0.899  0.289 -0.975  0.134 -1.078  -0.052 -1.129  -0.249 -1.129  -0.383 -1.026
2#tos#f2#f2014061/c  0.625 1.185  0.513 1.184  0.456 1.129  0.344 1.129  0.232 1.129  0.119 1.129  0.007 1.129  -0.095 1.096  -0.189 1.034  -0.288 0.999  -0.368 0.920  -0.458 0.875  -0.520 0.782  -0.576 0.685  -0.638 0.593  -0.718 0.514  -0.774 0.424  -0.789 0.316  -0.830 0.213  -0.830 0.101  -0.830 -0.011  -0.830 -0.124  -0.830 -0.236  -0.822 -0.347  -0.787 -0.454  -0.711 -0.525  -0.660 -0.605  -0.550 -0.607  -0.547 -0.717  -0.435 -0.717  -0.329 -0.744  -0.237 -0.806  -0.135 -0.829  -0.022 -0.829  0.090 -0.829  0.202 -0.829  0.314 -0.829  0.427 -0.829  0.536 -0.817  0.634 -0.764  0.713 -0.684  0.793 -0.605  0.843 -0.504  0.948 -0.493  1.016 -0.449  1.016 -0.337  1.117 -0.325  1.230 -0.325  1.272 -0.237  1.352 -0.158
2#tos#f2#f2014061/f  0.587 1.244  0.499 1.249  0.454 1.412  0.349 1.500  0.200 1.554  0.019 1.554  -0.061 1.435  -0.075 1.260  -0.120 1.097  -0.111 0.918  -0.075 0.745  -0.042 0.570  0.018 0.435  0.057 0.260  0.100 0.097  0.145 -0.076  0.185 -0.248  0.189 -0.428  0.189 -0.609  0.189 -0.790  0.189 -0.972  0.189 -1.153  0.115 -1.303  0.101 -1.478  0.046 -1.637  -0.108 -1.702  -0.213 -1.639  -0.242 -1.460  -0.271 -1.281  -0.300 -1.102  -0.329 -0.924  -0.359 -0.745  -0.388 -0.566  -0.417 -0.387  -0.446 -0.209  -0.475 -0.030  -0.504 0.149  -0.617 0.229  -0.799 0.229  -0.673 0.229  -0.503 0.267  -0.337 0.317  -0.156 0.317  0.025 0.317  0.200 0.290  0.377 0.273  0.552 0.246  0.726 0.222  0.892 0.185  1.029 0.140
2#tos#f2#f2014061/g  0.552 0.977  0.388 0.889  0.374 1.045  0.278 1.211  0.112 1.252  -0.049 1.361  -0.255 1.361  -0.438 1.306  -0.616 1.237  -0.729 1.069  -0.766 0.878  -0.766 0.671  -0.750 0.482  -0.653 0.372  -0.557 0.262  -0.351 0.262  -0.145 0.262  -0.049 0.372  0.058 0.514  0.113 0.665  0.113 0.752  0.168 0.601  0.168 0.395  0.168 0.189  0.173 -0.012  0.223 -0.168  0.278 -0.362  0.278 -0.568  0.278 -0.774  0.278 -0.980  0.278 -1.186  0.219 -1.336  0.095 -1.501  0.003 -1.640  -0.182 -1.661  -0.370 -1.618  -0.487 -1.451  -0.492 -1.246  -0.492 -1.040  -0.412 -0.867  -0.305 -0.705  -0.159 -0.559  -0.065 -0.381  0.088 -0.266  0.270 -0.185  0.467 -0.130  0.643 -0.025  0.808 0.078  1.006 0.097  1.212 0.097
2#tos#f2#f2014061/i  0.080 0.607  -0.030 0.567  -0.060 0.452  -0.060 0.324  -0.060 0.197  -0.060 0.070  -0.060 -0.058  -0.060 -0.185  -0.060 -0.313  -0.060 -0.440  -0.060 -0.567  -0.060 -0.695  -0.060 -0.822  -0.060 -0.949  -0.060 -1.077  -0.060 -1.204  -0.027 -1.311  0.080 -1.372  0.080 -1.499  0.029 -1.575  0.012 -1.467  0.015 -1.340  0.018 -1.212  0.020 -1.085  0.023 -0.958  0.026 -0.830  0.028 -0.703  0.031 -0.576  0.034 -0.448  0.037 -0.321  0.039 -0.194  0.042 -0.066  0.045 0.061  0.047 0.188  0.050 0.316  0.053 0.443  0.056 0.570  0.058 0.698  0.061 0.825  0.064 0.952  0.066 1.080  0.069 1.207  0.072 1.334  0.075 1.462  0.077 1.589  0.080 1.716  -0.030 1.733  -0.131 1.706  -0.201 1.649  -0.201 1.522
2#tos#f2#f2014061/l  0.098 1.425  0.075 1.472  0.003 1.472  -0.068 1.472  -0.092 1.424  -0.092 1.353  -0.091 1.282  -0.027 1.250  0.003 1.197  0.003 1.126  0.003 1.055  0.003 0.983  0.003 0.912  0.003 0.841  0.003 0.769  0.003 0.698  0.003 0.626  0.003 0.555  0.003 0.484  0.003 0.412  0.003 0.341  0.003 0.269  0.003 0.198  0.003 0.127  0.003 0.055  0.003 -0.016  0.003 -0.088  0.003 -0.159  0.003 -0.230  0.003 -0.302  0.003 -0.373  0.003 -0.444  0.003 -0.516  0.003 -0.587  0.003 -0.659  0.003 -0.730  0.003 -0.801  0.003 -0.873  0.003 -0.944  0.003 -1.016  0.003 -1.087  0.003 -1.158  0.003 -1.230  0.003 -1.301  0.003 -1.373  0.003 -1.444  0.003 -1.515  0.003 -1.587  0.003 -1.658  0.051 -1.710
2#tos#f2#f2014061/n  -0.943 0.545  -1.002 0.364  -1.070 0.270  -1.070 0.465  -0.967 0.597  -0.861 0.754  -0.757 0.917  -0.594 0.989  -0.474 0.900  -0.436 0.721  -0.436 0.526  -0.436 0.331  -0.436 0.136  -0.436 -0.059  -0.436 -0.253  -0.436 -0.448  -0.436 -0.643  -0.436 -0.838  -0.372 -1.007  -0.372 -1.202  -0.372 -1.320  -0.372 -1.125  -0.372 -0.930  -0.309 -0.762  -0.309 -0.567  -0.258 -0.380  -0.196 -0.195  -0.134 -0.010  -0.118 0.182  -0.080 0.368  0.069 0.480  0.133 0.663  0.154 0.855  0.252 0.989  0.384 1.053  0.579 1.053  0.638 0.872  0.770 0.757  0.770 0.562  0.770 0.367  0.823 0.185  0.897 0.007  0.897 -0.187  0.909 -0.380  0.960 -0.567  0.960 -0.762  1.055 -0.898  1.156 -1.044  1.278 -1.164  1.468 -1.168
2#tos#f2#f2014061/p  0.030 1.321  -0.137 1.207  -0.137 0.992  -0.137 0.776  -0.137 0.561  -0.144 0.346  -0.192 0.136  -0.192 -0.079  -0.192 -0.295  -0.192 -0.510  -0.179 -0.723  -0.137 -0.932  -0.137 -1.147  -0.137 -1.363  -0.137 -1.578  -0.025 -1.748  -0.025 -1.963  -0.031 -1.750  -0.057 -1.536  -0.082 -1.322  -0.108 -1.108  -0.134 -0.894  -0.159 -0.680  -0.185 -0.466  -0.211 -0.253  -0.236 -0.039  -0.262 0.175  -0.288 0.389  -0.313 0.603  -0.339 0.817  -0.404 0.987  -0.398 1.187  -0.231 1.265  -0.015 1.265  0.200 1.265  0.387 1.219  0.555 1.109  0.699 1.028  0.811 0.903  0.866 0.721  0.866 0.506  0.806 0.315  0.654 0.162  0.478 0.042  0.371 -0.108  0.169 -0.127  0.009 -0.183  -0.207 -0.183  -0.422 -0.183  -0.582 -0.127
2#tos#f2#f2014061/q  0.662 0.643  0.596 0.499  0.477 0.547  0.295 0.643  0.217 0.775  0.006 0.775  -0.204 0.775  -0.415 0.775  -0.625 0.775  -0.836 0.775  -0.919 0.648  -1.059 0.577  -1.183 0.452  -1.234 0.263  -1.249 0.059  -1.249 -0.152  -1.174 -0.316  -1.107 -0.487  -0.956 -0.602  -0.809 -0.719  -0.607 -0.740  -0.396 -0.740  -0.188 -0.734  -0.129 -0.549  0.010 -0.477  0.155 -0.411  0.299 -0.345  0.379 -0.174  0.435 0.029  0.490 0.232  0.545 0.435  0.601 0.638  0.656 0.841  0.711 1.044  0.580 1.104  0.464 1.010  0.464 0.799  0.464 0.589  0.464 0.378  0.464 0.168  0.464 -0.043  0.464 -0.253  0.464 -0.464  0.464 -0.674  0.464 -0.885  0.464 -1.095  0.464 -1.306  0.522 -1.507  0.530 -1.716  0.596 -1.860
2#tos#f2#f2014061/r  -0.361 1.161  -0.502 1.151  -0.502 0.999  -0.432 0.919  -0.432 0.767  -0.432 0.616  -0.361 0.535  -0.361 0.383  -0.361 0.232  -0.361 0.080  -0.329 -0.066  -0.281 -0.210  -0.233 -0.353  -0.220 -0.503  -0.220 -0.654  -0.220 -0.806  -0.220 -0.957  -0.220 -1.108  -0.220 -1.260  -0.220 -1.411  -0.170 -1.551  -0.165 -1.632  -0.220 -1.493  -0.220 -1.342  -0.220 -1.190  -0.220 -1.039  -0.237 -0.889  -0.273 -0.742  -0.290 -0.593  -0.290 -0.442  -0.290 -0.290  -0.255 -0.144  -0.220 0.001  -0.220 0.153  -0.220 0.304  -0.152 0.407  -0.009 0.455  0.040 0.598  0.133 0.702  0.255 0.789  0.370 0.879  0.521 0.879  0.643 0.949  0.795 0.949  0.946 0.949  1.098 0.949  1.212 0.859  1.271 0.738  1.397 0.674  1.475 0.596
2#tos#f2#f2014061/t  -0.633 0.570  -0.792 0.570  -0.915 0.485  -1.028 0.441  -0.900 0.471  -0.741 0.471  -0.583 0.471  -0.424 0.471  -0.266 0.471  -0.107 0.471  0.051 0.471  0.210 0.471  0.364 0.461  0.507 0.421  0.665 0.421  0.649 0.426  0.541 0.542  0.432 0.657  0.323 0.772  0.215 0.888  0.106 1.003  -0.003 1.119  -0.121 1.212  -0.280 1.212  -0.287 1.061  -0.287 0.902  -0.287 0.744  -0.287 0.585  -0.287 0.427  -0.287 0.268  -0.287 0.110  -0.287 -0.049  -0.287 -0.207  -0.287 -0.366  -0.250 -0.520  -0.188 -0.665  -0.139 -0.812  -0.133 -0.968  -0.041 -1.088  -0.041 -1.247  0.064 -1.362  0.155 -1.455  0.314 -1.455  0.472 -1.455  0.631 -1.455  0.731 -1.344  0.848 -1.289  0.944 -1.195  1.040 -1.068  1.194 -1.060
2#tos#f2#f2014061/u  -0.687 1.320  -0.790 1.253  -0.822 1.115  -0.850 0.956  -0.889 0.802  -0.889 0.632  -0.889 0.462  -0.889 0.292  -0.889 0.122  -0.889 -0.048  -0.889 -0.218  -0.889 -0.388  -0.889 -0.558  -0.882 -0.727  -0.841 -0.892  -0.756 -1.033  -0.615 -1.102  -0.444 -1.102  -0.274 -1.102  -0.104 -1.102  -0.016 -0.970  0.104 -0.849  0.126 -0.687  0.197 -0.533  0.251 -0.372  0.322 -0.218  0.322 -0.048  0.368 0.115  0.389 0.281  0.441 0.430  0.456 0.594  0.524 0.736  0.524 0.906  0.524 1.076  0.591 1.218  0.591 1.118  0.591 0.948  0.591 0.778  0.591 0.607  0.591 0.437  0.591 0.267  0.591 0.097  0.591 -0.073  0.591 -0.243  0.591 -0.413  0.591 -0.583  0.643 -0.716  0.802 -0.774  0.942 -0.847  1.062 -0.967
2#tos#f2#f2014061/z  -0.528 1.178  -0.659 1.178  -0.744 1.105  -0.747 0.999  -0.617 0.999  -0.499 1.029  -0.380 1.059  -0.250 1.059  -0.119 1.059  0.011 1.059  0.142 1.059  0.272 1.059  0.403 1.059  0.534 1.059  0.546 0.941  0.516 0.818  0.440 0.714  0.348 0.621  0.255 0.529  0.168 0.432  0.096 0.323  0.043 0.205  -0.012 0.093  -0.117 0.024  -0.158 -0.099  -0.192 -0.225  -0.224 -0.352  -0.332 -0.408  -0.456 -0.449  -0.580 -0.491  -0.588 -0.615  -0.602 -0.732  -0.695 -0.803  -0.767 -0.911  -0.636 -0.911  -0.506 -0.911  -0.375 -0.911  -0.244 -0.911  -0.114 -0.911  0.017 -0.911  0.147 -0.911  0.278 -0.911  0.408 -0.911  0.539 -0.911  0.670 -0.911  0.800 -0.911  0.931 -0.911  1.061 -0.911  1.192 -0.911  1.323 -0.911
