3#apb#apb40#app4082/E  0.919 0.904  1.006 1.068  1.120 1.220  1.210 1.388  1.149 1.512  0.959 1.508  0.787 1.433  0.621 1.338  0.467 1.226  0.313 1.113  0.165 0.993  0.019 0.870  -0.118 0.739  -0.240 0.592  -0.357 0.441  -0.454 0.277  -0.530 0.103  -0.520 -0.075  -0.336 -0.057  -0.224 0.041  -0.358 -0.095  -0.473 -0.248  -0.579 -0.406  -0.664 -0.576  -0.617 -0.662  -0.513 -0.626  -0.360 -0.528  -0.211 -0.408  -0.060 -0.292  0.089 -0.172  0.233 -0.048  0.368 0.087  0.528 0.178  0.454 0.107  0.310 -0.015  0.153 -0.122  -0.009 -0.218  -0.163 -0.329  -0.304 -0.458  -0.438 -0.593  -0.573 -0.728  -0.698 -0.871  -0.776 -1.043  -0.716 -1.198  -0.555 -1.301  -0.366 -1.319  -0.177 -1.293  0.003 -1.235  0.175 -1.153  0.345 -1.067
3#apb#apb40#app4082/L  0.835 0.682  0.861 0.818  0.899 0.950  0.943 1.080  0.975 1.214  0.987 1.350  0.938 1.474  0.847 1.378  0.769 1.265  0.701 1.145  0.636 1.024  0.570 0.903  0.504 0.782  0.438 0.661  0.373 0.540  0.307 0.419  0.241 0.298  0.165 0.183  0.090 0.068  0.014 -0.047  -0.062 -0.162  -0.138 -0.277  -0.213 -0.392  -0.289 -0.507  -0.365 -0.622  -0.455 -0.726  -0.545 -0.830  -0.640 -0.929  -0.748 -1.008  -0.885 -1.008  -1.006 -0.970  -1.086 -0.860  -1.124 -0.728  -1.110 -0.595  -1.077 -0.461  -0.998 -0.356  -0.893 -0.266  -0.779 -0.197  -0.643 -0.173  -0.508 -0.150  -0.376 -0.182  -0.246 -0.227  -0.120 -0.279  -0.007 -0.357  0.106 -0.436  0.211 -0.525  0.315 -0.616  0.416 -0.709  0.522 -0.797  0.649 -0.845
3#apb#apb40#app4082/o  -0.175 0.500  -0.200 0.359  -0.226 0.219  -0.282 0.088  -0.343 -0.041  -0.404 -0.171  -0.462 -0.302  -0.512 -0.435  -0.562 -0.569  -0.610 -0.704  -0.624 -0.846  -0.625 -0.985  -0.554 -1.109  -0.438 -1.155  -0.295 -1.155  -0.152 -1.155  -0.013 -1.141  0.112 -1.070  0.236 -1.000  0.360 -0.930  0.485 -0.859  0.605 -0.783  0.706 -0.682  0.807 -0.581  0.908 -0.480  0.983 -0.363  1.023 -0.226  1.063 -0.089  1.096 0.047  1.025 0.171  0.954 0.295  0.883 0.419  0.776 0.514  0.669 0.609  0.562 0.704  0.455 0.799  0.335 0.870  0.198 0.910  0.061 0.950  -0.076 0.990  -0.214 1.030  -0.354 1.028  -0.495 1.007  -0.636 0.985  -0.778 0.964  -0.898 0.891  -1.015 0.809  -1.087 0.697  -1.119 0.558  -1.151 0.418
3#apb#apb40#app4082/c  0.794 0.760  0.904 0.782  0.942 0.882  0.948 0.990  0.911 1.094  0.799 1.105  0.688 1.116  0.583 1.080  0.479 1.037  0.375 0.994  0.272 0.951  0.174 0.895  0.077 0.839  -0.020 0.782  -0.116 0.726  -0.213 0.669  -0.309 0.611  -0.384 0.527  -0.460 0.444  -0.535 0.361  -0.610 0.278  -0.685 0.194  -0.760 0.111  -0.814 0.012  -0.869 -0.086  -0.923 -0.184  -0.978 -0.282  -0.990 -0.389  -0.980 -0.501  -0.962 -0.608  -0.870 -0.672  -0.778 -0.736  -0.685 -0.800  -0.579 -0.830  -0.469 -0.849  -0.358 -0.869  -0.248 -0.888  -0.137 -0.907  -0.028 -0.889  0.081 -0.861  0.189 -0.833  0.298 -0.805  0.407 -0.777  0.515 -0.748  0.622 -0.713  0.728 -0.676  0.834 -0.640  0.940 -0.603  1.046 -0.566  1.152 -0.529
3#apb#apb40#app4082/k  0.466 2.060  0.524 2.041  0.466 1.875  0.408 1.710  0.334 1.551  0.257 1.393  0.181 1.235  0.100 1.080  0.015 0.926  -0.070 0.773  -0.155 0.619  -0.239 0.465  -0.322 0.311  -0.406 0.156  -0.489 0.002  -0.574 -0.151  -0.661 -0.304  -0.745 -0.458  -0.823 -0.615  -0.807 -0.722  -0.679 -0.602  -0.547 -0.486  -0.411 -0.376  -0.271 -0.270  -0.130 -0.165  0.010 -0.060  0.150 0.045  0.291 0.151  0.431 0.256  0.571 0.361  0.690 0.395  0.703 0.224  0.611 0.074  0.489 -0.048  0.351 -0.156  0.209 -0.260  0.066 -0.361  -0.077 -0.463  -0.218 -0.567  -0.360 -0.671  -0.483 -0.794  -0.529 -0.952  -0.390 -1.055  -0.225 -1.111  -0.057 -1.159  0.118 -1.172  0.293 -1.178  0.469 -1.183  0.644 -1.183  0.819 -1.183
3#apb#apb40#app4082/C  1.106 0.477  1.106 0.562  1.106 0.646  1.106 0.731  1.106 0.815  1.106 0.900  1.040 0.934  0.959 0.952  0.875 0.939  0.791 0.927  0.708 0.914  0.627 0.893  0.558 0.844  0.489 0.796  0.420 0.747  0.351 0.698  0.282 0.649  0.213 0.600  0.150 0.544  0.087 0.487  0.024 0.431  -0.039 0.374  -0.102 0.318  -0.165 0.261  -0.228 0.204  -0.288 0.145  -0.340 0.078  -0.391 0.011  -0.443 -0.056  -0.494 -0.123  -0.546 -0.190  -0.597 -0.257  -0.649 -0.324  -0.679 -0.403  -0.708 -0.483  -0.736 -0.562  -0.765 -0.642  -0.794 -0.722  -0.792 -0.804  -0.779 -0.888  -0.766 -0.972  -0.722 -1.041  -0.667 -1.105  -0.606 -1.160  -0.525 -1.184  -0.444 -1.208  -0.361 -1.209  -0.278 -1.195  -0.194 -1.181  -0.111 -1.167
3#apb#apb40#app4082/o  -0.364 0.449  -0.429 0.330  -0.494 0.211  -0.557 0.091  -0.608 -0.034  -0.660 -0.160  -0.711 -0.285  -0.763 -0.410  -0.815 -0.535  -0.867 -0.660  -0.899 -0.783  -0.821 -0.894  -0.732 -0.992  -0.608 -1.047  -0.484 -1.100  -0.351 -1.074  -0.218 -1.047  -0.085 -1.021  0.048 -0.994  0.171 -0.945  0.283 -0.869  0.395 -0.792  0.507 -0.716  0.619 -0.639  0.724 -0.555  0.811 -0.452  0.899 -0.348  0.986 -0.245  1.034 -0.127  1.034 0.009  1.034 0.144  1.013 0.275  0.950 0.395  0.886 0.514  0.823 0.634  0.759 0.753  0.639 0.817  0.519 0.880  0.399 0.943  0.280 1.006  0.157 1.053  0.023 1.035  -0.112 1.017  -0.246 0.999  -0.380 0.980  -0.512 0.953  -0.635 0.896  -0.757 0.838  -0.880 0.780  -1.003 0.723
3#apb#apb40#app4082/.  -1.042 1.729  -0.945 1.633  -0.848 1.536  -0.752 1.439  -0.655 1.343  -0.558 1.246  -0.462 1.149  -0.365 1.052  -0.268 0.956  -0.172 0.859  -0.075 0.762  0.022 0.666  0.119 0.569  0.215 0.472  0.312 0.376  0.409 0.279  0.505 0.182  0.602 0.086  0.699 -0.011  0.795 -0.108  0.892 -0.205  0.989 -0.301  1.085 -0.398  1.182 -0.495  1.227 -0.570  1.090 -0.570  0.954 -0.570  0.817 -0.570  0.680 -0.570  0.543 -0.570  0.407 -0.570  0.270 -0.570  0.133 -0.570  -0.003 -0.570  -0.140 -0.570  -0.277 -0.570  -0.414 -0.570  -0.550 -0.570  -0.687 -0.570  -0.824 -0.570  -0.961 -0.570  -0.986 -0.570  -0.849 -0.570  -0.713 -0.570  -0.576 -0.570  -0.439 -0.570  -0.302 -0.570  -0.166 -0.570  -0.029 -0.570  0.108 -0.570
3#apb#apb40#app4082/B  0.013 0.937  -0.102 0.739  -0.161 0.516  -0.220 0.294  -0.338 0.096  -0.456 -0.101  -0.576 -0.297  -0.704 -0.488  -0.832 -0.680  -0.972 -0.862  -1.092 -0.981  -1.030 -0.760  -0.948 -0.545  -0.859 -0.333  -0.760 -0.125  -0.661 0.082  -0.553 0.285  -0.444 0.488  -0.332 0.688  -0.205 0.880  -0.079 1.073  0.061 1.254  0.233 1.406  0.422 1.522  0.603 1.463  0.682 1.253  0.667 1.023  0.625 0.800  0.538 0.587  0.452 0.374  0.321 0.184  0.191 -0.005  0.081 -0.207  0.125 -0.267  0.320 -0.146  0.516 -0.025  0.722 0.077  0.935 0.154  1.083 0.060  1.039 -0.155  0.936 -0.361  0.793 -0.539  0.641 -0.712  0.480 -0.875  0.295 -1.012  0.110 -1.149  -0.086 -1.268  -0.283 -1.387  -0.489 -1.490  -0.701 -1.466
3#apb#apb40#app4082/u  -0.367 1.065  -0.368 1.106  -0.468 1.007  -0.566 0.906  -0.642 0.785  -0.718 0.664  -0.793 0.543  -0.868 0.421  -0.943 0.299  -1.017 0.178  -1.091 0.056  -1.153 -0.072  -1.195 -0.208  -1.237 -0.344  -1.240 -0.485  -1.224 -0.626  -1.124 -0.722  -0.997 -0.739  -0.857 -0.707  -0.718 -0.675  -0.590 -0.613  -0.462 -0.549  -0.335 -0.486  -0.207 -0.422  -0.085 -0.349  0.031 -0.265  0.146 -0.182  0.262 -0.098  0.377 -0.014  0.475 0.091  0.572 0.195  0.669 0.299  0.767 0.404  0.849 0.520  0.931 0.637  0.997 0.743  0.944 0.611  0.880 0.483  0.816 0.356  0.764 0.224  0.738 0.084  0.711 -0.056  0.691 -0.196  0.764 -0.318  0.838 -0.440  0.947 -0.527  1.069 -0.601  1.200 -0.649  1.342 -0.661  1.484 -0.673
3#apb#apb40#app4082/d  0.116 0.049  -0.012 0.088  -0.159 0.025  -0.307 -0.038  -0.441 -0.126  -0.575 -0.214  -0.708 -0.303  -0.834 -0.401  -0.961 -0.500  -1.087 -0.599  -1.197 -0.716  -1.307 -0.832  -1.338 -0.987  -1.279 -1.126  -1.130 -1.090  -0.979 -1.038  -0.840 -0.959  -0.700 -0.880  -0.561 -0.801  -0.425 -0.717  -0.299 -0.618  -0.173 -0.519  -0.047 -0.419  0.078 -0.320  0.197 -0.212  0.314 -0.103  0.431 0.006  0.545 0.118  0.622 0.259  0.699 0.400  0.776 0.540  0.847 0.684  0.915 0.829  0.983 0.974  1.043 1.122  1.075 1.279  1.041 1.368  0.931 1.251  0.821 1.135  0.724 1.007  0.630 0.877  0.536 0.747  0.443 0.617  0.373 0.474  0.309 0.327  0.245 0.179  0.187 0.031  0.173 -0.129  0.159 -0.288  0.145 -0.448
3#apb#apb40#app4082/g  0.719 1.040  0.656 1.150  0.559 1.224  0.438 1.249  0.311 1.247  0.187 1.222  0.063 1.194  -0.052 1.140  -0.165 1.085  -0.248 0.989  -0.204 0.880  -0.096 0.820  0.026 0.791  0.153 0.776  0.278 0.756  0.402 0.729  0.506 0.665  0.600 0.579  0.648 0.470  0.665 0.344  0.681 0.218  0.669 0.093  0.642 -0.031  0.616 -0.155  0.588 -0.278  0.526 -0.389  0.464 -0.500  0.402 -0.611  0.330 -0.715  0.245 -0.809  0.161 -0.904  0.073 -0.995  -0.028 -1.073  -0.128 -1.151  -0.235 -1.215  -0.357 -1.250  -0.479 -1.280  -0.601 -1.246  -0.681 -1.160  -0.737 -1.047  -0.794 -0.933  -0.816 -0.809  -0.831 -0.683  -0.846 -0.557  -0.832 -0.433  -0.802 -0.309  -0.773 -0.186  -0.720 -0.075  -0.633 0.018  -0.547 0.111
3#apb#apb40#app4082/e  -1.012 -0.530  -0.896 -0.444  -0.773 -0.338  -0.624 -0.269  -0.476 -0.201  -0.334 -0.119  -0.197 -0.030  -0.059 0.059  0.078 0.148  0.190 0.267  0.302 0.387  0.413 0.507  0.517 0.633  0.616 0.764  0.714 0.895  0.731 1.053  0.672 1.176  0.519 1.233  0.364 1.197  0.210 1.143  0.055 1.089  -0.099 1.034  -0.227 0.931  -0.354 0.829  -0.482 0.727  -0.610 0.624  -0.714 0.503  -0.780 0.353  -0.847 0.204  -0.913 0.054  -0.907 -0.106  -0.888 -0.269  -0.869 -0.432  -0.785 -0.566  -0.680 -0.692  -0.575 -0.818  -0.417 -0.852  -0.256 -0.880  -0.094 -0.908  0.067 -0.936  0.227 -0.919  0.388 -0.884  0.548 -0.850  0.708 -0.816  0.868 -0.781  1.025 -0.737  1.181 -0.685  1.336 -0.634  1.491 -0.582  1.647 -0.530
3#apb#apb40#app4082/t  0.908 1.708  0.888 1.698  0.800 1.560  0.716 1.419  0.656 1.266  0.596 1.113  0.536 0.961  0.479 0.807  0.425 0.652  0.371 0.497  0.316 0.342  0.262 0.188  0.210 0.032  0.160 -0.124  0.109 -0.280  0.058 -0.436  0.007 -0.592  -0.031 -0.752  -0.062 -0.913  -0.093 -1.074  -0.124 -1.235  -0.155 -1.396  -0.185 -1.558  -0.232 -1.696  -0.263 -1.535  -0.294 -1.373  -0.325 -1.212  -0.357 -1.051  -0.388 -0.890  -0.419 -0.729  -0.450 -0.568  -0.481 -0.407  -0.512 -0.246  -0.544 -0.085  -0.575 0.076  -0.606 0.238  -0.637 0.399  -0.668 0.560  -0.699 0.721  -0.665 0.685  -0.549 0.569  -0.418 0.473  -0.273 0.396  -0.128 0.320  0.032 0.287  0.194 0.260  0.356 0.233  0.520 0.231  0.684 0.231  0.848 0.231
