2#tos#t3#t3014060/!  0.323 1.602  0.270 1.583  0.270 1.511  0.266 1.443  0.217 1.420  0.217 1.348  0.217 1.276  0.217 1.204  0.217 1.131  0.217 1.059  0.217 0.987  0.217 0.915  0.217 0.843  0.217 0.771  0.184 0.710  0.141 0.652  0.097 0.594  0.058 0.535  0.058 0.463  0.058 0.391  0.058 0.319  0.054 0.247  0.046 0.175  0.038 0.103  0.030 0.032  0.022 -0.040  0.015 -0.112  0.007 -0.183  0.005 -0.255  0.005 -0.328  0.005 -0.400  -0.028 -0.462  -0.068 -0.522  -0.102 -0.584  -0.102 -0.656  -0.136 -0.714  -0.187 -0.765  -0.213 -0.828  -0.223 -0.900  -0.233 -0.971  -0.242 -1.043  -0.252 -1.114  -0.261 -1.186  -0.271 -1.257  -0.280 -1.329  -0.290 -1.400  -0.299 -1.472  -0.309 -1.543  -0.314 -1.615  -0.367 -1.634
2#tos#t3#t3014060/T  -1.040 0.580  -1.089 0.469  -1.151 0.589  -1.093 0.691  -0.933 0.691  -0.772 0.691  -0.612 0.691  -0.451 0.691  -0.291 0.691  -0.146 0.729  -0.023 0.691  0.109 0.720  0.261 0.729  0.406 0.713  0.545 0.691  0.690 0.654  0.813 0.617  0.959 0.583  1.073 0.535  1.073 0.375  0.935 0.392  0.783 0.442  0.631 0.493  0.479 0.544  0.326 0.594  0.174 0.645  0.022 0.696  -0.122 0.711  -0.150 0.557  -0.113 0.434  -0.113 0.274  -0.113 0.113  -0.089 -0.037  -0.039 -0.177  -0.039 -0.337  -0.039 -0.498  -0.024 -0.643  -0.002 -0.781  0.035 -0.926  0.035 -1.087  0.024 -1.236  0.025 -1.331  -0.065 -1.421  -0.189 -1.458  -0.349 -1.458  -0.384 -1.458  -0.223 -1.458  -0.063 -1.458  0.097 -1.458  0.221 -1.495
2#tos#t3#t3014060/V  -1.116 0.760  -1.257 0.702  -1.237 0.618  -1.038 0.618  -0.839 0.618  -0.639 0.618  -0.448 0.665  -0.296 0.712  -0.428 0.677  -0.623 0.635  -0.818 0.594  -0.954 0.487  -0.907 0.342  -0.879 0.150  -0.690 0.140  -0.690 -0.060  -0.595 -0.164  -0.485 -0.281  -0.453 -0.449  -0.359 -0.581  -0.285 -0.707  -0.191 -0.827  -0.122 -1.006  -0.052 -1.144  0.045 -1.274  0.162 -1.421  0.256 -1.525  0.304 -1.403  0.320 -1.211  0.417 -1.048  0.446 -0.856  0.493 -0.704  0.587 -0.599  0.587 -0.400  0.587 -0.200  0.682 -0.068  0.729 0.084  0.777 0.236  0.784 0.429  0.919 0.529  0.861 0.605  0.672 0.668  0.483 0.731  0.307 0.699  0.348 0.618  0.547 0.618  0.746 0.618  0.946 0.618  1.145 0.618  1.250 0.523
2#tos#t3#t3014060/W  -1.358 0.651  -1.508 0.502  -1.516 0.500  -1.291 0.500  -1.066 0.500  -0.842 0.500  -0.716 0.531  -0.938 0.494  -1.130 0.432  -1.169 0.329  -1.054 0.160  -0.955 0.021  -0.834 -0.140  -0.751 -0.336  -0.675 -0.514  -0.637 -0.700  -0.523 -0.811  -0.447 -0.924  -0.345 -0.764  -0.258 -0.569  -0.198 -0.363  -0.106 -0.172  -0.106 0.053  -0.033 0.232  0.039 0.386  0.122 0.471  0.204 0.303  0.235 0.092  0.291 -0.087  0.318 -0.297  0.349 -0.490  0.425 -0.668  0.492 -0.848  0.577 -0.994  0.621 -0.996  0.716 -0.815  0.846 -0.670  0.918 -0.462  0.928 -0.240  0.956 -0.022  0.956 0.202  1.032 0.351  1.097 0.526  0.959 0.649  0.775 0.680  0.674 0.575  0.898 0.575  1.123 0.575  1.342 0.553  1.563 0.537
2#tos#t3#t3014060/Z  -0.858 0.885  -0.986 0.841  -1.032 0.880  -0.952 0.972  -0.780 0.972  -0.608 0.972  -0.436 0.972  -0.265 0.972  -0.093 0.972  0.079 0.972  0.251 0.972  0.423 0.972  0.595 0.972  0.766 0.972  0.938 0.972  0.928 0.964  0.846 0.843  0.754 0.710  0.687 0.580  0.583 0.454  0.536 0.326  0.449 0.242  0.318 0.164  0.297 0.013  0.188 -0.049  0.144 -0.177  0.057 -0.262  -0.085 -0.291  -0.154 -0.416  -0.237 -0.509  -0.347 -0.596  -0.465 -0.684  -0.531 -0.814  -0.660 -0.858  -0.788 -0.901  -0.916 -0.945  -0.888 -1.032  -0.717 -1.032  -0.545 -1.032  -0.417 -0.988  -0.302 -0.912  -0.134 -0.901  0.030 -0.858  0.202 -0.858  0.330 -0.814  0.502 -0.814  0.674 -0.814  0.846 -0.814  0.885 -0.681  0.885 -0.509
2#tos#t3#t3014060/c  0.272 0.766  0.209 0.711  0.209 0.812  0.209 0.931  0.209 1.049  0.191 1.156  0.085 1.209  0.031 1.273  0.019 1.294  -0.068 1.230  -0.171 1.200  -0.172 1.082  -0.225 0.976  -0.331 0.956  -0.389 0.873  -0.425 0.761  -0.425 0.642  -0.477 0.576  -0.552 0.533  -0.552 0.415  -0.563 0.299  -0.615 0.193  -0.615 0.075  -0.615 -0.043  -0.615 -0.161  -0.615 -0.279  -0.615 -0.398  -0.615 -0.516  -0.585 -0.627  -0.552 -0.737  -0.507 -0.845  -0.476 -0.946  -0.362 -0.950  -0.303 -1.009  -0.185 -1.009  -0.066 -1.009  0.052 -1.009  0.170 -1.009  0.285 -1.001  0.384 -0.935  0.486 -0.883  0.600 -0.872  0.688 -0.793  0.782 -0.722  0.877 -0.651  0.985 -0.609  1.100 -0.581  1.216 -0.566  1.285 -0.474  1.351 -0.375
2#tos#t3#t3014060/e  -0.231 0.452  -0.358 0.387  -0.487 0.324  -0.610 0.261  -0.418 0.261  -0.226 0.261  -0.034 0.261  0.158 0.261  0.350 0.261  0.542 0.261  0.734 0.261  0.926 0.261  0.991 0.388  0.918 0.450  0.852 0.577  0.688 0.643  0.496 0.643  0.406 0.745  0.303 0.834  0.111 0.834  -0.081 0.834  -0.273 0.834  -0.465 0.834  -0.657 0.834  -0.722 0.706  -0.914 0.706  -0.978 0.579  -0.995 0.404  -1.059 0.275  -1.059 0.083  -1.059 -0.109  -1.059 -0.301  -1.006 -0.440  -0.942 -0.609  -0.867 -0.734  -0.763 -0.822  -0.621 -0.941  -0.432 -0.949  -0.240 -0.949  -0.048 -0.949  0.144 -0.949  0.336 -0.949  0.528 -0.949  0.710 -0.916  0.874 -0.822  1.066 -0.822  1.258 -0.822  1.298 -0.670  1.361 -0.504  1.552 -0.504
2#tos#t3#t3014060/i  0.016 1.694  -0.074 1.694  -0.114 1.673  -0.050 1.610  -0.034 1.527  -0.031 1.438  -0.025 1.349  -0.020 1.260  -0.014 1.170  -0.008 1.081  -0.003 0.992  0.003 0.903  0.008 0.813  0.014 0.724  -0.044 0.694  -0.133 0.694  -0.107 0.617  -0.044 0.554  -0.034 0.468  0.016 0.429  0.016 0.340  0.016 0.250  0.016 0.161  0.016 0.071  0.016 -0.018  0.016 -0.107  0.016 -0.197  0.016 -0.286  0.016 -0.376  0.016 -0.465  0.016 -0.554  0.016 -0.644  0.045 -0.704  0.066 -0.773  0.066 -0.862  0.066 -0.951  0.066 -1.041  0.066 -1.130  0.081 -1.204  0.060 -1.204  -0.029 -1.204  -0.118 -1.204  -0.208 -1.204  -0.221 -1.154  -0.132 -1.154  -0.042 -1.154  0.047 -1.154  0.137 -1.154  0.226 -1.154  0.315 -1.154
2#tos#t3#t3014060/n  -0.737 1.314  -0.763 1.154  -0.738 1.154  -0.658 1.047  -0.524 0.996  -0.469 0.833  -0.417 0.668  -0.417 0.482  -0.417 0.296  -0.417 0.109  -0.417 -0.077  -0.417 -0.263  -0.420 -0.448  -0.524 -0.560  -0.524 -0.746  -0.524 -0.932  -0.505 -1.030  -0.471 -0.931  -0.471 -1.117  -0.518 -1.244  -0.471 -1.104  -0.471 -0.918  -0.471 -0.732  -0.471 -0.546  -0.471 -0.360  -0.471 -0.174  -0.440 -0.018  -0.417 0.145  -0.327 0.269  -0.311 0.451  -0.202 0.571  -0.144 0.731  0.019 0.800  0.151 0.888  0.337 0.888  0.514 0.848  0.632 0.736  0.755 0.666  0.833 0.543  0.889 0.381  0.915 0.205  1.021 0.094  1.075 -0.038  1.107 -0.211  1.128 -0.388  1.128 -0.575  1.075 -0.739  1.128 -0.871  1.128 -1.057  1.181 -1.190
2#tos#t3#t3014060/p  -0.320 1.561  -0.381 1.393  -0.381 1.164  -0.381 0.936  -0.381 0.707  -0.381 0.478  -0.381 0.249  -0.329 0.083  -0.381 -0.133  -0.381 -0.362  -0.381 -0.591  -0.381 -0.820  -0.381 -1.049  -0.381 -1.278  -0.406 -1.481  -0.460 -1.376  -0.614 -1.263  -0.807 -1.327  -0.672 -1.420  -0.443 -1.420  -0.254 -1.376  -0.224 -1.149  -0.195 -0.922  -0.166 -0.695  -0.137 -0.468  -0.108 -0.241  -0.079 -0.014  -0.050 0.213  -0.021 0.440  0.008 0.667  0.037 0.894  -0.125 0.953  -0.165 0.831  0.064 0.831  0.171 0.953  0.400 0.953  0.629 0.953  0.836 0.931  0.965 0.831  1.019 0.656  1.118 0.527  1.140 0.395  1.079 0.192  0.958 0.085  0.774 0.040  0.606 -0.021  0.377 -0.021  0.198 -0.143  -0.030 -0.143  -0.198 -0.203
2#tos#t3#t3014060/q  0.179 1.120  0.044 1.013  -0.081 1.082  -0.255 1.120  -0.435 1.120  -0.615 1.120  -0.724 1.022  -0.813 0.879  -0.840 0.710  -0.947 0.637  -0.947 0.456  -0.908 0.315  -0.808 0.175  -0.733 0.017  -0.576 -0.007  -0.462 -0.114  -0.282 -0.114  -0.101 -0.114  -0.035 0.000  0.023 0.154  0.137 0.262  0.210 0.369  0.287 0.472  0.318 0.645  0.394 0.766  0.394 0.947  0.347 1.066  0.340 0.987  0.340 0.806  0.340 0.626  0.340 0.446  0.340 0.265  0.340 0.085  0.340 -0.095  0.340 -0.276  0.340 -0.456  0.340 -0.636  0.287 -0.763  0.287 -0.943  0.287 -1.124  0.242 -1.285  0.233 -1.449  0.100 -1.402  -0.080 -1.402  -0.025 -1.402  0.156 -1.402  0.336 -1.402  0.516 -1.402  0.662 -1.436  0.823 -1.456
2#tos#t3#t3014060/s  0.664 1.238  0.607 1.143  0.551 1.047  0.554 0.899  0.622 0.899  0.526 0.955  0.449 1.057  0.325 1.091  0.207 1.125  0.098 1.169  -0.015 1.208  -0.134 1.232  -0.265 1.182  -0.354 1.119  -0.438 1.012  -0.524 0.906  -0.524 0.754  -0.524 0.602  -0.524 0.450  -0.483 0.308  -0.407 0.218  -0.276 0.143  -0.150 0.062  -0.057 -0.006  0.095 -0.006  0.155 -0.098  0.286 -0.119  0.407 -0.170  0.463 -0.289  0.494 -0.410  0.598 -0.458  0.607 -0.601  0.607 -0.753  0.607 -0.905  0.494 -0.943  0.494 -1.095  0.384 -1.137  0.232 -1.137  0.080 -1.137  -0.071 -1.136  -0.167 -1.080  -0.297 -1.059  -0.415 -1.024  -0.543 -0.985  -0.637 -0.899  -0.637 -0.747  -0.750 -0.705  -0.751 -0.856  -0.806 -0.985  -0.863 -1.080
2#tos#t3#t3014060/u  -1.025 1.229  -1.090 1.107  -1.155 1.023  -1.155 0.874  -1.155 0.725  -1.155 0.576  -1.155 0.427  -1.155 0.278  -1.096 0.187  -1.090 0.045  -1.090 -0.104  -1.090 -0.254  -0.995 -0.363  -0.960 -0.498  -0.871 -0.576  -0.773 -0.659  -0.634 -0.669  -0.540 -0.724  -0.391 -0.724  -0.242 -0.724  -0.095 -0.715  0.017 -0.635  0.082 -0.551  0.209 -0.529  0.278 -0.448  0.322 -0.310  0.435 -0.242  0.494 -0.117  0.538 0.014  0.538 0.163  0.538 0.312  0.668 0.331  0.668 0.480  0.668 0.629  0.718 0.758  0.733 0.900  0.733 0.758  0.733 0.609  0.733 0.460  0.733 0.311  0.733 0.162  0.733 0.013  0.797 -0.073  0.864 -0.155  0.864 -0.304  0.864 -0.453  0.929 -0.537  0.994 -0.621  1.105 -0.659  1.189 -0.724
2#tos#t3#t3014060/v  -1.152 0.596  -1.183 0.446  -1.352 0.403  -1.349 0.382  -1.188 0.329  -1.018 0.311  -0.844 0.311  -0.670 0.311  -0.522 0.373  -0.381 0.453  -0.206 0.453  -0.137 0.436  -0.303 0.381  -0.468 0.326  -0.633 0.271  -0.802 0.240  -0.868 0.132  -0.728 0.098  -0.655 -0.057  -0.551 -0.167  -0.486 -0.311  -0.440 -0.474  -0.357 -0.626  -0.234 -0.750  -0.217 -0.919  -0.145 -1.077  -0.090 -1.242  0.035 -1.252  0.066 -1.160  0.166 -1.039  0.198 -0.897  0.269 -0.794  0.297 -0.627  0.375 -0.471  0.482 -0.377  0.482 -0.203  0.496 -0.037  0.624 0.058  0.624 0.232  0.691 0.378  0.834 0.453  0.696 0.482  0.756 0.596  0.930 0.596  1.104 0.596  1.278 0.596  1.453 0.596  1.627 0.596  1.730 0.524  1.762 0.524
2#tos#t3#t3014060/x  -0.432 0.804  -0.608 0.690  -0.375 0.495  -0.204 0.193  0.049 0.037  0.230 -0.219  0.334 -0.564  0.590 -0.735  0.823 -0.963  0.986 -0.967  0.960 -0.574  0.935 -0.181  0.909 0.213  0.884 0.606  0.708 0.551  0.480 0.385  0.309 0.114  0.040 -0.076  -0.182 -0.314  -0.476 -0.537  -0.664 -0.800  -0.936 -0.963  -0.966 -0.580  -0.987 -0.186  -1.009 0.207  -1.030 0.601  -1.051 0.994  -1.173 1.018  -0.879 0.918  -0.542 0.861  -0.155 0.910  0.222 1.023  0.600 1.136  0.708 1.154  0.922 0.975  0.743 0.769  0.439 0.519  0.135 0.268  -0.170 0.018  -0.474 -0.233  -0.778 -0.483  -1.119 -0.627  -0.964 -0.845  -0.571 -0.846  -0.179 -0.802  0.212 -0.759  0.604 -0.715  0.875 -0.678  0.954 -0.849  1.278 -0.963
