2#tos#f1#f1017062/\"  -0.800 1.148  -0.937 1.118  -0.937 0.952  -0.937 0.786  -0.937 0.620  -0.937 0.453  -0.937 0.287  -0.937 0.121  -0.937 -0.046  -0.937 -0.212  -0.937 -0.378  -0.937 -0.545  -0.937 -0.711  -0.937 -0.877  -0.831 -0.800  -0.710 -0.687  -0.588 -0.573  -0.467 -0.460  -0.345 -0.346  -0.223 -0.233  -0.102 -0.120  0.020 -0.006  0.141 0.107  0.263 0.221  0.384 0.334  0.506 0.448  0.628 0.561  0.749 0.675  0.871 0.788  0.992 0.902  1.105 1.012  0.974 0.977  0.974 0.811  0.974 0.644  0.974 0.478  0.820 0.466  0.701 0.418  0.646 0.275  0.552 0.144  0.512 -0.017  0.471 -0.179  0.431 -0.340  0.320 -0.461  0.291 -0.616  0.291 -0.782  0.291 -0.948  0.291 -1.115  0.291 -1.281  0.354 -1.433  0.428 -1.581
2#tos#f1#f1017062/a  -1.066 1.003  -1.212 0.964  -1.208 1.080  -1.051 1.149  -0.866 1.149  -0.680 1.149  -0.495 1.149  -0.310 1.149  -0.124 1.149  0.061 1.149  0.222 1.069  0.321 0.937  0.368 0.763  0.394 0.583  0.394 0.398  0.394 0.213  0.394 0.027  0.332 -0.143  0.310 -0.322  0.179 -0.453  0.175 -0.636  0.033 -0.711  -0.117 -0.779  -0.218 -0.922  -0.385 -0.968  -0.570 -0.968  -0.701 -0.913  -0.722 -0.749  -0.774 -0.616  -0.774 -0.430  -0.712 -0.260  -0.629 -0.094  -0.482 -0.055  -0.348 0.048  -0.263 0.153  -0.125 0.200  0.060 0.200  0.175 0.130  0.327 0.026  0.394 -0.124  0.394 -0.309  0.394 -0.494  0.448 -0.657  0.596 -0.749  0.781 -0.749  0.967 -0.749  1.152 -0.749  1.337 -0.749  1.523 -0.749  1.708 -0.749
2#tos#f1#f1017062/b  -0.049 1.620  -0.206 1.711  -0.389 1.757  -0.392 1.846  -0.392 1.657  -0.392 1.468  -0.392 1.280  -0.392 1.091  -0.392 0.903  -0.392 0.714  -0.371 0.529  -0.323 0.348  -0.323 0.160  -0.279 -0.022  -0.254 -0.206  -0.254 -0.395  -0.254 -0.583  -0.254 -0.772  -0.174 -0.942  -0.117 -1.117  -0.117 -1.305  -0.117 -1.494  -0.133 -1.388  -0.153 -1.200  -0.173 -1.013  -0.193 -0.825  -0.213 -0.638  -0.233 -0.450  -0.254 -0.263  -0.274 -0.075  -0.294 0.112  -0.314 0.300  -0.221 0.386  -0.077 0.494  0.100 0.523  0.288 0.523  0.447 0.449  0.626 0.389  0.805 0.330  0.909 0.184  0.980 0.024  0.979 -0.164  0.886 -0.326  0.760 -0.465  0.676 -0.634  0.545 -0.735  0.444 -0.892  0.272 -0.917  0.085 -0.921  -0.049 -1.055
2#tos#f1#f1017062/d  -0.126 0.103  -0.122 0.014  -0.230 0.144  -0.428 0.155  -0.625 0.127  -0.802 0.050  -0.806 -0.154  -0.963 -0.249  -0.963 -0.458  -0.963 -0.666  -0.911 -0.822  -0.785 -0.945  -0.583 -0.959  -0.390 -0.997  -0.184 -0.981  -0.073 -0.853  0.063 -0.742  0.129 -0.554  0.136 -0.347  0.136 -0.138  0.188 0.058  0.190 0.266  0.230 0.470  0.241 0.678  0.241 0.886  0.297 1.077  0.345 1.271  0.345 1.480  0.281 1.642  0.130 1.725  -0.021 1.668  -0.073 1.472  -0.073 1.264  0.031 1.087  0.031 0.879  0.031 0.670  0.031 0.462  0.031 0.253  0.031 0.045  0.032 -0.163  0.083 -0.366  0.084 -0.574  0.143 -0.762  0.241 -0.938  0.408 -1.054  0.605 -1.102  0.814 -1.102  1.017 -1.080  1.218 -1.049  1.340 -0.892
2#tos#f1#f1017062/f  -0.464 0.359  -0.611 0.313  -0.750 0.267  -0.907 0.267  -0.876 0.267  -0.718 0.267  -0.561 0.267  -0.403 0.267  -0.245 0.267  -0.098 0.222  0.059 0.221  0.217 0.221  0.350 0.138  0.494 0.083  0.527 0.230  0.553 0.385  0.579 0.541  0.605 0.696  0.631 0.852  0.657 1.008  0.683 1.163  0.554 1.187  0.396 1.187  0.238 1.187  0.081 1.184  -0.020 1.095  -0.050 0.967  -0.167 0.908  -0.188 0.755  -0.188 0.597  -0.188 0.439  -0.133 0.304  -0.096 0.162  -0.023 0.030  0.046 -0.112  0.105 -0.256  0.180 -0.382  0.198 -0.533  0.226 -0.679  0.226 -0.836  0.226 -0.994  0.134 -1.095  0.134 -1.252  0.066 -1.388  0.008 -1.533  -0.079 -1.664  -0.173 -1.790  -0.280 -1.903  -0.398 -1.943  -0.556 -1.943
2#tos#f1#f1017062/g  -0.521 1.660  -0.647 1.660  -0.610 1.466  -0.521 1.262  -0.349 1.153  -0.138 1.061  0.073 0.968  0.284 0.876  0.140 0.858  -0.090 0.858  -0.321 0.858  -0.516 0.773  -0.654 0.626  -0.654 0.396  -0.525 0.234  -0.339 0.190  -0.109 0.190  0.104 0.249  0.273 0.404  0.243 0.622  0.107 0.807  -0.120 0.813  -0.259 0.778  -0.087 0.624  0.084 0.469  0.136 0.279  -0.007 0.172  -0.031 -0.056  -0.031 -0.286  -0.075 -0.506  0.138 -0.523  0.369 -0.523  0.141 -0.523  -0.034 -0.657  -0.175 -0.785  -0.298 -0.950  -0.298 -1.181  -0.220 -1.393  -0.046 -1.517  0.166 -1.548  0.396 -1.548  0.590 -1.459  0.780 -1.361  0.881 -1.195  0.905 -0.970  0.730 -0.838  0.585 -0.684  0.383 -0.576  0.155 -0.568  0.014 -0.657
2#tos#f1#f1017062/h  -0.496 1.888  -0.496 1.750  -0.496 1.612  -0.496 1.474  -0.499 1.336  -0.532 1.202  -0.556 1.066  -0.556 0.928  -0.556 0.790  -0.556 0.652  -0.556 0.514  -0.556 0.375  -0.556 0.237  -0.556 0.099  -0.556 -0.039  -0.556 -0.177  -0.532 -0.313  -0.498 -0.447  -0.496 -0.584  -0.496 -0.723  -0.436 -0.836  -0.420 -0.781  -0.397 -0.645  -0.374 -0.509  -0.352 -0.373  -0.329 -0.236  -0.316 -0.099  -0.316 0.039  -0.316 0.177  -0.205 0.205  -0.067 0.205  0.071 0.205  0.209 0.205  0.348 0.205  0.486 0.205  0.570 0.117  0.652 0.009  0.695 -0.122  0.706 -0.259  0.706 -0.397  0.706 -0.535  0.706 -0.673  0.706 -0.812  0.706 -0.950  0.797 -0.997  0.935 -0.997  1.073 -0.997  1.211 -0.997  1.350 -0.997  1.488 -0.997
2#tos#f1#f1017062/l  0.245 1.045  0.164 1.045  0.082 1.045  0.075 1.118  0.075 1.200  0.075 1.281  0.075 1.362  0.034 1.427  0.018 1.383  0.018 1.302  0.018 1.220  0.018 1.139  0.004 1.060  -0.022 0.983  -0.039 0.904  -0.039 0.823  -0.057 0.744  -0.077 0.665  -0.096 0.586  -0.096 0.505  -0.096 0.424  -0.096 0.342  -0.096 0.261  -0.096 0.180  -0.096 0.099  -0.096 0.017  -0.096 -0.064  -0.096 -0.145  -0.096 -0.227  -0.096 -0.308  -0.096 -0.389  -0.096 -0.471  -0.096 -0.552  -0.096 -0.633  -0.096 -0.714  -0.096 -0.796  -0.096 -0.877  -0.081 -0.949  -0.008 -0.986  0.018 -1.051  0.018 -1.132  0.018 -1.213  0.018 -1.295  0.018 -1.376  0.079 -1.396  0.160 -1.396  0.188 -1.450  0.188 -1.531  0.229 -1.587  0.302 -1.623
2#tos#f1#f1017062/m  -0.678 0.766  -0.843 0.766  -0.909 0.865  -0.985 0.886  -0.985 0.721  -0.985 0.556  -0.985 0.391  -0.985 0.226  -0.985 0.062  -0.975 -0.101  -0.909 -0.250  -0.909 -0.415  -0.909 -0.580  -0.858 -0.695  -0.832 -0.710  -0.832 -0.545  -0.832 -0.380  -0.789 -0.225  -0.745 -0.075  -0.601 0.002  -0.601 0.167  -0.508 0.274  -0.447 0.402  -0.339 0.459  -0.217 0.371  -0.217 0.206  -0.107 0.151  -0.025 0.036  0.014 -0.122  0.014 -0.287  0.079 -0.387  0.228 -0.319  0.370 -0.261  0.492 -0.152  0.652 -0.112  0.783 -0.050  0.796 0.113  0.848 0.269  0.950 0.395  1.013 0.383  1.020 0.221  1.137 0.105  1.167 -0.048  1.167 -0.213  1.167 -0.378  1.322 -0.388  1.460 -0.480  1.606 -0.541  1.771 -0.541  1.936 -0.541
2#tos#f1#f1017062/n  -0.708 0.421  -0.848 0.432  -0.848 0.584  -0.848 0.736  -0.848 0.888  -0.918 0.852  -0.918 0.700  -0.918 0.549  -0.918 0.397  -0.918 0.245  -0.918 0.093  -0.918 -0.059  -0.918 -0.210  -0.850 -0.346  -0.848 -0.498  -0.848 -0.649  -0.848 -0.801  -0.807 -0.924  -0.663 -0.972  -0.545 -0.898  -0.409 -0.831  -0.288 -0.754  -0.279 -0.603  -0.231 -0.459  -0.218 -0.309  -0.179 -0.164  -0.104 -0.040  0.022 0.044  0.109 0.163  0.177 0.299  0.226 0.421  0.343 0.456  0.343 0.608  0.402 0.701  0.533 0.751  0.661 0.733  0.740 0.606  0.763 0.459  0.763 0.307  0.763 0.155  0.833 0.033  0.855 -0.114  0.934 -0.241  0.999 -0.358  1.143 -0.406  1.293 -0.420  1.444 -0.420  1.596 -0.420  1.740 -0.386  1.883 -0.350
2#tos#f1#f1017062/o  -0.637 0.370  -0.652 0.507  -0.705 0.605  -0.774 0.600  -0.774 0.448  -0.807 0.304  -0.842 0.161  -0.842 0.009  -0.842 -0.143  -0.842 -0.295  -0.842 -0.447  -0.842 -0.598  -0.801 -0.740  -0.685 -0.817  -0.538 -0.853  -0.431 -0.947  -0.333 -1.000  -0.181 -1.000  -0.029 -1.000  0.123 -1.000  0.205 -0.926  0.352 -0.889  0.500 -0.853  0.647 -0.816  0.778 -0.750  0.870 -0.636  0.870 -0.484  0.919 -0.371  1.066 -0.334  1.144 -0.243  1.144 -0.091  1.144 0.061  1.144 0.212  1.144 0.364  1.013 0.435  0.942 0.568  0.837 0.677  0.711 0.758  0.565 0.781  0.413 0.781  0.261 0.781  0.109 0.781  -0.042 0.781  -0.194 0.781  -0.346 0.781  -0.498 0.781  -0.649 0.781  -0.801 0.781  -0.921 0.703  -1.048 0.644
2#tos#f1#f1017062/p  -0.237 0.942  -0.237 1.165  -0.298 1.167  -0.298 0.944  -0.298 0.721  -0.298 0.498  -0.298 0.275  -0.298 0.052  -0.298 -0.171  -0.298 -0.394  -0.298 -0.617  -0.189 -0.807  -0.137 -1.023  -0.080 -1.238  -0.054 -1.456  -0.054 -1.679  0.113 -1.824  0.233 -1.789  0.180 -1.572  0.127 -1.356  0.074 -1.139  0.021 -0.922  -0.032 -0.706  -0.085 -0.489  -0.138 -0.273  -0.191 -0.056  -0.244 0.161  -0.297 0.377  -0.350 0.594  -0.403 0.811  -0.481 0.970  -0.481 1.193  -0.311 1.247  -0.088 1.247  0.135 1.247  0.358 1.247  0.546 1.131  0.712 0.985  0.912 0.886  0.921 0.669  0.921 0.446  0.887 0.228  0.737 0.102  0.558 -0.032  0.375 -0.154  0.217 -0.311  0.005 -0.338  -0.218 -0.338  -0.441 -0.338  -0.603 -0.277
2#tos#f1#f1017062/s  0.403 1.026  0.338 1.095  0.263 1.156  0.224 1.274  0.102 1.305  -0.033 1.305  -0.144 1.248  -0.157 1.118  -0.269 1.095  -0.404 1.095  -0.469 0.999  -0.523 0.886  -0.647 0.875  -0.647 0.740  -0.718 0.676  -0.787 0.610  -0.787 0.475  -0.747 0.356  -0.652 0.261  -0.519 0.256  -0.384 0.256  -0.284 0.172  -0.181 0.085  -0.069 0.010  0.034 -0.076  0.143 -0.154  0.256 -0.229  0.389 -0.234  0.524 -0.234  0.659 -0.234  0.794 -0.234  0.823 -0.340  0.924 -0.374  0.963 -0.470  0.963 -0.605  0.881 -0.666  0.786 -0.761  0.690 -0.857  0.560 -0.877  0.429 -0.910  0.301 -0.950  0.179 -1.009  0.051 -1.051  -0.080 -1.074  -0.215 -1.074  -0.337 -1.129  -0.458 -1.189  -0.587 -1.214  -0.722 -1.214  -0.857 -1.214
2#tos#f1#f1017062/t  -0.962 0.129  -1.026 0.023  -1.196 0.023  -1.358 -0.015  -1.524 -0.031  -1.461 -0.084  -1.290 -0.084  -1.152 -0.007  -1.003 0.070  -0.844 0.129  -0.674 0.129  -0.504 0.129  -0.333 0.129  -0.163 0.129  0.006 0.141  0.173 0.175  0.342 0.183  0.513 0.183  0.683 0.183  0.853 0.183  1.024 0.183  1.172 0.236  1.151 0.316  1.031 0.436  0.910 0.556  0.790 0.677  0.669 0.797  0.549 0.918  0.429 1.038  0.258 1.039  0.088 1.039  0.000 0.956  -0.053 0.840  -0.053 0.669  -0.053 0.499  -0.040 0.330  -0.007 0.163  0.000 -0.007  0.023 -0.174  0.054 -0.341  0.054 -0.511  0.081 -0.679  0.107 -0.847  0.124 -1.010  0.244 -1.131  0.365 -1.251  0.374 -1.417  0.454 -1.555  0.535 -1.691  0.642 -1.796
2#tos#f1#f1017062/x  -1.146 0.696  -1.313 0.654  -1.481 0.626  -1.411 0.546  -1.268 0.451  -1.216 0.307  -1.075 0.277  -0.920 0.219  -0.776 0.126  -0.622 0.049  -0.487 -0.048  -0.391 -0.191  -0.235 -0.248  -0.076 -0.304  0.019 -0.444  0.141 -0.558  0.284 -0.653  0.427 -0.749  0.592 -0.772  0.754 -0.813  0.849 -0.912  0.960 -0.843  0.980 -0.673  1.001 -0.502  1.021 -0.331  1.042 -0.161  1.062 0.010  1.083 0.181  1.103 0.351  1.124 0.522  1.144 0.693  1.134 0.836  0.962 0.836  0.790 0.836  0.618 0.836  0.479 0.745  0.320 0.681  0.175 0.603  0.121 0.440  -0.005 0.328  -0.142 0.225  -0.267 0.107  -0.377 -0.019  -0.377 -0.191  -0.497 -0.303  -0.634 -0.406  -0.731 -0.546  -0.819 -0.694  -0.911 -0.839  -1.006 -0.982
2#tos#f1#f1017062/y  -0.736 0.986  -0.786 0.911  -0.838 0.838  -0.865 0.768  -0.786 0.676  -0.728 0.574  -0.657 0.477  -0.588 0.395  -0.564 0.288  -0.443 0.258  -0.369 0.195  -0.244 0.195  -0.119 0.195  0.005 0.195  0.016 0.318  0.070 0.431  0.123 0.544  0.176 0.657  0.229 0.770  0.282 0.883  0.336 0.996  0.389 1.109  0.304 1.135  0.203 1.111  0.203 0.986  0.203 0.861  0.203 0.736  0.203 0.611  0.203 0.487  0.203 0.362  0.203 0.237  0.203 0.112  0.203 -0.013  0.203 -0.138  0.203 -0.263  0.203 -0.388  0.203 -0.513  0.203 -0.638  0.203 -0.763  0.203 -0.888  0.203 -1.013  0.203 -1.137  0.203 -1.262  0.219 -1.385  0.252 -1.504  0.252 -1.629  0.252 -1.754  0.252 -1.879  0.252 -2.004  0.252 -2.129
2#tos#f1#f1017062/z  -0.657 0.947  -0.784 0.947  -0.911 0.947  -0.916 1.018  -0.789 1.018  -0.665 1.034  -0.542 1.065  -0.418 1.089  -0.291 1.089  -0.164 1.089  -0.037 1.089  0.090 1.089  0.217 1.089  0.301 1.020  0.382 0.947  0.409 0.847  0.409 0.720  0.409 0.593  0.299 0.553  0.230 0.448  0.196 0.330  0.162 0.236  0.045 0.220  -0.011 0.107  -0.098 0.014  -0.160 -0.087  -0.176 -0.207  -0.259 -0.303  -0.329 -0.408  -0.394 -0.517  -0.444 -0.632  -0.494 -0.738  -0.584 -0.828  -0.586 -0.954  -0.507 -1.043  -0.380 -1.043  -0.253 -1.043  -0.130 -1.028  -0.016 -0.972  0.110 -0.972  0.225 -0.942  0.335 -0.901  0.461 -0.901  0.588 -0.901  0.715 -0.901  0.841 -0.898  0.955 -0.841  1.079 -0.830  1.206 -0.830  1.333 -0.830
