2#tos#f3#f3012066/!  0.400 1.570  0.326 1.570  0.316 1.523  0.353 1.486  0.353 1.412  0.353 1.337  0.345 1.264  0.321 1.193  0.307 1.121  0.307 1.047  0.307 0.972  0.273 0.907  0.235 0.843  0.196 0.779  0.157 0.716  0.116 0.654  0.074 0.592  0.059 0.519  0.045 0.446  0.030 0.373  0.001 0.305  -0.033 0.238  -0.066 0.171  -0.099 0.105  -0.113 0.033  -0.113 -0.041  -0.113 -0.116  -0.113 -0.190  -0.126 -0.258  -0.188 -0.299  -0.250 -0.340  -0.253 -0.413  -0.253 -0.488  -0.247 -0.562  -0.233 -0.635  -0.219 -0.708  -0.206 -0.782  -0.192 -0.855  -0.178 -0.928  -0.164 -1.001  -0.151 -1.075  -0.137 -1.148  -0.123 -1.221  -0.132 -1.275  -0.160 -1.322  -0.188 -1.369  -0.206 -1.425  -0.206 -1.499  -0.206 -1.574  -0.206 -1.648
2#tos#f3#f3012066/T  -1.367 0.237  -1.501 0.237  -1.557 0.315  -1.440 0.332  -1.307 0.332  -1.173 0.332  -1.040 0.342  -0.910 0.375  -0.777 0.379  -0.643 0.379  -0.509 0.379  -0.377 0.391  -0.249 0.428  -0.120 0.464  0.013 0.474  0.146 0.480  0.279 0.496  0.412 0.513  0.545 0.522  0.679 0.522  0.813 0.522  0.946 0.522  1.080 0.522  1.194 0.474  1.116 0.437  0.983 0.454  0.851 0.470  0.718 0.487  0.585 0.504  0.452 0.520  0.319 0.522  0.220 0.465  0.142 0.358  0.106 0.233  0.106 0.099  0.106 -0.035  0.106 -0.168  0.106 -0.302  0.106 -0.436  0.106 -0.570  0.106 -0.704  0.106 -0.838  0.106 -0.971  0.072 -1.100  0.058 -1.231  0.058 -1.365  0.058 -1.499  0.058 -1.633  0.058 -1.767  0.058 -1.901
2#tos#f3#f3012066/V  -0.871 0.879  -0.992 0.879  -1.015 0.838  -0.916 0.785  -0.830 0.699  -0.789 0.586  -0.761 0.468  -0.737 0.349  -0.673 0.249  -0.597 0.155  -0.547 0.051  -0.547 -0.070  -0.547 -0.192  -0.547 -0.313  -0.511 -0.423  -0.451 -0.527  -0.427 -0.646  -0.397 -0.763  -0.343 -0.871  -0.296 -0.983  -0.253 -1.096  -0.175 -1.163  -0.136 -1.278  -0.027 -1.295  0.054 -1.255  0.054 -1.134  0.098 -1.023  0.150 -0.914  0.179 -0.796  0.222 -0.683  0.276 -0.575  0.286 -0.456  0.311 -0.339  0.350 -0.224  0.378 -0.107  0.378 0.014  0.409 0.123  0.494 0.208  0.534 0.319  0.558 0.438  0.586 0.555  0.628 0.666  0.714 0.752  0.781 0.851  0.845 0.954  0.901 1.060  0.942 1.174  1.006 1.275  1.085 1.366  1.164 1.434
2#tos#f3#f3012066/W  -1.311 0.848  -1.196 0.703  -1.119 0.563  -1.100 0.377  -0.993 0.234  -0.972 0.054  -0.940 -0.129  -0.901 -0.313  -0.850 -0.493  -0.845 -0.680  -0.801 -0.849  -0.719 -1.013  -0.661 -1.143  -0.491 -1.114  -0.412 -0.944  -0.379 -0.762  -0.359 -0.576  -0.337 -0.391  -0.314 -0.206  -0.294 -0.020  -0.264 0.164  -0.252 0.350  -0.210 0.529  -0.167 0.709  -0.125 0.886  -0.034 0.879  0.036 0.705  0.059 0.522  0.129 0.351  0.129 0.163  0.143 -0.023  0.184 -0.206  0.256 -0.379  0.341 -0.540  0.425 -0.677  0.480 -0.816  0.655 -0.847  0.748 -0.737  0.865 -0.591  0.892 -0.412  0.920 -0.228  1.005 -0.063  1.019 0.120  1.062 0.301  1.062 0.489  1.062 0.676  1.062 0.864  1.113 1.043  1.172 1.221  1.231 1.399
2#tos#f3#f3012066/Y  -1.295 1.260  -1.178 1.142  -1.047 1.010  -0.938 0.864  -0.757 0.819  -0.688 0.647  -0.583 0.498  -0.464 0.356  -0.346 0.213  -0.217 0.080  -0.172 -0.100  -0.079 -0.261  0.002 -0.428  0.048 -0.608  0.106 -0.778  0.202 -0.932  0.223 -1.114  0.236 -1.287  0.422 -1.287  0.608 -1.287  0.634 -1.109  0.654 -0.924  0.674 -0.739  0.694 -0.554  0.714 -0.369  0.734 -0.184  0.754 0.001  0.774 0.186  0.794 0.371  0.811 0.556  0.811 0.742  0.811 0.928  0.811 1.114  0.687 1.198  0.521 1.115  0.389 0.984  0.257 0.853  0.172 0.691  0.087 0.527  -0.029 0.382  -0.142 0.234  -0.255 0.086  -0.371 -0.059  -0.467 -0.218  -0.550 -0.384  -0.675 -0.520  -0.788 -0.665  -0.806 -0.847  -0.882 -1.010  -0.904 -1.189
2#tos#f3#f3012066/Z  0.217 -0.320  0.115 -0.175  0.014 -0.030  -0.088 0.115  -0.189 0.260  -0.290 0.404  -0.392 0.549  -0.493 0.694  -0.595 0.839  -0.671 0.905  -0.807 0.864  -0.825 0.834  -0.653 0.873  -0.483 0.919  -0.331 1.006  -0.159 1.048  0.015 1.075  0.192 1.075  0.369 1.075  0.546 1.075  0.722 1.075  0.804 0.986  0.727 0.832  0.618 0.695  0.506 0.561  0.400 0.420  0.260 0.315  0.169 0.164  0.048 0.040  -0.076 -0.083  -0.189 -0.218  -0.323 -0.333  -0.450 -0.453  -0.539 -0.605  -0.653 -0.723  -0.764 -0.844  -0.824 -1.007  -0.741 -1.081  -0.564 -1.081  -0.387 -1.081  -0.211 -1.081  -0.034 -1.081  0.143 -1.081  0.318 -1.066  0.491 -1.038  0.668 -1.038  0.845 -1.038  1.004 -1.081  1.181 -1.081  1.358 -1.081
2#tos#f3#f3012066/c  0.054 0.955  0.087 1.055  0.116 1.156  0.116 1.262  0.012 1.265  -0.094 1.265  -0.193 1.235  -0.287 1.188  -0.381 1.140  -0.429 1.045  -0.443 0.942  -0.483 0.853  -0.558 0.778  -0.567 0.676  -0.567 0.570  -0.601 0.475  -0.664 0.391  -0.728 0.306  -0.753 0.208  -0.753 0.102  -0.753 -0.003  -0.746 -0.105  -0.658 -0.164  -0.570 -0.223  -0.567 -0.328  -0.567 -0.433  -0.567 -0.539  -0.519 -0.597  -0.440 -0.662  -0.358 -0.721  -0.252 -0.721  -0.147 -0.721  -0.068 -0.786  0.014 -0.845  0.120 -0.845  0.226 -0.845  0.332 -0.845  0.438 -0.845  0.543 -0.845  0.639 -0.801  0.734 -0.754  0.831 -0.713  0.934 -0.687  1.036 -0.662  1.096 -0.577  1.150 -0.486  1.205 -0.396  1.269 -0.312  1.344 -0.238  1.419 -0.163
2#tos#f3#f3012066/d  0.262 -0.717  0.262 -0.506  0.166 -0.391  0.090 -0.219  -0.024 -0.061  -0.211 0.027  -0.415 0.043  -0.626 0.043  -0.800 -0.017  -0.894 -0.205  -0.933 -0.407  -0.933 -0.618  -0.933 -0.828  -0.824 -0.930  -0.697 -1.073  -0.602 -1.205  -0.391 -1.205  -0.227 -1.159  -0.133 -0.977  -0.027 -0.797  0.090 -0.621  0.137 -0.417  0.184 -0.212  0.207 -0.004  0.207 0.207  0.207 0.417  0.243 0.621  0.316 0.818  0.316 1.029  0.316 1.239  0.316 1.450  0.316 1.661  0.316 1.871  0.262 1.858  0.262 1.647  0.262 1.437  0.260 1.226  0.225 1.018  0.207 0.809  0.207 0.598  0.207 0.388  0.207 0.177  0.207 -0.034  0.242 -0.241  0.280 -0.448  0.315 -0.656  0.316 -0.867  0.344 -1.073  0.384 -1.274  0.533 -1.423
2#tos#f3#f3012066/e  -1.883 -0.218  -1.712 -0.228  -1.542 -0.238  -1.371 -0.248  -1.201 -0.258  -1.030 -0.268  -0.860 -0.278  -0.689 -0.279  -0.518 -0.279  -0.348 -0.279  -0.195 -0.235  -0.063 -0.130  0.090 -0.053  0.242 0.023  0.379 0.124  0.501 0.238  0.560 0.395  0.687 0.494  0.741 0.656  0.795 0.818  0.795 0.988  0.795 1.159  0.647 1.182  0.481 1.172  0.331 1.121  0.172 1.099  0.077 0.957  -0.040 0.833  -0.196 0.770  -0.239 0.630  -0.320 0.493  -0.361 0.339  -0.412 0.177  -0.422 0.008  -0.422 -0.163  -0.422 -0.334  -0.422 -0.504  -0.340 -0.647  -0.255 -0.766  -0.094 -0.789  0.061 -0.827  0.232 -0.827  0.403 -0.827  0.565 -0.790  0.730 -0.766  0.900 -0.766  1.071 -0.766  1.218 -0.708  1.360 -0.625  1.525 -0.583
2#tos#f3#f3012066/g  0.496 1.047  0.364 1.135  0.333 1.282  0.262 1.403  0.140 1.441  -0.006 1.454  -0.165 1.454  -0.183 1.298  -0.216 1.145  -0.216 0.986  -0.199 0.844  -0.091 0.793  0.060 0.814  0.156 0.894  0.293 0.946  0.293 0.887  0.293 0.728  0.293 0.569  0.293 0.410  0.293 0.251  0.253 0.101  0.181 -0.041  0.110 -0.183  0.089 -0.337  0.052 -0.485  -0.032 -0.620  -0.085 -0.769  -0.135 -0.918  -0.226 -1.049  -0.338 -1.161  -0.433 -1.288  -0.507 -1.414  -0.637 -1.497  -0.776 -1.477  -0.776 -1.318  -0.743 -1.162  -0.687 -1.015  -0.551 -0.947  -0.431 -0.847  -0.340 -0.717  -0.263 -0.578  -0.130 -0.490  0.006 -0.410  0.118 -0.298  0.267 -0.268  0.418 -0.217  0.563 -0.158  0.687 -0.072  0.846 -0.072  1.005 -0.072
2#tos#f3#f3012066/h  -0.138 1.985  -0.138 1.843  -0.138 1.702  -0.138 1.561  -0.191 1.435  -0.242 1.310  -0.242 1.168  -0.259 1.029  -0.293 0.892  -0.345 0.760  -0.398 0.629  -0.399 0.488  -0.438 0.359  -0.514 0.239  -0.577 0.113  -0.641 -0.013  -0.660 -0.150  -0.682 -0.290  -0.706 -0.429  -0.712 -0.570  -0.712 -0.711  -0.717 -0.784  -0.632 -0.676  -0.580 -0.544  -0.521 -0.418  -0.440 -0.302  -0.340 -0.202  -0.240 -0.102  -0.140 -0.002  -0.074 0.110  0.052 0.173  0.176 0.199  0.176 0.058  0.208 -0.079  0.228 -0.218  0.228 -0.360  0.228 -0.501  0.235 -0.641  0.320 -0.732  0.350 -0.853  0.467 -0.929  0.606 -0.940  0.747 -0.940  0.870 -0.910  0.948 -0.795  1.048 -0.695  1.183 -0.679  1.305 -0.639  1.393 -0.529  1.482 -0.418
2#tos#f3#f3012066/i  -0.362 1.397  -0.287 1.397  -0.213 1.397  -0.139 1.397  -0.072 1.379  -0.012 1.342  0.062 1.342  0.118 1.298  0.125 1.228  0.121 1.154  0.116 1.079  0.112 1.005  0.108 0.931  0.103 0.857  0.099 0.782  0.095 0.708  0.090 0.634  0.086 0.559  0.081 0.485  0.077 0.411  0.074 0.337  0.074 0.262  0.074 0.188  0.074 0.113  0.074 0.039  0.105 -0.028  0.129 -0.097  0.129 -0.171  0.129 -0.246  0.129 -0.320  0.129 -0.395  0.129 -0.469  0.129 -0.543  0.129 -0.618  0.119 -0.689  0.078 -0.751  0.036 -0.813  0.009 -0.881  -0.009 -0.953  -0.027 -1.026  -0.054 -1.094  -0.087 -1.161  -0.098 -1.232  -0.139 -1.294  -0.180 -1.356  -0.236 -1.402  -0.303 -1.435  -0.307 -1.507  -0.307 -1.581  -0.307 -1.655
2#tos#f3#f3012066/k  -0.177 1.924  -0.217 2.092  -0.289 1.956  -0.332 1.754  -0.345 1.548  -0.345 1.341  -0.345 1.133  -0.345 0.926  -0.345 0.719  -0.345 0.511  -0.345 0.304  -0.345 0.096  -0.349 -0.111  -0.390 -0.314  -0.401 -0.521  -0.401 -0.728  -0.456 -0.926  -0.457 -1.134  -0.569 -1.229  -0.508 -1.219  -0.401 -1.042  -0.293 -0.865  -0.186 -0.687  -0.078 -0.510  0.030 -0.332  0.137 -0.155  0.245 0.022  0.352 0.200  0.460 0.377  0.573 0.502  0.606 0.632  0.577 0.675  0.438 0.542  0.372 0.370  0.223 0.231  0.071 0.119  -0.071 0.023  -0.279 0.023  -0.401 -0.063  -0.284 -0.176  -0.126 -0.308  -0.042 -0.464  0.123 -0.578  0.275 -0.664  0.371 -0.831  0.567 -0.897  0.770 -0.928  0.934 -1.033  1.069 -1.152  1.277 -1.152
2#tos#f3#f3012066/l  -0.566 -0.959  -0.706 -0.975  -0.764 -1.099  -0.724 -1.145  -0.569 -1.145  -0.451 -1.090  -0.393 -0.946  -0.267 -0.875  -0.184 -0.752  -0.124 -0.609  -0.075 -0.462  0.018 -0.347  0.139 -0.250  0.218 -0.117  0.284 0.022  0.325 0.172  0.394 0.311  0.439 0.459  0.488 0.606  0.545 0.750  0.550 0.904  0.550 1.059  0.576 1.211  0.597 1.362  0.597 1.518  0.476 1.552  0.321 1.552  0.233 1.426  0.120 1.367  0.078 1.219  -0.032 1.110  -0.142 1.000  -0.148 0.847  -0.200 0.704  -0.253 0.560  -0.283 0.408  -0.287 0.253  -0.287 0.097  -0.287 -0.058  -0.281 -0.213  -0.259 -0.366  -0.241 -0.520  -0.230 -0.674  -0.192 -0.825  -0.108 -0.953  -0.019 -1.078  0.065 -1.208  0.204 -1.238  0.350 -1.278  0.504 -1.285
2#tos#f3#f3012066/m  -1.079 0.147  -1.145 -0.051  -1.321 -0.160  -1.502 -0.259  -1.445 -0.179  -1.286 -0.058  -1.134 0.079  -1.000 0.211  -0.893 0.389  -0.720 0.452  -0.613 0.631  -0.509 0.812  -0.365 0.928  -0.218 1.076  -0.093 1.239  0.072 1.290  0.072 1.082  0.072 0.873  -0.016 0.692  -0.102 0.504  -0.131 0.300  -0.218 0.128  -0.311 -0.054  -0.411 -0.229  -0.462 -0.431  -0.537 -0.623  -0.439 -0.733  -0.325 -0.580  -0.232 -0.393  -0.132 -0.259  -0.019 -0.127  0.099 0.039  0.275 0.147  0.455 0.215  0.664 0.215  0.681 0.024  0.586 -0.111  0.546 -0.310  0.546 -0.518  0.546 -0.727  0.674 -0.613  0.788 -0.453  0.990 -0.402  1.087 -0.233  1.237 -0.220  1.290 -0.416  1.342 -0.616  1.377 -0.810  1.564 -0.903  1.697 -1.004
2#tos#f3#f3012066/n  -0.374 1.278  -0.514 1.222  -0.654 1.166  -0.735 1.069  -0.735 0.918  -0.735 0.768  -0.735 0.617  -0.735 0.466  -0.741 0.316  -0.777 0.169  -0.816 0.023  -0.864 -0.120  -0.879 -0.268  -0.879 -0.419  -0.879 -0.570  -0.879 -0.618  -0.787 -0.505  -0.680 -0.398  -0.606 -0.268  -0.509 -0.155  -0.402 -0.048  -0.324 0.080  -0.257 0.214  -0.153 0.286  -0.117 0.433  -0.069 0.573  0.038 0.680  0.059 0.822  0.186 0.845  0.203 0.711  0.216 0.561  0.246 0.413  0.275 0.265  0.275 0.114  0.275 -0.036  0.305 -0.182  0.347 -0.327  0.347 -0.477  0.420 -0.598  0.467 -0.742  0.558 -0.847  0.700 -0.886  0.851 -0.886  1.002 -0.886  1.153 -0.886  1.304 -0.886  1.444 -0.842  1.579 -0.774  1.718 -0.717  1.862 -0.669
2#tos#f3#f3012066/o  -0.452 0.677  -0.573 0.677  -0.694 0.677  -0.800 0.640  -0.885 0.555  -0.887 0.435  -0.940 0.366  -0.949 0.255  -0.949 0.134  -0.949 0.013  -0.949 -0.107  -0.949 -0.228  -0.949 -0.349  -0.949 -0.470  -0.938 -0.588  -0.881 -0.695  -0.796 -0.780  -0.693 -0.837  -0.578 -0.875  -0.457 -0.875  -0.337 -0.875  -0.216 -0.875  -0.095 -0.875  0.026 -0.875  0.147 -0.875  0.267 -0.875  0.360 -0.808  0.446 -0.722  0.531 -0.637  0.636 -0.579  0.744 -0.525  0.789 -0.432  0.789 -0.311  0.810 -0.194  0.848 -0.079  0.886 0.035  0.913 0.152  0.913 0.273  0.913 0.393  0.913 0.514  0.913 0.635  0.904 0.753  0.837 0.854  0.758 0.941  0.648 0.987  0.590 1.049  0.469 1.049  0.355 1.056  0.289 1.111  0.168 1.111
2#tos#f3#f3012066/p  0.068 1.005  0.068 1.198  -0.029 1.044  -0.067 0.854  -0.078 0.661  -0.078 0.467  -0.078 0.272  -0.078 0.078  -0.103 -0.115  -0.126 -0.307  -0.126 -0.502  -0.143 -0.695  -0.175 -0.887  -0.175 -1.081  -0.207 -1.271  -0.268 -1.455  -0.271 -1.649  -0.271 -1.844  -0.270 -1.861  -0.267 -1.667  -0.264 -1.472  -0.261 -1.278  -0.257 -1.083  -0.254 -0.889  -0.251 -0.694  -0.248 -0.500  -0.245 -0.305  -0.242 -0.111  -0.239 0.084  -0.236 0.278  -0.232 0.473  -0.229 0.667  -0.226 0.861  -0.221 1.054  -0.107 1.152  -0.031 1.296  0.164 1.296  0.358 1.296  0.533 1.257  0.650 1.101  0.794 0.984  0.794 0.790  0.794 0.595  0.746 0.412  0.597 0.324  0.428 0.237  0.353 0.080  0.181 0.004  -0.003 -0.047  -0.175 -0.109
2#tos#f3#f3012066/r  -0.284 1.579  -0.284 1.444  -0.284 1.309  -0.284 1.175  -0.284 1.040  -0.284 0.905  -0.284 0.770  -0.284 0.635  -0.284 0.500  -0.284 0.366  -0.284 0.231  -0.284 0.096  -0.299 -0.038  -0.321 -0.171  -0.343 -0.304  -0.371 -0.436  -0.404 -0.566  -0.436 -0.697  -0.469 -0.828  -0.504 -0.958  -0.547 -1.086  -0.562 -1.218  -0.562 -1.353  -0.629 -1.402  -0.587 -1.274  -0.562 -1.143  -0.562 -1.008  -0.527 -0.888  -0.432 -0.793  -0.343 -0.693  -0.282 -0.573  -0.207 -0.460  -0.138 -0.345  -0.095 -0.218  -0.015 -0.118  0.097 -0.044  0.184 0.057  0.258 0.169  0.380 0.211  0.513 0.237  0.638 0.277  0.741 0.363  0.853 0.437  0.934 0.540  1.025 0.625  1.153 0.668  1.258 0.745  1.392 0.745  1.527 0.745  1.662 0.745
2#tos#f3#f3012066/s  1.094 0.892  0.975 0.922  0.857 0.951  0.747 1.005  0.627 1.013  0.566 1.074  0.444 1.074  0.322 1.074  0.199 1.074  0.077 1.074  -0.045 1.074  -0.167 1.074  -0.289 1.074  -0.396 1.037  -0.445 0.940  -0.540 0.877  -0.540 0.755  -0.540 0.633  -0.540 0.511  -0.484 0.412  -0.398 0.326  -0.354 0.222  -0.268 0.135  -0.182 0.049  -0.087 -0.016  0.029 -0.035  0.127 -0.108  0.225 -0.181  0.336 -0.227  0.436 -0.282  0.475 -0.398  0.501 -0.513  0.587 -0.599  0.610 -0.712  0.559 -0.818  0.491 -0.920  0.371 -0.924  0.312 -1.003  0.197 -1.041  0.075 -1.045  -0.047 -1.045  -0.169 -1.045  -0.291 -1.045  -0.413 -1.045  -0.535 -1.045  -0.657 -1.045  -0.780 -1.045  -0.902 -1.045  -1.024 -1.045  -1.146 -1.045
2#tos#f3#f3012066/w  -1.305 1.070  -1.167 1.046  -1.062 0.948  -1.029 0.807  -0.896 0.727  -0.891 0.569  -0.891 0.407  -0.891 0.246  -0.891 0.084  -0.891 -0.078  -0.891 -0.240  -0.891 -0.402  -0.891 -0.563  -0.891 -0.725  -0.865 -0.861  -0.718 -0.826  -0.610 -0.708  -0.559 -0.554  -0.479 -0.415  -0.397 -0.276  -0.346 -0.123  -0.222 -0.025  -0.132 0.089  -0.108 0.247  -0.054 0.399  0.026 0.538  0.140 0.653  0.163 0.794  0.281 0.750  0.281 0.589  0.281 0.427  0.281 0.265  0.281 0.103  0.300 -0.057  0.331 -0.215  0.380 -0.368  0.419 -0.521  0.444 -0.667  0.593 -0.723  0.755 -0.723  0.908 -0.710  0.991 -0.575  1.135 -0.503  1.254 -0.411  1.286 -0.252  1.324 -0.098  1.459 -0.017  1.510 0.136  1.552 0.292  1.591 0.449
2#tos#f3#f3012066/y  -0.283 1.593  -0.372 1.522  -0.407 1.367  -0.417 1.208  -0.417 1.048  -0.329 0.925  -0.283 0.773  -0.200 0.673  -0.042 0.656  0.107 0.701  0.201 0.824  0.297 0.945  0.343 1.060  0.467 1.147  0.565 1.209  0.565 1.103  0.496 0.966  0.431 0.828  0.408 0.678  0.297 0.564  0.297 0.404  0.266 0.253  0.208 0.111  0.208 -0.049  0.178 -0.206  0.140 -0.361  0.096 -0.515  0.049 -0.667  -0.007 -0.817  -0.066 -0.965  -0.126 -1.114  -0.180 -1.264  -0.194 -1.422  -0.311 -1.519  -0.413 -1.619  -0.551 -1.571  -0.551 -1.411  -0.551 -1.251  -0.551 -1.092  -0.447 -0.973  -0.355 -0.843  -0.269 -0.715  -0.206 -0.582  -0.067 -0.511  0.033 -0.387  0.122 -0.254  0.248 -0.191  0.388 -0.144  0.531 -0.102  0.654 -0.013
2#tos#f3#f3012066/z  -0.770 1.440  -0.770 1.318  -0.770 1.197  -0.770 1.075  -0.736 0.988  -0.614 0.988  -0.493 0.988  -0.371 0.988  -0.250 0.988  -0.129 0.988  -0.007 0.988  0.114 0.988  0.236 0.988  0.357 0.988  0.478 0.988  0.539 0.921  0.585 0.819  0.579 0.700  0.528 0.599  0.527 0.478  0.460 0.377  0.391 0.277  0.318 0.180  0.244 0.084  0.143 0.016  0.064 -0.067  0.025 -0.183  -0.005 -0.300  -0.035 -0.418  -0.152 -0.423  -0.243 -0.480  -0.310 -0.581  -0.394 -0.668  -0.480 -0.754  -0.544 -0.849  -0.583 -0.931  -0.496 -0.931  -0.437 -1.032  -0.323 -1.044  -0.202 -1.045  -0.087 -1.084  0.032 -1.100  0.153 -1.100  0.275 -1.100  0.396 -1.100  0.518 -1.100  0.583 -1.044  0.702 -1.039  0.802 -0.987  0.923 -0.987
