3#apb#apb40#app4051/4  -0.205 0.812  -0.341 0.890  -0.480 0.767  -0.593 0.620  -0.691 0.463  -0.769 0.294  -0.842 0.123  -0.909 -0.051  -0.975 -0.225  -0.984 -0.401  -0.845 -0.495  -0.662 -0.464  -0.490 -0.396  -0.320 -0.320  -0.148 -0.249  0.027 -0.187  0.203 -0.125  0.382 -0.076  0.564 -0.041  0.747 -0.033  0.931 -0.064  1.088 -0.163  1.060 0.008  1.023 0.190  0.986 0.373  0.949 0.555  0.912 0.737  0.876 0.920  0.839 1.102  0.802 1.285  0.725 1.255  0.623 1.099  0.537 0.936  0.467 0.763  0.398 0.590  0.327 0.419  0.230 0.260  0.133 0.101  0.036 -0.058  -0.061 -0.216  -0.161 -0.373  -0.261 -0.530  -0.361 -0.687  -0.458 -0.846  -0.545 -1.010  -0.632 -1.174  -0.716 -1.340  -0.785 -1.513  -0.840 -1.690  -0.790 -1.832
3#apb#apb40#app4051/B  0.178 1.053  0.100 0.831  0.002 0.618  -0.101 0.406  -0.220 0.205  -0.361 0.017  -0.502 -0.171  -0.641 -0.361  -0.778 -0.552  -0.914 -0.744  -1.053 -0.933  -1.193 -1.122  -1.284 -1.235  -1.145 -1.046  -0.994 -0.866  -0.850 -0.680  -0.709 -0.492  -0.568 -0.304  -0.437 -0.109  -0.311 0.090  -0.185 0.288  -0.060 0.487  0.066 0.686  0.191 0.885  0.316 1.084  0.466 1.265  0.615 1.447  0.812 1.560  0.881 1.383  0.841 1.151  0.788 0.924  0.686 0.712  0.583 0.500  0.465 0.298  0.345 0.095  0.200 -0.089  0.075 -0.279  0.248 -0.130  0.427 0.021  0.637 0.126  0.835 0.141  0.851 -0.080  0.773 -0.302  0.638 -0.492  0.490 -0.675  0.330 -0.847  0.164 -1.013  -0.022 -1.155  -0.225 -1.273  -0.449 -1.320
3#apb#apb40#app4051/e  -1.103 -1.137  -1.006 -1.029  -0.901 -0.906  -0.796 -0.784  -0.677 -0.678  -0.544 -0.586  -0.412 -0.494  -0.280 -0.402  -0.147 -0.310  -0.021 -0.210  0.104 -0.107  0.229 -0.005  0.354 0.097  0.478 0.199  0.572 0.330  0.665 0.461  0.758 0.593  0.825 0.736  0.858 0.894  0.891 1.052  0.907 1.207  0.827 1.347  0.687 1.351  0.529 1.317  0.378 1.265  0.241 1.181  0.103 1.097  -0.035 1.014  -0.172 0.930  -0.274 0.808  -0.367 0.676  -0.459 0.544  -0.552 0.411  -0.602 0.262  -0.631 0.103  -0.660 -0.055  -0.689 -0.214  -0.644 -0.366  -0.587 -0.517  -0.531 -0.668  -0.402 -0.763  -0.271 -0.857  -0.138 -0.947  0.022 -0.970  0.181 -0.992  0.341 -1.015  0.500 -1.013  0.658 -0.982  0.816 -0.950  0.974 -0.918
3#apb#apb40#app4051/a  0.965 0.608  0.978 0.736  0.991 0.864  1.008 0.991  1.004 1.110  0.913 1.201  0.795 1.160  0.676 1.112  0.557 1.065  0.444 1.007  0.340 0.932  0.236 0.856  0.132 0.781  0.028 0.706  -0.076 0.631  -0.180 0.555  -0.283 0.480  -0.379 0.396  -0.463 0.299  -0.547 0.202  -0.631 0.105  -0.715 0.008  -0.799 -0.088  -0.884 -0.185  -0.940 -0.298  -0.982 -0.419  -1.025 -0.540  -1.068 -0.661  -1.048 -0.781  -1.001 -0.900  -0.933 -1.000  -0.818 -1.058  -0.702 -1.081  -0.585 -1.030  -0.467 -0.980  -0.349 -0.929  -0.237 -0.866  -0.126 -0.802  -0.015 -0.737  0.096 -0.673  0.205 -0.607  0.299 -0.520  0.393 -0.433  0.487 -0.345  0.581 -0.258  0.661 -0.158  0.738 -0.055  0.844 -0.027  0.915 -0.126  0.965 -0.244
3#apb#apb40#app4051/v  -0.215 0.892  -0.219 0.847  -0.310 0.769  -0.386 0.678  -0.456 0.582  -0.526 0.485  -0.596 0.388  -0.662 0.290  -0.695 0.176  -0.729 0.061  -0.762 -0.053  -0.795 -0.168  -0.829 -0.282  -0.831 -0.401  -0.831 -0.520  -0.831 -0.640  -0.831 -0.759  -0.797 -0.872  -0.754 -0.983  -0.711 -1.094  -0.607 -1.146  -0.496 -1.163  -0.383 -1.126  -0.274 -1.079  -0.171 -1.019  -0.068 -0.959  0.017 -0.879  0.084 -0.781  0.152 -0.683  0.219 -0.584  0.278 -0.481  0.329 -0.373  0.380 -0.265  0.431 -0.158  0.470 -0.045  0.503 0.069  0.536 0.184  0.568 0.298  0.603 0.412  0.652 0.521  0.701 0.630  0.750 0.739  0.799 0.847  0.845 0.957  0.889 1.068  0.937 1.177  1.016 1.220  1.116 1.156  1.203 1.075  1.287 0.991
3#apb#apb40#app4051/e  -0.736 -0.622  -0.723 -0.653  -0.591 -0.602  -0.461 -0.544  -0.333 -0.482  -0.205 -0.418  -0.077 -0.354  0.047 -0.285  0.166 -0.206  0.285 -0.126  0.403 -0.047  0.504 0.050  0.585 0.168  0.667 0.285  0.746 0.403  0.805 0.533  0.864 0.663  0.891 0.799  0.880 0.941  0.869 1.083  0.812 1.209  0.729 1.325  0.599 1.340  0.457 1.328  0.324 1.297  0.230 1.190  0.136 1.083  0.042 0.975  -0.052 0.868  -0.132 0.750  -0.202 0.626  -0.272 0.502  -0.342 0.377  -0.413 0.253  -0.483 0.129  -0.511 -0.010  -0.534 -0.151  -0.558 -0.292  -0.581 -0.433  -0.605 -0.574  -0.597 -0.714  -0.574 -0.855  -0.550 -0.996  -0.527 -1.137  -0.448 -1.249  -0.347 -1.350  -0.246 -1.451  -0.120 -1.507  0.019 -1.542  0.157 -1.576
3#apb#apb40#app4051/r  -0.770 -0.943  -0.811 -1.004  -0.822 -1.073  -0.843 -1.125  -0.870 -1.190  -0.874 -1.145  -0.857 -1.075  -0.825 -1.010  -0.785 -0.949  -0.746 -0.887  -0.706 -0.826  -0.667 -0.765  -0.627 -0.703  -0.582 -0.646  -0.535 -0.590  -0.487 -0.535  -0.440 -0.479  -0.392 -0.424  -0.344 -0.368  -0.297 -0.313  -0.249 -0.257  -0.202 -0.202  -0.154 -0.146  -0.108 -0.090  -0.062 -0.034  -0.015 0.023  0.031 0.080  0.077 0.136  0.123 0.193  0.170 0.249  0.216 0.306  0.262 0.362  0.308 0.419  0.355 0.475  0.401 0.532  0.448 0.588  0.494 0.644  0.541 0.701  0.587 0.757  0.633 0.814  0.680 0.870  0.734 0.919  0.790 0.965  0.846 1.012  0.902 1.059  0.958 1.106  1.018 1.143  1.091 1.143  1.164 1.143  1.237 1.143
3#apb#apb40#app4051/R  -0.081 0.900  -0.156 0.739  -0.229 0.542  -0.303 0.345  -0.380 0.149  -0.457 -0.047  -0.534 -0.243  -0.610 -0.440  -0.686 -0.636  -0.783 -0.823  -0.884 -1.007  -0.985 -1.190  -0.916 -1.107  -0.783 -0.943  -0.653 -0.778  -0.522 -0.613  -0.408 -0.436  -0.295 -0.258  -0.182 -0.081  -0.080 0.104  0.020 0.289  0.120 0.474  0.225 0.657  0.334 0.837  0.443 1.017  0.552 1.197  0.662 1.377  0.773 1.556  0.931 1.677  0.956 1.502  0.906 1.299  0.846 1.097  0.786 0.895  0.711 0.699  0.632 0.504  0.553 0.308  0.459 0.120  0.355 -0.063  0.251 -0.246  0.122 -0.412  -0.010 -0.576  -0.150 -0.733  -0.307 -0.869  -0.353 -0.731  -0.248 -0.572  -0.116 -0.719  -0.022 -0.908  0.075 -1.094  0.170 -1.282  0.253 -1.476
3#apb#apb40#app4051/d  -0.851 -0.774  -0.724 -0.679  -0.683 -0.584  -0.835 -0.543  -0.991 -0.528  -1.115 -0.609  -1.088 -0.753  -0.979 -0.865  -0.848 -0.955  -0.743 -1.061  -0.677 -1.118  -0.557 -1.017  -0.451 -0.899  -0.332 -0.793  -0.231 -0.672  -0.119 -0.562  -0.012 -0.445  0.089 -0.323  0.191 -0.202  0.283 -0.073  0.370 0.059  0.447 0.197  0.505 0.344  0.563 0.492  0.604 0.645  0.644 0.798  0.684 0.952  0.722 1.105  0.760 1.259  0.786 1.415  0.791 1.572  0.701 1.562  0.613 1.430  0.533 1.294  0.470 1.149  0.406 1.004  0.343 0.858  0.287 0.710  0.232 0.561  0.177 0.413  0.123 0.264  0.086 0.110  0.050 -0.044  0.013 -0.198  -0.012 -0.355  -0.030 -0.512  -0.047 -0.669  -0.049 -0.828  -0.049 -0.986  -0.049 -1.145
3#apb#apb40#app4051/.  0.447 -0.259  0.412 -0.151  0.376 -0.043  0.340 0.064  0.304 0.172  0.268 0.279  0.232 0.387  0.196 0.495  0.161 0.602  0.125 0.710  0.089 0.817  0.053 0.925  0.017 1.033  -0.019 1.140  -0.046 1.241  0.067 1.241  0.181 1.241  0.294 1.241  0.408 1.241  0.430 1.170  0.402 1.060  0.375 0.950  0.347 0.840  0.320 0.730  0.292 0.620  0.265 0.510  0.237 0.400  0.210 0.290  0.182 0.180  0.155 0.070  0.127 -0.040  0.100 -0.150  0.072 -0.260  0.045 -0.370  0.017 -0.480  -0.011 -0.590  -0.038 -0.700  -0.090 -0.796  -0.170 -0.876  -0.251 -0.957  -0.331 -1.037  -0.411 -1.117  -0.491 -1.197  -0.571 -1.277  -0.652 -1.358  -0.732 -1.438  -0.812 -1.518  -0.892 -1.598  -0.972 -1.678  -1.053 -1.759
3#apb#apb40#app4051/6  0.640 1.870  0.547 1.898  0.460 1.811  0.378 1.720  0.326 1.608  0.274 1.496  0.223 1.384  0.171 1.272  0.120 1.160  0.068 1.048  0.015 0.937  -0.038 0.826  -0.091 0.714  -0.144 0.603  -0.197 0.492  -0.250 0.381  -0.303 0.269  -0.353 0.156  -0.392 0.040  -0.432 -0.077  -0.472 -0.194  -0.511 -0.311  -0.551 -0.427  -0.590 -0.544  -0.591 -0.666  -0.583 -0.789  -0.576 -0.912  -0.527 -1.012  -0.424 -1.079  -0.321 -1.146  -0.201 -1.150  -0.078 -1.140  0.040 -1.118  0.140 -1.046  0.241 -0.974  0.330 -0.892  0.399 -0.790  0.469 -0.688  0.521 -0.578  0.554 -0.459  0.559 -0.341  0.525 -0.222  0.419 -0.181  0.303 -0.181  0.200 -0.249  0.098 -0.317  0.011 -0.402  -0.062 -0.501  -0.135 -0.601  -0.208 -0.701
3#apb#apb40#app4051/3  -0.386 1.298  -0.450 1.351  -0.358 1.362  -0.256 1.346  -0.155 1.327  -0.054 1.307  0.045 1.280  0.142 1.246  0.239 1.212  0.315 1.147  0.384 1.071  0.408 0.977  0.408 0.874  0.363 0.783  0.315 0.692  0.267 0.601  0.200 0.526  0.120 0.461  0.041 0.395  -0.038 0.329  -0.113 0.259  -0.188 0.189  -0.256 0.113  -0.229 0.037  -0.136 -0.001  -0.035 -0.021  0.064 -0.046  0.159 -0.085  0.254 -0.124  0.337 -0.180  0.398 -0.262  0.455 -0.346  0.443 -0.448  0.431 -0.550  0.394 -0.640  0.321 -0.712  0.248 -0.785  0.176 -0.858  0.099 -0.926  0.017 -0.989  -0.064 -1.051  -0.145 -1.114  -0.227 -1.177  -0.310 -1.238  -0.392 -1.299  -0.475 -1.360  -0.558 -1.421  -0.647 -1.471  -0.739 -1.517  -0.831 -1.563
3#apb#apb40#app4051/W  -0.147 1.177  -0.242 1.142  -0.312 1.028  -0.381 0.915  -0.446 0.799  -0.511 0.683  -0.577 0.567  -0.642 0.452  -0.705 0.334  -0.766 0.216  -0.827 0.098  -0.889 -0.020  -0.950 -0.138  -1.004 -0.258  -1.033 -0.388  -1.062 -0.518  -1.092 -0.647  -1.066 -0.769  -0.990 -0.871  -0.860 -0.895  -0.732 -0.904  -0.619 -0.834  -0.506 -0.763  -0.405 -0.678  -0.311 -0.584  -0.217 -0.490  -0.133 -0.387  -0.049 -0.284  0.025 -0.174  0.096 -0.064  0.138 -0.161  0.169 -0.290  0.238 -0.403  0.354 -0.447  0.485 -0.459  0.609 -0.412  0.733 -0.364  0.842 -0.292  0.945 -0.207  1.047 -0.121  1.126 -0.015  1.202 0.094  1.240 0.218  1.262 0.349  1.261 0.481  1.242 0.612  1.201 0.738  1.148 0.860  1.089 0.979  1.023 1.094
3#apb#apb40#app4051/i  0.237 0.322  0.121 0.299  0.042 0.211  -0.037 0.123  -0.107 0.030  -0.163 -0.075  -0.218 -0.179  -0.274 -0.283  -0.327 -0.389  -0.379 -0.494  -0.432 -0.600  -0.477 -0.709  -0.514 -0.821  -0.552 -0.933  -0.573 -1.047  -0.573 -1.166  -0.547 -1.270  -0.449 -1.335  -0.336 -1.367  -0.225 -1.387  -0.196 -1.272  -0.167 -1.158  -0.138 -1.043  -0.109 -0.929  -0.079 -0.814  -0.050 -0.700  -0.021 -0.586  0.008 -0.471  0.037 -0.357  0.066 -0.242  0.095 -0.128  0.124 -0.013  0.153 0.101  0.182 0.216  0.211 0.330  0.240 0.445  0.269 0.559  0.298 0.673  0.327 0.788  0.356 0.902  0.385 1.017  0.414 1.131  0.444 1.246  0.473 1.360  0.502 1.475  0.531 1.589  0.476 1.681  0.385 1.753  0.283 1.804  0.283 1.711
3#apb#apb40#app4051/l  0.899 1.429  0.845 1.386  0.790 1.344  0.745 1.291  0.706 1.234  0.666 1.177  0.626 1.120  0.586 1.063  0.546 1.006  0.507 0.948  0.467 0.891  0.429 0.833  0.392 0.774  0.355 0.715  0.319 0.656  0.282 0.597  0.245 0.538  0.208 0.479  0.172 0.420  0.135 0.361  0.098 0.301  0.061 0.242  0.029 0.181  -0.002 0.119  -0.034 0.057  -0.065 -0.005  -0.097 -0.067  -0.129 -0.129  -0.160 -0.191  -0.192 -0.253  -0.223 -0.315  -0.255 -0.377  -0.287 -0.439  -0.316 -0.502  -0.343 -0.566  -0.369 -0.631  -0.396 -0.695  -0.422 -0.760  -0.448 -0.824  -0.475 -0.888  -0.501 -0.953  -0.528 -1.017  -0.548 -1.083  -0.568 -1.150  -0.588 -1.217  -0.607 -1.284  -0.627 -1.350  -0.643 -1.418  -0.643 -1.487  -0.643 -1.557
3#apb#apb40#app4051/s  0.551 1.471  0.514 1.470  0.449 1.397  0.384 1.325  0.302 1.273  0.220 1.221  0.138 1.169  0.056 1.117  -0.026 1.064  -0.107 1.010  -0.187 0.955  -0.268 0.900  -0.348 0.845  -0.387 0.769  -0.387 0.672  -0.345 0.592  -0.276 0.523  -0.199 0.465  -0.115 0.416  -0.031 0.367  0.055 0.322  0.142 0.278  0.229 0.235  0.308 0.181  0.373 0.109  0.438 0.037  0.484 -0.046  0.510 -0.140  0.537 -0.233  0.535 -0.326  0.501 -0.417  0.467 -0.508  0.433 -0.599  0.368 -0.670  0.300 -0.739  0.231 -0.808  0.162 -0.876  0.075 -0.919  -0.012 -0.963  -0.099 -1.006  -0.186 -1.050  -0.274 -1.090  -0.366 -1.123  -0.457 -1.156  -0.548 -1.189  -0.640 -1.223  -0.733 -1.250  -0.828 -1.267  -0.924 -1.285  -1.019 -1.303
3#apb#apb40#app4051/h  0.698 1.998  0.650 1.872  0.598 1.748  0.536 1.629  0.474 1.509  0.412 1.390  0.351 1.270  0.292 1.149  0.233 1.028  0.174 0.907  0.115 0.786  0.056 0.665  -0.012 0.549  -0.082 0.434  -0.152 0.319  -0.221 0.204  -0.291 0.089  -0.360 -0.026  -0.431 -0.140  -0.503 -0.254  -0.575 -0.368  -0.646 -0.482  -0.718 -0.596  -0.779 -0.716  -0.834 -0.838  -0.889 -0.961  -0.909 -1.094  -0.814 -1.060  -0.705 -0.983  -0.605 -0.892  -0.506 -0.802  -0.406 -0.711  -0.310 -0.618  -0.215 -0.522  -0.120 -0.427  -0.024 -0.332  0.076 -0.243  0.178 -0.156  0.281 -0.068  0.395 -0.001  0.521 0.039  0.603 -0.058  0.618 -0.192  0.627 -0.325  0.594 -0.456  0.562 -0.586  0.541 -0.719  0.527 -0.853  0.512 -0.986  0.483 -1.117
3#apb#apb40#app4051/i  0.153 -0.183  0.090 -0.260  0.027 -0.337  -0.037 -0.414  -0.095 -0.495  -0.148 -0.580  -0.201 -0.664  -0.254 -0.749  -0.307 -0.833  -0.350 -0.923  -0.392 -1.014  -0.433 -1.105  -0.467 -1.198  -0.492 -1.294  -0.487 -1.354  -0.463 -1.257  -0.437 -1.161  -0.403 -1.067  -0.368 -0.974  -0.333 -0.880  -0.299 -0.787  -0.264 -0.693  -0.229 -0.599  -0.195 -0.506  -0.160 -0.412  -0.125 -0.319  -0.091 -0.225  -0.056 -0.131  -0.021 -0.038  0.013 0.056  0.048 0.149  0.083 0.243  0.117 0.337  0.152 0.430  0.187 0.524  0.221 0.617  0.256 0.711  0.291 0.804  0.325 0.898  0.360 0.992  0.395 1.085  0.429 1.179  0.464 1.272  0.499 1.366  0.533 1.460  0.557 1.556  0.572 1.655  0.522 1.732  0.435 1.733  0.376 1.654
3#apb#apb40#app4051/r  -1.338 -0.497  -1.310 -0.581  -1.302 -0.669  -1.302 -0.758  -1.302 -0.847  -1.230 -0.821  -1.163 -0.762  -1.097 -0.704  -1.030 -0.645  -0.964 -0.585  -0.901 -0.522  -0.838 -0.459  -0.775 -0.397  -0.712 -0.334  -0.649 -0.271  -0.586 -0.208  -0.524 -0.145  -0.467 -0.076  -0.411 -0.007  -0.355 0.062  -0.299 0.131  -0.243 0.200  -0.187 0.269  -0.131 0.338  -0.074 0.407  -0.006 0.462  0.068 0.511  0.142 0.561  0.216 0.610  0.290 0.659  0.364 0.709  0.444 0.749  0.522 0.774  0.593 0.721  0.660 0.663  0.704 0.586  0.748 0.509  0.792 0.432  0.832 0.352  0.872 0.273  0.912 0.193  0.952 0.113  1.005 0.044  1.072 -0.014  1.140 -0.072  1.207 -0.129  1.288 -0.164  1.372 -0.192  1.457 -0.220  1.541 -0.248
3#apb#apb40#app4051/e  -0.826 -0.041  -0.710 0.075  -0.594 0.190  -0.462 0.287  -0.320 0.369  -0.180 0.454  -0.044 0.546  0.067 0.666  0.158 0.802  0.106 0.933  -0.055 0.963  -0.217 0.940  -0.355 0.863  -0.480 0.756  -0.586 0.632  -0.688 0.504  -0.791 0.376  -0.893 0.248  -0.996 0.120  -1.063 -0.027  -1.119 -0.182  -1.144 -0.340  -1.127 -0.503  -1.118 -0.666  -1.081 -0.809  -0.938 -0.886  -0.776 -0.905  -0.615 -0.899  -0.462 -0.842  -0.308 -0.786  -0.154 -0.729  -0.003 -0.665  0.140 -0.586  0.284 -0.507  0.428 -0.428  0.571 -0.349  0.702 -0.252  0.830 -0.149  0.958 -0.047  1.086 0.055  1.216 0.156  1.345 0.257  1.444 0.364  1.352 0.344  1.214 0.255  1.134 0.128  1.120 -0.034  1.162 -0.181  1.312 -0.235  1.476 -0.236
3#apb#apb40#app4051/B  0.429 1.387  0.257 1.214  0.141 1.000  0.034 0.780  -0.071 0.560  -0.170 0.336  -0.268 0.112  -0.367 -0.111  -0.468 -0.334  -0.570 -0.556  -0.672 -0.779  -0.750 -1.010  -0.834 -1.239  -0.868 -1.183  -0.806 -0.946  -0.732 -0.714  -0.633 -0.491  -0.535 -0.266  -0.446 -0.039  -0.356 0.189  -0.285 0.422  -0.213 0.656  -0.132 0.886  -0.020 1.103  0.092 1.320  0.231 1.520  0.397 1.611  0.425 1.368  0.393 1.127  0.350 0.886  0.289 0.650  0.224 0.414  0.133 0.188  0.029 -0.032  0.016 -0.254  0.250 -0.202  0.475 -0.106  0.693 0.003  0.920 0.090  1.080 0.023  0.995 -0.206  0.870 -0.413  0.722 -0.608  0.558 -0.787  0.365 -0.936  0.171 -1.085  -0.032 -1.221  -0.235 -1.357  -0.452 -1.470  -0.623 -1.502
3#apb#apb40#app4051/l  0.621 1.621  0.616 1.549  0.586 1.483  0.556 1.417  0.526 1.351  0.495 1.286  0.465 1.220  0.436 1.154  0.407 1.087  0.378 1.021  0.349 0.954  0.320 0.888  0.291 0.822  0.262 0.755  0.233 0.689  0.204 0.622  0.175 0.556  0.145 0.490  0.115 0.424  0.085 0.358  0.055 0.292  0.025 0.226  -0.005 0.160  -0.035 0.094  -0.065 0.028  -0.095 -0.038  -0.124 -0.104  -0.149 -0.172  -0.173 -0.240  -0.198 -0.308  -0.223 -0.377  -0.247 -0.445  -0.272 -0.513  -0.296 -0.581  -0.321 -0.649  -0.338 -0.720  -0.355 -0.790  -0.372 -0.861  -0.388 -0.931  -0.405 -1.001  -0.411 -1.073  -0.407 -1.145  -0.403 -1.218  -0.399 -1.290  -0.385 -1.361  -0.367 -1.431  -0.304 -1.402  -0.253 -1.351  -0.202 -1.300  -0.151 -1.249
3#apb#apb40#app4051/v  -0.584 0.926  -0.592 0.796  -0.610 0.666  -0.628 0.537  -0.645 0.407  -0.659 0.278  -0.674 0.148  -0.688 0.018  -0.690 -0.112  -0.690 -0.243  -0.690 -0.373  -0.690 -0.504  -0.682 -0.634  -0.665 -0.763  -0.648 -0.893  -0.606 -1.012  -0.526 -1.115  -0.442 -1.213  -0.317 -1.251  -0.192 -1.288  -0.066 -1.258  0.061 -1.227  0.176 -1.171  0.277 -1.088  0.378 -1.005  0.444 -0.898  0.487 -0.775  0.531 -0.652  0.574 -0.529  0.588 -0.399  0.601 -0.269  0.614 -0.139  0.627 -0.010  0.619 0.121  0.608 0.251  0.597 0.381  0.586 0.511  0.574 0.641  0.543 0.768  0.511 0.894  0.479 1.021  0.448 1.148  0.405 1.271  0.360 1.393  0.308 1.393  0.245 1.279  0.177 1.167  0.113 1.054  0.054 0.937  -0.004 0.820
3#apb#apb40#app4051/d  -0.071 -0.205  0.058 -0.101  0.180 0.012  0.142 0.117  -0.017 0.154  -0.172 0.094  -0.326 0.031  -0.464 -0.061  -0.602 -0.154  -0.731 -0.257  -0.849 -0.375  -0.966 -0.492  -1.049 -0.630  -1.097 -0.790  -1.106 -0.945  -1.032 -1.094  -0.924 -1.209  -0.775 -1.284  -0.618 -1.297  -0.455 -1.266  -0.297 -1.218  -0.150 -1.141  -0.003 -1.064  0.115 -0.948  0.229 -0.827  0.318 -0.689  0.389 -0.539  0.454 -0.387  0.482 -0.223  0.511 -0.059  0.515 0.106  0.510 0.272  0.505 0.439  0.501 0.605  0.501 0.771  0.501 0.937  0.501 1.103  0.501 1.269  0.501 1.436  0.501 1.602  0.483 1.571  0.452 1.408  0.432 1.243  0.412 1.078  0.393 0.913  0.372 0.748  0.348 0.584  0.324 0.419  0.300 0.255  0.276 0.090
3#apb#apb40#app4051/,  0.679 1.564  0.633 1.509  0.588 1.455  0.542 1.400  0.514 1.335  0.486 1.270  0.458 1.205  0.430 1.140  0.402 1.074  0.375 1.009  0.355 0.940  0.335 0.872  0.316 0.804  0.296 0.736  0.277 0.667  0.257 0.599  0.238 0.531  0.218 0.463  0.201 0.394  0.185 0.324  0.170 0.255  0.154 0.186  0.138 0.117  0.123 0.047  0.107 -0.022  0.091 -0.091  0.075 -0.160  0.048 -0.226  0.019 -0.291  -0.009 -0.356  -0.038 -0.421  -0.067 -0.485  -0.096 -0.550  -0.125 -0.615  -0.157 -0.678  -0.200 -0.735  -0.242 -0.792  -0.285 -0.849  -0.327 -0.906  -0.370 -0.962  -0.413 -1.019  -0.455 -1.076  -0.509 -1.118  -0.575 -1.143  -0.642 -1.169  -0.708 -1.195  -0.774 -1.221  -0.840 -1.246  -0.906 -1.272  -0.973 -1.298
3#apb#apb40#app4051/#  -0.110 1.606  -0.199 1.267  -0.334 0.940  -0.476 0.615  -0.612 0.288  -0.744 -0.042  -0.831 -0.383  -0.892 -0.733  -0.828 -0.754  -0.651 -0.447  -0.474 -0.140  -0.297 0.167  -0.120 0.474  0.057 0.782  0.235 1.089  0.412 1.396  0.589 1.703  0.496 1.426  0.422 1.081  0.378 0.730  0.356 0.376  0.356 0.022  0.392 -0.329  0.479 -0.672  0.604 -1.000  0.375 -0.738  0.102 -0.512  -0.171 -0.285  -0.443 -0.059  -0.716 0.168  -0.989 0.394  -0.922 0.388  -0.585 0.294  -0.233 0.259  0.121 0.240  0.476 0.240  0.830 0.248  1.181 0.288  1.156 0.201  0.881 -0.023  0.606 -0.247  0.331 -0.471  0.057 -0.695  -0.218 -0.919  -0.493 -1.143  -0.611 -1.314  -0.260 -1.360  0.089 -1.426  0.436 -1.495  0.791 -1.498
3#apb#apb40#app4051/1  0.602 1.587  0.577 1.523  0.551 1.458  0.525 1.394  0.499 1.330  0.472 1.266  0.444 1.202  0.417 1.138  0.390 1.075  0.362 1.011  0.335 0.947  0.308 0.884  0.281 0.819  0.256 0.755  0.230 0.690  0.205 0.626  0.179 0.561  0.154 0.497  0.129 0.432  0.103 0.368  0.078 0.303  0.052 0.239  0.027 0.174  0.002 0.110  -0.023 0.045  -0.042 -0.022  -0.062 -0.088  -0.082 -0.155  -0.102 -0.221  -0.121 -0.288  -0.141 -0.354  -0.161 -0.421  -0.181 -0.487  -0.200 -0.554  -0.220 -0.620  -0.240 -0.687  -0.260 -0.753  -0.279 -0.819  -0.301 -0.885  -0.323 -0.951  -0.345 -1.017  -0.367 -1.083  -0.389 -1.148  -0.411 -1.214  -0.433 -1.280  -0.455 -1.346  -0.477 -1.412  -0.499 -1.477  -0.521 -1.543  -0.543 -1.609
