2#apa#apa13#app1389/b  -0.350 2.333  -0.350 2.151  -0.253 2.010  -0.238 1.836  -0.238 1.654  -0.238 1.473  -0.238 1.292  -0.238 1.111  -0.125 0.976  -0.125 0.795  -0.125 0.614  -0.125 0.433  -0.051 0.269  -0.012 0.097  -0.012 -0.084  -0.012 -0.265  -0.012 -0.447  0.002 -0.624  0.083 -0.786  0.121 -0.955  0.183 -1.004  0.080 -0.856  -0.024 -0.708  -0.128 -0.559  -0.232 -0.411  -0.336 -0.262  -0.440 -0.114  -0.544 0.035  -0.463 0.093  -0.381 0.192  -0.244 0.299  -0.065 0.305  0.116 0.305  0.273 0.246  0.401 0.117  0.529 -0.011  0.577 -0.172  0.664 -0.317  0.674 -0.494  0.776 -0.633  0.776 -0.814  0.649 -0.934  0.551 -1.017  0.399 -1.047  0.218 -1.047  0.037 -1.047  -0.145 -1.047  -0.326 -1.047  -0.463 -1.002  -0.575 -0.934
2#apa#apa13#app1389/i  0.226 0.170  0.226 0.062  0.226 -0.045  0.226 -0.153  0.226 -0.260  0.226 -0.368  0.226 -0.475  0.226 -0.582  0.226 -0.690  0.226 -0.797  0.226 -0.905  0.196 -1.000  0.120 -1.076  0.100 -1.175  0.100 -1.282  0.100 -1.389  0.097 -1.455  0.085 -1.349  0.073 -1.242  0.061 -1.135  0.048 -1.028  0.036 -0.922  0.024 -0.815  0.011 -0.708  -0.001 -0.601  -0.013 -0.495  -0.026 -0.388  -0.038 -0.281  -0.050 -0.174  -0.063 -0.068  -0.075 0.039  -0.087 0.146  -0.100 0.252  -0.112 0.359  -0.124 0.466  -0.137 0.573  -0.149 0.679  -0.161 0.786  -0.173 0.893  -0.186 1.000  -0.198 1.106  -0.210 1.213  -0.223 1.320  -0.235 1.427  -0.247 1.533  -0.260 1.640  -0.272 1.747  -0.242 1.815  -0.134 1.815  -0.027 1.815
2#apa#apa13#app1389/n  -0.807 0.611  -0.807 0.459  -0.807 0.307  -0.807 0.155  -0.807 0.003  -0.807 -0.149  -0.807 -0.301  -0.807 -0.452  -0.807 -0.604  -0.807 -0.756  -0.807 -0.908  -0.764 -1.017  -0.645 -0.985  -0.645 -0.833  -0.637 -0.684  -0.530 -0.577  -0.482 -0.445  -0.482 -0.293  -0.482 -0.141  -0.482 0.011  -0.482 0.163  -0.482 0.315  -0.469 0.461  -0.361 0.568  -0.319 0.703  -0.238 0.773  -0.156 0.844  -0.114 0.978  -0.007 1.086  0.139 1.099  0.291 1.099  0.443 1.099  0.495 0.999  0.495 0.847  0.550 0.718  0.657 0.611  0.725 0.475  0.793 0.339  0.820 0.193  0.820 0.041  0.820 -0.110  0.820 -0.262  0.854 -0.400  0.962 -0.507  0.983 -0.650  1.061 -0.770  1.146 -0.887  1.167 -1.017  1.308 -1.028  1.308 -1.180
2#apa#apa13#app1389/d  0.285 1.626  0.285 1.481  0.290 1.340  0.381 1.285  0.381 1.140  0.423 1.012  0.476 0.888  0.561 0.778  0.572 0.637  0.572 0.491  0.600 0.358  0.667 0.240  0.667 0.095  0.667 -0.051  0.667 0.015  0.667 0.161  0.667 0.306  0.621 0.432  0.518 0.535  0.390 0.577  0.244 0.577  0.099 0.577  -0.032 0.514  -0.170 0.482  -0.299 0.457  -0.364 0.326  -0.477 0.244  -0.600 0.169  -0.712 0.078  -0.842 0.013  -0.915 -0.108  -0.996 -0.227  -1.050 -0.350  -1.050 -0.496  -1.050 -0.641  -1.050 -0.787  -0.971 -0.854  -0.836 -0.877  -0.724 -0.969  -0.594 -1.034  -0.451 -1.044  -0.306 -1.044  -0.160 -1.044  -0.015 -1.044  0.130 -1.044  0.276 -1.044  0.421 -1.044  0.567 -1.044  0.712 -1.044  0.858 -1.044
2#apa#apa13#app1389/g  0.328 0.704  0.422 0.797  0.423 0.929  0.423 1.061  0.344 1.161  0.251 1.254  0.126 1.272  -0.006 1.272  -0.113 1.209  -0.223 1.138  -0.334 1.075  -0.366 0.956  -0.429 0.850  -0.486 0.741  -0.524 0.625  -0.524 0.493  -0.482 0.378  -0.371 0.325  -0.239 0.325  -0.107 0.325  0.025 0.325  0.124 0.405  0.250 0.420  0.367 0.458  0.476 0.514  0.427 0.514  0.423 0.386  0.373 0.275  0.328 0.161  0.328 0.029  0.328 -0.103  0.328 -0.236  0.328 -0.368  0.328 -0.500  0.328 -0.632  0.328 -0.764  0.328 -0.897  0.241 -0.993  0.233 -1.122  0.233 -1.254  0.133 -1.289  0.038 -1.379  -0.094 -1.379  -0.226 -1.379  -0.358 -1.379  -0.491 -1.379  -0.623 -1.379  -0.751 -1.360  -0.869 -1.301  -0.997 -1.284
2#apa#apa13#app1389/o  -0.527 0.271  -0.661 0.271  -0.682 0.159  -0.682 0.025  -0.682 -0.109  -0.682 -0.243  -0.682 -0.377  -0.682 -0.511  -0.682 -0.645  -0.566 -0.662  -0.527 -0.757  -0.461 -0.851  -0.341 -0.911  -0.221 -0.971  -0.088 -0.973  0.046 -0.973  0.180 -0.973  0.314 -0.973  0.448 -0.973  0.562 -0.954  0.562 -0.820  0.656 -0.725  0.764 -0.662  0.891 -0.645  0.985 -0.550  1.029 -0.435  1.029 -0.301  1.029 -0.167  1.029 -0.033  1.029 0.101  0.945 0.200  0.840 0.271  0.710 0.280  0.615 0.375  0.520 0.469  0.425 0.564  0.331 0.659  0.232 0.748  0.112 0.808  -0.008 0.868  -0.136 0.894  -0.264 0.918  -0.384 0.978  -0.504 1.038  -0.635 1.049  -0.769 1.049  -0.903 1.049  -1.037 1.049  -1.171 1.049  -1.305 1.049
2#apa#apa13#app1389/t  -0.011 1.652  -0.011 1.473  -0.011 1.294  -0.011 1.115  0.062 0.953  0.099 0.783  0.099 0.604  0.155 0.437  0.210 0.271  0.216 0.094  0.296 -0.067  0.320 -0.240  0.320 -0.419  0.389 -0.582  0.430 -0.752  0.430 -0.931  0.430 -1.110  0.430 -1.289  0.430 -1.468  0.363 -1.477  0.240 -1.347  0.117 -1.216  -0.006 -1.086  -0.128 -0.955  -0.251 -0.825  -0.374 -0.694  -0.497 -0.564  -0.620 -0.433  -0.742 -0.303  -0.865 -0.173  -0.988 -0.042  -1.111 0.088  -1.234 0.219  -1.306 0.328  -1.127 0.328  -0.948 0.328  -0.770 0.335  -0.610 0.415  -0.437 0.438  -0.257 0.438  -0.078 0.438  0.101 0.438  0.280 0.438  0.459 0.438  0.638 0.438  0.818 0.438  0.997 0.438  1.176 0.438  1.355 0.438  1.534 0.438
2#apa#apa13#app1389/d  0.484 1.811  0.484 1.647  0.415 1.512  0.369 1.366  0.369 1.202  0.369 1.038  0.369 0.873  0.369 0.709  0.369 0.545  0.484 0.428  0.484 0.264  0.484 0.100  0.484 -0.064  0.484 -0.229  0.501 -0.376  0.599 -0.442  0.599 -0.606  0.599 -0.442  0.599 -0.278  0.599 -0.114  0.599 0.050  0.541 0.201  0.451 0.331  0.304 0.405  0.177 0.506  0.061 0.622  -0.088 0.660  -0.252 0.660  -0.389 0.593  -0.505 0.477  -0.639 0.386  -0.785 0.312  -0.898 0.194  -0.922 0.036  -0.996 -0.111  -1.013 -0.272  -1.013 -0.436  -1.013 -0.600  -1.013 -0.764  -0.931 -0.878  -0.784 -0.951  -0.667 -1.067  -0.503 -1.067  -0.368 -1.137  -0.222 -1.182  -0.058 -1.182  0.106 -1.182  0.271 -1.182  0.435 -1.182  0.599 -1.182
2#apa#apa13#app1389/o  -0.748 0.270  -0.748 0.143  -0.748 0.016  -0.748 -0.110  -0.748 -0.237  -0.748 -0.364  -0.748 -0.490  -0.748 -0.617  -0.708 -0.727  -0.619 -0.817  -0.508 -0.876  -0.394 -0.933  -0.293 -1.006  -0.203 -1.095  -0.078 -1.098  0.049 -1.098  0.175 -1.098  0.275 -1.033  0.372 -0.961  0.494 -0.951  0.584 -0.861  0.620 -0.750  0.666 -0.642  0.756 -0.553  0.845 -0.463  0.894 -0.357  0.894 -0.230  0.894 -0.103  0.882 0.020  0.825 0.134  0.768 0.247  0.656 0.270  0.620 0.361  0.620 0.487  0.553 0.566  0.433 0.606  0.313 0.646  0.210 0.698  0.204 0.822  0.115 0.912  0.005 0.954  -0.122 0.954  -0.234 0.987  -0.324 1.077  -0.413 1.166  -0.515 1.227  -0.641 1.227  -0.768 1.227  -0.895 1.227  -1.021 1.227
2#apa#apa13#app1389/w  -1.407 0.215  -1.381 0.111  -1.303 0.060  -1.303 -0.070  -1.303 -0.199  -1.212 -0.291  -1.194 -0.413  -1.103 -0.505  -1.081 -0.617  -0.951 -0.617  -0.821 -0.617  -0.718 -0.553  -0.605 -0.513  -0.504 -0.443  -0.413 -0.352  -0.366 -0.241  -0.326 -0.121  -0.268 -0.005  -0.262 0.123  -0.262 0.253  -0.262 0.256  -0.325 0.153  -0.366 0.040  -0.366 -0.089  -0.348 -0.201  -0.262 -0.245  -0.193 -0.305  -0.091 -0.372  0.023 -0.409  0.153 -0.409  0.282 -0.409  0.412 -0.409  0.542 -0.409  0.642 -0.338  0.758 -0.305  0.855 -0.228  0.947 -0.136  0.987 -0.023  1.057 0.077  1.091 0.193  1.167 0.291  1.195 0.409  1.195 0.539  1.195 0.668  1.195 0.798  1.132 0.902  1.091 1.014  1.091 1.144  1.005 1.238  0.987 1.360
2#apa#apa13#app1389/n  -1.087 1.053  -1.075 0.905  -0.967 0.797  -0.952 0.651  -0.952 0.498  -0.952 0.345  -0.952 0.193  -0.952 0.040  -0.952 -0.113  -0.952 -0.265  -0.952 -0.418  -0.952 -0.570  -0.952 -0.723  -0.911 -0.834  -0.818 -0.775  -0.749 -0.665  -0.612 -0.597  -0.491 -0.507  -0.413 -0.387  -0.386 -0.241  -0.318 -0.104  -0.233 0.020  -0.144 0.136  -0.104 0.264  0.032 0.332  0.126 0.427  0.185 0.543  0.321 0.611  0.395 0.718  0.457 0.845  0.580 0.918  0.733 0.918  0.885 0.918  0.934 0.814  0.934 0.662  0.932 0.510  0.864 0.373  0.796 0.237  0.728 0.100  0.665 -0.038  0.665 -0.190  0.665 -0.343  0.665 -0.496  0.665 -0.648  0.736 -0.771  0.800 -0.898  0.881 -0.969  0.934 -1.068  1.051 -1.104  1.204 -1.104
