2#tos#f1#f1035060/!  -0.031 1.221  0.015 1.263  0.015 1.352  0.061 1.395  0.061 1.484  0.107 1.526  0.107 1.471  0.107 1.383  0.107 1.294  0.107 1.205  0.107 1.116  0.107 1.028  0.107 0.939  0.107 0.850  0.067 0.786  0.015 0.729  0.015 0.641  0.015 0.552  0.015 0.463  0.015 0.374  0.015 0.285  0.015 0.197  0.015 0.108  0.015 0.019  0.015 -0.070  0.061 -0.112  0.061 -0.201  0.015 -0.244  0.015 -0.333  0.015 -0.363  0.015 -0.274  0.008 -0.322  -0.002 -0.410  -0.012 -0.499  -0.022 -0.587  -0.032 -0.675  -0.041 -0.763  -0.051 -0.852  -0.061 -0.940  -0.071 -1.028  -0.081 -1.116  -0.090 -1.205  -0.100 -1.293  -0.110 -1.381  -0.120 -1.469  -0.123 -1.439  -0.169 -1.416  -0.169 -1.505  -0.123 -1.548  -0.123 -1.636
2#tos#f1#f1035060/T  -1.234 0.789  -1.234 0.662  -1.169 0.566  -1.042 0.562  -0.919 0.532  -0.794 0.521  -0.667 0.521  -0.540 0.521  -0.413 0.521  -0.286 0.521  -0.159 0.521  -0.033 0.521  0.094 0.521  0.221 0.521  0.347 0.539  0.472 0.560  0.598 0.566  0.725 0.566  0.797 0.655  0.922 0.662  1.040 0.699  0.920 0.675  0.796 0.650  0.671 0.625  0.547 0.600  0.423 0.576  0.298 0.551  0.174 0.526  0.047 0.521  -0.029 0.470  -0.029 0.343  -0.029 0.216  -0.029 0.090  -0.029 -0.037  -0.029 -0.164  -0.029 -0.291  -0.029 -0.418  -0.029 -0.545  -0.029 -0.672  -0.029 -0.799  -0.029 -0.925  -0.029 -1.052  -0.029 -1.179  -0.029 -1.306  -0.029 -1.433  -0.029 -1.560  -0.029 -1.687  -0.029 -1.813  -0.029 -1.940  -0.029 -2.067
2#tos#f1#f1035060/U  -0.725 1.178  -0.725 1.066  -0.794 0.982  -0.809 0.876  -0.809 0.763  -0.809 0.651  -0.788 0.543  -0.767 0.436  -0.767 0.323  -0.767 0.211  -0.767 0.098  -0.767 -0.014  -0.767 -0.127  -0.767 -0.239  -0.737 -0.341  -0.666 -0.429  -0.596 -0.517  -0.555 -0.612  -0.555 -0.725  -0.497 -0.817  -0.471 -0.926  -0.378 -0.975  -0.274 -1.017  -0.172 -1.065  -0.060 -1.065  0.053 -1.065  0.149 -1.032  0.219 -0.944  0.290 -0.856  0.291 -0.744  0.349 -0.650  0.416 -0.560  0.495 -0.481  0.541 -0.379  0.583 -0.274  0.619 -0.168  0.654 -0.061  0.693 0.045  0.735 0.149  0.766 0.257  0.784 0.368  0.807 0.478  0.849 0.582  0.888 0.687  0.916 0.796  0.926 0.908  0.926 1.020  0.944 1.128  0.969 1.235  0.926 1.305
2#tos#f1#f1035060/V  -1.141 1.083  -1.095 1.157  -1.040 1.223  -0.955 1.186  -0.893 1.117  -0.775 1.094  -0.723 1.016  -0.723 0.895  -0.723 0.775  -0.666 0.672  -0.617 0.564  -0.587 0.447  -0.550 0.333  -0.502 0.223  -0.448 0.115  -0.417 -0.001  -0.383 -0.116  -0.338 -0.228  -0.291 -0.339  -0.249 -0.451  -0.225 -0.569  -0.183 -0.679  -0.118 -0.780  -0.080 -0.894  -0.003 -0.984  0.048 -1.091  0.067 -1.208  0.156 -1.239  0.257 -1.286  0.299 -1.207  0.299 -1.087  0.328 -0.978  0.413 -0.893  0.438 -0.783  0.445 -0.664  0.490 -0.552  0.535 -0.441  0.579 -0.329  0.624 -0.217  0.653 -0.100  0.686 0.016  0.717 0.131  0.717 0.251  0.764 0.356  0.836 0.452  0.856 0.566  0.856 0.686  0.857 0.807  0.903 0.916  0.903 1.037
2#tos#f1#f1035060/W  -1.246 1.075  -1.232 1.075  -1.204 0.923  -1.162 0.752  -1.142 0.575  -1.091 0.402  -1.046 0.234  -0.978 0.071  -0.954 -0.107  -0.904 -0.275  -0.796 -0.416  -0.763 -0.585  -0.638 -0.707  -0.605 -0.872  -0.522 -0.991  -0.432 -0.836  -0.370 -0.668  -0.335 -0.491  -0.330 -0.312  -0.229 -0.165  -0.205 0.007  -0.198 0.186  -0.138 0.351  -0.080 0.507  -0.080 0.687  0.003 0.674  0.058 0.507  0.086 0.334  0.101 0.156  0.128 -0.019  0.205 -0.168  0.280 -0.324  0.348 -0.490  0.401 -0.659  0.486 -0.816  0.544 -0.974  0.669 -0.984  0.766 -0.841  0.812 -0.667  0.858 -0.493  0.919 -0.325  0.919 -0.145  1.005 0.011  1.044 0.180  1.044 0.360  1.098 0.522  1.168 0.679  1.240 0.842  1.252 1.019  1.252 1.199
2#tos#f1#f1035060/Z  -0.035 1.172  -0.125 1.099  -0.258 1.063  -0.318 1.001  -0.181 1.001  -0.043 1.001  0.094 1.001  0.221 1.044  0.355 1.077  0.491 1.086  0.618 1.129  0.756 1.129  0.861 1.161  0.781 1.097  0.687 0.997  0.605 0.888  0.535 0.770  0.443 0.668  0.346 0.571  0.257 0.469  0.204 0.344  0.107 0.247  0.010 0.150  -0.085 0.051  -0.162 -0.064  -0.258 -0.161  -0.348 -0.264  -0.414 -0.384  -0.485 -0.502  -0.505 -0.634  -0.591 -0.728  -0.686 -0.822  -0.751 -0.931  -0.847 -0.999  -0.926 -1.088  -0.854 -1.095  -0.726 -1.052  -0.632 -1.006  -0.495 -1.006  -0.400 -0.963  -0.263 -0.963  -0.125 -0.963  -0.073 -0.877  0.054 -0.835  0.192 -0.835  0.329 -0.835  0.467 -0.835  0.586 -0.792  0.724 -0.792  0.861 -0.792
2#tos#f1#f1035060/a  0.805 0.409  0.868 0.529  0.868 0.712  0.846 0.890  0.805 1.063  0.744 1.220  0.562 1.222  0.379 1.222  0.201 1.201  0.034 1.126  -0.135 1.058  -0.195 0.916  -0.362 0.853  -0.383 0.686  -0.470 0.562  -0.640 0.494  -0.725 0.352  -0.780 0.179  -0.821 0.006  -0.881 -0.152  -1.008 -0.282  -1.033 -0.463  -1.068 -0.642  -1.071 -0.825  -1.071 -1.007  -1.035 -1.154  -0.852 -1.154  -0.674 -1.140  -0.522 -1.039  -0.381 -0.924  -0.233 -0.817  -0.133 -0.676  -0.063 -0.522  0.062 -0.389  0.144 -0.226  0.192 -0.054  0.242 0.121  0.242 0.304  0.305 0.424  0.367 0.398  0.367 0.215  0.367 0.032  0.448 -0.119  0.550 -0.271  0.555 -0.452  0.715 -0.520  0.791 -0.675  0.867 -0.841  1.033 -0.882  1.180 -0.967
2#tos#f1#f1035060/b  -0.193 2.185  -0.193 2.091  -0.193 1.889  -0.193 1.688  -0.193 1.487  -0.169 1.289  -0.140 1.091  -0.140 0.890  -0.140 0.689  -0.140 0.487  -0.106 0.290  -0.086 0.091  -0.086 -0.110  -0.086 -0.311  -0.086 -0.512  -0.086 -0.713  -0.086 -0.915  -0.041 -1.105  -0.033 -1.304  -0.033 -1.376  -0.050 -1.178  -0.086 -0.982  -0.193 -0.825  -0.193 -0.624  -0.272 -0.456  -0.300 -0.266  -0.343 -0.075  -0.353 0.124  -0.353 0.325  -0.300 0.473  -0.162 0.567  0.037 0.585  0.238 0.585  0.440 0.585  0.641 0.585  0.767 0.469  0.898 0.338  0.927 0.153  0.927 -0.049  0.809 -0.187  0.683 -0.340  0.535 -0.464  0.398 -0.602  0.222 -0.700  0.048 -0.800  -0.131 -0.887  -0.322 -0.951  -0.504 -1.036  -0.698 -1.068  -0.886 -1.121
2#tos#f1#f1035060/e  -0.431 0.247  -0.431 0.085  -0.431 -0.076  -0.337 -0.144  -0.175 -0.144  -0.014 -0.144  0.148 -0.144  0.288 -0.093  0.403 0.021  0.552 0.069  0.711 0.079  0.798 0.199  0.849 0.352  0.961 0.468  1.019 0.573  1.019 0.734  0.993 0.885  0.857 0.969  0.765 1.083  0.616 1.139  0.455 1.139  0.293 1.139  0.132 1.139  -0.000 1.068  -0.142 1.002  -0.296 0.955  -0.408 0.851  -0.522 0.743  -0.598 0.623  -0.614 0.463  -0.653 0.306  -0.711 0.162  -0.766 0.017  -0.766 -0.144  -0.856 -0.279  -0.877 -0.434  -0.877 -0.595  -0.799 -0.724  -0.766 -0.872  -0.680 -0.969  -0.584 -1.092  -0.423 -1.094  -0.270 -1.145  -0.117 -1.197  0.044 -1.203  0.205 -1.203  0.367 -1.203  0.528 -1.203  0.690 -1.203  0.851 -1.203
2#tos#f1#f1035060/f  0.736 1.429  0.641 1.349  0.496 1.349  0.418 1.416  0.326 1.469  0.206 1.534  0.099 1.608  0.020 1.568  0.020 1.423  0.020 1.278  0.020 1.133  0.020 0.988  0.020 0.843  0.020 0.698  0.026 0.554  0.050 0.411  0.092 0.273  0.142 0.138  0.171 -0.004  0.179 -0.148  0.179 -0.293  0.207 -0.435  0.249 -0.573  0.258 -0.717  0.258 -0.862  0.258 -1.006  0.191 -1.103  0.064 -1.170  -0.045 -1.264  -0.171 -1.335  -0.229 -1.444  -0.320 -1.416  -0.364 -1.278  -0.408 -1.140  -0.453 -1.002  -0.497 -0.864  -0.542 -0.726  -0.586 -0.588  -0.631 -0.450  -0.675 -0.312  -0.664 -0.284  -0.526 -0.244  -0.383 -0.221  -0.242 -0.195  -0.105 -0.164  0.007 -0.085  0.152 -0.080  0.290 -0.039  0.433 -0.016  0.577 -0.005
2#tos#f1#f1035060/g  0.291 0.643  0.291 0.435  0.387 0.606  0.554 0.773  0.646 0.971  0.646 1.208  0.581 1.417  0.355 1.442  0.140 1.353  -0.064 1.254  -0.223 1.099  -0.377 0.931  -0.466 0.727  -0.508 0.497  -0.508 0.261  -0.448 0.050  -0.223 0.021  -0.025 0.123  0.161 0.254  0.278 0.453  0.421 0.637  0.424 0.873  0.327 0.977  0.232 0.762  0.157 0.556  0.144 0.322  0.113 0.089  0.024 -0.120  0.024 -0.357  0.024 -0.593  0.008 -0.828  -0.020 -1.062  -0.020 -1.298  -0.111 -1.445  -0.230 -1.637  -0.459 -1.665  -0.674 -1.605  -0.857 -1.501  -0.903 -1.275  -0.908 -1.040  -0.793 -0.866  -0.699 -0.695  -0.483 -0.603  -0.274 -0.503  -0.067 -0.394  0.161 -0.333  0.389 -0.271  0.621 -0.241  0.853 -0.200  1.089 -0.200
2#tos#f1#f1035060/h  -0.134 1.855  -0.228 1.751  -0.236 1.590  -0.275 1.433  -0.336 1.284  -0.368 1.126  -0.368 0.964  -0.368 0.802  -0.395 0.643  -0.415 0.483  -0.415 0.321  -0.462 0.167  -0.462 0.005  -0.462 -0.157  -0.466 -0.318  -0.497 -0.477  -0.534 -0.635  -0.606 -0.773  -0.650 -0.917  -0.650 -1.022  -0.697 -0.880  -0.697 -0.718  -0.697 -0.556  -0.696 -0.394  -0.631 -0.254  -0.603 -0.095  -0.603 0.067  -0.507 0.170  -0.415 0.294  -0.314 0.355  -0.153 0.355  -0.002 0.308  0.096 0.219  0.147 0.079  0.241 -0.025  0.241 -0.187  0.326 -0.296  0.334 -0.453  0.396 -0.565  0.475 -0.672  0.586 -0.723  0.748 -0.723  0.910 -0.718  1.060 -0.661  1.187 -0.564  1.259 -0.419  1.402 -0.376  1.557 -0.348  1.637 -0.235  1.740 -0.113
2#tos#f1#f1035060/i  -0.106 1.566  -0.054 1.513  0.017 1.503  0.026 1.434  0.079 1.381  0.082 1.308  0.099 1.244  0.166 1.211  0.207 1.161  0.236 1.099  0.270 1.038  0.270 0.963  0.253 0.892  0.228 0.822  0.203 0.751  0.177 0.681  0.152 0.611  0.127 0.540  0.102 0.470  0.077 0.400  0.052 0.330  0.027 0.259  0.002 0.189  -0.023 0.119  -0.044 0.048  -0.044 -0.027  -0.044 -0.101  -0.079 -0.161  -0.132 -0.214  -0.169 -0.273  -0.169 -0.348  -0.169 -0.423  -0.169 -0.497  -0.147 -0.568  -0.123 -0.639  -0.106 -0.711  -0.106 -0.785  -0.106 -0.860  -0.106 -0.935  -0.106 -1.009  -0.106 -1.084  -0.106 -1.159  -0.106 -1.233  -0.106 -1.308  -0.106 -1.382  -0.106 -1.457  -0.079 -1.505  -0.044 -1.544  -0.044 -1.618  -0.044 -1.693
2#tos#f1#f1035060/j  -0.108 1.341  -0.116 1.341  -0.029 1.341  0.034 1.318  0.097 1.294  0.184 1.294  0.266 1.273  0.346 1.247  0.414 1.227  0.380 1.151  0.330 1.080  0.281 1.009  0.231 0.938  0.181 0.867  0.131 0.796  0.081 0.725  -0.005 0.725  -0.013 0.646  -0.013 0.559  -0.013 0.472  -0.013 0.386  0.008 0.304  0.034 0.223  0.056 0.140  0.082 0.057  0.082 -0.029  0.089 -0.115  0.106 -0.201  0.123 -0.286  0.129 -0.372  0.129 -0.459  0.129 -0.545  0.129 -0.632  0.129 -0.719  0.129 -0.806  0.129 -0.892  0.084 -0.934  0.082 -1.019  0.062 -1.097  -0.012 -1.139  -0.094 -1.167  -0.131 -1.227  -0.213 -1.254  -0.298 -1.266  -0.385 -1.266  -0.472 -1.266  -0.559 -1.266  -0.645 -1.266  -0.732 -1.266  -0.819 -1.266
2#tos#f1#f1035060/k  -0.472 2.146  -0.542 2.006  -0.542 1.795  -0.542 1.584  -0.542 1.373  -0.542 1.162  -0.508 0.961  -0.401 0.783  -0.401 0.572  -0.401 0.361  -0.401 0.150  -0.401 -0.061  -0.401 -0.272  -0.401 -0.483  -0.401 -0.694  -0.398 -0.904  -0.330 -1.099  -0.330 -1.310  -0.305 -1.417  -0.208 -1.230  -0.111 -1.043  -0.014 -0.855  0.082 -0.668  0.179 -0.480  0.276 -0.293  0.373 -0.105  0.469 0.082  0.566 0.270  0.663 0.457  0.760 0.645  0.707 0.665  0.540 0.537  0.338 0.517  0.163 0.408  -0.009 0.288  -0.203 0.205  -0.399 0.128  -0.563 0.000  -0.656 -0.149  -0.488 -0.275  -0.294 -0.333  -0.100 -0.404  0.096 -0.452  0.275 -0.565  0.473 -0.616  0.684 -0.616  0.895 -0.616  1.095 -0.634  1.230 -0.758  1.441 -0.758
2#tos#f1#f1035060/l  0.044 1.648  -0.012 1.634  -0.012 1.565  -0.012 1.495  -0.012 1.426  -0.012 1.356  -0.012 1.287  -0.012 1.217  -0.012 1.147  -0.012 1.078  -0.012 1.008  -0.012 0.939  -0.012 0.869  -0.012 0.799  -0.012 0.730  -0.012 0.660  -0.012 0.591  -0.012 0.521  -0.012 0.452  -0.012 0.382  -0.012 0.312  -0.012 0.243  -0.012 0.173  -0.012 0.104  -0.012 0.034  -0.012 -0.035  -0.012 -0.105  -0.012 -0.175  -0.012 -0.244  -0.012 -0.314  -0.012 -0.383  -0.012 -0.453  -0.012 -0.523  -0.012 -0.592  -0.012 -0.662  -0.012 -0.731  -0.012 -0.801  -0.012 -0.870  -0.012 -0.940  -0.000 -1.008  0.022 -1.074  0.044 -1.140  0.044 -1.209  0.044 -1.279  0.044 -1.348  0.044 -1.418  0.044 -1.488  0.044 -1.557  0.044 -1.627  0.044 -1.696
2#tos#f1#f1035060/m  -0.916 0.694  -0.861 0.877  -0.773 1.026  -0.751 0.811  -0.751 0.574  -0.751 0.336  -0.751 0.099  -0.751 -0.139  -0.826 -0.360  -0.861 -0.591  -0.909 -0.815  -0.972 -1.033  -0.972 -0.990  -0.902 -0.769  -0.861 -0.541  -0.707 -0.368  -0.695 -0.135  -0.483 -0.029  -0.474 0.203  -0.380 0.402  -0.290 0.602  -0.192 0.805  -0.087 0.672  -0.040 0.442  -0.032 0.206  -0.032 -0.031  -0.064 -0.265  -0.198 -0.389  -0.198 -0.626  -0.190 -0.515  -0.036 -0.336  0.055 -0.120  0.145 0.097  0.288 0.283  0.394 0.495  0.520 0.693  0.591 0.905  0.736 1.002  0.798 0.803  0.798 0.565  0.798 0.328  0.845 0.101  0.908 -0.121  0.909 -0.358  1.016 -0.571  1.224 -0.672  1.335 -0.854  1.573 -0.854  1.810 -0.854  1.959 -0.688
2#tos#f1#f1035060/n  -1.288 0.241  -1.335 0.241  -1.234 0.349  -1.180 0.509  -1.030 0.552  -0.911 0.671  -0.804 0.731  -0.683 0.779  -0.555 0.713  -0.535 0.550  -0.535 0.381  -0.535 0.213  -0.535 0.045  -0.535 -0.123  -0.535 -0.291  -0.535 -0.460  -0.535 -0.628  -0.535 -0.796  -0.535 -0.964  -0.535 -0.969  -0.535 -0.801  -0.535 -0.632  -0.465 -0.481  -0.427 -0.321  -0.377 -0.168  -0.299 -0.021  -0.246 0.139  -0.212 0.301  -0.198 0.456  -0.086 0.528  -0.030 0.671  0.111 0.644  0.211 0.517  0.346 0.419  0.380 0.272  0.407 0.124  0.541 0.052  0.569 -0.111  0.649 -0.221  0.684 -0.385  0.773 -0.513  0.941 -0.513  1.109 -0.513  1.251 -0.449  1.396 -0.371  1.543 -0.293  1.661 -0.178  1.772 -0.059  1.913 0.032  2.048 0.133
2#tos#f1#f1035060/s  0.681 1.056  0.538 1.084  0.439 1.160  0.308 1.177  0.161 1.177  0.013 1.177  -0.135 1.177  -0.277 1.153  -0.405 1.080  -0.528 0.998  -0.612 0.876  -0.726 0.813  -0.848 0.777  -0.894 0.637  -0.896 0.490  -1.004 0.449  -1.018 0.315  -0.983 0.189  -0.896 0.095  -0.799 -0.013  -0.661 -0.036  -0.557 -0.108  -0.440 -0.158  -0.292 -0.158  -0.144 -0.158  -0.008 -0.207  0.137 -0.218  0.285 -0.218  0.433 -0.218  0.581 -0.218  0.728 -0.218  0.862 -0.158  1.010 -0.158  1.158 -0.158  1.167 -0.296  1.062 -0.340  0.926 -0.378  0.803 -0.460  0.699 -0.565  0.587 -0.660  0.464 -0.739  0.360 -0.843  0.244 -0.934  0.135 -1.024  0.031 -1.068  -0.096 -1.117  -0.239 -1.128  -0.358 -1.197  -0.463 -1.302  -0.532 -1.432
2#tos#f1#f1035060/w  -1.195 0.845  -1.343 0.845  -1.341 0.818  -1.301 0.679  -1.301 0.531  -1.210 0.417  -1.131 0.292  -1.064 0.160  -1.036 0.018  -1.036 -0.130  -0.985 -0.266  -0.937 -0.406  -0.877 -0.531  -0.850 -0.668  -0.713 -0.694  -0.581 -0.638  -0.465 -0.548  -0.361 -0.443  -0.293 -0.323  -0.293 -0.175  -0.211 -0.054  -0.128 0.067  -0.081 0.207  0.042 0.290  0.079 0.418  0.079 0.566  0.091 0.449  0.132 0.310  0.156 0.165  0.185 0.021  0.216 -0.120  0.291 -0.241  0.295 -0.388  0.342 -0.528  0.423 -0.627  0.515 -0.694  0.663 -0.693  0.768 -0.589  0.793 -0.449  0.882 -0.331  0.997 -0.252  1.140 -0.216  1.140 -0.068  1.140 0.080  1.201 0.196  1.313 0.288  1.379 0.420  1.445 0.553  1.459 0.697  1.565 0.739
2#tos#f1#f1035060/z  -0.547 1.084  -0.674 1.068  -0.769 0.974  -0.752 0.972  -0.618 0.972  -0.484 0.972  -0.350 0.972  -0.217 0.972  -0.086 0.994  0.042 1.028  0.176 1.028  0.310 1.028  0.444 1.028  0.578 1.028  0.687 1.003  0.673 0.871  0.628 0.746  0.501 0.704  0.411 0.613  0.333 0.505  0.238 0.410  0.127 0.336  0.041 0.239  -0.019 0.120  -0.101 0.015  -0.195 -0.079  -0.290 -0.174  -0.322 -0.294  -0.367 -0.404  -0.479 -0.479  -0.597 -0.540  -0.614 -0.666  -0.709 -0.761  -0.771 -0.869  -0.760 -0.991  -0.626 -0.991  -0.492 -0.991  -0.358 -0.991  -0.224 -0.991  -0.090 -0.991  0.044 -0.991  0.178 -0.991  0.312 -0.991  0.446 -0.991  0.580 -0.991  0.713 -0.991  0.830 -0.934  0.947 -0.879  1.081 -0.879  1.192 -0.823
