2#tos#f1#f1006061/#  -0.819 0.336  -0.447 0.270  -0.058 0.218  0.312 0.128  0.688 0.043  0.327 0.001  -0.068 -0.043  -0.463 -0.087  -0.858 -0.131  -1.087 -0.401  -0.892 -0.485  -0.507 -0.563  -0.114 -0.602  0.284 -0.602  0.681 -0.602  0.824 -0.534  0.661 -0.171  0.497 0.191  0.334 0.554  0.171 0.916  0.008 1.279  -0.155 1.641  -0.233 1.357  -0.292 0.969  -0.292 0.572  -0.390 0.198  -0.410 -0.195  -0.467 -0.586  -0.467 -0.983  -0.467 -1.381  -0.467 -1.778  -0.403 -1.615  -0.312 -1.228  -0.221 -0.841  -0.130 -0.454  -0.040 -0.067  0.051 0.320  0.142 0.707  0.232 1.094  0.323 1.481  0.406 1.854  0.353 1.478  0.353 1.080  0.353 0.683  0.412 0.295  0.529 -0.067  0.529 -0.465  0.529 -0.862  0.529 -1.260  0.529 -1.657
2#tos#f1#f1006061/O  0.645 0.442  0.645 0.592  0.575 0.698  0.556 0.836  0.500 0.929  0.372 0.980  0.238 1.017  0.089 1.017  -0.042 1.062  -0.192 1.062  -0.337 1.052  -0.461 1.006  -0.517 0.872  -0.565 0.752  -0.636 0.644  -0.692 0.511  -0.770 0.414  -0.771 0.266  -0.814 0.159  -0.814 0.010  -0.859 -0.121  -0.859 -0.270  -0.859 -0.420  -0.859 -0.569  -0.859 -0.718  -0.806 -0.844  -0.726 -0.944  -0.672 -1.071  -0.544 -1.116  -0.442 -1.194  -0.293 -1.194  -0.144 -1.194  -0.001 -1.163  0.132 -1.096  0.234 -0.998  0.355 -0.918  0.475 -0.833  0.601 -0.787  0.618 -0.645  0.711 -0.530  0.741 -0.390  0.777 -0.255  0.822 -0.116  0.822 0.033  0.822 0.182  0.822 0.332  0.822 0.481  0.811 0.619  0.706 0.664  0.645 0.752
2#tos#f1#f1006061/R  -0.202 0.945  -0.427 0.945  -0.373 1.062  -0.176 1.139  0.047 1.147  0.272 1.146  0.465 1.046  0.636 0.915  0.639 0.690  0.629 0.475  0.517 0.307  0.303 0.251  0.079 0.239  -0.147 0.239  -0.373 0.239  -0.437 0.334  -0.437 0.559  -0.437 0.785  -0.437 1.011  -0.579 0.963  -0.538 0.799  -0.538 0.573  -0.538 0.347  -0.633 0.148  -0.661 -0.074  -0.692 -0.297  -0.706 -0.521  -0.706 -0.747  -0.706 -0.972  -0.706 -1.198  -0.657 -1.201  -0.564 -0.996  -0.470 -0.790  -0.376 -0.585  -0.282 -0.379  -0.189 -0.174  -0.095 0.031  -0.001 0.237  -0.033 0.050  0.028 -0.158  0.163 -0.306  0.312 -0.436  0.476 -0.574  0.618 -0.749  0.815 -0.857  1.017 -0.958  1.214 -1.066  1.412 -1.172  1.623 -1.206  1.849 -1.206
2#tos#f1#f1006061/S  0.447 0.978  0.447 1.103  0.421 1.222  0.399 1.331  0.278 1.355  0.154 1.363  0.029 1.363  -0.096 1.363  -0.159 1.275  -0.274 1.238  -0.371 1.169  -0.450 1.087  -0.412 0.972  -0.342 0.870  -0.299 0.762  -0.226 0.680  -0.189 0.581  -0.074 0.534  -0.001 0.453  0.057 0.345  0.160 0.299  0.191 0.178  0.223 0.085  0.309 -0.005  0.319 -0.126  0.383 -0.212  0.384 -0.337  0.463 -0.432  0.542 -0.527  0.563 -0.644  0.575 -0.764  0.575 -0.889  0.542 -0.994  0.435 -1.060  0.327 -1.105  0.274 -1.201  0.150 -1.206  0.038 -1.262  -0.087 -1.265  -0.210 -1.257  -0.326 -1.215  -0.428 -1.150  -0.483 -1.037  -0.507 -0.914  -0.526 -0.793  -0.580 -0.680  -0.605 -0.557  -0.650 -0.441  -0.686 -0.325  -0.706 -0.208
2#tos#f1#f1006061/T  -1.083 0.527  -1.206 0.527  -1.100 0.495  -0.977 0.495  -0.854 0.495  -0.733 0.506  -0.613 0.527  -0.491 0.533  -0.373 0.565  -0.251 0.582  -0.130 0.603  -0.009 0.623  0.113 0.631  0.234 0.651  0.350 0.693  0.468 0.718  0.591 0.718  0.714 0.718  0.837 0.718  0.946 0.750  0.858 0.785  0.751 0.787  0.635 0.746  0.519 0.706  0.403 0.665  0.287 0.625  0.191 0.570  0.143 0.495  0.033 0.464  -0.032 0.368  -0.032 0.245  -0.032 0.122  -0.032 -0.001  -0.032 -0.124  -0.032 -0.247  -0.032 -0.370  -0.032 -0.493  -0.032 -0.616  -0.032 -0.739  -0.032 -0.862  -0.032 -0.985  0.000 -1.103  0.000 -1.225  0.000 -1.348  0.000 -1.471  0.000 -1.594  0.000 -1.717  0.032 -1.808  0.032 -1.931  0.064 -2.022
2#tos#f1#f1006061/U  -0.790 0.861  -0.899 0.861  -0.938 0.930  -0.938 0.831  -0.938 0.723  -0.938 0.614  -0.938 0.506  -0.938 0.397  -0.938 0.289  -0.938 0.180  -0.938 0.072  -0.938 -0.037  -0.938 -0.145  -0.872 -0.218  -0.827 -0.303  -0.812 -0.396  -0.716 -0.409  -0.695 -0.512  -0.647 -0.609  -0.549 -0.649  -0.457 -0.692  -0.356 -0.724  -0.262 -0.751  -0.186 -0.803  -0.077 -0.803  0.031 -0.803  0.140 -0.803  0.237 -0.775  0.331 -0.723  0.411 -0.657  0.480 -0.581  0.551 -0.511  0.620 -0.428  0.689 -0.348  0.772 -0.322  0.837 -0.279  0.837 -0.171  0.838 -0.062  0.898 0.028  0.911 0.132  0.937 0.237  0.981 0.336  0.985 0.443  0.985 0.552  0.985 0.660  0.985 0.769  0.992 0.875  1.022 0.977  1.022 1.085  0.985 1.157
2#tos#f1#f1006061/V  -1.156 0.862  -1.195 0.789  -1.137 0.706  -1.078 0.653  -1.070 0.550  -1.000 0.508  -1.000 0.397  -0.942 0.316  -0.865 0.240  -0.823 0.137  -0.805 0.029  -0.763 -0.043  -0.721 -0.147  -0.673 -0.246  -0.624 -0.344  -0.589 -0.449  -0.546 -0.552  -0.504 -0.649  -0.425 -0.728  -0.323 -0.752  -0.258 -0.836  -0.210 -0.918  -0.118 -0.972  -0.007 -0.972  0.093 -0.960  0.138 -0.894  0.250 -0.894  0.327 -0.860  0.353 -0.764  0.405 -0.685  0.432 -0.581  0.483 -0.485  0.483 -0.373  0.531 -0.276  0.586 -0.180  0.636 -0.080  0.639 0.031  0.654 0.141  0.678 0.249  0.689 0.360  0.716 0.468  0.793 0.548  0.817 0.650  0.883 0.736  0.919 0.842  0.955 0.947  0.990 1.051  1.029 1.123  1.129 1.135  1.224 1.174
2#tos#f1#f1006061/Z  -0.561 0.912  -0.710 0.898  -0.830 0.812  -0.713 0.776  -0.573 0.824  -0.421 0.844  -0.265 0.844  -0.110 0.844  0.043 0.860  0.187 0.914  0.297 1.016  0.436 1.047  0.591 1.047  0.746 1.047  0.817 0.979  0.731 0.872  0.615 0.799  0.542 0.675  0.409 0.644  0.328 0.516  0.262 0.393  0.170 0.277  0.059 0.175  -0.079 0.104  -0.191 -0.003  -0.284 -0.126  -0.407 -0.219  -0.516 -0.328  -0.637 -0.424  -0.758 -0.516  -0.870 -0.615  -1.001 -0.656  -1.001 -0.812  -0.996 -0.914  -0.841 -0.914  -0.686 -0.914  -0.531 -0.914  -0.376 -0.914  -0.220 -0.914  -0.065 -0.914  0.090 -0.914  0.226 -0.857  0.366 -0.813  0.519 -0.796  0.672 -0.779  0.827 -0.779  0.982 -0.779  1.137 -0.779  1.259 -0.813  1.332 -0.711
2#tos#f1#f1006061/a  -0.102 0.159  -0.102 0.330  -0.102 0.500  -0.102 0.670  -0.102 0.841  -0.173 0.941  -0.211 1.073  -0.381 1.073  -0.536 1.049  -0.617 0.899  -0.711 0.758  -0.792 0.608  -0.884 0.464  -0.964 0.316  -1.017 0.154  -1.017 -0.017  -1.017 -0.187  -1.017 -0.357  -1.017 -0.528  -1.017 -0.698  -0.903 -0.755  -0.732 -0.755  -0.562 -0.755  -0.454 -0.692  -0.403 -0.538  -0.305 -0.399  -0.163 -0.313  -0.087 -0.161  -0.010 -0.008  0.038 0.151  0.038 0.321  0.074 0.476  0.109 0.633  0.109 0.641  0.208 0.532  0.360 0.455  0.390 0.303  0.406 0.138  0.508 0.002  0.608 -0.136  0.684 -0.288  0.776 -0.426  0.918 -0.521  1.060 -0.615  1.189 -0.723  1.283 -0.864  1.437 -0.895  1.603 -0.925  1.766 -0.966  1.937 -0.966
2#tos#f1#f1006061/b  -0.053 2.046  -0.203 2.046  -0.282 1.976  -0.225 1.850  -0.225 1.700  -0.225 1.550  -0.225 1.400  -0.225 1.250  -0.225 1.101  -0.225 0.951  -0.225 0.801  -0.225 0.651  -0.225 0.501  -0.225 0.351  -0.225 0.202  -0.225 0.052  -0.225 -0.098  -0.225 -0.248  -0.225 -0.398  -0.225 -0.548  -0.209 -0.695  -0.168 -0.838  -0.168 -0.988  -0.282 -0.926  -0.313 -0.788  -0.452 -0.762  -0.512 -0.672  -0.512 -0.522  -0.512 -0.372  -0.373 -0.361  -0.281 -0.302  -0.175 -0.196  -0.028 -0.189  0.087 -0.106  0.224 -0.074  0.374 -0.074  0.523 -0.074  0.673 -0.074  0.707 -0.196  0.807 -0.284  0.807 -0.434  0.807 -0.584  0.807 -0.734  0.691 -0.800  0.635 -0.910  0.522 -0.990  0.396 -1.048  0.247 -1.048  0.097 -1.048  -0.053 -1.048
2#tos#f1#f1006061/c  1.154 0.615  1.038 0.615  0.921 0.615  0.812 0.623  0.812 0.740  0.762 0.836  0.660 0.872  0.629 0.958  0.512 0.958  0.395 0.958  0.278 0.958  0.161 0.958  0.044 0.958  -0.065 0.938  -0.147 0.855  -0.235 0.780  -0.346 0.743  -0.457 0.706  -0.485 0.607  -0.582 0.543  -0.679 0.478  -0.755 0.394  -0.807 0.289  -0.847 0.179  -0.884 0.068  -0.901 -0.046  -0.901 -0.162  -0.901 -0.279  -0.901 -0.396  -0.894 -0.512  -0.842 -0.616  -0.790 -0.721  -0.738 -0.825  -0.630 -0.841  -0.513 -0.841  -0.397 -0.841  -0.280 -0.841  -0.163 -0.841  -0.046 -0.841  0.071 -0.841  0.188 -0.841  0.305 -0.841  0.422 -0.841  0.539 -0.841  0.656 -0.841  0.772 -0.841  0.874 -0.794  0.967 -0.724  1.061 -0.654  1.154 -0.584
2#tos#f1#f1006061/d  0.504 1.955  0.375 1.955  0.246 1.955  0.224 1.848  0.224 1.720  0.197 1.595  0.184 1.468  0.184 1.339  0.184 1.210  0.170 1.083  0.144 0.957  0.144 0.828  0.121 0.702  0.104 0.575  0.104 0.446  0.104 0.317  0.104 0.188  0.104 0.059  0.104 -0.070  0.104 -0.198  0.105 -0.327  0.144 -0.447  0.144 -0.576  0.184 -0.665  0.184 -0.794  0.200 -0.919  0.224 -0.889  0.197 -0.765  0.184 -0.638  0.153 -0.514  0.144 -0.386  0.104 -0.298  0.008 -0.253  -0.092 -0.205  -0.221 -0.205  -0.336 -0.219  -0.411 -0.297  -0.490 -0.399  -0.536 -0.508  -0.616 -0.557  -0.616 -0.686  -0.616 -0.815  -0.532 -0.894  -0.462 -1.000  -0.394 -1.108  -0.289 -1.166  -0.160 -1.166  -0.039 -1.148  0.064 -1.086  0.144 -1.005
2#tos#f1#f1006061/e  -0.447 0.442  -0.515 0.344  -0.387 0.306  -0.222 0.306  -0.057 0.306  0.108 0.306  0.273 0.306  0.439 0.306  0.604 0.306  0.769 0.306  0.934 0.306  1.099 0.306  1.091 0.457  0.974 0.574  0.838 0.644  0.721 0.760  0.565 0.781  0.427 0.847  0.261 0.847  0.096 0.847  -0.069 0.847  -0.234 0.847  -0.399 0.847  -0.564 0.847  -0.675 0.772  -0.748 0.644  -0.907 0.617  -0.988 0.502  -0.988 0.336  -0.988 0.171  -0.988 0.006  -0.988 -0.159  -0.988 -0.324  -0.934 -0.477  -0.825 -0.599  -0.712 -0.718  -0.650 -0.869  -0.539 -0.965  -0.391 -1.039  -0.231 -1.072  -0.073 -1.112  0.092 -1.112  0.257 -1.112  0.422 -1.112  0.578 -1.073  0.726 -0.999  0.858 -0.910  1.023 -0.910  1.106 -0.776  1.242 -0.707
2#tos#f1#f1006061/g  0.129 0.693  0.129 0.882  0.129 1.070  -0.036 1.113  -0.150 1.252  -0.336 1.255  -0.524 1.255  -0.657 1.200  -0.788 1.143  -0.826 0.992  -0.826 0.804  -0.771 0.638  -0.638 0.505  -0.465 0.469  -0.276 0.469  -0.140 0.593  -0.046 0.743  0.087 0.876  0.129 1.046  0.129 0.939  0.129 0.750  0.129 0.562  0.143 0.377  0.213 0.202  0.241 0.019  0.241 -0.169  0.241 -0.357  0.241 -0.545  0.241 -0.734  0.241 -0.922  0.188 -1.098  0.129 -1.272  0.069 -1.445  -0.074 -1.553  -0.263 -1.553  -0.376 -1.479  -0.376 -1.291  -0.376 -1.103  -0.376 -0.914  -0.376 -0.726  -0.227 -0.655  -0.055 -0.614  0.103 -0.542  0.264 -0.460  0.447 -0.430  0.635 -0.430  0.823 -0.430  0.988 -0.374  1.176 -0.374  1.365 -0.374
2#tos#f1#f1006061/j  0.137 1.016  0.035 1.016  -0.066 1.016  -0.074 1.038  0.020 1.067  0.117 1.095  0.212 1.130  0.304 1.169  0.406 1.169  0.507 1.169  0.590 1.124  0.689 1.118  0.672 1.035  0.609 0.956  0.546 0.877  0.482 0.798  0.419 0.718  0.356 0.639  0.292 0.560  0.236 0.476  0.188 0.389  0.188 0.288  0.188 0.186  0.188 0.085  0.197 -0.013  0.239 -0.097  0.239 -0.198  0.239 -0.300  0.239 -0.401  0.239 -0.502  0.211 -0.599  0.188 -0.697  0.188 -0.798  0.132 -0.877  0.049 -0.923  0.035 -1.009  -0.047 -1.052  -0.144 -1.076  -0.246 -1.076  -0.347 -1.076  -0.449 -1.076  -0.550 -1.076  -0.649 -1.065  -0.740 -1.020  -0.830 -0.975  -0.932 -0.974  -1.004 -0.904  -1.086 -0.847  -1.169 -0.790  -1.241 -0.718
2#tos#f1#f1006061/k  -0.700 2.032  -0.514 2.032  -0.408 1.925  -0.391 1.745  -0.391 1.559  -0.329 1.387  -0.329 1.201  -0.329 1.014  -0.329 0.828  -0.329 0.641  -0.329 0.455  -0.372 0.278  -0.454 0.111  -0.499 -0.070  -0.515 -0.254  -0.515 -0.441  -0.515 -0.627  -0.515 -0.813  -0.515 -1.000  -0.478 -1.066  -0.375 -0.910  -0.271 -0.755  -0.168 -0.600  -0.065 -0.445  0.039 -0.290  0.142 -0.135  0.246 0.020  0.349 0.176  0.452 0.331  0.556 0.486  0.563 0.443  0.496 0.301  0.383 0.210  0.251 0.078  0.083 0.034  -0.049 -0.098  -0.221 -0.131  -0.268 -0.271  -0.127 -0.317  -0.082 -0.459  0.055 -0.516  0.216 -0.602  0.289 -0.735  0.461 -0.750  0.571 -0.873  0.747 -0.899  0.844 -1.056  1.028 -1.059  1.215 -1.059  1.401 -1.059
2#tos#f1#f1006061/l  -0.120 1.722  -0.120 1.648  -0.120 1.574  -0.079 1.517  -0.027 1.465  -0.010 1.398  -0.010 1.324  -0.010 1.250  -0.010 1.176  -0.010 1.102  -0.010 1.028  -0.010 0.954  -0.010 0.880  -0.010 0.806  -0.010 0.732  -0.010 0.658  -0.010 0.584  -0.010 0.510  -0.010 0.436  -0.010 0.362  -0.010 0.288  -0.010 0.214  -0.010 0.140  -0.010 0.065  -0.010 -0.009  -0.010 -0.083  -0.010 -0.157  -0.010 -0.231  -0.010 -0.305  -0.010 -0.379  -0.039 -0.441  -0.065 -0.504  -0.065 -0.578  -0.065 -0.652  -0.065 -0.726  -0.065 -0.800  -0.065 -0.874  -0.065 -0.948  -0.010 -0.967  -0.010 -1.041  -0.010 -1.115  -0.000 -1.179  0.044 -1.208  0.093 -1.234  0.099 -1.302  0.131 -1.343  0.205 -1.343  0.209 -1.414  0.209 -1.488  0.263 -1.507
2#tos#f1#f1006061/m  -0.974 0.857  -0.917 0.754  -0.917 0.595  -0.917 0.435  -0.985 0.296  -1.032 0.151  -1.032 -0.009  -1.032 -0.168  -1.089 -0.314  -1.089 -0.474  -1.088 -0.518  -0.988 -0.396  -0.917 -0.257  -0.903 -0.104  -0.805 0.022  -0.745 0.163  -0.677 0.294  -0.573 0.411  -0.573 0.570  -0.424 0.616  -0.267 0.627  -0.143 0.570  -0.115 0.417  -0.115 0.257  -0.115 0.098  -0.115 -0.062  -0.115 -0.221  -0.057 -0.255  -0.036 -0.117  0.114 -0.108  0.114 0.052  0.157 0.169  0.229 0.300  0.324 0.398  0.484 0.398  0.643 0.398  0.802 0.398  0.859 0.295  0.945 0.198  1.062 0.107  1.089 -0.046  1.089 -0.206  1.112 -0.361  1.146 -0.515  1.201 -0.658  1.297 -0.785  1.376 -0.922  1.426 -1.073  1.564 -1.129  1.719 -1.149
2#tos#f1#f1006061/o  -0.101 0.935  -0.238 0.935  -0.374 0.935  -0.415 0.839  -0.551 0.839  -0.613 0.736  -0.656 0.606  -0.674 0.473  -0.674 0.336  -0.674 0.200  -0.674 0.064  -0.674 -0.073  -0.674 -0.209  -0.674 -0.345  -0.674 -0.482  -0.674 -0.618  -0.674 -0.754  -0.674 -0.891  -0.674 -1.027  -0.674 -1.163  -0.538 -1.164  -0.401 -1.164  -0.265 -1.164  -0.129 -1.164  0.008 -1.164  0.144 -1.164  0.280 -1.164  0.323 -1.035  0.367 -0.905  0.410 -0.776  0.453 -0.647  0.500 -0.519  0.551 -0.392  0.601 -0.266  0.652 -0.139  0.697 -0.010  0.740 0.119  0.757 0.252  0.757 0.389  0.757 0.525  0.757 0.662  0.757 0.798  0.757 0.934  0.757 1.071  0.676 1.125  0.540 1.125  0.403 1.125  0.267 1.125  0.131 1.125  -0.006 1.125
2#tos#f1#f1006061/q  0.423 0.209  0.354 0.342  0.297 0.529  0.285 0.728  0.254 0.897  0.052 0.897  -0.080 0.966  -0.281 0.966  -0.478 0.941  -0.669 0.877  -0.855 0.803  -1.022 0.691  -1.117 0.514  -1.229 0.347  -1.229 0.146  -1.229 -0.056  -1.229 -0.257  -1.070 -0.315  -0.980 -0.495  -0.811 -0.548  -0.638 -0.616  -0.437 -0.616  -0.236 -0.616  -0.045 -0.596  0.066 -0.429  0.248 -0.354  0.420 -0.275  0.561 -0.133  0.629 0.053  0.629 0.254  0.629 0.455  0.629 0.656  0.629 0.857  0.606 1.035  0.423 1.017  0.423 0.815  0.423 0.614  0.423 0.413  0.423 0.212  0.423 0.011  0.423 -0.190  0.423 -0.392  0.423 -0.593  0.423 -0.794  0.423 -0.995  0.423 -1.196  0.423 -1.397  0.444 -1.596  0.492 -1.791  0.492 -1.993
2#tos#f1#f1006061/v  -0.760 1.061  -0.861 1.061  -0.899 0.997  -0.899 0.896  -0.899 0.795  -0.899 0.694  -0.899 0.593  -0.899 0.492  -0.899 0.391  -0.894 0.291  -0.838 0.207  -0.782 0.123  -0.760 0.029  -0.760 -0.072  -0.760 -0.173  -0.760 -0.274  -0.725 -0.361  -0.678 -0.446  -0.653 -0.544  -0.629 -0.642  -0.621 -0.742  -0.525 -0.774  -0.429 -0.806  -0.329 -0.811  -0.228 -0.811  -0.127 -0.811  -0.028 -0.798  0.068 -0.766  0.158 -0.725  0.230 -0.653  0.301 -0.582  0.368 -0.506  0.424 -0.422  0.480 -0.338  0.549 -0.265  0.620 -0.193  0.692 -0.122  0.763 -0.050  0.835 0.021  0.906 0.093  0.973 0.166  0.973 0.267  1.012 0.356  1.068 0.440  1.134 0.506  1.226 0.536  1.310 0.592  1.389 0.651  1.427 0.714  1.528 0.714
2#tos#f1#f1006061/w  -1.296 0.610  -1.296 0.736  -1.296 0.862  -1.219 0.912  -1.094 0.910  -1.045 0.796  -1.045 0.670  -1.024 0.547  -0.994 0.426  -0.994 0.300  -0.994 0.174  -0.952 0.065  -0.874 -0.032  -0.844 -0.151  -0.829 -0.274  -0.794 -0.391  -0.691 -0.445  -0.565 -0.445  -0.439 -0.445  -0.336 -0.389  -0.229 -0.344  -0.146 -0.269  -0.081 -0.161  -0.019 -0.051  0.010 0.068  0.049 0.185  0.110 0.259  0.161 0.183  0.161 0.057  0.161 -0.069  0.197 -0.180  0.211 -0.300  0.211 -0.426  0.265 -0.513  0.386 -0.545  0.512 -0.545  0.638 -0.545  0.764 -0.545  0.890 -0.545  1.001 -0.508  1.065 -0.409  1.065 -0.283  1.133 -0.189  1.231 -0.111  1.329 -0.030  1.418 0.059  1.507 0.148  1.517 0.270  1.533 0.392  1.567 0.510
2#tos#f1#f1006061/z  -0.595 0.968  -0.723 0.945  -0.824 0.907  -0.716 0.967  -0.657 1.086  -0.526 1.089  -0.394 1.089  -0.261 1.089  -0.129 1.089  0.003 1.089  0.136 1.089  0.264 1.064  0.381 1.012  0.433 0.892  0.433 0.760  0.345 0.682  0.312 0.570  0.237 0.469  0.154 0.367  0.080 0.256  -0.032 0.191  -0.151 0.131  -0.249 0.044  -0.342 -0.050  -0.451 -0.126  -0.557 -0.204  -0.650 -0.297  -0.655 -0.428  -0.671 -0.544  -0.788 -0.569  -0.837 -0.690  -0.801 -0.786  -0.668 -0.786  -0.536 -0.786  -0.403 -0.786  -0.271 -0.786  -0.139 -0.786  -0.006 -0.786  0.126 -0.786  0.259 -0.786  0.391 -0.786  0.523 -0.786  0.656 -0.786  0.788 -0.786  0.920 -0.786  1.053 -0.786  1.185 -0.786  1.318 -0.786  1.450 -0.786  1.582 -0.786
