2#apb#apb35#app3563/O  -0.199 0.644  -0.284 0.694  -0.392 0.547  -0.469 0.379  -0.546 0.212  -0.617 0.042  -0.682 -0.130  -0.742 -0.304  -0.789 -0.482  -0.822 -0.663  -0.842 -0.846  -0.852 -1.030  -0.811 -1.207  -0.731 -1.372  -0.573 -1.443  -0.394 -1.426  -0.230 -1.347  -0.076 -1.246  0.070 -1.134  0.202 -1.008  0.306 -0.856  0.404 -0.700  0.497 -0.541  0.578 -0.377  0.637 -0.202  0.693 -0.027  0.733 0.153  0.773 0.333  0.784 0.516  0.791 0.700  0.772 0.883  0.738 1.063  0.668 1.234  0.578 1.394  0.430 1.489  0.252 1.457  0.097 1.360  -0.018 1.216  -0.123 1.064  -0.167 0.888  -0.198 0.706  -0.224 0.524  -0.233 0.342  -0.202 0.160  -0.141 -0.010  -0.045 -0.167  0.096 -0.281  0.251 -0.378  0.434 -0.399  0.617 -0.420
2#apb#apb35#app3563/n  -0.509 0.845  -0.491 0.856  -0.533 0.716  -0.569 0.574  -0.601 0.431  -0.633 0.288  -0.681 0.150  -0.732 0.013  -0.782 -0.125  -0.823 -0.265  -0.864 -0.406  -0.904 -0.547  -0.946 -0.687  -0.989 -0.827  -1.078 -0.940  -1.097 -1.026  -1.041 -0.891  -0.970 -0.764  -0.872 -0.656  -0.782 -0.541  -0.708 -0.414  -0.634 -0.288  -0.546 -0.173  -0.442 -0.069  -0.339 0.034  -0.227 0.129  -0.113 0.222  0.000 0.314  0.111 0.409  0.222 0.506  0.332 0.602  0.460 0.670  0.595 0.726  0.731 0.781  0.874 0.812  1.017 0.843  1.149 0.783  1.217 0.654  1.180 0.513  1.140 0.372  1.097 0.232  1.044 0.096  0.975 -0.033  0.915 -0.165  0.894 -0.310  0.877 -0.455  0.877 -0.602  0.947 -0.719  1.059 -0.810  1.196 -0.861
2#apb#apb35#app3563/d  1.051 1.672  1.014 1.523  0.960 1.380  0.906 1.237  0.855 1.093  0.804 0.949  0.757 0.803  0.711 0.658  0.662 0.513  0.606 0.370  0.551 0.228  0.505 0.082  0.457 -0.063  0.393 -0.202  0.324 -0.338  0.255 -0.474  0.218 -0.535  0.291 -0.402  0.345 -0.260  0.399 -0.118  0.457 0.023  0.487 0.173  0.488 0.326  0.472 0.478  0.364 0.572  0.216 0.595  0.066 0.565  -0.083 0.531  -0.225 0.482  -0.348 0.392  -0.471 0.301  -0.581 0.195  -0.689 0.087  -0.796 -0.023  -0.899 -0.135  -1.001 -0.249  -1.088 -0.375  -1.167 -0.504  -1.188 -0.655  -1.191 -0.806  -1.134 -0.943  -1.013 -1.031  -0.871 -1.087  -0.718 -1.078  -0.565 -1.068  -0.414 -1.045  -0.263 -1.021  -0.115 -0.985  0.031 -0.939  0.177 -0.893
2#apb#apb35#app3563/S  0.890 1.306  0.736 1.292  0.591 1.241  0.478 1.134  0.365 1.027  0.229 0.951  0.092 0.877  -0.044 0.803  -0.180 0.727  -0.313 0.647  -0.391 0.647  -0.236 0.635  -0.088 0.683  0.061 0.726  0.215 0.729  0.370 0.732  0.523 0.719  0.666 0.662  0.789 0.567  0.891 0.451  0.960 0.312  0.992 0.161  0.973 0.006  0.926 -0.141  0.858 -0.280  0.773 -0.411  0.660 -0.514  0.534 -0.605  0.402 -0.688  0.270 -0.770  0.125 -0.824  -0.023 -0.871  -0.172 -0.916  -0.322 -0.958  -0.476 -0.982  -0.630 -0.980  -0.784 -0.957  -0.935 -0.924  -1.062 -0.839  -1.165 -0.724  -1.228 -0.585  -1.233 -0.431  -1.128 -0.342  -0.982 -0.293  -0.830 -0.308  -0.687 -0.366  -0.553 -0.446  -0.430 -0.540  -0.305 -0.632  -0.170 -0.709
2#apb#apb35#app3563/t  0.011 1.349  0.038 1.542  0.167 1.664  0.168 1.471  0.119 1.282  0.067 1.095  0.008 0.909  -0.052 0.724  -0.110 0.538  -0.168 0.352  -0.229 0.167  -0.314 -0.008  -0.398 -0.184  -0.484 -0.359  -0.571 -0.533  -0.643 -0.713  -0.695 -0.901  -0.708 -1.094  -0.620 -1.251  -0.433 -1.301  -0.239 -1.312  -0.046 -1.289  0.145 -1.253  0.331 -1.197  0.516 -1.135  0.695 -1.060  0.873 -0.980  1.048 -0.893  1.084 -0.796  0.924 -0.686  0.764 -0.575  0.604 -0.464  0.443 -0.353  0.283 -0.242  0.123 -0.131  -0.037 -0.020  -0.197 0.091  -0.357 0.201  -0.517 0.312  -0.678 0.423  -0.838 0.534  -0.783 0.586  -0.589 0.606  -0.396 0.630  -0.202 0.653  -0.009 0.674  0.185 0.695  0.378 0.719  0.571 0.745  0.764 0.770
2#apb#apb35#app3563/.  1.698 0.000  1.628 0.000  1.559 0.000  1.490 0.000  1.421 0.000  1.351 0.000  1.282 0.000  1.213 0.000  1.143 0.000  1.074 0.000  1.005 0.000  0.936 0.000  0.866 0.000  0.797 0.000  0.728 0.000  0.658 0.000  0.589 0.000  0.520 0.000  0.450 0.000  0.381 0.000  0.312 0.000  0.243 0.000  0.173 0.000  0.104 0.000  0.035 0.000  -0.035 0.000  -0.104 0.000  -0.173 0.000  -0.243 0.000  -0.312 0.000  -0.381 0.000  -0.450 0.000  -0.520 0.000  -0.589 0.000  -0.658 0.000  -0.728 0.000  -0.797 0.000  -0.866 0.000  -0.936 0.000  -1.005 0.000  -1.074 0.000  -1.143 0.000  -1.213 0.000  -1.282 0.000  -1.351 0.000  -1.421 0.000  -1.490 0.000  -1.559 0.000  -1.628 0.000  -1.698 0.000
2#apb#apb35#app3563/I  1.281 0.463  1.128 0.387  0.994 0.274  0.843 0.182  0.683 0.111  0.509 0.081  0.334 0.051  0.159 0.021  -0.015 -0.010  -0.190 -0.032  -0.355 0.029  -0.432 0.165  -0.373 0.333  -0.314 0.500  -0.255 0.667  -0.174 0.824  -0.041 0.928  0.125 0.987  0.296 1.033  0.467 1.081  0.643 1.080  0.817 1.048  0.955 0.942  1.024 0.785  1.019 0.609  0.979 0.437  0.927 0.267  0.845 0.110  0.754 -0.042  0.648 -0.184  0.525 -0.310  0.394 -0.429  0.251 -0.535  0.106 -0.637  -0.045 -0.728  -0.214 -0.779  -0.390 -0.802  -0.566 -0.816  -0.744 -0.822  -0.920 -0.815  -1.091 -0.774  -1.231 -0.666  -1.184 -0.745  -1.075 -0.884  -1.056 -0.885  -1.139 -0.729  -1.223 -0.573  -1.307 -0.417  -1.252 -0.334  -1.119 -0.447
2#apb#apb35#app3563/n  -0.614 0.506  -0.622 0.379  -0.631 0.252  -0.677 0.134  -0.727 0.018  -0.765 -0.104  -0.800 -0.226  -0.826 -0.350  -0.849 -0.475  -0.886 -0.596  -0.935 -0.713  -1.013 -0.813  -1.076 -0.923  -1.078 -0.879  -1.047 -0.756  -1.014 -0.633  -0.969 -0.515  -0.915 -0.399  -0.833 -0.307  -0.733 -0.228  -0.639 -0.145  -0.577 -0.034  -0.515 0.077  -0.427 0.165  -0.324 0.240  -0.221 0.314  -0.116 0.387  -0.011 0.457  0.096 0.527  0.211 0.580  0.326 0.634  0.444 0.681  0.563 0.725  0.683 0.767  0.805 0.803  0.916 0.743  1.040 0.719  1.148 0.655  1.195 0.541  1.195 0.414  1.195 0.287  1.172 0.163  1.138 0.040  1.109 -0.083  1.085 -0.208  1.062 -0.333  1.046 -0.459  1.057 -0.580  1.125 -0.688  1.230 -0.759
2#apb#apb35#app3563/f  0.509 1.871  0.468 1.742  0.415 1.618  0.371 1.490  0.326 1.362  0.282 1.234  0.237 1.106  0.191 0.979  0.145 0.852  0.099 0.724  0.056 0.596  0.013 0.467  -0.030 0.339  -0.078 0.212  -0.130 0.088  -0.183 -0.037  -0.235 -0.162  -0.289 -0.287  -0.342 -0.411  -0.395 -0.536  -0.442 -0.662  -0.485 -0.791  -0.528 -0.919  -0.556 -1.052  -0.580 -1.185  -0.608 -1.317  -0.598 -1.448  -0.477 -1.498  -0.368 -1.436  -0.268 -1.344  -0.169 -1.251  -0.084 -1.147  -0.008 -1.035  0.063 -0.920  0.132 -0.803  0.181 -0.677  0.226 -0.550  0.267 -0.421  0.297 -0.289  0.326 -0.157  0.335 -0.022  0.340 0.114  0.331 0.248  0.308 0.381  0.285 0.515  0.246 0.644  0.205 0.773  0.147 0.896  0.075 1.008  -0.026 1.099
2#apb#apb35#app3563/i  -1.634 -0.949  -1.489 -0.922  -1.351 -0.862  -1.214 -0.801  -1.084 -0.727  -0.959 -0.643  -0.836 -0.557  -0.714 -0.469  -0.594 -0.379  -0.477 -0.285  -0.361 -0.190  -0.251 -0.088  -0.145 0.019  -0.048 0.134  0.034 0.258  0.101 0.392  0.116 0.443  0.048 0.309  -0.009 0.170  -0.064 0.030  -0.125 -0.107  -0.185 -0.245  -0.216 -0.392  -0.221 -0.540  -0.186 -0.684  -0.115 -0.815  0.003 -0.881  0.152 -0.870  0.302 -0.853  0.450 -0.832  0.580 -0.757  0.710 -0.682  0.727 -0.552  0.706 -0.404  0.684 -0.255  0.662 -0.107  0.640 0.042  0.618 0.191  0.596 0.339  0.574 0.488  0.552 0.636  0.531 0.785  0.509 0.934  0.487 1.082  0.465 1.231  0.443 1.380  0.421 1.528  0.399 1.677  0.377 1.825  0.393 1.955
2#apb#apb35#app3563/n  -1.914 -0.670  -1.749 -0.633  -1.609 -0.525  -1.469 -0.416  -1.309 -0.342  -1.146 -0.275  -1.012 -0.159  -0.878 -0.043  -0.744 0.073  -0.610 0.189  -0.470 0.298  -0.327 0.403  -0.195 0.520  -0.069 0.645  0.046 0.780  0.103 0.755  0.031 0.593  -0.026 0.425  -0.082 0.257  -0.143 0.091  -0.206 -0.075  -0.264 -0.242  -0.323 -0.410  -0.404 -0.566  -0.495 -0.718  -0.574 -0.873  -0.527 -0.757  -0.426 -0.611  -0.313 -0.475  -0.192 -0.345  -0.076 -0.212  0.036 -0.074  0.150 0.061  0.276 0.186  0.401 0.311  0.534 0.427  0.675 0.536  0.820 0.637  0.971 0.727  1.145 0.761  1.281 0.705  1.282 0.528  1.236 0.356  1.188 0.186  1.140 0.015  1.097 -0.157  1.098 -0.332  1.184 -0.467  1.341 -0.538  1.517 -0.552
2#apb#apb35#app3563/i  -1.694 -0.671  -1.694 -0.743  -1.650 -0.651  -1.509 -0.664  -1.371 -0.622  -1.238 -0.572  -1.122 -0.488  -1.006 -0.403  -0.884 -0.328  -0.758 -0.258  -0.633 -0.187  -0.510 -0.113  -0.396 -0.026  -0.282 0.062  -0.170 0.151  -0.073 0.257  0.024 0.363  0.122 0.468  0.220 0.573  0.318 0.678  0.416 0.783  0.514 0.888  0.595 1.007  0.675 1.126  0.764 1.234  0.662 1.165  0.577 1.052  0.503 0.929  0.434 0.803  0.370 0.674  0.305 0.546  0.231 0.423  0.149 0.305  0.068 0.187  0.005 0.059  -0.044 -0.076  -0.073 -0.215  -0.073 -0.358  -0.023 -0.492  0.064 -0.598  0.186 -0.674  0.323 -0.690  0.466 -0.679  0.609 -0.669  0.753 -0.660  0.896 -0.652  1.039 -0.642  1.172 -0.588  1.306 -0.535  1.439 -0.482
2#apb#apb35#app3563/t  -1.393 -0.910  -1.200 -0.887  -0.965 -0.754  -0.731 -0.616  -0.545 -0.420  -0.351 -0.230  -0.157 -0.040  0.021 0.165  0.199 0.370  0.372 0.579  0.544 0.789  0.707 1.006  0.834 1.246  0.873 1.484  0.663 1.316  0.481 1.115  0.308 0.905  0.154 0.682  0.006 0.454  -0.132 0.221  -0.257 -0.019  -0.354 -0.273  -0.401 -0.539  -0.406 -0.809  -0.316 -1.050  -0.098 -1.202  0.161 -1.259  0.433 -1.248  0.693 -1.175  0.950 -1.089  1.163 -0.922  1.237 -0.767  0.995 -0.643  0.753 -0.520  0.512 -0.397  0.270 -0.273  0.028 -0.150  -0.214 -0.026  -0.455 0.097  -0.697 0.220  -0.939 0.344  -1.181 0.467  -1.137 0.514  -0.873 0.574  -0.602 0.574  -0.330 0.576  -0.059 0.584  0.212 0.595  0.479 0.646  0.745 0.698
2#apb#apb35#app3563/e  -1.180 -0.790  -1.031 -0.756  -0.883 -0.729  -0.735 -0.723  -0.609 -0.631  -0.480 -0.543  -0.344 -0.468  -0.207 -0.392  -0.073 -0.314  0.055 -0.226  0.165 -0.116  0.275 -0.005  0.390 0.101  0.505 0.206  0.606 0.323  0.685 0.457  0.763 0.592  0.842 0.727  0.905 0.866  0.919 1.022  0.891 1.171  0.791 1.288  0.648 1.338  0.496 1.352  0.346 1.311  0.211 1.239  0.089 1.142  -0.022 1.033  -0.127 0.918  -0.232 0.802  -0.333 0.683  -0.433 0.564  -0.504 0.427  -0.562 0.282  -0.620 0.137  -0.644 -0.013  -0.634 -0.169  -0.625 -0.325  -0.562 -0.467  -0.498 -0.609  -0.434 -0.751  -0.319 -0.847  -0.184 -0.926  -0.049 -1.004  0.085 -1.083  0.230 -1.138  0.381 -1.178  0.531 -1.219  0.682 -1.259  0.833 -1.299
2#apb#apb35#app3563/L  -1.311 -0.013  -1.121 0.047  -0.928 0.093  -0.741 0.161  -0.551 0.219  -0.358 0.271  -0.170 0.336  0.014 0.408  0.178 0.522  0.346 0.627  0.528 0.707  0.695 0.812  0.851 0.936  0.984 1.083  1.126 1.222  1.033 1.292  0.854 1.205  0.700 1.085  0.577 0.929  0.451 0.775  0.344 0.608  0.242 0.437  0.150 0.260  0.054 0.086  -0.047 -0.086  -0.162 -0.247  -0.286 -0.403  -0.432 -0.538  -0.590 -0.660  -0.755 -0.771  -0.931 -0.859  -1.126 -0.894  -1.269 -0.787  -1.220 -0.609  -1.079 -0.469  -0.931 -0.339  -0.753 -0.250  -0.564 -0.193  -0.368 -0.160  -0.169 -0.152  0.030 -0.146  0.220 -0.202  0.410 -0.261  0.572 -0.376  0.717 -0.509  0.836 -0.669  0.927 -0.845  0.993 -1.031  1.013 -1.229  1.016 -1.428
2#apb#apb35#app3563/o  -0.194 0.733  -0.322 0.620  -0.412 0.480  -0.498 0.340  -0.628 0.232  -0.721 0.088  -0.813 -0.055  -0.905 -0.199  -0.995 -0.343  -1.076 -0.494  -1.126 -0.653  -1.129 -0.822  -1.091 -0.988  -1.012 -1.136  -0.843 -1.162  -0.674 -1.175  -0.503 -1.175  -0.346 -1.111  -0.191 -1.041  -0.042 -0.956  0.103 -0.868  0.242 -0.769  0.379 -0.667  0.508 -0.556  0.636 -0.444  0.741 -0.310  0.847 -0.175  0.913 -0.019  0.978 0.139  1.016 0.305  1.048 0.472  1.051 0.643  1.032 0.810  0.978 0.972  0.867 1.098  0.716 1.175  0.550 1.195  0.380 1.184  0.221 1.132  0.076 1.041  -0.054 0.931  -0.096 0.771  -0.124 0.603  -0.152 0.436  -0.126 0.267  -0.082 0.103  -0.009 -0.045  0.137 -0.133  0.292 -0.204  0.449 -0.271
2#apb#apb35#app3563/o  -0.260 0.674  -0.402 0.615  -0.540 0.485  -0.646 0.327  -0.773 0.185  -0.892 0.037  -0.986 -0.127  -1.061 -0.302  -1.152 -0.469  -1.167 -0.655  -1.132 -0.840  -1.064 -1.017  -0.922 -1.132  -0.738 -1.175  -0.548 -1.182  -0.365 -1.149  -0.190 -1.074  -0.025 -0.980  0.138 -0.883  0.306 -0.792  0.458 -0.682  0.586 -0.542  0.696 -0.387  0.797 -0.226  0.887 -0.059  0.972 0.111  1.040 0.289  1.064 0.473  1.041 0.661  0.969 0.837  0.851 0.985  0.688 1.065  0.502 1.106  0.316 1.141  0.127 1.150  -0.059 1.120  -0.234 1.047  -0.366 0.913  -0.433 0.737  -0.429 0.556  -0.362 0.379  -0.268 0.214  -0.149 0.069  -0.005 -0.055  0.159 -0.144  0.341 -0.201  0.523 -0.255  0.712 -0.268  0.902 -0.281  1.092 -0.295
2#apb#apb35#app3563/p  -1.642 0.730  -1.546 0.545  -1.410 0.389  -1.229 0.292  -1.026 0.246  -0.818 0.226  -0.610 0.230  -0.405 0.267  -0.215 0.355  -0.026 0.443  0.150 0.555  0.262 0.572  0.169 0.386  0.101 0.189  0.051 -0.014  -0.008 -0.213  -0.087 -0.407  -0.159 -0.603  -0.227 -0.801  -0.293 -0.999  -0.365 -1.195  -0.451 -1.386  -0.564 -1.551  -0.648 -1.394  -0.648 -1.185  -0.586 -0.987  -0.521 -0.789  -0.464 -0.588  -0.384 -0.395  -0.291 -0.208  -0.184 -0.029  -0.061 0.139  0.063 0.308  0.207 0.459  0.355 0.607  0.527 0.721  0.713 0.818  0.912 0.879  1.115 0.917  1.315 0.880  1.437 0.723  1.454 0.521  1.391 0.326  1.241 0.180  1.073 0.057  0.879 -0.014  0.676 -0.061  0.467 -0.070  0.260 -0.053  0.054 -0.016
