3#apb#apb05#app0561/9  0.595 0.335  0.683 0.490  0.760 0.651  0.823 0.818  0.864 0.993  0.843 1.167  0.713 1.281  0.536 1.277  0.359 1.256  0.199 1.172  0.040 1.088  -0.114 0.997  -0.265 0.899  -0.416 0.801  -0.554 0.686  -0.685 0.564  -0.805 0.433  -0.878 0.269  -0.951 0.104  -0.975 -0.073  -0.978 -0.251  -0.921 -0.421  -0.797 -0.527  -0.629 -0.592  -0.453 -0.561  -0.277 -0.524  -0.111 -0.459  0.048 -0.376  0.207 -0.292  0.343 -0.174  0.478 -0.056  0.598 0.077  0.708 0.220  0.804 0.371  0.750 0.388  0.627 0.260  0.515 0.119  0.404 -0.022  0.304 -0.172  0.207 -0.323  0.110 -0.475  0.014 -0.627  -0.074 -0.784  -0.163 -0.940  -0.251 -1.097  -0.328 -1.259  -0.405 -1.422  -0.469 -1.590  -0.518 -1.763  -0.510 -1.939
3#apb#apb05#app0561/v  -0.572 0.579  -0.617 0.487  -0.663 0.396  -0.690 0.298  -0.706 0.196  -0.721 0.095  -0.736 -0.007  -0.742 -0.110  -0.748 -0.212  -0.755 -0.315  -0.761 -0.417  -0.762 -0.520  -0.762 -0.623  -0.762 -0.725  -0.747 -0.827  -0.727 -0.927  -0.706 -1.028  -0.660 -1.120  -0.577 -1.090  -0.488 -1.039  -0.413 -0.970  -0.344 -0.895  -0.274 -0.819  -0.205 -0.743  -0.140 -0.664  -0.080 -0.580  -0.021 -0.496  0.038 -0.412  0.097 -0.328  0.157 -0.245  0.214 -0.159  0.271 -0.074  0.328 0.012  0.385 0.097  0.442 0.183  0.499 0.268  0.556 0.353  0.614 0.438  0.672 0.523  0.730 0.608  0.787 0.693  0.845 0.778  0.903 0.863  0.960 0.948  1.014 1.035  1.068 1.123  1.122 1.210  1.175 1.298  1.226 1.387  1.277 1.477
3#apb#apb05#app0561/e  -0.875 -0.303  -0.713 -0.274  -0.558 -0.224  -0.411 -0.151  -0.265 -0.075  -0.120 0.003  0.028 0.075  0.182 0.132  0.337 0.188  0.475 0.271  0.596 0.383  0.716 0.495  0.852 0.587  0.988 0.678  1.049 0.831  1.054 0.988  0.969 1.109  0.819 1.177  0.661 1.167  0.500 1.132  0.343 1.088  0.197 1.012  0.051 0.935  -0.095 0.859  -0.224 0.760  -0.343 0.646  -0.463 0.533  -0.582 0.419  -0.682 0.290  -0.772 0.152  -0.862 0.014  -0.939 -0.130  -0.994 -0.285  -1.048 -0.440  -1.053 -0.594  -0.990 -0.746  -0.875 -0.851  -0.729 -0.928  -0.584 -1.005  -0.420 -0.996  -0.256 -0.984  -0.092 -0.972  0.072 -0.959  0.234 -0.931  0.396 -0.903  0.559 -0.875  0.721 -0.847  0.885 -0.832  1.049 -0.818  1.213 -0.803
3#apb#apb05#app0561/.  -0.908 -1.284  -0.908 -1.212  -0.908 -1.140  -0.908 -1.068  -0.908 -0.995  -0.908 -0.923  -0.908 -0.851  -0.908 -0.779  -0.908 -0.706  -0.908 -0.634  -0.908 -0.562  -0.886 -0.501  -0.826 -0.461  -0.766 -0.421  -0.706 -0.381  -0.646 -0.341  -0.586 -0.301  -0.525 -0.261  -0.465 -0.221  -0.405 -0.181  -0.345 -0.140  -0.285 -0.100  -0.225 -0.060  -0.165 -0.020  -0.105 0.020  -0.045 0.060  0.016 0.100  0.076 0.140  0.136 0.180  0.196 0.220  0.256 0.260  0.316 0.300  0.376 0.340  0.436 0.381  0.497 0.421  0.557 0.461  0.617 0.501  0.677 0.541  0.737 0.581  0.797 0.621  0.857 0.661  0.917 0.701  0.977 0.741  1.038 0.781  1.098 0.821  1.158 0.862  1.218 0.902  1.278 0.942  1.338 0.982  1.398 1.022
3#apb#apb05#app0561/5  0.041 0.685  -0.096 0.691  -0.220 0.576  -0.315 0.434  -0.427 0.306  -0.449 0.280  -0.288 0.334  -0.122 0.375  0.046 0.373  0.207 0.324  0.342 0.229  0.442 0.092  0.457 -0.076  0.456 -0.245  0.404 -0.407  0.349 -0.568  0.258 -0.712  0.166 -0.855  0.064 -0.991  -0.043 -1.121  -0.201 -1.182  -0.365 -1.226  -0.532 -1.256  -0.697 -1.214  -0.857 -1.156  -0.980 -1.047  -1.076 -0.906  -1.106 -0.746  -0.978 -0.845  -0.864 -0.719  -0.750 -0.592  -0.636 -0.466  -0.523 -0.339  -0.409 -0.213  -0.295 -0.086  -0.181 0.040  -0.067 0.167  0.047 0.293  0.161 0.420  0.275 0.546  0.388 0.673  0.438 0.820  0.466 0.982  0.585 1.098  0.740 1.163  0.903 1.212  1.067 1.258  1.235 1.256  1.400 1.215  1.542 1.127
3#apb#apb05#app0561/6  0.608 1.819  0.472 1.780  0.340 1.721  0.244 1.613  0.149 1.504  0.054 1.395  -0.032 1.280  -0.101 1.153  -0.170 1.026  -0.240 0.899  -0.308 0.772  -0.371 0.641  -0.433 0.511  -0.495 0.381  -0.558 0.250  -0.613 0.117  -0.667 -0.018  -0.721 -0.152  -0.769 -0.287  -0.778 -0.432  -0.786 -0.576  -0.778 -0.717  -0.714 -0.846  -0.633 -0.962  -0.519 -1.051  -0.393 -1.102  -0.249 -1.093  -0.105 -1.083  0.034 -1.045  0.172 -1.002  0.310 -0.958  0.432 -0.889  0.534 -0.787  0.636 -0.685  0.731 -0.576  0.809 -0.454  0.880 -0.330  0.896 -0.186  0.878 -0.046  0.832 0.091  0.693 0.113  0.552 0.106  0.414 0.063  0.278 0.016  0.165 -0.074  0.052 -0.165  -0.061 -0.255  -0.145 -0.371  -0.223 -0.493  -0.301 -0.615
3#apb#apb05#app0561/M  -0.485 0.560  -0.602 0.618  -0.716 0.419  -0.816 0.213  -0.910 0.004  -1.013 -0.201  -1.121 -0.403  -1.218 -0.611  -1.307 -0.823  -1.397 -1.034  -1.389 -1.093  -1.232 -0.926  -1.078 -0.757  -0.924 -0.586  -0.781 -0.407  -0.640 -0.226  -0.499 -0.045  -0.358 0.136  -0.212 0.313  -0.065 0.489  0.077 0.669  0.215 0.853  0.296 0.884  0.214 0.670  0.128 0.458  0.040 0.246  -0.041 0.031  -0.125 -0.182  -0.217 -0.392  -0.193 -0.580  0.017 -0.504  0.204 -0.372  0.379 -0.224  0.533 -0.054  0.684 0.119  0.824 0.300  0.965 0.482  1.105 0.663  1.229 0.856  1.346 1.052  1.317 0.886  1.227 0.675  1.134 0.465  1.039 0.256  0.951 0.044  0.869 -0.170  0.774 -0.378  0.675 -0.585  0.577 -0.793  0.519 -1.014
3#apb#apb05#app0561/a  0.780 0.905  0.780 1.095  0.693 1.233  0.505 1.223  0.333 1.142  0.161 1.062  0.021 0.934  -0.117 0.803  -0.255 0.673  -0.391 0.540  -0.522 0.402  -0.653 0.264  -0.783 0.126  -0.900 -0.023  -1.007 -0.180  -1.114 -0.337  -1.204 -0.503  -1.278 -0.678  -1.302 -0.860  -1.231 -1.014  -1.059 -1.078  -0.879 -1.017  -0.699 -0.957  -0.526 -0.880  -0.358 -0.791  -0.189 -0.703  -0.037 -0.593  0.097 -0.458  0.231 -0.324  0.358 -0.182  0.475 -0.033  0.593 0.116  0.704 0.270  0.796 0.436  0.889 0.602  0.973 0.772  1.014 0.925  0.891 0.794  0.795 0.631  0.699 0.466  0.617 0.295  0.535 0.124  0.453 -0.048  0.365 -0.216  0.273 -0.382  0.182 -0.549  0.120 -0.727  0.074 -0.911  0.049 -1.098  0.049 -1.288
3#apb#apb05#app0561/i  0.242 0.589  0.242 0.469  0.210 0.353  0.174 0.238  0.138 0.123  0.088 0.013  0.034 -0.095  -0.020 -0.202  -0.074 -0.310  -0.130 -0.417  -0.186 -0.524  -0.242 -0.631  -0.297 -0.738  -0.338 -0.852  -0.378 -0.965  -0.418 -1.079  -0.474 -1.185  -0.536 -1.289  -0.584 -1.398  -0.590 -1.424  -0.545 -1.312  -0.500 -1.200  -0.456 -1.088  -0.411 -0.976  -0.366 -0.864  -0.321 -0.752  -0.276 -0.640  -0.232 -0.528  -0.187 -0.416  -0.142 -0.304  -0.097 -0.192  -0.052 -0.080  -0.008 0.032  0.037 0.144  0.082 0.256  0.127 0.368  0.172 0.480  0.216 0.592  0.261 0.704  0.306 0.816  0.351 0.928  0.396 1.040  0.441 1.152  0.485 1.264  0.530 1.376  0.575 1.488  0.620 1.600  0.665 1.712  0.709 1.824  0.756 1.886
3#apb#apb05#app0561/n  -0.158 0.772  -0.235 0.637  -0.323 0.508  -0.411 0.380  -0.478 0.240  -0.533 0.094  -0.588 -0.051  -0.647 -0.195  -0.708 -0.338  -0.770 -0.481  -0.833 -0.624  -0.899 -0.765  -0.965 -0.905  -1.029 -1.047  -1.112 -1.130  -1.074 -0.979  -1.021 -0.833  -0.959 -0.691  -0.871 -0.563  -0.783 -0.434  -0.695 -0.306  -0.602 -0.181  -0.510 -0.056  -0.417 0.070  -0.324 0.194  -0.219 0.309  -0.114 0.424  -0.009 0.539  0.096 0.654  0.218 0.749  0.347 0.837  0.475 0.925  0.615 0.988  0.766 1.028  0.914 1.034  1.058 0.976  1.105 0.837  1.133 0.684  1.136 0.530  1.121 0.375  1.105 0.220  1.059 0.073  1.004 -0.073  0.948 -0.218  0.884 -0.360  0.814 -0.499  0.745 -0.638  0.666 -0.773  0.584 -0.905  0.494 -1.032
3#apb#apb05#app0561/S  0.160 0.585  0.239 0.703  0.317 0.820  0.397 0.937  0.480 1.051  0.566 1.164  0.648 1.278  0.587 1.340  0.448 1.320  0.317 1.267  0.186 1.214  0.056 1.160  -0.070 1.096  -0.195 1.030  -0.321 0.965  -0.438 0.887  -0.555 0.807  -0.657 0.713  -0.731 0.593  -0.731 0.461  -0.697 0.324  -0.603 0.222  -0.499 0.126  -0.387 0.042  -0.267 -0.034  -0.148 -0.110  -0.032 -0.190  0.081 -0.274  0.194 -0.359  0.308 -0.444  0.421 -0.529  0.534 -0.614  0.637 -0.708  0.719 -0.823  0.772 -0.949  0.725 -1.055  0.599 -1.119  0.462 -1.145  0.321 -1.158  0.181 -1.162  0.041 -1.143  -0.100 -1.125  -0.236 -1.091  -0.372 -1.053  -0.502 -1.001  -0.621 -0.925  -0.715 -0.820  -0.643 -0.744  -0.505 -0.752  -0.367 -0.780
3#apb#apb05#app0561/t  -1.633 -0.139  -1.542 -0.032  -1.402 0.020  -1.262 0.072  -1.116 0.101  -0.969 0.124  -0.821 0.147  -0.674 0.170  -0.525 0.186  -0.377 0.201  -0.228 0.217  -0.080 0.232  0.069 0.231  0.217 0.215  0.366 0.199  0.514 0.183  0.663 0.173  0.812 0.173  0.961 0.173  1.110 0.170  1.249 0.114  1.289 0.139  1.207 0.264  1.125 0.388  1.043 0.513  0.961 0.638  0.878 0.762  0.796 0.887  0.708 0.987  0.574 0.920  0.464 0.827  0.381 0.702  0.298 0.578  0.217 0.453  0.141 0.324  0.065 0.196  -0.010 0.067  -0.082 -0.064  -0.146 -0.198  -0.211 -0.333  -0.275 -0.467  -0.336 -0.604  -0.389 -0.743  -0.441 -0.883  -0.493 -1.023  -0.540 -1.165  -0.580 -1.308  -0.620 -1.452  -0.659 -1.596  -0.699 -1.740
3#apb#apb05#app0561/.  -0.008 -1.306  -0.094 -1.306  -0.180 -1.306  -0.265 -1.306  -0.319 -1.247  -0.366 -1.175  -0.414 -1.104  -0.461 -1.033  -0.509 -0.962  -0.556 -0.891  -0.604 -0.819  -0.651 -0.748  -0.698 -0.677  -0.746 -0.606  -0.793 -0.535  -0.803 -0.461  -0.765 -0.385  -0.727 -0.308  -0.688 -0.232  -0.650 -0.155  -0.612 -0.079  -0.574 -0.002  -0.527 0.069  -0.467 0.129  -0.406 0.190  -0.346 0.250  -0.285 0.311  -0.225 0.371  -0.164 0.432  -0.104 0.492  -0.043 0.553  0.028 0.587  0.114 0.587  0.199 0.587  0.285 0.587  0.370 0.587  0.456 0.587  0.541 0.587  0.627 0.587  0.713 0.587  0.798 0.587  0.860 0.644  0.921 0.705  0.981 0.765  1.041 0.826  1.102 0.886  1.162 0.947  1.223 1.007  1.283 1.068  1.344 1.128
3#apb#apb05#app0561/,  0.107 1.698  0.107 1.628  0.107 1.558  0.107 1.489  0.107 1.419  0.107 1.349  0.107 1.279  0.107 1.210  0.106 1.140  0.102 1.070  0.098 1.001  0.094 0.931  0.090 0.861  0.086 0.792  0.083 0.722  0.079 0.652  0.075 0.583  0.071 0.513  0.067 0.444  0.063 0.374  0.059 0.304  0.056 0.235  0.052 0.165  0.049 0.095  0.046 0.026  0.042 -0.044  0.039 -0.114  0.036 -0.183  0.033 -0.253  0.029 -0.323  0.026 -0.392  0.023 -0.462  0.019 -0.532  0.016 -0.601  0.013 -0.671  0.009 -0.741  -0.008 -0.807  -0.033 -0.873  -0.059 -0.938  -0.084 -1.003  -0.109 -1.068  -0.135 -1.133  -0.160 -1.198  -0.185 -1.263  -0.210 -1.328  -0.236 -1.393  -0.261 -1.458  -0.286 -1.523  -0.312 -1.588  -0.337 -1.653
3#apb#apb05#app0561/S  0.692 0.838  0.802 0.948  0.913 1.058  1.018 1.173  1.008 1.290  0.858 1.245  0.709 1.200  0.562 1.149  0.414 1.098  0.267 1.047  0.119 0.998  -0.029 0.949  -0.177 0.900  -0.326 0.853  -0.474 0.803  -0.608 0.725  -0.640 0.626  -0.520 0.526  -0.388 0.444  -0.253 0.365  -0.118 0.287  0.017 0.210  0.153 0.133  0.275 0.036  0.396 -0.062  0.493 -0.181  0.575 -0.314  0.604 -0.462  0.604 -0.618  0.574 -0.762  0.471 -0.879  0.360 -0.985  0.211 -1.030  0.062 -1.076  -0.093 -1.080  -0.249 -1.080  -0.402 -1.058  -0.553 -1.018  -0.701 -0.970  -0.842 -0.904  -0.959 -0.806  -1.021 -0.672  -0.974 -0.531  -0.837 -0.494  -0.681 -0.494  -0.537 -0.542  -0.396 -0.607  -0.255 -0.672  -0.124 -0.756  0.004 -0.846
3#apb#apb05#app0561/u  -0.419 0.930  -0.494 0.889  -0.587 0.759  -0.662 0.616  -0.737 0.473  -0.810 0.329  -0.879 0.184  -0.948 0.038  -1.020 -0.106  -1.099 -0.248  -1.177 -0.389  -1.240 -0.535  -1.277 -0.693  -1.264 -0.844  -1.151 -0.937  -0.994 -0.976  -0.842 -0.945  -0.692 -0.886  -0.542 -0.827  -0.394 -0.764  -0.257 -0.679  -0.120 -0.594  0.018 -0.509  0.135 -0.401  0.243 -0.281  0.350 -0.160  0.457 -0.040  0.565 0.081  0.672 0.201  0.780 0.321  0.871 0.453  0.949 0.594  1.027 0.735  1.101 0.878  1.167 1.026  1.182 1.076  1.074 0.956  0.969 0.834  0.863 0.712  0.767 0.582  0.673 0.451  0.578 0.320  0.500 0.180  0.428 0.036  0.360 -0.110  0.312 -0.264  0.281 -0.419  0.313 -0.578  0.420 -0.687  0.552 -0.779
3#apb#apb05#app0561/i  0.768 1.513  0.743 1.448  0.717 1.384  0.691 1.320  0.656 1.260  0.620 1.201  0.583 1.142  0.547 1.082  0.511 1.023  0.474 0.964  0.438 0.905  0.401 0.846  0.365 0.787  0.336 0.724  0.306 0.661  0.277 0.598  0.247 0.536  0.217 0.473  0.188 0.410  0.158 0.347  0.129 0.284  0.099 0.222  0.070 0.159  0.040 0.096  0.009 0.034  -0.022 -0.028  -0.053 -0.090  -0.084 -0.152  -0.115 -0.214  -0.146 -0.276  -0.177 -0.338  -0.208 -0.400  -0.239 -0.463  -0.270 -0.525  -0.301 -0.587  -0.332 -0.649  -0.364 -0.711  -0.395 -0.773  -0.426 -0.835  -0.457 -0.897  -0.488 -0.959  -0.519 -1.021  -0.550 -1.083  -0.581 -1.145  -0.606 -1.209  -0.621 -1.277  -0.636 -1.345  -0.651 -1.413  -0.666 -1.480  -0.682 -1.548
3#apb#apb05#app0561/t  0.323 1.358  0.279 1.216  0.236 1.074  0.193 0.931  0.143 0.791  0.087 0.654  0.030 0.516  -0.026 0.378  -0.089 0.244  -0.160 0.114  -0.232 -0.016  -0.304 -0.147  -0.376 -0.277  -0.444 -0.409  -0.510 -0.542  -0.577 -0.675  -0.643 -0.808  -0.712 -0.940  -0.786 -1.069  -0.859 -1.198  -0.933 -1.327  -0.916 -1.228  -0.880 -1.084  -0.845 -0.940  -0.809 -0.795  -0.773 -0.651  -0.738 -0.507  -0.702 -0.362  -0.667 -0.218  -0.631 -0.073  -0.596 0.071  -0.485 0.072  -0.341 0.043  -0.192 0.036  -0.044 0.029  0.105 0.019  0.253 0.006  0.401 -0.007  0.549 -0.012  0.697 0.005  0.844 0.022  0.935 0.128  1.012 0.255  1.090 0.382  1.167 0.509  1.244 0.636  1.321 0.763  1.399 0.890  1.476 1.017  1.486 1.125
3#apb#apb05#app0561/e  -0.767 0.136  -0.610 0.132  -0.454 0.119  -0.298 0.114  -0.144 0.143  0.010 0.172  0.163 0.203  0.316 0.237  0.469 0.271  0.621 0.307  0.770 0.356  0.919 0.406  1.041 0.503  1.115 0.632  1.068 0.776  0.994 0.910  0.852 0.975  0.709 1.039  0.552 1.039  0.396 1.039  0.242 1.026  0.097 0.965  -0.047 0.904  -0.192 0.843  -0.315 0.752  -0.426 0.641  -0.537 0.530  -0.648 0.419  -0.740 0.293  -0.831 0.166  -0.922 0.038  -0.956 -0.113  -0.983 -0.268  -1.010 -0.422  -0.972 -0.572  -0.926 -0.722  -0.838 -0.842  -0.712 -0.935  -0.585 -1.027  -0.451 -1.094  -0.294 -1.088  -0.138 -1.082  0.019 -1.076  0.175 -1.070  0.330 -1.049  0.483 -1.014  0.635 -0.980  0.788 -0.945  0.941 -0.911  1.094 -0.876
3#apb#apb05#app0561/A  0.122 1.025  0.035 0.795  -0.080 0.572  -0.200 0.351  -0.322 0.131  -0.447 -0.086  -0.575 -0.302  -0.728 -0.501  -0.882 -0.699  -1.079 -0.855  -1.278 -1.008  -1.244 -0.839  -1.099 -0.636  -0.943 -0.439  -0.774 -0.253  -0.605 -0.067  -0.437 0.119  -0.270 0.306  -0.102 0.493  0.078 0.668  0.261 0.839  0.445 1.011  0.647 1.158  0.862 1.287  1.090 1.383  1.265 1.297  1.289 1.060  1.218 0.819  1.133 0.584  1.015 0.362  0.897 0.141  0.775 -0.078  0.650 -0.296  0.523 -0.513  0.390 -0.726  0.255 -0.938  0.109 -1.142  -0.075 -1.311  -0.209 -1.180  -0.321 -0.956  -0.434 -0.731  -0.546 -0.506  -0.658 -0.282  -0.711 -0.083  -0.467 -0.034  -0.216 -0.022  0.035 -0.003  0.285 0.018  0.536 0.028  0.786 0.038
3#apb#apb05#app0561/7  -0.183 0.665  -0.260 0.549  -0.321 0.424  -0.383 0.299  -0.471 0.191  -0.559 0.083  -0.640 -0.031  -0.717 -0.147  -0.831 -0.209  -0.800 -0.108  -0.727 0.010  -0.647 0.124  -0.566 0.238  -0.476 0.345  -0.386 0.451  -0.293 0.555  -0.194 0.654  -0.096 0.753  0.006 0.848  0.109 0.943  0.212 1.037  0.331 1.110  0.451 1.181  0.587 1.215  0.722 1.206  0.759 1.076  0.768 0.939  0.747 0.801  0.725 0.663  0.698 0.526  0.649 0.396  0.600 0.265  0.551 0.134  0.502 0.003  0.445 -0.124  0.387 -0.251  0.328 -0.377  0.270 -0.504  0.211 -0.631  0.159 -0.760  0.106 -0.890  0.053 -1.019  -0.001 -1.147  -0.072 -1.268  -0.143 -1.388  -0.214 -1.508  -0.272 -1.635  -0.327 -1.763  -0.379 -1.893  -0.417 -2.027
3#apb#apb05#app0561/U  -0.144 1.171  -0.173 1.051  -0.228 0.873  -0.310 0.704  -0.393 0.535  -0.476 0.367  -0.576 0.207  -0.676 0.048  -0.775 -0.111  -0.876 -0.269  -0.978 -0.427  -1.080 -0.585  -1.188 -0.739  -1.281 -0.899  -1.271 -1.060  -1.095 -0.994  -0.927 -0.910  -0.761 -0.823  -0.597 -0.731  -0.433 -0.639  -0.283 -0.527  -0.134 -0.412  0.014 -0.296  0.149 -0.166  0.285 -0.036  0.416 0.098  0.534 0.244  0.652 0.390  0.765 0.541  0.867 0.698  0.970 0.855  1.076 1.011  1.181 1.166  1.169 1.218  1.033 1.089  0.921 0.938  0.809 0.787  0.700 0.634  0.599 0.476  0.498 0.317  0.398 0.159  0.306 -0.005  0.215 -0.170  0.126 -0.335  0.076 -0.516  0.025 -0.697  0.037 -0.882  0.116 -1.044  0.265 -1.139  0.451 -1.162
3#apb#apb05#app0561/n  -0.239 0.842  -0.250 0.710  -0.302 0.555  -0.359 0.401  -0.416 0.247  -0.477 0.095  -0.550 -0.052  -0.624 -0.199  -0.697 -0.346  -0.796 -0.477  -0.896 -0.607  -0.994 -0.739  -1.085 -0.875  -1.198 -0.987  -1.185 -0.875  -1.116 -0.731  -1.012 -0.604  -0.907 -0.477  -0.799 -0.354  -0.691 -0.230  -0.583 -0.107  -0.476 0.018  -0.370 0.143  -0.264 0.268  -0.157 0.393  -0.046 0.513  0.079 0.619  0.205 0.725  0.330 0.831  0.459 0.932  0.607 1.001  0.756 1.071  0.910 1.105  1.052 1.055  1.119 0.905  1.130 0.748  1.099 0.587  1.069 0.426  1.020 0.269  0.968 0.114  0.916 -0.042  0.845 -0.190  0.768 -0.335  0.691 -0.479  0.621 -0.628  0.551 -0.777  0.476 -0.922  0.375 -1.051  0.273 -1.180  0.168 -1.306
3#apb#apb05#app0561/i  -0.129 0.338  -0.098 0.240  -0.132 0.133  -0.158 0.024  -0.183 -0.085  -0.209 -0.195  -0.251 -0.298  -0.296 -0.401  -0.341 -0.504  -0.385 -0.608  -0.427 -0.711  -0.470 -0.815  -0.514 -0.919  -0.572 -1.015  -0.630 -1.111  -0.647 -1.221  -0.658 -1.333  -0.628 -1.318  -0.577 -1.218  -0.526 -1.118  -0.475 -1.018  -0.424 -0.918  -0.372 -0.818  -0.321 -0.718  -0.270 -0.618  -0.219 -0.518  -0.168 -0.418  -0.117 -0.318  -0.066 -0.218  -0.015 -0.118  0.036 -0.018  0.087 0.082  0.138 0.182  0.189 0.282  0.240 0.382  0.291 0.482  0.342 0.582  0.393 0.682  0.444 0.782  0.495 0.882  0.547 0.982  0.598 1.082  0.649 1.182  0.700 1.282  0.751 1.382  0.802 1.482  0.853 1.582  0.888 1.616  0.903 1.506  0.930 1.397
3#apb#apb05#app0561/v  -1.096 0.793  -0.982 0.835  -0.869 0.878  -0.749 0.886  -0.686 0.800  -0.641 0.688  -0.596 0.575  -0.572 0.457  -0.548 0.338  -0.525 0.219  -0.501 0.100  -0.477 -0.019  -0.462 -0.139  -0.450 -0.260  -0.438 -0.380  -0.426 -0.501  -0.414 -0.621  -0.398 -0.741  -0.380 -0.861  -0.361 -0.981  -0.342 -1.101  -0.318 -1.219  -0.294 -1.338  -0.246 -1.343  -0.176 -1.244  -0.111 -1.142  -0.059 -1.032  -0.008 -0.923  0.044 -0.813  0.095 -0.704  0.150 -0.595  0.209 -0.489  0.267 -0.383  0.325 -0.277  0.384 -0.171  0.442 -0.065  0.496 0.044  0.546 0.154  0.596 0.265  0.646 0.375  0.696 0.485  0.747 0.596  0.794 0.707  0.836 0.821  0.878 0.935  0.920 1.048  0.961 1.162  1.002 1.276  1.031 1.394  1.061 1.511
3#apb#apb05#app0561/e  -0.659 -0.101  -0.505 -0.071  -0.349 -0.054  -0.193 -0.044  -0.036 -0.044  0.121 -0.044  0.267 0.009  0.412 0.071  0.556 0.133  0.700 0.195  0.844 0.257  0.986 0.323  1.122 0.401  1.205 0.530  1.197 0.672  1.121 0.804  0.988 0.888  0.844 0.936  0.687 0.946  0.531 0.956  0.374 0.951  0.218 0.935  0.062 0.918  -0.093 0.898  -0.228 0.819  -0.363 0.739  -0.498 0.660  -0.623 0.566  -0.734 0.455  -0.845 0.344  -0.952 0.231  -1.028 0.093  -1.103 -0.045  -1.118 -0.198  -1.118 -0.355  -1.061 -0.493  -0.969 -0.620  -0.871 -0.741  -0.733 -0.814  -0.594 -0.888  -0.455 -0.961  -0.305 -0.994  -0.149 -1.000  0.008 -1.007  0.165 -1.013  0.322 -1.021  0.478 -1.035  0.634 -1.049  0.790 -1.062  0.947 -1.076
3#apb#apb05#app0561/r  0.090 0.521  0.029 0.414  -0.030 0.305  -0.081 0.193  -0.133 0.081  -0.185 -0.030  -0.241 -0.141  -0.296 -0.251  -0.351 -0.362  -0.394 -0.476  -0.416 -0.598  -0.437 -0.719  -0.458 -0.841  -0.493 -0.959  -0.536 -1.075  -0.577 -1.191  -0.616 -1.308  -0.630 -1.396  -0.669 -1.279  -0.663 -1.158  -0.644 -1.036  -0.626 -0.914  -0.604 -0.792  -0.583 -0.671  -0.561 -0.549  -0.530 -0.431  -0.471 -0.323  -0.412 -0.214  -0.353 -0.106  -0.294 0.002  -0.235 0.111  -0.164 0.212  -0.093 0.312  -0.021 0.413  0.051 0.513  0.122 0.614  0.205 0.702  0.310 0.768  0.415 0.833  0.519 0.899  0.625 0.962  0.734 1.020  0.843 1.079  0.953 1.129  1.076 1.116  1.199 1.104  1.287 1.019  1.372 0.930  1.447 0.832  1.521 0.733
3#apb#apb05#app0561/s  1.245 1.211  1.137 1.236  1.019 1.236  0.901 1.230  0.783 1.224  0.664 1.217  0.546 1.211  0.443 1.154  0.340 1.096  0.237 1.038  0.134 0.980  0.029 0.925  -0.076 0.870  -0.180 0.815  -0.285 0.760  -0.378 0.690  -0.462 0.606  -0.545 0.522  -0.615 0.428  -0.674 0.326  -0.662 0.212  -0.636 0.097  -0.563 0.006  -0.483 -0.081  -0.403 -0.169  -0.309 -0.239  -0.210 -0.303  -0.110 -0.367  -0.009 -0.426  0.101 -0.470  0.211 -0.514  0.321 -0.558  0.418 -0.625  0.511 -0.697  0.589 -0.783  0.583 -0.879  0.499 -0.962  0.383 -0.975  0.265 -0.982  0.147 -0.989  0.030 -0.983  -0.087 -0.964  -0.204 -0.946  -0.321 -0.927  -0.438 -0.918  -0.556 -0.918  -0.674 -0.918  -0.787 -0.899  -0.885 -0.833  -0.984 -0.767
3#apb#apb05#app0561/i  -0.261 -0.026  -0.243 -0.116  -0.269 -0.207  -0.309 -0.295  -0.352 -0.382  -0.398 -0.468  -0.444 -0.553  -0.494 -0.637  -0.545 -0.719  -0.596 -0.802  -0.657 -0.877  -0.717 -0.953  -0.771 -1.033  -0.823 -1.116  -0.818 -1.138  -0.760 -1.060  -0.702 -0.982  -0.645 -0.904  -0.587 -0.826  -0.530 -0.748  -0.472 -0.670  -0.414 -0.592  -0.357 -0.514  -0.299 -0.436  -0.241 -0.358  -0.184 -0.280  -0.126 -0.202  -0.068 -0.124  -0.011 -0.046  0.047 0.032  0.105 0.110  0.162 0.188  0.220 0.266  0.278 0.344  0.335 0.422  0.393 0.500  0.451 0.578  0.508 0.657  0.566 0.735  0.623 0.813  0.681 0.891  0.739 0.969  0.796 1.047  0.854 1.125  0.912 1.203  0.969 1.281  1.027 1.359  1.085 1.437  1.142 1.515  1.200 1.593
3#apb#apb05#app0561/t  0.819 1.920  0.877 1.805  0.855 1.670  0.834 1.535  0.806 1.402  0.758 1.274  0.710 1.146  0.662 1.018  0.610 0.891  0.553 0.768  0.495 0.644  0.437 0.520  0.379 0.396  0.318 0.274  0.248 0.157  0.177 0.040  0.106 -0.076  0.035 -0.193  -0.036 -0.310  -0.105 -0.428  -0.174 -0.546  -0.243 -0.664  -0.312 -0.782  -0.381 -0.899  -0.452 -1.016  -0.524 -1.133  -0.595 -1.249  -0.691 -1.345  -0.772 -1.400  -0.734 -1.268  -0.696 -1.137  -0.659 -1.006  -0.621 -0.874  -0.583 -0.743  -0.545 -0.612  -0.508 -0.480  -0.470 -0.349  -0.432 -0.218  -0.395 -0.087  -0.357 0.045  -0.319 0.176  -0.281 0.307  -0.230 0.384  -0.127 0.295  -0.017 0.214  0.079 0.117  0.191 0.040  0.308 -0.030  0.437 -0.075  0.567 -0.118
