2#tos#f3#f3021061/\"  -1.198 0.505  -1.214 0.615  -1.308 0.648  -1.273 0.690  -1.183 0.600  -1.093 0.510  -1.004 0.421  -0.937 0.314  -0.881 0.201  -0.867 0.077  -0.787 -0.016  -0.757 -0.131  -0.757 -0.257  -0.757 -0.384  -0.757 -0.511  -0.757 -0.638  -0.757 -0.765  -0.757 -0.891  -0.691 -0.864  -0.598 -0.778  -0.505 -0.691  -0.413 -0.605  -0.320 -0.518  -0.227 -0.432  -0.135 -0.345  -0.042 -0.259  0.051 -0.172  0.143 -0.086  0.236 0.001  0.329 0.087  0.422 0.174  0.514 0.260  0.607 0.347  0.700 0.433  0.792 0.520  0.885 0.606  0.898 0.725  1.025 0.725  1.115 0.688  1.115 0.561  1.115 0.434  1.115 0.308  1.115 0.181  1.115 0.054  1.115 -0.073  1.115 -0.199  1.115 -0.326  1.115 -0.453  1.115 -0.580  1.115 -0.706
2#tos#f3#f3021061/X  -0.859 0.812  -1.016 0.906  -0.937 0.811  -0.857 0.645  -0.779 0.479  -0.665 0.337  -0.568 0.182  -0.498 0.010  -0.406 -0.149  -0.303 -0.303  -0.174 -0.436  -0.070 -0.587  0.045 -0.731  0.198 -0.820  0.307 -0.963  0.424 -1.094  0.546 -1.224  0.568 -1.089  0.594 -0.906  0.619 -0.722  0.645 -0.538  0.671 -0.355  0.696 -0.171  0.722 0.013  0.748 0.196  0.774 0.380  0.799 0.564  0.825 0.747  0.851 0.931  0.873 1.115  0.873 1.300  0.776 1.321  0.660 1.185  0.534 1.053  0.413 0.914  0.282 0.782  0.183 0.630  0.104 0.464  -0.024 0.331  -0.119 0.172  -0.236 0.030  -0.364 -0.104  -0.475 -0.253  -0.591 -0.398  -0.703 -0.545  -0.798 -0.704  -0.899 -0.854  -1.029 -0.979  -1.122 -1.137  -1.234 -1.249
2#tos#f3#f3021061/Z  -0.160 0.878  -0.374 1.021  -0.592 1.123  -0.377 1.166  -0.120 1.166  0.138 1.166  0.396 1.166  0.654 1.166  0.786 1.070  0.580 0.931  0.391 0.769  0.194 0.607  0.070 0.408  -0.112 0.229  -0.237 0.004  -0.408 -0.186  -0.565 -0.384  -0.687 -0.609  -0.768 -0.850  -0.771 -1.091  -0.524 -1.139  -0.267 -1.139  -0.009 -1.139  0.249 -1.139  0.506 -1.139  0.764 -1.139  1.022 -1.139  1.268 -1.091  1.076 -0.957  0.860 -0.817  0.644 -0.676  0.428 -0.535  0.212 -0.394  -0.004 -0.253  -0.220 -0.113  -0.436 0.028  -0.651 0.169  -0.867 0.310  -1.113 0.350  -1.350 0.350  -1.092 0.350  -0.837 0.335  -0.601 0.234  -0.350 0.205  -0.095 0.177  0.155 0.115  0.412 0.109  0.669 0.109  0.927 0.109  1.185 0.109
2#tos#f3#f3021061/b  -0.125 1.748  -0.184 1.918  -0.125 1.747  -0.125 1.553  -0.125 1.358  -0.125 1.164  -0.125 0.970  -0.125 0.775  -0.126 0.581  -0.234 0.419  -0.242 0.227  -0.287 0.040  -0.300 -0.152  -0.334 -0.343  -0.359 -0.535  -0.359 -0.729  -0.406 -0.912  -0.417 -1.104  -0.475 -1.240  -0.417 -1.192  -0.417 -0.997  -0.417 -0.803  -0.417 -0.608  -0.417 -0.414  -0.440 -0.223  -0.475 -0.035  -0.475 0.160  -0.447 0.347  -0.368 0.514  -0.213 0.581  -0.055 0.640  0.139 0.640  0.333 0.640  0.528 0.640  0.722 0.640  0.902 0.604  0.982 0.443  0.982 0.249  0.982 0.055  0.920 -0.125  0.833 -0.299  0.732 -0.464  0.624 -0.626  0.500 -0.775  0.371 -0.919  0.251 -1.067  0.077 -1.153  -0.082 -1.255  -0.223 -1.342  -0.417 -1.342
2#tos#f3#f3021061/f  0.539 0.700  0.576 0.845  0.576 1.000  0.576 1.155  0.543 1.295  0.476 1.427  0.389 1.532  0.280 1.600  0.164 1.562  0.107 1.431  0.051 1.321  0.014 1.176  0.014 1.021  0.014 0.866  0.014 0.712  0.014 0.557  0.048 0.408  0.051 0.254  0.114 0.118  0.126 -0.032  0.126 -0.187  0.133 -0.341  0.164 -0.492  0.164 -0.646  0.164 -0.801  0.164 -0.955  0.161 -1.110  0.106 -1.254  0.054 -1.396  -0.054 -1.507  -0.197 -1.552  -0.331 -1.525  -0.370 -1.376  -0.410 -1.226  -0.449 -1.077  -0.488 -0.927  -0.528 -0.778  -0.567 -0.628  -0.606 -0.479  -0.646 -0.329  -0.685 -0.180  -0.675 -0.051  -0.521 -0.051  -0.366 -0.051  -0.211 -0.051  -0.057 -0.051  0.084 -0.004  0.230 0.024  0.384 0.024  0.539 0.024
2#tos#f3#f3021061/h  -0.267 1.594  -0.267 1.730  -0.328 1.829  -0.317 1.817  -0.308 1.683  -0.308 1.547  -0.284 1.414  -0.267 1.281  -0.267 1.145  -0.267 1.009  -0.267 0.873  -0.267 0.738  -0.267 0.602  -0.267 0.466  -0.267 0.330  -0.267 0.194  -0.315 0.070  -0.349 -0.058  -0.349 -0.194  -0.349 -0.329  -0.404 -0.448  -0.431 -0.576  -0.450 -0.709  -0.483 -0.838  -0.512 -0.967  -0.512 -0.853  -0.472 -0.733  -0.390 -0.632  -0.309 -0.529  -0.237 -0.416  -0.157 -0.308  -0.068 -0.207  0.065 -0.202  0.119 -0.120  0.223 -0.153  0.304 -0.207  0.345 -0.302  0.345 -0.438  0.345 -0.574  0.345 -0.709  0.345 -0.845  0.389 -0.937  0.525 -0.937  0.653 -0.905  0.777 -0.873  0.902 -0.828  0.993 -0.744  1.101 -0.664  1.217 -0.596  1.284 -0.488
2#tos#f3#f3021061/i  -0.418 0.702  -0.418 0.732  -0.382 0.648  -0.364 0.514  -0.364 0.376  -0.364 0.239  -0.364 0.102  -0.364 -0.035  -0.364 -0.173  -0.364 -0.310  -0.364 -0.447  -0.402 -0.569  -0.471 -0.678  -0.471 -0.815  -0.451 -0.947  -0.410 -1.074  -0.313 -1.171  -0.177 -1.174  -0.040 -1.174  0.097 -1.174  0.235 -1.174  0.372 -1.174  0.443 -1.065  0.564 -1.002  0.678 -0.925  0.807 -0.881  0.914 -0.836  0.847 -0.716  0.780 -0.597  0.713 -0.477  0.646 -0.357  0.579 -0.237  0.512 -0.117  0.445 0.003  0.378 0.123  0.311 0.243  0.244 0.362  0.178 0.482  0.111 0.602  0.044 0.722  -0.023 0.842  -0.090 0.962  -0.157 1.082  -0.224 1.202  -0.291 1.322  -0.358 1.441  -0.471 1.470  -0.471 1.607  -0.471 1.744  -0.471 1.774
2#tos#f3#f3021061/j  0.234 1.212  0.272 1.191  0.236 1.063  0.234 0.927  0.234 0.791  0.234 0.655  0.232 0.519  0.196 0.391  0.196 0.255  0.196 0.119  0.196 -0.018  0.196 -0.154  0.196 -0.290  0.196 -0.427  0.196 -0.563  0.196 -0.699  0.196 -0.835  0.196 -0.972  0.196 -1.108  0.193 -1.244  0.149 -1.370  0.119 -1.499  -0.010 -1.506  -0.146 -1.506  -0.225 -1.419  -0.328 -1.357  -0.327 -1.230  -0.312 -1.095  -0.296 -0.959  -0.281 -0.824  -0.266 -0.688  -0.251 -0.553  -0.236 -0.417  -0.221 -0.282  -0.206 -0.146  -0.191 -0.011  -0.176 0.125  -0.161 0.260  -0.146 0.395  -0.131 0.531  -0.116 0.666  -0.101 0.802  -0.086 0.937  -0.071 1.073  -0.056 1.208  -0.041 1.344  -0.026 1.479  -0.011 1.615  0.003 1.750  -0.072 1.863
2#tos#f3#f3021061/k  -0.078 1.473  -0.078 1.686  -0.113 1.862  -0.228 1.959  -0.223 1.839  -0.223 1.627  -0.223 1.415  -0.223 1.203  -0.223 0.990  -0.223 0.778  -0.223 0.566  -0.286 0.364  -0.321 0.157  -0.338 -0.053  -0.385 -0.260  -0.418 -0.469  -0.418 -0.681  -0.418 -0.893  -0.515 -1.076  -0.515 -1.288  -0.563 -1.489  -0.469 -1.302  -0.374 -1.112  -0.280 -0.922  -0.185 -0.733  -0.090 -0.543  0.005 -0.353  0.100 -0.163  0.195 0.027  0.290 0.217  0.416 0.356  0.628 0.356  0.748 0.448  0.658 0.502  0.498 0.376  0.422 0.187  0.255 0.057  0.085 -0.060  -0.064 -0.179  -0.236 -0.276  -0.418 -0.334  -0.244 -0.373  -0.072 -0.470  0.117 -0.494  0.255 -0.567  0.446 -0.659  0.610 -0.790  0.776 -0.917  0.977 -0.984  1.186 -1.005
2#tos#f3#f3021061/l  -0.059 1.232  -0.059 1.304  -0.059 1.377  -0.059 1.449  -0.059 1.503  -0.059 1.430  -0.055 1.359  -0.032 1.290  -0.013 1.221  -0.013 1.148  -0.013 1.076  -0.013 1.003  -0.013 0.931  -0.013 0.858  -0.013 0.786  -0.013 0.714  -0.013 0.641  -0.013 0.569  -0.013 0.496  -0.013 0.424  -0.013 0.352  -0.013 0.279  -0.013 0.207  -0.013 0.134  -0.013 0.062  -0.013 -0.011  -0.013 -0.083  -0.013 -0.155  -0.013 -0.228  -0.013 -0.300  -0.013 -0.373  -0.013 -0.445  -0.013 -0.517  -0.013 -0.590  -0.013 -0.662  -0.013 -0.735  -0.013 -0.807  -0.013 -0.880  -0.013 -0.952  -0.010 -1.024  0.005 -1.095  0.019 -1.166  0.033 -1.237  0.055 -1.306  0.078 -1.375  0.101 -1.443  0.124 -1.512  0.127 -1.584  0.127 -1.656  0.174 -1.709
2#tos#f3#f3021061/o  0.192 0.545  0.176 0.545  0.089 0.616  -0.021 0.664  -0.156 0.687  -0.314 0.687  -0.419 0.601  -0.532 0.503  -0.600 0.382  -0.676 0.245  -0.805 0.181  -0.855 0.031  -0.873 -0.124  -0.926 -0.270  -0.944 -0.424  -0.944 -0.582  -0.941 -0.739  -0.871 -0.881  -0.800 -1.022  -0.727 -1.160  -0.579 -1.200  -0.428 -1.231  -0.269 -1.231  -0.111 -1.231  0.040 -1.187  0.186 -1.128  0.314 -1.038  0.450 -0.960  0.534 -0.832  0.605 -0.691  0.698 -0.567  0.748 -0.417  0.826 -0.280  0.903 -0.145  0.903 0.013  0.903 0.171  0.903 0.329  0.903 0.487  0.903 0.645  0.903 0.803  0.771 0.829  0.690 0.948  0.555 0.972  0.397 0.972  0.239 0.972  0.081 0.972  -0.077 0.972  -0.220 0.907  -0.376 0.900  -0.447 0.758
2#tos#f3#f3021061/r  -1.059 0.755  -1.059 0.899  -0.928 0.913  -0.787 0.896  -0.658 0.831  -0.529 0.767  -0.487 0.641  -0.425 0.511  -0.403 0.370  -0.357 0.233  -0.297 0.102  -0.267 -0.036  -0.267 -0.180  -0.267 -0.325  -0.267 -0.470  -0.267 -0.614  -0.267 -0.759  -0.267 -0.904  -0.267 -1.048  -0.267 -1.193  -0.267 -1.337  -0.267 -1.482  -0.267 -1.458  -0.267 -1.313  -0.267 -1.168  -0.267 -1.024  -0.267 -0.879  -0.267 -0.734  -0.267 -0.590  -0.267 -0.445  -0.207 -0.315  -0.188 -0.175  -0.182 -0.032  -0.080 0.070  -0.029 0.194  0.012 0.321  0.115 0.423  0.220 0.517  0.322 0.586  0.412 0.676  0.556 0.676  0.701 0.676  0.846 0.676  0.990 0.676  1.135 0.676  1.280 0.676  1.424 0.676  1.542 0.741  1.634 0.708  1.555 0.596
2#tos#f3#f3021061/s  1.278 0.806  1.278 0.955  1.184 1.045  1.085 1.108  0.955 1.127  0.806 1.127  0.669 1.175  0.524 1.191  0.375 1.191  0.227 1.191  0.082 1.172  -0.056 1.127  -0.197 1.097  -0.297 0.997  -0.329 0.856  -0.329 0.707  -0.329 0.559  -0.329 0.410  -0.329 0.261  -0.329 0.112  -0.234 0.003  -0.109 -0.075  0.024 -0.142  0.140 -0.232  0.268 -0.305  0.373 -0.411  0.478 -0.516  0.571 -0.588  0.571 -0.737  0.556 -0.880  0.432 -0.940  0.306 -0.994  0.157 -0.994  0.020 -0.944  -0.125 -0.930  -0.198 -0.807  -0.328 -0.737  -0.471 -0.723  -0.591 -0.638  -0.650 -0.526  -0.650 -0.378  -0.650 -0.229  -0.715 -0.172  -0.715 -0.321  -0.715 -0.470  -0.715 -0.618  -0.715 -0.767  -0.715 -0.916  -0.765 -1.044  -0.779 -1.187
2#tos#f3#f3021061/t  0.417 1.175  0.364 1.321  0.335 1.490  0.259 1.368  0.259 1.170  0.192 0.988  0.132 0.801  0.093 0.607  0.054 0.412  0.050 0.215  0.050 0.017  0.019 -0.176  -0.003 -0.371  -0.003 -0.569  -0.003 -0.767  0.040 -0.955  0.174 -1.099  0.315 -1.238  0.504 -1.289  0.702 -1.289  0.900 -1.289  1.098 -1.289  0.937 -1.173  0.777 -1.057  0.616 -0.941  0.456 -0.826  0.295 -0.710  0.134 -0.594  -0.026 -0.478  -0.187 -0.362  -0.348 -0.247  -0.508 -0.131  -0.669 -0.015  -0.829 0.101  -0.990 0.217  -1.151 0.332  -1.347 0.336  -1.397 0.336  -1.220 0.389  -1.025 0.415  -0.829 0.441  -0.634 0.462  -0.439 0.494  -0.241 0.500  -0.049 0.546  0.149 0.546  0.347 0.546  0.545 0.546  0.743 0.546  0.941 0.546
2#tos#f3#f3021061/y  -0.535 0.764  -0.655 0.781  -0.655 0.918  -0.765 0.924  -0.716 0.826  -0.620 0.729  -0.553 0.611  -0.472 0.501  -0.455 0.372  -0.375 0.285  -0.295 0.197  -0.208 0.125  -0.118 0.113  0.004 0.174  0.126 0.235  0.248 0.297  0.370 0.358  0.493 0.419  0.615 0.480  0.737 0.541  0.859 0.602  0.981 0.663  1.103 0.724  1.104 0.860  0.995 0.870  0.900 0.778  0.804 0.685  0.706 0.593  0.624 0.484  0.542 0.375  0.458 0.267  0.373 0.160  0.294 0.049  0.218 -0.065  0.161 -0.187  0.117 -0.317  0.049 -0.433  -0.031 -0.544  -0.109 -0.656  -0.185 -0.770  -0.262 -0.883  -0.349 -0.988  -0.437 -1.092  -0.503 -1.211  -0.564 -1.333  -0.643 -1.445  -0.724 -1.554  -0.806 -1.663  -0.910 -1.744  -0.935 -1.874
