2#apb#apb16#app1671/k  -1.628 -1.097  -1.510 -0.964  -1.241 -0.855  -0.981 -0.724  -0.729 -0.579  -0.471 -0.444  -0.254 -0.251  -0.046 -0.048  0.142 0.174  0.318 0.406  0.490 0.641  0.664 0.874  0.843 1.103  1.017 1.336  1.097 1.581  0.839 1.583  0.678 1.343  0.531 1.095  0.345 0.871  0.191 0.625  0.032 0.381  -0.129 0.138  -0.264 -0.120  -0.424 -0.361  -0.612 -0.583  -0.800 -0.806  -0.814 -0.783  -0.681 -0.526  -0.534 -0.276  -0.359 -0.043  -0.168 0.176  0.035 0.385  0.251 0.579  0.492 0.739  0.773 0.747  0.847 0.510  0.703 0.260  0.468 0.090  0.221 -0.065  -0.048 -0.159  -0.261 0.005  -0.372 0.053  -0.377 -0.238  -0.367 -0.528  -0.268 -0.801  -0.086 -1.025  0.181 -1.121  0.470 -1.147  0.758 -1.119  1.036 -1.034
2#apb#apb16#app1671/y  -0.275 1.154  -0.245 1.194  -0.372 1.104  -0.480 0.994  -0.579 0.875  -0.656 0.742  -0.614 0.610  -0.466 0.587  -0.314 0.616  -0.166 0.665  -0.019 0.713  0.130 0.757  0.263 0.832  0.387 0.926  0.502 1.030  0.614 1.137  0.684 1.268  0.597 1.149  0.558 1.000  0.529 0.847  0.506 0.694  0.488 0.540  0.473 0.385  0.473 0.230  0.473 0.075  0.464 -0.080  0.453 -0.234  0.432 -0.388  0.405 -0.541  0.374 -0.692  0.319 -0.838  0.265 -0.983  0.205 -1.126  0.142 -1.268  0.068 -1.404  -0.047 -1.502  -0.201 -1.504  -0.353 -1.476  -0.496 -1.415  -0.594 -1.298  -0.641 -1.155  -0.654 -1.001  -0.622 -0.849  -0.568 -0.706  -0.487 -0.574  -0.401 -0.445  -0.306 -0.322  -0.202 -0.208  -0.088 -0.103  0.040 -0.015
2#apb#apb16#app1671/s  -1.449 -0.585  -1.408 -0.404  -1.310 -0.237  -1.161 -0.101  -1.030 0.054  -0.863 0.169  -0.700 0.290  -0.540 0.415  -0.381 0.541  -0.222 0.668  -0.059 0.788  0.122 0.879  0.304 0.970  0.482 1.066  0.670 1.084  0.751 0.906  0.771 0.707  0.745 0.505  0.708 0.307  0.628 0.120  0.547 -0.066  0.456 -0.247  0.332 -0.402  0.171 -0.526  -0.020 -0.592  -0.219 -0.629  -0.419 -0.615  -0.608 -0.550  -0.771 -0.430  -0.922 -0.294  -1.029 -0.122  -1.084 0.072  -1.035 0.214  -0.907 0.072  -0.799 -0.099  -0.671 -0.253  -0.494 -0.351  -0.298 -0.405  -0.100 -0.440  0.103 -0.448  0.306 -0.452  0.508 -0.430  0.710 -0.407  0.905 -0.357  1.098 -0.293  1.290 -0.227  1.470 -0.133  1.648 -0.036  1.808 0.089  1.968 0.214
2#apb#apb16#app1671/h  -1.239 -0.465  -1.159 -0.436  -0.946 -0.331  -0.731 -0.227  -0.524 -0.111  -0.314 0.002  -0.099 0.105  0.106 0.226  0.306 0.355  0.497 0.497  0.679 0.651  0.847 0.819  0.961 1.028  1.064 1.243  1.132 1.471  1.063 1.689  0.903 1.540  0.753 1.355  0.623 1.155  0.493 0.956  0.362 0.757  0.239 0.553  0.117 0.349  0.001 0.141  -0.116 -0.067  -0.238 -0.271  -0.358 -0.477  -0.476 -0.683  -0.610 -0.880  -0.764 -1.062  -0.900 -1.257  -1.008 -1.267  -0.887 -1.063  -0.764 -0.858  -0.637 -0.657  -0.490 -0.470  -0.330 -0.294  -0.180 -0.109  -0.013 0.055  0.188 0.183  0.403 0.283  0.633 0.284  0.674 0.056  0.562 -0.150  0.399 -0.322  0.252 -0.509  0.081 -0.675  -0.086 -0.842  -0.225 -1.035  -0.242 -1.232
2#apb#apb16#app1671/i  -1.323 -1.113  -1.277 -1.039  -1.220 -0.914  -1.121 -0.789  -1.008 -0.676  -0.875 -0.587  -0.738 -0.504  -0.607 -0.412  -0.477 -0.318  -0.346 -0.226  -0.214 -0.136  -0.094 -0.030  0.030 0.071  0.132 0.192  0.198 0.331  0.143 0.398  0.020 0.304  -0.073 0.174  -0.171 0.047  -0.272 -0.078  -0.374 -0.202  -0.462 -0.335  -0.542 -0.474  -0.613 -0.617  -0.672 -0.765  -0.613 -0.895  -0.464 -0.848  -0.308 -0.814  -0.157 -0.768  -0.022 -0.681  0.119 -0.605  0.261 -0.531  0.399 -0.451  0.520 -0.345  0.595 -0.213  0.628 -0.056  0.661 0.101  0.694 0.258  0.727 0.415  0.760 0.572  0.793 0.728  0.825 0.885  0.858 1.042  0.891 1.199  0.924 1.356  0.957 1.513  0.919 1.593  0.780 1.518  0.660 1.421  0.548 1.306
2#apb#apb16#app1671/d  -0.255 -0.531  -0.090 -0.433  0.040 -0.303  0.042 -0.113  -0.046 0.056  -0.211 0.142  -0.392 0.078  -0.564 -0.008  -0.730 -0.104  -0.886 -0.216  -1.026 -0.347  -1.152 -0.492  -1.261 -0.650  -1.330 -0.828  -1.283 -1.005  -1.125 -1.099  -0.937 -1.068  -0.752 -1.018  -0.593 -0.914  -0.443 -0.795  -0.287 -0.682  -0.153 -0.546  -0.028 -0.399  0.099 -0.255  0.228 -0.112  0.348 0.039  0.462 0.194  0.569 0.353  0.666 0.520  0.754 0.690  0.824 0.869  0.896 1.048  0.968 1.226  0.995 1.417  1.026 1.606  0.923 1.473  0.850 1.294  0.776 1.117  0.692 0.944  0.610 0.770  0.534 0.593  0.459 0.416  0.378 0.241  0.285 0.073  0.191 -0.095  0.114 -0.271  0.038 -0.448  -0.023 -0.631  -0.093 -0.810  -0.108 -0.987
2#apb#apb16#app1671/d  -0.142 -0.539  -0.062 -0.393  -0.056 -0.210  -0.125 -0.039  -0.291 0.033  -0.477 0.035  -0.641 -0.045  -0.800 -0.144  -0.958 -0.243  -1.098 -0.367  -1.200 -0.520  -1.279 -0.688  -1.285 -0.862  -1.154 -0.979  -0.978 -1.037  -0.794 -1.038  -0.619 -0.981  -0.452 -0.897  -0.303 -0.785  -0.164 -0.660  -0.050 -0.512  0.058 -0.360  0.155 -0.200  0.251 -0.040  0.328 0.130  0.405 0.300  0.482 0.470  0.559 0.640  0.636 0.811  0.713 0.981  0.790 1.151  0.867 1.321  0.944 1.491  0.976 1.615  0.916 1.442  0.846 1.269  0.773 1.097  0.697 0.927  0.619 0.757  0.537 0.589  0.454 0.422  0.369 0.256  0.283 0.090  0.199 -0.077  0.144 -0.255  0.089 -0.434  0.028 -0.610  -0.030 -0.788  -0.075 -0.969  -0.084 -1.155
2#apb#apb16#app1671/e  -1.313 -0.821  -1.198 -0.743  -1.037 -0.715  -0.894 -0.628  -0.744 -0.557  -0.586 -0.503  -0.425 -0.459  -0.269 -0.399  -0.116 -0.332  0.031 -0.255  0.154 -0.143  0.278 -0.030  0.402 0.082  0.525 0.195  0.630 0.324  0.734 0.455  0.783 0.614  0.829 0.775  0.853 0.940  0.865 1.104  0.803 1.259  0.709 1.394  0.590 1.459  0.441 1.383  0.302 1.290  0.164 1.196  0.054 1.071  -0.056 0.945  -0.165 0.819  -0.256 0.678  -0.347 0.538  -0.435 0.396  -0.513 0.249  -0.591 0.101  -0.645 -0.055  -0.672 -0.220  -0.678 -0.386  -0.678 -0.554  -0.614 -0.704  -0.530 -0.847  -0.373 -0.903  -0.215 -0.959  -0.049 -0.962  0.118 -0.962  0.284 -0.948  0.450 -0.923  0.615 -0.898  0.773 -0.848  0.929 -0.787  1.085 -0.727
2#apb#apb16#app1671/n  -0.143 0.794  -0.184 0.691  -0.253 0.534  -0.334 0.382  -0.413 0.229  -0.486 0.073  -0.560 -0.082  -0.648 -0.230  -0.741 -0.375  -0.834 -0.519  -0.927 -0.664  -1.019 -0.810  -1.109 -0.956  -1.218 -1.088  -1.275 -1.020  -1.210 -0.862  -1.133 -0.708  -1.037 -0.566  -0.928 -0.433  -0.818 -0.300  -0.702 -0.173  -0.585 -0.048  -0.466 0.077  -0.322 0.171  -0.177 0.264  -0.033 0.358  0.115 0.445  0.264 0.533  0.415 0.615  0.569 0.692  0.722 0.770  0.873 0.852  1.032 0.916  1.189 0.985  1.326 0.987  1.250 0.854  1.135 0.726  1.016 0.601  0.894 0.479  0.791 0.344  0.702 0.196  0.614 0.048  0.527 -0.100  0.473 -0.261  0.445 -0.430  0.403 -0.597  0.469 -0.751  0.612 -0.844  0.776 -0.891  0.947 -0.907
2#apb#apb16#app1671/b  0.609 1.300  0.637 1.484  0.666 1.644  0.561 1.490  0.454 1.337  0.347 1.184  0.239 1.031  0.121 0.887  -0.005 0.750  -0.132 0.613  -0.256 0.474  -0.374 0.329  -0.492 0.185  -0.610 0.040  -0.727 -0.106  -0.842 -0.252  -0.957 -0.399  -1.056 -0.557  -1.144 -0.721  -1.226 -0.887  -1.226 -1.073  -1.106 -1.195  -0.919 -1.195  -0.750 -1.123  -0.584 -1.037  -0.421 -0.948  -0.266 -0.844  -0.110 -0.741  0.022 -0.611  0.145 -0.471  0.243 -0.313  0.333 -0.150  0.387 0.028  0.431 0.209  0.379 0.388  0.264 0.534  0.121 0.443  0.021 0.286  -0.054 0.116  -0.105 -0.063  -0.062 -0.232  0.099 -0.326  0.285 -0.326  0.471 -0.309  0.656 -0.282  0.837 -0.239  1.016 -0.187  1.182 -0.103  1.358 -0.044  1.542 -0.020
2#apb#apb16#app1671/y  -0.326 0.957  -0.247 1.059  -0.160 1.072  -0.237 0.972  -0.343 0.897  -0.440 0.810  -0.534 0.721  -0.626 0.629  -0.715 0.534  -0.791 0.430  -0.819 0.312  -0.740 0.235  -0.613 0.221  -0.485 0.244  -0.358 0.270  -0.235 0.313  -0.112 0.356  0.004 0.413  0.119 0.473  0.223 0.551  0.322 0.635  0.409 0.732  0.466 0.847  0.521 0.964  0.568 1.012  0.568 0.882  0.557 0.752  0.546 0.623  0.523 0.495  0.497 0.367  0.471 0.240  0.444 0.113  0.417 -0.014  0.389 -0.141  0.362 -0.268  0.329 -0.394  0.295 -0.520  0.260 -0.645  0.226 -0.770  0.186 -0.894  0.144 -1.017  0.101 -1.140  0.058 -1.263  0.003 -1.380  -0.052 -1.498  -0.107 -1.616  -0.167 -1.731  -0.228 -1.846  -0.306 -1.950  -0.364 -2.043
2#apb#apb16#app1671/q  0.246 0.578  0.451 0.653  0.615 0.795  0.662 1.012  0.599 1.218  0.421 1.339  0.202 1.292  0.009 1.173  -0.175 1.040  -0.336 0.881  -0.447 0.684  -0.450 0.467  -0.273 0.354  -0.052 0.388  0.159 0.470  0.360 0.575  0.555 0.691  0.729 0.836  0.877 1.001  0.886 1.086  0.766 0.893  0.640 0.705  0.514 0.516  0.389 0.327  0.262 0.139  0.135 -0.049  0.009 -0.238  -0.116 -0.427  -0.240 -0.617  -0.360 -0.810  -0.480 -1.002  -0.561 -1.214  -0.638 -1.428  -0.687 -1.647  -0.616 -1.829  -0.420 -1.731  -0.268 -1.563  -0.145 -1.373  -0.061 -1.163  -0.044 -0.938  -0.075 -0.715  -0.158 -0.503  -0.278 -0.311  -0.441 -0.154  -0.630 -0.042  -0.651 -0.252  -0.561 -0.276  -0.335 -0.286  -0.108 -0.275  0.118 -0.265
2#apb#apb16#app1671/u  -1.608 -0.532  -1.666 -0.481  -1.485 -0.423  -1.363 -0.272  -1.214 -0.148  -1.065 -0.023  -0.917 0.104  -0.771 0.231  -0.620 0.353  -0.471 0.477  -0.333 0.615  -0.182 0.729  -0.194 0.804  -0.358 0.700  -0.485 0.553  -0.614 0.408  -0.746 0.266  -0.871 0.116  -0.953 -0.057  -0.969 -0.229  -0.837 -0.370  -0.662 -0.429  -0.472 -0.390  -0.295 -0.314  -0.131 -0.211  0.042 -0.122  0.213 -0.030  0.373 0.080  0.527 0.197  0.669 0.330  0.812 0.461  0.945 0.601  1.040 0.770  0.917 0.785  0.820 0.617  0.713 0.455  0.603 0.295  0.510 0.124  0.424 -0.049  0.352 -0.229  0.326 -0.422  0.380 -0.603  0.547 -0.698  0.738 -0.733  0.926 -0.696  1.113 -0.644  1.301 -0.595  1.485 -0.533  1.667 -0.465  1.838 -0.372
2#apb#apb16#app1671/i  -1.403 -0.764  -1.420 -0.685  -1.327 -0.574  -1.211 -0.470  -1.083 -0.383  -0.952 -0.299  -0.820 -0.218  -0.687 -0.137  -0.551 -0.063  -0.413 0.010  -0.283 0.094  -0.159 0.188  -0.032 0.276  0.083 0.368  0.027 0.420  -0.099 0.328  -0.231 0.246  -0.366 0.170  -0.482 0.069  -0.587 -0.046  -0.672 -0.175  -0.752 -0.308  -0.809 -0.452  -0.746 -0.588  -0.621 -0.679  -0.475 -0.728  -0.324 -0.766  -0.171 -0.768  -0.018 -0.747  0.136 -0.723  0.288 -0.689  0.437 -0.648  0.581 -0.591  0.723 -0.526  0.856 -0.450  0.958 -0.332  1.038 -0.199  1.037 -0.050  1.013 0.103  0.989 0.257  0.965 0.411  0.941 0.564  0.918 0.718  0.894 0.871  0.870 1.025  0.846 1.178  0.822 1.332  0.798 1.485  0.715 1.530  0.758 1.414
2#apb#apb16#app1671/e  -1.707 -0.700  -1.751 -0.649  -1.613 -0.577  -1.458 -0.529  -1.302 -0.484  -1.148 -0.436  -0.994 -0.385  -0.840 -0.335  -0.682 -0.298  -0.524 -0.261  -0.377 -0.193  -0.232 -0.121  -0.086 -0.050  0.063 0.013  0.206 0.086  0.334 0.186  0.437 0.310  0.532 0.441  0.655 0.546  0.718 0.692  0.732 0.849  0.702 1.008  0.570 1.075  0.407 1.075  0.252 1.049  0.110 0.971  -0.013 0.868  -0.128 0.753  -0.242 0.638  -0.356 0.523  -0.440 0.384  -0.523 0.245  -0.583 0.095  -0.555 -0.063  -0.483 -0.205  -0.395 -0.342  -0.255 -0.423  -0.111 -0.495  0.048 -0.527  0.207 -0.552  0.369 -0.552  0.531 -0.548  0.690 -0.516  0.849 -0.484  1.008 -0.452  1.167 -0.420  1.324 -0.380  1.481 -0.341  1.630 -0.278  1.779 -0.214
2#apb#apb16#app1671/t  -1.212 -1.238  -1.333 -1.193  -1.257 -1.054  -1.101 -0.894  -0.924 -0.759  -0.729 -0.651  -0.548 -0.519  -0.377 -0.376  -0.214 -0.223  -0.059 -0.062  0.092 0.102  0.231 0.278  0.365 0.457  0.495 0.638  0.628 0.818  0.747 1.006  0.824 1.213  0.692 1.106  0.582 0.913  0.454 0.729  0.328 0.544  0.204 0.358  0.081 0.172  -0.034 -0.019  -0.149 -0.211  -0.262 -0.404  -0.368 -0.601  -0.478 -0.795  -0.587 -0.988  -0.596 -1.193  -0.443 -1.039  -0.476 -0.818  -0.509 -0.597  -0.542 -0.376  -0.576 -0.155  -0.609 0.066  -0.642 0.287  -0.639 0.408  -0.470 0.344  -0.252 0.317  -0.029 0.331  0.193 0.359  0.415 0.387  0.636 0.416  0.857 0.449  1.078 0.483  1.300 0.510  1.523 0.528  1.745 0.523  1.943 0.423
2#apb#apb16#app1671/z  -0.966 -0.118  -0.995 -0.088  -1.039 0.029  -1.004 0.182  -0.898 0.339  -0.782 0.489  -0.639 0.615  -0.469 0.700  -0.298 0.785  -0.128 0.870  0.042 0.955  0.214 1.037  0.388 1.115  0.577 1.122  0.750 1.064  0.836 0.902  0.800 0.719  0.706 0.555  0.590 0.406  0.447 0.280  0.289 0.178  0.115 0.100  -0.067 0.043  -0.255 0.028  -0.224 0.177  -0.078 0.293  0.096 0.370  0.276 0.432  0.458 0.488  0.639 0.503  0.806 0.414  0.917 0.260  0.937 0.071  0.926 -0.117  0.889 -0.304  0.813 -0.479  0.733 -0.650  0.586 -0.771  0.438 -0.892  0.270 -0.979  0.098 -1.061  -0.081 -1.124  -0.265 -1.171  -0.450 -1.215  -0.637 -1.254  -0.825 -1.259  -1.010 -1.225  -1.157 -1.110  -1.214 -0.939  -1.156 -0.760
2#apb#apb16#app1671/e  -1.396 -0.466  -1.476 -0.466  -1.495 -0.453  -1.552 -0.466  -1.428 -0.558  -1.277 -0.594  -1.105 -0.547  -0.939 -0.483  -0.773 -0.419  -0.608 -0.353  -0.443 -0.287  -0.284 -0.209  -0.133 -0.115  0.022 -0.028  0.185 0.042  0.332 0.139  0.469 0.252  0.596 0.377  0.719 0.505  0.816 0.650  0.843 0.824  0.809 0.998  0.735 1.158  0.577 1.198  0.426 1.113  0.282 1.010  0.151 0.890  0.022 0.767  -0.104 0.642  -0.211 0.500  -0.318 0.358  -0.426 0.216  -0.535 0.077  -0.616 -0.076  -0.649 -0.251  -0.588 -0.393  -0.441 -0.489  -0.273 -0.548  -0.102 -0.585  0.076 -0.585  0.253 -0.579  0.425 -0.536  0.598 -0.493  0.767 -0.439  0.930 -0.368  1.093 -0.297  1.262 -0.244  1.435 -0.203  1.598 -0.134  1.754 -0.050
2#apb#apb16#app1671/a  0.683 0.219  0.705 0.399  0.725 0.581  0.699 0.754  0.626 0.923  0.444 0.903  0.265 0.863  0.089 0.811  -0.088 0.760  -0.257 0.687  -0.425 0.613  -0.593 0.538  -0.744 0.434  -0.893 0.327  -1.042 0.219  -1.182 0.101  -1.312 -0.029  -1.442 -0.159  -1.522 -0.313  -1.538 -0.496  -1.472 -0.660  -1.310 -0.735  -1.137 -0.797  -0.958 -0.816  -0.774 -0.804  -0.594 -0.777  -0.422 -0.713  -0.250 -0.648  -0.095 -0.553  0.051 -0.441  0.197 -0.328  0.342 -0.215  0.462 -0.082  0.544 0.082  0.626 0.247  0.683 0.417  0.683 0.601  0.687 0.775  0.680 0.618  0.614 0.446  0.566 0.271  0.551 0.087  0.547 -0.096  0.561 -0.279  0.611 -0.447  0.732 -0.586  0.895 -0.652  1.076 -0.683  1.260 -0.683  1.444 -0.683
2#apb#apb16#app1671/l  -1.582 -0.663  -1.689 -0.670  -1.534 -0.636  -1.374 -0.616  -1.214 -0.596  -1.058 -0.563  -0.905 -0.512  -0.754 -0.459  -0.604 -0.400  -0.455 -0.340  -0.306 -0.278  -0.162 -0.210  -0.033 -0.113  0.094 -0.015  0.215 0.092  0.333 0.200  0.444 0.317  0.555 0.434  0.652 0.561  0.749 0.690  0.807 0.839  0.839 0.994  0.820 1.152  0.727 1.264  0.570 1.284  0.420 1.253  0.297 1.150  0.181 1.039  0.078 0.916  -0.025 0.792  -0.120 0.662  -0.213 0.531  -0.295 0.393  -0.362 0.247  -0.415 0.097  -0.429 -0.063  -0.424 -0.222  -0.389 -0.379  -0.283 -0.495  -0.156 -0.592  -0.011 -0.661  0.140 -0.711  0.299 -0.732  0.458 -0.754  0.618 -0.739  0.778 -0.722  0.939 -0.712  1.099 -0.705  1.259 -0.688  1.418 -0.663
