2#apb#apb35#app3595/G  -1.483 -1.475  -1.291 -1.293  -1.120 -1.090  -0.959 -0.878  -0.800 -0.665  -0.640 -0.453  -0.496 -0.229  -0.359 -0.001  -0.226 0.229  -0.093 0.459  0.042 0.689  0.175 0.919  0.308 1.150  0.414 1.393  0.512 1.595  0.353 1.383  0.262 1.135  0.200 0.876  0.152 0.615  0.158 0.350  0.323 0.216  0.548 0.343  0.765 0.495  0.951 0.684  0.976 0.655  0.863 0.414  0.737 0.180  0.655 -0.071  0.564 -0.320  0.512 -0.580  0.550 -0.548  0.602 -0.288  0.602 -0.022  0.535 0.233  0.379 0.442  0.139 0.552  -0.123 0.528  -0.363 0.417  -0.576 0.259  -0.755 0.064  -0.877 -0.169  -0.937 -0.427  -0.910 -0.687  -0.785 -0.913  -0.561 -1.039  -0.302 -1.094  -0.038 -1.113  0.224 -1.065  0.474 -0.980  0.718 -0.873
2#apb#apb35#app3595/i  -1.035 -0.928  -0.907 -0.866  -0.785 -0.787  -0.660 -0.712  -0.544 -0.625  -0.435 -0.529  -0.326 -0.433  -0.217 -0.335  -0.109 -0.238  -0.008 -0.133  0.091 -0.027  0.188 0.082  0.199 0.095  0.106 -0.017  0.014 -0.130  -0.077 -0.244  -0.156 -0.365  -0.232 -0.489  -0.290 -0.622  -0.337 -0.760  -0.337 -0.905  -0.262 -1.027  -0.120 -1.057  0.024 -1.078  0.169 -1.094  0.307 -1.053  0.446 -1.007  0.503 -0.913  0.478 -0.770  0.454 -0.626  0.429 -0.483  0.404 -0.339  0.379 -0.196  0.354 -0.053  0.329 0.091  0.305 0.234  0.280 0.378  0.255 0.521  0.230 0.665  0.205 0.808  0.180 0.951  0.155 1.095  0.131 1.238  0.106 1.382  0.081 1.525  0.056 1.669  0.031 1.812  0.006 1.956  -0.018 2.099  -0.043 2.242
2#apb#apb35#app3595/l  -1.070 -1.181  -0.959 -1.141  -0.847 -1.052  -0.744 -0.950  -0.635 -0.854  -0.525 -0.758  -0.411 -0.668  -0.298 -0.577  -0.195 -0.474  -0.099 -0.366  -0.002 -0.257  0.093 -0.147  0.183 -0.034  0.274 0.080  0.365 0.193  0.445 0.314  0.521 0.438  0.597 0.562  0.669 0.689  0.732 0.820  0.794 0.951  0.831 1.091  0.866 1.232  0.876 1.377  0.799 1.462  0.666 1.403  0.543 1.326  0.433 1.233  0.343 1.120  0.253 1.006  0.178 0.881  0.104 0.756  0.031 0.630  -0.039 0.503  -0.108 0.375  -0.178 0.247  -0.232 0.113  -0.277 -0.025  -0.322 -0.164  -0.367 -0.302  -0.408 -0.441  -0.450 -0.580  -0.488 -0.720  -0.488 -0.865  -0.488 -1.011  -0.433 -1.143  -0.341 -1.244  -0.207 -1.302  -0.064 -1.283  0.080 -1.263
2#apb#apb35#app3595/y  -0.241 1.255  -0.274 1.196  -0.376 1.048  -0.445 0.881  -0.520 0.717  -0.544 0.544  -0.433 0.442  -0.259 0.491  -0.096 0.565  0.049 0.672  0.188 0.788  0.322 0.908  0.439 1.046  0.551 1.188  0.662 1.330  0.653 1.339  0.559 1.186  0.493 1.018  0.446 0.844  0.395 0.670  0.345 0.497  0.300 0.322  0.255 0.147  0.220 -0.031  0.186 -0.208  0.139 -0.382  0.089 -0.556  0.039 -0.730  0.008 -0.908  -0.023 -1.086  -0.058 -1.263  -0.097 -1.439  -0.138 -1.615  -0.219 -1.769  -0.367 -1.716  -0.467 -1.566  -0.544 -1.402  -0.569 -1.225  -0.569 -1.046  -0.528 -0.870  -0.483 -0.695  -0.407 -0.531  -0.330 -0.368  -0.218 -0.226  -0.091 -0.100  0.054 0.008  0.219 0.080  0.388 0.146  0.560 0.196  0.740 0.206
2#apb#apb35#app3595/D  -0.720 0.353  -0.726 0.218  -0.799 0.027  -0.867 -0.165  -0.940 -0.355  -1.025 -0.540  -1.095 -0.732  -1.101 -0.852  -0.970 -0.696  -0.863 -0.523  -0.774 -0.340  -0.683 -0.157  -0.628 -0.054  -0.668 -0.253  -0.673 -0.456  -0.644 -0.657  -0.544 -0.824  -0.361 -0.891  -0.161 -0.869  0.029 -0.798  0.200 -0.694  0.334 -0.540  0.463 -0.382  0.589 -0.222  0.684 -0.041  0.779 0.139  0.859 0.327  0.937 0.515  1.002 0.708  1.057 0.904  1.074 1.106  1.061 1.307  0.976 1.487  0.791 1.523  0.612 1.435  0.459 1.303  0.329 1.146  0.220 0.974  0.118 0.798  0.038 0.611  -0.029 0.418  -0.077 0.222  -0.088 0.018  -0.074 -0.183  -0.021 -0.380  0.074 -0.559  0.188 -0.725  0.358 -0.839  0.549 -0.895  0.751 -0.920
2#apb#apb35#app3595/e  -0.937 -1.154  -0.813 -1.080  -0.674 -1.033  -0.546 -0.963  -0.418 -0.892  -0.307 -0.796  -0.197 -0.700  -0.094 -0.596  -0.004 -0.481  0.087 -0.366  0.202 -0.276  0.317 -0.185  0.414 -0.077  0.499 0.042  0.575 0.166  0.631 0.301  0.687 0.437  0.731 0.576  0.772 0.717  0.799 0.860  0.808 1.006  0.810 1.152  0.788 1.296  0.700 1.404  0.553 1.402  0.415 1.356  0.280 1.300  0.155 1.225  0.029 1.149  -0.050 1.027  -0.129 0.903  -0.208 0.779  -0.281 0.653  -0.348 0.523  -0.416 0.393  -0.484 0.263  -0.515 0.122  -0.530 -0.023  -0.545 -0.169  -0.560 -0.315  -0.540 -0.459  -0.510 -0.602  -0.480 -0.745  -0.418 -0.873  -0.321 -0.982  -0.224 -1.092  -0.115 -1.187  0.011 -1.261  0.137 -1.336  0.263 -1.410
2#apb#apb35#app3595/n  -0.184 1.067  -0.203 0.962  -0.271 0.809  -0.338 0.656  -0.406 0.504  -0.474 0.351  -0.543 0.199  -0.607 0.045  -0.670 -0.110  -0.734 -0.264  -0.809 -0.413  -0.891 -0.559  -0.971 -0.705  -1.046 -0.855  -1.121 -1.004  -1.218 -1.108  -1.095 -1.007  -0.996 -0.873  -0.895 -0.741  -0.781 -0.618  -0.667 -0.496  -0.559 -0.369  -0.452 -0.240  -0.345 -0.112  -0.235 0.014  -0.124 0.139  -0.013 0.263  0.102 0.385  0.220 0.503  0.338 0.621  0.459 0.735  0.593 0.836  0.726 0.936  0.855 1.041  0.984 1.119  1.048 1.005  0.991 0.848  0.968 0.684  0.952 0.517  0.925 0.354  0.862 0.199  0.798 0.045  0.751 -0.115  0.709 -0.277  0.673 -0.440  0.663 -0.606  0.653 -0.773  0.684 -0.937  0.780 -1.059  0.917 -1.155
2#apb#apb35#app3595/t  0.714 1.625  0.690 1.595  0.570 1.440  0.469 1.272  0.368 1.105  0.259 0.942  0.150 0.779  0.034 0.621  -0.082 0.463  -0.190 0.300  -0.290 0.132  -0.390 -0.037  -0.485 -0.209  -0.578 -0.381  -0.655 -0.560  -0.714 -0.747  -0.681 -0.934  -0.554 -1.068  -0.382 -1.154  -0.187 -1.147  0.009 -1.139  0.203 -1.110  0.396 -1.079  0.589 -1.043  0.777 -0.990  0.966 -0.937  1.148 -0.865  1.273 -0.787  1.104 -0.688  0.935 -0.589  0.766 -0.490  0.597 -0.390  0.428 -0.291  0.260 -0.192  0.091 -0.092  -0.078 0.007  -0.247 0.106  -0.416 0.205  -0.585 0.305  -0.754 0.404  -0.923 0.503  -1.092 0.603  -1.122 0.587  -0.929 0.570  -0.733 0.570  -0.537 0.570  -0.341 0.570  -0.146 0.561  0.050 0.548  0.245 0.536
2#apb#apb35#app3595/i  -1.334 -0.906  -1.192 -0.799  -1.053 -0.688  -0.915 -0.575  -0.772 -0.470  -0.628 -0.364  -0.483 -0.261  -0.336 -0.160  -0.205 -0.041  -0.085 0.090  0.036 0.221  0.155 0.353  0.271 0.489  0.317 0.597  0.199 0.493  0.080 0.364  -0.040 0.234  -0.145 0.090  -0.217 -0.071  -0.280 -0.238  -0.305 -0.414  -0.318 -0.590  -0.291 -0.766  -0.219 -0.924  -0.095 -1.050  0.056 -1.134  0.233 -1.146  0.408 -1.130  0.579 -1.081  0.747 -1.021  0.912 -0.955  0.932 -0.831  0.857 -0.669  0.782 -0.508  0.708 -0.346  0.633 -0.184  0.558 -0.023  0.483 0.139  0.408 0.301  0.334 0.462  0.259 0.624  0.184 0.785  0.109 0.947  0.035 1.109  -0.040 1.270  -0.115 1.432  -0.190 1.593  -0.265 1.755  -0.339 1.917  -0.414 2.078
2#apb#apb35#app3595/s  -1.625 -1.112  -1.547 -1.012  -1.466 -0.915  -1.371 -0.830  -1.278 -0.744  -1.191 -0.652  -1.104 -0.560  -1.017 -0.468  -0.928 -0.378  -0.833 -0.293  -0.738 -0.209  -0.643 -0.125  -0.546 -0.044  -0.446 0.034  -0.345 0.111  -0.245 0.189  -0.145 0.267  -0.051 0.352  0.044 0.436  0.138 0.521  0.234 0.604  0.337 0.678  0.440 0.752  0.542 0.827  0.636 0.911  0.726 1.001  0.823 1.080  0.942 1.124  0.976 1.053  0.952 0.929  0.928 0.804  0.905 0.679  0.873 0.557  0.831 0.438  0.788 0.318  0.755 0.196  0.726 0.073  0.697 -0.051  0.642 -0.165  0.585 -0.279  0.525 -0.390  0.460 -0.499  0.378 -0.595  0.287 -0.683  0.182 -0.753  0.064 -0.709  -0.056 -0.676  -0.183 -0.676  -0.281 -0.601  -0.376 -0.517
2#apb#apb35#app3595/t  0.681 1.704  0.602 1.532  0.493 1.373  0.408 1.203  0.327 1.033  0.211 0.881  0.133 0.704  0.050 0.531  -0.046 0.364  -0.131 0.191  -0.210 0.015  -0.292 -0.159  -0.383 -0.329  -0.466 -0.503  -0.522 -0.687  -0.536 -0.878  -0.437 -1.027  -0.290 -1.144  -0.097 -1.154  0.095 -1.162  0.285 -1.130  0.475 -1.099  0.657 -1.042  0.830 -0.956  1.002 -0.870  1.169 -0.773  1.334 -0.673  1.174 -0.594  0.998 -0.515  0.822 -0.437  0.646 -0.358  0.470 -0.280  0.294 -0.201  0.118 -0.123  -0.058 -0.044  -0.234 0.034  -0.410 0.113  -0.586 0.191  -0.762 0.270  -0.938 0.348  -1.114 0.427  -1.290 0.505  -1.224 0.496  -1.032 0.500  -0.842 0.532  -0.652 0.563  -0.463 0.600  -0.274 0.638  -0.085 0.676  0.104 0.713
2#apb#apb35#app3595/r  -1.341 -0.902  -1.260 -0.812  -1.180 -0.722  -1.100 -0.631  -1.023 -0.539  -0.960 -0.436  -0.897 -0.333  -0.834 -0.231  -0.772 -0.128  -0.709 -0.025  -0.646 0.078  -0.575 0.175  -0.493 0.263  -0.412 0.352  -0.330 0.441  -0.249 0.530  -0.168 0.620  -0.090 0.712  -0.013 0.804  0.065 0.896  0.143 0.988  0.221 1.080  0.315 1.155  0.414 1.223  0.522 1.277  0.540 1.185  0.565 1.067  0.578 0.948  0.578 0.828  0.571 0.708  0.551 0.589  0.540 0.469  0.540 0.349  0.540 0.228  0.551 0.108  0.564 -0.011  0.578 -0.131  0.537 -0.244  0.494 -0.357  0.456 -0.471  0.430 -0.589  0.404 -0.707  0.376 -0.824  0.342 -0.940  0.309 -1.056  0.255 -1.163  0.233 -1.279  0.251 -1.397  0.280 -1.514  0.309 -1.631
2#apb#apb35#app3595/y  -0.007 1.384  -0.072 1.276  -0.166 1.191  -0.235 1.084  -0.304 0.977  -0.373 0.870  -0.441 0.763  -0.491 0.646  -0.536 0.528  -0.557 0.403  -0.523 0.285  -0.428 0.214  -0.306 0.212  -0.182 0.241  -0.070 0.300  0.036 0.369  0.135 0.449  0.236 0.526  0.350 0.583  0.458 0.647  0.543 0.742  0.627 0.836  0.702 0.935  0.643 0.931  0.579 0.823  0.527 0.707  0.476 0.590  0.425 0.474  0.397 0.350  0.370 0.226  0.335 0.103  0.299 -0.018  0.263 -0.140  0.231 -0.264  0.199 -0.387  0.167 -0.510  0.131 -0.631  0.094 -0.753  0.057 -0.875  0.016 -0.995  -0.026 -1.115  -0.068 -1.235  -0.124 -1.349  -0.182 -1.462  -0.260 -1.563  -0.341 -1.658  -0.464 -1.687  -0.589 -1.694  -0.715 -1.675  -0.841 -1.656
