2#apb#apb22#app2204/B  0.014 0.693  0.054 0.585  -0.002 0.361  -0.100 0.150  -0.199 -0.061  -0.293 -0.275  -0.391 -0.486  -0.492 -0.696  -0.598 -0.904  -0.704 -1.049  -0.680 -0.817  -0.655 -0.586  -0.631 -0.354  -0.607 -0.122  -0.582 0.110  -0.558 0.342  -0.533 0.574  -0.514 0.805  -0.464 1.012  -0.249 1.089  -0.025 1.155  0.196 1.229  0.428 1.246  0.661 1.250  0.894 1.250  1.096 1.180  0.973 0.998  0.796 0.846  0.598 0.727  0.390 0.620  0.180 0.520  -0.024 0.408  -0.225 0.290  -0.110 0.267  0.113 0.209  0.325 0.114  0.528 -0.001  0.704 -0.154  0.820 -0.346  0.851 -0.570  0.801 -0.798  0.642 -0.969  0.455 -1.104  0.253 -1.219  0.028 -1.280  -0.198 -1.339  -0.431 -1.339  -0.659 -1.312  -0.873 -1.222  -1.002 -1.028
2#apb#apb22#app2204/l  -1.155 -1.179  -1.002 -1.135  -0.863 -1.053  -0.751 -0.934  -0.640 -0.815  -0.531 -0.694  -0.424 -0.571  -0.317 -0.449  -0.217 -0.320  -0.119 -0.189  -0.021 -0.059  0.085 0.064  0.196 0.183  0.308 0.302  0.411 0.429  0.511 0.557  0.607 0.689  0.697 0.824  0.764 0.972  0.826 1.121  0.921 1.254  0.911 1.372  0.795 1.428  0.646 1.361  0.507 1.277  0.369 1.189  0.234 1.098  0.117 0.985  0.006 0.866  -0.104 0.746  -0.208 0.620  -0.311 0.495  -0.403 0.361  -0.470 0.213  -0.536 0.064  -0.585 -0.090  -0.617 -0.250  -0.649 -0.410  -0.601 -0.563  -0.544 -0.716  -0.442 -0.838  -0.322 -0.948  -0.170 -0.997  -0.011 -1.031  0.147 -1.037  0.300 -0.980  0.453 -0.924  0.596 -0.848  0.735 -0.763  0.874 -0.678
2#apb#apb22#app2204/e  -1.786 -0.715  -1.636 -0.715  -1.487 -0.715  -1.340 -0.707  -1.209 -0.634  -1.079 -0.562  -0.949 -0.487  -0.829 -0.399  -0.708 -0.312  -0.587 -0.224  -0.464 -0.140  -0.330 -0.073  -0.197 -0.007  -0.063 0.060  0.049 0.158  0.161 0.258  0.273 0.357  0.381 0.459  0.487 0.565  0.591 0.671  0.665 0.801  0.740 0.930  0.787 1.071  0.781 1.214  0.673 1.270  0.543 1.196  0.414 1.122  0.305 1.022  0.206 0.910  0.106 0.799  0.012 0.684  -0.065 0.556  -0.142 0.427  -0.219 0.299  -0.245 0.154  -0.262 0.006  -0.263 -0.141  -0.211 -0.280  -0.158 -0.420  -0.050 -0.513  0.079 -0.590  0.207 -0.667  0.341 -0.727  0.487 -0.761  0.632 -0.794  0.778 -0.828  0.924 -0.857  1.071 -0.882  1.219 -0.906  1.366 -0.931
2#apb#apb22#app2204/s  -1.325 -0.422  -1.188 -0.316  -1.072 -0.187  -0.956 -0.059  -0.840 0.070  -0.723 0.198  -0.607 0.326  -0.492 0.456  -0.378 0.586  -0.251 0.703  -0.120 0.817  0.030 0.901  0.125 0.976  0.238 0.883  0.254 0.713  0.217 0.544  0.151 0.386  0.059 0.239  -0.008 0.081  -0.063 -0.083  -0.138 -0.239  -0.245 -0.373  -0.377 -0.484  -0.539 -0.519  -0.699 -0.480  -0.838 -0.376  -0.968 -0.263  -1.090 -0.141  -1.156 -0.131  -1.018 -0.235  -0.855 -0.293  -0.692 -0.351  -0.526 -0.402  -0.357 -0.437  -0.188 -0.473  -0.018 -0.509  0.150 -0.487  0.318 -0.443  0.485 -0.399  0.653 -0.356  0.817 -0.303  0.975 -0.231  1.132 -0.159  1.290 -0.087  1.447 -0.015  1.598 0.069  1.737 0.172  1.876 0.275  2.016 0.378  2.155 0.480
2#apb#apb22#app2204/S  -1.020 -1.092  -0.910 -0.982  -0.814 -0.858  -0.719 -0.734  -0.620 -0.613  -0.520 -0.493  -0.423 -0.370  -0.328 -0.246  -0.234 -0.121  -0.139 0.003  -0.051 0.132  0.036 0.262  0.123 0.392  0.209 0.522  0.291 0.655  0.372 0.789  0.454 0.922  0.536 1.055  0.619 1.187  0.689 1.326  0.760 1.463  0.828 1.550  0.756 1.411  0.680 1.275  0.633 1.125  0.596 0.974  0.572 0.820  0.549 0.665  0.524 0.511  0.498 0.357  0.473 0.202  0.455 0.047  0.437 -0.108  0.419 -0.263  0.378 -0.414  0.337 -0.565  0.286 -0.712  0.216 -0.852  0.131 -0.981  0.024 -1.091  -0.130 -1.069  -0.280 -1.030  -0.421 -0.962  -0.562 -0.895  -0.695 -0.815  -0.815 -0.714  -0.934 -0.614  -1.028 -0.494  -1.089 -0.350  -1.149 -0.206
2#apb#apb22#app2204/a  0.165 0.021  0.349 0.100  0.506 0.226  0.666 0.348  0.781 0.502  0.845 0.694  0.895 0.889  0.832 1.078  0.742 1.259  0.591 1.320  0.394 1.283  0.208 1.203  0.030 1.113  -0.128 0.987  -0.285 0.861  -0.439 0.731  -0.572 0.580  -0.704 0.428  -0.838 0.277  -0.972 0.126  -1.105 -0.024  -1.204 -0.198  -1.283 -0.383  -1.275 -0.580  -1.238 -0.776  -1.110 -0.926  -0.930 -1.016  -0.747 -1.002  -0.563 -0.920  -0.392 -0.821  -0.269 -0.662  -0.145 -0.503  -0.019 -0.346  0.110 -0.191  0.211 -0.019  0.290 0.166  0.347 0.359  0.371 0.509  0.319 0.425  0.312 0.225  0.312 0.024  0.303 -0.177  0.270 -0.376  0.281 -0.576  0.303 -0.776  0.397 -0.942  0.552 -1.062  0.748 -1.107  0.945 -1.153  1.141 -1.198
2#apb#apb22#app2204/n  -1.165 -0.351  -1.241 -0.459  -1.296 -0.580  -1.361 -0.614  -1.302 -0.511  -1.190 -0.436  -1.122 -0.317  -1.051 -0.201  -0.962 -0.097  -0.873 0.006  -0.811 0.128  -0.750 0.250  -0.684 0.370  -0.609 0.484  -0.533 0.597  -0.435 0.691  -0.322 0.760  -0.250 0.670  -0.250 0.533  -0.267 0.399  -0.300 0.266  -0.339 0.135  -0.382 0.005  -0.401 -0.130  -0.428 -0.263  -0.414 -0.319  -0.317 -0.222  -0.221 -0.126  -0.124 -0.029  -0.035 0.075  0.048 0.182  0.132 0.290  0.254 0.347  0.346 0.373  0.422 0.269  0.459 0.138  0.520 0.016  0.588 -0.103  0.690 -0.191  0.799 -0.273  0.920 -0.309  1.055 -0.288  1.190 -0.266  1.325 -0.245  1.460 -0.224  1.589 -0.181  1.717 -0.134  1.846 -0.086  1.974 -0.039  2.102 0.008
2#apb#apb22#app2204/t  -0.859 -1.188  -0.817 -0.990  -0.747 -0.740  -0.619 -0.512  -0.492 -0.283  -0.367 -0.053  -0.242 0.176  -0.118 0.406  0.007 0.636  0.141 0.860  0.276 1.085  0.432 1.294  0.540 1.529  0.538 1.489  0.413 1.262  0.257 1.052  0.131 0.824  0.024 0.586  -0.106 0.359  -0.212 0.121  -0.314 -0.121  -0.400 -0.367  -0.476 -0.616  -0.502 -0.877  -0.493 -1.135  -0.388 -1.351  -0.147 -1.454  0.105 -1.400  0.358 -1.334  0.581 -1.201  0.798 -1.055  1.019 -0.915  1.237 -0.776  1.013 -0.640  0.790 -0.504  0.567 -0.368  0.343 -0.233  0.120 -0.097  -0.104 0.039  -0.327 0.175  -0.550 0.311  -0.774 0.447  -0.964 0.595  -0.733 0.637  -0.472 0.649  -0.213 0.685  0.046 0.721  0.306 0.741  0.567 0.757  0.828 0.773
2#apb#apb22#app2204/a  -0.106 -0.252  0.040 -0.143  0.173 -0.018  0.302 0.111  0.401 0.257  0.452 0.433  0.506 0.607  0.556 0.779  0.474 0.942  0.313 1.026  0.150 1.108  -0.012 1.147  -0.170 1.056  -0.327 0.964  -0.482 0.867  -0.637 0.771  -0.775 0.652  -0.914 0.534  -1.010 0.382  -1.092 0.219  -1.173 0.055  -1.225 -0.119  -1.278 -0.294  -1.277 -0.468  -1.220 -0.641  -1.128 -0.798  -0.990 -0.887  -0.809 -0.913  -0.651 -0.838  -0.500 -0.737  -0.350 -0.632  -0.215 -0.510  -0.079 -0.388  0.056 -0.266  0.150 -0.111  0.239 0.048  0.325 0.209  0.383 0.361  0.408 0.182  0.452 0.005  0.503 -0.170  0.561 -0.343  0.646 -0.489  0.817 -0.552  0.989 -0.614  1.161 -0.628  1.333 -0.567  1.505 -0.507  1.677 -0.446  1.849 -0.385
2#apb#apb22#app2204/C  0.430 1.170  0.430 1.045  0.385 0.928  0.336 0.814  0.280 0.702  0.253 0.581  0.234 0.458  0.225 0.334  0.293 0.433  0.350 0.544  0.406 0.656  0.472 0.762  0.539 0.867  0.568 0.989  0.535 1.098  0.418 1.114  0.300 1.082  0.185 1.033  0.078 0.971  -0.016 0.889  -0.110 0.806  -0.202 0.721  -0.283 0.626  -0.363 0.531  -0.444 0.436  -0.515 0.334  -0.561 0.218  -0.608 0.102  -0.654 -0.014  -0.689 -0.132  -0.694 -0.257  -0.700 -0.382  -0.705 -0.507  -0.675 -0.627  -0.639 -0.747  -0.602 -0.866  -0.553 -0.978  -0.467 -1.070  -0.382 -1.161  -0.296 -1.252  -0.176 -1.288  -0.057 -1.324  0.063 -1.360  0.184 -1.337  0.305 -1.306  0.426 -1.276  0.528 -1.207  0.626 -1.128  0.724 -1.050  0.821 -0.972
2#apb#apb22#app2204/r  -1.485 -0.233  -1.387 -0.291  -1.330 -0.363  -1.236 -0.277  -1.145 -0.186  -1.054 -0.094  -0.968 0.003  -0.882 0.099  -0.797 0.197  -0.725 0.304  -0.653 0.412  -0.582 0.519  -0.504 0.622  -0.417 0.718  -0.331 0.814  -0.244 0.910  -0.153 1.002  -0.073 1.100  0.000 1.145  0.109 1.075  0.113 0.948  0.106 0.820  0.071 0.695  0.035 0.571  -0.003 0.447  -0.040 0.324  -0.064 0.197  -0.084 0.069  -0.104 -0.059  -0.119 -0.187  -0.129 -0.316  -0.139 -0.445  -0.141 -0.572  -0.083 -0.688  0.003 -0.769  0.127 -0.803  0.252 -0.837  0.376 -0.832  0.500 -0.795  0.624 -0.758  0.748 -0.720  0.871 -0.683  0.991 -0.637  1.098 -0.565  1.206 -0.493  1.313 -0.422  1.421 -0.350  1.528 -0.278  1.636 -0.206  1.744 -0.135
2#apb#apb22#app2204/u  -1.516 -0.499  -1.375 -0.530  -1.284 -0.390  -1.194 -0.247  -1.103 -0.105  -1.014 0.038  -0.939 0.189  -0.863 0.340  -0.788 0.491  -0.702 0.635  -0.583 0.754  -0.470 0.867  -0.574 0.737  -0.640 0.582  -0.727 0.438  -0.813 0.293  -0.889 0.142  -0.962 -0.009  -0.962 -0.178  -0.909 -0.338  -0.763 -0.413  -0.601 -0.426  -0.434 -0.403  -0.269 -0.372  -0.116 -0.300  0.036 -0.229  0.187 -0.153  0.332 -0.066  0.476 0.021  0.611 0.119  0.718 0.250  0.824 0.380  0.912 0.524  0.987 0.675  1.035 0.743  0.960 0.593  0.877 0.446  0.796 0.297  0.714 0.150  0.625 0.007  0.561 -0.147  0.530 -0.310  0.605 -0.455  0.749 -0.545  0.905 -0.592  1.074 -0.602  1.242 -0.613  1.410 -0.607  1.579 -0.597  1.747 -0.586
2#apb#apb22#app2204/z  -0.621 0.734  -0.608 0.692  -0.505 0.773  -0.396 0.841  -0.297 0.929  -0.187 1.006  -0.078 1.084  0.030 1.164  0.140 1.241  0.265 1.287  0.396 1.271  0.458 1.166  0.438 1.034  0.364 0.926  0.271 0.830  0.161 0.753  0.052 0.675  -0.061 0.602  -0.156 0.534  -0.024 0.549  0.110 0.549  0.239 0.519  0.356 0.457  0.460 0.372  0.547 0.271  0.628 0.163  0.667 0.035  0.679 -0.095  0.654 -0.227  0.629 -0.359  0.565 -0.477  0.500 -0.594  0.428 -0.707  0.341 -0.809  0.255 -0.912  0.156 -1.002  0.047 -1.080  -0.063 -1.157  -0.175 -1.230  -0.304 -1.266  -0.434 -1.302  -0.564 -1.333  -0.698 -1.333  -0.806 -1.278  -0.814 -1.158  -0.778 -1.028  -0.712 -0.917  -0.615 -0.824  -0.518 -0.732  -0.421 -0.639
