3#app#app12#app1242/b  -0.571 1.994  -0.571 1.810  -0.571 1.626  -0.571 1.443  -0.571 1.259  -0.571 1.075  -0.500 0.921  -0.460 0.754  -0.460 0.570  -0.460 0.386  -0.460 0.203  -0.460 0.019  -0.440 -0.160  -0.358 -0.325  -0.348 -0.506  -0.348 -0.690  -0.348 -0.874  -0.348 -1.057  -0.348 -1.230  -0.348 -1.046  -0.348 -0.863  -0.348 -0.679  -0.348 -0.495  -0.325 -0.321  -0.237 -0.174  -0.237 0.010  -0.237 0.194  -0.237 0.378  -0.222 0.546  -0.125 0.634  0.034 0.658  0.218 0.658  0.402 0.658  0.541 0.548  0.704 0.465  0.847 0.353  0.977 0.223  1.100 0.090  1.100 -0.093  1.100 -0.277  1.017 -0.427  0.957 -0.567  0.877 -0.671  0.753 -0.803  0.610 -0.902  0.438 -0.954  0.268 -1.013  0.121 -1.101  -0.053 -1.124  -0.237 -1.124
3#app#app12#app1242/i  -0.329 1.418  -0.257 1.418  -0.186 1.418  -0.115 1.418  -0.043 1.418  0.021 1.411  0.021 1.340  0.021 1.268  0.021 1.197  0.021 1.126  0.021 1.055  0.021 0.983  0.021 0.912  0.021 0.841  0.021 0.769  0.021 0.698  0.021 0.627  0.021 0.555  0.021 0.484  0.021 0.413  0.021 0.342  0.021 0.270  0.021 0.199  0.021 0.128  0.021 0.056  0.021 -0.015  0.021 -0.086  0.021 -0.158  0.021 -0.229  0.021 -0.300  0.021 -0.371  0.021 -0.443  0.021 -0.514  0.021 -0.585  0.021 -0.657  0.021 -0.728  0.021 -0.799  0.021 -0.871  0.021 -0.942  0.021 -1.013  0.021 -1.084  0.021 -1.156  0.021 -1.227  0.021 -1.298  0.021 -1.370  0.021 -1.441  0.021 -1.512  0.021 -1.584  0.021 -1.655  0.021 -1.726
3#app#app12#app1242/n  -0.857 1.407  -0.857 1.238  -0.857 1.068  -0.806 0.920  -0.686 0.800  -0.638 0.650  -0.638 0.480  -0.638 0.310  -0.638 0.140  -0.638 -0.029  -0.638 -0.199  -0.638 -0.369  -0.638 -0.538  -0.638 -0.708  -0.638 -0.878  -0.638 -1.047  -0.638 -1.217  -0.638 -1.387  -0.550 -1.343  -0.430 -1.223  -0.420 -1.058  -0.345 -0.920  -0.225 -0.800  -0.202 -0.639  -0.113 -0.558  0.017 -0.518  0.017 -0.349  0.017 -0.179  0.017 -0.009  0.017 0.160  0.031 0.315  0.201 0.315  0.235 0.451  0.235 0.621  0.273 0.752  0.443 0.752  0.454 0.911  0.564 0.971  0.672 0.909  0.681 0.743  0.801 0.623  0.890 0.491  0.890 0.321  1.006 0.199  1.109 0.072  1.109 -0.098  1.109 -0.267  1.206 -0.340  1.327 -0.388  1.327 -0.558
3#app#app12#app1242/d  0.147 1.843  0.147 1.712  0.147 1.582  0.147 1.452  0.237 1.359  0.278 1.246  0.278 1.116  0.278 0.986  0.309 0.863  0.367 0.747  0.409 0.627  0.409 0.497  0.409 0.367  0.432 0.246  0.524 0.154  0.540 0.031  0.616 -0.068  0.672 -0.175  0.721 -0.256  0.803 -0.207  0.755 -0.124  0.672 -0.078  0.639 0.039  0.547 0.131  0.455 0.223  0.344 0.269  0.214 0.269  0.084 0.269  0.016 0.207  -0.045 0.138  -0.158 0.096  -0.250 0.004  -0.341 -0.088  -0.433 -0.180  -0.525 -0.272  -0.617 -0.364  -0.709 -0.456  -0.771 -0.561  -0.790 -0.687  -0.848 -0.803  -0.902 -0.920  -0.902 -1.051  -0.895 -1.173  -0.771 -1.180  -0.766 -1.305  -0.636 -1.305  -0.505 -1.305  -0.375 -1.305  -0.245 -1.305  -0.115 -1.305
3#app#app12#app1242/g  0.270 1.096  0.390 1.021  0.255 1.081  0.103 0.929  -0.082 0.856  -0.236 0.710  -0.388 0.557  -0.540 0.405  -0.608 0.218  -0.690 0.037  -0.690 -0.178  -0.535 -0.189  -0.355 -0.104  -0.160 -0.019  -0.073 0.136  0.109 0.215  0.270 0.293  0.150 0.363  0.074 0.180  -0.078 0.028  -0.231 -0.125  -0.330 -0.299  -0.450 -0.394  -0.552 -0.566  -0.570 -0.774  -0.687 -0.941  -0.690 -1.155  -0.690 -1.370  -0.576 -1.538  -0.363 -1.544  -0.148 -1.544  0.030 -1.507  0.162 -1.424  0.282 -1.317  0.307 -1.103  0.332 -0.890  0.356 -0.676  0.381 -0.462  0.406 -0.248  0.430 -0.035  0.455 0.179  0.480 0.393  0.504 0.607  0.529 0.820  0.554 1.034  0.578 1.248  0.603 1.461  0.627 1.675  0.577 1.523  0.510 1.336
3#app#app12#app1242/o  0.397 1.209  0.267 1.209  0.137 1.209  0.015 1.189  -0.077 1.097  -0.147 0.996  -0.147 0.866  -0.257 0.846  -0.370 0.805  -0.462 0.713  -0.509 0.603  -0.517 0.476  -0.609 0.384  -0.701 0.292  -0.793 0.200  -0.872 0.103  -0.872 -0.027  -0.872 -0.157  -0.872 -0.287  -0.872 -0.417  -0.872 -0.547  -0.872 -0.677  -0.872 -0.807  -0.872 -0.937  -0.771 -0.966  -0.641 -0.966  -0.511 -0.966  -0.381 -0.966  -0.251 -0.966  -0.129 -0.948  -0.037 -0.856  0.064 -0.785  0.194 -0.785  0.324 -0.785  0.437 -0.745  0.529 -0.653  0.578 -0.543  0.585 -0.416  0.677 -0.324  0.768 -0.232  0.860 -0.140  0.941 -0.044  0.941 0.086  1.008 0.189  1.100 0.280  1.122 0.401  1.122 0.531  1.122 0.661  1.033 0.754  0.941 0.846
3#app#app12#app1242/t  -0.147 2.122  -0.147 1.972  -0.147 1.823  -0.147 1.673  -0.147 1.524  -0.141 1.376  -0.074 1.242  -0.008 1.108  -0.001 0.960  -0.001 0.811  -0.001 0.661  -0.001 0.512  -0.001 0.362  -0.000 0.213  0.067 0.079  0.133 -0.055  0.146 -0.201  0.146 -0.351  0.186 -0.493  0.233 -0.635  0.281 -0.777  0.342 -0.913  0.409 -1.047  0.440 -1.189  0.499 -1.314  0.586 -1.427  0.568 -1.525  0.473 -1.409  0.379 -1.293  0.284 -1.178  0.189 -1.062  0.095 -0.946  -0.000 -0.831  -0.095 -0.715  -0.189 -0.599  -0.284 -0.484  -0.379 -0.368  -0.473 -0.252  -0.568 -0.136  -0.663 -0.021  -0.698 0.067  -0.588 0.106  -0.546 0.214  -0.410 0.245  -0.304 0.351  -0.158 0.360  -0.009 0.360  0.141 0.360  0.290 0.360  0.440 0.360
3#app#app12#app1242/d  -0.096 2.040  -0.096 1.879  -0.053 1.735  0.035 1.609  0.035 1.448  0.035 1.286  0.126 1.162  0.166 1.017  0.166 0.855  0.166 0.693  0.212 0.550  0.298 0.424  0.298 0.262  0.298 0.100  0.357 -0.048  0.429 -0.192  0.480 -0.346  0.531 -0.499  0.610 -0.636  0.692 -0.764  0.768 -0.849  0.823 -0.742  0.823 -0.580  0.797 -0.429  0.692 -0.311  0.692 -0.149  0.618 -0.061  0.560 0.043  0.426 0.070  0.274 0.094  0.157 0.202  -0.005 0.202  -0.167 0.202  -0.328 0.202  -0.359 0.070  -0.512 0.049  -0.626 -0.066  -0.741 -0.180  -0.766 -0.324  -0.884 -0.367  -0.917 -0.521  -0.990 -0.666  -1.016 -0.822  -1.013 -0.983  -0.899 -1.097  -0.743 -1.112  -0.582 -1.112  -0.420 -1.112  -0.258 -1.112  -0.096 -1.112
3#app#app12#app1242/o  -0.394 0.946  -0.482 0.859  -0.570 0.771  -0.572 0.648  -0.638 0.590  -0.750 0.578  -0.750 0.454  -0.750 0.330  -0.770 0.215  -0.858 0.127  -0.928 0.032  -0.928 -0.092  -0.928 -0.216  -0.899 -0.328  -0.812 -0.416  -0.750 -0.514  -0.750 -0.638  -0.750 -0.762  -0.713 -0.870  -0.625 -0.958  -0.523 -1.011  -0.399 -1.011  -0.275 -1.011  -0.151 -1.011  -0.027 -1.011  0.097 -1.011  0.197 -0.953  0.284 -0.866  0.352 -0.764  0.407 -0.653  0.463 -0.542  0.532 -0.441  0.619 -0.353  0.673 -0.252  0.673 -0.128  0.673 -0.004  0.737 0.057  0.851 0.066  0.851 0.190  0.851 0.314  0.851 0.438  0.851 0.562  0.851 0.686  0.851 0.810  0.851 0.934  0.772 1.025  0.685 1.113  0.673 1.232  0.673 1.356  0.673 1.480
3#app#app12#app1242/w  -0.974 1.458  -0.974 1.297  -0.974 1.136  -0.974 0.975  -0.974 0.814  -0.974 0.653  -0.974 0.491  -0.974 0.330  -0.974 0.169  -0.974 0.008  -0.974 -0.153  -0.974 -0.314  -0.939 -0.461  -0.825 -0.575  -0.681 -0.614  -0.520 -0.614  -0.409 -0.564  -0.393 -0.410  -0.279 -0.296  -0.165 -0.182  -0.051 -0.068  -0.032 0.085  -0.032 0.247  -0.032 0.408  0.005 0.553  0.119 0.667  0.156 0.813  0.156 0.812  0.156 0.651  0.156 0.490  0.156 0.328  0.156 0.167  0.156 0.006  0.156 -0.155  0.156 -0.316  0.156 -0.477  0.180 -0.614  0.341 -0.614  0.456 -0.726  0.586 -0.803  0.747 -0.803  0.908 -0.803  1.022 -0.691  1.136 -0.577  1.250 -0.463  1.396 -0.426  1.475 -0.344  1.530 -0.238  1.664 -0.210  1.664 -0.049
3#app#app12#app1242/n  -1.057 1.131  -1.057 0.980  -0.964 0.921  -0.848 0.887  -0.848 0.735  -0.848 0.584  -0.848 0.433  -0.848 0.281  -0.848 0.130  -0.848 -0.022  -0.848 -0.173  -0.848 -0.324  -0.786 -0.461  -0.718 -0.596  -0.650 -0.732  -0.638 -0.880  -0.572 -0.966  -0.428 -0.958  -0.428 -0.807  -0.357 -0.685  -0.250 -0.578  -0.219 -0.440  -0.219 -0.288  -0.219 -0.137  -0.219 0.014  -0.160 0.141  -0.053 0.248  -0.009 0.382  0.013 0.524  0.120 0.631  0.201 0.749  0.201 0.900  0.331 0.921  0.410 0.849  0.420 0.702  0.527 0.595  0.620 0.482  0.620 0.331  0.620 0.179  0.659 0.044  0.766 -0.063  0.873 -0.170  0.980 -0.277  1.069 -0.397  1.137 -0.532  1.205 -0.667  1.286 -0.793  1.393 -0.900  1.517 -0.966  1.668 -0.966
