2#tos#f3#f3007066/$  0.741 0.545  0.806 0.485  0.760 0.734  0.592 0.856  0.347 0.902  0.097 0.842  -0.137 0.740  -0.348 0.591  -0.466 0.405  -0.546 0.167  -0.450 -0.043  -0.213 -0.136  0.034 -0.222  0.290 -0.242  0.488 -0.337  0.639 -0.514  0.676 -0.772  0.676 -1.037  0.548 -1.174  0.297 -1.206  0.033 -1.206  -0.222 -1.183  -0.418 -1.022  -0.595 -0.876  -0.751 -0.724  -0.743 -0.539  -0.644 -0.293  -0.545 -0.048  -0.446 0.197  -0.348 0.443  -0.249 0.688  -0.150 0.934  -0.051 1.179  0.048 1.425  0.146 1.670  0.073 1.745  0.060 1.494  0.060 1.229  0.040 0.967  0.028 0.703  0.028 0.439  0.028 0.174  0.028 -0.090  0.028 -0.355  0.028 -0.620  0.028 -0.884  -0.048 -1.131  -0.070 -1.390  -0.070 -1.655  -0.135 -1.855
2#tos#f3#f3007066/S  0.828 0.494  0.828 0.598  0.865 0.718  0.865 0.875  0.853 1.027  0.728 1.120  0.634 1.240  0.482 1.275  0.325 1.275  0.167 1.275  0.048 1.238  -0.110 1.238  -0.231 1.168  -0.341 1.066  -0.400 0.927  -0.400 0.770  -0.367 0.618  -0.271 0.497  -0.190 0.366  -0.102 0.256  -0.033 0.127  0.115 0.101  0.195 -0.014  0.315 -0.107  0.441 -0.199  0.552 -0.310  0.567 -0.461  0.679 -0.557  0.679 -0.714  0.635 -0.853  0.567 -0.988  0.442 -1.066  0.313 -1.144  0.156 -1.144  -0.001 -1.144  -0.139 -1.088  -0.214 -0.992  -0.316 -0.889  -0.418 -0.793  -0.485 -0.654  -0.588 -0.546  -0.658 -0.405  -0.661 -0.249  -0.694 -0.172  -0.786 -0.278  -0.843 -0.425  -0.934 -0.548  -0.983 -0.697  -1.044 -0.842  -1.070 -0.995
2#tos#f3#f3007066/X  -1.170 1.228  -1.209 1.086  -1.089 0.957  -0.957 0.851  -0.898 0.708  -0.761 0.596  -0.652 0.457  -0.526 0.331  -0.401 0.206  -0.275 0.080  -0.217 -0.082  -0.078 -0.192  0.028 -0.334  0.141 -0.468  0.285 -0.572  0.442 -0.652  0.537 -0.768  0.679 -0.870  0.816 -0.936  0.874 -1.083  0.922 -0.956  0.919 -0.779  0.915 -0.601  0.912 -0.424  0.909 -0.246  0.905 -0.068  0.902 0.109  0.899 0.287  0.896 0.464  0.892 0.642  0.889 0.819  0.759 0.867  0.689 0.975  0.548 0.888  0.405 0.786  0.275 0.670  0.160 0.536  0.019 0.430  -0.088 0.288  -0.214 0.163  -0.377 0.105  -0.447 -0.058  -0.538 -0.208  -0.651 -0.345  -0.759 -0.486  -0.842 -0.643  -0.967 -0.767  -1.077 -0.892  -1.181 -1.016  -1.243 -1.083
2#tos#f3#f3007066/Z  -0.168 1.408  -0.374 1.325  -0.615 1.258  -0.593 1.258  -0.339 1.258  -0.085 1.258  0.169 1.258  0.408 1.195  0.658 1.181  0.829 1.086  0.958 0.951  0.845 0.737  0.694 0.556  0.512 0.383  0.334 0.209  0.210 -0.012  -0.001 -0.096  -0.215 -0.200  -0.386 -0.379  -0.589 -0.531  -0.813 -0.633  -0.980 -0.794  -1.170 -0.935  -1.204 -0.994  -0.950 -0.994  -0.696 -0.994  -0.442 -0.994  -0.188 -0.994  0.064 -1.022  0.317 -1.032  0.571 -1.032  0.825 -1.032  0.809 -0.918  0.632 -0.735  0.455 -0.553  0.278 -0.371  0.101 -0.189  -0.076 -0.007  -0.253 0.175  -0.446 0.319  -0.700 0.319  -0.737 0.304  -0.526 0.169  -0.276 0.140  -0.054 0.018  0.173 -0.095  0.402 -0.192  0.636 -0.286  0.885 -0.319  1.108 -0.431
2#tos#f3#f3007066/b  -0.251 2.056  -0.367 2.103  -0.309 1.941  -0.309 1.754  -0.309 1.568  -0.309 1.382  -0.309 1.195  -0.309 1.009  -0.309 0.823  -0.309 0.636  -0.309 0.450  -0.309 0.264  -0.309 0.077  -0.309 -0.109  -0.309 -0.295  -0.309 -0.482  -0.309 -0.668  -0.309 -0.854  -0.142 -0.920  -0.107 -1.094  0.017 -1.215  0.002 -1.058  -0.043 -0.877  -0.088 -0.697  -0.133 -0.516  -0.305 -0.474  -0.454 -0.362  -0.484 -0.191  -0.535 -0.012  -0.511 0.160  -0.360 0.245  -0.196 0.299  -0.036 0.362  0.150 0.362  0.337 0.362  0.523 0.362  0.647 0.277  0.828 0.245  0.918 0.148  0.918 -0.038  0.918 -0.224  0.826 -0.373  0.801 -0.549  0.711 -0.708  0.563 -0.812  0.460 -0.967  0.299 -1.057  0.122 -1.098  0.053 -1.215  -0.134 -1.215
2#tos#f3#f3007066/d  0.183 -0.151  0.183 0.058  0.095 0.203  -0.076 0.242  -0.250 0.207  -0.328 0.076  -0.453 -0.056  -0.569 -0.212  -0.682 -0.352  -0.735 -0.545  -0.761 -0.747  -0.761 -0.957  -0.643 -1.101  -0.594 -1.296  -0.393 -1.331  -0.186 -1.319  -0.068 -1.173  0.050 -1.062  0.085 -0.856  0.111 -0.648  0.137 -0.440  0.163 -0.232  0.189 -0.024  0.215 0.184  0.241 0.392  0.267 0.600  0.293 0.807  0.319 1.015  0.345 1.223  0.371 1.431  0.397 1.639  0.419 1.847  0.216 1.854  0.144 1.688  0.144 1.478  0.120 1.272  0.084 1.068  0.065 0.861  0.065 0.651  0.065 0.442  0.065 0.232  0.065 0.022  0.065 -0.187  0.065 -0.397  0.065 -0.606  0.144 -0.783  0.144 -0.993  0.222 -1.170  0.286 -1.366  0.419 -1.488
2#tos#f3#f3007066/g  0.299 0.668  0.354 0.740  0.454 0.901  0.454 1.093  0.420 1.277  0.287 1.414  0.145 1.479  -0.047 1.479  -0.227 1.429  -0.329 1.300  -0.435 1.174  -0.512 1.006  -0.512 0.814  -0.501 0.623  -0.434 0.475  -0.250 0.440  -0.107 0.359  0.084 0.359  0.260 0.397  0.416 0.479  0.454 0.665  0.407 0.651  0.376 0.467  0.301 0.321  0.299 0.131  0.299 -0.061  0.299 -0.252  0.260 -0.428  0.260 -0.620  0.260 -0.812  0.260 -1.003  0.260 -1.195  0.214 -1.373  0.106 -1.478  -0.029 -1.535  -0.221 -1.535  -0.410 -1.525  -0.551 -1.404  -0.628 -1.267  -0.706 -1.107  -0.706 -0.915  -0.668 -0.728  -0.580 -0.559  -0.427 -0.444  -0.270 -0.340  -0.095 -0.263  0.096 -0.259  0.288 -0.259  0.427 -0.367  0.608 -0.414
2#tos#f3#f3007066/k  -0.153 1.957  -0.243 2.084  -0.288 1.928  -0.288 1.738  -0.288 1.547  -0.303 1.358  -0.330 1.169  -0.333 0.979  -0.333 0.788  -0.346 0.599  -0.369 0.410  -0.402 0.222  -0.423 0.034  -0.423 -0.157  -0.423 -0.347  -0.474 -0.526  -0.538 -0.704  -0.558 -0.892  -0.558 -1.082  -0.558 -1.273  -0.558 -1.463  -0.491 -1.463  -0.372 -1.314  -0.254 -1.165  -0.135 -1.016  -0.017 -0.866  0.102 -0.717  0.220 -0.568  0.339 -0.419  0.458 -0.270  0.576 -0.121  0.695 0.028  0.813 0.177  0.932 0.326  1.002 0.385  0.817 0.349  0.636 0.308  0.462 0.231  0.276 0.205  0.103 0.131  -0.073 0.071  -0.219 0.026  -0.191 -0.005  -0.117 -0.154  0.073 -0.155  0.244 -0.240  0.327 -0.403  0.489 -0.498  0.660 -0.583  0.835 -0.648
2#tos#f3#f3007066/n  -0.458 1.238  -0.527 1.141  -0.527 0.974  -0.535 0.810  -0.596 0.658  -0.596 0.492  -0.596 0.325  -0.632 0.165  -0.665 0.004  -0.665 -0.162  -0.665 -0.329  -0.665 -0.495  -0.665 -0.661  -0.760 -0.788  -0.803 -0.937  -0.803 -1.103  -0.803 -0.947  -0.803 -0.781  -0.737 -0.630  -0.665 -0.481  -0.641 -0.324  -0.571 -0.180  -0.531 -0.018  -0.392 0.064  -0.389 0.229  -0.303 0.359  -0.173 0.462  -0.044 0.560  -0.007 0.699  0.151 0.751  0.232 0.893  0.366 0.984  0.524 1.031  0.646 0.986  0.646 0.819  0.646 0.653  0.646 0.487  0.646 0.321  0.646 0.154  0.646 -0.012  0.679 -0.173  0.738 -0.328  0.804 -0.480  0.853 -0.639  0.882 -0.793  1.000 -0.910  1.141 -0.970  1.279 -1.039  1.445 -1.039  1.612 -1.039
2#tos#f3#f3007066/o  0.457 0.669  0.310 0.669  0.291 0.796  0.184 0.835  0.069 0.867  0.022 0.993  -0.121 1.001  -0.267 1.001  -0.413 1.001  -0.502 0.937  -0.594 0.848  -0.650 0.724  -0.714 0.605  -0.816 0.501  -0.816 0.355  -0.856 0.215  -0.885 0.074  -0.926 -0.066  -0.926 -0.212  -0.926 -0.358  -0.926 -0.505  -0.900 -0.643  -0.819 -0.764  -0.739 -0.862  -0.705 -0.987  -0.561 -0.990  -0.452 -1.078  -0.315 -1.101  -0.169 -1.101  -0.023 -1.101  0.124 -1.101  0.243 -1.024  0.346 -0.952  0.364 -0.824  0.501 -0.794  0.623 -0.713  0.688 -0.582  0.765 -0.460  0.791 -0.324  0.844 -0.200  0.890 -0.082  0.954 0.024  0.954 0.170  0.954 0.316  0.954 0.462  0.860 0.550  0.836 0.685  0.749 0.780  0.678 0.855  0.567 0.891
2#tos#f3#f3007066/p  -0.001 1.247  -0.132 1.261  -0.132 1.057  -0.132 0.853  -0.145 0.653  -0.208 0.460  -0.219 0.257  -0.219 0.053  -0.219 -0.151  -0.219 -0.355  -0.219 -0.559  -0.219 -0.763  -0.219 -0.967  -0.219 -1.171  -0.219 -1.375  -0.219 -1.579  -0.219 -1.783  -0.219 -1.894  -0.222 -1.690  -0.225 -1.486  -0.229 -1.282  -0.232 -1.078  -0.235 -0.874  -0.238 -0.670  -0.242 -0.466  -0.245 -0.262  -0.248 -0.058  -0.251 0.146  -0.255 0.350  -0.258 0.554  -0.261 0.758  -0.371 0.854  -0.317 1.012  -0.175 1.102  -0.075 1.247  0.129 1.247  0.333 1.247  0.523 1.234  0.656 1.094  0.720 0.919  0.817 0.742  0.829 0.541  0.873 0.348  0.873 0.144  0.711 0.068  0.545 -0.047  0.398 -0.188  0.197 -0.194  0.029 -0.281  -0.175 -0.281
2#tos#f3#f3007066/r  -0.346 0.875  -0.495 0.875  -0.587 0.933  -0.587 1.082  -0.587 0.999  -0.566 0.861  -0.442 0.778  -0.346 0.680  -0.346 0.531  -0.346 0.381  -0.346 0.232  -0.346 0.083  -0.320 -0.060  -0.266 -0.197  -0.266 -0.346  -0.266 -0.495  -0.266 -0.645  -0.266 -0.794  -0.206 -0.929  -0.186 -1.074  -0.186 -1.223  -0.186 -1.372  -0.186 -1.521  -0.246 -1.610  -0.266 -1.481  -0.266 -1.331  -0.266 -1.182  -0.266 -1.033  -0.266 -0.884  -0.266 -0.734  -0.266 -0.585  -0.266 -0.436  -0.180 -0.322  -0.083 -0.210  -0.006 -0.082  0.071 0.046  0.135 0.178  0.191 0.308  0.280 0.428  0.370 0.547  0.375 0.695  0.502 0.740  0.649 0.769  0.776 0.814  0.839 0.937  0.981 0.955  1.130 0.955  1.279 0.955  1.428 0.955  1.578 0.955
2#tos#f3#f3007066/v  -0.841 0.837  -0.841 0.949  -0.946 0.956  -1.020 0.918  -0.960 0.865  -0.960 0.753  -0.948 0.646  -0.868 0.566  -0.789 0.487  -0.757 0.381  -0.729 0.272  -0.721 0.160  -0.721 0.048  -0.719 -0.064  -0.669 -0.164  -0.618 -0.265  -0.584 -0.371  -0.556 -0.480  -0.542 -0.591  -0.542 -0.703  -0.498 -0.805  -0.447 -0.905  -0.365 -0.954  -0.313 -1.014  -0.273 -0.924  -0.180 -0.863  -0.108 -0.787  -0.073 -0.681  -0.004 -0.595  0.084 -0.536  0.197 -0.536  0.252 -0.464  0.280 -0.355  0.318 -0.250  0.368 -0.149  0.424 -0.056  0.534 -0.034  0.644 -0.012  0.736 0.037  0.798 0.131  0.882 0.197  0.988 0.232  1.095 0.268  1.198 0.308  1.278 0.388  1.357 0.467  1.434 0.549  1.484 0.649  1.574 0.715  1.667 0.777
2#tos#f3#f3007066/x  -0.784 1.001  -0.972 1.001  -1.137 0.978  -1.048 0.854  -0.924 0.766  -0.736 0.766  -0.725 0.588  -0.703 0.404  -0.605 0.254  -0.462 0.136  -0.354 -0.017  -0.221 -0.150  -0.120 -0.301  -0.064 -0.473  0.119 -0.519  0.157 -0.677  0.290 -0.793  0.334 -0.958  0.477 -1.035  0.639 -1.090  0.723 -1.234  0.864 -1.186  0.869 -0.998  0.874 -0.810  0.879 -0.622  0.884 -0.434  0.889 -0.246  0.894 -0.058  0.899 0.130  0.904 0.318  0.909 0.506  0.914 0.694  0.919 0.882  0.873 0.953  0.738 0.825  0.550 0.825  0.411 0.745  0.267 0.636  0.162 0.480  -0.016 0.429  -0.153 0.314  -0.270 0.168  -0.432 0.072  -0.592 -0.027  -0.742 -0.138  -0.855 -0.289  -0.963 -0.443  -1.067 -0.599  -1.181 -0.748  -1.314 -0.881
2#tos#f3#f3007066/z  -0.073 1.069  -0.237 1.069  -0.402 1.069  -0.544 1.016  -0.688 0.965  -0.653 0.965  -0.489 0.965  -0.324 0.965  -0.159 0.965  0.005 0.965  0.170 0.965  0.334 0.965  0.499 0.965  0.632 0.888  0.785 0.860  0.941 0.824  1.026 0.702  1.020 0.540  0.922 0.416  0.855 0.269  0.738 0.153  0.588 0.096  0.503 -0.002  0.423 -0.109  0.266 -0.161  0.110 -0.213  -0.050 -0.239  -0.175 -0.314  -0.282 -0.436  -0.414 -0.534  -0.566 -0.595  -0.722 -0.647  -0.885 -0.658  -0.945 -0.762  -1.109 -0.762  -1.222 -0.815  -1.062 -0.815  -0.897 -0.815  -0.732 -0.815  -0.568 -0.815  -0.403 -0.815  -0.238 -0.815  -0.074 -0.815  0.091 -0.815  0.256 -0.815  0.420 -0.815  0.585 -0.815  0.750 -0.815  0.914 -0.815  1.079 -0.815
