3#apb#apb15#app1564/1  0.347 0.761  0.347 0.841  0.331 0.915  0.286 0.979  0.270 1.058  0.250 1.135  0.227 1.212  0.207 1.290  0.182 1.367  0.124 1.355  0.124 1.274  0.124 1.194  0.123 1.113  0.115 1.033  0.108 0.953  0.100 0.873  0.092 0.793  0.085 0.713  0.077 0.632  0.070 0.552  0.051 0.474  0.030 0.397  0.008 0.319  -0.013 0.241  -0.034 0.164  -0.055 0.086  -0.076 0.008  -0.097 -0.069  -0.105 -0.149  -0.112 -0.230  -0.118 -0.310  -0.125 -0.390  -0.132 -0.470  -0.138 -0.551  -0.145 -0.631  -0.152 -0.711  -0.161 -0.791  -0.172 -0.871  -0.182 -0.951  -0.193 -1.030  -0.203 -1.110  -0.210 -1.190  -0.210 -1.271  -0.210 -1.351  -0.210 -1.432  -0.192 -1.510  -0.173 -1.588  -0.150 -1.665  -0.092 -1.719  -0.015 -1.744
3#apb#apb15#app1564/U  -0.434 1.333  -0.448 1.479  -0.450 1.501  -0.497 1.361  -0.535 1.218  -0.580 1.077  -0.625 0.935  -0.656 0.790  -0.686 0.645  -0.724 0.501  -0.765 0.359  -0.804 0.216  -0.830 0.070  -0.857 -0.076  -0.881 -0.223  -0.903 -0.370  -0.923 -0.516  -0.923 -0.665  -0.899 -0.809  -0.828 -0.929  -0.686 -0.972  -0.538 -0.974  -0.405 -0.927  -0.285 -0.839  -0.167 -0.750  -0.052 -0.656  0.063 -0.562  0.164 -0.454  0.263 -0.343  0.362 -0.233  0.462 -0.122  0.560 -0.012  0.659 0.099  0.747 0.218  0.831 0.340  0.907 0.467  0.969 0.602  0.962 0.642  0.925 0.498  0.902 0.352  0.862 0.210  0.812 0.070  0.773 -0.073  0.735 -0.217  0.701 -0.361  0.670 -0.506  0.678 -0.654  0.710 -0.798  0.769 -0.930  0.894 -1.009
3#apb#apb15#app1564/n  -0.658 1.082  -0.738 1.067  -0.807 0.957  -0.855 0.829  -0.899 0.701  -0.930 0.568  -0.960 0.435  -0.991 0.303  -1.010 0.169  -1.010 0.033  -1.010 -0.103  -1.010 -0.240  -1.010 -0.376  -0.984 -0.509  -0.951 -0.641  -0.901 -0.765  -0.842 -0.801  -0.714 -0.825  -0.593 -0.764  -0.493 -0.672  -0.397 -0.576  -0.327 -0.460  -0.261 -0.341  -0.195 -0.222  -0.101 -0.123  -0.005 -0.027  0.091 0.069  0.174 0.176  0.249 0.290  0.325 0.403  0.419 0.498  0.530 0.577  0.642 0.655  0.763 0.716  0.891 0.763  1.006 0.710  1.065 0.616  1.065 0.480  1.065 0.344  1.065 0.208  1.056 0.073  1.017 -0.058  0.977 -0.188  0.943 -0.319  0.924 -0.454  0.902 -0.589  0.873 -0.721  0.843 -0.854  0.858 -0.984  0.908 -1.110
3#apb#apb15#app1564/i  0.173 0.151  0.134 0.056  0.134 -0.050  0.125 -0.156  0.099 -0.259  0.073 -0.363  0.046 -0.466  0.016 -0.568  -0.014 -0.670  -0.045 -0.772  -0.077 -0.874  -0.108 -0.976  -0.137 -1.078  -0.146 -1.185  -0.155 -1.291  -0.155 -1.397  -0.097 -1.465  -0.091 -1.359  -0.085 -1.252  -0.079 -1.146  -0.073 -1.039  -0.067 -0.933  -0.061 -0.826  -0.055 -0.720  -0.049 -0.614  -0.043 -0.507  -0.037 -0.401  -0.031 -0.294  -0.025 -0.188  -0.019 -0.081  -0.012 0.025  -0.006 0.132  -0.000 0.238  0.006 0.345  0.012 0.451  0.018 0.557  0.024 0.664  0.030 0.770  0.036 0.877  0.042 0.983  0.048 1.090  0.054 1.196  0.060 1.303  0.066 1.409  0.072 1.516  0.078 1.622  0.084 1.728  0.090 1.835  0.091 1.941  0.057 2.042
3#apb#apb15#app1564/v  -0.777 1.687  -0.737 1.575  -0.697 1.463  -0.657 1.351  -0.620 1.238  -0.588 1.124  -0.557 1.009  -0.525 0.895  -0.493 0.780  -0.473 0.663  -0.456 0.546  -0.439 0.428  -0.422 0.310  -0.406 0.193  -0.391 0.075  -0.379 -0.044  -0.366 -0.162  -0.354 -0.280  -0.342 -0.398  -0.323 -0.516  -0.303 -0.633  -0.284 -0.750  -0.264 -0.867  -0.237 -0.983  -0.199 -1.095  -0.162 -1.208  -0.106 -1.308  -0.008 -1.372  0.089 -1.335  0.148 -1.232  0.200 -1.126  0.241 -1.014  0.282 -0.903  0.323 -0.791  0.364 -0.680  0.404 -0.567  0.442 -0.455  0.479 -0.342  0.517 -0.229  0.554 -0.116  0.591 -0.003  0.627 0.110  0.663 0.223  0.699 0.337  0.735 0.450  0.771 0.563  0.806 0.677  0.842 0.790  0.877 0.904  0.913 1.017
3#apb#apb15#app1564/e  -1.110 -0.063  -1.093 -0.218  -1.031 -0.365  -0.949 -0.500  -0.837 -0.605  -0.695 -0.676  -0.543 -0.717  -0.387 -0.748  -0.232 -0.724  -0.077 -0.688  0.073 -0.640  0.212 -0.564  0.352 -0.488  0.486 -0.403  0.619 -0.317  0.753 -0.231  0.865 -0.120  0.971 -0.002  1.064 0.124  1.119 0.274  1.169 0.423  1.138 0.579  1.100 0.732  1.009 0.862  0.918 0.992  0.788 1.079  0.649 1.156  0.499 1.207  0.347 1.254  0.203 1.258  0.078 1.161  -0.044 1.059  -0.143 0.935  -0.242 0.811  -0.340 0.686  -0.436 0.560  -0.533 0.434  -0.599 0.292  -0.646 0.140  -0.688 -0.012  -0.662 -0.169  -0.636 -0.325  -0.597 -0.479  -0.553 -0.632  -0.509 -0.784  -0.403 -0.902  -0.297 -1.020  -0.178 -1.123  -0.044 -1.208  0.090 -1.294
3#apb#apb15#app1564/r  -0.759 1.383  -0.759 1.251  -0.754 1.120  -0.735 0.989  -0.716 0.859  -0.696 0.729  -0.676 0.598  -0.656 0.468  -0.630 0.339  -0.594 0.213  -0.558 0.086  -0.522 -0.040  -0.482 -0.166  -0.419 -0.282  -0.357 -0.398  -0.294 -0.513  -0.232 -0.629  -0.143 -0.726  -0.050 -0.819  0.043 -0.912  0.131 -1.009  0.190 -1.127  0.249 -1.245  0.308 -1.362  0.342 -1.489  0.346 -1.435  0.331 -1.304  0.317 -1.173  0.290 -1.044  0.261 -0.916  0.231 -0.788  0.202 -0.659  0.199 -0.528  0.199 -0.396  0.199 -0.265  0.199 -0.133  0.199 -0.001  0.199 0.131  0.230 0.257  0.270 0.383  0.309 0.509  0.349 0.634  0.389 0.760  0.428 0.885  0.466 1.011  0.504 1.138  0.542 1.264  0.614 1.374  0.687 1.483  0.811 1.497
3#apb#apb15#app1564/s  1.065 0.532  1.000 0.641  0.913 0.724  0.796 0.771  0.678 0.818  0.559 0.861  0.439 0.901  0.319 0.942  0.199 0.979  0.075 0.952  -0.049 0.926  -0.173 0.899  -0.296 0.871  -0.417 0.834  -0.538 0.796  -0.659 0.759  -0.782 0.731  -0.908 0.713  -1.004 0.649  -1.005 0.539  -0.918 0.448  -0.816 0.378  -0.696 0.338  -0.576 0.298  -0.457 0.255  -0.338 0.212  -0.219 0.169  -0.107 0.110  -0.001 0.042  0.106 -0.026  0.213 -0.094  0.318 -0.164  0.424 -0.235  0.524 -0.310  0.594 -0.415  0.652 -0.525  0.649 -0.651  0.614 -0.773  0.571 -0.889  0.468 -0.963  0.365 -1.036  0.265 -1.113  0.165 -1.191  0.065 -1.269  -0.046 -1.329  -0.162 -1.380  -0.277 -1.431  -0.404 -1.432  -0.531 -1.432  -0.657 -1.432
3#apb#apb15#app1564/i  0.166 -0.014  0.175 -0.115  0.184 -0.216  0.169 -0.317  0.154 -0.417  0.132 -0.516  0.106 -0.614  0.080 -0.712  0.046 -0.807  0.010 -0.902  -0.030 -0.995  -0.082 -1.082  -0.135 -1.169  -0.194 -1.252  -0.237 -1.341  -0.259 -1.408  -0.244 -1.308  -0.230 -1.207  -0.215 -1.107  -0.201 -1.006  -0.187 -0.906  -0.172 -0.806  -0.158 -0.705  -0.143 -0.605  -0.129 -0.504  -0.114 -0.404  -0.100 -0.303  -0.086 -0.203  -0.071 -0.103  -0.057 -0.002  -0.042 0.098  -0.028 0.199  -0.013 0.299  0.001 0.399  0.015 0.500  0.030 0.600  0.044 0.701  0.059 0.801  0.073 0.902  0.088 1.002  0.102 1.102  0.116 1.203  0.131 1.303  0.145 1.404  0.160 1.504  0.174 1.604  0.189 1.705  0.203 1.805  0.193 1.906  0.184 2.007
3#apb#apb15#app1564/t  0.472 2.093  0.449 1.942  0.435 1.789  0.435 1.636  0.435 1.483  0.428 1.330  0.410 1.178  0.392 1.026  0.374 0.873  0.353 0.722  0.323 0.571  0.294 0.421  0.265 0.270  0.236 0.120  0.189 -0.026  0.141 -0.171  0.092 -0.317  0.044 -0.462  0.000 -0.609  -0.033 -0.759  -0.066 -0.908  -0.099 -1.058  -0.138 -1.206  -0.177 -1.354  -0.228 -1.499  -0.265 -1.645  -0.287 -1.494  -0.308 -1.342  -0.330 -1.190  -0.352 -1.038  -0.374 -0.887  -0.396 -0.735  -0.418 -0.583  -0.439 -0.432  -0.461 -0.280  -0.483 -0.128  -0.505 0.023  -0.527 0.175  -0.549 0.327  -0.571 0.479  -0.492 0.471  -0.363 0.388  -0.231 0.309  -0.094 0.240  0.045 0.176  0.187 0.119  0.330 0.064  0.474 0.013  0.620 -0.035  0.767 -0.080
3#apb#apb15#app1564/y  -0.102 1.047  -0.157 0.946  -0.212 0.845  -0.254 0.738  -0.269 0.628  -0.261 0.514  -0.266 0.410  -0.151 0.410  -0.036 0.410  0.079 0.418  0.193 0.428  0.299 0.472  0.403 0.521  0.508 0.566  0.622 0.582  0.736 0.599  0.832 0.656  0.921 0.729  1.010 0.801  1.068 0.866  0.987 0.784  0.908 0.701  0.832 0.614  0.757 0.527  0.681 0.441  0.600 0.359  0.519 0.277  0.438 0.196  0.356 0.115  0.274 0.035  0.189 -0.043  0.104 -0.121  0.020 -0.199  -0.065 -0.277  -0.150 -0.355  -0.229 -0.438  -0.305 -0.525  -0.381 -0.611  -0.457 -0.697  -0.533 -0.784  -0.609 -0.870  -0.686 -0.955  -0.764 -1.040  -0.841 -1.126  -0.919 -1.211  -0.996 -1.296  -1.067 -1.386  -1.138 -1.477  -1.209 -1.567  -1.281 -1.657
3#apb#apb15#app1564/R  -0.042 0.572  -0.138 0.532  -0.194 0.336  -0.252 0.140  -0.312 -0.055  -0.379 -0.247  -0.448 -0.439  -0.548 -0.615  -0.661 -0.785  -0.760 -0.963  -0.852 -1.144  -0.999 -1.284  -1.030 -1.160  -0.976 -0.965  -0.900 -0.776  -0.803 -0.597  -0.700 -0.422  -0.598 -0.245  -0.505 -0.064  -0.411 0.117  -0.318 0.298  -0.212 0.473  -0.107 0.647  -0.001 0.821  0.124 0.982  0.250 1.142  0.393 1.286  0.555 1.410  0.747 1.445  0.950 1.430  1.023 1.248  1.053 1.046  1.080 0.844  1.101 0.642  1.091 0.442  0.999 0.263  0.850 0.125  0.677 0.017  0.490 -0.060  0.292 -0.107  0.091 -0.136  -0.110 -0.110  -0.251 -0.131  -0.172 -0.319  -0.073 -0.496  0.020 -0.676  0.087 -0.868  0.148 -1.063  0.279 -1.214  0.452 -1.321
3#apb#apb15#app1564/d  0.146 -0.404  0.022 -0.266  -0.151 -0.200  -0.321 -0.126  -0.501 -0.092  -0.685 -0.091  -0.864 -0.133  -1.026 -0.223  -1.171 -0.333  -1.270 -0.489  -1.285 -0.662  -1.183 -0.814  -1.017 -0.896  -0.835 -0.912  -0.652 -0.891  -0.477 -0.837  -0.317 -0.743  -0.168 -0.634  -0.026 -0.516  0.097 -0.377  0.211 -0.232  0.309 -0.074  0.404 0.084  0.490 0.249  0.575 0.414  0.627 0.591  0.676 0.770  0.716 0.950  0.734 1.135  0.752 1.319  0.762 1.504  0.728 1.680  0.596 1.591  0.505 1.431  0.439 1.258  0.407 1.075  0.382 0.892  0.369 0.707  0.356 0.522  0.316 0.341  0.277 0.160  0.238 -0.021  0.199 -0.202  0.161 -0.384  0.124 -0.566  0.088 -0.747  0.060 -0.930  0.036 -1.114  0.045 -1.299  0.103 -1.464
3#apb#apb15#app1564/.  -1.255 0.821  -1.171 0.821  -1.086 0.821  -1.001 0.821  -0.916 0.821  -0.832 0.821  -0.747 0.821  -0.662 0.821  -0.577 0.821  -0.493 0.821  -0.408 0.821  -0.323 0.821  -0.238 0.821  -0.154 0.821  -0.069 0.821  0.016 0.821  0.101 0.821  0.185 0.821  0.270 0.821  0.302 0.768  0.302 0.683  0.302 0.599  0.302 0.514  0.302 0.429  0.302 0.344  0.302 0.260  0.302 0.175  0.302 0.090  0.302 0.005  0.302 -0.079  0.302 -0.164  0.302 -0.249  0.302 -0.334  0.302 -0.418  0.302 -0.503  0.302 -0.588  0.302 -0.673  0.302 -0.757  0.302 -0.842  0.302 -0.927  0.302 -1.012  0.302 -1.096  0.302 -1.181  0.302 -1.266  0.302 -1.351  0.302 -1.435  0.302 -1.520  0.302 -1.605  0.302 -1.690  0.302 -1.774
