1c#ced#maba4240_s_ir/j  0.366 0.959  0.283 0.912  0.231 0.799  0.218 0.667  0.218 0.533  0.226 0.399  0.231 0.264  0.243 0.131  0.243 -0.004  0.247 -0.139  0.255 -0.273  0.255 -0.408  0.244 -0.541  0.243 -0.676  0.231 -0.810  0.218 -0.943  0.192 -1.076  0.162 -1.207  0.104 -1.327  0.015 -1.424  -0.108 -1.456  -0.225 -1.404  -0.321 -1.313  -0.395 -1.201  -0.437 -1.075  -0.437 -1.080  -0.405 -1.025  -0.378 -0.893  -0.351 -0.761  -0.324 -0.629  -0.297 -0.497  -0.269 -0.365  -0.242 -0.233  -0.215 -0.101  -0.188 0.031  -0.161 0.163  -0.133 0.295  -0.106 0.427  -0.079 0.559  -0.052 0.691  -0.025 0.823  0.003 0.955  0.030 1.087  0.057 1.219  0.084 1.351  0.111 1.483  0.139 1.615  0.166 1.747  0.114 1.866  0.020 1.886
1c#ced#maba4240_s_ir/c  0.622 0.211  0.694 0.300  0.774 0.375  0.830 0.476  0.880 0.554  0.849 0.535  0.744 0.502  0.694 0.424  0.678 0.314  0.706 0.227  0.736 0.299  0.775 0.406  0.790 0.518  0.797 0.617  0.790 0.731  0.762 0.840  0.686 0.913  0.577 0.941  0.466 0.919  0.354 0.898  0.245 0.862  0.147 0.802  0.050 0.738  -0.048 0.678  -0.131 0.597  -0.224 0.528  -0.319 0.463  -0.388 0.370  -0.458 0.277  -0.527 0.185  -0.597 0.092  -0.663 -0.002  -0.716 -0.105  -0.775 -0.204  -0.810 -0.313  -0.833 -0.426  -0.856 -0.540  -0.878 -0.653  -0.879 -0.769  -0.879 -0.884  -0.858 -0.997  -0.823 -1.108  -0.741 -1.189  -0.645 -1.254  -0.546 -1.313  -0.439 -1.356  -0.324 -1.360  -0.210 -1.378  -0.096 -1.379  0.018 -1.360
1c#ced#maba4240_s_ir/o  -0.099 0.349  -0.018 0.460  0.008 0.597  0.067 0.718  0.067 0.859  -0.018 0.965  -0.137 0.941  -0.251 0.861  -0.351 0.761  -0.432 0.646  -0.510 0.529  -0.583 0.409  -0.650 0.285  -0.718 0.162  -0.772 0.032  -0.832 -0.095  -0.865 -0.232  -0.893 -0.370  -0.927 -0.507  -0.928 -0.648  -0.928 -0.789  -0.901 -0.925  -0.848 -1.053  -0.728 -1.127  -0.609 -1.201  -0.474 -1.178  -0.334 -1.168  -0.202 -1.123  -0.081 -1.051  0.040 -0.980  0.153 -0.896  0.266 -0.811  0.365 -0.711  0.469 -0.616  0.566 -0.515  0.638 -0.394  0.711 -0.273  0.773 -0.147  0.830 -0.019  0.903 0.102  0.936 0.238  0.945 0.378  0.959 0.518  0.968 0.655  0.934 0.792  0.884 0.922  0.814 1.044  0.726 1.148  0.602 1.214  0.465 1.245
1c#ced#maba4240_s_ir/f  -0.482 -0.337  -0.348 -0.247  -0.232 -0.129  -0.122 -0.001  -0.007 0.122  0.105 0.247  0.203 0.384  0.311 0.513  0.410 0.650  0.523 0.772  0.603 0.920  0.689 1.065  0.759 1.217  0.809 1.377  0.848 1.540  0.792 1.631  0.685 1.508  0.603 1.360  0.528 1.210  0.452 1.059  0.377 0.908  0.308 0.754  0.236 0.602  0.173 0.445  0.113 0.288  0.063 0.127  0.006 -0.031  -0.043 -0.193  -0.110 -0.347  -0.154 -0.510  -0.221 -0.664  -0.284 -0.821  -0.338 -0.980  -0.399 -1.138  -0.453 -1.297  -0.507 -1.455  -0.545 -1.619  -0.535 -1.571  -0.482 -1.412  -0.433 -1.251  -0.390 -1.089  -0.351 -0.926  -0.337 -0.758  -0.319 -0.591  -0.330 -0.424  -0.376 -0.262  -0.500 -0.157  -0.597 -0.173  -0.435 -0.174  -0.270 -0.141
1c#ced#maba4240_s_ir/f  -0.448 -0.160  -0.323 -0.068  -0.209 0.047  -0.103 0.168  0.013 0.279  0.123 0.397  0.222 0.524  0.327 0.647  0.439 0.763  0.537 0.891  0.614 1.033  0.697 1.171  0.777 1.311  0.836 1.461  0.855 1.605  0.739 1.507  0.655 1.370  0.583 1.226  0.510 1.081  0.434 0.939  0.363 0.794  0.293 0.648  0.226 0.501  0.164 0.352  0.101 0.203  0.039 0.054  -0.021 -0.096  -0.084 -0.245  -0.141 -0.396  -0.189 -0.550  -0.248 -0.700  -0.296 -0.854  -0.336 -1.010  -0.390 -1.162  -0.441 -1.315  -0.501 -1.465  -0.551 -1.619  -0.546 -1.561  -0.502 -1.405  -0.460 -1.250  -0.424 -1.093  -0.400 -0.933  -0.371 -0.774  -0.352 -0.614  -0.352 -0.453  -0.365 -0.294  -0.457 -0.176  -0.496 -0.240  -0.349 -0.282  -0.191 -0.256
1c#ced#maba4240_s_ir/e  -1.383 -0.579  -1.341 -0.616  -1.195 -0.579  -1.048 -0.544  -0.898 -0.505  -0.767 -0.424  -0.622 -0.369  -0.482 -0.302  -0.338 -0.244  -0.199 -0.176  -0.072 -0.088  0.052 0.005  0.182 0.090  0.313 0.170  0.423 0.280  0.558 0.354  0.674 0.455  0.783 0.565  0.893 0.674  1.003 0.784  1.113 0.894  1.156 1.038  1.158 1.162  1.019 1.202  0.871 1.173  0.725 1.121  0.580 1.066  0.435 1.012  0.308 0.923  0.199 0.813  0.090 0.702  0.000 0.577  -0.110 0.467  -0.215 0.354  -0.285 0.216  -0.371 0.087  -0.445 -0.048  -0.490 -0.195  -0.549 -0.337  -0.565 -0.490  -0.572 -0.640  -0.529 -0.789  -0.480 -0.937  -0.373 -1.041  -0.233 -1.105  -0.095 -1.172  0.053 -1.221  0.201 -1.261  0.357 -1.261  0.512 -1.261
1c#ced#maba4240_s_ir/e  -1.360 -0.620  -1.239 -0.716  -1.105 -0.717  -0.976 -0.684  -0.868 -0.599  -0.740 -0.520  -0.604 -0.442  -0.466 -0.372  -0.342 -0.276  -0.201 -0.200  -0.069 -0.109  0.066 -0.024  0.211 0.045  0.339 0.141  0.473 0.229  0.619 0.294  0.745 0.394  0.863 0.502  0.987 0.604  1.090 0.727  1.171 0.865  1.241 1.007  1.145 1.115  1.000 1.179  0.839 1.175  0.684 1.132  0.532 1.082  0.376 1.043  0.236 0.976  0.111 0.875  -0.018 0.780  -0.135 0.670  -0.225 0.537  -0.327 0.413  -0.413 0.280  -0.459 0.126  -0.529 -0.018  -0.589 -0.165  -0.608 -0.323  -0.650 -0.478  -0.626 -0.630  -0.559 -0.774  -0.481 -0.906  -0.336 -0.972  -0.196 -1.047  -0.039 -1.083  0.119 -1.115  0.277 -1.134  0.438 -1.134  0.599 -1.134
1c#ced#maba4240_s_ir/c  0.337 0.118  0.404 0.228  0.473 0.334  0.554 0.408  0.510 0.346  0.454 0.248  0.424 0.148  0.438 0.031  0.550 0.075  0.661 0.139  0.743 0.238  0.817 0.342  0.887 0.451  0.911 0.573  0.943 0.695  0.943 0.825  0.871 0.925  0.754 0.969  0.638 1.026  0.512 1.006  0.392 0.958  0.265 0.940  0.141 0.903  0.017 0.862  -0.081 0.781  -0.173 0.689  -0.272 0.606  -0.372 0.525  -0.444 0.417  -0.516 0.309  -0.605 0.214  -0.688 0.115  -0.751 0.003  -0.783 -0.123  -0.849 -0.234  -0.874 -0.356  -0.874 -0.486  -0.874 -0.616  -0.874 -0.746  -0.874 -0.876  -0.844 -0.994  -0.759 -1.092  -0.679 -1.191  -0.566 -1.255  -0.454 -1.320  -0.332 -1.364  -0.216 -1.422  -0.090 -1.439  0.038 -1.451  0.164 -1.483
1c#ced#maba4240_s_ir/a  0.389 -0.030  0.534 -0.043  0.695 0.024  0.820 0.149  0.906 0.311  0.960 0.482  0.987 0.660  0.987 0.823  0.877 0.930  0.712 1.006  0.534 1.036  0.355 1.008  0.181 0.952  0.008 0.895  -0.162 0.828  -0.317 0.730  -0.475 0.635  -0.625 0.530  -0.760 0.407  -0.899 0.287  -1.020 0.149  -1.120 -0.005  -1.232 -0.151  -1.311 -0.314  -1.377 -0.484  -1.421 -0.661  -1.383 -0.839  -1.265 -0.963  -1.094 -1.006  -0.910 -1.006  -0.731 -0.970  -0.558 -0.906  -0.398 -0.817  -0.242 -0.724  -0.103 -0.604  0.044 -0.494  0.191 -0.383  0.305 -0.240  0.435 -0.110  0.535 0.042  0.661 0.168  0.767 0.317  0.879 0.397  0.830 0.228  0.755 0.061  0.727 -0.118  0.642 -0.280  0.593 -0.457  0.546 -0.633  0.546 -0.817
1c#ced#maba4240_s_ir/k  -0.137 0.865  0.000 1.034  0.125 1.208  0.258 1.367  0.331 1.571  0.434 1.762  0.451 1.715  0.398 1.509  0.339 1.300  0.285 1.089  0.207 0.887  0.132 0.684  0.061 0.478  -0.054 0.296  -0.123 0.089  -0.207 -0.112  -0.319 -0.299  -0.406 -0.497  -0.482 -0.701  -0.568 -0.901  -0.622 -1.112  -0.707 -1.305  -0.784 -1.480  -0.695 -1.293  -0.627 -1.096  -0.545 -0.899  -0.462 -0.699  -0.345 -0.518  -0.207 -0.350  -0.101 -0.159  0.045 0.001  0.199 0.156  0.376 0.282  0.558 0.400  0.748 0.499  0.949 0.571  0.865 0.476  0.678 0.366  0.489 0.260  0.305 0.152  0.147 0.005  -0.008 -0.149  -0.134 -0.323  -0.255 -0.501  -0.303 -0.711  -0.333 -0.924  -0.282 -1.130  -0.102 -1.242  0.107 -1.295  0.320 -1.323
1c#ced#maba4240_s_ir/e  -1.215 -0.559  -1.271 -0.660  -1.119 -0.629  -0.967 -0.581  -0.814 -0.538  -0.670 -0.471  -0.532 -0.392  -0.399 -0.307  -0.252 -0.246  -0.113 -0.169  0.016 -0.076  0.153 0.006  0.281 0.100  0.408 0.196  0.552 0.262  0.682 0.351  0.808 0.449  0.926 0.556  1.038 0.668  1.140 0.789  1.236 0.913  1.247 1.064  1.125 1.156  0.966 1.156  0.815 1.122  0.672 1.068  0.522 1.017  0.369 0.972  0.237 0.893  0.112 0.796  -0.016 0.701  -0.131 0.592  -0.243 0.478  -0.339 0.351  -0.448 0.236  -0.521 0.094  -0.591 -0.046  -0.635 -0.199  -0.676 -0.353  -0.694 -0.510  -0.677 -0.661  -0.643 -0.815  -0.562 -0.938  -0.429 -1.027  -0.281 -1.063  -0.125 -1.092  0.029 -1.131  0.186 -1.162  0.345 -1.164  0.500 -1.198
1c#ced#maba4240_s_ir/s  0.552 0.765  0.505 0.783  0.507 0.694  0.600 0.739  0.660 0.835  0.707 0.945  0.707 1.070  0.707 1.195  0.608 1.266  0.503 1.266  0.391 1.224  0.289 1.154  0.194 1.074  0.098 0.994  0.006 0.910  -0.082 0.822  -0.157 0.723  -0.233 0.624  -0.299 0.521  -0.353 0.413  -0.346 0.306  -0.237 0.254  -0.120 0.217  -0.004 0.174  0.116 0.146  0.216 0.076  0.323 0.010  0.404 -0.081  0.469 -0.188  0.481 -0.310  0.456 -0.431  0.423 -0.551  0.373 -0.666  0.304 -0.769  0.216 -0.858  0.128 -0.946  0.018 -1.005  -0.085 -1.077  -0.195 -1.131  -0.312 -1.172  -0.432 -1.208  -0.553 -1.186  -0.675 -1.165  -0.791 -1.125  -0.901 -1.070  -1.000 -0.995  -1.081 -0.901  -1.116 -0.784  -1.042 -0.749  -0.949 -0.831
1c#ced#maba4240_s_ir/t  -0.918 -0.703  -1.070 -0.866  -0.953 -0.713  -0.775 -0.569  -0.600 -0.421  -0.440 -0.258  -0.295 -0.080  -0.145 0.096  0.019 0.260  0.163 0.441  0.306 0.622  0.441 0.809  0.552 1.009  0.675 1.204  0.790 1.404  0.872 1.620  0.811 1.672  0.676 1.487  0.557 1.289  0.447 1.087  0.340 0.882  0.213 0.689  0.100 0.488  0.003 0.279  -0.078 0.063  -0.157 -0.155  -0.205 -0.381  -0.250 -0.609  -0.264 -0.839  -0.211 -1.063  -0.064 -1.231  0.148 -1.302  0.374 -1.274  0.581 -1.174  0.782 -1.061  0.949 -0.902  0.919 -0.779  0.726 -0.650  0.534 -0.522  0.341 -0.393  0.148 -0.265  -0.044 -0.136  -0.237 -0.008  -0.430 0.121  -0.657 0.102  -0.888 0.114  -1.115 0.102  -1.112 0.106  -0.893 0.178  -0.667 0.228
1c#ced#maba4240_s_ir/a  0.468 -0.070  0.468 -0.212  0.502 -0.153  0.557 0.019  0.691 0.153  0.778 0.317  0.853 0.490  0.903 0.664  0.903 0.854  0.838 1.028  0.671 1.116  0.488 1.122  0.301 1.100  0.128 1.031  -0.048 0.960  -0.223 0.886  -0.384 0.787  -0.535 0.672  -0.681 0.552  -0.815 0.418  -0.948 0.283  -1.066 0.135  -1.176 -0.019  -1.253 -0.191  -1.359 -0.347  -1.425 -0.524  -1.437 -0.712  -1.349 -0.839  -1.173 -0.904  -0.987 -0.877  -0.803 -0.831  -0.626 -0.767  -0.468 -0.663  -0.308 -0.562  -0.154 -0.453  -0.002 -0.339  0.136 -0.210  0.282 -0.089  0.430 0.027  0.565 0.160  0.699 0.294  0.698 0.156  0.658 -0.024  0.602 -0.203  0.568 -0.385  0.568 -0.574  0.610 -0.747  0.767 -0.839  0.954 -0.856  1.137 -0.839
1c#ced#maba4240_s_ir/b  -0.597 -0.584  -0.737 -0.724  -0.875 -0.742  -0.742 -0.624  -0.622 -0.470  -0.497 -0.317  -0.372 -0.165  -0.237 -0.021  -0.116 0.135  0.007 0.289  0.142 0.433  0.251 0.597  0.379 0.746  0.481 0.915  0.564 1.094  0.651 1.271  0.746 1.443  0.809 1.631  0.768 1.754  0.631 1.633  0.510 1.479  0.412 1.308  0.307 1.141  0.230 0.959  0.136 0.786  0.034 0.616  -0.036 0.433  -0.110 0.250  -0.193 0.071  -0.246 -0.119  -0.293 -0.310  -0.341 -0.501  -0.375 -0.696  -0.440 -0.882  -0.483 -1.075  -0.511 -1.269  -0.480 -1.452  -0.326 -1.530  -0.175 -1.409  -0.049 -1.260  0.056 -1.099  0.126 -0.918  0.126 -0.733  0.069 -0.555  -0.040 -0.417  -0.067 -0.362  0.108 -0.296  0.286 -0.216  0.474 -0.158  0.654 -0.084
1c#ced#maba4240_s_ir/i  -1.111 -0.608  -1.067 -0.551  -0.936 -0.446  -0.812 -0.331  -0.681 -0.220  -0.557 -0.109  -0.428 0.004  -0.293 0.109  -0.164 0.222  -0.033 0.331  0.082 0.450  -0.022 0.504  -0.129 0.417  -0.222 0.310  -0.290 0.213  -0.363 0.071  -0.418 -0.079  -0.474 -0.228  -0.502 -0.373  -0.538 -0.537  -0.573 -0.701  -0.594 -0.867  -0.509 -0.976  -0.461 -1.099  -0.369 -1.192  -0.202 -1.169  -0.037 -1.131  0.122 -1.067  0.283 -1.008  0.432 -0.923  0.591 -0.857  0.755 -0.807  0.813 -0.699  0.783 -0.530  0.753 -0.360  0.723 -0.190  0.693 -0.021  0.664 0.149  0.634 0.319  0.604 0.488  0.574 0.658  0.544 0.828  0.514 0.997  0.484 1.167  0.455 1.337  0.425 1.506  0.395 1.676  0.295 1.797  0.154 1.798  0.011 1.730
1c#ced#maba4240_s_ir/l  -0.718 -0.986  -0.831 -1.068  -0.961 -1.108  -0.881 -1.006  -0.783 -0.898  -0.708 -0.772  -0.610 -0.663  -0.507 -0.560  -0.418 -0.442  -0.330 -0.325  -0.242 -0.208  -0.154 -0.090  -0.076 0.034  0.007 0.155  0.088 0.277  0.168 0.400  0.249 0.521  0.319 0.650  0.397 0.775  0.458 0.906  0.510 1.043  0.585 1.168  0.640 1.304  0.689 1.439  0.719 1.579  0.655 1.486  0.567 1.371  0.493 1.244  0.439 1.109  0.376 0.978  0.327 0.841  0.254 0.715  0.189 0.584  0.123 0.453  0.061 0.320  0.004 0.184  -0.054 0.050  -0.087 -0.093  -0.116 -0.237  -0.146 -0.380  -0.182 -0.522  -0.218 -0.665  -0.229 -0.810  -0.229 -0.957  -0.221 -1.102  -0.164 -1.238  -0.076 -1.353  0.064 -1.383  0.208 -1.370  0.352 -1.353
1c#ced#maba4240_s_ir/i  -1.355 -0.549  -1.406 -0.684  -1.401 -0.834  -1.266 -0.823  -1.124 -0.778  -0.985 -0.727  -0.873 -0.627  -0.750 -0.538  -0.621 -0.462  -0.522 -0.348  -0.407 -0.251  -0.300 -0.144  -0.179 -0.054  -0.063 0.042  0.036 0.156  0.123 0.279  0.087 0.342  -0.035 0.257  -0.149 0.160  -0.225 0.033  -0.319 -0.084  -0.397 -0.209  -0.400 -0.360  -0.425 -0.506  -0.400 -0.651  -0.336 -0.772  -0.189 -0.798  -0.045 -0.813  0.104 -0.799  0.251 -0.762  0.394 -0.713  0.504 -0.631  0.547 -0.486  0.589 -0.341  0.632 -0.195  0.674 -0.050  0.717 0.095  0.759 0.240  0.802 0.386  0.844 0.531  0.887 0.676  0.929 0.822  0.971 0.967  0.910 1.101  0.826 1.227  0.742 1.353  0.641 1.465  0.523 1.557  0.395 1.635  0.287 1.666
1c#ced#maba4240_s_ir/z  -0.191 1.127  -0.311 1.146  -0.346 1.250  -0.296 1.364  -0.200 1.443  -0.095 1.514  0.025 1.546  0.146 1.540  0.217 1.450  0.217 1.328  0.189 1.204  0.155 1.082  0.109 0.963  0.058 0.845  -0.004 0.739  0.046 0.679  0.135 0.596  0.209 0.502  0.244 0.379  0.294 0.261  0.321 0.136  0.326 0.008  0.326 -0.120  0.326 -0.248  0.314 -0.375  0.291 -0.501  0.255 -0.623  0.219 -0.746  0.172 -0.865  0.124 -0.984  0.069 -1.099  -0.007 -1.203  -0.097 -1.292  -0.187 -1.383  -0.298 -1.445  -0.424 -1.435  -0.505 -1.341  -0.522 -1.217  -0.502 -1.094  -0.450 -0.977  -0.396 -0.861  -0.329 -0.752  -0.255 -0.648  -0.173 -0.550  -0.090 -0.453  -0.006 -0.356  0.084 -0.265  0.175 -0.174  0.274 -0.094  0.365 -0.003
1c#ced#maba4240_s_ir/e  -1.343 -0.713  -1.322 -0.726  -1.221 -0.694  -1.082 -0.634  -0.930 -0.575  -0.793 -0.489  -0.656 -0.405  -0.520 -0.318  -0.375 -0.246  -0.229 -0.173  -0.097 -0.080  0.049 -0.011  0.192 0.066  0.330 0.152  0.463 0.245  0.589 0.348  0.717 0.449  0.849 0.542  0.950 0.667  1.071 0.770  1.144 0.915  1.138 1.066  1.010 1.150  0.856 1.172  0.699 1.147  0.543 1.104  0.386 1.060  0.230 1.017  0.092 0.933  -0.038 0.836  -0.168 0.739  -0.273 0.616  -0.379 0.493  -0.476 0.364  -0.559 0.225  -0.605 0.069  -0.619 -0.092  -0.619 -0.254  -0.592 -0.413  -0.511 -0.552  -0.434 -0.690  -0.319 -0.805  -0.184 -0.895  -0.039 -0.968  0.110 -1.033  0.269 -1.058  0.432 -1.058  0.592 -1.083  0.754 -1.092  0.916 -1.092
1c#ced#maba4240_s_ir/x  1.263 0.766  1.348 0.901  1.415 1.021  1.420 1.051  1.305 0.936  1.174 0.845  1.078 0.716  0.948 0.621  0.833 0.506  0.718 0.391  0.604 0.276  0.493 0.157  0.382 0.039  0.274 -0.083  0.172 -0.210  0.073 -0.339  -0.030 -0.464  -0.145 -0.578  -0.233 -0.715  -0.321 -0.851  -0.420 -0.980  -0.534 -1.095  -0.633 -1.224  -0.742 -1.345  -0.801 -1.320  -0.807 -1.157  -0.813 -0.995  -0.818 -0.833  -0.824 -0.670  -0.829 -0.508  -0.835 -0.345  -0.841 -0.183  -0.805 -0.025  -0.765 0.133  -0.726 0.291  -0.678 0.446  -0.637 0.603  -0.586 0.755  -0.509 0.885  -0.385 0.893  -0.291 0.768  -0.191 0.641  -0.101 0.506  -0.011 0.370  0.079 0.235  0.155 0.091  0.256 -0.034  0.347 -0.166  0.433 -0.302  0.540 -0.424
