2#tos#f2#f2025065/\"  -0.096 1.747  -0.266 1.747  -0.437 1.747  -0.466 1.606  -0.466 1.436  -0.466 1.265  -0.466 1.094  -0.466 0.924  -0.466 0.753  -0.466 0.583  -0.466 0.412  -0.466 0.242  -0.466 0.071  -0.466 -0.100  -0.466 -0.270  -0.466 -0.441  -0.466 -0.611  -0.466 -0.782  -0.466 -0.953  -0.466 -1.123  -0.466 -1.294  -0.403 -1.402  -0.233 -1.402  -0.062 -1.402  0.090 -1.383  0.090 -1.212  0.090 -1.042  0.090 -0.871  0.090 -0.701  0.090 -0.530  0.090 -0.359  0.090 -0.189  0.090 -0.018  0.162 0.080  0.289 0.136  0.330 0.302  0.372 0.467  0.413 0.632  0.454 0.798  0.607 0.821  0.645 0.689  0.645 0.519  0.645 0.348  0.645 0.178  0.645 0.007  0.645 -0.164  0.645 -0.334  0.645 -0.505  0.645 -0.675  0.645 -0.846
2#tos#f2#f2025065/O  -0.304 1.051  -0.379 1.107  -0.499 1.066  -0.559 0.958  -0.607 0.837  -0.666 0.720  -0.708 0.598  -0.734 0.470  -0.752 0.341  -0.752 0.210  -0.752 0.080  -0.752 -0.051  -0.752 -0.182  -0.752 -0.312  -0.752 -0.443  -0.752 -0.573  -0.697 -0.681  -0.605 -0.774  -0.516 -0.869  -0.443 -0.977  -0.358 -1.076  -0.266 -1.168  -0.143 -1.186  -0.012 -1.186  0.118 -1.186  0.238 -1.139  0.355 -1.080  0.471 -1.022  0.565 -0.932  0.647 -0.835  0.657 -0.706  0.699 -0.582  0.731 -0.456  0.759 -0.329  0.759 -0.198  0.759 -0.068  0.759 0.063  0.759 0.194  0.759 0.324  0.759 0.455  0.693 0.558  0.600 0.650  0.588 0.776  0.515 0.885  0.479 1.004  0.396 1.051  0.295 1.124  0.181 1.163  0.050 1.163  -0.080 1.163
2#tos#f2#f2025065/Q  0.272 -0.194  0.272 -0.419  0.167 -0.540  -0.059 -0.540  -0.271 -0.597  -0.496 -0.597  -0.722 -0.597  -0.947 -0.594  -1.111 -0.487  -1.111 -0.261  -1.111 -0.036  -1.111 0.190  -1.045 0.400  -0.996 0.614  -0.856 0.764  -0.668 0.889  -0.601 1.099  -0.433 1.234  -0.240 1.335  -0.068 1.457  0.115 1.535  0.341 1.535  0.484 1.420  0.560 1.221  0.560 0.996  0.560 0.770  0.560 0.545  0.560 0.319  0.526 0.097  0.503 -0.126  0.421 -0.330  0.330 -0.530  0.188 -0.668  0.059 -0.832  -0.114 -0.943  -0.247 -0.850  -0.247 -0.625  -0.247 -0.399  -0.247 -0.173  -0.106 -0.021  0.062 0.037  0.247 -0.029  0.374 -0.214  0.445 -0.416  0.578 -0.571  0.674 -0.766  0.767 -0.928  0.916 -1.058  1.142 -1.058  1.367 -1.058
2#tos#f2#f2025065/S  0.603 1.090  0.698 1.110  0.698 1.223  0.624 1.307  0.519 1.328  0.405 1.328  0.291 1.328  0.182 1.307  0.080 1.256  -0.022 1.205  -0.111 1.135  -0.191 1.055  -0.284 0.989  -0.363 0.912  -0.414 0.811  -0.440 0.703  -0.440 0.589  -0.468 0.484  -0.536 0.393  -0.582 0.295  -0.582 0.181  -0.582 0.067  -0.535 0.000  -0.441 -0.047  -0.351 -0.115  -0.274 -0.190  -0.189 -0.237  -0.098 -0.294  -0.000 -0.332  0.110 -0.346  0.217 -0.379  0.313 -0.438  0.401 -0.509  0.490 -0.569  0.556 -0.617  0.603 -0.712  0.603 -0.826  0.564 -0.901  0.453 -0.908  0.373 -0.989  0.281 -1.043  0.184 -1.083  0.095 -1.149  -0.013 -1.185  -0.127 -1.185  -0.241 -1.185  -0.355 -1.185  -0.460 -1.205  -0.563 -1.232  -0.677 -1.232
2#tos#f2#f2025065/T  -0.819 0.661  -0.935 0.661  -1.052 0.661  -1.152 0.644  -1.152 0.527  -1.234 0.495  -1.117 0.495  -1.001 0.495  -0.884 0.495  -0.767 0.495  -0.653 0.515  -0.539 0.536  -0.423 0.536  -0.306 0.536  -0.189 0.536  -0.073 0.536  0.044 0.536  0.157 0.548  0.257 0.608  0.359 0.661  0.476 0.661  0.592 0.661  0.709 0.661  0.740 0.619  0.624 0.619  0.507 0.619  0.390 0.619  0.281 0.587  0.263 0.482  0.263 0.365  0.263 0.248  0.263 0.132  0.284 0.017  0.306 -0.097  0.325 -0.212  0.345 -0.327  0.346 -0.444  0.346 -0.561  0.346 -0.677  0.346 -0.794  0.346 -0.910  0.346 -1.027  0.346 -1.144  0.346 -1.260  0.346 -1.377  0.346 -1.494  0.346 -1.610  0.346 -1.727  0.346 -1.844  0.346 -1.960
2#tos#f2#f2025065/V  -0.783 0.610  -0.743 0.729  -0.733 0.853  -0.733 0.979  -0.733 1.013  -0.733 0.887  -0.733 0.761  -0.733 0.635  -0.733 0.510  -0.712 0.387  -0.677 0.266  -0.643 0.145  -0.615 0.022  -0.591 -0.101  -0.566 -0.224  -0.541 -0.347  -0.502 -0.466  -0.455 -0.583  -0.396 -0.693  -0.329 -0.799  -0.282 -0.916  -0.235 -1.033  -0.195 -1.152  -0.134 -1.261  -0.048 -1.335  0.078 -1.335  0.164 -1.261  0.223 -1.151  0.254 -1.029  0.264 -0.905  0.307 -0.788  0.356 -0.672  0.406 -0.557  0.439 -0.436  0.464 -0.313  0.464 -0.187  0.464 -0.061  0.504 0.056  0.554 0.172  0.603 0.287  0.613 0.411  0.625 0.534  0.681 0.646  0.738 0.759  0.799 0.869  0.863 0.976  0.913 1.088  0.913 1.214  0.923 1.338  0.963 1.458
2#tos#f2#f2025065/X  0.578 1.334  0.753 1.391  0.784 1.499  0.601 1.454  0.578 1.283  0.489 1.131  0.356 0.998  0.269 0.838  0.198 0.669  0.065 0.535  -0.033 0.373  -0.106 0.205  -0.106 0.016  -0.168 -0.158  -0.252 -0.327  -0.338 -0.494  -0.456 -0.637  -0.502 -0.820  -0.511 -1.002  -0.562 -1.140  -0.563 -1.246  -0.569 -1.057  -0.576 -0.868  -0.582 -0.680  -0.588 -0.491  -0.594 -0.303  -0.601 -0.114  -0.607 0.075  -0.613 0.263  -0.619 0.452  -0.619 0.641  -0.622 0.829  -0.606 0.935  -0.436 0.907  -0.366 0.731  -0.262 0.578  -0.129 0.445  -0.036 0.282  0.072 0.130  0.205 -0.003  0.301 -0.164  0.385 -0.333  0.451 -0.509  0.511 -0.688  0.571 -0.867  0.736 -0.941  0.858 -1.082  0.976 -1.229  1.081 -1.386  1.205 -1.458
2#tos#f2#f2025065/Y  -0.645 0.393  -0.645 0.563  -0.678 0.724  -0.771 0.816  -0.941 0.816  -1.067 0.921  -1.091 0.886  -0.991 0.759  -0.855 0.657  -0.714 0.563  -0.564 0.485  -0.420 0.397  -0.285 0.295  -0.147 0.202  -0.055 0.060  0.059 -0.029  0.162 -0.058  0.249 0.087  0.336 0.232  0.424 0.378  0.511 0.523  0.598 0.669  0.685 0.814  0.772 0.959  0.789 1.027  0.646 0.947  0.530 0.841  0.439 0.698  0.374 0.543  0.272 0.412  0.201 0.272  0.127 0.125  0.016 -0.002  -0.052 -0.154  -0.169 -0.256  -0.081 -0.223  0.014 -0.135  0.125 -0.248  0.148 -0.412  0.172 -0.577  0.201 -0.742  0.201 -0.912  0.225 -1.078  0.253 -1.244  0.253 -1.414  0.253 -1.583  0.253 -1.753  0.273 -1.918  0.306 -2.079  0.306 -2.249
2#tos#f2#f2025065/a  0.352 -0.155  0.352 0.004  0.318 0.155  0.271 0.303  0.212 0.447  0.141 0.589  0.070 0.731  0.030 0.881  0.030 1.039  -0.074 1.155  -0.209 1.212  -0.368 1.212  -0.505 1.159  -0.617 1.047  -0.729 0.934  -0.842 0.822  -0.888 0.673  -0.927 0.519  -0.934 0.361  -0.934 0.202  -0.934 0.043  -0.934 -0.116  -0.934 -0.274  -0.934 -0.433  -0.934 -0.592  -0.934 -0.751  -0.823 -0.798  -0.664 -0.798  -0.505 -0.798  -0.346 -0.798  -0.218 -0.725  -0.111 -0.608  -0.023 -0.476  0.050 -0.336  0.100 -0.186  0.111 -0.029  0.198 0.094  0.327 0.167  0.470 0.129  0.582 0.017  0.694 -0.096  0.807 -0.208  0.919 -0.320  1.023 -0.439  1.111 -0.571  1.191 -0.708  1.277 -0.839  1.409 -0.924  1.559 -0.959  1.718 -0.959
2#tos#f2#f2025065/d  0.200 -0.229  0.137 -0.089  -0.050 -0.059  -0.241 -0.059  -0.432 -0.059  -0.619 -0.096  -0.721 -0.244  -0.763 -0.426  -0.846 -0.595  -0.947 -0.744  -0.947 -0.935  -0.943 -1.124  -0.806 -1.255  -0.623 -1.291  -0.432 -1.291  -0.310 -1.173  -0.242 -1.010  -0.123 -0.862  -0.063 -0.683  -0.055 -0.493  -0.046 -0.308  0.072 -0.180  0.072 0.011  0.074 0.201  0.126 0.385  0.192 0.563  0.278 0.734  0.284 0.923  0.284 1.113  0.284 1.304  0.341 1.484  0.397 1.666  0.412 1.848  0.412 1.658  0.323 1.491  0.284 1.311  0.284 1.121  0.284 0.930  0.284 0.739  0.284 0.548  0.284 0.357  0.284 0.167  0.286 -0.024  0.317 -0.212  0.327 -0.402  0.340 -0.592  0.388 -0.775  0.473 -0.946  0.573 -1.108  0.624 -1.291
2#tos#f2#f2025065/e  -0.079 0.680  -0.259 0.680  -0.363 0.588  -0.535 0.539  -0.708 0.490  -0.861 0.407  -0.724 0.389  -0.545 0.389  -0.396 0.317  -0.216 0.317  -0.041 0.298  0.125 0.244  0.305 0.244  0.484 0.244  0.664 0.244  0.807 0.331  0.865 0.486  0.865 0.666  0.845 0.825  0.682 0.863  0.517 0.898  0.337 0.898  0.158 0.898  -0.022 0.898  -0.195 0.859  -0.369 0.825  -0.496 0.699  -0.615 0.566  -0.715 0.417  -0.814 0.268  -0.879 0.108  -0.879 -0.072  -0.879 -0.251  -0.837 -0.421  -0.728 -0.561  -0.661 -0.712  -0.661 -0.891  -0.534 -1.003  -0.373 -1.064  -0.193 -1.064  -0.014 -1.064  0.165 -1.064  0.345 -1.064  0.524 -1.064  0.704 -1.064  0.883 -1.064  1.062 -1.064  1.242 -1.064  1.418 -1.035  1.592 -0.991
2#tos#f2#f2025065/f  0.649 0.599  0.591 0.741  0.501 0.864  0.444 1.008  0.329 1.111  0.212 1.212  0.135 1.337  0.104 1.489  0.066 1.639  -0.059 1.722  -0.059 1.567  -0.059 1.412  -0.059 1.257  -0.059 1.102  -0.059 0.947  -0.059 0.792  -0.059 0.636  -0.048 0.482  -0.026 0.329  -0.017 0.174  -0.017 0.019  0.031 -0.128  0.066 -0.277  0.066 -0.432  0.073 -0.586  0.131 -0.730  0.149 -0.881  0.149 -1.037  0.149 -1.192  0.149 -1.347  0.134 -1.500  0.105 -1.649  -0.003 -1.581  -0.060 -1.436  -0.117 -1.292  -0.173 -1.148  -0.230 -1.004  -0.287 -0.859  -0.344 -0.715  -0.401 -0.571  -0.458 -0.427  -0.514 -0.282  -0.623 -0.234  -0.508 -0.227  -0.376 -0.150  -0.221 -0.150  -0.066 -0.150  0.089 -0.150  0.244 -0.150  0.399 -0.150
2#tos#f2#f2025065/g  0.336 0.249  0.330 0.365  0.265 0.464  0.227 0.570  0.191 0.682  0.173 0.798  0.173 0.916  0.148 1.009  0.053 1.042  0.016 1.154  -0.089 1.172  -0.207 1.172  -0.325 1.172  -0.414 1.115  -0.485 1.020  -0.534 0.918  -0.534 0.800  -0.534 0.682  -0.526 0.567  -0.480 0.468  -0.364 0.466  -0.245 0.466  -0.130 0.486  -0.015 0.514  0.102 0.520  0.166 0.575  0.227 0.517  0.227 0.399  0.227 0.281  0.227 0.163  0.227 0.045  0.227 -0.073  0.227 -0.191  0.227 -0.309  0.227 -0.427  0.227 -0.546  0.227 -0.664  0.193 -0.776  0.156 -0.888  0.118 -1.000  0.118 -1.119  0.108 -1.234  0.042 -1.332  0.010 -1.440  -0.007 -1.556  -0.036 -1.671  -0.045 -1.788  -0.045 -1.906  -0.144 -1.925  -0.262 -1.925
2#tos#f2#f2025065/j  0.451 0.451  0.492 0.581  0.492 0.511  0.492 0.371  0.492 0.232  0.492 0.092  0.492 -0.048  0.492 -0.188  0.492 -0.327  0.492 -0.467  0.492 -0.607  0.468 -0.744  0.421 -0.873  0.336 -0.984  0.260 -1.098  0.209 -1.228  0.115 -1.330  -0.011 -1.365  -0.150 -1.365  -0.290 -1.365  -0.430 -1.365  -0.521 -1.297  -0.576 -1.169  -0.581 -1.030  -0.581 -0.890  -0.563 -0.753  -0.530 -0.617  -0.497 -0.481  -0.465 -0.345  -0.432 -0.209  -0.400 -0.073  -0.367 0.063  -0.334 0.199  -0.302 0.335  -0.269 0.470  -0.236 0.606  -0.204 0.742  -0.171 0.878  -0.139 1.014  -0.106 1.150  -0.086 1.287  -0.086 1.427  -0.086 1.567  -0.030 1.523  0.062 1.418  0.143 1.305  0.162 1.171  0.219 1.054  0.306 0.947  0.368 0.822
2#tos#f2#f2025065/n  -0.712 1.302  -0.696 1.319  -0.770 1.187  -0.774 1.036  -0.774 0.884  -0.774 0.732  -0.774 0.580  -0.774 0.428  -0.774 0.276  -0.774 0.124  -0.774 -0.029  -0.774 -0.181  -0.770 -0.332  -0.740 -0.481  -0.712 -0.631  -0.712 -0.783  -0.654 -0.921  -0.586 -1.057  -0.527 -1.195  -0.443 -1.300  -0.403 -1.189  -0.325 -1.060  -0.279 -0.922  -0.221 -0.789  -0.129 -0.668  -0.064 -0.532  -0.007 -0.392  0.072 -0.262  0.150 -0.132  0.155 0.019  0.183 0.162  0.274 0.284  0.351 0.412  0.388 0.560  0.477 0.670  0.595 0.762  0.643 0.906  0.777 0.931  0.846 0.840  0.894 0.696  0.942 0.551  0.961 0.402  0.961 0.250  0.961 0.098  0.978 -0.051  1.023 -0.196  1.023 -0.348  1.023 -0.500  1.023 -0.652  1.023 -0.804
2#tos#f2#f2025065/o  0.532 0.683  0.532 0.830  0.532 0.976  0.427 1.018  0.281 1.018  0.134 1.018  -0.012 1.018  -0.158 1.018  -0.302 1.004  -0.431 0.936  -0.553 0.854  -0.652 0.751  -0.734 0.629  -0.768 0.488  -0.797 0.344  -0.809 0.199  -0.809 0.053  -0.809 -0.094  -0.809 -0.240  -0.809 -0.387  -0.809 -0.533  -0.809 -0.680  -0.809 -0.826  -0.758 -0.961  -0.681 -1.085  -0.593 -1.194  -0.446 -1.194  -0.300 -1.194  -0.153 -1.194  -0.007 -1.194  0.135 -1.186  0.216 -1.064  0.322 -0.973  0.461 -0.927  0.543 -0.807  0.627 -0.687  0.715 -0.570  0.800 -0.452  0.800 -0.305  0.800 -0.159  0.800 -0.012  0.800 0.134  0.784 0.279  0.748 0.421  0.733 0.565  0.706 0.692  0.567 0.739  0.422 0.750  0.276 0.750  0.129 0.750
2#tos#f2#f2025065/r  -0.180 0.693  -0.180 0.841  -0.180 0.988  -0.251 1.115  -0.333 1.237  -0.338 1.106  -0.338 0.958  -0.338 0.810  -0.338 0.663  -0.338 0.515  -0.338 0.368  -0.338 0.220  -0.338 0.072  -0.338 -0.075  -0.338 -0.223  -0.338 -0.370  -0.338 -0.518  -0.338 -0.666  -0.338 -0.813  -0.338 -0.961  -0.338 -1.108  -0.338 -1.256  -0.322 -1.401  -0.275 -1.541  -0.259 -1.653  -0.259 -1.505  -0.259 -1.358  -0.224 -1.214  -0.188 -1.071  -0.180 -0.925  -0.180 -0.777  -0.177 -0.630  -0.148 -0.485  -0.119 -0.340  -0.083 -0.197  -0.037 -0.057  0.051 0.058  0.155 0.162  0.243 0.279  0.309 0.411  0.375 0.542  0.457 0.665  0.547 0.777  0.690 0.812  0.833 0.848  0.905 0.973  1.031 1.008  1.179 1.008  1.326 1.008  1.474 1.008
2#tos#f2#f2025065/t  -0.688 0.549  -0.843 0.510  -0.990 0.437  -1.136 0.363  -1.156 0.320  -1.023 0.396  -0.859 0.396  -0.695 0.396  -0.531 0.396  -0.367 0.396  -0.203 0.396  -0.039 0.396  0.125 0.396  0.289 0.396  0.453 0.396  0.617 0.396  0.781 0.396  0.945 0.396  0.875 0.396  0.711 0.396  0.547 0.396  0.383 0.396  0.219 0.396  0.109 0.483  0.076 0.639  0.076 0.803  0.076 0.968  0.152 1.055  0.152 1.101  0.152 0.937  0.152 0.773  0.152 0.609  0.152 0.445  0.152 0.281  0.152 0.117  0.152 -0.047  0.152 -0.211  0.101 -0.367  0.049 -0.523  -0.001 -0.679  -0.001 -0.843  -0.001 -1.007  -0.001 -1.171  -0.001 -1.335  -0.001 -1.499  -0.001 -1.663  0.059 -1.815  0.120 -1.968  0.176 -2.121  0.228 -2.277
2#tos#f2#f2025065/v  -0.553 0.390  -0.721 0.390  -0.867 0.413  -0.867 0.581  -0.846 0.745  -0.731 0.830  -0.562 0.830  -0.427 0.796  -0.427 0.628  -0.427 0.460  -0.427 0.292  -0.427 0.124  -0.427 -0.045  -0.427 -0.213  -0.427 -0.381  -0.427 -0.549  -0.435 -0.717  -0.468 -0.882  -0.490 -1.048  -0.490 -1.216  -0.490 -1.384  -0.490 -1.552  -0.324 -1.555  -0.165 -1.518  -0.078 -1.387  -0.006 -1.237  0.087 -1.097  0.181 -0.957  0.232 -0.799  0.263 -0.634  0.263 -0.466  0.279 -0.300  0.320 -0.137  0.326 0.031  0.326 0.199  0.378 0.359  0.431 0.518  0.451 0.683  0.451 0.852  0.451 1.020  0.451 1.188  0.514 1.244  0.518 1.079  0.663 0.995  0.781 0.876  0.828 0.727  0.891 0.574  0.998 0.489  1.142 0.433  1.204 0.328
2#tos#f2#f2025065/w  -0.781 0.724  -0.974 0.724  -0.997 0.705  -0.833 0.806  -0.673 0.804  -0.673 0.611  -0.719 0.426  -0.727 0.234  -0.768 0.051  -0.835 -0.126  -0.839 -0.319  -0.877 -0.508  -0.888 -0.700  -0.888 -0.893  -0.888 -1.085  -0.888 -1.278  -0.735 -1.318  -0.585 -1.249  -0.432 -1.144  -0.319 -1.006  -0.267 -0.820  -0.213 -0.635  -0.161 -0.450  -0.107 -0.265  -0.024 -0.092  0.075 0.073  0.133 0.257  0.133 0.449  0.133 0.642  0.186 0.666  0.186 0.474  0.186 0.281  0.186 0.088  0.186 -0.105  0.235 -0.286  0.294 -0.465  0.440 -0.512  0.512 -0.348  0.636 -0.203  0.707 -0.024  0.778 0.143  0.883 0.292  0.991 0.453  0.992 0.645  1.100 0.793  1.201 0.885  1.261 0.752  1.360 0.621  1.552 0.616  1.745 0.616
2#tos#f2#f2025065/x  -0.637 0.636  -0.780 0.721  -0.892 0.837  -0.744 0.954  -0.531 1.023  -0.330 1.113  -0.116 1.145  0.112 1.145  0.296 1.101  0.296 0.874  0.211 0.681  0.203 0.456  0.066 0.274  -0.075 0.096  -0.225 -0.072  -0.310 -0.283  -0.404 -0.488  -0.565 -0.649  -0.726 -0.810  -0.807 -1.004  -0.855 -1.217  -0.977 -1.408  -0.825 -1.484  -0.683 -1.366  -0.606 -1.152  -0.522 -0.941  -0.390 -0.780  -0.190 -0.686  -0.064 -0.497  0.062 -0.307  0.126 -0.099  0.147 0.126  0.202 0.347  0.346 0.517  0.465 0.696  0.465 0.923  0.465 1.151  0.437 1.088  0.380 0.874  0.380 0.646  0.380 0.418  0.380 0.191  0.432 -0.028  0.495 -0.247  0.551 -0.467  0.712 -0.628  0.878 -0.746  1.028 -0.891  1.255 -0.891  1.483 -0.891
2#tos#f2#f2025065/y  -0.432 0.638  -0.443 0.792  -0.534 0.880  -0.622 0.828  -0.541 0.707  -0.420 0.612  -0.285 0.557  -0.130 0.557  -0.057 0.651  0.052 0.722  0.092 0.867  0.102 1.020  0.133 1.168  0.133 1.324  0.133 1.479  0.133 1.577  0.133 1.421  0.133 1.266  0.138 1.111  0.155 0.957  0.172 0.803  0.173 0.647  0.173 0.492  0.173 0.337  0.173 0.182  0.173 0.026  0.173 -0.129  0.173 -0.284  0.173 -0.439  0.173 -0.595  0.173 -0.750  0.173 -0.905  0.173 -1.060  0.173 -1.216  0.173 -1.371  0.160 -1.523  0.090 -1.662  -0.009 -1.740  -0.109 -1.654  -0.109 -1.499  -0.109 -1.344  -0.109 -1.189  -0.109 -1.033  -0.109 -0.878  -0.109 -0.723  -0.109 -0.568  -0.078 -0.415  -0.042 -0.280  0.077 -0.199  0.213 -0.168
2#tos#f2#f2025065/z  -0.241 1.223  -0.439 1.223  -0.632 1.187  -0.654 1.202  -0.461 1.223  -0.263 1.223  -0.066 1.223  0.132 1.223  0.330 1.223  0.377 1.072  0.304 0.891  0.254 0.706  0.222 0.527  0.045 0.439  -0.086 0.296  -0.195 0.132  -0.269 -0.052  -0.329 -0.240  -0.399 -0.419  -0.539 -0.559  -0.664 -0.710  -0.753 -0.885  -0.798 -1.077  -0.798 -1.275  -0.637 -1.312  -0.442 -1.296  -0.251 -1.250  -0.072 -1.205  0.100 -1.110  0.287 -1.065  0.485 -1.065  0.683 -1.065  0.881 -1.065  1.057 -1.043  0.967 -0.874  0.853 -0.712  0.739 -0.551  0.625 -0.389  0.511 -0.227  0.397 -0.065  0.284 0.097  0.170 0.258  0.056 0.420  -0.058 0.582  -0.212 0.666  -0.410 0.666  -0.280 0.582  -0.127 0.464  0.062 0.405  0.254 0.357
