2#app#app25#app2545/j  0.633 0.672  0.633 0.517  0.633 0.362  0.633 0.208  0.491 0.195  0.474 0.057  0.474 -0.098  0.345 -0.123  0.315 -0.248  0.229 -0.367  0.156 -0.491  0.156 -0.646  0.114 -0.759  -0.003 -0.796  -0.036 -0.918  -0.162 -0.947  -0.187 -1.077  -0.342 -1.077  -0.496 -1.077  -0.639 -1.065  -0.647 -0.918  -0.798 -0.915  -0.798 -0.760  -0.798 -0.606  -0.947 -0.600  -0.957 -0.455  -1.098 -0.441  -0.980 -0.441  -0.825 -0.441  -0.670 -0.441  -0.639 -0.318  -0.520 -0.282  -0.365 -0.282  -0.263 -0.188  -0.182 -0.056  -0.101 0.075  -0.020 0.207  0.061 0.339  0.142 0.471  0.223 0.602  0.304 0.734  0.385 0.866  0.466 0.998  0.547 1.129  0.628 1.261  0.710 1.393  0.791 1.525  0.872 1.656  0.955 1.784  1.109 1.784
1c#gmd#kast/j  -0.046 1.795  -0.046 1.712  -0.046 1.630  -0.046 1.547  -0.006 1.481  0.042 1.421  0.005 1.347  -0.032 1.273  -0.033 1.195  -0.013 1.115  0.007 1.035  0.027 0.954  0.046 0.874  0.046 0.792  0.046 0.709  0.063 0.628  0.083 0.548  0.103 0.468  0.123 0.388  0.138 0.307  0.138 0.224  0.138 0.142  0.138 0.059  0.138 -0.023  0.138 -0.106  0.138 -0.189  0.138 -0.271  0.151 -0.352  0.177 -0.430  0.203 -0.509  0.229 -0.587  0.229 -0.670  0.229 -0.752  0.229 -0.835  0.229 -0.918  0.229 -1.000  0.203 -1.072  0.145 -1.130  0.086 -1.189  0.020 -1.229  -0.061 -1.221  -0.135 -1.184  -0.208 -1.147  -0.282 -1.110  -0.356 -1.074  -0.426 -1.031  -0.485 -0.973  -0.543 -0.914  -0.604 -0.862  -0.687 -0.862
1c#gmd#kast/j  0.153 1.762  0.153 1.685  0.153 1.608  0.134 1.539  0.102 1.475  0.102 1.397  0.102 1.320  0.102 1.243  0.102 1.166  0.102 1.088  0.102 1.011  0.102 0.934  0.102 0.857  0.102 0.779  0.102 0.702  0.102 0.625  0.102 0.547  0.102 0.470  0.102 0.393  0.104 0.316  0.117 0.240  0.130 0.163  0.142 0.087  0.153 0.011  0.153 -0.066  0.153 -0.144  0.153 -0.221  0.153 -0.298  0.153 -0.375  0.153 -0.453  0.153 -0.530  0.153 -0.607  0.153 -0.684  0.149 -0.761  0.131 -0.836  0.112 -0.911  0.076 -0.976  0.032 -1.039  -0.004 -1.107  -0.061 -1.158  -0.134 -1.182  -0.207 -1.205  -0.276 -1.170  -0.350 -1.155  -0.427 -1.155  -0.500 -1.135  -0.569 -1.104  -0.643 -1.089  -0.712 -1.055  -0.768 -1.001
1c#gmd#kast/j  0.106 1.798  0.106 1.718  0.106 1.637  0.106 1.557  0.106 1.476  0.106 1.396  0.106 1.315  0.106 1.235  0.106 1.155  0.106 1.074  0.119 0.995  0.139 0.917  0.158 0.839  0.178 0.761  0.181 0.681  0.181 0.601  0.181 0.520  0.181 0.440  0.181 0.359  0.181 0.279  0.181 0.198  0.181 0.118  0.181 0.037  0.181 -0.043  0.181 -0.123  0.181 -0.204  0.224 -0.267  0.247 -0.333  0.228 -0.411  0.208 -0.489  0.189 -0.567  0.181 -0.646  0.181 -0.727  0.162 -0.804  0.137 -0.880  0.111 -0.957  0.061 -1.018  0.004 -1.075  -0.057 -1.122  -0.137 -1.122  -0.218 -1.122  -0.297 -1.113  -0.373 -1.087  -0.449 -1.062  -0.527 -1.047  -0.608 -1.047  -0.675 -1.015  -0.738 -0.973  -0.811 -0.955  -0.868 -0.898
1c#gmd#kast/j  0.147 1.668  0.147 1.744  0.147 1.662  0.147 1.579  0.147 1.497  0.147 1.414  0.147 1.332  0.147 1.250  0.147 1.167  0.147 1.085  0.147 1.002  0.147 0.920  0.147 0.837  0.147 0.755  0.147 0.672  0.147 0.590  0.147 0.507  0.156 0.426  0.173 0.345  0.189 0.264  0.205 0.183  0.221 0.102  0.226 0.020  0.226 -0.062  0.226 -0.145  0.226 -0.227  0.226 -0.309  0.226 -0.392  0.226 -0.474  0.226 -0.557  0.226 -0.639  0.225 -0.722  0.199 -0.800  0.173 -0.878  0.147 -0.956  0.089 -1.015  0.031 -1.073  -0.034 -1.116  -0.116 -1.116  -0.199 -1.116  -0.278 -1.103  -0.352 -1.066  -0.425 -1.029  -0.499 -0.992  -0.573 -0.955  -0.647 -0.919  -0.720 -0.882  -0.802 -0.878  -0.808 -0.801  -0.887 -0.798
1c#gmd#kast/j  0.179 1.671  0.170 1.715  0.134 1.643  0.118 1.566  0.118 1.486  0.118 1.405  0.118 1.324  0.118 1.243  0.118 1.163  0.118 1.082  0.118 1.001  0.133 0.922  0.149 0.843  0.164 0.764  0.179 0.685  0.179 0.604  0.179 0.523  0.179 0.442  0.179 0.362  0.179 0.281  0.179 0.200  0.179 0.120  0.179 0.039  0.179 -0.042  0.179 -0.122  0.186 -0.203  0.202 -0.282  0.218 -0.361  0.233 -0.440  0.240 -0.520  0.239 -0.601  0.220 -0.679  0.200 -0.757  0.181 -0.835  0.170 -0.912  0.113 -0.969  0.056 -1.026  -0.001 -1.083  -0.080 -1.087  -0.161 -1.087  -0.241 -1.087  -0.322 -1.087  -0.403 -1.087  -0.478 -1.065  -0.551 -1.029  -0.623 -0.993  -0.697 -0.965  -0.774 -0.948  -0.846 -0.912  -0.924 -0.903
1c#gmd#kast/j  0.105 1.692  0.105 1.753  0.105 1.670  0.105 1.587  0.105 1.504  0.105 1.421  0.105 1.338  0.105 1.255  0.105 1.173  0.105 1.090  0.105 1.007  0.105 0.924  0.105 0.841  0.105 0.758  0.105 0.675  0.109 0.593  0.126 0.512  0.142 0.430  0.158 0.349  0.174 0.268  0.177 0.185  0.179 0.102  0.199 0.022  0.219 -0.058  0.239 -0.139  0.249 -0.220  0.249 -0.303  0.249 -0.386  0.249 -0.469  0.249 -0.552  0.249 -0.635  0.249 -0.718  0.249 -0.801  0.210 -0.867  0.161 -0.933  0.124 -1.007  0.069 -1.062  -0.005 -1.100  -0.084 -1.116  -0.167 -1.116  -0.250 -1.116  -0.331 -1.111  -0.390 -1.053  -0.462 -1.013  -0.536 -0.976  -0.610 -0.938  -0.684 -0.901  -0.764 -0.894  -0.823 -0.836  -0.758 -0.828
1c#gmd#kast/j  0.159 1.444  0.193 1.513  0.211 1.585  0.167 1.556  0.153 1.484  0.119 1.416  0.108 1.342  0.108 1.265  0.108 1.189  0.098 1.115  0.064 1.047  0.056 0.972  0.056 0.896  0.056 0.819  0.056 0.743  0.056 0.666  0.056 0.590  0.056 0.514  0.059 0.437  0.070 0.362  0.081 0.286  0.092 0.210  0.103 0.135  0.108 0.059  0.108 -0.018  0.108 -0.094  0.108 -0.171  0.108 -0.247  0.108 -0.323  0.108 -0.400  0.108 -0.476  0.108 -0.553  0.108 -0.629  0.108 -0.706  0.108 -0.782  0.108 -0.858  0.091 -0.932  0.067 -1.005  0.032 -1.072  -0.010 -1.136  -0.055 -1.196  -0.124 -1.230  -0.197 -1.244  -0.273 -1.244  -0.350 -1.244  -0.426 -1.244  -0.503 -1.244  -0.572 -1.214  -0.643 -1.192  -0.720 -1.192
1c#gmd#kast/j  -0.182 1.777  -0.173 1.693  -0.149 1.614  -0.129 1.531  -0.105 1.448  -0.078 1.367  -0.046 1.288  -0.014 1.209  0.025 1.132  0.063 1.056  0.093 0.976  0.113 0.893  0.142 0.813  0.172 0.733  0.202 0.653  0.227 0.571  0.248 0.488  0.268 0.405  0.289 0.322  0.310 0.239  0.329 0.156  0.347 0.072  0.366 -0.011  0.385 -0.095  0.406 -0.178  0.421 -0.262  0.433 -0.346  0.445 -0.431  0.446 -0.516  0.435 -0.601  0.421 -0.685  0.387 -0.760  0.327 -0.820  0.266 -0.880  0.198 -0.932  0.124 -0.973  0.043 -0.998  -0.043 -0.998  -0.128 -0.998  -0.214 -0.998  -0.299 -0.992  -0.384 -0.981  -0.469 -0.971  -0.552 -0.952  -0.633 -0.925  -0.714 -0.898  -0.795 -0.871  -0.872 -0.835  -0.947 -0.794  -1.008 -0.734
1c#gmd#kast/j  0.097 1.730  0.028 1.703  0.012 1.629  0.012 1.549  0.022 1.470  0.038 1.391  0.053 1.313  0.067 1.234  0.080 1.154  0.093 1.075  0.097 0.996  0.100 0.916  0.122 0.839  0.144 0.762  0.166 0.685  0.187 0.607  0.207 0.530  0.225 0.452  0.235 0.372  0.245 0.293  0.255 0.213  0.265 0.134  0.266 0.053  0.266 -0.027  0.266 -0.107  0.266 -0.187  0.266 -0.267  0.264 -0.347  0.253 -0.427  0.242 -0.506  0.230 -0.585  0.223 -0.665  0.210 -0.741  0.169 -0.810  0.128 -0.879  0.088 -0.948  0.049 -1.017  -0.025 -1.047  -0.099 -1.077  -0.173 -1.108  -0.245 -1.142  -0.325 -1.142  -0.406 -1.142  -0.482 -1.127  -0.554 -1.091  -0.626 -1.055  -0.697 -1.019  -0.737 -0.952  -0.773 -0.880  -0.790 -0.804
1c#gmd#kast/j  0.165 1.773  0.137 1.706  0.137 1.627  0.137 1.548  0.137 1.469  0.137 1.390  0.137 1.311  0.137 1.232  0.137 1.154  0.146 1.075  0.157 0.997  0.165 0.919  0.165 0.840  0.165 0.761  0.165 0.682  0.165 0.603  0.174 0.525  0.183 0.446  0.192 0.368  0.193 0.289  0.193 0.210  0.193 0.131  0.193 0.052  0.193 -0.027  0.193 -0.106  0.193 -0.185  0.193 -0.263  0.193 -0.342  0.193 -0.421  0.193 -0.500  0.187 -0.579  0.177 -0.657  0.167 -0.735  0.146 -0.811  0.121 -0.886  0.080 -0.951  0.024 -1.007  -0.032 -1.062  -0.097 -1.106  -0.172 -1.128  -0.250 -1.143  -0.328 -1.144  -0.407 -1.144  -0.479 -1.114  -0.553 -1.085  -0.625 -1.054  -0.690 -1.011  -0.746 -0.955  -0.778 -0.884  -0.807 -0.810
1c#gmd#kast/j  0.186 1.775  0.156 1.724  0.156 1.642  0.156 1.561  0.173 1.482  0.191 1.403  0.202 1.322  0.212 1.241  0.217 1.160  0.217 1.079  0.224 0.998  0.232 0.916  0.239 0.835  0.246 0.754  0.247 0.673  0.247 0.591  0.243 0.510  0.237 0.429  0.231 0.347  0.225 0.266  0.220 0.185  0.214 0.104  0.207 0.022  0.201 -0.059  0.195 -0.140  0.189 -0.221  0.178 -0.302  0.164 -0.382  0.148 -0.462  0.126 -0.541  0.105 -0.619  0.083 -0.698  0.060 -0.776  0.027 -0.850  -0.006 -0.925  -0.039 -0.999  -0.079 -1.070  -0.129 -1.133  -0.198 -1.175  -0.269 -1.216  -0.350 -1.216  -0.421 -1.178  -0.491 -1.136  -0.540 -1.073  -0.582 -1.003  -0.611 -0.928  -0.630 -0.849  -0.650 -0.770  -0.670 -0.691  -0.690 -0.612
1c#gmd#kast/j  -0.026 1.742  -0.058 1.678  -0.046 1.603  -0.028 1.528  0.005 1.459  0.026 1.385  0.047 1.312  0.068 1.238  0.087 1.163  0.106 1.089  0.124 1.014  0.130 0.938  0.130 0.862  0.132 0.785  0.139 0.708  0.146 0.632  0.153 0.556  0.159 0.479  0.169 0.403  0.180 0.327  0.191 0.251  0.193 0.174  0.193 0.098  0.193 0.021  0.193 -0.056  0.193 -0.133  0.189 -0.209  0.183 -0.286  0.176 -0.362  0.170 -0.439  0.164 -0.515  0.153 -0.591  0.140 -0.667  0.127 -0.742  0.111 -0.817  0.094 -0.892  0.077 -0.967  0.045 -1.034  -0.009 -1.088  -0.067 -1.138  -0.127 -1.186  -0.189 -1.230  -0.265 -1.230  -0.342 -1.230  -0.416 -1.215  -0.485 -1.183  -0.545 -1.135  -0.605 -1.087  -0.660 -1.034  -0.715 -0.980
1c#gmd#kast/j  0.085 1.715  0.006 1.713  -0.031 1.640  -0.033 1.560  -0.058 1.483  -0.057 1.408  -0.033 1.332  -0.033 1.251  -0.033 1.170  -0.010 1.093  0.016 1.016  0.041 0.939  0.046 0.859  0.054 0.779  0.076 0.701  0.099 0.623  0.121 0.545  0.125 0.465  0.125 0.384  0.142 0.305  0.162 0.226  0.181 0.148  0.201 0.069  0.214 -0.011  0.225 -0.091  0.237 -0.171  0.243 -0.252  0.243 -0.333  0.243 -0.414  0.243 -0.495  0.243 -0.576  0.243 -0.657  0.243 -0.738  0.243 -0.819  0.243 -0.900  0.206 -0.966  0.161 -1.033  0.109 -1.092  0.032 -1.117  -0.044 -1.143  -0.122 -1.163  -0.201 -1.148  -0.281 -1.132  -0.361 -1.126  -0.442 -1.126  -0.517 -1.101  -0.580 -1.052  -0.638 -0.995  -0.678 -0.927  -0.704 -0.850
1c#gmd#kast/j  -0.093 1.600  -0.129 1.664  -0.165 1.617  -0.165 1.538  -0.149 1.461  -0.130 1.384  -0.105 1.309  -0.077 1.235  -0.045 1.163  -0.014 1.090  0.017 1.017  0.034 0.940  0.051 0.863  0.068 0.786  0.085 0.709  0.104 0.632  0.123 0.555  0.145 0.480  0.168 0.404  0.191 0.328  0.213 0.253  0.234 0.177  0.234 0.098  0.234 0.019  0.246 -0.059  0.262 -0.137  0.277 -0.214  0.293 -0.292  0.307 -0.369  0.307 -0.448  0.307 -0.527  0.307 -0.606  0.296 -0.684  0.271 -0.759  0.235 -0.829  0.200 -0.900  0.165 -0.971  0.111 -1.028  0.046 -1.071  -0.025 -1.107  -0.095 -1.142  -0.171 -1.159  -0.250 -1.159  -0.329 -1.159  -0.408 -1.159  -0.487 -1.159  -0.562 -1.136  -0.637 -1.111  -0.712 -1.085  -0.782 -1.050
1c#gmd#kast/j  0.098 1.814  0.076 1.748  0.076 1.661  0.076 1.574  0.076 1.487  0.079 1.400  0.096 1.315  0.117 1.230  0.132 1.145  0.150 1.060  0.174 0.976  0.189 0.890  0.200 0.804  0.218 0.719  0.239 0.634  0.260 0.550  0.274 0.464  0.285 0.378  0.304 0.293  0.317 0.207  0.328 0.120  0.330 0.033  0.330 -0.054  0.330 -0.141  0.330 -0.228  0.330 -0.315  0.330 -0.402  0.324 -0.489  0.309 -0.574  0.281 -0.657  0.249 -0.738  0.216 -0.818  0.172 -0.893  0.116 -0.959  0.054 -1.021  -0.014 -1.073  -0.092 -1.111  -0.175 -1.139  -0.258 -1.127  -0.340 -1.107  -0.416 -1.065  -0.483 -1.010  -0.545 -0.948  -0.603 -0.884  -0.658 -0.816  -0.703 -0.742  -0.740 -0.664  -0.785 -0.590  -0.822 -0.513  -0.833 -0.428
1c#gmd#kast/j  0.124 1.757  0.108 1.695  0.108 1.617  0.108 1.539  0.108 1.461  0.115 1.384  0.123 1.306  0.124 1.228  0.131 1.151  0.139 1.073  0.146 0.996  0.154 0.918  0.161 0.840  0.168 0.763  0.174 0.685  0.174 0.607  0.181 0.530  0.188 0.452  0.195 0.374  0.202 0.297  0.206 0.219  0.207 0.141  0.214 0.063  0.221 -0.014  0.223 -0.092  0.223 -0.170  0.220 -0.248  0.213 -0.325  0.206 -0.403  0.205 -0.481  0.190 -0.557  0.175 -0.634  0.158 -0.710  0.141 -0.786  0.106 -0.855  0.061 -0.919  0.014 -0.981  -0.036 -1.041  -0.097 -1.086  -0.167 -1.121  -0.240 -1.148  -0.317 -1.157  -0.395 -1.162  -0.470 -1.143  -0.546 -1.124  -0.616 -1.092  -0.680 -1.049  -0.736 -0.994  -0.786 -0.935  -0.827 -0.869
1c#gmd#kast/j  -0.209 1.752  -0.188 1.684  -0.176 1.609  -0.158 1.535  -0.138 1.460  -0.123 1.385  -0.110 1.310  -0.082 1.238  -0.057 1.165  -0.033 1.092  -0.008 1.019  0.014 0.945  0.033 0.870  0.051 0.796  0.070 0.721  0.080 0.644  0.090 0.568  0.103 0.492  0.119 0.416  0.135 0.341  0.152 0.266  0.163 0.189  0.170 0.113  0.178 0.036  0.186 -0.041  0.194 -0.118  0.201 -0.194  0.201 -0.272  0.208 -0.348  0.216 -0.425  0.222 -0.502  0.213 -0.578  0.204 -0.655  0.190 -0.731  0.175 -0.806  0.164 -0.883  0.144 -0.957  0.114 -1.027  0.081 -1.097  0.041 -1.163  0.003 -1.230  -0.058 -1.276  -0.130 -1.292  -0.207 -1.292  -0.279 -1.264  -0.343 -1.224  -0.392 -1.165  -0.434 -1.101  -0.477 -1.037  -0.512 -0.968
1c#gmd#kast/j  0.056 1.665  0.138 1.665  0.115 1.665  0.112 1.586  0.112 1.504  0.112 1.422  0.112 1.340  0.112 1.259  0.112 1.177  0.112 1.095  0.112 1.013  0.112 0.931  0.112 0.849  0.112 0.767  0.112 0.685  0.112 0.603  0.119 0.522  0.139 0.442  0.159 0.363  0.168 0.282  0.168 0.200  0.168 0.118  0.184 0.038  0.204 -0.042  0.224 -0.121  0.224 -0.203  0.224 -0.285  0.249 -0.363  0.275 -0.441  0.249 -0.515  0.224 -0.591  0.224 -0.673  0.199 -0.751  0.174 -0.828  0.162 -0.907  0.112 -0.968  0.086 -1.039  0.020 -1.087  -0.053 -1.123  -0.135 -1.124  -0.217 -1.124  -0.299 -1.124  -0.376 -1.103  -0.449 -1.067  -0.523 -1.030  -0.601 -1.013  -0.675 -0.982  -0.743 -0.938  -0.810 -0.901  -0.836 -0.845
1c#gmd#kast/j  0.635 1.482  0.635 1.560  0.597 1.546  0.557 1.479  0.522 1.409  0.487 1.340  0.453 1.270  0.427 1.197  0.414 1.120  0.401 1.043  0.388 0.966  0.370 0.891  0.345 0.817  0.320 0.743  0.292 0.670  0.265 0.597  0.238 0.524  0.210 0.451  0.183 0.378  0.160 0.303  0.139 0.228  0.117 0.153  0.096 0.078  0.074 0.004  0.050 -0.070  0.025 -0.145  0.014 -0.222  0.003 -0.299  -0.008 -0.376  -0.019 -0.453  -0.042 -0.526  -0.082 -0.593  -0.122 -0.660  -0.162 -0.727  -0.193 -0.798  -0.218 -0.872  -0.248 -0.944  -0.283 -1.014  -0.318 -1.083  -0.365 -1.144  -0.420 -1.199  -0.493 -1.211  -0.571 -1.211  -0.630 -1.166  -0.667 -1.097  -0.686 -1.024  -0.730 -0.964  -0.737 -0.889  -0.737 -0.811  -0.686 -0.754
1c#gmd#kast/j  0.596 1.708  0.596 1.728  0.563 1.642  0.511 1.566  0.483 1.484  0.483 1.390  0.483 1.297  0.464 1.207  0.429 1.120  0.395 1.033  0.365 0.945  0.350 0.853  0.335 0.760  0.319 0.668  0.313 0.575  0.313 0.482  0.301 0.389  0.286 0.297  0.270 0.205  0.255 0.112  0.240 0.020  0.224 -0.072  0.209 -0.164  0.183 -0.253  0.142 -0.337  0.124 -0.429  0.105 -0.521  0.087 -0.612  0.065 -0.703  0.042 -0.794  0.010 -0.881  -0.032 -0.965  -0.074 -1.049  -0.147 -1.100  -0.235 -1.125  -0.328 -1.125  -0.422 -1.125  -0.506 -1.084  -0.578 -1.027  -0.644 -0.961  -0.688 -0.879  -0.730 -0.795  -0.763 -0.709  -0.763 -0.616  -0.763 -0.522  -0.712 -0.450  -0.646 -0.384  -0.579 -0.318  -0.507 -0.260  -0.423 -0.219
1c#gmd#kast/j  0.545 1.556  0.593 1.604  0.542 1.548  0.518 1.475  0.494 1.402  0.459 1.333  0.425 1.265  0.392 1.195  0.392 1.119  0.375 1.045  0.350 0.972  0.326 0.899  0.302 0.826  0.282 0.752  0.267 0.676  0.252 0.601  0.236 0.526  0.215 0.452  0.194 0.378  0.173 0.304  0.152 0.230  0.130 0.156  0.105 0.083  0.083 0.010  0.070 -0.066  0.058 -0.142  0.045 -0.218  0.030 -0.293  0.002 -0.364  -0.027 -0.436  -0.055 -0.507  -0.081 -0.579  -0.106 -0.652  -0.128 -0.726  -0.146 -0.800  -0.165 -0.875  -0.200 -0.942  -0.243 -1.006  -0.289 -1.068  -0.336 -1.127  -0.370 -1.196  -0.441 -1.206  -0.518 -1.206  -0.591 -1.196  -0.640 -1.138  -0.674 -1.069  -0.709 -1.000  -0.734 -0.929  -0.767 -0.866  -0.785 -0.797
1c#gmd#kast/j  0.418 1.807  0.418 1.722  0.414 1.638  0.363 1.573  0.363 1.487  0.358 1.402  0.338 1.319  0.317 1.236  0.308 1.152  0.308 1.066  0.308 0.980  0.308 0.895  0.296 0.810  0.279 0.726  0.262 0.642  0.253 0.557  0.253 0.472  0.253 0.386  0.229 0.304  0.202 0.223  0.198 0.138  0.198 0.052  0.193 -0.033  0.177 -0.117  0.160 -0.201  0.143 -0.285  0.136 -0.370  0.115 -0.453  0.094 -0.536  0.073 -0.619  0.052 -0.702  0.029 -0.784  -0.028 -0.847  -0.066 -0.923  -0.121 -0.988  -0.163 -1.062  -0.220 -1.109  -0.305 -1.109  -0.391 -1.109  -0.472 -1.099  -0.517 -1.032  -0.517 -1.052  -0.546 -0.999  -0.572 -0.940  -0.607 -0.889  -0.627 -0.824  -0.627 -0.738  -0.678 -0.674  -0.682 -0.590  -0.682 -0.504
1c#gmd#kast/j  0.220 1.932  0.220 1.812  0.258 1.731  0.320 1.674  0.320 1.555  0.320 1.436  0.320 1.317  0.320 1.198  0.320 1.078  0.320 0.959  0.320 0.840  0.420 0.821  0.420 0.702  0.420 0.583  0.420 0.464  0.420 0.345  0.420 0.225  0.420 0.106  0.420 -0.013  0.420 -0.132  0.420 -0.251  0.420 -0.370  0.335 -0.374  0.420 -0.408  0.367 -0.475  0.392 -0.475  0.356 -0.539  0.320 -0.643  0.259 -0.737  0.174 -0.821  0.078 -0.876  0.019 -0.936  -0.060 -0.976  -0.179 -0.976  -0.299 -0.976  -0.418 -0.976  -0.537 -0.976  -0.582 -0.902  -0.675 -0.876  -0.694 -0.775  -0.752 -0.775  -0.683 -0.726  -0.751 -0.675  -0.783 -0.588  -0.777 -0.475  -0.683 -0.450  -0.683 -0.331  -0.683 -0.212  -0.683 -0.092  -0.683 0.027
1c#gmd#kast/j  0.118 1.984  0.199 1.903  0.228 1.802  0.228 1.688  0.228 1.575  0.228 1.461  0.228 1.348  0.228 1.234  0.228 1.120  0.228 1.007  0.303 0.924  0.291 0.844  0.245 0.764  0.325 0.684  0.337 0.575  0.337 0.461  0.337 0.348  0.337 0.234  0.337 0.121  0.337 0.007  0.337 -0.107  0.337 -0.220  0.337 -0.334  0.337 -0.447  0.307 -0.531  0.228 -0.565  0.228 -0.679  0.228 -0.792  0.195 -0.892  0.113 -0.968  0.009 -0.978  -0.005 -1.078  -0.113 -1.091  -0.194 -1.171  -0.301 -1.187  -0.319 -1.092  -0.418 -1.078  -0.428 -0.974  -0.505 -0.892  -0.538 -0.792  -0.538 -0.678  -0.613 -0.640  -0.647 -0.561  -0.563 -0.531  -0.538 -0.443  -0.538 -0.329  -0.441 -0.312  -0.428 -0.211  -0.428 -0.308  -0.428 -0.203
1c#gmd#kast/j  0.047 1.518  0.047 1.593  -0.000 1.602  -0.028 1.538  -0.047 1.470  -0.047 1.395  -0.047 1.320  -0.019 1.256  -0.000 1.189  -0.000 1.113  0.002 1.038  0.017 0.964  0.032 0.890  0.046 0.816  0.047 0.741  0.047 0.666  0.047 0.590  0.067 0.518  0.091 0.447  0.093 0.372  0.093 0.297  0.093 0.221  0.093 0.146  0.093 0.071  0.093 -0.005  0.095 -0.080  0.119 -0.151  0.140 -0.223  0.140 -0.298  0.140 -0.374  0.140 -0.449  0.136 -0.524  0.124 -0.598  0.111 -0.673  0.099 -0.747  0.093 -0.822  0.089 -0.897  0.074 -0.971  0.059 -1.044  0.043 -1.118  0.019 -1.189  -0.010 -1.257  -0.063 -1.311  -0.126 -1.341  -0.201 -1.337  -0.272 -1.313  -0.344 -1.290  -0.415 -1.266  -0.487 -1.248  -0.563 -1.248
1c#gmd#kast/j  0.298 1.381  0.361 1.407  0.361 1.497  0.298 1.523  0.256 1.571  0.235 1.503  0.235 1.413  0.194 1.340  0.171 1.260  0.171 1.170  0.171 1.080  0.171 0.991  0.171 0.901  0.171 0.811  0.171 0.722  0.171 0.632  0.178 0.544  0.218 0.464  0.235 0.378  0.179 0.311  0.171 0.225  0.171 0.135  0.171 0.045  0.171 -0.044  0.171 -0.134  0.171 -0.224  0.138 -0.300  0.108 -0.377  0.108 -0.467  0.108 -0.556  0.108 -0.646  0.082 -0.710  0.045 -0.762  0.045 -0.852  0.003 -0.900  -0.019 -0.968  -0.041 -1.048  -0.104 -1.112  -0.168 -1.175  -0.240 -1.216  -0.330 -1.216  -0.420 -1.216  -0.495 -1.183  -0.559 -1.119  -0.622 -1.056  -0.652 -0.979  -0.652 -0.889  -0.652 -0.799  -0.652 -0.710  -0.589 -0.646
1c#gmd#kast/j  0.157 1.760  0.214 1.703  0.230 1.629  0.230 1.548  0.230 1.468  0.230 1.387  0.230 1.307  0.230 1.226  0.230 1.145  0.230 1.065  0.230 0.984  0.230 0.904  0.230 0.823  0.230 0.742  0.230 0.662  0.230 0.581  0.230 0.501  0.230 0.420  0.230 0.339  0.230 0.259  0.230 0.178  0.230 0.098  0.230 0.017  0.230 -0.064  0.230 -0.144  0.230 -0.225  0.230 -0.305  0.221 -0.384  0.196 -0.461  0.170 -0.537  0.157 -0.616  0.157 -0.696  0.132 -0.771  0.096 -0.843  0.036 -0.891  -0.036 -0.927  -0.098 -0.977  -0.155 -1.034  -0.214 -1.086  -0.295 -1.086  -0.375 -1.086  -0.456 -1.086  -0.536 -1.086  -0.617 -1.086  -0.669 -1.040  -0.705 -0.968  -0.769 -0.940  -0.791 -0.883  -0.791 -0.802  -0.791 -0.721
1c#gmd#kast/j  0.226 1.634  0.226 1.668  0.178 1.634  0.162 1.564  0.126 1.491  0.111 1.413  0.111 1.332  0.111 1.250  0.111 1.169  0.111 1.087  0.111 1.006  0.111 0.924  0.111 0.843  0.114 0.762  0.139 0.684  0.165 0.607  0.168 0.526  0.168 0.445  0.196 0.369  0.226 0.295  0.226 0.214  0.226 0.132  0.226 0.051  0.226 -0.031  0.226 -0.112  0.226 -0.194  0.226 -0.276  0.226 -0.357  0.226 -0.439  0.226 -0.520  0.205 -0.597  0.169 -0.670  0.168 -0.751  0.147 -0.828  0.111 -0.900  0.094 -0.975  0.036 -1.033  -0.028 -1.074  -0.105 -1.095  -0.178 -1.131  -0.259 -1.131  -0.341 -1.131  -0.419 -1.108  -0.496 -1.083  -0.573 -1.057  -0.651 -1.031  -0.720 -0.992  -0.777 -0.934  -0.811 -0.867  -0.811 -0.785
1c#gmd#kast/j  0.090 1.684  0.146 1.737  0.146 1.654  0.146 1.572  0.146 1.489  0.146 1.406  0.146 1.324  0.146 1.241  0.146 1.158  0.161 1.078  0.187 1.000  0.202 0.919  0.202 0.837  0.202 0.754  0.202 0.671  0.212 0.590  0.238 0.512  0.258 0.432  0.258 0.350  0.258 0.267  0.258 0.184  0.258 0.102  0.258 0.019  0.258 -0.064  0.258 -0.146  0.255 -0.229  0.229 -0.307  0.202 -0.386  0.202 -0.468  0.202 -0.551  0.167 -0.625  0.146 -0.703  0.142 -0.784  0.083 -0.842  0.034 -0.905  0.006 -0.976  -0.053 -1.034  -0.120 -1.081  -0.194 -1.116  -0.268 -1.137  -0.326 -1.148  -0.396 -1.116  -0.479 -1.116  -0.551 -1.091  -0.609 -1.033  -0.668 -0.974  -0.694 -0.903  -0.727 -0.828  -0.750 -0.750  -0.750 -0.668
