3#apa#apa13#app1334/~  -0.928 -0.333  -0.928 -0.444  -0.967 -0.517  -1.079 -0.517  -1.035 -0.517  -0.928 -0.512  -0.928 -0.401  -0.928 -0.289  -0.928 -0.178  -0.928 -0.066  -0.928 0.046  -0.928 0.157  -0.928 0.269  -0.928 0.380  -0.867 0.466  -0.788 0.545  -0.744 0.639  -0.744 0.750  -0.656 0.773  -0.544 0.773  -0.432 0.773  -0.321 0.773  -0.209 0.773  -0.098 0.773  0.008 0.759  0.087 0.680  0.166 0.601  0.178 0.494  0.178 0.383  0.178 0.271  0.220 0.177  0.299 0.098  0.362 0.013  0.362 -0.099  0.406 -0.192  0.485 -0.271  0.546 -0.357  0.546 -0.469  0.609 -0.517  0.721 -0.517  0.832 -0.517  0.944 -0.517  1.056 -0.517  1.167 -0.517  1.279 -0.517  1.390 -0.517  1.502 -0.517  1.613 -0.517  1.725 -0.517  1.837 -0.517
2#app#app14#app1423/~  -1.345 -0.128  -1.345 -0.236  -1.345 -0.343  -1.345 -0.337  -1.345 -0.229  -1.339 -0.128  -1.231 -0.128  -1.123 -0.128  -1.079 -0.065  -1.079 0.043  -1.067 0.138  -0.959 0.138  -0.851 0.138  -0.813 0.207  -0.813 0.315  -0.794 0.404  -0.687 0.404  -0.579 0.404  -0.471 0.404  -0.364 0.404  -0.256 0.404  -0.148 0.404  -0.041 0.404  -0.015 0.322  -0.015 0.215  0.016 0.138  0.124 0.138  0.231 0.138  0.251 0.050  0.251 -0.058  0.251 -0.165  0.251 -0.273  0.251 -0.380  0.345 -0.394  0.453 -0.394  0.561 -0.394  0.668 -0.394  0.776 -0.394  0.854 -0.323  0.930 -0.247  1.006 -0.171  1.096 -0.128  1.204 -0.128  1.312 -0.128  1.389 -0.054  1.465 0.022  1.541 0.098  1.632 0.138  1.740 0.138  1.847 0.138
1d#apa#apa14#app1479/~  -1.149 -0.605  -1.240 -0.605  -1.331 -0.605  -1.366 -0.550  -1.366 -0.460  -1.352 -0.375  -1.288 -0.310  -1.224 -0.246  -1.160 -0.182  -1.096 -0.118  -1.032 -0.054  -0.968 0.010  -0.904 0.074  -0.839 0.138  -0.775 0.202  -0.709 0.262  -0.619 0.262  -0.528 0.262  -0.455 0.306  -0.391 0.370  -0.327 0.434  -0.255 0.479  -0.164 0.479  -0.074 0.479  0.017 0.479  0.108 0.479  0.198 0.479  0.289 0.479  0.380 0.479  0.470 0.479  0.561 0.479  0.586 0.413  0.586 0.323  0.586 0.232  0.586 0.141  0.586 0.051  0.646 -0.015  0.710 -0.079  0.774 -0.143  0.839 -0.207  0.903 -0.272  0.967 -0.336  1.036 -0.388  1.126 -0.388  1.217 -0.388  1.308 -0.388  1.398 -0.388  1.489 -0.388  1.580 -0.388  1.670 -0.388
1d#apa#apa14#app1479/~  -1.104 -0.763  -1.199 -0.763  -1.250 -0.719  -1.250 -0.625  -1.250 -0.530  -1.250 -0.435  -1.250 -0.340  -1.215 -0.253  -1.173 -0.168  -1.130 -0.084  -1.068 -0.031  -0.973 -0.031  -0.922 0.040  -0.879 0.125  -0.837 0.210  -0.778 0.278  -0.693 0.321  -0.608 0.363  -0.523 0.406  -0.429 0.408  -0.334 0.408  -0.239 0.408  -0.144 0.408  -0.049 0.408  0.046 0.408  0.067 0.334  0.089 0.262  0.184 0.262  0.213 0.196  0.213 0.101  0.213 0.006  0.271 -0.031  0.365 -0.034  0.450 -0.076  0.535 -0.119  0.620 -0.161  0.711 -0.177  0.806 -0.177  0.901 -0.177  0.995 -0.177  1.090 -0.177  1.185 -0.177  1.268 -0.148  1.335 -0.080  1.402 -0.013  1.469 0.054  1.531 0.123  1.531 0.218  1.531 0.313  1.531 0.408
2#tos#t3#t3012065/~  -1.003 -0.043  -1.089 -0.073  -1.135 -0.166  -1.214 -0.198  -1.214 -0.204  -1.214 -0.100  -1.214 0.004  -1.211 0.108  -1.178 0.206  -1.145 0.305  -1.099 0.399  -1.031 0.470  -0.938 0.517  -0.904 0.589  -0.800 0.589  -0.696 0.589  -0.592 0.589  -0.488 0.589  -0.383 0.589  -0.350 0.519  -0.301 0.463  -0.238 0.385  -0.189 0.294  -0.119 0.238  -0.091 0.162  -0.091 0.058  -0.058 -0.038  -0.006 -0.127  0.068 -0.201  0.120 -0.284  0.184 -0.324  0.285 -0.336  0.379 -0.383  0.479 -0.399  0.565 -0.457  0.652 -0.514  0.750 -0.534  0.854 -0.534  0.958 -0.534  1.063 -0.534  1.167 -0.534  1.196 -0.449  1.283 -0.391  1.369 -0.333  1.384 -0.237  1.384 -0.133  1.394 -0.033  1.454 0.046  1.478 0.145  1.524 0.238
2#app#app32#app3283/~  -1.558 0.088  -1.445 0.088  -1.332 0.088  -1.219 0.088  -1.154 0.136  -1.154 0.249  -1.082 0.290  -0.969 0.290  -0.952 0.387  -0.944 0.492  -0.831 0.492  -0.750 0.524  -0.750 0.637  -0.694 0.695  -0.581 0.695  -0.547 0.615  -0.547 0.502  -0.444 0.492  -0.345 0.478  -0.345 0.365  -0.345 0.252  -0.345 0.139  -0.283 0.088  -0.170 0.088  -0.143 0.002  -0.143 -0.111  -0.143 -0.224  -0.122 -0.316  -0.009 -0.316  0.059 -0.361  0.059 -0.474  0.128 -0.518  0.241 -0.518  0.354 -0.518  0.467 -0.518  0.580 -0.518  0.693 -0.518  0.806 -0.518  0.919 -0.518  1.033 -0.518  1.146 -0.518  1.259 -0.518  1.342 -0.447  1.422 -0.367  1.473 -0.275  1.473 -0.162  1.473 -0.049  1.473 0.064  1.473 0.177  1.473 0.290
2#app#app32#app3283/~  -1.619 -0.136  -1.505 -0.136  -1.392 -0.136  -1.302 -0.112  -1.302 0.002  -1.209 0.023  -1.143 0.071  -1.140 0.181  -1.026 0.181  -0.984 0.253  -0.965 0.359  -0.885 0.440  -0.804 0.520  -0.724 0.601  -0.633 0.658  -0.520 0.658  -0.436 0.585  -0.355 0.505  -0.244 0.499  -0.191 0.438  -0.191 0.325  -0.191 0.211  -0.191 0.097  -0.163 -0.005  -0.082 -0.086  -0.032 -0.179  -0.032 -0.293  -0.032 -0.407  0.035 -0.454  0.127 -0.475  0.127 -0.589  0.218 -0.612  0.332 -0.612  0.445 -0.612  0.559 -0.612  0.653 -0.563  0.733 -0.482  0.827 -0.421  0.929 -0.370  1.031 -0.319  1.079 -0.235  1.094 -0.136  1.208 -0.136  1.238 -0.053  1.265 0.050  1.346 0.130  1.426 0.211  1.507 0.291  1.556 0.385  1.556 0.499
1d#app#app08#app0833/~  -1.476 -0.331  -1.335 -0.331  -1.236 -0.288  -1.236 -0.148  -1.236 -0.007  -1.236 0.134  -1.109 0.148  -0.997 0.177  -0.997 0.317  -0.926 0.388  -0.785 0.388  -0.757 0.501  -0.743 0.627  -0.602 0.627  -0.518 0.684  -0.518 0.825  -0.419 0.867  -0.278 0.867  -0.137 0.867  -0.039 0.824  -0.039 0.683  -0.039 0.542  -0.039 0.401  -0.039 0.260  -0.039 0.119  -0.039 -0.021  -0.039 -0.162  -0.039 -0.303  -0.039 -0.444  -0.039 -0.585  -0.039 -0.726  0.018 -0.810  0.159 -0.810  0.300 -0.810  0.440 -0.809  0.440 -0.668  0.483 -0.570  0.624 -0.570  0.765 -0.570  0.906 -0.570  0.919 -0.442  0.948 -0.331  1.089 -0.331  1.209 -0.280  1.308 -0.181  1.398 -0.077  1.398 0.064  1.438 0.188  1.537 0.288  1.637 0.388
2#app#app08#app0860/~  -1.145 -0.682  -1.145 -0.543  -1.145 -0.405  -1.145 -0.267  -1.222 -0.205  -1.304 -0.149  -1.304 -0.011  -1.304 0.127  -1.304 0.266  -1.211 0.365  -1.099 0.430  -0.968 0.448  -0.871 0.546  -0.750 0.589  -0.612 0.589  -0.474 0.589  -0.351 0.605  -0.351 0.743  -0.218 0.748  -0.193 0.635  -0.193 0.496  -0.193 0.358  -0.141 0.271  -0.034 0.240  -0.034 0.102  -0.034 -0.036  -0.034 -0.174  0.074 -0.205  0.125 -0.292  0.125 -0.430  0.125 -0.569  0.150 -0.682  0.289 -0.682  0.427 -0.682  0.565 -0.682  0.703 -0.682  0.760 -0.600  0.821 -0.523  0.919 -0.483  0.933 -0.350  1.031 -0.252  1.129 -0.155  1.226 -0.057  1.237 0.077  1.237 0.215  1.319 0.271  1.396 0.333  1.396 0.389  1.396 0.251  1.396 0.112
2#app#app08#app0860/~  -1.576 -0.199  -1.503 -0.126  -1.430 -0.053  -1.357 0.020  -1.285 0.093  -1.212 0.166  -1.139 0.239  -1.046 0.263  -0.943 0.263  -0.839 0.263  -0.736 0.263  -0.653 0.283  -0.653 0.386  -0.653 0.489  -0.555 0.494  -0.452 0.494  -0.422 0.420  -0.422 0.317  -0.422 0.214  -0.422 0.110  -0.422 0.007  -0.422 -0.096  -0.422 -0.199  -0.422 -0.302  -0.422 -0.405  -0.344 -0.429  -0.240 -0.429  -0.137 -0.429  -0.034 -0.429  0.066 -0.416  0.158 -0.370  0.250 -0.324  0.342 -0.278  0.435 -0.232  0.530 -0.199  0.633 -0.199  0.736 -0.199  0.839 -0.199  0.942 -0.199  1.045 -0.199  1.149 -0.199  1.234 -0.157  1.307 -0.084  1.380 -0.011  1.453 0.062  1.526 0.134  1.599 0.207  1.655 0.287  1.655 0.391  1.655 0.494
2#tos#t3#t3072063/~  -1.084 -0.108  -1.147 -0.169  -1.210 -0.230  -1.328 -0.224  -1.328 -0.100  -1.321 0.020  -1.220 0.075  -1.206 0.184  -1.145 0.247  -1.093 0.318  -1.023 0.408  -1.023 0.532  -0.930 0.562  -0.806 0.562  -0.744 0.623  -0.620 0.623  -0.496 0.623  -0.414 0.581  -0.310 0.562  -0.232 0.517  -0.171 0.454  -0.171 0.330  -0.120 0.258  -0.110 0.144  -0.055 0.075  -0.049 -0.042  -0.049 -0.166  -0.049 -0.290  0.006 -0.379  0.073 -0.462  0.124 -0.534  0.247 -0.534  0.371 -0.534  0.478 -0.574  0.593 -0.595  0.717 -0.595  0.803 -0.558  0.864 -0.495  0.966 -0.473  1.047 -0.431  1.108 -0.368  1.154 -0.290  1.277 -0.290  1.290 -0.180  1.342 -0.108  1.351 0.007  1.407 0.075  1.412 0.193  1.412 0.317  1.412 0.440
3#app#app19#app1919/~  -1.395 -0.871  -1.395 -0.768  -1.349 -0.712  -1.246 -0.712  -1.236 -0.620  -1.211 -0.527  -1.138 -0.454  -1.076 -0.377  -1.076 -0.274  -1.033 -0.189  -0.960 -0.116  -0.887 -0.043  -0.814 0.029  -0.741 0.102  -0.669 0.175  -0.596 0.248  -0.493 0.248  -0.436 0.294  -0.436 0.397  -0.371 0.473  -0.298 0.546  -0.204 0.567  -0.106 0.578  -0.033 0.651  0.040 0.724  0.141 0.727  0.203 0.686  0.203 0.584  0.203 0.481  0.203 0.378  0.203 0.275  0.257 0.194  0.330 0.121  0.363 0.032  0.363 -0.071  0.435 -0.144  0.508 -0.217  0.605 -0.232  0.707 -0.232  0.810 -0.232  0.913 -0.232  1.016 -0.232  1.119 -0.232  1.222 -0.232  1.325 -0.231  1.417 -0.185  1.509 -0.139  1.601 -0.093  1.699 -0.072  1.802 -0.072
2#apa#apa09#app0993/~  -0.390 -0.170  -0.509 -0.170  -0.628 -0.170  -0.747 -0.170  -0.866 -0.170  -0.985 -0.170  -1.104 -0.170  -1.223 -0.170  -1.342 -0.170  -1.379 -0.250  -1.379 -0.369  -1.379 -0.488  -1.271 -0.499  -1.153 -0.499  -1.036 -0.490  -0.937 -0.424  -0.838 -0.358  -0.739 -0.293  -0.640 -0.227  -0.541 -0.161  -0.443 -0.095  -0.344 -0.029  -0.245 0.037  -0.146 0.103  -0.049 0.172  0.035 0.256  0.120 0.340  0.204 0.424  0.288 0.508  0.372 0.592  0.456 0.676  0.540 0.761  0.634 0.820  0.753 0.820  0.872 0.820  0.929 0.758  0.929 0.639  0.929 0.520  0.929 0.401  0.929 0.282  0.929 0.163  0.981 0.057  1.034 -0.050  1.088 -0.156  1.141 -0.262  1.194 -0.369  1.247 -0.475  1.259 -0.591  1.259 -0.710  1.259 -0.829
1d#pri#pri0#150/~  -0.769 -0.126  -0.852 -0.126  -0.935 -0.126  -1.014 -0.109  -1.088 -0.072  -1.162 -0.036  -1.242 -0.024  -1.297 0.032  -1.309 0.112  -1.273 0.180  -1.213 0.237  -1.139 0.274  -1.063 0.306  -0.984 0.332  -0.906 0.359  -0.829 0.390  -0.750 0.413  -0.668 0.413  -0.585 0.413  -0.502 0.413  -0.421 0.406  -0.344 0.375  -0.266 0.346  -0.188 0.319  -0.109 0.293  -0.045 0.241  0.020 0.189  0.091 0.148  0.165 0.111  0.238 0.071  0.307 0.025  0.376 -0.021  0.447 -0.063  0.519 -0.104  0.591 -0.145  0.666 -0.180  0.742 -0.213  0.818 -0.246  0.894 -0.278  0.970 -0.311  1.047 -0.340  1.128 -0.361  1.208 -0.381  1.288 -0.400  1.369 -0.418  1.450 -0.436  1.531 -0.454  1.613 -0.465  1.695 -0.475  1.777 -0.486
3#apa#apa20#app2018/~  -1.264 -0.300  -1.343 -0.221  -1.423 -0.141  -1.457 -0.081  -1.345 -0.081  -1.264 -0.049  -1.264 0.063  -1.238 0.165  -1.158 0.245  -1.079 0.324  -0.981 0.359  -0.869 0.359  -0.776 0.407  -0.697 0.487  -0.617 0.566  -0.510 0.578  -0.398 0.578  -0.285 0.578  -0.173 0.578  -0.165 0.473  -0.165 0.361  -0.165 0.248  -0.165 0.136  -0.165 0.024  -0.165 -0.089  -0.165 -0.201  -0.152 -0.300  -0.040 -0.300  0.054 -0.319  0.054 -0.431  0.078 -0.520  0.190 -0.520  0.303 -0.520  0.415 -0.520  0.527 -0.520  0.640 -0.520  0.741 -0.493  0.820 -0.413  0.900 -0.334  0.979 -0.254  1.059 -0.175  1.138 -0.095  1.245 -0.081  1.357 -0.081  1.372 0.016  1.372 0.129  1.475 0.139  1.587 0.139  1.592 0.246  1.592 0.359
3#apa#apa20#app2018/~  -1.192 -0.633  -1.272 -0.554  -1.351 -0.475  -1.371 -0.371  -1.371 -0.260  -1.371 -0.148  -1.327 -0.054  -1.248 0.025  -1.169 0.104  -1.090 0.183  -1.009 0.258  -0.897 0.258  -0.836 0.309  -0.836 0.421  -0.740 0.437  -0.637 0.457  -0.558 0.536  -0.479 0.615  -0.367 0.615  -0.255 0.615  -0.143 0.615  -0.031 0.615  0.055 0.590  0.055 0.478  0.126 0.437  0.234 0.433  0.234 0.321  0.234 0.209  0.234 0.098  0.234 -0.014  0.253 -0.118  0.333 -0.197  0.412 -0.276  0.412 -0.388  0.444 -0.486  0.523 -0.565  0.606 -0.633  0.718 -0.633  0.830 -0.633  0.942 -0.633  1.022 -0.558  1.101 -0.478  1.125 -0.377  1.133 -0.268  1.213 -0.189  1.292 -0.110  1.371 -0.031  1.450 0.048  1.482 0.147  1.482 0.258
1d#apa#apa13#app1361/~  -1.294 -0.017  -1.404 -0.019  -1.483 -0.097  -1.440 -0.126  -1.350 -0.074  -1.263 -0.017  -1.161 0.007  -1.082 0.085  -1.004 0.164  -0.925 0.243  -0.841 0.310  -0.749 0.329  -0.728 0.419  -0.616 0.419  -0.531 0.445  -0.503 0.528  -0.422 0.559  -0.389 0.636  -0.288 0.611  -0.209 0.532  -0.205 0.423  -0.205 0.312  -0.205 0.200  -0.205 0.089  -0.205 -0.022  -0.205 -0.134  -0.205 -0.245  -0.196 -0.353  -0.117 -0.431  -0.038 -0.510  0.052 -0.561  0.163 -0.561  0.275 -0.561  0.386 -0.561  0.483 -0.527  0.563 -0.452  0.675 -0.452  0.783 -0.445  0.862 -0.366  0.955 -0.308  1.055 -0.258  1.154 -0.209  1.254 -0.159  1.347 -0.099  1.425 -0.020  1.476 0.078  1.526 0.178  1.598 0.261  1.677 0.340  1.756 0.419
1d#apa#apa13#app1361/~  -1.550 -0.152  -1.457 -0.152  -1.363 -0.152  -1.282 -0.123  -1.216 -0.057  -1.191 0.026  -1.159 0.088  -1.067 0.091  -1.001 0.158  -0.951 0.230  -0.951 0.324  -0.861 0.328  -0.831 0.391  -0.805 0.474  -0.738 0.540  -0.656 0.567  -0.571 0.548  -0.505 0.482  -0.439 0.415  -0.373 0.349  -0.351 0.265  -0.325 0.182  -0.259 0.116  -0.231 0.034  -0.212 -0.052  -0.146 -0.118  -0.079 -0.184  -0.013 -0.250  0.053 -0.316  0.119 -0.382  0.208 -0.392  0.302 -0.392  0.395 -0.392  0.489 -0.392  0.582 -0.392  0.676 -0.392  0.758 -0.363  0.824 -0.297  0.907 -0.272  0.997 -0.258  1.081 -0.216  1.164 -0.174  1.240 -0.121  1.306 -0.055  1.372 0.011  1.438 0.078  1.527 0.088  1.621 0.088  1.714 0.088  1.808 0.088
3#apa#apa03#app0389/~  -0.819 -0.039  -0.819 -0.155  -0.867 -0.252  -0.950 -0.334  -1.032 -0.417  -1.115 -0.499  -1.218 -0.532  -1.297 -0.517  -1.215 -0.434  -1.148 -0.345  -1.148 -0.229  -1.057 -0.203  -0.983 -0.160  -0.983 -0.043  -0.904 0.040  -0.822 0.123  -0.739 0.205  -0.657 0.288  -0.575 0.370  -0.492 0.453  -0.410 0.535  -0.327 0.618  -0.211 0.619  -0.161 0.553  -0.161 0.437  -0.161 0.320  -0.074 0.290  0.004 0.251  0.004 0.135  0.080 0.050  0.162 -0.033  0.168 -0.147  0.228 -0.203  0.345 -0.203  0.462 -0.203  0.578 -0.203  0.695 -0.203  0.811 -0.203  0.928 -0.203  1.045 -0.203  1.161 -0.203  1.278 -0.203  1.373 -0.151  1.455 -0.068  1.484 0.036  1.511 0.126  1.628 0.126  1.649 0.222  1.649 0.338  1.649 0.455
1d#app#app37#app3745/~  -0.909 -0.294  -1.013 -0.398  -1.117 -0.502  -1.146 -0.637  -1.146 -0.785  -1.146 -0.932  -1.070 -1.004  -0.923 -1.004  -0.909 -0.870  -0.909 -0.723  -0.909 -0.576  -0.909 -0.429  -0.909 -0.281  -0.909 -0.134  -0.860 -0.007  -0.755 0.097  -0.672 0.210  -0.672 0.357  -0.610 0.479  -0.506 0.583  -0.402 0.687  -0.298 0.791  -0.192 0.890  -0.044 0.890  0.038 0.825  0.038 0.678  0.038 0.531  0.061 0.393  0.166 0.289  0.270 0.185  0.274 0.039  0.326 -0.057  0.473 -0.057  0.620 -0.057  0.748 -0.076  0.748 -0.223  0.825 -0.294  0.972 -0.294  0.985 -0.429  0.985 -0.485  0.985 -0.337  0.985 -0.190  0.995 -0.047  1.099 0.057  1.203 0.161  1.221 0.301  1.221 0.448  1.221 0.596  1.221 0.743  1.221 0.890
1d#app#app37#app3745/~  -1.124 -1.210  -1.124 -1.082  -1.124 -0.955  -1.124 -0.827  -1.124 -0.700  -1.124 -0.572  -1.124 -0.444  -1.124 -0.317  -1.068 -0.202  -1.011 -0.088  -0.954 0.026  -0.896 0.139  -0.805 0.229  -0.715 0.320  -0.676 0.431  -0.676 0.558  -0.676 0.686  -0.670 0.807  -0.542 0.807  -0.414 0.807  -0.287 0.807  -0.179 0.759  -0.089 0.669  0.003 0.583  0.131 0.583  0.221 0.546  0.221 0.418  0.221 0.291  0.221 0.163  0.221 0.036  0.223 -0.091  0.313 -0.181  0.404 -0.272  0.445 -0.382  0.445 -0.510  0.545 -0.537  0.673 -0.537  0.800 -0.537  0.928 -0.537  1.055 -0.537  1.118 -0.472  1.118 -0.345  1.118 -0.217  1.118 -0.089  1.118 0.038  1.118 0.166  1.118 0.293  1.161 0.403  1.252 0.493  1.342 0.583
1d#app#app37#app3745/~  -1.342 -0.704  -1.342 -0.567  -1.342 -0.429  -1.342 -0.292  -1.324 -0.162  -1.227 -0.064  -1.130 0.033  -1.079 0.149  -1.079 0.287  -1.024 0.401  -0.927 0.498  -0.829 0.596  -0.817 0.728  -0.817 0.865  -0.685 0.871  -0.548 0.871  -0.410 0.871  -0.292 0.852  -0.292 0.714  -0.260 0.608  -0.123 0.608  -0.029 0.564  -0.029 0.427  0.011 0.306  0.108 0.209  0.205 0.112  0.233 -0.014  0.233 -0.151  0.233 -0.289  0.233 -0.426  0.355 -0.442  0.493 -0.442  0.496 -0.576  0.502 -0.711  0.600 -0.808  0.697 -0.905  0.758 -0.916  0.758 -0.778  0.821 -0.704  0.959 -0.704  1.021 -0.629  1.021 -0.491  1.021 -0.354  1.021 -0.216  1.021 -0.079  1.021 0.059  1.021 0.196  1.021 0.334  1.146 0.346  1.283 0.346
2#app#app14#app1440/~  -1.387 -0.200  -1.387 -0.321  -1.387 -0.443  -1.311 -0.488  -1.189 -0.488  -1.099 -0.457  -1.099 -0.336  -1.099 -0.214  -0.992 -0.200  -0.870 -0.200  -0.783 -0.144  -0.728 -0.036  -0.674 0.073  -0.620 0.182  -0.565 0.290  -0.497 0.377  -0.376 0.377  -0.254 0.377  -0.234 0.478  -0.234 0.599  -0.194 0.705  -0.108 0.791  -0.023 0.877  0.067 0.954  0.189 0.954  0.310 0.954  0.432 0.954  0.553 0.954  0.631 0.911  0.631 0.789  0.631 0.668  0.631 0.546  0.631 0.424  0.631 0.303  0.631 0.181  0.631 0.060  0.631 -0.062  0.631 -0.183  0.631 -0.305  0.631 -0.426  0.631 -0.548  0.631 -0.669  0.631 -0.791  0.631 -0.912  0.631 -1.034  0.722 -1.065  0.843 -1.065  0.965 -1.065  1.087 -1.065  1.208 -1.065
2#app#app14#app1440/~  -1.499 -0.079  -1.418 0.002  -1.337 0.083  -1.256 0.164  -1.166 0.222  -1.051 0.222  -0.937 0.222  -0.844 0.275  -0.763 0.356  -0.682 0.437  -0.601 0.518  -0.520 0.599  -0.439 0.680  -0.358 0.761  -0.269 0.823  -0.155 0.823  -0.040 0.823  0.005 0.893  0.005 1.007  0.005 1.122  0.005 1.012  0.005 0.898  0.005 0.783  0.005 0.668  0.005 0.554  0.005 0.439  0.005 0.325  0.013 0.214  0.094 0.133  0.175 0.051  0.256 -0.030  0.306 -0.123  0.306 -0.238  0.306 -0.353  0.306 -0.467  0.306 -0.582  0.306 -0.696  0.306 -0.811  0.306 -0.925  0.364 -0.982  0.478 -0.982  0.593 -0.982  0.707 -0.982  0.822 -0.982  0.937 -0.982  1.051 -0.982  1.166 -0.982  1.280 -0.982  1.395 -0.982  1.509 -0.982
2#app#app14#app1440/~  -1.343 -0.026  -1.217 -0.026  -1.090 -0.026  -1.054 0.064  -1.054 0.191  -1.000 0.264  -0.874 0.264  -0.765 0.281  -0.765 0.407  -0.765 0.534  -0.658 0.553  -0.531 0.553  -0.475 0.624  -0.475 0.750  -0.441 0.842  -0.315 0.842  -0.188 0.842  -0.186 0.966  -0.186 1.093  -0.186 1.044  -0.186 0.917  -0.186 0.791  -0.186 0.664  -0.186 0.538  -0.186 0.411  -0.186 0.285  -0.186 0.159  -0.186 0.032  -0.118 -0.026  0.009 -0.026  0.103 -0.058  0.103 -0.184  0.103 -0.311  0.190 -0.401  0.279 -0.491  0.368 -0.580  0.393 -0.697  0.393 -0.823  0.448 -0.894  0.575 -0.894  0.701 -0.894  0.828 -0.894  0.954 -0.894  1.080 -0.894  1.207 -0.894  1.333 -0.894  1.460 -0.894  1.550 -0.857  1.550 -0.731  1.550 -0.604
1d#app#app14#app1422/~  -1.290 -0.050  -1.290 0.077  -1.290 0.204  -1.279 0.319  -1.152 0.319  -1.025 0.319  -0.905 0.335  -0.815 0.425  -0.726 0.514  -0.636 0.604  -0.552 0.696  -0.552 0.822  -0.552 0.949  -0.533 1.057  -0.406 1.057  -0.280 1.057  -0.153 1.057  -0.026 1.057  0.101 1.057  0.186 1.016  0.186 0.890  0.186 0.763  0.186 0.636  0.186 0.509  0.186 0.383  0.186 0.256  0.186 0.129  0.186 0.002  0.186 -0.125  0.186 -0.251  0.186 -0.378  0.186 -0.505  0.186 -0.632  0.186 -0.758  0.186 -0.885  0.186 -1.012  0.186 -1.139  0.295 -1.157  0.421 -1.157  0.548 -1.157  0.556 -1.038  0.556 -0.911  0.559 -0.788  0.686 -0.788  0.813 -0.788  0.935 -0.778  1.025 -0.688  1.115 -0.598  1.204 -0.509  1.294 -0.419
2#app#app07#app0715/~  -1.299 -0.375  -1.384 -0.375  -1.403 -0.375  -1.318 -0.375  -1.299 -0.308  -1.289 -0.227  -1.228 -0.167  -1.168 -0.107  -1.086 -0.101  -1.026 -0.076  -1.026 0.009  -0.967 0.035  -0.889 0.043  -0.889 0.128  -0.849 0.172  -0.764 0.172  -0.679 0.172  -0.593 0.172  -0.508 0.172  -0.423 0.172  -0.342 0.168  -0.342 0.083  -0.305 0.035  -0.220 0.035  -0.155 -0.015  -0.095 -0.075  -0.021 -0.101  0.064 -0.101  0.149 -0.101  0.234 -0.101  0.319 -0.101  0.404 -0.101  0.489 -0.101  0.574 -0.101  0.659 -0.101  0.744 -0.101  0.829 -0.101  0.907 -0.083  0.967 -0.023  1.028 0.035  1.113 0.035  1.188 0.061  1.248 0.121  1.312 0.172  1.397 0.172  1.468 0.205  1.528 0.265  1.589 0.325  1.649 0.385  1.709 0.446
1d#tos#t1#t1017065/~  -0.932 -0.123  -0.946 -0.226  -1.064 -0.226  -1.139 -0.269  -1.195 -0.330  -1.242 -0.259  -1.293 -0.193  -1.293 -0.076  -1.293 0.041  -1.270 0.135  -1.190 0.172  -1.139 0.238  -1.126 0.348  -1.019 0.393  -0.902 0.393  -0.829 0.437  -0.719 0.444  -0.602 0.444  -0.495 0.420  -0.410 0.341  -0.293 0.341  -0.261 0.255  -0.161 0.238  -0.096 0.186  -0.055 0.110  0.024 0.056  0.080 -0.020  0.146 -0.072  0.151 -0.183  0.225 -0.226  0.294 -0.305  0.375 -0.381  0.471 -0.433  0.536 -0.484  0.654 -0.484  0.771 -0.484  0.867 -0.433  0.977 -0.426  0.998 -0.330  1.080 -0.294  1.132 -0.229  1.177 -0.130  1.240 -0.072  1.338 -0.053  1.338 0.064  1.390 0.130  1.390 0.247  1.390 0.365  1.427 0.444  1.493 0.496
1d#app#app31#app3140/~  -1.409 -0.225  -1.536 -0.225  -1.567 -0.129  -1.504 -0.066  -1.377 -0.066  -1.250 -0.066  -1.123 -0.066  -0.996 -0.066  -0.887 -0.021  -0.798 0.069  -0.708 0.159  -0.618 0.248  -0.492 0.252  -0.392 0.316  -0.302 0.405  -0.177 0.410  -0.139 0.499  -0.139 0.512  -0.156 0.393  -0.246 0.303  -0.336 0.213  -0.426 0.123  -0.456 0.009  -0.456 -0.118  -0.456 -0.245  -0.456 -0.372  -0.456 -0.499  -0.372 -0.542  -0.245 -0.542  -0.118 -0.542  0.009 -0.542  0.136 -0.542  0.254 -0.505  0.367 -0.448  0.481 -0.391  0.574 -0.306  0.668 -0.225  0.795 -0.225  0.910 -0.177  1.024 -0.120  1.136 -0.061  1.226 0.029  1.290 0.129  1.293 0.255  1.383 0.344  1.473 0.434  1.563 0.524  1.671 0.569  1.734 0.569  1.607 0.569
1d#app#app19#app1930/~  -1.448 -0.828  -1.448 -0.716  -1.366 -0.686  -1.306 -0.634  -1.306 -0.522  -1.306 -0.410  -1.203 -0.401  -1.163 -0.329  -1.134 -0.229  -1.055 -0.150  -0.975 -0.071  -0.896 0.008  -0.817 0.088  -0.738 0.167  -0.659 0.246  -0.580 0.325  -0.501 0.404  -0.421 0.483  -0.342 0.562  -0.263 0.642  -0.184 0.721  -0.079 0.737  0.033 0.737  0.117 0.709  0.117 0.597  0.227 0.595  0.259 0.515  0.259 0.403  0.259 0.291  0.259 0.179  0.259 0.068  0.259 -0.044  0.259 -0.156  0.266 -0.265  0.345 -0.345  0.434 -0.401  0.546 -0.401  0.657 -0.401  0.745 -0.342  0.824 -0.263  0.934 -0.259  1.046 -0.259  1.113 -0.213  1.128 -0.116  1.240 -0.116  1.352 -0.116  1.444 -0.069  1.523 0.010  1.603 0.089  1.682 0.168
