2#apb#apb38#app3869/O  0.556 0.839  0.590 0.977  0.635 1.111  0.600 1.233  0.466 1.242  0.336 1.183  0.209 1.121  0.090 1.043  -0.021 0.957  -0.108 0.844  -0.195 0.732  -0.275 0.615  -0.348 0.493  -0.421 0.371  -0.494 0.249  -0.562 0.124  -0.620 -0.005  -0.677 -0.135  -0.735 -0.265  -0.793 -0.395  -0.843 -0.528  -0.890 -0.662  -0.937 -0.796  -0.959 -0.931  -0.919 -1.067  -0.851 -1.177  -0.718 -1.227  -0.584 -1.275  -0.453 -1.222  -0.321 -1.169  -0.189 -1.116  -0.069 -1.040  0.051 -0.963  0.171 -0.887  0.276 -0.794  0.374 -0.690  0.471 -0.586  0.565 -0.480  0.634 -0.356  0.704 -0.232  0.764 -0.105  0.785 0.036  0.804 0.176  0.763 0.312  0.723 0.449  0.649 0.568  0.566 0.684  0.483 0.799  0.401 0.915  0.319 1.031
2#apb#apb38#app3869/n  -0.717 0.529  -0.666 0.683  -0.557 0.757  -0.489 0.851  -0.415 0.753  -0.494 0.614  -0.523 0.455  -0.552 0.296  -0.597 0.141  -0.655 -0.010  -0.713 -0.162  -0.770 -0.313  -0.821 -0.467  -0.900 -0.608  -0.986 -0.745  -1.035 -0.891  -1.029 -1.029  -1.016 -0.908  -0.918 -0.779  -0.816 -0.653  -0.713 -0.528  -0.628 -0.391  -0.543 -0.253  -0.458 -0.115  -0.362 0.015  -0.254 0.135  -0.146 0.256  -0.039 0.378  0.063 0.503  0.166 0.628  0.269 0.754  0.409 0.834  0.551 0.912  0.694 0.987  0.788 0.944  0.832 0.788  0.830 0.628  0.815 0.467  0.803 0.305  0.803 0.143  0.803 -0.019  0.803 -0.181  0.803 -0.343  0.833 -0.501  0.922 -0.632  1.026 -0.757  1.163 -0.842  1.315 -0.877  1.477 -0.877  1.639 -0.877
2#apb#apb38#app3869/d  -0.117 -0.362  -0.141 -0.219  -0.285 -0.213  -0.401 -0.314  -0.529 -0.398  -0.662 -0.476  -0.764 -0.590  -0.863 -0.707  -0.940 -0.839  -1.009 -0.977  -1.071 -1.117  -1.078 -1.254  -0.946 -1.279  -0.794 -1.251  -0.652 -1.200  -0.519 -1.122  -0.402 -1.024  -0.293 -0.916  -0.189 -0.804  -0.094 -0.683  0.001 -0.562  0.085 -0.433  0.168 -0.303  0.241 -0.168  0.313 -0.033  0.373 0.108  0.412 0.257  0.451 0.405  0.486 0.555  0.514 0.706  0.542 0.857  0.570 1.008  0.591 1.161  0.609 1.313  0.617 1.467  0.617 1.620  0.580 1.511  0.520 1.370  0.458 1.229  0.404 1.085  0.353 0.940  0.302 0.795  0.292 0.642  0.285 0.488  0.283 0.335  0.290 0.181  0.298 0.028  0.328 -0.123  0.363 -0.272  0.399 -0.422
2#apb#apb38#app3869/S  -1.008 -1.101  -0.858 -0.981  -0.718 -0.850  -0.601 -0.697  -0.482 -0.546  -0.362 -0.395  -0.236 -0.250  -0.107 -0.107  0.014 0.042  0.124 0.200  0.234 0.358  0.342 0.517  0.447 0.678  0.539 0.848  0.630 1.017  0.700 1.196  0.760 1.378  0.771 1.570  0.765 1.705  0.733 1.516  0.758 1.326  0.758 1.133  0.756 0.941  0.749 0.749  0.740 0.556  0.715 0.366  0.689 0.175  0.647 -0.013  0.604 -0.200  0.529 -0.376  0.438 -0.545  0.317 -0.693  0.178 -0.826  0.026 -0.943  -0.160 -0.994  -0.346 -0.963  -0.519 -0.882  -0.678 -0.777  -0.787 -0.618  -0.883 -0.452  -0.959 -0.275  -1.018 -0.092  -1.008 0.093  -0.911 -0.058  -0.793 -0.209  -0.646 -0.333  -0.481 -0.432  -0.313 -0.526  -0.141 -0.608  0.051 -0.620
2#apb#apb38#app3869/t  0.709 1.720  0.622 1.652  0.529 1.502  0.459 1.339  0.394 1.175  0.315 1.016  0.236 0.858  0.160 0.698  0.095 0.534  0.029 0.369  -0.046 0.209  -0.125 0.051  -0.204 -0.107  -0.280 -0.268  -0.355 -0.428  -0.399 -0.598  -0.432 -0.772  -0.403 -0.944  -0.349 -1.112  -0.273 -1.266  -0.111 -1.338  0.062 -1.373  0.237 -1.368  0.411 -1.337  0.577 -1.282  0.736 -1.202  0.877 -1.097  0.876 -0.981  0.748 -0.859  0.620 -0.736  0.492 -0.614  0.364 -0.492  0.236 -0.370  0.108 -0.247  -0.020 -0.125  -0.148 -0.003  -0.277 0.120  -0.405 0.242  -0.533 0.364  -0.661 0.486  -0.789 0.609  -0.917 0.731  -1.001 0.757  -0.836 0.696  -0.660 0.675  -0.485 0.649  -0.310 0.623  -0.134 0.614  0.043 0.614  0.220 0.614
2#apb#apb38#app3869/.  0.709 1.720  0.622 1.652  0.529 1.502  0.459 1.339  0.394 1.175  0.315 1.016  0.236 0.858  0.160 0.698  0.095 0.534  0.029 0.369  -0.046 0.209  -0.125 0.051  -0.204 -0.107  -0.280 -0.268  -0.355 -0.428  -0.399 -0.598  -0.432 -0.772  -0.403 -0.944  -0.349 -1.112  -0.273 -1.266  -0.111 -1.338  0.062 -1.373  0.237 -1.368  0.411 -1.337  0.577 -1.282  0.736 -1.202  0.877 -1.097  0.876 -0.981  0.748 -0.859  0.620 -0.736  0.492 -0.614  0.364 -0.492  0.236 -0.370  0.108 -0.247  -0.020 -0.125  -0.148 -0.003  -0.277 0.120  -0.405 0.242  -0.533 0.364  -0.661 0.486  -0.789 0.609  -0.917 0.731  -1.001 0.757  -0.836 0.696  -0.660 0.675  -0.485 0.649  -0.310 0.623  -0.134 0.614  0.043 0.614  0.220 0.614
2#apb#apb38#app3869/I  0.549 -0.812  0.507 -0.819  0.437 -0.675  0.329 -0.555  0.266 -0.405  0.209 -0.254  0.156 -0.100  0.123 0.058  0.098 0.218  0.075 0.379  0.055 0.540  0.036 0.701  0.016 0.862  0.006 1.024  -0.003 1.186  -0.009 1.348  -0.009 1.510  0.004 1.671  0.069 1.672  0.166 1.542  0.222 1.390  0.278 1.238  0.328 1.083  0.377 0.929  0.419 0.772  0.445 0.612  0.471 0.452  0.491 0.291  0.500 0.129  0.510 -0.033  0.490 -0.193  0.461 -0.353  0.403 -0.502  0.325 -0.644  0.207 -0.749  0.070 -0.836  -0.073 -0.910  -0.226 -0.966  -0.378 -1.022  -0.539 -1.040  -0.700 -1.057  -0.858 -1.025  -1.014 -0.980  -1.149 -0.901  -1.088 -0.791  -0.931 -0.766  -0.769 -0.767  -0.607 -0.775  -0.451 -0.818  -0.294 -0.862
2#apb#apb38#app3869/n  -1.986 -0.766  -1.915 -0.640  -1.792 -0.538  -1.660 -0.445  -1.538 -0.338  -1.415 -0.232  -1.286 -0.135  -1.147 -0.051  -1.008 0.033  -0.870 0.118  -0.732 0.202  -0.594 0.287  -0.455 0.372  -0.317 0.457  -0.176 0.537  -0.030 0.607  0.116 0.677  0.263 0.747  0.418 0.791  0.576 0.828  0.629 0.692  0.625 0.532  0.605 0.371  0.552 0.223  0.460 0.089  0.368 -0.044  0.257 -0.161  0.138 -0.272  0.019 -0.382  -0.101 -0.491  -0.221 -0.600  -0.355 -0.691  -0.307 -0.611  -0.192 -0.498  -0.064 -0.400  0.067 -0.303  0.202 -0.214  0.337 -0.124  0.472 -0.034  0.607 0.056  0.742 0.146  0.879 0.233  1.015 0.321  1.142 0.339  1.134 0.177  1.130 0.018  1.165 -0.140  1.256 -0.250  1.414 -0.254  1.576 -0.241
2#apb#apb38#app3869/f  -0.422 0.077  -0.291 0.148  -0.166 0.245  -0.048 0.351  0.065 0.463  0.177 0.576  0.289 0.688  0.400 0.801  0.509 0.917  0.612 1.037  0.699 1.170  0.779 1.307  0.852 1.448  0.803 1.523  0.695 1.409  0.600 1.281  0.504 1.155  0.406 1.030  0.315 0.900  0.234 0.764  0.152 0.628  0.070 0.492  0.003 0.348  -0.064 0.204  -0.131 0.060  -0.198 -0.084  -0.262 -0.229  -0.325 -0.375  -0.389 -0.520  -0.452 -0.666  -0.509 -0.814  -0.564 -0.963  -0.620 -1.111  -0.664 -1.264  -0.697 -1.419  -0.666 -1.569  -0.531 -1.593  -0.405 -1.496  -0.304 -1.374  -0.206 -1.249  -0.126 -1.113  -0.049 -0.974  -0.007 -0.822  0.023 -0.666  0.040 -0.509  0.040 -0.350  0.024 -0.193  -0.012 -0.039  -0.058 0.113  -0.129 0.254
2#apb#apb38#app3869/i  -0.253 0.262  -0.324 0.068  -0.347 0.083  -0.306 0.092  -0.326 0.090  -0.105 0.227  0.124 0.344  0.346 0.480  0.484 0.682  0.416 0.609  0.199 0.464  0.024 0.269  -0.172 0.095  -0.393 -0.047  -0.594 -0.214  -0.803 -0.370  -1.010 -0.527  -1.191 -0.716  -1.403 -0.870  -1.427 -0.903  -1.300 -0.814  -1.058 -0.796  -0.831 -0.669  -0.637 -0.493  -0.471 -0.292  -0.321 -0.079  -0.115 0.075  0.051 0.269  0.055 0.282  -0.143 0.128  -0.326 -0.047  -0.451 -0.273  -0.541 -0.513  -0.438 -0.743  -0.211 -0.828  0.045 -0.790  0.297 -0.717  0.552 -0.658  0.782 -0.531  1.022 -0.435  1.279 -0.383  1.246 -0.128  1.207 0.132  1.169 0.391  1.130 0.651  1.091 0.910  1.053 1.170  1.014 1.429  0.975 1.688  0.937 1.948
2#apb#apb38#app3869/n  -1.844 -0.423  -1.834 -0.482  -1.687 -0.490  -1.544 -0.437  -1.412 -0.362  -1.285 -0.277  -1.155 -0.195  -1.023 -0.118  -0.892 -0.040  -0.762 0.042  -0.637 0.129  -0.512 0.217  -0.380 0.293  -0.237 0.347  -0.093 0.377  0.014 0.287  0.008 0.149  -0.060 0.012  -0.144 -0.115  -0.238 -0.236  -0.342 -0.347  -0.460 -0.444  -0.584 -0.533  -0.646 -0.506  -0.552 -0.390  -0.427 -0.301  -0.306 -0.208  -0.195 -0.103  -0.084 0.002  0.029 0.105  0.148 0.202  0.267 0.298  0.386 0.394  0.519 0.469  0.654 0.540  0.791 0.608  0.933 0.665  1.033 0.615  0.990 0.468  0.945 0.322  0.877 0.186  0.822 0.050  0.861 -0.096  0.989 -0.170  1.140 -0.166  1.290 -0.142  1.440 -0.110  1.589 -0.077  1.737 -0.039  1.874 0.030
2#apb#apb38#app3869/i  -1.586 -1.047  -1.542 -0.932  -1.401 -0.932  -1.270 -0.898  -1.154 -0.817  -1.043 -0.729  -0.934 -0.638  -0.821 -0.553  -0.706 -0.471  -0.596 -0.382  -0.500 -0.278  -0.404 -0.174  -0.311 -0.068  -0.219 0.041  -0.134 0.153  -0.058 0.272  0.011 0.359  -0.067 0.241  -0.162 0.136  -0.253 0.028  -0.325 -0.094  -0.398 -0.215  -0.476 -0.334  -0.528 -0.459  -0.441 -0.559  -0.303 -0.545  -0.166 -0.514  -0.033 -0.465  0.100 -0.415  0.231 -0.362  0.363 -0.310  0.491 -0.249  0.617 -0.186  0.744 -0.122  0.873 -0.063  0.953 -0.066  1.043 -0.060  1.009 0.078  0.974 0.215  0.940 0.353  0.906 0.490  0.871 0.627  0.837 0.765  0.803 0.902  0.768 1.040  0.734 1.177  0.700 1.314  0.665 1.452  0.631 1.589  0.568 1.704
2#apb#apb38#app3869/t  0.943 1.829  0.836 1.686  0.751 1.525  0.666 1.365  0.582 1.204  0.498 1.043  0.414 0.882  0.333 0.720  0.252 0.558  0.170 0.396  0.074 0.242  -0.025 0.090  -0.124 -0.062  -0.219 -0.217  -0.313 -0.372  -0.407 -0.527  -0.509 -0.677  -0.616 -0.824  -0.661 -0.999  -0.655 -1.178  -0.588 -1.340  -0.443 -1.438  -0.263 -1.422  -0.084 -1.391  0.094 -1.355  0.237 -1.247  0.376 -1.130  0.500 -0.998  0.547 -0.866  0.416 -0.739  0.286 -0.613  0.156 -0.487  0.025 -0.360  -0.105 -0.234  -0.235 -0.108  -0.365 0.019  -0.496 0.145  -0.626 0.271  -0.756 0.398  -0.886 0.524  -0.779 0.520  -0.601 0.484  -0.420 0.472  -0.240 0.475  -0.063 0.516  0.113 0.557  0.292 0.590  0.469 0.627  0.639 0.691  0.809 0.754
2#apb#apb38#app3869/e  -1.598 -1.112  -1.550 -1.172  -1.430 -1.198  -1.298 -1.179  -1.187 -1.109  -1.081 -1.030  -0.975 -0.950  -0.866 -0.874  -0.748 -0.811  -0.631 -0.749  -0.513 -0.687  -0.396 -0.625  -0.285 -0.551  -0.181 -0.469  -0.076 -0.387  0.029 -0.305  0.129 -0.218  0.215 -0.116  0.301 -0.015  0.387 0.087  0.471 0.190  0.543 0.301  0.615 0.413  0.687 0.525  0.755 0.639  0.794 0.766  0.832 0.893  0.839 1.023  0.823 1.155  0.739 1.232  0.607 1.239  0.482 1.223  0.399 1.119  0.315 1.015  0.232 0.911  0.144 0.812  0.055 0.712  -0.026 0.609  -0.064 0.482  -0.103 0.354  -0.089 0.228  -0.044 0.103  0.001 -0.022  0.081 -0.126  0.170 -0.225  0.259 -0.324  0.368 -0.390  0.496 -0.427  0.624 -0.463  0.752 -0.500
2#apb#apb38#app3869/L  -0.753 0.695  -0.648 0.609  -0.535 0.685  -0.412 0.751  -0.290 0.819  -0.168 0.886  -0.043 0.950  0.081 1.012  0.193 1.095  0.302 1.182  0.415 1.264  0.528 1.346  0.633 1.438  0.673 1.376  0.668 1.237  0.652 1.098  0.638 0.959  0.626 0.820  0.611 0.682  0.583 0.545  0.556 0.408  0.513 0.276  0.459 0.147  0.405 0.018  0.348 -0.109  0.277 -0.229  0.206 -0.349  0.134 -0.469  0.054 -0.583  -0.026 -0.698  -0.106 -0.812  -0.195 -0.919  -0.291 -1.021  -0.396 -1.110  -0.518 -1.177  -0.645 -1.234  -0.758 -1.182  -0.824 -1.063  -0.821 -0.925  -0.758 -0.800  -0.688 -0.679  -0.574 -0.610  -0.437 -0.589  -0.309 -0.646  -0.198 -0.730  -0.105 -0.835  0.027 -0.870  0.166 -0.884  0.305 -0.888  0.445 -0.888
2#apb#apb38#app3869/o  0.567 0.863  0.431 0.886  0.305 0.814  0.176 0.752  0.031 0.752  -0.115 0.752  -0.245 0.703  -0.364 0.620  -0.484 0.537  -0.593 0.442  -0.690 0.334  -0.787 0.226  -0.884 0.117  -0.933 -0.020  -0.982 -0.157  -1.030 -0.294  -1.065 -0.433  -1.049 -0.577  -1.033 -0.722  -0.944 -0.835  -0.848 -0.944  -0.744 -1.040  -0.604 -1.078  -0.463 -1.117  -0.323 -1.135  -0.181 -1.102  -0.039 -1.070  0.103 -1.037  0.230 -0.967  0.354 -0.893  0.479 -0.818  0.584 -0.718  0.687 -0.615  0.790 -0.512  0.844 -0.377  0.898 -0.242  0.942 -0.104  0.955 0.040  0.968 0.185  0.946 0.323  0.875 0.450  0.804 0.577  0.708 0.685  0.605 0.788  0.502 0.891  0.369 0.947  0.233 0.998  0.111 1.075  0.001 1.078  -0.102 0.975
2#apb#apb38#app3869/o  0.095 0.758  -0.058 0.742  -0.184 0.647  -0.284 0.526  -0.376 0.398  -0.475 0.276  -0.587 0.164  -0.699 0.052  -0.789 -0.075  -0.867 -0.213  -0.932 -0.356  -0.975 -0.507  -0.984 -0.659  -0.934 -0.808  -0.880 -0.957  -0.825 -1.105  -0.745 -1.217  -0.587 -1.217  -0.429 -1.217  -0.271 -1.217  -0.113 -1.217  0.011 -1.150  0.103 -1.022  0.187 -0.890  0.226 -0.737  0.264 -0.583  0.270 -0.426  0.262 -0.270  0.212 -0.120  0.148 0.023  0.064 0.157  -0.020 0.291  -0.107 0.423  -0.250 0.451  -0.360 0.540  -0.369 0.582  -0.211 0.582  -0.053 0.582  0.104 0.594  0.261 0.614  0.417 0.637  0.573 0.665  0.728 0.693  0.884 0.718  1.041 0.732  1.199 0.746  1.354 0.769  1.502 0.825  1.650 0.880  1.806 0.889
2#apb#apb38#app3869/p  -0.386 -0.897  -0.435 -0.996  -0.465 -1.103  -0.509 -1.205  -0.542 -1.310  -0.585 -1.411  -0.644 -1.503  -0.644 -1.468  -0.639 -1.358  -0.615 -1.250  -0.591 -1.142  -0.567 -1.034  -0.543 -0.925  -0.520 -0.817  -0.496 -0.709  -0.468 -0.601  -0.440 -0.494  -0.412 -0.387  -0.384 -0.280  -0.339 -0.179  -0.294 -0.077  -0.250 0.024  -0.205 0.126  -0.160 0.227  -0.109 0.325  -0.054 0.421  0.001 0.517  0.056 0.614  0.111 0.710  0.191 0.787  0.272 0.863  0.352 0.939  0.442 1.002  0.539 1.056  0.635 1.111  0.744 1.125  0.854 1.127  0.942 1.077  0.942 0.978  0.893 0.879  0.838 0.782  0.779 0.690  0.688 0.627  0.596 0.564  0.501 0.510  0.396 0.475  0.291 0.440  0.184 0.410  0.076 0.384  -0.032 0.359
