2#tos#t2#t2068064/\"  -0.929 0.848  -1.073 0.752  -1.212 0.653  -1.127 0.565  -0.954 0.565  -0.882 0.425  -0.824 0.262  -0.747 0.107  -0.741 -0.064  -0.741 -0.237  -0.741 -0.410  -0.741 -0.583  -0.739 -0.755  -0.646 -0.890  -0.646 -1.062  -0.646 -1.235  -0.603 -1.240  -0.519 -1.089  -0.435 -0.937  -0.351 -0.786  -0.267 -0.635  -0.183 -0.484  -0.099 -0.333  -0.015 -0.182  0.069 -0.031  0.153 0.121  0.237 0.272  0.321 0.423  0.405 0.574  0.489 0.725  0.573 0.876  0.657 1.027  0.741 1.178  0.712 1.117  0.589 1.036  0.551 1.036  0.578 0.890  0.672 0.812  0.687 0.645  0.766 0.505  0.766 0.332  0.766 0.159  0.766 -0.014  0.766 -0.187  0.766 -0.360  0.766 -0.533  0.766 -0.705  0.766 -0.878  0.766 -1.051  0.766 -1.224
2#tos#t2#t2068064/S  1.199 0.664  1.199 0.805  1.131 0.878  0.998 0.913  0.862 0.942  0.728 0.985  0.588 0.985  0.447 0.985  0.306 0.985  0.165 0.985  0.025 0.979  -0.114 0.956  -0.252 0.929  -0.389 0.899  -0.524 0.858  -0.654 0.806  -0.754 0.706  -0.831 0.618  -0.825 0.480  -0.726 0.381  -0.622 0.287  -0.498 0.224  -0.364 0.181  -0.240 0.116  -0.117 0.059  0.020 0.042  0.147 -0.018  0.278 -0.069  0.399 -0.139  0.515 -0.212  0.625 -0.294  0.664 -0.419  0.664 -0.559  0.664 -0.700  0.593 -0.797  0.488 -0.890  0.377 -0.975  0.251 -1.038  0.121 -1.081  -0.020 -1.081  -0.161 -1.081  -0.302 -1.081  -0.443 -1.081  -0.554 -1.010  -0.676 -0.947  -0.764 -0.859  -0.827 -0.733  -0.852 -0.774  -0.938 -0.869  -1.009 -0.939
2#tos#t2#t2068064/U  -0.797 1.005  -0.860 0.935  -0.866 0.834  -0.866 0.727  -0.866 0.621  -0.866 0.514  -0.866 0.407  -0.866 0.300  -0.866 0.194  -0.866 0.087  -0.866 -0.020  -0.866 -0.127  -0.866 -0.234  -0.866 -0.340  -0.837 -0.442  -0.768 -0.522  -0.700 -0.604  -0.631 -0.681  -0.562 -0.755  -0.504 -0.845  -0.418 -0.898  -0.313 -0.911  -0.207 -0.911  -0.100 -0.911  0.007 -0.911  0.114 -0.911  0.168 -0.839  0.230 -0.755  0.312 -0.688  0.396 -0.625  0.471 -0.549  0.517 -0.455  0.579 -0.371  0.644 -0.289  0.683 -0.190  0.701 -0.086  0.738 0.008  0.802 0.094  0.830 0.196  0.869 0.295  0.910 0.392  0.910 0.499  0.910 0.606  0.910 0.712  0.910 0.819  0.910 0.926  0.910 1.033  0.910 1.139  0.910 1.246  0.841 1.283
2#tos#t2#t2068064/W  -1.237 0.995  -1.202 0.844  -1.141 0.671  -1.123 0.488  -1.118 0.303  -1.042 0.134  -1.012 -0.049  -0.968 -0.230  -0.933 -0.412  -0.906 -0.586  -0.834 -0.750  -0.782 -0.925  -0.689 -1.084  -0.550 -1.156  -0.472 -0.988  -0.403 -0.821  -0.403 -0.635  -0.327 -0.467  -0.309 -0.285  -0.237 -0.113  -0.176 0.058  -0.172 0.243  -0.061 0.392  -0.024 0.573  -0.003 0.757  0.052 0.926  0.145 0.864  0.168 0.687  0.241 0.519  0.241 0.333  0.241 0.147  0.241 -0.039  0.279 -0.220  0.279 -0.406  0.294 -0.589  0.317 -0.769  0.443 -0.861  0.608 -0.823  0.699 -0.661  0.788 -0.504  0.872 -0.345  0.917 -0.165  0.983 0.009  1.034 0.187  1.113 0.355  1.113 0.541  1.149 0.723  1.258 0.870  1.308 1.044  1.340 1.223
2#tos#t2#t2068064/X  -0.914 0.947  -1.038 1.011  -0.954 1.109  -0.844 0.959  -0.768 0.788  -0.673 0.627  -0.560 0.476  -0.471 0.310  -0.387 0.142  -0.303 -0.027  -0.219 -0.195  -0.078 -0.318  0.038 -0.460  0.122 -0.629  0.196 -0.801  0.300 -0.957  0.425 -1.097  0.511 -1.257  0.581 -1.342  0.602 -1.155  0.622 -0.968  0.643 -0.780  0.664 -0.593  0.685 -0.406  0.705 -0.219  0.726 -0.032  0.747 0.155  0.768 0.342  0.789 0.530  0.809 0.717  0.830 0.904  0.851 1.091  0.826 1.236  0.693 1.103  0.551 0.980  0.406 0.859  0.273 0.726  0.140 0.592  0.023 0.446  -0.082 0.290  -0.214 0.156  -0.335 0.013  -0.440 -0.144  -0.527 -0.310  -0.653 -0.449  -0.786 -0.582  -0.919 -0.715  -1.000 -0.880  -1.118 -1.027  -1.245 -1.166
2#tos#t2#t2068064/a  0.469 0.415  0.469 0.501  0.469 0.678  0.445 0.845  0.327 0.975  0.251 1.130  0.088 1.183  -0.089 1.183  -0.266 1.183  -0.436 1.138  -0.561 1.013  -0.706 0.912  -0.742 0.739  -0.839 0.599  -0.949 0.464  -1.015 0.300  -1.027 0.125  -1.062 -0.049  -1.069 -0.225  -1.069 -0.402  -1.069 -0.579  -1.069 -0.756  -0.978 -0.877  -0.832 -0.942  -0.655 -0.942  -0.479 -0.939  -0.361 -0.826  -0.199 -0.756  -0.084 -0.647  0.034 -0.526  0.090 -0.359  0.195 -0.221  0.298 -0.083  0.391 0.047  0.423 0.218  0.435 0.393  0.469 0.448  0.414 0.288  0.378 0.122  0.378 -0.055  0.378 -0.232  0.423 -0.398  0.522 -0.543  0.647 -0.668  0.823 -0.670  1.000 -0.670  1.176 -0.670  1.352 -0.662  1.523 -0.625  1.689 -0.580
2#tos#t2#t2068064/b  -0.471 1.654  -0.471 1.849  -0.471 1.791  -0.471 1.596  -0.471 1.401  -0.471 1.206  -0.471 1.011  -0.471 0.816  -0.446 0.628  -0.339 0.465  -0.339 0.270  -0.339 0.075  -0.339 -0.120  -0.339 -0.315  -0.339 -0.510  -0.339 -0.705  -0.339 -0.900  -0.339 -1.095  -0.339 -1.290  -0.318 -1.270  -0.280 -1.079  -0.241 -0.888  -0.203 -0.696  -0.165 -0.505  -0.127 -0.314  -0.088 -0.123  -0.142 0.005  -0.142 0.200  -0.142 0.396  -0.085 0.534  0.097 0.588  0.281 0.653  0.474 0.666  0.669 0.666  0.863 0.660  1.044 0.596  1.044 0.401  1.044 0.206  1.013 0.014  0.942 -0.161  0.804 -0.299  0.730 -0.476  0.591 -0.603  0.422 -0.700  0.257 -0.803  0.104 -0.920  -0.085 -0.967  -0.142 -1.118  -0.276 -1.179  -0.339 -1.311
2#tos#t2#t2068064/c  0.657 0.837  0.657 0.945  0.587 1.008  0.479 1.008  0.371 1.008  0.268 1.038  0.162 1.051  0.055 1.051  -0.053 1.051  -0.151 1.009  -0.248 0.962  -0.351 0.928  -0.442 0.873  -0.515 0.798  -0.564 0.702  -0.619 0.610  -0.674 0.517  -0.708 0.415  -0.782 0.338  -0.837 0.253  -0.837 0.145  -0.837 0.037  -0.837 -0.071  -0.837 -0.179  -0.837 -0.286  -0.837 -0.394  -0.826 -0.497  -0.750 -0.574  -0.669 -0.644  -0.583 -0.709  -0.486 -0.742  -0.378 -0.742  -0.270 -0.742  -0.163 -0.742  -0.055 -0.742  0.053 -0.742  0.161 -0.742  0.269 -0.742  0.374 -0.722  0.480 -0.701  0.585 -0.678  0.691 -0.654  0.796 -0.631  0.902 -0.614  1.010 -0.613  1.116 -0.597  1.223 -0.582  1.325 -0.554  1.418 -0.499  1.510 -0.444
2#tos#t2#t2068064/e  -0.505 0.280  -0.505 0.116  -0.365 0.092  -0.339 -0.045  -0.175 -0.045  -0.020 -0.026  0.131 0.012  0.262 0.092  0.396 0.141  0.468 0.268  0.591 0.332  0.677 0.471  0.798 0.569  0.798 0.733  0.798 0.896  0.752 1.046  0.627 1.118  0.509 1.164  0.346 1.164  0.182 1.164  0.042 1.106  -0.095 1.020  -0.238 0.939  -0.374 0.849  -0.508 0.755  -0.639 0.657  -0.715 0.512  -0.800 0.373  -0.879 0.229  -0.953 0.083  -0.970 -0.077  -0.970 -0.241  -0.970 -0.404  -0.913 -0.551  -0.831 -0.657  -0.776 -0.798  -0.646 -0.897  -0.496 -0.939  -0.367 -1.023  -0.203 -1.023  -0.039 -1.023  0.125 -1.023  0.289 -1.023  0.450 -0.999  0.612 -0.976  0.775 -0.976  0.932 -0.931  1.088 -0.880  1.245 -0.835  1.403 -0.790
2#tos#t2#t2068064/i  0.044 0.096  0.158 0.096  0.170 -0.007  0.170 -0.121  0.170 -0.236  0.170 -0.350  0.170 -0.465  0.170 -0.580  0.170 -0.694  0.170 -0.809  0.170 -0.923  0.170 -1.038  0.170 -1.152  0.170 -1.267  0.170 -1.381  0.170 -1.496  0.163 -1.493  0.149 -1.379  0.135 -1.265  0.121 -1.152  0.107 -1.038  0.094 -0.924  0.080 -0.811  0.066 -0.697  0.052 -0.583  0.038 -0.469  0.024 -0.356  0.010 -0.242  -0.004 -0.128  -0.018 -0.015  -0.032 0.099  -0.046 0.213  -0.060 0.327  -0.074 0.440  -0.087 0.554  -0.101 0.668  -0.115 0.781  -0.129 0.895  -0.143 1.009  -0.157 1.123  -0.171 1.236  -0.185 1.350  -0.199 1.464  -0.235 1.553  -0.349 1.553  -0.445 1.598  -0.374 1.616  -0.282 1.562  -0.210 1.477  -0.210 1.363
2#tos#t2#t2068064/m  -0.875 1.074  -0.902 0.923  -0.875 0.701  -0.875 0.472  -0.875 0.243  -0.875 0.014  -0.875 -0.215  -0.875 -0.444  -0.819 -0.664  -0.807 -0.891  -0.807 -1.120  -0.797 -1.004  -0.785 -0.775  -0.772 -0.547  -0.759 -0.318  -0.747 -0.090  -0.801 0.113  -0.791 0.324  -0.631 0.392  -0.534 0.525  -0.398 0.618  -0.285 0.733  -0.192 0.597  0.030 0.541  0.080 0.351  0.080 0.122  0.080 -0.107  0.080 -0.336  0.080 -0.565  0.011 -0.672  0.011 -0.443  0.065 -0.236  0.145 -0.024  0.284 0.120  0.350 0.322  0.435 0.475  0.501 0.677  0.638 0.802  0.851 0.870  1.067 0.837  1.171 0.651  1.171 0.423  1.171 0.194  1.171 -0.035  1.171 -0.264  1.239 -0.425  1.239 -0.654  1.239 -0.883  1.290 -1.091  1.307 -1.313
2#tos#t2#t2068064/s  1.013 0.860  0.973 0.955  0.885 1.003  0.844 1.098  0.709 1.098  0.573 1.098  0.438 1.098  0.307 1.069  0.175 1.050  0.039 1.050  -0.088 1.021  -0.207 0.955  -0.325 0.889  -0.444 0.823  -0.564 0.762  -0.686 0.701  -0.807 0.641  -0.844 0.528  -0.781 0.421  -0.668 0.346  -0.588 0.238  -0.477 0.193  -0.377 0.107  -0.249 0.068  -0.126 0.016  -0.009 -0.045  0.122 -0.069  0.248 -0.120  0.379 -0.140  0.501 -0.196  0.614 -0.271  0.691 -0.360  0.727 -0.473  0.727 -0.609  0.669 -0.695  0.614 -0.807  0.489 -0.817  0.394 -0.878  0.268 -0.923  0.155 -0.997  0.019 -0.997  -0.071 -1.070  -0.193 -1.092  -0.328 -1.092  -0.464 -1.092  -0.599 -1.092  -0.735 -1.092  -0.870 -1.092  -0.987 -1.074  -1.082 -0.997
2#tos#t2#t2068064/u  -0.832 1.179  -0.945 1.232  -0.945 1.184  -0.945 1.018  -0.895 0.859  -0.889 0.694  -0.889 0.527  -0.889 0.360  -0.889 0.194  -0.889 0.027  -0.889 -0.140  -0.866 -0.303  -0.832 -0.464  -0.832 -0.630  -0.797 -0.791  -0.706 -0.926  -0.568 -1.016  -0.485 -1.143  -0.330 -1.195  -0.164 -1.195  -0.052 -1.105  0.039 -0.999  0.161 -0.904  0.185 -0.743  0.277 -0.605  0.331 -0.452  0.405 -0.303  0.411 -0.138  0.468 0.006  0.523 0.159  0.524 0.326  0.575 0.484  0.694 0.580  0.694 0.747  0.694 0.913  0.694 1.080  0.637 1.167  0.637 1.001  0.637 0.834  0.637 0.667  0.637 0.501  0.637 0.334  0.598 0.172  0.581 0.008  0.581 -0.159  0.581 -0.326  0.603 -0.483  0.637 -0.636  0.640 -0.799  0.807 -0.799
