1c#apb#apb09#app0910/q  0.483 1.131  0.429 1.268  0.301 1.330  0.155 1.313  0.035 1.227  -0.084 1.140  -0.199 1.046  -0.310 0.950  -0.376 0.818  -0.442 0.685  -0.498 0.548  -0.551 0.410  -0.583 0.268  -0.583 0.120  -0.535 -0.015  -0.434 -0.114  -0.296 -0.136  -0.153 -0.098  -0.023 -0.029  0.102 0.049  0.199 0.158  0.289 0.276  0.364 0.403  0.427 0.536  0.493 0.669  0.563 0.799  0.600 0.924  0.512 0.807  0.442 0.677  0.375 0.545  0.310 0.412  0.258 0.273  0.206 0.135  0.153 -0.003  0.099 -0.141  0.045 -0.279  -0.012 -0.415  -0.078 -0.548  -0.144 -0.680  -0.191 -0.818  -0.215 -0.964  -0.238 -1.111  -0.253 -1.258  -0.265 -1.405  -0.263 -1.551  -0.227 -1.695  -0.160 -1.823  -0.052 -1.917  0.088 -1.958  0.236 -1.958
2#aga#crlmtchl/q  0.454 1.299  0.353 1.298  0.258 1.266  0.159 1.249  0.062 1.223  -0.032 1.185  -0.125 1.148  -0.217 1.107  -0.305 1.059  -0.383 0.994  -0.461 0.931  -0.536 0.864  -0.608 0.792  -0.668 0.714  -0.693 0.618  -0.730 0.529  -0.702 0.432  -0.652 0.346  -0.584 0.272  -0.491 0.234  -0.396 0.204  -0.296 0.185  -0.197 0.166  -0.098 0.152  0.003 0.152  0.104 0.152  0.205 0.152  0.303 0.165  0.397 0.187  0.397 0.086  0.389 -0.014  0.364 -0.112  0.348 -0.211  0.334 -0.311  0.321 -0.411  0.307 -0.511  0.290 -0.610  0.270 -0.709  0.257 -0.809  0.247 -0.909  0.230 -1.008  0.210 -1.107  0.205 -1.208  0.205 -1.308  0.205 -1.409  0.205 -1.510  0.228 -1.607  0.258 -1.703  0.288 -1.799  0.320 -1.894
2#aga#crlmtchl/q  0.537 1.084  0.419 1.102  0.299 1.109  0.179 1.106  0.060 1.086  -0.055 1.049  -0.169 1.011  -0.279 0.962  -0.389 0.913  -0.499 0.864  -0.609 0.815  -0.714 0.755  -0.814 0.689  -0.903 0.610  -0.957 0.502  -0.994 0.391  -0.967 0.277  -0.905 0.177  -0.796 0.125  -0.683 0.088  -0.563 0.085  -0.443 0.068  -0.324 0.075  -0.206 0.093  -0.098 0.147  0.017 0.180  0.135 0.207  0.229 0.279  0.321 0.355  0.418 0.380  0.464 0.287  0.483 0.171  0.537 0.063  0.537 -0.057  0.537 -0.178  0.537 -0.298  0.537 -0.419  0.537 -0.539  0.537 -0.660  0.504 -0.775  0.469 -0.891  0.437 -1.007  0.405 -1.123  0.377 -1.240  0.351 -1.357  0.325 -1.475  0.298 -1.593  0.294 -1.713  0.294 -1.833  0.294 -1.953
2#app#app25#app2546/q  1.050 1.005  0.946 1.212  0.753 1.276  0.521 1.276  0.289 1.276  0.101 1.232  -0.035 1.136  -0.136 1.005  -0.310 0.865  -0.442 0.688  -0.577 0.591  -0.650 0.389  -0.713 0.183  -0.608 0.056  -0.376 0.056  -0.152 0.074  0.032 0.191  0.236 0.219  0.360 0.327  0.457 0.462  0.643 0.508  0.744 0.699  0.779 0.822  0.635 0.734  0.508 0.629  0.442 0.462  0.258 0.348  0.091 0.191  -0.035 0.085  -0.178 -0.088  -0.343 -0.252  -0.442 -0.443  -0.577 -0.540  -0.683 -0.728  -0.713 -0.948  -0.728 -1.165  -0.848 -1.276  -0.848 -1.508  -0.680 -1.571  -0.448 -1.571  -0.306 -1.481  -0.170 -1.384  -0.066 -1.196  0.018 -1.029  0.206 -0.924  0.370 -0.760  0.439 -0.556  0.508 -0.352  0.440 -0.148  0.236 -0.080
2#ibm#ibm0#r0411/q  0.357 0.880  0.357 1.038  0.357 1.195  0.229 1.225  0.088 1.186  -0.024 1.074  -0.148 0.995  -0.280 0.933  -0.392 0.821  -0.503 0.710  -0.615 0.598  -0.678 0.467  -0.678 0.309  -0.651 0.162  -0.540 0.051  -0.420 -0.041  -0.262 -0.041  -0.138 0.039  -0.006 0.123  0.131 0.197  0.202 0.338  0.272 0.479  0.343 0.620  0.357 0.775  0.357 0.932  0.357 1.090  0.357 0.972  0.357 0.815  0.309 0.668  0.242 0.526  0.242 0.369  0.242 0.211  0.209 0.057  0.171 -0.096  0.133 -0.249  0.127 -0.406  0.127 -0.564  0.127 -0.721  0.091 -0.875  0.053 -1.028  0.015 -1.181  -0.053 -1.323  -0.103 -1.469  -0.103 -1.626  -0.103 -1.750  -0.103 -1.712  -0.103 -1.665  -0.103 -1.737  -0.103 -1.725  -0.103 -1.652
2#ibm#ibm0#r0411/q  0.232 0.781  0.329 0.877  0.390 0.989  0.363 1.098  0.226 1.098  0.089 1.098  -0.047 1.098  -0.155 1.028  -0.255 0.939  -0.392 0.939  -0.402 0.812  -0.507 0.781  -0.560 0.697  -0.604 0.579  -0.701 0.482  -0.640 0.385  -0.544 0.289  -0.447 0.192  -0.329 0.147  -0.198 0.170  -0.075 0.231  0.047 0.292  0.181 0.305  0.292 0.366  0.389 0.462  0.390 0.599  0.390 0.735  0.390 0.689  0.390 0.553  0.369 0.421  0.308 0.299  0.247 0.176  0.232 0.043  0.232 -0.094  0.213 -0.227  0.170 -0.357  0.126 -0.487  0.083 -0.617  0.073 -0.752  0.073 -0.889  0.073 -1.025  0.060 -1.160  0.017 -1.290  -0.026 -1.419  -0.069 -1.549  -0.085 -1.683  -0.085 -1.820  -0.085 -1.957  -0.085 -2.094  -0.085 -2.230
2#ibm#ibm0#r0411/q  0.413 0.822  0.514 0.923  0.464 0.962  0.413 1.054  0.318 1.102  0.174 1.102  0.031 1.102  -0.113 1.102  -0.224 1.026  -0.326 0.924  -0.427 0.823  -0.569 0.820  -0.569 0.677  -0.569 0.533  -0.569 0.390  -0.558 0.251  -0.457 0.149  -0.355 0.048  -0.240 -0.019  -0.111 0.017  -0.010 0.119  0.133 0.121  0.234 0.223  0.336 0.324  0.413 0.435  0.413 0.579  0.413 0.722  0.382 0.791  0.280 0.690  0.273 0.549  0.273 0.406  0.273 0.262  0.228 0.126  0.182 -0.010  0.137 -0.146  0.101 -0.285  0.066 -0.424  0.032 -0.563  -0.003 -0.702  -0.038 -0.842  -0.073 -0.981  -0.108 -1.120  -0.142 -1.259  -0.148 -1.402  -0.148 -1.545  -0.148 -1.689  -0.148 -1.832  -0.148 -1.976  -0.148 -2.119  -0.148 -2.263
2#ibm#ibm0#r0411/q  0.347 0.798  0.406 0.931  0.435 1.062  0.363 1.188  0.237 1.189  0.096 1.156  -0.046 1.122  -0.187 1.088  -0.304 1.005  -0.419 0.916  -0.491 0.792  -0.561 0.665  -0.645 0.547  -0.742 0.439  -0.736 0.298  -0.712 0.158  -0.617 0.048  -0.519 -0.059  -0.386 -0.090  -0.246 -0.071  -0.120 0.001  -0.002 0.085  0.115 0.171  0.233 0.256  0.318 0.366  0.368 0.502  0.406 0.641  0.424 0.785  0.408 0.771  0.376 0.629  0.350 0.487  0.324 0.344  0.308 0.200  0.292 0.055  0.260 -0.086  0.228 -0.228  0.195 -0.369  0.163 -0.511  0.131 -0.652  0.098 -0.794  0.076 -0.937  0.059 -1.081  0.042 -1.225  0.020 -1.369  -0.004 -1.512  -0.029 -1.655  -0.054 -1.798  -0.074 -1.941  -0.085 -2.086  -0.097 -2.231
2#ibm#ibm0#r0411/q  0.346 0.810  0.404 0.939  0.437 1.068  0.367 1.191  0.249 1.204  0.111 1.171  -0.027 1.138  -0.165 1.105  -0.284 1.032  -0.396 0.945  -0.477 0.832  -0.540 0.705  -0.623 0.590  -0.680 0.464  -0.701 0.324  -0.723 0.184  -0.631 0.076  -0.525 -0.010  -0.388 -0.047  -0.254 -0.062  -0.130 0.008  -0.013 0.088  0.101 0.172  0.215 0.256  0.309 0.355  0.358 0.489  0.401 0.623  0.419 0.764  0.398 0.717  0.363 0.580  0.338 0.440  0.316 0.300  0.302 0.159  0.280 0.019  0.249 -0.120  0.217 -0.258  0.185 -0.396  0.154 -0.535  0.122 -0.673  0.090 -0.811  0.071 -0.952  0.055 -1.093  0.038 -1.234  0.016 -1.374  -0.008 -1.514  -0.032 -1.654  -0.056 -1.793  -0.075 -1.934  -0.086 -2.075  -0.097 -2.217
1c#apa#apa01#app0126/q  0.111 0.734  0.225 0.808  0.111 0.882  0.111 1.070  -0.003 1.144  -0.103 1.291  -0.286 1.305  -0.437 1.215  -0.575 1.151  -0.689 1.077  -0.763 0.962  -0.803 0.814  -0.803 0.626  -0.803 0.438  -0.803 0.250  -0.803 0.062  -0.689 -0.079  -0.602 -0.180  -0.413 -0.180  -0.225 -0.180  -0.061 -0.123  -0.003 0.042  0.111 0.116  0.130 0.296  0.225 0.445  0.225 0.633  0.225 0.821  0.225 0.915  0.225 0.727  0.225 0.539  0.225 0.351  0.144 0.196  0.111 0.022  0.111 -0.167  0.111 -0.355  0.111 -0.543  0.111 -0.731  0.111 -0.920  0.111 -1.108  0.111 -1.296  0.158 -1.437  0.225 -1.558  0.306 -1.665  0.368 -1.522  0.454 -1.369  0.568 -1.295  0.669 -1.208  0.796 -1.147  0.892 -0.999  1.025 -0.866
1c#ced#bykg6164_s_23/q  0.030 -0.029  0.189 -0.029  0.326 0.027  0.314 0.179  0.283 0.334  0.275 0.492  0.250 0.649  0.196 0.798  0.140 0.947  0.057 1.082  -0.083 1.154  -0.241 1.170  -0.394 1.127  -0.540 1.065  -0.677 0.985  -0.800 0.884  -0.897 0.760  -0.986 0.629  -1.031 0.476  -1.023 0.321  -0.961 0.175  -0.859 0.060  -0.723 -0.012  -0.567 -0.020  -0.421 0.029  -0.274 0.088  -0.141 0.176  -0.005 0.256  0.115 0.360  0.242 0.457  0.324 0.589  0.281 0.567  0.264 0.410  0.244 0.253  0.215 0.097  0.205 -0.062  0.205 -0.221  0.221 -0.380  0.244 -0.537  0.264 -0.696  0.287 -0.854  0.309 -1.012  0.341 -1.168  0.389 -1.320  0.455 -1.465  0.536 -1.601  0.638 -1.723  0.774 -1.805  0.925 -1.842  1.082 -1.822
2#app#app11#app1154/q  0.337 0.797  0.403 0.891  0.365 1.034  0.245 1.128  0.113 1.194  -0.031 1.157  -0.178 1.128  -0.294 1.025  -0.426 0.959  -0.539 0.847  -0.651 0.734  -0.736 0.649  -0.786 0.511  -0.852 0.379  -0.852 0.220  -0.786 0.088  -0.722 -0.056  -0.594 -0.127  -0.462 -0.193  -0.303 -0.193  -0.171 -0.127  -0.045 -0.047  0.083 0.043  0.208 0.137  0.337 0.206  0.405 0.337  0.517 0.449  0.583 0.581  0.649 0.713  0.601 0.797  0.559 0.647  0.508 0.505  0.452 0.366  0.368 0.233  0.337 0.087  0.273 -0.057  0.205 -0.200  0.194 -0.357  0.144 -0.508  0.137 -0.666  0.111 -0.823  0.085 -0.980  0.073 -1.138  0.073 -1.298  0.029 -1.449  0.007 -1.605  0.007 -1.764  0.007 -1.923  0.007 -2.082  0.007 -2.241
2#app#app11#app1154/q  0.439 0.687  0.511 0.760  0.511 0.903  0.511 1.047  0.509 1.190  0.394 1.259  0.250 1.259  0.120 1.226  -0.007 1.188  -0.125 1.124  -0.226 1.022  -0.328 0.921  -0.429 0.819  -0.516 0.706  -0.591 0.586  -0.642 0.463  -0.704 0.345  -0.744 0.218  -0.775 0.088  -0.755 -0.048  -0.632 -0.099  -0.489 -0.099  -0.366 -0.047  -0.231 -0.027  -0.119 0.051  0.010 0.115  0.124 0.187  0.196 0.259  0.310 0.330  0.382 0.402  0.439 0.458  0.439 0.314  0.432 0.172  0.368 0.044  0.317 -0.079  0.269 -0.211  0.234 -0.350  0.225 -0.492  0.176 -0.625  0.154 -0.763  0.124 -0.902  0.082 -1.039  0.077 -1.181  0.013 -1.310  0.011 -1.453  0.011 -1.596  0.011 -1.740  0.011 -1.884  0.011 -2.027  0.011 -2.171
2#app#app11#app1154/q  0.330 1.185  0.394 1.255  0.249 1.255  0.109 1.243  -0.013 1.185  -0.138 1.136  -0.261 1.082  -0.364 0.979  -0.479 0.906  -0.577 0.818  -0.644 0.700  -0.717 0.585  -0.787 0.468  -0.787 0.323  -0.787 0.177  -0.787 0.032  -0.704 -0.072  -0.584 -0.135  -0.442 -0.141  -0.317 -0.091  -0.180 -0.072  -0.071 0.016  0.053 0.070  0.156 0.173  0.258 0.275  0.361 0.378  0.421 0.487  0.513 0.573  0.600 0.687  0.547 0.627  0.540 0.489  0.470 0.372  0.434 0.241  0.388 0.113  0.323 -0.017  0.261 -0.148  0.261 -0.294  0.255 -0.438  0.209 -0.576  0.191 -0.719  0.186 -0.864  0.157 -1.006  0.129 -1.149  0.121 -1.294  0.121 -1.439  0.121 -1.585  0.121 -1.730  0.121 -1.876  0.121 -2.021  0.121 -2.166
2#app#app11#app1154/q  0.199 1.133  0.259 1.200  0.187 1.254  0.060 1.254  -0.042 1.194  -0.144 1.133  -0.239 1.058  -0.329 0.968  -0.419 0.878  -0.499 0.781  -0.570 0.675  -0.612 0.564  -0.659 0.456  -0.708 0.349  -0.643 0.287  -0.523 0.256  -0.403 0.227  -0.276 0.227  -0.171 0.280  -0.064 0.327  0.044 0.374  0.148 0.443  0.266 0.475  0.356 0.565  0.441 0.657  0.492 0.701  0.416 0.601  0.380 0.483  0.320 0.416  0.278 0.306  0.259 0.187  0.212 0.071  0.199 -0.052  0.185 -0.177  0.145 -0.298  0.139 -0.423  0.122 -0.548  0.082 -0.668  0.078 -0.794  0.078 -0.921  0.078 -1.048  0.078 -1.175  0.078 -1.302  0.078 -1.429  0.078 -1.556  0.078 -1.683  0.078 -1.810  0.078 -1.937  0.132 -2.009  0.199 -1.949
2#app#app11#app1154/q  0.150 0.943  0.222 1.013  0.222 1.155  0.084 1.159  -0.058 1.159  -0.182 1.116  -0.304 1.066  -0.425 1.015  -0.475 0.895  -0.587 0.839  -0.655 0.715  -0.715 0.597  -0.715 0.455  -0.715 0.313  -0.679 0.186  -0.624 0.078  -0.508 0.015  -0.369 0.006  -0.283 0.061  -0.157 0.078  -0.028 0.133  0.038 0.222  0.150 0.294  0.251 0.395  0.351 0.495  0.401 0.617  0.501 0.717  0.511 0.742  0.438 0.672  0.366 0.560  0.352 0.424  0.294 0.305  0.294 0.163  0.269 0.027  0.222 -0.104  0.215 -0.246  0.187 -0.385  0.159 -0.525  0.150 -0.666  0.150 -0.808  0.150 -0.950  0.150 -1.092  0.150 -1.234  0.150 -1.376  0.150 -1.519  0.150 -1.661  0.150 -1.803  0.150 -1.945  0.150 -2.087  0.150 -2.229
2#ced#rgzu9771_s_jn/q  0.045 0.930  0.002 1.061  -0.025 1.199  -0.064 1.332  -0.202 1.331  -0.329 1.256  -0.433 1.149  -0.527 1.034  -0.605 0.907  -0.652 0.766  -0.695 0.623  -0.722 0.476  -0.732 0.328  -0.743 0.180  -0.743 0.030  -0.733 -0.118  -0.698 -0.263  -0.639 -0.398  -0.517 -0.471  -0.390 -0.405  -0.286 -0.300  -0.200 -0.179  -0.122 -0.052  -0.027 0.062  0.039 0.196  0.089 0.335  0.141 0.474  0.185 0.616  0.220 0.757  0.203 0.831  0.238 0.696  0.255 0.551  0.264 0.403  0.282 0.256  0.297 0.108  0.310 -0.040  0.334 -0.186  0.352 -0.333  0.369 -0.481  0.394 -0.627  0.422 -0.773  0.439 -0.921  0.467 -1.065  0.494 -1.211  0.546 -1.351  0.593 -1.492  0.651 -1.629  0.721 -1.761  0.804 -1.885  0.929 -1.950
1c#apb#apb14#app1415/q  0.900 0.996  0.900 0.922  0.870 1.037  0.727 1.168  0.523 1.216  0.317 1.238  0.112 1.206  -0.089 1.148  -0.282 1.070  -0.466 0.973  -0.640 0.858  -0.795 0.721  -0.864 0.530  -0.726 0.384  -0.543 0.296  -0.337 0.262  -0.132 0.224  0.072 0.249  0.276 0.294  0.477 0.349  0.656 0.443  0.788 0.600  0.708 0.650  0.594 0.475  0.476 0.304  0.362 0.129  0.243 -0.042  0.110 -0.203  -0.038 -0.351  -0.176 -0.506  -0.310 -0.666  -0.439 -0.830  -0.570 -0.993  -0.707 -1.150  -0.846 -1.303  -0.959 -1.477  -0.879 -1.525  -0.689 -1.440  -0.498 -1.356  -0.304 -1.278  -0.120 -1.181  0.053 -1.066  0.212 -0.932  0.347 -0.772  0.417 -0.582  0.417 -0.373  0.394 -0.167  0.288 0.006  0.165 0.175  0.008 0.271
2#ibm#ibm0#r0116/q  0.390 1.073  0.295 1.167  0.170 1.189  0.037 1.189  -0.097 1.189  -0.227 1.171  -0.346 1.112  -0.445 1.031  -0.505 0.911  -0.565 0.792  -0.625 0.672  -0.657 0.546  -0.657 0.412  -0.657 0.278  -0.657 0.145  -0.564 0.049  -0.440 0.026  -0.307 0.026  -0.175 0.034  -0.055 0.094  0.060 0.161  0.154 0.255  0.249 0.350  0.274 0.473  0.274 0.607  0.368 0.702  0.390 0.826  0.336 0.732  0.276 0.613  0.274 0.479  0.268 0.346  0.242 0.215  0.215 0.084  0.189 -0.047  0.163 -0.179  0.157 -0.312  0.157 -0.445  0.157 -0.579  0.157 -0.713  0.157 -0.847  0.157 -0.981  0.157 -1.114  0.157 -1.248  0.157 -1.382  0.157 -1.516  0.157 -1.649  0.157 -1.783  0.157 -1.917  0.157 -2.051  0.157 -2.185
2#ibm#ibm0#r0116/q  0.352 0.668  0.280 0.811  0.185 0.931  0.042 1.003  -0.101 1.075  -0.245 1.146  -0.401 1.133  -0.544 1.061  -0.648 0.950  -0.720 0.807  -0.774 0.656  -0.824 0.504  -0.850 0.348  -0.850 0.188  -0.799 0.036  -0.749 -0.116  -0.640 -0.218  -0.497 -0.290  -0.338 -0.293  -0.185 -0.261  -0.042 -0.190  0.060 -0.071  0.148 0.063  0.235 0.197  0.286 0.349  0.336 0.501  0.401 0.647  0.472 0.791  0.472 0.951  0.472 0.945  0.472 0.785  0.463 0.626  0.432 0.469  0.401 0.311  0.369 0.154  0.338 -0.003  0.306 -0.160  0.275 -0.317  0.243 -0.474  0.232 -0.633  0.232 -0.793  0.232 -0.954  0.232 -1.114  0.232 -1.274  0.232 -1.434  0.232 -1.594  0.187 -1.747  0.137 -1.899  0.111 -2.056  0.111 -2.216
2#ibm#ibm0#r0116/q  0.467 0.868  0.375 0.984  0.278 1.092  0.131 1.113  -0.016 1.134  -0.160 1.169  -0.296 1.130  -0.429 1.064  -0.558 0.994  -0.624 0.861  -0.690 0.728  -0.749 0.592  -0.807 0.455  -0.821 0.310  -0.783 0.170  -0.716 0.038  -0.650 -0.095  -0.532 -0.183  -0.388 -0.198  -0.245 -0.177  -0.112 -0.110  0.009 -0.029  0.106 0.083  0.202 0.196  0.274 0.323  0.327 0.462  0.379 0.601  0.468 0.720  0.512 0.854  0.479 0.738  0.442 0.594  0.404 0.451  0.365 0.307  0.327 0.164  0.289 0.020  0.271 -0.127  0.252 -0.274  0.234 -0.422  0.216 -0.569  0.199 -0.716  0.192 -0.864  0.184 -1.013  0.177 -1.161  0.170 -1.309  0.162 -1.457  0.156 -1.606  0.152 -1.754  0.139 -1.902  0.126 -2.049  0.112 -2.197
1c#app#app36#app3692/q  -0.032 0.885  -0.032 1.168  -0.271 1.269  -0.554 1.269  -0.770 1.107  -0.923 0.885  -1.045 0.684  -1.172 0.431  -1.184 0.151  -1.088 -0.093  -0.923 -0.267  -0.640 -0.267  -0.408 -0.153  -0.258 0.084  -0.097 0.244  0.155 0.347  0.433 0.402  0.394 0.651  0.193 0.851  -0.032 0.985  -0.032 1.268  -0.032 0.987  -0.032 0.704  -0.032 0.420  -0.032 0.137  -0.064 -0.139  -0.128 -0.407  -0.128 -0.690  -0.128 -0.973  -0.128 -1.256  -0.128 -1.539  -0.109 -1.803  0.174 -1.803  0.356 -1.698  0.503 -1.459  0.543 -1.193  0.543 -0.910  0.543 -0.626  0.448 -0.383  0.448 -0.100  0.265 0.108  -0.015 0.117  -0.055 0.021  0.132 -0.075  0.415 -0.075  0.639 -0.016  0.886 0.021  1.073 0.117  1.215 0.304  1.119 0.309
1c#gmd#kast/q  0.060 1.066  0.060 1.130  -0.033 1.066  -0.149 0.967  -0.286 0.893  -0.432 0.845  -0.535 0.758  -0.605 0.618  -0.675 0.478  -0.712 0.330  -0.712 0.173  -0.712 0.016  -0.609 -0.037  -0.496 -0.143  -0.341 -0.148  -0.184 -0.148  -0.066 -0.053  0.077 -0.021  0.182 0.095  0.252 0.235  0.281 0.385  0.379 0.502  0.391 0.653  0.444 0.788  0.555 0.899  0.612 1.032  0.525 1.153  0.492 1.056  0.391 0.941  0.391 0.784  0.357 0.633  0.308 0.484  0.281 0.332  0.252 0.178  0.214 0.026  0.176 -0.126  0.138 -0.278  0.100 -0.430  0.062 -0.582  0.060 -0.739  0.033 -0.891  -0.017 -1.040  -0.050 -1.192  -0.050 -1.348  -0.050 -1.505  -0.050 -1.662  -0.050 -1.819  -0.050 -1.976  -0.050 -2.133  -0.160 -2.244
1c#gmd#kast/q  0.251 1.080  0.210 1.210  0.038 1.210  -0.097 1.123  -0.218 1.002  -0.368 0.950  -0.498 0.851  -0.619 0.730  -0.696 0.582  -0.750 0.419  -0.790 0.254  -0.790 0.083  -0.790 -0.088  -0.715 -0.242  -0.626 -0.386  -0.495 -0.482  -0.346 -0.428  -0.213 -0.323  -0.059 -0.247  0.072 -0.140  0.193 -0.019  0.314 0.102  0.415 0.238  0.492 0.391  0.511 0.558  0.631 0.679  0.752 0.801  0.771 0.964  0.716 1.080  0.641 0.983  0.636 0.814  0.515 0.693  0.394 0.572  0.381 0.406  0.381 0.235  0.355 0.066  0.314 -0.100  0.272 -0.266  0.192 -0.410  0.104 -0.550  0.062 -0.716  0.020 -0.882  -0.025 -1.047  -0.079 -1.210  -0.133 -1.372  -0.246 -1.499  -0.270 -1.660  -0.270 -1.831  -0.270 -2.003  -0.270 -2.174
1c#gmd#kast/q  0.232 1.296  0.068 1.276  -0.083 1.200  -0.134 1.063  -0.275 0.982  -0.416 0.893  -0.535 0.773  -0.642 0.646  -0.718 0.495  -0.822 0.365  -0.866 0.214  -0.866 0.046  -0.866 -0.123  -0.864 -0.291  -0.745 -0.410  -0.577 -0.411  -0.408 -0.411  -0.254 -0.349  -0.110 -0.265  0.010 -0.146  0.129 -0.026  0.248 0.093  0.367 0.212  0.483 0.334  0.558 0.485  0.654 0.621  0.773 0.740  0.842 0.880  0.842 1.049  0.689 1.022  0.598 0.891  0.560 0.732  0.484 0.581  0.428 0.422  0.375 0.262  0.308 0.108  0.233 -0.043  0.192 -0.207  0.151 -0.370  0.110 -0.534  0.110 -0.702  0.110 -0.871  0.011 -0.998  -0.012 -1.158  -0.012 -1.326  -0.012 -1.495  -0.012 -1.664  -0.068 -1.809  -0.134 -1.950  -0.134 -2.119
1c#gmd#kast/q  0.079 1.092  0.150 1.092  -0.001 1.092  -0.116 1.007  -0.223 0.901  -0.361 0.870  -0.496 0.804  -0.609 0.715  -0.676 0.580  -0.697 0.434  -0.697 0.283  -0.697 0.133  -0.618 0.015  -0.481 -0.017  -0.330 -0.017  -0.187 0.016  -0.053 0.083  0.082 0.151  0.211 0.226  0.312 0.337  0.379 0.472  0.412 0.615  0.416 0.764  0.523 0.870  0.551 1.009  0.600 1.092  0.523 1.018  0.472 0.879  0.412 0.743  0.394 0.595  0.346 0.452  0.299 0.309  0.251 0.166  0.203 0.023  0.190 -0.126  0.154 -0.272  0.117 -0.418  0.081 -0.564  0.015 -0.700  -0.032 -0.839  -0.032 -0.990  -0.032 -1.141  -0.032 -1.291  -0.032 -1.442  -0.055 -1.570  -0.143 -1.633  -0.143 -1.783  -0.143 -1.934  -0.143 -2.085  -0.143 -2.014
1c#gmd#kast/q  0.449 1.444  0.529 1.395  0.449 1.230  0.431 1.040  0.321 0.888  0.321 0.690  0.264 0.502  0.201 0.314  0.192 0.118  0.192 -0.080  0.192 -0.277  0.139 -0.462  0.063 -0.642  0.063 -0.840  0.063 -1.038  0.063 -1.235  -0.061 -1.381  -0.065 -1.578  -0.068 -1.774  -0.194 -1.880  -0.177 -1.684  -0.140 -1.489  -0.103 -1.295  -0.066 -1.101  -0.029 -0.907  0.008 -0.713  0.045 -0.518  0.082 -0.324  0.119 -0.130  0.156 0.064  0.193 0.258  0.230 0.453  0.267 0.647  0.304 0.841  0.397 1.006  0.449 1.182  0.256 1.187  0.059 1.187  -0.139 1.187  -0.295 1.085  -0.435 0.946  -0.575 0.806  -0.708 0.664  -0.708 0.466  -0.708 0.268  -0.708 0.070  -0.598 -0.081  -0.407 -0.099  -0.243 -0.179  -0.065 -0.228
1c#gmd#kast/q  0.266 1.052  0.165 1.124  0.052 1.052  -0.090 1.052  -0.233 1.052  -0.363 0.998  -0.459 0.903  -0.528 0.779  -0.628 0.678  -0.688 0.560  -0.688 0.417  -0.688 0.275  -0.650 0.148  -0.549 0.047  -0.421 0.012  -0.278 0.012  -0.145 0.035  -0.044 0.136  0.057 0.237  0.175 0.313  0.279 0.398  0.324 0.533  0.376 0.666  0.440 0.793  0.525 0.900  0.525 1.042  0.493 0.933  0.439 0.812  0.400 0.676  0.355 0.541  0.310 0.405  0.266 0.270  0.266 0.127  0.238 -0.012  0.203 -0.150  0.169 -0.288  0.134 -0.427  0.100 -0.565  0.092 -0.707  0.092 -0.849  0.069 -0.986  0.006 -1.114  0.006 -1.257  -0.002 -1.398  -0.047 -1.533  -0.081 -1.670  -0.081 -1.813  -0.081 -1.955  -0.081 -2.098  0.006 -2.154
1c#gmd#kast/q  0.067 1.169  -0.022 1.052  -0.116 0.990  -0.232 0.928  -0.308 0.795  -0.417 0.685  -0.505 0.561  -0.584 0.429  -0.648 0.301  -0.648 0.146  -0.574 0.022  -0.515 -0.082  -0.360 -0.082  -0.230 -0.022  -0.100 0.058  0.046 0.096  0.160 0.192  0.229 0.330  0.298 0.469  0.386 0.594  0.425 0.732  0.425 0.887  0.425 1.042  0.452 1.169  0.449 1.104  0.367 1.080  0.425 0.983  0.352 0.901  0.335 0.763  0.318 0.616  0.246 0.491  0.233 0.339  0.164 0.201  0.157 0.048  0.157 -0.107  0.128 -0.257  0.079 -0.404  0.067 -0.556  0.067 -0.711  0.037 -0.859  -0.022 -0.999  -0.022 -1.154  -0.112 -1.272  -0.112 -1.426  -0.112 -1.581  -0.201 -1.699  -0.201 -1.854  -0.201 -2.008  -0.136 -2.049  -0.112 -2.049
1c#gmd#kast/q  0.154 1.131  0.026 1.100  -0.087 1.034  -0.228 1.034  -0.354 0.974  -0.455 0.886  -0.518 0.761  -0.612 0.657  -0.711 0.558  -0.722 0.422  -0.722 0.281  -0.641 0.174  -0.542 0.074  -0.407 0.060  -0.267 0.060  -0.130 0.069  -0.030 0.168  0.073 0.263  0.198 0.326  0.288 0.425  0.352 0.550  0.449 0.651  0.512 0.777  0.594 0.889  0.641 1.010  0.543 1.014  0.499 0.892  0.416 0.780  0.354 0.654  0.338 0.516  0.294 0.383  0.251 0.249  0.251 0.108  0.251 -0.032  0.191 -0.158  0.154 -0.290  0.154 -0.431  0.142 -0.570  0.108 -0.707  0.074 -0.843  0.057 -0.982  0.030 -1.119  -0.005 -1.255  -0.039 -1.392  -0.082 -1.525  -0.127 -1.659  -0.138 -1.797  -0.138 -1.938  -0.205 -2.051  -0.235 -2.179
