2#tos#t3#t3026064/\"  -0.755 1.199  -0.755 1.041  -0.793 0.889  -0.843 0.738  -0.893 0.588  -0.943 0.438  -0.950 0.281  -0.950 0.122  -0.950 -0.036  -0.950 -0.194  -0.950 -0.353  -0.950 -0.511  -0.950 -0.669  -0.919 -0.820  -0.853 -0.963  -0.781 -1.049  -0.674 -0.945  -0.577 -0.819  -0.480 -0.694  -0.384 -0.569  -0.287 -0.443  -0.190 -0.318  -0.093 -0.193  0.004 -0.068  0.100 0.058  0.197 0.183  0.294 0.308  0.391 0.434  0.488 0.559  0.584 0.684  0.681 0.809  0.778 0.935  0.875 1.060  0.809 1.093  0.809 0.935  0.809 0.776  0.809 0.618  0.711 0.557  0.711 0.399  0.711 0.241  0.711 0.082  0.711 -0.076  0.711 -0.234  0.711 -0.393  0.711 -0.551  0.711 -0.709  0.711 -0.868  0.711 -1.026  0.711 -1.184  0.711 -1.343
2#tos#t3#t3026064/J  -0.820 0.805  -0.914 0.770  -1.011 0.692  -1.000 0.634  -0.876 0.634  -0.751 0.634  -0.627 0.634  -0.503 0.634  -0.379 0.641  -0.257 0.661  -0.141 0.704  -0.019 0.729  0.103 0.752  0.223 0.776  0.347 0.776  0.460 0.804  0.572 0.833  0.688 0.876  0.767 0.919  0.647 0.888  0.528 0.852  0.409 0.815  0.295 0.768  0.233 0.689  0.233 0.565  0.261 0.449  0.347 0.369  0.347 0.244  0.374 0.125  0.404 0.004  0.404 -0.120  0.404 -0.244  0.424 -0.365  0.432 -0.488  0.432 -0.613  0.404 -0.733  0.404 -0.858  0.375 -0.975  0.282 -1.048  0.204 -1.116  0.130 -1.176  0.036 -1.253  -0.075 -1.308  -0.192 -1.330  -0.315 -1.339  -0.437 -1.359  -0.561 -1.359  -0.686 -1.359  -0.810 -1.359  -0.792 -1.273
2#tos#t3#t3026064/K  -0.794 1.577  -0.797 1.609  -0.762 1.412  -0.698 1.222  -0.698 1.017  -0.698 0.812  -0.666 0.611  -0.664 0.406  -0.623 0.205  -0.588 0.003  -0.568 -0.200  -0.568 -0.405  -0.568 -0.610  -0.568 -0.814  -0.536 -1.006  -0.536 -1.211  -0.449 -1.073  -0.351 -0.893  -0.254 -0.713  -0.156 -0.533  -0.058 -0.353  0.040 -0.173  0.137 0.007  0.235 0.187  0.333 0.367  0.431 0.547  0.528 0.727  0.626 0.907  0.625 1.025  0.470 0.931  0.334 0.790  0.188 0.658  0.030 0.575  -0.091 0.458  -0.232 0.349  -0.373 0.223  -0.375 0.084  -0.239 -0.030  -0.110 -0.142  0.056 -0.250  0.219 -0.348  0.374 -0.466  0.534 -0.560  0.695 -0.684  0.859 -0.784  1.042 -0.876  1.144 -1.025  1.293 -1.122  1.391 -1.266  1.434 -1.169
2#tos#t3#t3026064/M  -0.638 0.897  -0.745 0.798  -0.745 0.612  -0.745 0.427  -0.745 0.241  -0.745 0.055  -0.745 -0.131  -0.745 -0.316  -0.745 -0.502  -0.745 -0.688  -0.691 -0.857  -0.691 -1.043  -0.664 -1.168  -0.670 -0.983  -0.675 -0.797  -0.681 -0.611  -0.687 -0.426  -0.692 -0.240  -0.698 -0.055  -0.703 0.131  -0.709 0.317  -0.715 0.502  -0.775 0.630  -0.682 0.541  -0.541 0.473  -0.429 0.337  -0.287 0.257  -0.110 0.225  0.067 0.198  0.248 0.176  0.388 0.251  0.537 0.315  0.607 0.464  0.670 0.629  0.771 0.757  0.857 0.906  0.937 1.023  0.937 0.837  0.937 0.651  0.951 0.469  0.964 0.286  0.964 0.100  0.991 -0.079  1.007 -0.263  1.037 -0.444  1.071 -0.624  1.071 -0.810  1.098 -0.991  1.151 -1.160  1.178 -1.319
2#tos#t3#t3026064/P  -0.395 1.215  -0.433 1.035  -0.395 0.848  -0.395 0.652  -0.395 0.455  -0.384 0.261  -0.317 0.077  -0.317 -0.119  -0.317 -0.315  -0.317 -0.512  -0.317 -0.708  -0.317 -0.904  -0.286 -1.098  -0.279 -1.294  -0.279 -1.490  -0.279 -1.686  -0.317 -1.839  -0.356 -1.681  -0.344 -1.485  -0.332 -1.289  -0.321 -1.093  -0.309 -0.897  -0.297 -0.701  -0.285 -0.505  -0.274 -0.309  -0.262 -0.113  -0.250 0.083  -0.239 0.279  -0.227 0.475  -0.215 0.671  -0.204 0.867  -0.051 0.929  0.113 1.022  0.303 1.061  0.499 1.061  0.696 1.061  0.892 1.061  1.088 1.061  1.190 0.938  1.153 0.746  1.046 0.601  0.960 0.433  0.805 0.345  0.645 0.248  0.473 0.174  0.294 0.124  0.111 0.093  -0.086 0.093  -0.237 0.016  -0.240 0.055
2#tos#t3#t3026064/Q  -0.573 -0.617  -0.681 -0.757  -0.854 -0.643  -0.973 -0.489  -0.997 -0.285  -0.997 -0.071  -0.969 0.136  -0.903 0.339  -0.822 0.528  -0.726 0.714  -0.579 0.862  -0.427 1.014  -0.252 1.135  -0.059 1.216  0.136 1.292  0.350 1.292  0.501 1.209  0.679 1.100  0.793 0.920  0.881 0.729  0.881 0.515  0.881 0.301  0.807 0.101  0.705 -0.085  0.578 -0.238  0.452 -0.368  0.285 -0.500  0.105 -0.593  -0.075 -0.664  -0.270 -0.691  -0.467 -0.708  -0.680 -0.702  -0.868 -0.625  -0.967 -0.479  -0.967 -0.265  -0.880 -0.094  -0.705 0.019  -0.516 0.080  -0.302 0.080  -0.119 0.050  0.051 -0.050  0.217 -0.164  0.402 -0.271  0.567 -0.382  0.763 -0.467  0.931 -0.570  1.113 -0.650  1.303 -0.727  1.516 -0.738  1.730 -0.738
2#tos#t3#t3026064/S  0.595 0.594  0.712 0.627  0.744 0.757  0.800 0.878  0.777 1.005  0.712 1.090  0.628 1.180  0.483 1.211  0.333 1.211  0.183 1.210  0.036 1.181  -0.107 1.133  -0.229 1.054  -0.316 0.952  -0.374 0.826  -0.374 0.676  -0.293 0.571  -0.169 0.524  -0.100 0.424  0.049 0.418  0.175 0.359  0.292 0.280  0.427 0.242  0.522 0.153  0.610 0.045  0.653 -0.090  0.653 -0.240  0.653 -0.390  0.632 -0.535  0.595 -0.654  0.507 -0.741  0.409 -0.816  0.280 -0.866  0.148 -0.927  -0.001 -0.933  -0.149 -0.920  -0.290 -0.870  -0.357 -0.751  -0.493 -0.688  -0.552 -0.581  -0.673 -0.551  -0.714 -0.430  -0.785 -0.468  -0.839 -0.602  -0.881 -0.742  -0.918 -0.884  -0.962 -1.025  -0.962 -1.175  -1.022 -1.289  -1.050 -1.432
2#tos#t3#t3026064/U  -0.989 1.110  -0.989 0.941  -0.989 0.773  -0.989 0.604  -0.989 0.435  -0.989 0.267  -0.989 0.098  -0.989 -0.070  -0.989 -0.239  -0.989 -0.408  -0.957 -0.571  -0.914 -0.734  -0.885 -0.898  -0.779 -1.018  -0.658 -1.096  -0.489 -1.096  -0.365 -0.990  -0.266 -0.856  -0.165 -0.724  -0.064 -0.591  0.046 -0.475  0.122 -0.330  0.228 -0.203  0.291 -0.047  0.351 0.105  0.409 0.256  0.476 0.402  0.494 0.564  0.525 0.725  0.563 0.884  0.597 1.045  0.597 1.213  0.628 1.351  0.632 1.186  0.544 1.080  0.528 0.923  0.509 0.757  0.482 0.592  0.459 0.427  0.459 0.259  0.459 0.090  0.459 -0.078  0.489 -0.244  0.522 -0.401  0.563 -0.552  0.601 -0.683  0.705 -0.789  0.804 -0.905  0.877 -1.027  1.011 -1.062
2#tos#t3#t3026064/X  -0.959 1.002  -1.050 1.100  -0.947 1.086  -0.847 0.930  -0.764 0.763  -0.680 0.595  -0.592 0.428  -0.497 0.266  -0.380 0.119  -0.269 -0.033  -0.159 -0.184  -0.017 -0.296  0.087 -0.453  0.223 -0.580  0.325 -0.735  0.410 -0.900  0.432 -1.081  0.528 -1.075  0.554 -0.888  0.580 -0.702  0.607 -0.515  0.633 -0.329  0.659 -0.143  0.685 0.044  0.712 0.230  0.738 0.417  0.764 0.603  0.790 0.789  0.817 0.976  0.815 1.153  0.778 1.305  0.651 1.187  0.533 1.053  0.429 0.898  0.310 0.754  0.272 0.573  0.138 0.446  0.028 0.296  -0.080 0.146  -0.176 -0.014  -0.269 -0.175  -0.339 -0.350  -0.436 -0.510  -0.527 -0.674  -0.564 -0.858  -0.657 -1.016  -0.746 -1.172  -0.806 -1.350  -0.838 -1.530  -0.899 -1.598
2#tos#t3#t3026064/Y  -1.059 0.886  -1.059 0.736  -1.015 0.599  -0.920 0.497  -0.775 0.474  -0.757 0.332  -0.636 0.243  -0.522 0.150  -0.391 0.092  -0.303 -0.027  -0.159 -0.059  -0.034 -0.004  0.065 0.109  0.163 0.222  0.262 0.335  0.360 0.448  0.459 0.561  0.557 0.674  0.656 0.788  0.754 0.901  0.853 1.014  0.951 1.127  0.908 1.138  0.817 1.036  0.768 0.917  0.662 0.811  0.547 0.715  0.435 0.615  0.344 0.499  0.215 0.422  0.129 0.301  0.027 0.196  -0.085 0.096  -0.196 0.004  -0.240 -0.127  -0.211 -0.122  -0.193 -0.263  -0.132 -0.388  -0.114 -0.530  -0.082 -0.675  -0.082 -0.825  -0.082 -0.975  -0.082 -1.125  -0.082 -1.275  -0.082 -1.425  -0.113 -1.570  -0.114 -1.719  -0.118 -1.869  -0.147 -2.012  -0.145 -1.949
2#tos#t3#t3026064/b  -0.438 2.139  -0.470 2.030  -0.353 1.919  -0.339 1.753  -0.339 1.583  -0.339 1.413  -0.339 1.243  -0.339 1.073  -0.339 0.903  -0.339 0.733  -0.339 0.564  -0.339 0.394  -0.306 0.227  -0.289 0.059  -0.276 -0.109  -0.239 -0.275  -0.239 -0.445  -0.239 -0.614  -0.239 -0.784  -0.289 -0.933  -0.336 -1.056  -0.351 -0.894  -0.438 -0.760  -0.427 -0.595  -0.339 -0.461  -0.339 -0.292  -0.289 -0.133  -0.205 -0.015  -0.081 0.100  0.050 0.192  0.160 0.290  0.317 0.342  0.487 0.342  0.628 0.274  0.764 0.173  0.816 0.029  0.925 -0.090  0.959 -0.239  0.959 -0.409  0.919 -0.567  0.832 -0.712  0.703 -0.776  0.627 -0.906  0.457 -0.906  0.290 -0.916  0.138 -0.992  -0.029 -1.006  -0.199 -1.006  -0.339 -0.976  -0.239 -0.906
2#tos#t3#t3026064/c  0.818 0.727  0.705 0.727  0.592 0.727  0.582 0.830  0.555 0.915  0.468 0.956  0.393 1.033  0.300 1.070  0.220 1.103  0.108 1.103  -0.005 1.103  -0.118 1.103  -0.213 1.044  -0.312 0.993  -0.406 0.948  -0.429 0.845  -0.507 0.764  -0.569 0.670  -0.611 0.567  -0.638 0.457  -0.712 0.374  -0.735 0.271  -0.735 0.159  -0.735 0.046  -0.735 -0.067  -0.735 -0.180  -0.735 -0.292  -0.735 -0.405  -0.735 -0.518  -0.697 -0.603  -0.592 -0.641  -0.530 -0.735  -0.444 -0.798  -0.342 -0.843  -0.263 -0.922  -0.168 -0.967  -0.056 -0.967  0.057 -0.967  0.170 -0.967  0.283 -0.967  0.395 -0.967  0.507 -0.961  0.614 -0.925  0.721 -0.890  0.825 -0.862  0.887 -0.768  0.961 -0.683  1.040 -0.603  1.100 -0.543  1.194 -0.497
2#tos#t3#t3026064/d  0.295 2.070  0.168 2.042  0.138 1.900  0.138 1.754  0.138 1.607  0.138 1.460  0.138 1.313  0.162 1.169  0.190 1.025  0.224 0.883  0.312 0.766  0.334 0.627  0.334 0.480  0.334 0.333  0.334 0.186  0.373 0.051  0.413 -0.083  0.413 -0.230  0.413 -0.377  0.413 -0.524  0.413 -0.670  0.452 -0.575  0.400 -0.480  0.315 -0.401  0.266 -0.264  0.138 -0.237  0.104 -0.098  -0.008 -0.020  -0.136 0.004  -0.179 0.108  -0.326 0.108  -0.450 0.086  -0.489 -0.022  -0.603 -0.087  -0.733 -0.144  -0.764 -0.283  -0.764 -0.430  -0.764 -0.577  -0.764 -0.723  -0.685 -0.838  -0.653 -0.977  -0.576 -1.100  -0.439 -1.147  -0.292 -1.147  -0.145 -1.147  0.001 -1.147  0.148 -1.147  0.252 -1.077  0.384 -1.029  0.491 -0.990
2#tos#t3#t3026064/e  -0.607 0.528  -0.671 0.376  -0.728 0.263  -0.586 0.184  -0.427 0.119  -0.276 0.046  -0.103 0.046  0.070 0.046  0.243 0.046  0.406 0.079  0.559 0.143  0.732 0.143  0.742 0.306  0.789 0.432  0.838 0.555  0.790 0.717  0.651 0.812  0.523 0.917  0.400 1.015  0.245 1.058  0.083 1.107  -0.089 1.107  -0.253 1.067  -0.376 1.010  -0.463 0.924  -0.558 0.819  -0.653 0.677  -0.704 0.516  -0.816 0.408  -0.896 0.259  -0.896 0.086  -0.896 -0.087  -0.896 -0.260  -0.800 -0.393  -0.763 -0.557  -0.750 -0.726  -0.602 -0.807  -0.493 -0.926  -0.338 -1.004  -0.168 -1.014  0.005 -1.014  0.178 -1.014  0.351 -1.014  0.524 -1.014  0.697 -1.014  0.870 -1.014  1.043 -1.014  1.215 -1.014  1.340 -0.966  1.513 -0.966
2#tos#t3#t3026064/h  -0.492 1.956  -0.570 1.855  -0.570 1.698  -0.559 1.544  -0.491 1.404  -0.453 1.252  -0.453 1.095  -0.430 0.941  -0.414 0.786  -0.414 0.629  -0.414 0.472  -0.414 0.316  -0.414 0.159  -0.414 0.002  -0.414 -0.154  -0.414 -0.311  -0.414 -0.467  -0.414 -0.624  -0.414 -0.781  -0.414 -0.937  -0.414 -1.094  -0.414 -1.075  -0.492 -0.997  -0.492 -0.840  -0.487 -0.685  -0.453 -0.536  -0.452 -0.380  -0.363 -0.254  -0.252 -0.143  -0.219 0.000  -0.102 0.086  -0.031 0.198  0.039 0.329  0.178 0.358  0.327 0.350  0.405 0.271  0.487 0.193  0.521 0.045  0.540 -0.107  0.560 -0.259  0.578 -0.414  0.599 -0.567  0.708 -0.639  0.776 -0.734  0.916 -0.773  1.073 -0.773  1.222 -0.748  1.320 -0.644  1.418 -0.540  1.496 -0.461
2#tos#t3#t3026064/i  0.031 -0.012  -0.043 -0.028  -0.014 -0.128  -0.014 -0.241  -0.014 -0.353  0.043 -0.419  0.070 -0.528  0.077 -0.640  0.077 -0.753  0.077 -0.865  0.077 -0.978  0.077 -1.090  0.077 -1.203  0.077 -1.315  0.077 -1.428  0.077 -1.541  0.071 -1.437  0.064 -1.324  0.058 -1.212  0.052 -1.099  0.046 -0.987  0.039 -0.875  0.033 -0.762  0.027 -0.650  0.021 -0.538  0.014 -0.425  0.008 -0.313  0.002 -0.201  -0.004 -0.088  -0.011 0.024  -0.017 0.137  -0.023 0.249  -0.029 0.361  -0.036 0.474  -0.042 0.586  -0.048 0.698  -0.054 0.811  -0.061 0.923  -0.067 1.035  -0.073 1.148  -0.079 1.260  -0.086 1.373  -0.092 1.485  -0.098 1.597  -0.112 1.701  -0.194 1.670  -0.124 1.587  -0.037 1.534  0.025 1.440  0.077 1.340
2#tos#t3#t3026064/j  0.413 0.937  0.289 0.886  0.269 0.749  0.279 0.614  0.305 0.495  0.305 0.350  0.305 0.204  0.377 0.131  0.377 -0.014  0.382 -0.158  0.413 -0.298  0.435 -0.438  0.484 -0.565  0.514 -0.703  0.520 -0.847  0.494 -0.986  0.446 -1.112  0.303 -1.124  0.233 -1.218  0.089 -1.220  -0.019 -1.265  -0.161 -1.292  -0.306 -1.292  -0.447 -1.275  -0.579 -1.220  -0.686 -1.145  -0.672 -1.008  -0.632 -0.868  -0.591 -0.729  -0.551 -0.590  -0.511 -0.450  -0.470 -0.311  -0.430 -0.171  -0.389 -0.032  -0.349 0.107  -0.309 0.247  -0.268 0.386  -0.228 0.526  -0.188 0.665  -0.147 0.804  -0.107 0.944  -0.067 1.083  -0.026 1.223  0.014 1.362  0.054 1.501  0.089 1.600  0.052 1.514  0.143 1.417  0.211 1.326  0.341 1.261
2#tos#t3#t3026064/l  0.080 1.537  0.010 1.537  -0.012 1.582  -0.012 1.512  -0.012 1.441  -0.012 1.371  -0.012 1.301  -0.012 1.231  -0.012 1.161  -0.012 1.091  -0.012 1.021  -0.012 0.951  -0.012 0.881  -0.012 0.811  -0.012 0.740  -0.012 0.670  -0.012 0.600  -0.012 0.530  -0.012 0.460  -0.012 0.390  -0.012 0.320  -0.012 0.250  -0.012 0.180  -0.012 0.110  -0.012 0.039  -0.012 -0.031  -0.012 -0.101  -0.012 -0.171  -0.012 -0.241  -0.012 -0.311  -0.012 -0.381  -0.012 -0.451  -0.012 -0.521  -0.012 -0.591  -0.012 -0.662  -0.012 -0.732  -0.012 -0.802  -0.012 -0.872  -0.005 -0.941  0.017 -1.007  0.034 -1.075  0.034 -1.145  0.034 -1.215  0.034 -1.285  0.034 -1.355  0.034 -1.425  0.034 -1.495  0.034 -1.565  0.034 -1.635  0.034 -1.706
2#tos#t3#t3026064/m  -1.309 0.036  -1.382 -0.097  -1.381 0.004  -1.316 0.169  -1.237 0.280  -1.060 0.288  -1.010 0.464  -0.912 0.615  -0.806 0.721  -0.732 0.581  -0.732 0.396  -0.732 0.211  -0.732 0.026  -0.732 -0.159  -0.750 -0.341  -0.768 -0.486  -0.768 -0.301  -0.682 -0.166  -0.628 -0.004  -0.516 0.122  -0.441 0.255  -0.328 0.396  -0.192 0.446  -0.102 0.541  -0.011 0.446  0.044 0.277  0.133 0.121  0.097 -0.028  0.097 -0.214  0.025 -0.327  -0.047 -0.354  -0.009 -0.188  0.149 -0.108  0.215 0.044  0.367 0.144  0.508 0.216  0.682 0.199  0.725 0.036  0.775 -0.124  0.818 -0.302  0.890 -0.457  0.992 -0.607  1.130 -0.685  1.312 -0.661  1.481 -0.588  1.565 -0.442  1.712 -0.329  1.791 -0.165  1.842 -0.011  1.971 0.108
2#tos#t3#t3026064/n  -1.035 0.724  -1.195 0.650  -1.179 0.724  -1.044 0.772  -0.898 0.861  -0.796 1.010  -0.615 1.012  -0.554 0.890  -0.554 0.707  -0.554 0.525  -0.554 0.342  -0.554 0.159  -0.554 -0.024  -0.554 -0.206  -0.591 -0.385  -0.602 -0.566  -0.674 -0.704  -0.794 -0.813  -0.794 -0.918  -0.760 -0.743  -0.660 -0.593  -0.597 -0.423  -0.506 -0.277  -0.454 -0.110  -0.337 0.029  -0.308 0.198  -0.139 0.266  0.006 0.372  0.086 0.484  0.214 0.595  0.363 0.628  0.406 0.488  0.454 0.325  0.454 0.143  0.454 -0.040  0.454 -0.223  0.416 -0.399  0.406 -0.580  0.439 -0.750  0.576 -0.861  0.759 -0.861  0.917 -0.815  1.028 -0.671  1.157 -0.542  1.287 -0.413  1.429 -0.298  1.511 -0.157  1.572 0.009  1.670 0.163  1.799 0.292
2#tos#t3#t3026064/p  -0.165 1.090  -0.204 0.945  -0.174 0.765  -0.165 0.582  -0.165 0.398  -0.165 0.214  -0.165 0.029  -0.165 -0.155  -0.165 -0.339  -0.165 -0.523  -0.175 -0.707  -0.204 -0.887  -0.204 -1.072  -0.204 -1.256  -0.204 -1.440  -0.204 -1.624  -0.204 -1.809  -0.220 -1.848  -0.282 -1.678  -0.282 -1.494  -0.282 -1.310  -0.268 -1.126  -0.247 -0.943  -0.226 -0.760  -0.204 -0.577  -0.183 -0.394  -0.162 -0.211  -0.141 -0.028  -0.120 0.155  -0.099 0.338  -0.078 0.521  -0.057 0.705  -0.036 0.888  -0.015 1.071  0.069 1.206  0.253 1.207  0.437 1.207  0.622 1.207  0.806 1.207  0.929 1.146  0.929 0.961  0.818 0.857  0.656 0.778  0.526 0.647  0.378 0.541  0.232 0.432  0.076 0.342  -0.075 0.242  -0.254 0.230  -0.399 0.269
2#tos#t3#t3026064/r  -0.317 1.310  -0.457 1.310  -0.568 1.280  -0.568 1.140  -0.568 0.999  -0.549 0.861  -0.515 0.725  -0.505 0.585  -0.505 0.445  -0.505 0.304  -0.505 0.164  -0.505 0.023  -0.439 -0.095  -0.354 -0.207  -0.317 -0.335  -0.317 -0.476  -0.317 -0.616  -0.317 -0.757  -0.317 -0.897  -0.317 -1.038  -0.317 -1.178  -0.317 -1.319  -0.309 -1.456  -0.254 -1.449  -0.254 -1.309  -0.254 -1.168  -0.254 -1.028  -0.254 -0.887  -0.254 -0.747  -0.254 -0.606  -0.254 -0.466  -0.254 -0.325  -0.203 -0.206  -0.113 -0.100  -0.050 0.026  0.033 0.119  0.059 0.233  0.172 0.308  0.294 0.378  0.416 0.448  0.539 0.515  0.656 0.590  0.784 0.621  0.924 0.621  1.065 0.621  1.205 0.621  1.346 0.621  1.486 0.621  1.627 0.621  1.752 0.558
2#tos#t3#t3026064/s  0.806 0.871  0.755 0.981  0.718 1.129  0.580 1.168  0.467 1.208  0.399 1.295  0.245 1.295  0.127 1.259  -0.021 1.253  -0.112 1.141  -0.170 1.011  -0.170 0.857  -0.114 0.716  -0.080 0.574  0.070 0.550  0.211 0.489  0.365 0.489  0.492 0.421  0.637 0.402  0.696 0.279  0.806 0.179  0.806 0.025  0.806 -0.129  0.803 -0.283  0.764 -0.428  0.678 -0.516  0.586 -0.621  0.462 -0.714  0.349 -0.818  0.203 -0.861  0.050 -0.870  -0.105 -0.870  -0.174 -0.785  -0.270 -0.685  -0.297 -0.542  -0.340 -0.395  -0.340 -0.241  -0.340 -0.087  -0.450 -0.118  -0.541 -0.222  -0.665 -0.311  -0.764 -0.404  -0.806 -0.544  -0.892 -0.670  -0.960 -0.803  -1.040 -0.933  -1.146 -1.044  -1.146 -1.198  -1.046 -1.252  -0.892 -1.252
2#tos#t3#t3026064/t  -1.051 -0.001  -1.203 -0.055  -1.344 -0.154  -1.353 -0.215  -1.245 -0.104  -1.074 -0.070  -0.901 -0.055  -0.748 0.012  -0.607 0.112  -0.445 0.177  -0.278 0.226  -0.106 0.254  0.047 0.327  0.188 0.429  0.357 0.471  0.490 0.577  0.609 0.671  0.533 0.825  0.445 0.975  0.357 1.126  0.269 1.277  0.130 1.337  0.063 1.227  -0.087 1.160  -0.087 0.986  -0.087 0.811  -0.113 0.643  -0.191 0.487  -0.256 0.325  -0.301 0.160  -0.335 -0.011  -0.355 -0.184  -0.355 -0.358  -0.355 -0.533  -0.355 -0.707  -0.320 -0.873  -0.176 -0.953  -0.097 -1.095  0.055 -1.125  0.230 -1.125  0.401 -1.105  0.570 -1.072  0.721 -0.996  0.866 -0.900  0.999 -0.788  1.123 -0.665  1.219 -0.525  1.330 -0.429  1.412 -0.336  1.412 -0.162
2#tos#t3#t3026064/u  -0.884 0.909  -1.022 0.890  -1.022 0.731  -1.022 0.573  -1.069 0.422  -1.092 0.267  -1.092 0.109  -1.092 -0.049  -1.092 -0.208  -1.092 -0.366  -1.092 -0.524  -1.059 -0.679  -1.016 -0.830  -0.892 -0.924  -0.742 -0.963  -0.584 -0.963  -0.426 -0.963  -0.267 -0.963  -0.190 -0.882  -0.190 -0.723  -0.154 -0.580  -0.051 -0.460  0.048 -0.336  0.147 -0.212  0.284 -0.136  0.331 0.011  0.377 0.160  0.489 0.272  0.503 0.424  0.503 0.583  0.503 0.741  0.530 0.893  0.572 1.041  0.642 1.130  0.697 1.157  0.642 1.012  0.642 0.854  0.642 0.695  0.599 0.547  0.572 0.395  0.572 0.237  0.572 0.078  0.588 -0.072  0.720 -0.160  0.780 -0.286  0.780 -0.444  0.874 -0.559  1.018 -0.616  1.177 -0.616  1.335 -0.616
2#tos#t3#t3026064/v  -1.156 0.644  -1.202 0.579  -1.092 0.617  -0.971 0.644  -0.823 0.644  -0.680 0.614  -0.575 0.542  -0.575 0.394  -0.575 0.246  -0.575 0.098  -0.575 -0.050  -0.597 -0.194  -0.640 -0.335  -0.640 -0.483  -0.640 -0.631  -0.640 -0.779  -0.640 -0.927  -0.640 -1.075  -0.575 -1.158  -0.501 -1.237  -0.376 -1.292  -0.294 -1.218  -0.157 -1.163  -0.020 -1.108  0.005 -0.977  0.068 -0.844  0.198 -0.776  0.199 -0.629  0.225 -0.492  0.328 -0.387  0.328 -0.239  0.361 -0.096  0.393 0.047  0.393 0.194  0.440 0.335  0.499 0.470  0.522 0.612  0.522 0.760  0.522 0.908  0.522 1.056  0.630 1.096  0.651 0.969  0.708 0.845  0.721 0.702  0.845 0.644  0.978 0.579  1.077 0.501  1.194 0.450  1.342 0.450  1.490 0.450
2#tos#t3#t3026064/w  -0.982 0.518  -1.135 0.518  -1.173 0.402  -1.173 0.249  -1.173 0.095  -1.173 -0.059  -1.173 -0.212  -1.173 -0.366  -1.173 -0.520  -1.173 -0.674  -1.123 -0.776  -0.969 -0.776  -0.830 -0.721  -0.703 -0.637  -0.598 -0.548  -0.560 -0.415  -0.435 -0.326  -0.326 -0.217  -0.269 -0.077  -0.168 0.037  -0.161 0.188  -0.089 0.319  -0.071 0.470  -0.071 0.452  -0.071 0.299  -0.071 0.145  -0.071 -0.009  -0.041 -0.159  -0.018 -0.311  0.037 -0.452  0.121 -0.571  0.261 -0.585  0.415 -0.585  0.569 -0.585  0.639 -0.469  0.764 -0.421  0.840 -0.299  0.936 -0.204  0.936 -0.051  0.936 0.103  1.023 0.221  1.032 0.371  1.032 0.525  1.032 0.678  0.984 0.784  1.020 0.902  1.174 0.902  1.328 0.902  1.462 0.948  1.607 0.998
