3#apb#apb09#app0905/C  0.592 0.569  0.636 0.670  0.705 0.750  0.674 0.851  0.592 0.923  0.496 0.973  0.394 1.011  0.290 1.044  0.183 1.068  0.076 1.091  -0.031 1.071  -0.137 1.047  -0.238 1.008  -0.332 0.953  -0.427 0.897  -0.502 0.819  -0.574 0.737  -0.645 0.654  -0.691 0.555  -0.736 0.455  -0.782 0.356  -0.811 0.252  -0.825 0.143  -0.838 0.035  -0.837 -0.072  -0.801 -0.176  -0.766 -0.279  -0.730 -0.382  -0.679 -0.478  -0.619 -0.570  -0.560 -0.662  -0.485 -0.738  -0.393 -0.797  -0.300 -0.856  -0.208 -0.914  -0.101 -0.936  0.006 -0.957  0.113 -0.979  0.220 -0.973  0.327 -0.949  0.434 -0.926  0.541 -0.902  0.641 -0.860  0.742 -0.816  0.842 -0.773  0.937 -0.720  1.029 -0.661  1.118 -0.597  1.200 -0.525  1.262 -0.435
3#apb#apb09#app0905/V  -0.957 0.796  -0.992 0.774  -0.992 0.668  -0.992 0.562  -0.975 0.457  -0.957 0.352  -0.939 0.248  -0.920 0.143  -0.884 0.043  -0.848 -0.056  -0.812 -0.156  -0.776 -0.256  -0.729 -0.351  -0.676 -0.443  -0.623 -0.535  -0.571 -0.627  -0.504 -0.709  -0.432 -0.787  -0.359 -0.865  -0.281 -0.935  -0.191 -0.991  -0.100 -1.046  0.001 -1.076  0.099 -1.074  0.184 -1.010  0.253 -0.931  0.314 -0.844  0.373 -0.756  0.409 -0.657  0.446 -0.557  0.482 -0.457  0.515 -0.356  0.536 -0.252  0.557 -0.148  0.578 -0.044  0.599 0.060  0.618 0.164  0.631 0.270  0.644 0.375  0.657 0.480  0.669 0.586  0.682 0.691  0.700 0.796  0.721 0.900  0.742 1.004  0.763 1.108  0.784 1.212  0.817 1.312  0.858 1.410  0.879 1.512
3#apb#apb09#app0905/i  -0.213 0.354  -0.215 0.260  -0.204 0.147  -0.190 0.035  -0.156 -0.073  -0.123 -0.181  -0.097 -0.291  -0.080 -0.403  -0.063 -0.515  -0.046 -0.627  -0.027 -0.739  -0.009 -0.851  0.009 -0.963  0.025 -1.075  0.041 -1.187  0.058 -1.299  0.078 -1.411  0.123 -1.515  0.122 -1.426  0.116 -1.312  0.110 -1.199  0.103 -1.086  0.097 -0.973  0.091 -0.860  0.085 -0.747  0.078 -0.634  0.072 -0.520  0.066 -0.407  0.060 -0.294  0.053 -0.181  0.047 -0.068  0.041 0.045  0.035 0.159  0.028 0.272  0.022 0.385  0.016 0.498  0.010 0.611  0.003 0.724  -0.003 0.837  -0.009 0.951  -0.015 1.064  -0.022 1.177  -0.028 1.290  -0.034 1.403  -0.040 1.516  -0.047 1.630  -0.069 1.725  -0.035 1.831  0.030 1.922  0.110 2.002
3#apb#apb09#app0905/c  0.988 0.792  0.936 0.875  0.884 0.957  0.788 0.976  0.692 0.995  0.595 1.015  0.498 1.011  0.401 1.002  0.303 0.992  0.206 0.983  0.111 0.963  0.020 0.926  -0.071 0.889  -0.161 0.852  -0.252 0.815  -0.336 0.768  -0.410 0.703  -0.484 0.639  -0.557 0.574  -0.631 0.510  -0.682 0.426  -0.730 0.341  -0.779 0.256  -0.805 0.164  -0.811 0.067  -0.817 -0.031  -0.815 -0.127  -0.767 -0.212  -0.719 -0.298  -0.671 -0.383  -0.613 -0.460  -0.535 -0.519  -0.457 -0.578  -0.378 -0.637  -0.299 -0.694  -0.212 -0.740  -0.126 -0.785  -0.039 -0.830  0.048 -0.876  0.135 -0.920  0.228 -0.952  0.320 -0.985  0.413 -1.018  0.507 -1.044  0.604 -1.056  0.701 -1.069  0.798 -1.079  0.896 -1.073  0.993 -1.066  1.091 -1.060
3#apb#apb09#app0905/e  -1.362 -0.119  -1.205 -0.138  -1.045 -0.138  -0.885 -0.131  -0.725 -0.124  -0.566 -0.114  -0.406 -0.100  -0.247 -0.087  -0.099 -0.039  0.039 0.042  0.177 0.122  0.317 0.200  0.457 0.277  0.569 0.387  0.667 0.514  0.743 0.653  0.810 0.798  0.825 0.957  0.810 1.109  0.722 1.242  0.573 1.297  0.426 1.252  0.282 1.184  0.142 1.106  0.002 1.029  -0.114 0.923  -0.214 0.799  -0.315 0.674  -0.409 0.545  -0.490 0.408  -0.571 0.270  -0.640 0.127  -0.676 -0.028  -0.711 -0.184  -0.696 -0.337  -0.641 -0.487  -0.580 -0.633  -0.471 -0.750  -0.362 -0.868  -0.230 -0.956  -0.093 -1.039  0.058 -1.085  0.215 -1.116  0.372 -1.136  0.531 -1.119  0.690 -1.102  0.847 -1.072  1.004 -1.040  1.160 -1.005  1.315 -0.966
3#apb#apb09#app0905/P  -0.388 0.591  -0.552 0.634  -0.601 0.463  -0.610 0.268  -0.611 0.074  -0.611 -0.121  -0.610 -0.316  -0.597 -0.510  -0.584 -0.705  -0.572 -0.899  -0.562 -1.094  -0.560 -1.289  -0.549 -1.483  -0.515 -1.367  -0.472 -1.177  -0.449 -0.983  -0.425 -0.790  -0.403 -0.596  -0.388 -0.402  -0.373 -0.208  -0.358 -0.014  -0.338 0.180  -0.316 0.374  -0.294 0.567  -0.242 0.753  -0.171 0.935  -0.074 1.100  0.058 1.243  0.235 1.325  0.425 1.338  0.612 1.305  0.778 1.201  0.924 1.075  1.057 0.933  1.135 0.758  1.197 0.573  1.225 0.383  1.225 0.188  1.165 0.007  1.078 -0.167  0.926 -0.286  0.768 -0.400  0.583 -0.461  0.398 -0.520  0.204 -0.525  0.009 -0.525  -0.179 -0.474  -0.367 -0.423  -0.533 -0.320  -0.697 -0.216
3#apb#apb09#app0905/r  -0.555 0.230  -0.610 0.139  -0.620 0.037  -0.612 -0.069  -0.604 -0.175  -0.584 -0.280  -0.561 -0.384  -0.538 -0.488  -0.515 -0.592  -0.502 -0.698  -0.494 -0.804  -0.487 -0.910  -0.466 -1.014  -0.432 -1.115  -0.401 -1.217  -0.388 -1.314  -0.391 -1.207  -0.398 -1.101  -0.405 -0.995  -0.412 -0.888  -0.412 -0.782  -0.412 -0.675  -0.412 -0.569  -0.412 -0.462  -0.391 -0.360  -0.352 -0.260  -0.313 -0.161  -0.274 -0.062  -0.236 0.037  -0.196 0.136  -0.126 0.217  -0.056 0.297  0.014 0.377  0.084 0.457  0.158 0.534  0.240 0.602  0.322 0.670  0.405 0.737  0.487 0.805  0.576 0.861  0.677 0.895  0.778 0.928  0.879 0.962  0.980 0.997  1.076 1.042  1.173 1.086  1.270 1.131  1.376 1.135  1.482 1.135  1.589 1.135
3#apb#apb09#app0905/e  -0.266 -0.167  -0.261 -0.026  -0.179 0.090  -0.081 0.189  0.038 0.266  0.159 0.341  0.284 0.407  0.410 0.474  0.528 0.552  0.641 0.637  0.737 0.740  0.810 0.860  0.799 0.986  0.699 1.076  0.560 1.103  0.419 1.097  0.277 1.088  0.138 1.059  0.000 1.025  -0.125 0.964  -0.242 0.884  -0.360 0.803  -0.468 0.713  -0.569 0.613  -0.669 0.512  -0.759 0.404  -0.822 0.277  -0.886 0.150  -0.949 0.023  -0.956 -0.119  -0.963 -0.261  -0.947 -0.397  -0.880 -0.522  -0.814 -0.648  -0.709 -0.738  -0.590 -0.817  -0.472 -0.896  -0.338 -0.939  -0.201 -0.976  -0.064 -1.012  0.075 -1.040  0.217 -1.040  0.359 -1.040  0.501 -1.040  0.641 -1.020  0.780 -0.995  0.920 -0.969  1.057 -0.932  1.193 -0.891  1.329 -0.850
3#apb#apb09#app0905/s  0.253 1.127  0.136 1.146  0.019 1.166  -0.098 1.185  -0.216 1.182  -0.334 1.175  -0.453 1.168  -0.562 1.127  -0.670 1.077  -0.773 1.020  -0.868 0.949  -0.900 0.847  -0.861 0.744  -0.777 0.660  -0.677 0.599  -0.573 0.543  -0.468 0.488  -0.361 0.437  -0.251 0.393  -0.142 0.348  -0.032 0.303  0.078 0.257  0.187 0.212  0.296 0.166  0.405 0.120  0.497 0.045  0.587 -0.032  0.677 -0.109  0.747 -0.204  0.811 -0.303  0.875 -0.403  0.896 -0.519  0.914 -0.636  0.904 -0.752  0.881 -0.869  0.779 -0.925  0.673 -0.978  0.565 -1.023  0.449 -1.048  0.333 -1.073  0.215 -1.077  0.097 -1.077  -0.021 -1.068  -0.137 -1.046  -0.254 -1.024  -0.361 -0.977  -0.463 -0.918  -0.567 -0.860  -0.673 -0.807  -0.779 -0.754
3#apb#apb09#app0905/i  -0.032 1.344  -0.108 1.291  -0.183 1.239  -0.258 1.187  -0.334 1.136  -0.422 1.114  -0.496 1.059  -0.548 1.060  -0.489 1.130  -0.429 1.199  -0.395 1.128  -0.364 1.042  -0.332 0.956  -0.301 0.870  -0.270 0.784  -0.238 0.698  -0.207 0.612  -0.175 0.526  -0.144 0.440  -0.113 0.354  -0.081 0.268  -0.050 0.182  -0.018 0.096  0.013 0.010  0.014 0.099  0.043 0.183  0.107 0.207  0.118 0.116  0.129 0.026  0.141 -0.065  0.152 -0.156  0.171 -0.246  0.190 -0.335  0.208 -0.425  0.227 -0.514  0.246 -0.604  0.264 -0.693  0.271 -0.785  0.276 -0.876  0.281 -0.967  0.285 -1.059  0.290 -1.150  0.295 -1.241  0.300 -1.333  0.305 -1.424  0.309 -1.515  0.317 -1.607  0.331 -1.697  0.345 -1.787  0.359 -1.878
3#apb#apb09#app0905/d  0.220 1.539  0.274 1.374  0.333 1.212  0.371 1.044  0.410 0.875  0.469 0.713  0.536 0.554  0.602 0.394  0.665 0.233  0.728 0.072  0.781 -0.092  0.821 -0.261  0.858 -0.429  0.882 -0.601  0.868 -0.771  0.784 -0.900  0.706 -0.752  0.661 -0.585  0.613 -0.418  0.565 -0.252  0.516 -0.087  0.463 0.078  0.410 0.243  0.332 0.394  0.226 0.530  0.116 0.663  -0.026 0.761  -0.182 0.816  -0.355 0.816  -0.521 0.776  -0.683 0.716  -0.833 0.634  -0.975 0.535  -1.093 0.415  -1.174 0.262  -1.228 0.102  -1.237 -0.071  -1.223 -0.240  -1.152 -0.397  -1.081 -0.555  -0.942 -0.657  -0.801 -0.758  -0.654 -0.848  -0.504 -0.933  -0.344 -0.997  -0.181 -1.055  -0.009 -1.062  0.164 -1.062  0.328 -1.012  0.491 -0.954
3#apb#apb09#app0905/e  -1.012 -0.527  -0.860 -0.504  -0.710 -0.474  -0.569 -0.414  -0.427 -0.355  -0.284 -0.298  -0.139 -0.247  0.006 -0.197  0.143 -0.130  0.268 -0.040  0.392 0.050  0.514 0.144  0.630 0.244  0.746 0.345  0.846 0.461  0.933 0.587  0.985 0.725  0.985 0.879  0.951 1.023  0.877 1.158  0.749 1.225  0.601 1.267  0.450 1.262  0.298 1.238  0.169 1.158  0.042 1.071  -0.085 0.984  -0.194 0.877  -0.296 0.762  -0.398 0.647  -0.487 0.523  -0.556 0.386  -0.625 0.248  -0.693 0.110  -0.707 -0.043  -0.721 -0.196  -0.735 -0.349  -0.705 -0.499  -0.671 -0.649  -0.612 -0.786  -0.513 -0.904  -0.412 -1.019  -0.278 -1.095  -0.144 -1.170  -0.002 -1.223  0.149 -1.255  0.299 -1.287  0.450 -1.268  0.601 -1.238  0.751 -1.207
3#apb#apb09#app0905/n  -0.872 0.159  -0.889 0.039  -0.907 -0.081  -0.928 -0.201  -0.950 -0.320  -0.971 -0.440  -0.971 -0.561  -0.971 -0.683  -0.952 -0.802  -0.922 -0.920  -0.912 -1.040  -0.821 -1.043  -0.754 -0.942  -0.697 -0.835  -0.640 -0.727  -0.583 -0.620  -0.545 -0.505  -0.510 -0.388  -0.475 -0.272  -0.439 -0.156  -0.396 -0.042  -0.353 0.071  -0.310 0.185  -0.267 0.298  -0.224 0.412  -0.165 0.518  -0.105 0.624  -0.045 0.729  0.015 0.835  0.107 0.908  0.214 0.965  0.325 1.013  0.443 1.040  0.552 0.997  0.654 0.934  0.733 0.841  0.811 0.748  0.872 0.646  0.906 0.529  0.939 0.413  0.973 0.296  0.996 0.177  1.018 0.057  1.040 -0.062  1.065 -0.181  1.101 -0.297  1.137 -0.413  1.173 -0.529  1.208 -0.645  1.293 -0.727
3#apb#apb09#app0905/t  -0.265 1.864  -0.215 1.698  -0.171 1.529  -0.134 1.359  -0.102 1.187  -0.089 1.013  -0.076 0.839  -0.059 0.666  -0.038 0.493  -0.016 0.320  0.009 0.147  0.050 -0.022  0.091 -0.192  0.129 -0.362  0.153 -0.535  0.177 -0.708  0.200 -0.881  0.221 -1.054  0.237 -1.228  0.249 -1.402  0.259 -1.574  0.217 -1.533  0.120 -1.388  0.023 -1.243  -0.074 -1.097  -0.171 -0.952  -0.267 -0.807  -0.364 -0.662  -0.461 -0.517  -0.558 -0.372  -0.654 -0.226  -0.751 -0.081  -0.848 0.064  -0.945 0.209  -1.042 0.354  -0.875 0.345  -0.701 0.340  -0.526 0.340  -0.352 0.338  -0.178 0.326  -0.004 0.314  0.171 0.305  0.345 0.305  0.520 0.305  0.693 0.315  0.867 0.333  1.040 0.352  1.214 0.371  1.387 0.391  1.560 0.411
3#apb#apb09#app0905/P  -0.405 0.286  -0.477 0.184  -0.487 0.009  -0.479 -0.166  -0.464 -0.341  -0.442 -0.515  -0.412 -0.688  -0.386 -0.861  -0.377 -1.036  -0.363 -1.211  -0.335 -1.384  -0.337 -1.433  -0.388 -1.265  -0.442 -1.098  -0.493 -0.930  -0.517 -0.756  -0.541 -0.582  -0.565 -0.408  -0.581 -0.234  -0.591 -0.059  -0.600 0.117  -0.609 0.292  -0.597 0.467  -0.584 0.642  -0.546 0.811  -0.472 0.970  -0.348 1.089  -0.209 1.196  -0.043 1.254  0.123 1.312  0.295 1.281  0.467 1.248  0.624 1.171  0.780 1.089  0.900 0.965  1.012 0.829  1.090 0.675  1.151 0.510  1.158 0.338  1.141 0.164  1.067 0.009  0.972 -0.139  0.843 -0.255  0.703 -0.360  0.547 -0.439  0.387 -0.511  0.218 -0.553  0.044 -0.579  -0.129 -0.566  -0.302 -0.536
3#apb#apb09#app0905/u  -0.818 1.166  -0.901 1.081  -0.942 0.954  -0.968 0.824  -0.995 0.694  -1.021 0.564  -1.034 0.432  -1.045 0.300  -1.057 0.167  -1.054 0.036  -1.023 -0.093  -0.993 -0.222  -0.962 -0.351  -0.920 -0.477  -0.878 -0.603  -0.812 -0.716  -0.728 -0.819  -0.627 -0.892  -0.496 -0.912  -0.366 -0.913  -0.239 -0.874  -0.119 -0.823  -0.022 -0.732  0.075 -0.642  0.157 -0.541  0.197 -0.415  0.237 -0.288  0.277 -0.162  0.312 -0.034  0.344 0.095  0.376 0.224  0.409 0.353  0.446 0.480  0.484 0.607  0.522 0.734  0.592 0.845  0.686 0.880  0.735 0.756  0.776 0.630  0.806 0.501  0.837 0.372  0.871 0.244  0.919 0.120  0.967 -0.004  1.017 -0.127  1.076 -0.246  1.136 -0.364  1.195 -0.483  1.255 -0.602  1.314 -0.721
3#apb#apb09#app0905/b  -1.291 1.225  -1.202 1.106  -1.118 0.986  -1.044 0.858  -0.970 0.730  -0.912 0.595  -0.860 0.456  -0.808 0.318  -0.766 0.177  -0.726 0.035  -0.686 -0.108  -0.651 -0.251  -0.617 -0.395  -0.619 -0.541  -0.594 -0.681  -0.573 -0.634  -0.554 -0.488  -0.533 -0.342  -0.503 -0.197  -0.473 -0.052  -0.431 0.088  -0.372 0.224  -0.313 0.359  -0.219 0.465  -0.095 0.545  0.035 0.614  0.169 0.676  0.297 0.750  0.428 0.779  0.565 0.724  0.695 0.656  0.818 0.575  0.922 0.474  0.996 0.347  1.068 0.219  1.119 0.080  1.170 -0.059  1.168 -0.203  1.151 -0.350  1.105 -0.490  1.054 -0.628  0.954 -0.734  0.845 -0.834  0.741 -0.938  0.613 -1.005  0.474 -1.056  0.336 -1.109  0.202 -1.054  0.069 -0.990  -0.063 -0.924
3#apb#apb09#app0905/l  -0.423 1.450  -0.449 1.515  -0.457 1.510  -0.438 1.443  -0.417 1.376  -0.390 1.311  -0.364 1.246  -0.337 1.181  -0.311 1.116  -0.284 1.051  -0.257 0.986  -0.233 0.921  -0.211 0.854  -0.188 0.788  -0.165 0.722  -0.142 0.655  -0.119 0.589  -0.096 0.523  -0.073 0.457  -0.053 0.389  -0.032 0.322  -0.012 0.255  0.008 0.188  0.029 0.121  0.049 0.054  0.066 -0.014  0.079 -0.083  0.092 -0.152  0.105 -0.221  0.119 -0.290  0.132 -0.358  0.145 -0.427  0.158 -0.496  0.169 -0.566  0.180 -0.635  0.191 -0.704  0.201 -0.773  0.212 -0.843  0.232 -0.910  0.251 -0.978  0.270 -1.045  0.289 -1.112  0.295 -1.182  0.300 -1.252  0.306 -1.322  0.309 -1.392  0.309 -1.462  0.309 -1.533  0.318 -1.602  0.328 -1.671
3#apb#apb09#app0905/i  0.170 1.514  0.103 1.488  0.036 1.463  -0.034 1.452  -0.032 1.444  -0.020 1.398  -0.024 1.326  -0.029 1.254  -0.034 1.182  -0.039 1.110  -0.044 1.039  -0.049 0.967  -0.054 0.895  -0.059 0.823  -0.063 0.751  -0.068 0.679  -0.073 0.607  -0.078 0.536  -0.083 0.464  -0.088 0.392  -0.093 0.320  -0.098 0.248  -0.108 0.177  -0.119 0.106  -0.127 0.034  -0.134 -0.037  -0.139 -0.109  -0.131 -0.181  -0.123 -0.252  -0.114 -0.324  -0.106 -0.395  -0.097 -0.467  -0.088 -0.538  -0.079 -0.610  -0.070 -0.681  -0.062 -0.753  -0.041 -0.821  -0.012 -0.886  0.018 -0.952  0.048 -1.018  0.070 -1.086  0.093 -1.154  0.116 -1.223  0.149 -1.285  0.196 -1.340  0.243 -1.395  0.278 -1.457  0.310 -1.521  0.363 -1.569  0.419 -1.614
3#apb#apb09#app0905/c  0.425 0.836  0.349 0.903  0.272 0.971  0.178 1.008  0.082 1.042  -0.016 1.057  -0.116 1.038  -0.217 1.019  -0.313 0.988  -0.407 0.947  -0.500 0.906  -0.579 0.845  -0.646 0.768  -0.713 0.691  -0.781 0.614  -0.818 0.520  -0.851 0.424  -0.885 0.327  -0.892 0.226  -0.892 0.124  -0.892 0.022  -0.892 -0.080  -0.849 -0.171  -0.799 -0.260  -0.749 -0.349  -0.678 -0.419  -0.597 -0.481  -0.516 -0.543  -0.434 -0.604  -0.336 -0.631  -0.237 -0.658  -0.139 -0.685  -0.040 -0.710  0.062 -0.714  0.164 -0.717  0.266 -0.721  0.368 -0.725  0.468 -0.715  0.567 -0.689  0.665 -0.662  0.764 -0.636  0.863 -0.609  0.959 -0.577  1.056 -0.543  1.152 -0.509  1.247 -0.473  1.337 -0.425  1.427 -0.377  1.515 -0.325  1.601 -0.271
3#apb#apb09#app0905/R  -0.860 0.519  -0.949 0.375  -0.997 0.204  -1.031 0.030  -1.047 -0.146  -1.040 -0.323  -1.027 -0.500  -1.006 -0.676  -0.969 -0.849  -0.969 -0.899  -0.969 -0.721  -0.949 -0.545  -0.927 -0.369  -0.887 -0.197  -0.822 -0.032  -0.757 0.133  -0.678 0.290  -0.566 0.428  -0.455 0.566  -0.322 0.682  -0.181 0.790  -0.028 0.879  0.132 0.955  0.304 0.994  0.479 1.020  0.656 1.009  0.806 0.922  0.924 0.794  0.985 0.634  0.973 0.460  0.879 0.309  0.743 0.203  0.588 0.116  0.436 0.025  0.276 -0.051  0.107 -0.091  -0.069 -0.076  -0.162 -0.006  0.015 -0.004  0.181 -0.056  0.339 -0.136  0.479 -0.245  0.620 -0.353  0.752 -0.471  0.884 -0.590  1.005 -0.720  1.122 -0.853  1.222 -0.999  1.328 -1.141  1.432 -1.285
3#apb#apb09#app0905/e  -0.674 -0.100  -0.554 -0.085  -0.426 -0.005  -0.278 0.017  -0.129 0.039  0.018 0.071  0.163 0.112  0.307 0.154  0.447 0.210  0.585 0.270  0.706 0.356  0.816 0.458  0.917 0.569  1.003 0.692  0.963 0.830  0.887 0.958  0.792 1.075  0.650 1.118  0.504 1.155  0.356 1.126  0.209 1.096  0.070 1.045  -0.060 0.969  -0.190 0.893  -0.320 0.816  -0.421 0.705  -0.522 0.593  -0.623 0.482  -0.709 0.360  -0.781 0.227  -0.852 0.095  -0.918 -0.039  -0.924 -0.189  -0.929 -0.340  -0.935 -0.490  -0.860 -0.616  -0.771 -0.737  -0.659 -0.832  -0.527 -0.904  -0.395 -0.976  -0.257 -1.033  -0.111 -1.070  0.035 -1.106  0.182 -1.136  0.332 -1.154  0.481 -1.172  0.630 -1.180  0.776 -1.144  0.923 -1.109  1.069 -1.074
3#apb#apb09#app0905/l  -0.247 1.676  -0.252 1.607  -0.257 1.537  -0.262 1.468  -0.263 1.398  -0.257 1.329  -0.251 1.259  -0.244 1.190  -0.238 1.120  -0.232 1.051  -0.222 0.982  -0.209 0.913  -0.197 0.845  -0.184 0.776  -0.172 0.707  -0.159 0.639  -0.147 0.570  -0.134 0.502  -0.122 0.433  -0.113 0.364  -0.104 0.295  -0.095 0.225  -0.086 0.156  -0.077 0.087  -0.068 0.018  -0.059 -0.051  -0.050 -0.120  -0.035 -0.188  -0.018 -0.256  -0.001 -0.324  0.016 -0.391  0.033 -0.459  0.050 -0.527  0.066 -0.594  0.084 -0.662  0.104 -0.729  0.124 -0.796  0.144 -0.862  0.164 -0.929  0.184 -0.996  0.216 -1.058  0.250 -1.119  0.284 -1.179  0.319 -1.240  0.353 -1.301  0.393 -1.358  0.433 -1.415  0.473 -1.472  0.512 -1.530  0.551 -1.588
3#apb#apb09#app0905/a  0.202 -0.280  0.306 -0.149  0.394 -0.009  0.453 0.146  0.453 0.313  0.405 0.466  0.318 0.608  0.205 0.729  0.078 0.836  -0.063 0.920  -0.219 0.978  -0.378 1.003  -0.540 0.964  -0.699 0.918  -0.840 0.830  -0.982 0.741  -1.097 0.623  -1.207 0.497  -1.292 0.359  -1.327 0.196  -1.361 0.033  -1.317 -0.125  -1.261 -0.282  -1.157 -0.403  -1.022 -0.502  -0.881 -0.587  -0.723 -0.640  -0.565 -0.693  -0.401 -0.674  -0.236 -0.648  -0.080 -0.596  0.067 -0.517  0.206 -0.427  0.332 -0.317  0.457 -0.207  0.544 -0.069  0.615 0.082  0.690 0.231  0.769 0.378  0.815 0.368  0.841 0.204  0.858 0.038  0.880 -0.126  0.922 -0.288  0.965 -0.449  1.019 -0.607  1.076 -0.763  1.146 -0.912  1.259 -1.035  1.372 -1.157
3#apb#apb09#app0905/t  -0.386 1.872  -0.283 1.803  -0.188 1.656  -0.127 1.489  -0.065 1.321  -0.006 1.153  0.053 0.985  0.115 0.818  0.184 0.654  0.254 0.489  0.282 0.315  0.300 0.137  0.321 -0.039  0.348 -0.215  0.376 -0.392  0.394 -0.569  0.412 -0.746  0.420 -0.924  0.420 -1.102  0.408 -1.280  0.406 -1.457  0.408 -1.599  0.302 -1.456  0.195 -1.313  0.088 -1.170  -0.019 -1.028  -0.125 -0.885  -0.232 -0.742  -0.339 -0.599  -0.445 -0.457  -0.552 -0.314  -0.659 -0.171  -0.765 -0.028  -0.872 0.115  -0.979 0.257  -1.085 0.400  -1.027 0.413  -0.859 0.355  -0.688 0.303  -0.518 0.251  -0.343 0.219  -0.167 0.194  0.010 0.169  0.187 0.149  0.365 0.142  0.543 0.136  0.721 0.129  0.897 0.157  1.073 0.187  1.248 0.216
3#apb#apb09#app0905/i  -0.298 0.783  -0.313 0.664  -0.294 0.541  -0.270 0.419  -0.245 0.298  -0.221 0.176  -0.204 0.054  -0.193 -0.070  -0.182 -0.193  -0.172 -0.317  -0.165 -0.440  -0.165 -0.564  -0.165 -0.688  -0.165 -0.812  -0.147 -0.935  -0.128 -1.057  -0.121 -1.180  -0.120 -1.304  -0.071 -1.418  0.018 -1.494  0.124 -1.542  0.124 -1.418  0.124 -1.294  0.124 -1.170  0.124 -1.046  0.124 -0.922  0.124 -0.798  0.124 -0.674  0.124 -0.551  0.124 -0.427  0.124 -0.303  0.124 -0.179  0.124 -0.055  0.124 0.069  0.124 0.193  0.124 0.317  0.124 0.441  0.124 0.565  0.124 0.689  0.124 0.813  0.124 0.937  0.124 1.061  0.124 1.185  0.124 1.309  0.124 1.432  0.124 1.556  0.124 1.680  0.124 1.804  0.124 1.928  0.035 1.938
3#apb#apb09#app0905/o  -0.348 1.004  -0.456 0.941  -0.563 0.879  -0.652 0.791  -0.740 0.703  -0.828 0.615  -0.888 0.507  -0.946 0.397  -1.004 0.286  -1.034 0.169  -1.034 0.045  -1.034 -0.079  -1.027 -0.202  -0.971 -0.314  -0.916 -0.425  -0.860 -0.536  -0.774 -0.619  -0.666 -0.680  -0.557 -0.741  -0.449 -0.801  -0.334 -0.846  -0.212 -0.868  -0.089 -0.890  0.033 -0.912  0.156 -0.923  0.279 -0.906  0.403 -0.889  0.525 -0.869  0.626 -0.797  0.728 -0.725  0.828 -0.652  0.896 -0.547  0.963 -0.443  1.025 -0.336  1.038 -0.213  1.051 -0.089  1.045 0.032  1.000 0.149  0.956 0.265  0.909 0.379  0.826 0.473  0.743 0.566  0.661 0.659  0.565 0.737  0.461 0.805  0.357 0.873  0.251 0.938  0.135 0.984  0.020 1.030  -0.096 1.076
3#apb#apb09#app0905/n  -0.768 -0.024  -0.781 -0.147  -0.793 -0.271  -0.810 -0.394  -0.847 -0.513  -0.872 -0.634  -0.872 -0.758  -0.872 -0.883  -0.872 -1.007  -0.835 -1.043  -0.779 -0.932  -0.746 -0.812  -0.719 -0.691  -0.691 -0.570  -0.665 -0.448  -0.640 -0.326  -0.615 -0.204  -0.589 -0.082  -0.562 0.039  -0.533 0.160  -0.503 0.281  -0.474 0.402  -0.445 0.523  -0.378 0.626  -0.301 0.724  -0.224 0.821  -0.135 0.906  -0.029 0.971  0.081 1.026  0.203 1.054  0.324 1.059  0.445 1.031  0.548 0.970  0.636 0.882  0.711 0.784  0.764 0.672  0.818 0.559  0.863 0.444  0.899 0.325  0.935 0.205  0.960 0.084  0.977 -0.039  0.994 -0.163  1.009 -0.286  1.022 -0.410  1.035 -0.534  1.038 -0.658  1.038 -0.783  1.031 -0.907  1.021 -1.031
3#apb#apb09#app0905/s  0.754 1.035  0.639 1.055  0.525 1.072  0.409 1.077  0.293 1.083  0.177 1.086  0.061 1.071  -0.054 1.057  -0.169 1.043  -0.282 1.017  -0.392 0.979  -0.501 0.941  -0.608 0.897  -0.706 0.834  -0.789 0.760  -0.761 0.652  -0.678 0.583  -0.572 0.536  -0.465 0.490  -0.357 0.446  -0.249 0.403  -0.142 0.360  -0.038 0.308  0.064 0.252  0.166 0.196  0.266 0.138  0.363 0.073  0.460 0.009  0.541 -0.071  0.607 -0.167  0.670 -0.264  0.706 -0.374  0.729 -0.484  0.690 -0.594  0.651 -0.703  0.574 -0.789  0.495 -0.874  0.415 -0.959  0.316 -1.017  0.212 -1.069  0.108 -1.121  -0.000 -1.162  -0.113 -1.187  -0.227 -1.213  -0.340 -1.239  -0.456 -1.239  -0.572 -1.239  -0.689 -1.238  -0.804 -1.229  -0.920 -1.221
