2#tos#f1#f1078063/\"  -0.823 0.582  -0.969 0.417  -1.194 0.301  -1.028 0.212  -0.773 0.212  -0.638 0.091  -0.638 -0.164  -0.692 -0.397  -0.823 -0.543  -0.823 -0.798  -0.823 -0.745  -0.916 -0.511  -1.096 -0.436  -1.194 -0.279  -1.286 -0.116  -1.082 -0.066  -0.827 -0.066  -0.983 0.027  -1.101 -0.110  -1.194 -0.273  -1.112 -0.395  -0.884 -0.281  -0.656 -0.167  -0.428 -0.053  -0.199 0.061  0.029 0.175  0.257 0.289  0.485 0.403  0.713 0.517  0.941 0.631  0.869 0.675  0.658 0.631  0.678 0.397  0.933 0.397  1.151 0.336  1.329 0.212  1.398 0.026  1.398 -0.229  1.305 -0.392  1.188 -0.529  0.971 -0.436  0.911 -0.227  0.750 -0.093  0.658 0.070  0.863 0.119  1.118 0.119  1.052 0.119  0.843 0.164  0.843 0.189  0.843 -0.066
2#tos#f1#f1078063/N  -0.426 1.044  -0.537 0.962  -0.537 0.769  -0.537 0.576  -0.601 0.397  -0.648 0.210  -0.655 0.017  -0.701 -0.170  -0.704 -0.363  -0.704 -0.557  -0.704 -0.750  -0.704 -0.943  -0.760 -1.081  -0.748 -1.095  -0.722 -0.903  -0.696 -0.712  -0.670 -0.520  -0.644 -0.329  -0.618 -0.137  -0.593 0.054  -0.567 0.246  -0.541 0.437  -0.515 0.629  -0.489 0.820  -0.617 0.877  -0.609 0.830  -0.524 0.672  -0.425 0.542  -0.318 0.381  -0.210 0.220  -0.036 0.153  0.011 -0.034  0.154 -0.148  0.305 -0.247  0.413 -0.407  0.557 -0.533  0.705 -0.621  0.810 -0.748  0.928 -0.850  1.067 -0.761  1.190 -0.617  1.190 -0.424  1.190 -0.230  1.190 -0.037  1.301 0.087  1.324 0.277  1.357 0.465  1.357 0.658  1.357 0.851  1.357 1.044
2#tos#f1#f1078063/P  0.199 1.267  -0.023 1.267  -0.095 1.117  -0.099 0.896  -0.142 0.678  -0.166 0.459  -0.227 0.246  -0.272 0.030  -0.312 -0.186  -0.331 -0.406  -0.331 -0.628  -0.396 -0.837  -0.474 -1.045  -0.507 -1.261  -0.507 -1.483  -0.507 -1.705  -0.498 -1.775  -0.471 -1.554  -0.444 -1.334  -0.417 -1.114  -0.390 -0.894  -0.363 -0.674  -0.336 -0.453  -0.309 -0.233  -0.282 -0.013  -0.255 0.207  -0.228 0.427  -0.201 0.648  -0.174 0.868  -0.211 1.032  -0.389 1.075  -0.242 1.149  -0.020 1.149  0.202 1.149  0.406 1.075  0.614 1.025  0.728 0.841  0.896 0.740  1.022 0.597  1.029 0.378  1.081 0.178  1.081 -0.044  0.910 -0.143  0.787 -0.322  0.623 -0.380  0.425 -0.439  0.203 -0.439  -0.018 -0.439  -0.240 -0.439  -0.331 -0.262
2#tos#f1#f1078063/Q  0.131 -0.833  -0.024 -0.942  -0.243 -0.891  -0.417 -0.814  -0.620 -0.724  -0.772 -0.584  -0.851 -0.385  -0.906 -0.176  -0.906 0.056  -0.906 0.288  -0.906 0.520  -0.830 0.738  -0.797 0.962  -0.684 1.105  -0.478 1.186  -0.355 1.295  -0.164 1.361  0.041 1.405  0.273 1.405  0.484 1.366  0.641 1.204  0.756 1.065  0.853 0.888  0.895 0.666  0.895 0.434  0.786 0.235  0.786 0.003  0.686 -0.192  0.527 -0.342  0.465 -0.548  0.308 -0.669  0.131 -0.766  -0.082 -0.832  -0.314 -0.833  -0.546 -0.833  -0.687 -0.711  -0.742 -0.534  -0.742 -0.302  -0.579 -0.233  -0.511 -0.069  -0.279 -0.069  -0.047 -0.069  0.130 -0.123  0.317 -0.233  0.413 -0.405  0.593 -0.531  0.786 -0.587  0.935 -0.669  1.167 -0.669  1.386 -0.615
2#tos#f1#f1078063/U  -0.499 1.094  -0.604 1.056  -0.703 0.996  -0.743 0.919  -0.758 0.804  -0.792 0.693  -0.792 0.576  -0.841 0.479  -0.841 0.362  -0.841 0.245  -0.841 0.128  -0.841 0.011  -0.841 -0.106  -0.841 -0.223  -0.841 -0.340  -0.823 -0.452  -0.758 -0.549  -0.743 -0.662  -0.656 -0.731  -0.545 -0.767  -0.443 -0.788  -0.406 -0.899  -0.300 -0.916  -0.203 -0.963  -0.086 -0.963  0.032 -0.963  0.131 -0.921  0.242 -0.896  0.334 -0.845  0.397 -0.753  0.492 -0.688  0.530 -0.594  0.570 -0.502  0.657 -0.430  0.722 -0.332  0.804 -0.249  0.824 -0.140  0.873 -0.043  0.873 0.074  0.873 0.191  0.873 0.308  0.873 0.425  0.873 0.542  0.873 0.659  0.873 0.776  0.831 0.884  0.824 0.999  0.801 1.094  0.738 1.161  0.677 1.241
2#tos#f1#f1078063/V  -0.937 1.123  -1.023 1.065  -1.110 1.008  -1.100 1.008  -1.051 0.935  -1.026 0.817  -0.979 0.707  -0.937 0.602  -0.905 0.488  -0.851 0.378  -0.796 0.269  -0.722 0.178  -0.621 0.110  -0.593 0.003  -0.540 -0.103  -0.478 -0.206  -0.465 -0.323  -0.379 -0.409  -0.296 -0.498  -0.228 -0.599  -0.141 -0.679  -0.077 -0.761  -0.077 -0.883  -0.020 -0.948  -0.004 -1.054  0.118 -1.054  0.152 -1.142  0.247 -1.169  0.312 -1.077  0.341 -0.962  0.381 -0.850  0.409 -0.739  0.496 -0.653  0.553 -0.555  0.553 -0.433  0.553 -0.311  0.609 -0.224  0.668 -0.138  0.671 -0.017  0.725 0.092  0.725 0.214  0.725 0.336  0.741 0.451  0.827 0.538  0.839 0.655  0.839 0.777  0.946 0.832  0.954 0.950  0.957 1.071  1.011 1.180
2#tos#f1#f1078063/X  -1.148 0.813  -1.322 0.813  -1.192 0.811  -1.028 0.753  -0.890 0.652  -0.815 0.499  -0.686 0.391  -0.542 0.295  -0.415 0.177  -0.292 0.055  -0.169 -0.068  -0.042 -0.185  0.101 -0.284  0.237 -0.393  0.380 -0.489  0.527 -0.581  0.672 -0.677  0.820 -0.765  0.943 -0.888  1.113 -0.897  1.187 -0.907  1.141 -0.740  1.095 -0.572  1.049 -0.405  1.002 -0.237  0.956 -0.070  0.910 0.097  0.864 0.265  0.818 0.432  0.772 0.600  0.726 0.767  0.680 0.935  0.573 0.965  0.412 0.911  0.296 0.826  0.196 0.690  0.073 0.568  -0.072 0.472  -0.169 0.327  -0.283 0.198  -0.360 0.043  -0.510 -0.041  -0.613 -0.170  -0.691 -0.325  -0.779 -0.471  -0.928 -0.560  -1.025 -0.685  -1.129 -0.824  -1.197 -0.979  -1.246 -1.142
2#tos#f1#f1078063/Y  -0.840 1.065  -0.986 1.065  -1.131 1.065  -1.096 1.002  -0.992 0.903  -0.918 0.780  -0.816 0.688  -0.778 0.581  -0.688 0.473  -0.585 0.370  -0.499 0.256  -0.416 0.138  -0.341 0.059  -0.210 -0.003  -0.065 -0.003  0.080 -0.003  0.219 0.036  0.361 0.062  0.498 0.108  0.610 0.194  0.681 0.317  0.794 0.393  0.885 0.482  0.920 0.606  1.046 0.625  1.171 0.645  1.083 0.637  0.957 0.564  0.832 0.491  0.706 0.419  0.580 0.346  0.454 0.273  0.329 0.200  0.203 0.127  0.077 0.055  -0.044 -0.024  -0.147 -0.127  -0.149 -0.272  -0.149 -0.417  -0.149 -0.562  -0.149 -0.707  -0.149 -0.853  -0.149 -0.998  -0.149 -1.143  -0.149 -1.289  -0.149 -1.434  -0.149 -1.579  -0.149 -1.725  -0.149 -1.870  -0.149 -2.015
2#tos#f1#f1078063/b  -0.046 1.817  -0.262 1.817  -0.268 1.828  -0.220 1.623  -0.220 1.407  -0.220 1.191  -0.220 0.975  -0.220 0.759  -0.220 0.543  -0.265 0.333  -0.306 0.122  -0.306 -0.094  -0.306 -0.310  -0.306 -0.526  -0.306 -0.742  -0.306 -0.958  -0.349 -1.131  -0.384 -1.133  -0.362 -0.919  -0.339 -0.704  -0.316 -0.489  -0.294 -0.274  -0.271 -0.059  -0.249 0.155  -0.226 0.370  -0.376 0.430  -0.480 0.541  -0.412 0.690  -0.196 0.690  0.020 0.690  0.236 0.690  0.387 0.625  0.494 0.516  0.682 0.464  0.802 0.285  0.908 0.110  1.060 -0.004  1.047 -0.193  0.972 -0.396  0.835 -0.524  0.821 -0.726  0.663 -0.784  0.525 -0.892  0.419 -1.044  0.208 -1.075  0.001 -1.131  -0.215 -1.131  -0.395 -1.218  -0.566 -1.174  -0.653 -1.044
2#tos#f1#f1078063/c  1.001 0.161  0.955 0.239  0.923 0.331  0.923 0.455  0.817 0.473  0.767 0.547  0.767 0.671  0.688 0.746  0.577 0.802  0.466 0.857  0.422 0.941  0.298 0.941  0.174 0.941  0.050 0.941  -0.074 0.941  -0.199 0.941  -0.319 0.917  -0.436 0.878  -0.482 0.787  -0.526 0.707  -0.638 0.695  -0.638 0.571  -0.742 0.551  -0.826 0.486  -0.872 0.373  -0.872 0.249  -0.872 0.125  -0.872 0.001  -0.872 -0.123  -0.842 -0.242  -0.803 -0.360  -0.781 -0.477  -0.693 -0.565  -0.592 -0.620  -0.560 -0.712  -0.500 -0.776  -0.376 -0.776  -0.264 -0.817  -0.161 -0.886  -0.051 -0.932  0.073 -0.932  0.181 -0.971  0.289 -1.010  0.413 -1.010  0.537 -1.010  0.661 -1.010  0.785 -1.010  0.909 -1.010  1.033 -1.010  1.157 -1.010
2#tos#f1#f1078063/e  -0.062 0.251  -0.155 0.165  -0.311 0.093  -0.354 0.013  -0.192 -0.016  -0.039 -0.066  0.134 -0.066  0.294 -0.007  0.462 0.013  0.573 0.132  0.682 0.251  0.787 0.362  0.865 0.517  0.890 0.685  0.890 0.858  0.744 0.886  0.650 0.966  0.495 1.044  0.322 1.045  0.148 1.045  -0.025 1.045  -0.199 1.045  -0.356 0.977  -0.492 0.875  -0.657 0.820  -0.815 0.748  -0.855 0.599  -0.919 0.489  -1.014 0.411  -1.014 0.238  -1.014 0.064  -0.935 -0.077  -0.935 -0.250  -0.935 -0.424  -0.800 -0.463  -0.627 -0.463  -0.538 -0.548  -0.440 -0.628  -0.275 -0.683  -0.221 -0.817  -0.090 -0.860  0.059 -0.941  0.208 -1.026  0.377 -1.069  0.547 -1.098  0.709 -1.135  0.853 -1.232  1.019 -1.256  1.193 -1.256  1.366 -1.256
2#tos#f1#f1078063/g  0.565 0.523  0.435 0.424  0.500 0.611  0.500 0.826  0.472 1.034  0.322 1.155  0.206 1.301  -0.008 1.301  -0.223 1.301  -0.437 1.301  -0.636 1.236  -0.773 1.118  -0.797 0.919  -0.788 0.708  -0.636 0.556  -0.463 0.458  -0.248 0.458  -0.034 0.458  0.176 0.463  0.176 0.677  0.350 0.717  0.325 0.542  0.241 0.362  0.241 0.148  0.176 -0.051  0.176 -0.266  0.133 -0.470  0.111 -0.679  0.073 -0.878  0.046 -1.081  -0.027 -1.273  -0.084 -1.471  -0.216 -1.553  -0.430 -1.553  -0.645 -1.553  -0.732 -1.426  -0.732 -1.212  -0.641 -1.053  -0.565 -0.886  -0.438 -0.734  -0.308 -0.578  -0.113 -0.515  -0.031 -0.368  0.176 -0.321  0.305 -0.236  0.475 -0.191  0.690 -0.191  0.889 -0.126  1.037 -0.002  1.214 0.069
2#tos#f1#f1078063/i  0.283 0.142  0.214 0.091  0.214 -0.029  0.205 -0.146  0.139 -0.245  0.077 -0.346  0.077 -0.466  0.077 -0.586  0.077 -0.706  0.077 -0.826  0.025 -0.914  -0.061 -0.981  -0.061 -1.100  -0.061 -1.220  -0.061 -1.340  -0.061 -1.460  -0.061 -1.569  -0.058 -1.449  -0.055 -1.330  -0.053 -1.210  -0.050 -1.090  -0.048 -0.970  -0.045 -0.850  -0.042 -0.730  -0.040 -0.611  -0.037 -0.491  -0.035 -0.371  -0.032 -0.251  -0.029 -0.131  -0.027 -0.012  -0.024 0.108  -0.022 0.228  -0.019 0.348  -0.016 0.468  -0.014 0.587  -0.011 0.707  -0.008 0.827  -0.006 0.947  -0.003 1.067  -0.001 1.187  0.002 1.306  0.005 1.426  0.007 1.546  -0.073 1.585  -0.193 1.585  -0.249 1.516  -0.137 1.485  -0.026 1.447  0.094 1.447  0.145 1.379
2#tos#f1#f1078063/k  -0.577 1.449  -0.740 1.559  -0.740 1.441  -0.740 1.216  -0.740 0.991  -0.740 0.767  -0.740 0.542  -0.740 0.317  -0.740 0.092  -0.740 -0.132  -0.740 -0.357  -0.740 -0.582  -0.740 -0.806  -0.740 -1.031  -0.740 -1.256  -0.632 -1.196  -0.483 -1.028  -0.333 -0.860  -0.184 -0.692  -0.035 -0.524  0.114 -0.356  0.264 -0.188  0.413 -0.020  0.562 0.148  0.712 0.315  0.861 0.483  1.010 0.651  1.159 0.819  1.103 0.798  0.878 0.798  0.725 0.727  0.601 0.586  0.393 0.503  0.178 0.449  -0.031 0.366  -0.223 0.258  -0.429 0.214  -0.577 0.098  -0.496 -0.045  -0.329 -0.106  -0.252 -0.313  -0.056 -0.341  0.088 -0.422  0.312 -0.422  0.500 -0.544  0.668 -0.692  0.870 -0.748  1.025 -0.860  1.185 -0.992  1.376 -1.074
2#tos#f1#f1078063/l  -0.662 -0.805  -0.779 -0.922  -0.931 -0.980  -0.836 -0.919  -0.732 -0.829  -0.595 -0.743  -0.442 -0.689  -0.371 -0.550  -0.279 -0.423  -0.162 -0.306  -0.021 -0.267  0.024 -0.120  0.095 0.016  0.095 0.182  0.185 0.320  0.297 0.413  0.371 0.561  0.428 0.716  0.495 0.867  0.561 1.017  0.561 1.183  0.561 1.348  0.561 1.514  0.463 1.581  0.302 1.553  0.199 1.465  0.116 1.352  0.024 1.219  -0.021 1.072  -0.098 0.932  -0.196 0.827  -0.196 0.661  -0.213 0.500  -0.277 0.348  -0.312 0.188  -0.312 0.022  -0.312 -0.143  -0.312 -0.309  -0.312 -0.474  -0.282 -0.633  -0.208 -0.781  -0.074 -0.869  -0.021 -1.013  0.110 -1.075  0.238 -1.149  0.364 -1.213  0.530 -1.213  0.677 -1.195  0.794 -1.145  0.910 -1.096
2#tos#f1#f1078063/n  -0.420 1.009  -0.570 1.009  -0.676 0.964  -0.676 0.814  -0.676 0.663  -0.676 0.513  -0.676 0.362  -0.676 0.212  -0.676 0.061  -0.676 -0.089  -0.676 -0.240  -0.676 -0.390  -0.686 -0.536  -0.761 -0.656  -0.761 -0.806  -0.761 -0.957  -0.761 -0.968  -0.761 -0.818  -0.761 -0.667  -0.754 -0.519  -0.654 -0.408  -0.570 -0.283  -0.505 -0.152  -0.505 -0.002  -0.470 0.141  -0.403 0.275  -0.336 0.410  -0.290 0.542  -0.184 0.648  -0.052 0.694  0.074 0.753  0.224 0.753  0.375 0.753  0.525 0.753  0.654 0.703  0.761 0.596  0.870 0.498  0.979 0.430  1.030 0.291  1.030 0.141  1.030 -0.010  1.073 -0.142  1.115 -0.275  1.115 -0.426  1.115 -0.576  1.115 -0.727  1.115 -0.877  1.115 -1.028  1.201 -1.143  1.201 -1.294
2#tos#f1#f1078063/o  0.178 1.049  0.028 1.049  -0.041 0.970  -0.190 0.970  -0.222 0.852  -0.329 0.810  -0.381 0.713  -0.468 0.650  -0.595 0.596  -0.700 0.491  -0.700 0.342  -0.780 0.226  -0.780 0.076  -0.780 -0.073  -0.780 -0.222  -0.780 -0.371  -0.780 -0.520  -0.780 -0.670  -0.780 -0.819  -0.708 -0.938  -0.603 -1.044  -0.497 -1.149  -0.381 -1.204  -0.294 -1.265  -0.144 -1.265  0.005 -1.265  0.098 -1.209  0.202 -1.116  0.326 -1.033  0.337 -0.889  0.457 -0.826  0.587 -0.766  0.654 -0.632  0.720 -0.499  0.772 -0.359  0.816 -0.217  0.816 -0.068  0.816 0.081  0.816 0.230  0.816 0.380  0.816 0.529  0.740 0.646  0.736 0.794  0.603 0.810  0.522 0.920  0.403 0.970  0.263 1.007  0.124 1.049  -0.013 1.080  -0.142 1.129
2#tos#f1#f1078063/q  0.712 0.604  0.616 0.727  0.489 0.802  0.481 0.976  0.300 0.976  0.118 0.976  -0.064 0.976  -0.246 0.976  -0.428 0.976  -0.609 0.976  -0.717 0.901  -0.899 0.901  -0.996 0.817  -0.996 0.635  -0.996 0.453  -0.996 0.272  -0.996 0.090  -0.917 -0.073  -0.821 -0.213  -0.699 -0.272  -0.532 -0.287  -0.424 -0.361  -0.243 -0.361  -0.061 -0.361  0.098 -0.306  0.269 -0.282  0.355 -0.122  0.441 0.038  0.528 0.198  0.614 0.358  0.700 0.518  0.786 0.678  0.605 0.679  0.489 0.612  0.489 0.431  0.489 0.249  0.489 0.067  0.401 -0.078  0.341 -0.235  0.301 -0.400  0.266 -0.568  0.254 -0.744  0.192 -0.900  0.192 -1.082  0.165 -1.260  0.118 -1.434  0.118 -1.615  0.118 -1.797  0.059 -1.965  0.044 -2.143
2#tos#f1#f1078063/r  0.088 1.537  -0.058 1.537  -0.204 1.537  -0.224 1.485  -0.185 1.354  -0.185 1.208  -0.185 1.062  -0.185 0.915  -0.185 0.769  -0.185 0.623  -0.185 0.477  -0.185 0.330  -0.185 0.184  -0.185 0.038  -0.188 -0.108  -0.253 -0.239  -0.319 -0.370  -0.367 -0.505  -0.367 -0.651  -0.367 -0.797  -0.367 -0.943  -0.367 -1.090  -0.367 -1.236  -0.367 -1.382  -0.367 -1.529  -0.458 -1.538  -0.403 -1.414  -0.367 -1.283  -0.367 -1.137  -0.351 -0.997  -0.276 -0.882  -0.274 -0.736  -0.208 -0.605  -0.185 -0.464  -0.185 -0.318  -0.105 -0.205  -0.002 -0.102  0.097 0.005  0.162 0.136  0.288 0.170  0.413 0.222  0.453 0.351  0.506 0.444  0.648 0.456  0.751 0.560  0.870 0.626  1.016 0.626  1.162 0.626  1.309 0.626  1.455 0.626
2#tos#f1#f1078063/u  -0.495 0.922  -0.636 0.922  -0.777 0.922  -0.918 0.922  -1.027 0.845  -1.127 0.745  -1.132 0.607  -1.132 0.466  -1.155 0.330  -1.218 0.204  -1.223 0.064  -1.223 -0.077  -1.223 -0.217  -1.223 -0.358  -1.167 -0.443  -1.026 -0.443  -0.885 -0.443  -0.745 -0.443  -0.604 -0.443  -0.463 -0.443  -0.322 -0.443  -0.181 -0.443  -0.040 -0.443  0.101 -0.443  0.197 -0.360  0.275 -0.243  0.378 -0.170  0.519 -0.170  0.660 -0.170  0.723 -0.063  0.768 0.070  0.795 0.194  0.916 0.240  0.961 0.363  0.961 0.504  0.961 0.645  0.961 0.694  0.959 0.553  0.915 0.420  0.870 0.286  0.848 0.150  0.785 0.024  0.779 -0.115  0.779 -0.256  0.779 -0.397  0.779 -0.538  0.779 -0.679  0.784 -0.819  0.847 -0.945  0.870 -1.080
2#tos#f1#f1078063/v  -0.727 1.091  -0.846 1.091  -0.965 1.091  -0.904 1.091  -0.816 1.059  -0.788 0.946  -0.735 0.840  -0.727 0.722  -0.727 0.603  -0.727 0.483  -0.727 0.364  -0.727 0.245  -0.727 0.125  -0.634 0.063  -0.548 -0.003  -0.548 -0.123  -0.511 -0.233  -0.459 -0.340  -0.459 -0.460  -0.459 -0.579  -0.459 -0.699  -0.428 -0.799  -0.321 -0.852  -0.280 -0.946  -0.266 -1.051  -0.191 -1.096  -0.116 -1.140  -0.008 -1.093  0.094 -1.033  0.179 -0.949  0.260 -0.863  0.313 -0.756  0.367 -0.649  0.420 -0.542  0.497 -0.452  0.543 -0.346  0.572 -0.230  0.601 -0.114  0.677 -0.037  0.784 0.017  0.870 0.099  0.954 0.184  0.969 0.297  0.987 0.412  1.040 0.519  1.058 0.634  1.078 0.734  1.147 0.784  1.183 0.895  1.237 1.001
2#tos#f1#f1078063/x  -0.700 0.911  -0.894 0.911  -1.088 0.911  -1.132 0.849  -0.946 0.828  -0.865 0.668  -0.857 0.476  -0.795 0.292  -0.646 0.185  -0.503 0.056  -0.385 -0.097  -0.289 -0.261  -0.253 -0.440  -0.118 -0.579  -0.011 -0.740  0.140 -0.825  0.300 -0.925  0.387 -1.098  0.501 -1.228  0.678 -1.300  0.722 -1.141  0.748 -0.949  0.775 -0.757  0.801 -0.565  0.828 -0.373  0.854 -0.181  0.881 0.011  0.907 0.202  0.934 0.394  0.960 0.586  0.987 0.778  1.013 0.970  0.966 1.014  0.814 0.911  0.621 0.911  0.529 0.747  0.335 0.747  0.241 0.608  0.129 0.475  -0.042 0.404  -0.080 0.234  -0.253 0.147  -0.415 0.044  -0.549 -0.096  -0.656 -0.257  -0.700 -0.437  -0.758 -0.589  -0.942 -0.650  -1.062 -0.799  -1.111 -0.981
