2#tos#t2#t2016065/\"  -0.563 1.405  -0.563 1.266  -0.563 1.128  -0.563 0.989  -0.563 0.851  -0.603 0.729  -0.701 0.631  -0.799 0.533  -0.817 0.402  -0.817 0.264  -0.817 0.126  -0.817 -0.013  -0.831 -0.148  -0.893 -0.272  -0.945 -0.398  -0.945 -0.537  -0.945 -0.675  -0.945 -0.813  -0.945 -0.952  -0.882 -0.963  -0.772 -0.879  -0.662 -0.795  -0.552 -0.711  -0.442 -0.627  -0.332 -0.543  -0.222 -0.458  -0.112 -0.374  -0.002 -0.290  0.108 -0.206  0.218 -0.122  0.328 -0.038  0.438 0.046  0.548 0.130  0.658 0.214  0.768 0.298  0.878 0.382  0.988 0.467  1.098 0.551  1.208 0.635  1.127 0.552  1.090 0.429  1.090 0.291  1.090 0.152  1.090 0.014  1.090 -0.125  1.083 -0.262  1.021 -0.385  0.959 -0.509  0.897 -0.633  0.835 -0.757
2#tos#t2#t2016065/L  -0.302 1.374  -0.392 1.374  -0.482 1.375  -0.526 1.447  -0.526 1.390  -0.526 1.299  -0.526 1.209  -0.504 1.128  -0.440 1.064  -0.436 0.975  -0.436 0.884  -0.436 0.794  -0.436 0.704  -0.436 0.613  -0.436 0.523  -0.436 0.433  -0.436 0.342  -0.436 0.252  -0.436 0.161  -0.436 0.071  -0.436 -0.019  -0.436 -0.110  -0.436 -0.200  -0.436 -0.291  -0.436 -0.381  -0.436 -0.471  -0.428 -0.553  -0.391 -0.607  -0.347 -0.653  -0.291 -0.687  -0.201 -0.687  -0.110 -0.687  -0.020 -0.687  0.071 -0.687  0.161 -0.687  0.251 -0.687  0.342 -0.687  0.432 -0.687  0.522 -0.687  0.613 -0.687  0.703 -0.687  0.794 -0.687  0.884 -0.687  0.973 -0.681  1.059 -0.652  1.148 -0.643  1.238 -0.643  1.329 -0.643  1.419 -0.643  1.491 -0.598
2#tos#t2#t2016065/M  -0.553 0.746  -0.643 0.868  -0.643 0.685  -0.643 0.473  -0.643 0.262  -0.643 0.051  -0.643 -0.161  -0.643 -0.372  -0.643 -0.584  -0.642 -0.795  -0.600 -1.002  -0.598 -1.213  -0.508 -1.362  -0.508 -1.150  -0.508 -0.939  -0.508 -0.728  -0.508 -0.516  -0.508 -0.305  -0.508 -0.094  -0.508 0.118  -0.508 0.329  -0.508 0.540  -0.508 0.752  -0.634 0.837  -0.778 0.717  -0.778 0.505  -0.688 0.331  -0.603 0.205  -0.448 0.115  -0.236 0.115  -0.025 0.115  0.161 0.199  0.332 0.307  0.538 0.348  0.663 0.515  0.756 0.635  0.859 0.804  0.891 1.002  0.982 0.911  1.027 0.745  1.027 0.534  1.027 0.322  1.063 0.114  1.072 -0.096  1.072 -0.307  1.105 -0.505  1.162 -0.706  1.162 -0.917  1.207 -1.118  1.207 -1.329
2#tos#t2#t2016065/N  -0.262 1.192  -0.410 1.148  -0.537 1.044  -0.558 0.873  -0.558 0.680  -0.558 0.487  -0.558 0.294  -0.596 0.118  -0.642 -0.067  -0.656 -0.258  -0.707 -0.439  -0.755 -0.621  -0.755 -0.813  -0.805 -0.986  -0.792 -0.978  -0.767 -0.787  -0.742 -0.596  -0.718 -0.405  -0.693 -0.214  -0.668 -0.022  -0.644 0.169  -0.619 0.360  -0.656 0.500  -0.607 0.357  -0.517 0.255  -0.390 0.116  -0.255 0.030  -0.195 -0.140  -0.091 -0.284  0.045 -0.407  0.165 -0.531  0.281 -0.660  0.380 -0.792  0.429 -0.954  0.528 -1.067  0.609 -0.950  0.650 -0.763  0.775 -0.673  0.775 -0.480  0.775 -0.287  0.832 -0.114  0.944 0.043  1.043 0.208  1.071 0.393  1.092 0.579  1.208 0.733  1.219 0.922  1.250 1.107  1.273 1.291  1.367 1.390
2#tos#t2#t2016065/P  -0.206 0.909  -0.300 0.761  -0.253 0.554  -0.253 0.339  -0.253 0.125  -0.300 -0.084  -0.300 -0.299  -0.300 -0.513  -0.347 -0.717  -0.347 -0.932  -0.347 -1.146  -0.347 -1.361  -0.347 -1.576  -0.347 -1.597  -0.372 -1.384  -0.404 -1.172  -0.436 -0.960  -0.467 -0.747  -0.499 -0.535  -0.531 -0.323  -0.562 -0.110  -0.594 0.102  -0.625 0.314  -0.657 0.527  -0.746 0.672  -0.848 0.760  -0.669 0.833  -0.459 0.862  -0.315 0.959  -0.133 1.010  0.077 1.051  0.291 1.051  0.506 1.051  0.721 1.051  0.892 0.947  1.071 0.862  1.214 0.762  1.318 0.603  1.344 0.411  1.233 0.257  1.119 0.104  0.977 -0.035  0.816 -0.117  0.643 -0.208  0.522 -0.369  0.338 -0.441  0.132 -0.463  -0.072 -0.480  -0.227 -0.605  -0.347 -0.700
2#tos#t2#t2016065/Q  0.057 -0.391  0.017 -0.601  -0.122 -0.708  -0.339 -0.708  -0.555 -0.708  -0.751 -0.633  -0.896 -0.530  -0.896 -0.314  -0.935 -0.103  -0.935 0.113  -0.935 0.330  -0.856 0.522  -0.843 0.733  -0.710 0.879  -0.591 1.025  -0.475 1.157  -0.268 1.197  -0.089 1.289  0.067 1.435  0.283 1.435  0.500 1.435  0.652 1.316  0.811 1.235  0.886 1.042  0.903 0.840  0.930 0.651  0.930 0.434  0.901 0.225  0.851 0.020  0.847 -0.194  0.692 -0.315  0.609 -0.482  0.500 -0.662  0.445 -0.828  0.246 -0.887  0.065 -0.978  -0.131 -1.026  -0.346 -1.020  -0.459 -0.851  -0.557 -0.671  -0.578 -0.460  -0.510 -0.312  -0.379 -0.192  -0.172 -0.153  0.023 -0.215  0.144 -0.375  0.295 -0.522  0.447 -0.662  0.573 -0.826  0.652 -0.986
2#tos#t2#t2016065/R  -0.066 1.138  -0.240 1.024  -0.279 0.751  -0.363 0.486  -0.370 0.198  -0.394 -0.089  -0.447 -0.373  -0.457 -0.660  -0.457 -0.949  -0.501 -1.232  -0.501 -1.521  -0.527 -1.407  -0.502 -1.119  -0.477 -0.832  -0.452 -0.544  -0.426 -0.257  -0.401 0.031  -0.376 0.318  -0.351 0.606  -0.342 0.878  -0.588 0.921  -0.479 1.131  -0.199 1.165  0.071 1.225  0.360 1.225  0.594 1.312  0.883 1.312  1.107 1.197  1.150 0.952  1.063 0.750  0.933 0.531  0.678 0.403  0.466 0.230  0.345 0.003  0.121 -0.145  -0.129 -0.283  -0.395 -0.382  -0.553 -0.512  -0.824 -0.556  -0.715 -0.599  -0.446 -0.502  -0.181 -0.388  0.084 -0.274  0.123 -0.247  0.240 -0.426  0.436 -0.624  0.678 -0.773  0.803 -0.937  1.064 -0.991  1.237 -1.164
2#tos#t2#t2016065/W  -1.049 0.845  -1.228 0.845  -1.284 0.969  -1.277 0.972  -1.173 0.880  -1.115 0.718  -1.058 0.550  -1.001 0.381  -0.906 0.229  -0.884 0.055  -0.846 -0.117  -0.768 -0.278  -0.719 -0.442  -0.661 -0.609  -0.618 -0.772  -0.505 -0.821  -0.472 -0.647  -0.431 -0.484  -0.428 -0.306  -0.307 -0.177  -0.307 0.002  -0.241 0.161  -0.188 0.331  -0.096 0.482  -0.018 0.637  0.068 0.709  0.112 0.537  0.188 0.377  0.270 0.225  0.270 0.046  0.328 -0.117  0.394 -0.278  0.394 -0.458  0.394 -0.637  0.394 -0.816  0.518 -0.906  0.593 -1.010  0.729 -1.046  0.806 -0.899  0.807 -0.720  0.887 -0.560  0.920 -0.391  1.012 -0.243  1.070 -0.087  1.177 0.048  1.177 0.227  1.246 0.392  1.260 0.569  1.260 0.748  1.301 0.886
2#tos#t2#t2016065/Y  -0.876 0.975  -1.031 0.975  -0.972 0.887  -0.928 0.750  -0.818 0.641  -0.738 0.520  -0.597 0.504  -0.559 0.354  -0.461 0.238  -0.366 0.117  -0.253 0.018  -0.159 -0.085  -0.069 -0.156  0.044 -0.051  0.158 0.054  0.271 0.159  0.385 0.264  0.498 0.369  0.612 0.474  0.725 0.579  0.839 0.684  0.952 0.789  1.066 0.894  1.117 0.975  1.010 0.924  0.922 0.806  0.804 0.752  0.713 0.627  0.589 0.541  0.466 0.459  0.373 0.335  0.246 0.248  0.126 0.152  -0.007 0.073  -0.107 -0.039  -0.233 -0.091  -0.289 -0.224  -0.369 -0.298  -0.369 -0.453  -0.369 -0.608  -0.346 -0.753  -0.323 -0.898  -0.323 -1.053  -0.323 -1.207  -0.271 -1.342  -0.210 -1.483  -0.184 -1.634  -0.138 -1.769  -0.138 -1.924  -0.092 -2.068
2#tos#t2#t2016065/Z  -0.515 0.918  -0.598 0.848  -0.736 0.807  -0.888 0.793  -0.740 0.793  -0.588 0.799  -0.458 0.876  -0.304 0.877  -0.154 0.907  -0.001 0.918  0.152 0.918  0.306 0.918  0.450 0.949  0.588 1.002  0.742 1.002  0.895 1.002  0.928 0.918  0.900 0.793  0.765 0.763  0.654 0.699  0.620 0.567  0.483 0.496  0.375 0.388  0.296 0.267  0.187 0.158  0.091 0.041  -0.018 -0.055  -0.080 -0.193  -0.202 -0.283  -0.323 -0.368  -0.394 -0.503  -0.545 -0.533  -0.643 -0.632  -0.741 -0.740  -0.808 -0.836  -0.849 -0.948  -0.807 -1.060  -0.680 -1.087  -0.526 -1.087  -0.373 -1.087  -0.219 -1.087  -0.067 -1.094  0.083 -1.128  0.236 -1.128  0.390 -1.128  0.539 -1.118  0.654 -1.037  0.654 -0.883  0.654 -0.729  0.613 -0.669
2#tos#t2#t2016065/a  0.679 0.500  0.635 0.346  0.682 0.381  0.714 0.542  0.746 0.704  0.746 0.869  0.746 1.034  0.729 1.192  0.585 1.242  0.420 1.242  0.256 1.242  0.091 1.242  -0.063 1.232  -0.103 1.097  -0.263 1.057  -0.374 0.958  -0.448 0.810  -0.495 0.658  -0.580 0.516  -0.665 0.375  -0.805 0.295  -0.835 0.148  -0.940 0.049  -0.940 -0.116  -0.940 -0.281  -0.940 -0.446  -0.940 -0.610  -0.940 -0.775  -0.940 -0.940  -0.819 -0.984  -0.654 -0.984  -0.490 -0.984  -0.325 -0.981  -0.169 -0.929  -0.043 -0.828  0.059 -0.699  0.139 -0.559  0.257 -0.512  0.409 -0.499  0.428 -0.339  0.476 -0.185  0.476 -0.059  0.476 -0.223  0.476 -0.388  0.476 -0.553  0.476 -0.718  0.544 -0.855  0.569 -1.009  0.679 -1.089  0.746 -1.186
2#tos#t2#t2016065/b  0.227 1.849  0.038 1.849  -0.078 1.965  -0.178 1.876  -0.178 1.688  -0.178 1.500  -0.178 1.311  -0.178 1.123  -0.178 0.935  -0.178 0.746  -0.187 0.560  -0.271 0.392  -0.293 0.209  -0.293 0.021  -0.293 -0.168  -0.293 -0.356  -0.293 -0.544  -0.293 -0.733  -0.293 -0.921  -0.263 -1.102  -0.236 -1.259  -0.244 -1.071  -0.253 -0.882  -0.261 -0.694  -0.269 -0.506  -0.277 -0.318  -0.285 -0.130  -0.294 0.058  -0.467 0.073  -0.384 0.190  -0.229 0.296  -0.061 0.347  0.127 0.347  0.315 0.347  0.503 0.347  0.664 0.273  0.790 0.146  0.920 0.032  0.920 -0.156  0.920 -0.344  0.822 -0.468  0.710 -0.614  0.577 -0.748  0.396 -0.796  0.300 -0.935  0.169 -1.059  -0.008 -1.098  -0.174 -1.152  -0.336 -1.213  -0.525 -1.213
2#tos#t2#t2016065/e  -0.167 0.594  -0.337 0.559  -0.442 0.464  -0.491 0.337  -0.384 0.269  -0.224 0.204  -0.048 0.204  0.101 0.140  0.276 0.140  0.448 0.155  0.612 0.204  0.787 0.204  0.835 0.356  0.933 0.464  1.001 0.621  0.936 0.756  0.806 0.827  0.787 0.983  0.611 0.983  0.436 0.983  0.260 0.983  0.085 0.983  -0.025 0.877  -0.186 0.853  -0.343 0.807  -0.510 0.788  -0.628 0.680  -0.718 0.530  -0.842 0.418  -0.902 0.270  -0.945 0.102  -0.945 -0.074  -0.945 -0.249  -0.945 -0.425  -0.945 -0.600  -0.849 -0.736  -0.758 -0.884  -0.592 -0.899  -0.546 -1.028  -0.376 -1.053  -0.210 -1.093  -0.042 -1.135  0.130 -1.158  0.306 -1.158  0.481 -1.158  0.657 -1.158  0.742 -1.067  0.875 -1.002  1.047 -0.967  1.196 -0.899
2#tos#t2#t2016065/j  0.331 1.537  0.252 1.519  0.252 1.423  0.252 1.327  0.252 1.231  0.252 1.310  0.187 1.340  0.197 1.260  0.223 1.168  0.249 1.075  0.276 0.983  0.302 0.890  0.329 0.798  0.355 0.706  0.381 0.613  0.408 0.521  0.320 0.514  0.263 0.475  0.252 0.390  0.260 0.295  0.290 0.204  0.292 0.108  0.292 0.012  0.313 -0.079  0.370 -0.132  0.370 -0.228  0.370 -0.324  0.370 -0.420  0.370 -0.516  0.359 -0.610  0.301 -0.680  0.252 -0.747  0.199 -0.797  0.131 -0.865  0.049 -0.901  -0.023 -0.925  -0.104 -0.940  -0.200 -0.940  -0.296 -0.940  -0.392 -0.940  -0.488 -0.940  -0.584 -0.940  -0.680 -0.940  -0.776 -0.940  -0.869 -0.927  -0.948 -0.873  -1.033 -0.828  -1.128 -0.822  -1.202 -0.800  -1.202 -0.704
2#tos#t2#t2016065/k  -0.395 1.503  -0.506 1.626  -0.578 1.708  -0.578 1.474  -0.578 1.241  -0.578 1.007  -0.578 0.774  -0.578 0.540  -0.578 0.307  -0.578 0.073  -0.578 -0.160  -0.578 -0.394  -0.578 -0.627  -0.578 -0.861  -0.578 -1.094  -0.578 -1.328  -0.570 -1.415  -0.434 -1.226  -0.298 -1.036  -0.162 -0.846  -0.026 -0.657  0.111 -0.467  0.247 -0.277  0.383 -0.088  0.519 0.102  0.655 0.292  0.792 0.481  0.928 0.671  1.064 0.861  1.070 1.012  0.914 0.913  0.738 0.832  0.545 0.735  0.362 0.591  0.197 0.429  0.092 0.221  -0.117 0.117  -0.273 -0.020  -0.393 -0.204  -0.456 -0.376  -0.386 -0.441  -0.221 -0.276  -0.090 -0.279  0.080 -0.389  0.205 -0.540  0.320 -0.703  0.507 -0.787  0.710 -0.899  0.912 -0.999  1.070 -1.121
2#tos#t2#t2016065/m  -1.161 0.885  -1.254 0.885  -1.161 0.814  -1.161 0.649  -1.161 0.485  -1.161 0.320  -1.161 0.156  -1.091 0.018  -1.058 -0.143  -1.033 -0.305  -0.939 -0.430  -0.904 -0.580  -0.904 -0.745  -0.781 -0.787  -0.663 -0.674  -0.582 -0.543  -0.582 -0.379  -0.481 -0.269  -0.390 -0.153  -0.390 0.012  -0.359 0.172  -0.307 0.325  -0.191 0.441  -0.096 0.573  -0.068 0.731  0.006 0.821  0.061 0.711  0.125 0.561  0.189 0.424  0.237 0.307  0.318 0.223  0.318 0.059  0.318 -0.106  0.362 -0.252  0.446 -0.381  0.527 -0.465  0.612 -0.354  0.717 -0.272  0.809 -0.180  0.946 -0.089  1.025 0.052  1.089 0.152  1.206 0.125  1.282 0.030  1.282 -0.135  1.282 -0.299  1.396 -0.393  1.470 -0.524  1.475 -0.686  1.539 -0.787
2#tos#t2#t2016065/q  0.563 0.579  0.563 0.450  0.563 0.603  0.609 0.708  0.609 0.861  0.597 1.000  0.563 1.119  0.433 1.141  0.280 1.141  0.128 1.141  -0.025 1.141  -0.166 1.115  -0.274 1.007  -0.404 0.954  -0.517 0.858  -0.603 0.758  -0.753 0.728  -0.796 0.611  -0.834 0.465  -0.843 0.314  -0.886 0.168  -0.890 0.016  -0.890 -0.136  -0.890 -0.289  -0.771 -0.358  -0.619 -0.358  -0.466 -0.358  -0.326 -0.309  -0.192 -0.264  -0.069 -0.216  0.000 -0.089  0.088 0.005  0.229 0.061  0.328 0.152  0.328 0.197  0.282 0.056  0.282 -0.097  0.282 -0.249  0.282 -0.402  0.282 -0.554  0.282 -0.706  0.282 -0.859  0.322 -1.002  0.375 -1.142  0.409 -1.290  0.422 -1.441  0.422 -1.593  0.429 -1.745  0.466 -1.893  0.516 -1.998
2#tos#t2#t2016065/s  0.932 0.548  0.879 0.640  0.932 0.762  0.932 0.906  0.932 1.050  0.880 1.182  0.736 1.183  0.592 1.183  0.448 1.183  0.303 1.183  0.161 1.172  0.028 1.121  -0.052 1.001  -0.178 0.969  -0.178 0.825  -0.283 0.786  -0.283 0.642  -0.283 0.498  -0.220 0.369  -0.136 0.257  -0.016 0.177  0.107 0.105  0.209 0.003  0.316 -0.092  0.452 -0.137  0.525 -0.260  0.627 -0.362  0.668 -0.489  0.668 -0.633  0.619 -0.765  0.479 -0.773  0.335 -0.773  0.191 -0.773  0.047 -0.773  -0.075 -0.719  -0.215 -0.684  -0.345 -0.626  -0.465 -0.546  -0.585 -0.466  -0.726 -0.456  -0.858 -0.406  -0.865 -0.328  -0.865 -0.473  -0.866 -0.616  -0.918 -0.739  -0.918 -0.883  -0.918 -1.027  -0.918 -1.172  -0.918 -1.316  -0.918 -1.460
2#tos#t2#t2016065/u  -1.055 0.619  -1.055 0.725  -1.055 0.831  -1.055 0.816  -1.009 0.721  -0.990 0.619  -0.990 0.513  -0.944 0.421  -0.886 0.333  -0.862 0.235  -0.862 0.129  -0.862 0.023  -0.813 -0.057  -0.725 -0.115  -0.657 -0.189  -0.623 -0.290  -0.593 -0.391  -0.568 -0.494  -0.542 -0.597  -0.496 -0.692  -0.414 -0.731  -0.348 -0.770  -0.331 -0.859  -0.225 -0.859  -0.119 -0.859  -0.013 -0.859  0.092 -0.859  0.193 -0.829  0.294 -0.795  0.342 -0.702  0.406 -0.619  0.481 -0.545  0.541 -0.458  0.600 -0.370  0.659 -0.282  0.718 -0.193  0.770 -0.102  0.818 -0.007  0.865 0.087  0.912 0.182  0.953 0.279  0.987 0.380  1.002 0.483  1.002 0.589  1.056 0.673  1.066 0.774  1.066 0.880  1.066 0.986  1.066 1.092  1.131 1.133
2#tos#t2#t2016065/v  -0.918 0.856  -0.918 0.973  -0.918 1.089  -0.985 1.138  -1.102 1.138  -1.049 1.098  -0.988 1.019  -0.988 0.903  -0.988 0.786  -0.945 0.701  -0.834 0.664  -0.777 0.589  -0.758 0.479  -0.688 0.386  -0.618 0.293  -0.540 0.209  -0.436 0.157  -0.424 0.048  -0.424 -0.069  -0.372 -0.148  -0.262 -0.185  -0.167 -0.247  -0.084 -0.329  -0.002 -0.412  0.027 -0.525  0.055 -0.638  0.127 -0.694  0.213 -0.768  0.296 -0.850  0.351 -0.944  0.351 -1.060  0.411 -1.117  0.527 -1.117  0.633 -1.106  0.633 -0.990  0.665 -0.878  0.702 -0.768  0.739 -0.657  0.775 -0.547  0.804 -0.433  0.832 -0.320  0.844 -0.205  0.844 -0.089  0.872 0.023  0.909 0.134  0.915 0.249  0.915 0.366  0.915 0.482  0.915 0.599  0.915 0.715
