2#tos#t1#t1018062/\"  -0.651 1.613  -0.805 1.536  -0.864 1.401  -0.864 1.230  -0.864 1.058  -0.864 0.886  -0.864 0.715  -0.814 0.555  -0.758 0.396  -0.758 0.225  -0.758 0.053  -0.758 -0.119  -0.758 -0.291  -0.709 -0.433  -0.556 -0.509  -0.545 -0.674  -0.536 -0.842  -0.438 -0.974  -0.438 -1.145  -0.411 -1.210  -0.328 -1.059  -0.245 -0.909  -0.163 -0.758  -0.080 -0.608  0.003 -0.457  0.086 -0.307  0.168 -0.156  0.251 -0.006  0.334 0.144  0.417 0.295  0.499 0.445  0.582 0.596  0.665 0.746  0.700 0.868  0.528 0.868  0.413 0.812  0.413 0.640  0.413 0.468  0.452 0.336  0.566 0.243  0.626 0.085  0.626 -0.087  0.701 -0.241  0.835 -0.302  0.839 -0.470  0.839 -0.642  0.839 -0.814  0.870 -0.972  1.004 -1.077  1.158 -1.153
2#tos#t1#t1018062/S  0.817 0.905  0.674 0.973  0.574 1.093  0.463 1.206  0.301 1.243  0.130 1.243  -0.042 1.243  -0.213 1.243  -0.384 1.243  -0.533 1.168  -0.640 1.079  -0.779 1.028  -0.836 0.874  -0.710 0.788  -0.602 0.671  -0.443 0.642  -0.358 0.532  -0.239 0.420  -0.129 0.296  0.013 0.201  0.137 0.083  0.299 0.035  0.437 -0.068  0.562 -0.177  0.648 -0.316  0.786 -0.413  0.897 -0.532  0.940 -0.693  0.967 -0.858  0.928 -1.013  0.817 -1.095  0.675 -1.124  0.504 -1.124  0.333 -1.124  0.177 -1.085  0.024 -1.025  -0.146 -1.011  -0.309 -0.974  -0.446 -0.875  -0.586 -0.780  -0.749 -0.748  -0.874 -0.657  -0.911 -0.577  -0.769 -0.498  -0.612 -0.430  -0.455 -0.362  -0.298 -0.294  -0.141 -0.225  -0.004 -0.131  0.103 0.003
2#tos#t1#t1018062/T  -1.585 0.470  -1.705 0.432  -1.732 0.382  -1.603 0.382  -1.474 0.382  -1.345 0.382  -1.219 0.408  -1.092 0.426  -0.963 0.426  -0.834 0.426  -0.705 0.426  -0.589 0.457  -0.466 0.470  -0.337 0.470  -0.208 0.470  -0.079 0.470  0.050 0.470  0.179 0.470  0.307 0.466  0.423 0.408  0.527 0.338  0.656 0.338  0.776 0.297  0.904 0.294  1.033 0.294  1.089 0.367  1.065 0.361  0.942 0.322  0.819 0.284  0.696 0.246  0.573 0.207  0.450 0.169  0.323 0.155  0.204 0.107  0.081 0.075  0.143 -0.006  0.168 -0.128  0.180 -0.255  0.212 -0.376  0.212 -0.505  0.212 -0.634  0.295 -0.712  0.300 -0.838  0.319 -0.964  0.344 -1.090  0.360 -1.212  0.431 -1.312  0.491 -1.415  0.563 -1.505  0.607 -1.590
2#tos#t1#t1018062/U  -0.783 1.233  -0.894 1.233  -0.940 1.168  -0.940 1.057  -0.940 0.946  -0.940 0.835  -0.928 0.726  -0.901 0.619  -0.901 0.508  -0.901 0.397  -0.882 0.291  -0.862 0.184  -0.847 0.080  -0.777 -0.004  -0.741 -0.109  -0.688 -0.206  -0.626 -0.298  -0.570 -0.393  -0.492 -0.472  -0.430 -0.557  -0.380 -0.637  -0.286 -0.695  -0.190 -0.738  -0.123 -0.808  -0.038 -0.834  0.055 -0.878  0.148 -0.926  0.259 -0.926  0.355 -0.910  0.442 -0.887  0.530 -0.850  0.590 -0.783  0.648 -0.730  0.691 -0.642  0.726 -0.537  0.791 -0.450  0.826 -0.353  0.826 -0.242  0.826 -0.131  0.836 -0.021  0.863 0.086  0.865 0.197  0.865 0.308  0.865 0.419  0.865 0.530  0.865 0.641  0.865 0.752  0.837 0.856  0.819 0.958  0.747 0.997
2#tos#t1#t1018062/V  -0.763 1.336  -0.878 1.303  -0.886 1.236  -0.845 1.149  -0.830 1.025  -0.760 0.917  -0.720 0.795  -0.689 0.670  -0.680 0.543  -0.649 0.419  -0.639 0.292  -0.605 0.174  -0.547 0.061  -0.516 -0.064  -0.430 -0.157  -0.388 -0.279  -0.330 -0.394  -0.251 -0.493  -0.204 -0.609  -0.173 -0.734  -0.134 -0.853  -0.027 -0.925  -0.022 -1.050  0.061 -1.128  0.097 -1.248  0.169 -1.340  0.239 -1.422  0.266 -1.321  0.308 -1.209  0.308 -1.081  0.351 -0.962  0.382 -0.837  0.390 -0.710  0.404 -0.583  0.431 -0.458  0.431 -0.329  0.476 -0.210  0.501 -0.084  0.513 0.043  0.513 0.172  0.522 0.299  0.553 0.424  0.555 0.552  0.596 0.664  0.596 0.792  0.634 0.883  0.637 1.008  0.637 1.137  0.678 1.249  0.719 1.336
2#tos#t1#t1018062/W  -1.160 1.336  -1.312 1.307  -1.236 1.170  -1.137 1.026  -1.114 0.849  -1.066 0.675  -0.997 0.508  -0.918 0.347  -0.894 0.173  -0.813 0.024  -0.759 -0.148  -0.666 -0.294  -0.631 -0.471  -0.514 -0.605  -0.427 -0.737  -0.362 -0.873  -0.286 -1.007  -0.210 -0.999  -0.207 -0.819  -0.172 -0.643  -0.172 -0.462  -0.172 -0.281  -0.141 -0.103  -0.134 0.077  -0.096 0.249  -0.096 0.430  -0.096 0.611  -0.058 0.551  -0.003 0.390  0.091 0.237  0.153 0.078  0.204 -0.095  0.232 -0.270  0.313 -0.406  0.397 -0.559  0.397 -0.740  0.475 -0.866  0.656 -0.866  0.783 -0.790  0.851 -0.645  0.902 -0.482  0.970 -0.318  1.043 -0.161  1.049 0.019  1.126 0.182  1.157 0.358  1.205 0.532  1.233 0.708  1.271 0.851  1.346 0.956
2#tos#t1#t1018062/X  -1.259 1.380  -1.415 1.300  -1.335 1.175  -1.216 1.041  -1.089 0.922  -0.985 0.798  -0.851 0.682  -0.741 0.542  -0.596 0.435  -0.479 0.299  -0.351 0.177  -0.206 0.075  -0.112 -0.070  0.042 -0.140  0.123 -0.301  0.276 -0.345  0.391 -0.469  0.529 -0.581  0.663 -0.681  0.786 -0.760  0.893 -0.859  0.906 -1.031  0.851 -1.187  0.826 -1.032  0.826 -0.851  0.826 -0.671  0.826 -0.491  0.826 -0.310  0.826 -0.130  0.826 0.050  0.826 0.231  0.826 0.411  0.826 0.592  0.752 0.698  0.602 0.746  0.441 0.778  0.310 0.698  0.219 0.562  0.144 0.436  0.012 0.325  -0.110 0.193  -0.203 0.039  -0.321 -0.097  -0.428 -0.242  -0.520 -0.397  -0.620 -0.547  -0.747 -0.675  -0.863 -0.801  -0.939 -0.927  -0.818 -0.987
2#tos#t1#t1018062/Y  -1.109 1.248  -1.269 1.243  -1.314 1.155  -1.200 1.041  -1.096 0.949  -1.053 0.795  -0.921 0.707  -0.784 0.625  -0.671 0.512  -0.568 0.415  -0.479 0.288  -0.375 0.177  -0.275 0.077  -0.189 -0.043  -0.066 -0.110  0.049 -0.099  0.183 -0.010  0.317 0.080  0.451 0.169  0.585 0.258  0.718 0.347  0.852 0.436  0.986 0.526  1.120 0.615  1.082 0.652  1.071 0.503  0.910 0.503  0.772 0.447  0.694 0.319  0.559 0.255  0.530 0.123  0.387 0.106  0.257 0.056  0.127 0.006  -0.014 -0.041  -0.114 -0.140  -0.253 -0.192  -0.314 -0.292  -0.287 -0.446  -0.195 -0.549  -0.106 -0.669  -0.054 -0.800  -0.016 -0.945  0.033 -1.056  0.064 -1.186  0.083 -1.328  0.159 -1.464  0.222 -1.612  0.232 -1.770  0.282 -1.881
2#tos#t1#t1018062/Z  -0.814 1.031  -0.916 0.995  -0.946 0.885  -0.909 0.885  -0.770 0.885  -0.630 0.885  -0.491 0.885  -0.352 0.885  -0.219 0.924  -0.085 0.958  0.054 0.958  0.193 0.958  0.333 0.958  0.472 0.958  0.611 0.958  0.652 0.859  0.578 0.793  0.524 0.667  0.414 0.598  0.356 0.479  0.264 0.376  0.175 0.271  0.064 0.187  -0.035 0.088  -0.135 -0.008  -0.247 -0.091  -0.335 -0.199  -0.444 -0.274  -0.538 -0.368  -0.607 -0.489  -0.691 -0.600  -0.777 -0.662  -0.810 -0.793  -0.735 -0.874  -0.596 -0.874  -0.471 -0.911  -0.332 -0.911  -0.193 -0.911  -0.054 -0.911  0.086 -0.911  0.225 -0.911  0.364 -0.911  0.500 -0.888  0.637 -0.874  0.776 -0.874  0.915 -0.874  1.049 -0.839  1.188 -0.837  1.319 -0.801  1.385 -0.727
2#tos#t1#t1018062/a  -0.965 0.908  -1.074 0.922  -0.914 0.962  -0.768 1.017  -0.685 1.180  -0.485 1.180  -0.284 1.180  -0.083 1.180  0.117 1.180  0.255 1.106  0.309 0.925  0.345 0.733  0.345 0.532  0.345 0.331  0.345 0.131  0.345 -0.070  0.384 -0.262  0.468 -0.402  0.540 -0.566  0.619 -0.730  0.798 -0.764  0.952 -0.839  1.153 -0.839  1.354 -0.839  1.375 -0.671  1.208 -0.559  1.041 -0.448  0.874 -0.337  0.707 -0.225  0.540 -0.114  0.373 -0.003  0.206 0.108  0.039 0.220  -0.130 0.288  -0.323 0.253  -0.523 0.253  -0.715 0.214  -0.899 0.143  -1.067 0.041  -1.074 -0.156  -1.074 -0.357  -1.074 -0.557  -0.883 -0.566  -0.846 -0.730  -0.690 -0.839  -0.490 -0.839  -0.289 -0.839  -0.088 -0.839  0.100 -0.811  0.290 -0.785
2#tos#t1#t1018062/b  -0.382 1.816  -0.551 1.816  -0.674 1.770  -0.615 1.659  -0.615 1.491  -0.615 1.322  -0.615 1.153  -0.615 0.985  -0.549 0.883  -0.499 0.764  -0.499 0.595  -0.499 0.426  -0.447 0.272  -0.361 0.127  -0.324 -0.031  -0.277 -0.192  -0.266 -0.359  -0.266 -0.528  -0.266 -0.697  -0.266 -0.865  -0.202 -0.874  -0.185 -0.706  -0.169 -0.539  -0.152 -0.371  -0.135 -0.203  -0.118 -0.035  -0.102 0.133  -0.150 0.241  -0.314 0.200  -0.284 0.183  -0.115 0.183  0.054 0.183  0.222 0.183  0.391 0.183  0.523 0.094  0.680 0.066  0.813 -0.021  0.932 -0.140  0.991 -0.290  1.017 -0.453  1.017 -0.621  1.017 -0.790  0.908 -0.885  0.806 -1.019  0.671 -1.100  0.503 -1.100  0.357 -1.137  0.238 -1.223  0.078 -1.275  -0.091 -1.275
2#tos#t1#t1018062/i  -0.459 1.470  -0.403 1.415  -0.327 1.412  -0.249 1.412  -0.171 1.412  -0.156 1.341  -0.097 1.295  -0.022 1.281  0.047 1.246  0.065 1.179  0.066 1.101  0.069 1.023  0.073 0.945  0.076 0.867  0.080 0.789  0.083 0.711  0.086 0.633  0.090 0.555  0.093 0.477  0.096 0.399  0.100 0.322  0.103 0.244  0.107 0.166  0.110 0.088  0.113 0.010  0.117 -0.068  0.120 -0.146  0.123 -0.224  0.109 -0.298  0.066 -0.363  0.022 -0.427  -0.043 -0.451  -0.051 -0.521  -0.051 -0.599  -0.088 -0.661  -0.109 -0.730  -0.109 -0.808  -0.109 -0.886  -0.109 -0.964  -0.061 -1.022  -0.051 -1.096  -0.051 -1.174  -0.051 -1.252  -0.045 -1.326  0.029 -1.350  0.103 -1.375  0.123 -1.439  0.181 -1.458  0.181 -1.536  0.181 -1.614
2#tos#t1#t1018062/k  -0.553 2.240  -0.607 2.111  -0.607 1.927  -0.607 1.744  -0.607 1.561  -0.559 1.388  -0.553 1.207  -0.553 1.023  -0.496 0.857  -0.416 0.694  -0.358 0.520  -0.308 0.343  -0.282 0.163  -0.282 -0.020  -0.282 -0.204  -0.282 -0.387  -0.282 -0.571  -0.282 -0.754  -0.282 -0.937  -0.282 -1.121  -0.220 -1.259  -0.129 -1.099  -0.039 -0.939  0.052 -0.780  0.142 -0.620  0.233 -0.461  0.323 -0.301  0.413 -0.142  0.504 0.018  0.594 0.178  0.685 0.337  0.520 0.348  0.349 0.294  0.204 0.256  0.096 0.150  0.029 0.011  -0.137 -0.030  -0.308 -0.085  -0.290 -0.193  -0.223 -0.355  -0.044 -0.387  0.042 -0.504  0.194 -0.561  0.373 -0.571  0.517 -0.667  0.663 -0.731  0.789 -0.841  0.919 -0.895  1.048 -0.950  1.177 -1.004
2#tos#t1#t1018062/l  -0.106 1.704  -0.183 1.678  -0.238 1.637  -0.238 1.556  -0.238 1.476  -0.238 1.395  -0.225 1.317  -0.200 1.240  -0.194 1.161  -0.194 1.080  -0.194 1.000  -0.194 0.919  -0.194 0.839  -0.194 0.758  -0.194 0.678  -0.194 0.597  -0.194 0.517  -0.194 0.436  -0.194 0.356  -0.163 0.306  -0.150 0.238  -0.150 0.158  -0.150 0.077  -0.106 0.040  -0.106 -0.040  -0.096 -0.119  -0.071 -0.195  -0.019 -0.231  -0.019 -0.311  -0.019 -0.392  -0.019 -0.472  -0.019 -0.553  0.003 -0.612  0.025 -0.670  0.025 -0.751  0.056 -0.818  0.112 -0.850  0.112 -0.931  0.156 -0.967  0.156 -1.048  0.199 -1.110  0.210 -1.180  0.247 -1.224  0.328 -1.224  0.365 -1.267  0.445 -1.267  0.526 -1.267  0.606 -1.267  0.636 -1.217  0.680 -1.180
2#tos#t1#t1018062/m  -0.932 0.892  -1.061 0.945  -1.137 1.050  -1.038 0.981  -1.038 0.800  -1.035 0.619  -0.977 0.446  -0.932 0.272  -0.932 0.091  -0.880 -0.069  -0.880 -0.250  -0.880 -0.432  -0.827 -0.591  -0.827 -0.773  -0.774 -0.796  -0.774 -0.615  -0.686 -0.488  -0.669 -0.317  -0.660 -0.137  -0.606 0.036  -0.559 0.210  -0.420 0.312  -0.303 0.417  -0.175 0.470  -0.006 0.440  0.100 0.293  0.205 0.148  0.228 -0.028  0.228 -0.210  0.228 -0.391  0.281 -0.560  0.281 -0.741  0.281 -0.564  0.281 -0.382  0.342 -0.238  0.387 -0.085  0.492 0.053  0.564 0.190  0.703 0.276  0.796 0.365  0.977 0.365  1.149 0.341  1.283 0.246  1.283 0.064  1.390 -0.040  1.465 -0.181  1.494 -0.357  1.494 -0.539  1.524 -0.690  1.547 -0.849
2#tos#t1#t1018062/t  -0.869 0.436  -1.027 0.402  -1.180 0.346  -1.067 0.301  -0.901 0.301  -0.735 0.301  -0.569 0.301  -0.403 0.301  -0.237 0.301  -0.075 0.326  0.088 0.346  0.254 0.346  0.420 0.346  0.586 0.346  0.752 0.346  0.780 0.399  0.657 0.510  0.533 0.621  0.410 0.732  0.287 0.843  0.163 0.954  0.040 1.066  -0.060 1.187  -0.213 1.200  -0.330 1.151  -0.330 0.985  -0.375 0.864  -0.375 0.698  -0.375 0.532  -0.397 0.370  -0.420 0.207  -0.420 0.041  -0.420 -0.125  -0.420 -0.291  -0.402 -0.453  -0.342 -0.607  -0.272 -0.758  -0.162 -0.874  -0.102 -1.009  0.000 -1.133  0.109 -1.251  0.262 -1.272  0.408 -1.324  0.568 -1.362  0.734 -1.362  0.866 -1.308  0.974 -1.209  1.099 -1.148  1.190 -1.011  1.289 -0.913
2#tos#t1#t1018062/u  -0.902 1.591  -0.965 1.526  -0.965 1.397  -0.965 1.268  -0.965 1.138  -0.965 1.009  -0.965 0.880  -0.965 0.751  -0.965 0.622  -0.911 0.515  -0.838 0.416  -0.838 0.287  -0.838 0.158  -0.785 0.045  -0.714 -0.063  -0.632 -0.125  -0.601 -0.251  -0.565 -0.375  -0.524 -0.497  -0.440 -0.593  -0.391 -0.702  -0.303 -0.795  -0.212 -0.886  -0.087 -0.898  0.042 -0.898  0.171 -0.898  0.274 -0.834  0.395 -0.815  0.486 -0.723  0.503 -0.601  0.522 -0.476  0.580 -0.361  0.642 -0.248  0.694 -0.141  0.694 -0.012  0.694 0.117  0.694 0.247  0.694 0.376  0.757 0.442  0.758 0.442  0.758 0.313  0.758 0.184  0.758 0.054  0.763 -0.073  0.822 -0.177  0.855 -0.293  0.950 -0.346  0.950 -0.475  1.012 -0.578  1.077 -0.643
2#tos#t1#t1018062/w  -1.046 1.274  -1.154 1.238  -1.154 1.093  -1.154 0.949  -1.154 0.804  -1.066 0.696  -1.041 0.562  -0.973 0.441  -0.938 0.301  -0.848 0.189  -0.774 0.067  -0.774 -0.077  -0.716 -0.208  -0.681 -0.348  -0.611 -0.468  -0.581 -0.608  -0.498 -0.712  -0.393 -0.703  -0.393 -0.559  -0.348 -0.443  -0.285 -0.337  -0.285 -0.193  -0.285 -0.048  -0.285 0.096  -0.230 0.186  -0.195 0.295  -0.159 0.295  -0.084 0.204  -0.067 0.066  -0.034 -0.064  0.068 -0.166  0.129 -0.294  0.205 -0.413  0.281 -0.516  0.396 -0.603  0.529 -0.629  0.674 -0.629  0.818 -0.629  0.911 -0.577  1.011 -0.474  1.148 -0.434  1.237 -0.358  1.268 -0.233  1.346 -0.137  1.346 0.008  1.346 0.152  1.346 0.297  1.346 0.441  1.346 0.586  1.455 0.621
2#tos#t1#t1018062/y  -0.641 1.020  -0.771 1.020  -0.816 0.935  -0.775 0.846  -0.645 0.846  -0.545 0.789  -0.473 0.681  -0.351 0.669  -0.335 0.555  -0.231 0.493  -0.124 0.439  0.002 0.431  0.056 0.314  0.136 0.264  0.239 0.213  0.338 0.297  0.437 0.381  0.537 0.465  0.636 0.549  0.735 0.632  0.834 0.716  0.933 0.800  0.933 0.819  0.869 0.729  0.739 0.729  0.696 0.642  0.666 0.525  0.574 0.433  0.521 0.325  0.408 0.265  0.365 0.144  0.347 0.017  0.299 -0.098  0.228 -0.207  0.168 -0.322  0.076 -0.414  -0.011 -0.509  -0.076 -0.621  -0.140 -0.734  -0.205 -0.847  -0.266 -0.962  -0.335 -1.071  -0.412 -1.175  -0.489 -1.280  -0.561 -1.388  -0.663 -1.462  -0.699 -1.569  -0.699 -1.699  -0.752 -1.797  -0.758 -1.829
2#tos#t1#t1018062/z  -0.881 1.019  -1.029 1.019  -1.134 0.937  -1.202 0.822  -1.053 0.822  -0.905 0.822  -0.757 0.822  -0.609 0.822  -0.460 0.822  -0.312 0.822  -0.164 0.822  -0.015 0.822  0.133 0.822  0.281 0.822  0.430 0.822  0.578 0.822  0.702 0.797  0.702 0.649  0.592 0.569  0.540 0.438  0.504 0.294  0.363 0.280  0.281 0.157  0.207 0.029  0.102 -0.060  -0.037 -0.109  -0.167 -0.180  -0.272 -0.285  -0.386 -0.366  -0.507 -0.410  -0.602 -0.498  -0.730 -0.545  -0.815 -0.658  -0.770 -0.762  -0.622 -0.762  -0.501 -0.828  -0.353 -0.828  -0.204 -0.828  -0.056 -0.828  0.092 -0.828  0.241 -0.828  0.389 -0.828  0.537 -0.828  0.685 -0.828  0.834 -0.828  0.982 -0.828  1.130 -0.828  1.267 -0.776  1.411 -0.762  1.560 -0.762
